context: Nothing response:	in this world is strange...
context: There's nothing fearful about me,\yet you still fear me.\If this continues, you will not be able to do anything, least alone fight.\No matter what you say,\nothing will change.\The shivering has stopped.\She's finally pulled herself together.\I'll fight you! response:	That's all there is to it!
context: yet you still fear me.\If this continues, you will not be able to do anything, least alone fight.\No matter what you say,\nothing will change.\The shivering has stopped.\She's finally pulled herself together.\I'll fight you!\That's all there is to it! response:	Let's do this, Maka!
context: If this continues, you will not be able to do anything, least alone fight.\No matter what you say,\nothing will change.\The shivering has stopped.\She's finally pulled herself together.\I'll fight you!\That's all there is to it!\Let's do this, Maka! response:	Soul Resonance!
context: No matter what you say,\nothing will change.\The shivering has stopped.\She's finally pulled herself together.\I'll fight you!\That's all there is to it!\Let's do this, Maka!\Soul Resonance! response:	The Kishin is still taking us lightly.
context: nothing will change.\The shivering has stopped.\She's finally pulled herself together.\I'll fight you!\That's all there is to it!\Let's do this, Maka!\Soul Resonance!\The Kishin is still taking us lightly. response:	Let's use this opportunity to do some damage.
context: The shivering has stopped.\She's finally pulled herself together.\I'll fight you!\That's all there is to it!\Let's do this, Maka!\Soul Resonance!\The Kishin is still taking us lightly.\Let's use this opportunity to do some damage. response:	So powerless.
context: She's finally pulled herself together.\I'll fight you!\That's all there is to it!\Let's do this, Maka!\Soul Resonance!\The Kishin is still taking us lightly.\Let's use this opportunity to do some damage.\So powerless. response:	So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you.
context: I'll fight you!\That's all there is to it!\Let's do this, Maka!\Soul Resonance!\The Kishin is still taking us lightly.\Let's use this opportunity to do some damage.\So powerless.\So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you. response:	Hey, Maka, hang in there!
context: That's all there is to it!\Let's do this, Maka!\Soul Resonance!\The Kishin is still taking us lightly.\Let's use this opportunity to do some damage.\So powerless.\So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you.\Hey, Maka, hang in there! response:	Even those brats lying around you were able to put up a better fight.
context: Let's do this, Maka!\Soul Resonance!\The Kishin is still taking us lightly.\Let's use this opportunity to do some damage.\So powerless.\So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you.\Hey, Maka, hang in there!\Even those brats lying around you were able to put up a better fight. response:	Hey, Maka!
context: Soul Resonance!\The Kishin is still taking us lightly.\Let's use this opportunity to do some damage.\So powerless.\So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you.\Hey, Maka, hang in there!\Even those brats lying around you were able to put up a better fight.\Hey, Maka! response:	So you choose to stand and fight.
context: The Kishin is still taking us lightly.\Let's use this opportunity to do some damage.\So powerless.\So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you.\Hey, Maka, hang in there!\Even those brats lying around you were able to put up a better fight.\Hey, Maka!\So you choose to stand and fight. response:	Then I'll just have to make you lay down for good.
context: Let's use this opportunity to do some damage.\So powerless.\So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you.\Hey, Maka, hang in there!\Even those brats lying around you were able to put up a better fight.\Hey, Maka!\So you choose to stand and fight.\Then I'll just have to make you lay down for good. response:	I'll strip away the armor that you've built around your heart.
context: So powerless.\So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you.\Hey, Maka, hang in there!\Even those brats lying around you were able to put up a better fight.\Hey, Maka!\So you choose to stand and fight.\Then I'll just have to make you lay down for good.\I'll strip away the armor that you've built around your heart. response:	Are you sure you can do it, Maka?
context: So the last person to challenge me in my attempt to end this world turns out to be a good-for-nothing like you.\Hey, Maka, hang in there!\Even those brats lying around you were able to put up a better fight.\Hey, Maka!\So you choose to stand and fight.\Then I'll just have to make you lay down for good.\I'll strip away the armor that you've built around your heart.\Are you sure you can do it, Maka? response:	No problem at all!
context: Hey, Maka, hang in there!\Even those brats lying around you were able to put up a better fight.\Hey, Maka!\So you choose to stand and fight.\Then I'll just have to make you lay down for good.\I'll strip away the armor that you've built around your heart.\Are you sure you can do it, Maka?\No problem at all! response:	There'll be no chance for us to win if we prolong the fight.
context: Even those brats lying around you were able to put up a better fight.\Hey, Maka!\So you choose to stand and fight.\Then I'll just have to make you lay down for good.\I'll strip away the armor that you've built around your heart.\Are you sure you can do it, Maka?\No problem at all!\There'll be no chance for us to win if we prolong the fight. response:	We'll look for an opening and strike the Kishin with everything we've got.
context: Hey, Maka!\So you choose to stand and fight.\Then I'll just have to make you lay down for good.\I'll strip away the armor that you've built around your heart.\Are you sure you can do it, Maka?\No problem at all!\There'll be no chance for us to win if we prolong the fight.\We'll look for an opening and strike the Kishin with everything we've got. response:	Our strongest attack.
context: So you choose to stand and fight.\Then I'll just have to make you lay down for good.\I'll strip away the armor that you've built around your heart.\Are you sure you can do it, Maka?\No problem at all!\There'll be no chance for us to win if we prolong the fight.\We'll look for an opening and strike the Kishin with everything we've got.\Our strongest attack. response:	That'll be-
context: Then I'll just have to make you lay down for good.\I'll strip away the armor that you've built around your heart.\Are you sure you can do it, Maka?\No problem at all!\There'll be no chance for us to win if we prolong the fight.\We'll look for an opening and strike the Kishin with everything we've got.\Our strongest attack.\That'll be- response:	Demon Hunter.
context: I'll strip away the armor that you've built around your heart.\Are you sure you can do it, Maka?\No problem at all!\There'll be no chance for us to win if we prolong the fight.\We'll look for an opening and strike the Kishin with everything we've got.\Our strongest attack.\That'll be-\Demon Hunter. response:	The anti-demon wavelength,
context: Are you sure you can do it, Maka?\No problem at all!\There'll be no chance for us to win if we prolong the fight.\We'll look for an opening and strike the Kishin with everything we've got.\Our strongest attack.\That'll be-\Demon Hunter.\The anti-demon wavelength, response:	the ability she inherited from her mother.
context: No problem at all!\There'll be no chance for us to win if we prolong the fight.\We'll look for an opening and strike the Kishin with everything we've got.\Our strongest attack.\That'll be-\Demon Hunter.\The anti-demon wavelength,\the ability she inherited from her mother. response:	That power is said to be able to eliminate everything evil and purge all impurities, right?
context: There'll be no chance for us to win if we prolong the fight.\We'll look for an opening and strike the Kishin with everything we've got.\Our strongest attack.\That'll be-\Demon Hunter.\The anti-demon wavelength,\the ability she inherited from her mother.\That power is said to be able to eliminate everything evil and purge all impurities, right? response:	You'll charge at me with that?
context: We'll look for an opening and strike the Kishin with everything we've got.\Our strongest attack.\That'll be-\Demon Hunter.\The anti-demon wavelength,\the ability she inherited from her mother.\That power is said to be able to eliminate everything evil and purge all impurities, right?\You'll charge at me with that? response:	Her opponent is the Kishin.
context: Our strongest attack.\That'll be-\Demon Hunter.\The anti-demon wavelength,\the ability she inherited from her mother.\That power is said to be able to eliminate everything evil and purge all impurities, right?\You'll charge at me with that?\Her opponent is the Kishin. response:	He's not someone you can beat fair and square.
context: That'll be-\Demon Hunter.\The anti-demon wavelength,\the ability she inherited from her mother.\That power is said to be able to eliminate everything evil and purge all impurities, right?\You'll charge at me with that?\Her opponent is the Kishin.\He's not someone you can beat fair and square. response:	Damn!
context: Demon Hunter.\The anti-demon wavelength,\the ability she inherited from her mother.\That power is said to be able to eliminate everything evil and purge all impurities, right?\You'll charge at me with that?\Her opponent is the Kishin.\He's not someone you can beat fair and square.\Damn! response:	My daughter's putting her life at stake fighting out there, yet I can't do anything to help!
context: The anti-demon wavelength,\the ability she inherited from her mother.\That power is said to be able to eliminate everything evil and purge all impurities, right?\You'll charge at me with that?\Her opponent is the Kishin.\He's not someone you can beat fair and square.\Damn!\My daughter's putting her life at stake fighting out there, yet I can't do anything to help! response:	Maka, I don't care how it turns out,
context: the ability she inherited from her mother.\That power is said to be able to eliminate everything evil and purge all impurities, right?\You'll charge at me with that?\Her opponent is the Kishin.\He's not someone you can beat fair and square.\Damn!\My daughter's putting her life at stake fighting out there, yet I can't do anything to help!\Maka, I don't care how it turns out, response:	just please come back in one piece.
context: That power is said to be able to eliminate everything evil and purge all impurities, right?\You'll charge at me with that?\Her opponent is the Kishin.\He's not someone you can beat fair and square.\Damn!\My daughter's putting her life at stake fighting out there, yet I can't do anything to help!\Maka, I don't care how it turns out,\just please come back in one piece. response:	In this attack,
context: You'll charge at me with that?\Her opponent is the Kishin.\He's not someone you can beat fair and square.\Damn!\My daughter's putting her life at stake fighting out there, yet I can't do anything to help!\Maka, I don't care how it turns out,\just please come back in one piece.\In this attack, response:	we'll put everything we've got!
context: Her opponent is the Kishin.\He's not someone you can beat fair and square.\Damn!\My daughter's putting her life at stake fighting out there, yet I can't do anything to help!\Maka, I don't care how it turns out,\just please come back in one piece.\In this attack,\we'll put everything we've got! response:	Kishin Hunter!
context: He's not someone you can beat fair and square.\Damn!\My daughter's putting her life at stake fighting out there, yet I can't do anything to help!\Maka, I don't care how it turns out,\just please come back in one piece.\In this attack,\we'll put everything we've got!\Kishin Hunter! response:	So this is the anti-demon wavelength.
context: Damn!\My daughter's putting her life at stake fighting out there, yet I can't do anything to help!\Maka, I don't care how it turns out,\just please come back in one piece.\In this attack,\we'll put everything we've got!\Kishin Hunter!\So this is the anti-demon wavelength. response:	I'll ask you this...
context: My daughter's putting her life at stake fighting out there, yet I can't do anything to help!\Maka, I don't care how it turns out,\just please come back in one piece.\In this attack,\we'll put everything we've got!\Kishin Hunter!\So this is the anti-demon wavelength.\I'll ask you this... response:	am I a demon?
context: Maka, I don't care how it turns out,\just please come back in one piece.\In this attack,\we'll put everything we've got!\Kishin Hunter!\So this is the anti-demon wavelength.\I'll ask you this...\am I a demon? response:	That would be a no.
context: just please come back in one piece.\In this attack,\we'll put everything we've got!\Kishin Hunter!\So this is the anti-demon wavelength.\I'll ask you this...\am I a demon?\That would be a no. response:	Is the insanity that I give out something evil?
context: In this attack,\we'll put everything we've got!\Kishin Hunter!\So this is the anti-demon wavelength.\I'll ask you this...\am I a demon?\That would be a no.\Is the insanity that I give out something evil? response:	No.
context: we'll put everything we've got!\Kishin Hunter!\So this is the anti-demon wavelength.\I'll ask you this...\am I a demon?\That would be a no.\Is the insanity that I give out something evil?\No. response:	Insanity is an emotion that exists deep inside every individual's heart.
context: Kishin Hunter!\So this is the anti-demon wavelength.\I'll ask you this...\am I a demon?\That would be a no.\Is the insanity that I give out something evil?\No.\Insanity is an emotion that exists deep inside every individual's heart. response:	And of course, that includes you as well.
context: So this is the anti-demon wavelength.\I'll ask you this...\am I a demon?\That would be a no.\Is the insanity that I give out something evil?\No.\Insanity is an emotion that exists deep inside every individual's heart.\And of course, that includes you as well. response:	You son of a bitch!
context: I'll ask you this...\am I a demon?\That would be a no.\Is the insanity that I give out something evil?\No.\Insanity is an emotion that exists deep inside every individual's heart.\And of course, that includes you as well.\You son of a bitch! response:	What filthy words.
context: am I a demon?\That would be a no.\Is the insanity that I give out something evil?\No.\Insanity is an emotion that exists deep inside every individual's heart.\And of course, that includes you as well.\You son of a bitch!\What filthy words. response:	Seems like I'll have to teach you a lesson.
context: That would be a no.\Is the insanity that I give out something evil?\No.\Insanity is an emotion that exists deep inside every individual's heart.\And of course, that includes you as well.\You son of a bitch!\What filthy words.\Seems like I'll have to teach you a lesson. response:	As always, what a foolish move.
context: Is the insanity that I give out something evil?\No.\Insanity is an emotion that exists deep inside every individual's heart.\And of course, that includes you as well.\You son of a bitch!\What filthy words.\Seems like I'll have to teach you a lesson.\As always, what a foolish move. response:	Soul?
context: No.\Insanity is an emotion that exists deep inside every individual's heart.\And of course, that includes you as well.\You son of a bitch!\What filthy words.\Seems like I'll have to teach you a lesson.\As always, what a foolish move.\Soul? response:	Are you okay?
context: Insanity is an emotion that exists deep inside every individual's heart.\And of course, that includes you as well.\You son of a bitch!\What filthy words.\Seems like I'll have to teach you a lesson.\As always, what a foolish move.\Soul?\Are you okay? response:	Maka...
context: And of course, that includes you as well.\You son of a bitch!\What filthy words.\Seems like I'll have to teach you a lesson.\As always, what a foolish move.\Soul?\Are you okay?\Maka... response:	Soul?!
context: You son of a bitch!\What filthy words.\Seems like I'll have to teach you a lesson.\As always, what a foolish move.\Soul?\Are you okay?\Maka...\Soul?! response:	The ones who fell before you have laid upon you the burden which they call expectation and responsibility.
context: What filthy words.\Seems like I'll have to teach you a lesson.\As always, what a foolish move.\Soul?\Are you okay?\Maka...\Soul?!\The ones who fell before you have laid upon you the burden which they call expectation and responsibility. response:	And from that burden, you experience agony and anxiety.
context: Seems like I'll have to teach you a lesson.\As always, what a foolish move.\Soul?\Are you okay?\Maka...\Soul?!\The ones who fell before you have laid upon you the burden which they call expectation and responsibility.\And from that burden, you experience agony and anxiety. response:	That's also a kind of fear.
context: As always, what a foolish move.\Soul?\Are you okay?\Maka...\Soul?!\The ones who fell before you have laid upon you the burden which they call expectation and responsibility.\And from that burden, you experience agony and anxiety.\That's also a kind of fear. response:	Shut up, asshole!
context: Soul?\Are you okay?\Maka...\Soul?!\The ones who fell before you have laid upon you the burden which they call expectation and responsibility.\And from that burden, you experience agony and anxiety.\That's also a kind of fear.\Shut up, asshole! response:	That was irritation and intimidation.
context: Are you okay?\Maka...\Soul?!\The ones who fell before you have laid upon you the burden which they call expectation and responsibility.\And from that burden, you experience agony and anxiety.\That's also a kind of fear.\Shut up, asshole!\That was irritation and intimidation. response:	Those too, are emotions based upon fear.
context: Maka...\Soul?!\The ones who fell before you have laid upon you the burden which they call expectation and responsibility.\And from that burden, you experience agony and anxiety.\That's also a kind of fear.\Shut up, asshole!\That was irritation and intimidation.\Those too, are emotions based upon fear. response:	Didn't I tell you to shut up already?!
context: Soul?!\The ones who fell before you have laid upon you the burden which they call expectation and responsibility.\And from that burden, you experience agony and anxiety.\That's also a kind of fear.\Shut up, asshole!\That was irritation and intimidation.\Those too, are emotions based upon fear.\Didn't I tell you to shut up already?! response:	Impatience and rage,
context: The ones who fell before you have laid upon you the burden which they call expectation and responsibility.\And from that burden, you experience agony and anxiety.\That's also a kind of fear.\Shut up, asshole!\That was irritation and intimidation.\Those too, are emotions based upon fear.\Didn't I tell you to shut up already?!\Impatience and rage, response:	also a kind of fear.
context: And from that burden, you experience agony and anxiety.\That's also a kind of fear.\Shut up, asshole!\That was irritation and intimidation.\Those too, are emotions based upon fear.\Didn't I tell you to shut up already?!\Impatience and rage,\also a kind of fear. response:	And not to forget,
context: That's also a kind of fear.\Shut up, asshole!\That was irritation and intimidation.\Those too, are emotions based upon fear.\Didn't I tell you to shut up already?!\Impatience and rage,\also a kind of fear.\And not to forget, response:	this is pain, the most primitive and unrefined form of fear.
context: Shut up, asshole!\That was irritation and intimidation.\Those too, are emotions based upon fear.\Didn't I tell you to shut up already?!\Impatience and rage,\also a kind of fear.\And not to forget,\this is pain, the most primitive and unrefined form of fear. response:	But,
context: That was irritation and intimidation.\Those too, are emotions based upon fear.\Didn't I tell you to shut up already?!\Impatience and rage,\also a kind of fear.\And not to forget,\this is pain, the most primitive and unrefined form of fear.\But, response:	it works well enough on weak humans like you.
context: Those too, are emotions based upon fear.\Didn't I tell you to shut up already?!\Impatience and rage,\also a kind of fear.\And not to forget,\this is pain, the most primitive and unrefined form of fear.\But,\it works well enough on weak humans like you. response:	So the fight has not ended yet?
context: Didn't I tell you to shut up already?!\Impatience and rage,\also a kind of fear.\And not to forget,\this is pain, the most primitive and unrefined form of fear.\But,\it works well enough on weak humans like you.\So the fight has not ended yet? response:	If something were to have happened to the Kishin,
context: Impatience and rage,\also a kind of fear.\And not to forget,\this is pain, the most primitive and unrefined form of fear.\But,\it works well enough on weak humans like you.\So the fight has not ended yet?\If something were to have happened to the Kishin, response:	we would have detected some sort of change in the barrier.
context: also a kind of fear.\And not to forget,\this is pain, the most primitive and unrefined form of fear.\But,\it works well enough on weak humans like you.\So the fight has not ended yet?\If something were to have happened to the Kishin,\we would have detected some sort of change in the barrier. response:	The only thing we can do now is rely on Maka Albarn's anti-demon wavelength.
context: And not to forget,\this is pain, the most primitive and unrefined form of fear.\But,\it works well enough on weak humans like you.\So the fight has not ended yet?\If something were to have happened to the Kishin,\we would have detected some sort of change in the barrier.\The only thing we can do now is rely on Maka Albarn's anti-demon wavelength. response:	You're wrong.
context: this is pain, the most primitive and unrefined form of fear.\But,\it works well enough on weak humans like you.\So the fight has not ended yet?\If something were to have happened to the Kishin,\we would have detected some sort of change in the barrier.\The only thing we can do now is rely on Maka Albarn's anti-demon wavelength.\You're wrong. response:	Huh?
context: But,\it works well enough on weak humans like you.\So the fight has not ended yet?\If something were to have happened to the Kishin,\we would have detected some sort of change in the barrier.\The only thing we can do now is rely on Maka Albarn's anti-demon wavelength.\You're wrong.\Huh? response:	It's not like that.
context: it works well enough on weak humans like you.\So the fight has not ended yet?\If something were to have happened to the Kishin,\we would have detected some sort of change in the barrier.\The only thing we can do now is rely on Maka Albarn's anti-demon wavelength.\You're wrong.\Huh?\It's not like that. response:	That's-
context: So the fight has not ended yet?\If something were to have happened to the Kishin,\we would have detected some sort of change in the barrier.\The only thing we can do now is rely on Maka Albarn's anti-demon wavelength.\You're wrong.\Huh?\It's not like that.\That's- response:	That's not all there is to Maka.
context: If something were to have happened to the Kishin,\we would have detected some sort of change in the barrier.\The only thing we can do now is rely on Maka Albarn's anti-demon wavelength.\You're wrong.\Huh?\It's not like that.\That's-\That's not all there is to Maka. response:	It's as you've said,
context: we would have detected some sort of change in the barrier.\The only thing we can do now is rely on Maka Albarn's anti-demon wavelength.\You're wrong.\Huh?\It's not like that.\That's-\That's not all there is to Maka.\It's as you've said, response:	I am a weak human being.
context: The only thing we can do now is rely on Maka Albarn's anti-demon wavelength.\You're wrong.\Huh?\It's not like that.\That's-\That's not all there is to Maka.\It's as you've said,\I am a weak human being. response:	But if I am to compare this,
context: You're wrong.\Huh?\It's not like that.\That's-\That's not all there is to Maka.\It's as you've said,\I am a weak human being.\But if I am to compare this, response:	to the pain that I suffered at that time,
context: Huh?\It's not like that.\That's-\That's not all there is to Maka.\It's as you've said,\I am a weak human being.\But if I am to compare this,\to the pain that I suffered at that time, response:	or the time when I took that punch head on,
context: It's not like that.\That's-\That's not all there is to Maka.\It's as you've said,\I am a weak human being.\But if I am to compare this,\to the pain that I suffered at that time,\or the time when I took that punch head on, response:	this is nothing!
context: That's-\That's not all there is to Maka.\It's as you've said,\I am a weak human being.\But if I am to compare this,\to the pain that I suffered at that time,\or the time when I took that punch head on,\this is nothing! response:	Then why don't you try and bear the pain that I am about to inflict upon you.
context: That's not all there is to Maka.\It's as you've said,\I am a weak human being.\But if I am to compare this,\to the pain that I suffered at that time,\or the time when I took that punch head on,\this is nothing!\Then why don't you try and bear the pain that I am about to inflict upon you. response:	If you were to dodge it, your partner will die.
context: It's as you've said,\I am a weak human being.\But if I am to compare this,\to the pain that I suffered at that time,\or the time when I took that punch head on,\this is nothing!\Then why don't you try and bear the pain that I am about to inflict upon you.\If you were to dodge it, your partner will die. response:	So this is it, huh?
context: I am a weak human being.\But if I am to compare this,\to the pain that I suffered at that time,\or the time when I took that punch head on,\this is nothing!\Then why don't you try and bear the pain that I am about to inflict upon you.\If you were to dodge it, your partner will die.\So this is it, huh? response:	You've stood up once again?
context: But if I am to compare this,\to the pain that I suffered at that time,\or the time when I took that punch head on,\this is nothing!\Then why don't you try and bear the pain that I am about to inflict upon you.\If you were to dodge it, your partner will die.\So this is it, huh?\You've stood up once again? response:	Or is it just a faint breath?
context: to the pain that I suffered at that time,\or the time when I took that punch head on,\this is nothing!\Then why don't you try and bear the pain that I am about to inflict upon you.\If you were to dodge it, your partner will die.\So this is it, huh?\You've stood up once again?\Or is it just a faint breath? response:	What?!
context: or the time when I took that punch head on,\this is nothing!\Then why don't you try and bear the pain that I am about to inflict upon you.\If you were to dodge it, your partner will die.\So this is it, huh?\You've stood up once again?\Or is it just a faint breath?\What?! response:	What's happening?
context: this is nothing!\Then why don't you try and bear the pain that I am about to inflict upon you.\If you were to dodge it, your partner will die.\So this is it, huh?\You've stood up once again?\Or is it just a faint breath?\What?!\What's happening? response:	What kind of trickery is she using?
context: Then why don't you try and bear the pain that I am about to inflict upon you.\If you were to dodge it, your partner will die.\So this is it, huh?\You've stood up once again?\Or is it just a faint breath?\What?!\What's happening?\What kind of trickery is she using? response:	Show me what it is you're hiding!
context: If you were to dodge it, your partner will die.\So this is it, huh?\You've stood up once again?\Or is it just a faint breath?\What?!\What's happening?\What kind of trickery is she using?\Show me what it is you're hiding! response:	So this is what's going on.
context: So this is it, huh?\You've stood up once again?\Or is it just a faint breath?\What?!\What's happening?\What kind of trickery is she using?\Show me what it is you're hiding!\So this is what's going on. response:	The meister turns out to be the weapon.
context: You've stood up once again?\Or is it just a faint breath?\What?!\What's happening?\What kind of trickery is she using?\Show me what it is you're hiding!\So this is what's going on.\The meister turns out to be the weapon. response:	Wait a minute, it's the opposite!
context: Or is it just a faint breath?\What?!\What's happening?\What kind of trickery is she using?\Show me what it is you're hiding!\So this is what's going on.\The meister turns out to be the weapon.\Wait a minute, it's the opposite! response:	She's one who inherited the blood of a weapon, but decided to take the path of a meister!
context: What?!\What's happening?\What kind of trickery is she using?\Show me what it is you're hiding!\So this is what's going on.\The meister turns out to be the weapon.\Wait a minute, it's the opposite!\She's one who inherited the blood of a weapon, but decided to take the path of a meister! response:	But why has she suddenly awakened as a weapon?
