context: The World She Saw response:	The Battle of Trost ( 2 )
context: tried to live strong in this world.\They held out a helping hand to a weakling like me.\I couldn't stand that.\To those two...\I'm something that needs protection.\I wanted to live with a strength like theirs.\I wanted to live with them as their equal.\Some good that did. response:	Because of me, Eren...
context: They held out a helping hand to a weakling like me.\I couldn't stand that.\To those two...\I'm something that needs protection.\I wanted to live with a strength like theirs.\I wanted to live with them as their equal.\Some good that did.\Because of me, Eren... response:	Hannah...
context: I couldn't stand that.\To those two...\I'm something that needs protection.\I wanted to live with a strength like theirs.\I wanted to live with them as their equal.\Some good that did.\Because of me, Eren...\Hannah... response:	What are you doing?
context: To those two...\I'm something that needs protection.\I wanted to live with a strength like theirs.\I wanted to live with them as their equal.\Some good that did.\Because of me, Eren...\Hannah...\What are you doing? response:	Armin! Help me!
context: I'm something that needs protection.\I wanted to live with a strength like theirs.\I wanted to live with them as their equal.\Some good that did.\Because of me, Eren...\Hannah...\What are you doing?\Armin! Help me! response:	Franz isn't breathing!
context: I wanted to live with a strength like theirs.\I wanted to live with them as their equal.\Some good that did.\Because of me, Eren...\Hannah...\What are you doing?\Armin! Help me!\Franz isn't breathing! response:	I've given him CPR over and over and over again.
context: I wanted to live with them as their equal.\Some good that did.\Because of me, Eren...\Hannah...\What are you doing?\Armin! Help me!\Franz isn't breathing!\I've given him CPR over and over and over again. response:	But Franz...
context: Some good that did.\Because of me, Eren...\Hannah...\What are you doing?\Armin! Help me!\Franz isn't breathing!\I've given him CPR over and over and over again.\But Franz... response:	Hannah.
context: Because of me, Eren...\Hannah...\What are you doing?\Armin! Help me!\Franz isn't breathing!\I've given him CPR over and over and over again.\But Franz...\Hannah. response:	This place is dangerous so let's hurry up and get
context: Hannah...\What are you doing?\Armin! Help me!\Franz isn't breathing!\I've given him CPR over and over and over again.\But Franz...\Hannah.\This place is dangerous so let's hurry up and get response:	We can't just leave Franz here!
context: What are you doing?\Armin! Help me!\Franz isn't breathing!\I've given him CPR over and over and over again.\But Franz...\Hannah.\This place is dangerous so let's hurry up and get\We can't just leave Franz here! response:	But Hannah...
context: Armin! Help me!\Franz isn't breathing!\I've given him CPR over and over and over again.\But Franz...\Hannah.\This place is dangerous so let's hurry up and get\We can't just leave Franz here!\But Hannah... response:	Franz is...
context: Franz isn't breathing!\I've given him CPR over and over and over again.\But Franz...\Hannah.\This place is dangerous so let's hurry up and get\We can't just leave Franz here!\But Hannah...\Franz is... response:	Please stop.
context: I've given him CPR over and over and over again.\But Franz...\Hannah.\This place is dangerous so let's hurry up and get\We can't just leave Franz here!\But Hannah...\Franz is...\Please stop. response:	It's pointless...
context: But Franz...\Hannah.\This place is dangerous so let's hurry up and get\We can't just leave Franz here!\But Hannah...\Franz is...\Please stop.\It's pointless... response:	He can't be saved.
context: Hannah.\This place is dangerous so let's hurry up and get\We can't just leave Franz here!\But Hannah...\Franz is...\Please stop.\It's pointless...\He can't be saved. response:	So stop.
context: This place is dangerous so let's hurry up and get\We can't just leave Franz here!\But Hannah...\Franz is...\Please stop.\It's pointless...\He can't be saved.\So stop. response:	Hey, you people!
context: We can't just leave Franz here!\But Hannah...\Franz is...\Please stop.\It's pointless...\He can't be saved.\So stop.\Hey, you people! response:	Don't you have any idea what kind of situation we're in?!
context: But Hannah...\Franz is...\Please stop.\It's pointless...\He can't be saved.\So stop.\Hey, you people!\Don't you have any idea what kind of situation we're in?! response:	Of course! That's why I'm doing this!
context: Franz is...\Please stop.\It's pointless...\He can't be saved.\So stop.\Hey, you people!\Don't you have any idea what kind of situation we're in?!\Of course! That's why I'm doing this! response:	You guys should help too if you want to be saved!
context: Please stop.\It's pointless...\He can't be saved.\So stop.\Hey, you people!\Don't you have any idea what kind of situation we're in?!\Of course! That's why I'm doing this!\You guys should help too if you want to be saved! response:	Fuck you!
context: It's pointless...\He can't be saved.\So stop.\Hey, you people!\Don't you have any idea what kind of situation we're in?!\Of course! That's why I'm doing this!\You guys should help too if you want to be saved!\Fuck you! response:	You're supposed to let the people through first!
context: He can't be saved.\So stop.\Hey, you people!\Don't you have any idea what kind of situation we're in?!\Of course! That's why I'm doing this!\You guys should help too if you want to be saved!\Fuck you!\You're supposed to let the people through first! response:	They'll eat us all!
context: So stop.\Hey, you people!\Don't you have any idea what kind of situation we're in?!\Of course! That's why I'm doing this!\You guys should help too if you want to be saved!\Fuck you!\You're supposed to let the people through first!\They'll eat us all! response:	Do your damn job, soldier!
context: Hey, you people!\Don't you have any idea what kind of situation we're in?!\Of course! That's why I'm doing this!\You guys should help too if you want to be saved!\Fuck you!\You're supposed to let the people through first!\They'll eat us all!\Do your damn job, soldier! response:	Arrest these guys!
context: Don't you have any idea what kind of situation we're in?!\Of course! That's why I'm doing this!\You guys should help too if you want to be saved!\Fuck you!\You're supposed to let the people through first!\They'll eat us all!\Do your damn job, soldier!\Arrest these guys! response:	But...
context: Of course! That's why I'm doing this!\You guys should help too if you want to be saved!\Fuck you!\You're supposed to let the people through first!\They'll eat us all!\Do your damn job, soldier!\Arrest these guys!\But... response:	Just try it, boy.
context: You guys should help too if you want to be saved!\Fuck you!\You're supposed to let the people through first!\They'll eat us all!\Do your damn job, soldier!\Arrest these guys!\But...\Just try it, boy. response:	I'm the boss of the trade federation in this town.
context: Fuck you!\You're supposed to let the people through first!\They'll eat us all!\Do your damn job, soldier!\Arrest these guys!\But...\Just try it, boy.\I'm the boss of the trade federation in this town. response:	W-Well...
context: You're supposed to let the people through first!\They'll eat us all!\Do your damn job, soldier!\Arrest these guys!\But...\Just try it, boy.\I'm the boss of the trade federation in this town.\W-Well... response:	Who do you think gives you the food you shit out?
context: They'll eat us all!\Do your damn job, soldier!\Arrest these guys!\But...\Just try it, boy.\I'm the boss of the trade federation in this town.\W-Well...\Who do you think gives you the food you shit out? response:	Can you get together the kind of money required to feed all the soldiers here?
context: Do your damn job, soldier!\Arrest these guys!\But...\Just try it, boy.\I'm the boss of the trade federation in this town.\W-Well...\Who do you think gives you the food you shit out?\Can you get together the kind of money required to feed all the soldiers here? response:	All of you push too!
context: Arrest these guys!\But...\Just try it, boy.\I'm the boss of the trade federation in this town.\W-Well...\Who do you think gives you the food you shit out?\Can you get together the kind of money required to feed all the soldiers here?\All of you push too! response:	This cargo is worth more than you'll make in your whole pathetic lives.
context: But...\Just try it, boy.\I'm the boss of the trade federation in this town.\W-Well...\Who do you think gives you the food you shit out?\Can you get together the kind of money required to feed all the soldiers here?\All of you push too!\This cargo is worth more than you'll make in your whole pathetic lives. response:	You help me and I'll help you!
context: Just try it, boy.\I'm the boss of the trade federation in this town.\W-Well...\Who do you think gives you the food you shit out?\Can you get together the kind of money required to feed all the soldiers here?\All of you push too!\This cargo is worth more than you'll make in your whole pathetic lives.\You help me and I'll help you! response:	Don't worry.
context: I'm the boss of the trade federation in this town.\W-Well...\Who do you think gives you the food you shit out?\Can you get together the kind of money required to feed all the soldiers here?\All of you push too!\This cargo is worth more than you'll make in your whole pathetic lives.\You help me and I'll help you!\Don't worry. response:	Dad will get all the Eotenas with his cannon.
context: W-Well...\Who do you think gives you the food you shit out?\Can you get together the kind of money required to feed all the soldiers here?\All of you push too!\This cargo is worth more than you'll make in your whole pathetic lives.\You help me and I'll help you!\Don't worry.\Dad will get all the Eotenas with his cannon. response:	Mom...
context: Who do you think gives you the food you shit out?\Can you get together the kind of money required to feed all the soldiers here?\All of you push too!\This cargo is worth more than you'll make in your whole pathetic lives.\You help me and I'll help you!\Don't worry.\Dad will get all the Eotenas with his cannon.\Mom... response:	Look.
context: Can you get together the kind of money required to feed all the soldiers here?\All of you push too!\This cargo is worth more than you'll make in your whole pathetic lives.\You help me and I'll help you!\Don't worry.\Dad will get all the Eotenas with his cannon.\Mom...\Look. response:	Push!
context: All of you push too!\This cargo is worth more than you'll make in your whole pathetic lives.\You help me and I'll help you!\Don't worry.\Dad will get all the Eotenas with his cannon.\Mom...\Look.\Push! response:	Push for your lives!
context: This cargo is worth more than you'll make in your whole pathetic lives.\You help me and I'll help you!\Don't worry.\Dad will get all the Eotenas with his cannon.\Mom...\Look.\Push!\Push for your lives! response:	Dammit.
context: You help me and I'll help you!\Don't worry.\Dad will get all the Eotenas with his cannon.\Mom...\Look.\Push!\Push for your lives!\Dammit. response:	Why is it ignoring us?
context: Don't worry.\Dad will get all the Eotenas with his cannon.\Mom...\Look.\Push!\Push for your lives!\Dammit.\Why is it ignoring us? response:	It's an abnormal!
context: Dad will get all the Eotenas with his cannon.\Mom...\Look.\Push!\Push for your lives!\Dammit.\Why is it ignoring us?\It's an abnormal! response:	Don't waste time thinking about it!
context: Mom...\Look.\Push!\Push for your lives!\Dammit.\Why is it ignoring us?\It's an abnormal!\Don't waste time thinking about it! response:	It's so fast!
context: Look.\Push!\Push for your lives!\Dammit.\Why is it ignoring us?\It's an abnormal!\Don't waste time thinking about it!\It's so fast! response:	We're supposed to be the elite but we still can't keep up!
context: Push!\Push for your lives!\Dammit.\Why is it ignoring us?\It's an abnormal!\Don't waste time thinking about it!\It's so fast!\We're supposed to be the elite but we still can't keep up! response:	At this rate...
context: Push for your lives!\Dammit.\Why is it ignoring us?\It's an abnormal!\Don't waste time thinking about it!\It's so fast!\We're supposed to be the elite but we still can't keep up!\At this rate... response:	What do you think you're doing?
context: Dammit.\Why is it ignoring us?\It's an abnormal!\Don't waste time thinking about it!\It's so fast!\We're supposed to be the elite but we still can't keep up!\At this rate...\What do you think you're doing? response:	Good timing!
context: Why is it ignoring us?\It's an abnormal!\Don't waste time thinking about it!\It's so fast!\We're supposed to be the elite but we still can't keep up!\At this rate...\What do you think you're doing?\Good timing! response:	You!
context: It's an abnormal!\Don't waste time thinking about it!\It's so fast!\We're supposed to be the elite but we still can't keep up!\At this rate...\What do you think you're doing?\Good timing!\You! response:	Make them help me out!
context: Don't waste time thinking about it!\It's so fast!\We're supposed to be the elite but we still can't keep up!\At this rate...\What do you think you're doing?\Good timing!\You!\Make them help me out! response:	I'll reward you handsomely!
context: It's so fast!\We're supposed to be the elite but we still can't keep up!\At this rate...\What do you think you're doing?\Good timing!\You!\Make them help me out!\I'll reward you handsomely! response:	My comrades are dying as we speak.
context: We're supposed to be the elite but we still can't keep up!\At this rate...\What do you think you're doing?\Good timing!\You!\Make them help me out!\I'll reward you handsomely!\My comrades are dying as we speak. response:	The noncombatants haven't evacuated yet,
context: At this rate...\What do you think you're doing?\Good timing!\You!\Make them help me out!\I'll reward you handsomely!\My comrades are dying as we speak.\The noncombatants haven't evacuated yet, response:	so they're fighting the Eotenas and dying.
context: What do you think you're doing?\Good timing!\You!\Make them help me out!\I'll reward you handsomely!\My comrades are dying as we speak.\The noncombatants haven't evacuated yet,\so they're fighting the Eotenas and dying. response:	That's only natural!
context: Good timing!\You!\Make them help me out!\I'll reward you handsomely!\My comrades are dying as we speak.\The noncombatants haven't evacuated yet,\so they're fighting the Eotenas and dying.\That's only natural! response:	It's your duty to offer up your hearts to protect us civilians and our wealth!
context: You!\Make them help me out!\I'll reward you handsomely!\My comrades are dying as we speak.\The noncombatants haven't evacuated yet,\so they're fighting the Eotenas and dying.\That's only natural!\It's your duty to offer up your hearts to protect us civilians and our wealth! response:	Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness!
context: Make them help me out!\I'll reward you handsomely!\My comrades are dying as we speak.\The noncombatants haven't evacuated yet,\so they're fighting the Eotenas and dying.\That's only natural!\It's your duty to offer up your hearts to protect us civilians and our wealth!\Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness! response:	If you think it's only natural that people die for others,
context: I'll reward you handsomely!\My comrades are dying as we speak.\The noncombatants haven't evacuated yet,\so they're fighting the Eotenas and dying.\That's only natural!\It's your duty to offer up your hearts to protect us civilians and our wealth!\Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness!\If you think it's only natural that people die for others, response:	then I'm sure you'll understand.
context: My comrades are dying as we speak.\The noncombatants haven't evacuated yet,\so they're fighting the Eotenas and dying.\That's only natural!\It's your duty to offer up your hearts to protect us civilians and our wealth!\Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness!\If you think it's only natural that people die for others,\then I'm sure you'll understand. response:	Sometimes, sacrificing one precious life can save many others.
context: The noncombatants haven't evacuated yet,\so they're fighting the Eotenas and dying.\That's only natural!\It's your duty to offer up your hearts to protect us civilians and our wealth!\Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness!\If you think it's only natural that people die for others,\then I'm sure you'll understand.\Sometimes, sacrificing one precious life can save many others. response:	Just you try it!
context: so they're fighting the Eotenas and dying.\That's only natural!\It's your duty to offer up your hearts to protect us civilians and our wealth!\Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness!\If you think it's only natural that people die for others,\then I'm sure you'll understand.\Sometimes, sacrificing one precious life can save many others.\Just you try it! response:	I've known your boss for a long time.
context: That's only natural!\It's your duty to offer up your hearts to protect us civilians and our wealth!\Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness!\If you think it's only natural that people die for others,\then I'm sure you'll understand.\Sometimes, sacrificing one precious life can save many others.\Just you try it!\I've known your boss for a long time. response:	You're just a grunt. I can tell him to end you!
context: It's your duty to offer up your hearts to protect us civilians and our wealth!\Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness!\If you think it's only natural that people die for others,\then I'm sure you'll understand.\Sometimes, sacrificing one precious life can save many others.\Just you try it!\I've known your boss for a long time.\You're just a grunt. I can tell him to end you! response:	But how is a corpse going to tell him anything?
context: Don't get all high and mighty just because you parasites have finally emerged from 100 years of uselessness!\If you think it's only natural that people die for others,\then I'm sure you'll understand.\Sometimes, sacrificing one precious life can save many others.\Just you try it!\I've known your boss for a long time.\You're just a grunt. I can tell him to end you!\But how is a corpse going to tell him anything? response:	Wait!
context: If you think it's only natural that people die for others,\then I'm sure you'll understand.\Sometimes, sacrificing one precious life can save many others.\Just you try it!\I've known your boss for a long time.\You're just a grunt. I can tell him to end you!\But how is a corpse going to tell him anything?\Wait! response:	B-Boss...
context: then I'm sure you'll understand.\Sometimes, sacrificing one precious life can save many others.\Just you try it!\I've known your boss for a long time.\You're just a grunt. I can tell him to end you!\But how is a corpse going to tell him anything?\Wait!\B-Boss... response:	Pull the cart out.
context: Sometimes, sacrificing one precious life can save many others.\Just you try it!\I've known your boss for a long time.\You're just a grunt. I can tell him to end you!\But how is a corpse going to tell him anything?\Wait!\B-Boss...\Pull the cart out. response:	Thank you, Ms. Soldier!
context: Just you try it!\I've known your boss for a long time.\You're just a grunt. I can tell him to end you!\But how is a corpse going to tell him anything?\Wait!\B-Boss...\Pull the cart out.\Thank you, Ms. Soldier! response:	You saved our lives.
context: I've known your boss for a long time.\You're just a grunt. I can tell him to end you!\But how is a corpse going to tell him anything?\Wait!\B-Boss...\Pull the cart out.\Thank you, Ms. Soldier!\You saved our lives. response:	Thank you so much.
context: You're just a grunt. I can tell him to end you!\But how is a corpse going to tell him anything?\Wait!\B-Boss...\Pull the cart out.\Thank you, Ms. Soldier!\You saved our lives.\Thank you so much. response:	Well done, Ackerman.
context: But how is a corpse going to tell him anything?\Wait!\B-Boss...\Pull the cart out.\Thank you, Ms. Soldier!\You saved our lives.\Thank you so much.\Well done, Ackerman. response:	I'm impressed.
context: Wait!\B-Boss...\Pull the cart out.\Thank you, Ms. Soldier!\You saved our lives.\Thank you so much.\Well done, Ackerman.\I'm impressed. response:	Thank you, Sir.
