context: It's gotten worse. response:	I see...
context: Unless you have some particular reason not to, why don't you talk to him?\Well, I do.\Yes?\I do have a reason.\I would like to show\I would like to show\Cut open my skull\Cut open my skull response:	Look into my head
context: Well, I do.\Yes?\I do have a reason.\I would like to show\I would like to show\Cut open my skull\Cut open my skull\Look into my head response:	Look into my head
context: Yes?\I do have a reason.\I would like to show\I would like to show\Cut open my skull\Cut open my skull\Look into my head\Look into my head response:	I don't know why I'm so harsh
context: I do have a reason.\I would like to show\I would like to show\Cut open my skull\Cut open my skull\Look into my head\Look into my head\I don't know why I'm so harsh response:	I don't know why I'm so harsh
context: I would like to show\I would like to show\Cut open my skull\Cut open my skull\Look into my head\Look into my head\I don't know why I'm so harsh\I don't know why I'm so harsh response:	I could be so brash
context: I would like to show\Cut open my skull\Cut open my skull\Look into my head\Look into my head\I don't know why I'm so harsh\I don't know why I'm so harsh\I could be so brash response:	I could be so brash
context: Cut open my skull\Cut open my skull\Look into my head\Look into my head\I don't know why I'm so harsh\I don't know why I'm so harsh\I could be so brash\I could be so brash response:	I'm going to clash
context: Cut open my skull\Look into my head\Look into my head\I don't know why I'm so harsh\I don't know why I'm so harsh\I could be so brash\I could be so brash\I'm going to clash response:	I'm going to clash
context: Look into my head\Look into my head\I don't know why I'm so harsh\I don't know why I'm so harsh\I could be so brash\I could be so brash\I'm going to clash\I'm going to clash response:	'Cause I feel
context: Look into my head\I don't know why I'm so harsh\I don't know why I'm so harsh\I could be so brash\I could be so brash\I'm going to clash\I'm going to clash\'Cause I feel response:	'Cause I feel
context: I don't know why I'm so harsh\I don't know why I'm so harsh\I could be so brash\I could be so brash\I'm going to clash\I'm going to clash\'Cause I feel\'Cause I feel response:	I can always show my everything to you
context: I don't know why I'm so harsh\I could be so brash\I could be so brash\I'm going to clash\I'm going to clash\'Cause I feel\'Cause I feel\I can always show my everything to you response:	I can always show my everything to you
context: I could be so brash\I could be so brash\I'm going to clash\I'm going to clash\'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you response:	If this moment was for me
context: I could be so brash\I'm going to clash\I'm going to clash\'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me response:	If this moment was for me
context: I'm going to clash\I'm going to clash\'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me response:	I try to hear, lend my ear
context: I'm going to clash\'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear response:	I try to hear, lend my ear
context: 'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: 'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all response:	Voices inside, one link to join it all
context: I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all response:	Again
context: I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\Again response:	Again
context: If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\Again\Again response:	'Cause I feel
context: If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\Again\Again\'Cause I feel response:	'Cause I feel
context: I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\Again\Again\'Cause I feel\'Cause I feel response:	I can always show my everything to you
context: I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\Again\Again\'Cause I feel\'Cause I feel\I can always show my everything to you response:	I can always show my everything to you
context: Voices inside, one link to join it all\Voices inside, one link to join it all\Again\Again\'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you response:	If this moment was for me
context: Voices inside, one link to join it all\Again\Again\'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me response:	If this moment was for me
context: Again\Again\'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me response:	I try to hear, lend my ear
context: Again\'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear response:	I try to hear, lend my ear
context: 'Cause I feel\'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: 'Cause I feel\I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all response:	Voices inside, one link to join it all
context: I can always show my everything to you\I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all response:	So it goes
context: I can always show my everything to you\If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\So it goes response:	So it goes
context: If this moment was for me\If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\So it goes\So it goes response:	Again
context: If this moment was for me\I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\So it goes\So it goes\Again response:	Again
context: I try to hear, lend my ear\I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\So it goes\So it goes\Again\Again response:	I read the report.
context: I try to hear, lend my ear\Voices inside, one link to join it all\Voices inside, one link to join it all\So it goes\So it goes\Again\Again\I read the report. response:	13: Invitation from the Abyss
context: Voices inside, one link to join it all\Voices inside, one link to join it all\So it goes\So it goes\Again\Again\I read the report.\13: Invitation from the Abyss response:	Can we really believe Inspector Tsunemori Akane's testimony?
context: Voices inside, one link to join it all\So it goes\So it goes\Again\Again\I read the report.\13: Invitation from the Abyss\Can we really believe Inspector Tsunemori Akane's testimony? response:	We inspected the scene very carefully.
context: So it goes\So it goes\Again\Again\I read the report.\13: Invitation from the Abyss\Can we really believe Inspector Tsunemori Akane's testimony?\We inspected the scene very carefully. response:	The distance to the target was a little less than eight meters.
context: So it goes\Again\Again\I read the report.\13: Invitation from the Abyss\Can we really believe Inspector Tsunemori Akane's testimony?\We inspected the scene very carefully.\The distance to the target was a little less than eight meters. response:	Her position relative to the victim was also clear.
context: Again\Again\I read the report.\13: Invitation from the Abyss\Can we really believe Inspector Tsunemori Akane's testimony?\We inspected the scene very carefully.\The distance to the target was a little less than eight meters.\Her position relative to the victim was also clear. response:	The crime was clearly committed right before Inspector Tsunemori's eyes,
context: Again\I read the report.\13: Invitation from the Abyss\Can we really believe Inspector Tsunemori Akane's testimony?\We inspected the scene very carefully.\The distance to the target was a little less than eight meters.\Her position relative to the victim was also clear.\The crime was clearly committed right before Inspector Tsunemori's eyes, response:	and yet the Dominator didn't work properly.
context: I read the report.\13: Invitation from the Abyss\Can we really believe Inspector Tsunemori Akane's testimony?\We inspected the scene very carefully.\The distance to the target was a little less than eight meters.\Her position relative to the victim was also clear.\The crime was clearly committed right before Inspector Tsunemori's eyes,\and yet the Dominator didn't work properly. response:	I heard that the victim was a close friend of Inspector Tsunemori.
context: 13: Invitation from the Abyss\Can we really believe Inspector Tsunemori Akane's testimony?\We inspected the scene very carefully.\The distance to the target was a little less than eight meters.\Her position relative to the victim was also clear.\The crime was clearly committed right before Inspector Tsunemori's eyes,\and yet the Dominator didn't work properly.\I heard that the victim was a close friend of Inspector Tsunemori. response:	Is it possible that she was too shaken up to operate the Dominator correctly?
context: Can we really believe Inspector Tsunemori Akane's testimony?\We inspected the scene very carefully.\The distance to the target was a little less than eight meters.\Her position relative to the victim was also clear.\The crime was clearly committed right before Inspector Tsunemori's eyes,\and yet the Dominator didn't work properly.\I heard that the victim was a close friend of Inspector Tsunemori.\Is it possible that she was too shaken up to operate the Dominator correctly? response:	She isn't that incompetent.
context: We inspected the scene very carefully.\The distance to the target was a little less than eight meters.\Her position relative to the victim was also clear.\The crime was clearly committed right before Inspector Tsunemori's eyes,\and yet the Dominator didn't work properly.\I heard that the victim was a close friend of Inspector Tsunemori.\Is it possible that she was too shaken up to operate the Dominator correctly?\She isn't that incompetent. response:	You mentioned in one of your previous reports that she lacks experience.
context: The distance to the target was a little less than eight meters.\Her position relative to the victim was also clear.\The crime was clearly committed right before Inspector Tsunemori's eyes,\and yet the Dominator didn't work properly.\I heard that the victim was a close friend of Inspector Tsunemori.\Is it possible that she was too shaken up to operate the Dominator correctly?\She isn't that incompetent.\You mentioned in one of your previous reports that she lacks experience. response:	Even so, she possesses genuine aptitude.
context: Her position relative to the victim was also clear.\The crime was clearly committed right before Inspector Tsunemori's eyes,\and yet the Dominator didn't work properly.\I heard that the victim was a close friend of Inspector Tsunemori.\Is it possible that she was too shaken up to operate the Dominator correctly?\She isn't that incompetent.\You mentioned in one of your previous reports that she lacks experience.\Even so, she possesses genuine aptitude. response:	Her ability as an Inspector has been proven by the Sibyl System's aptitude test.
context: The crime was clearly committed right before Inspector Tsunemori's eyes,\and yet the Dominator didn't work properly.\I heard that the victim was a close friend of Inspector Tsunemori.\Is it possible that she was too shaken up to operate the Dominator correctly?\She isn't that incompetent.\You mentioned in one of your previous reports that she lacks experience.\Even so, she possesses genuine aptitude.\Her ability as an Inspector has been proven by the Sibyl System's aptitude test. response:	And yet, you have submitted a report that questions that same Sibyl's Judgment.
context: and yet the Dominator didn't work properly.\I heard that the victim was a close friend of Inspector Tsunemori.\Is it possible that she was too shaken up to operate the Dominator correctly?\She isn't that incompetent.\You mentioned in one of your previous reports that she lacks experience.\Even so, she possesses genuine aptitude.\Her ability as an Inspector has been proven by the Sibyl System's aptitude test.\And yet, you have submitted a report that questions that same Sibyl's Judgment. response:	Ginoza.
context: I heard that the victim was a close friend of Inspector Tsunemori.\Is it possible that she was too shaken up to operate the Dominator correctly?\She isn't that incompetent.\You mentioned in one of your previous reports that she lacks experience.\Even so, she possesses genuine aptitude.\Her ability as an Inspector has been proven by the Sibyl System's aptitude test.\And yet, you have submitted a report that questions that same Sibyl's Judgment.\Ginoza. response:	Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people.
context: Is it possible that she was too shaken up to operate the Dominator correctly?\She isn't that incompetent.\You mentioned in one of your previous reports that she lacks experience.\Even so, she possesses genuine aptitude.\Her ability as an Inspector has been proven by the Sibyl System's aptitude test.\And yet, you have submitted a report that questions that same Sibyl's Judgment.\Ginoza.\Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people. response:	What do you think makes that possible?
context: She isn't that incompetent.\You mentioned in one of your previous reports that she lacks experience.\Even so, she possesses genuine aptitude.\Her ability as an Inspector has been proven by the Sibyl System's aptitude test.\And yet, you have submitted a report that questions that same Sibyl's Judgment.\Ginoza.\Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people.\What do you think makes that possible? response:	That would be... the Ministry of Welfare's Sibyl System.
context: You mentioned in one of your previous reports that she lacks experience.\Even so, she possesses genuine aptitude.\Her ability as an Inspector has been proven by the Sibyl System's aptitude test.\And yet, you have submitted a report that questions that same Sibyl's Judgment.\Ginoza.\Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people.\What do you think makes that possible?\That would be... the Ministry of Welfare's Sibyl System. response:	That's right.
context: Even so, she possesses genuine aptitude.\Her ability as an Inspector has been proven by the Sibyl System's aptitude test.\And yet, you have submitted a report that questions that same Sibyl's Judgment.\Ginoza.\Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people.\What do you think makes that possible?\That would be... the Ministry of Welfare's Sibyl System.\That's right. response:	Whether in planning one's life,
context: Her ability as an Inspector has been proven by the Sibyl System's aptitude test.\And yet, you have submitted a report that questions that same Sibyl's Judgment.\Ginoza.\Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people.\What do you think makes that possible?\That would be... the Ministry of Welfare's Sibyl System.\That's right.\Whether in planning one's life, response:	or obtaining what one desires,
context: And yet, you have submitted a report that questions that same Sibyl's Judgment.\Ginoza.\Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people.\What do you think makes that possible?\That would be... the Ministry of Welfare's Sibyl System.\That's right.\Whether in planning one's life,\or obtaining what one desires, response:	when people make choices, no matter what they are,
context: Ginoza.\Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people.\What do you think makes that possible?\That would be... the Ministry of Welfare's Sibyl System.\That's right.\Whether in planning one's life,\or obtaining what one desires,\when people make choices, no matter what they are, response:	they ask for Sibyl's Judgment rather than agonize over it.
context: Today, the world enjoys a stable prosperity with the greatest happiness for the greatest number of people.\What do you think makes that possible?\That would be... the Ministry of Welfare's Sibyl System.\That's right.\Whether in planning one's life,\or obtaining what one desires,\when people make choices, no matter what they are,\they ask for Sibyl's Judgment rather than agonize over it. response:	Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history.
context: What do you think makes that possible?\That would be... the Ministry of Welfare's Sibyl System.\That's right.\Whether in planning one's life,\or obtaining what one desires,\when people make choices, no matter what they are,\they ask for Sibyl's Judgment rather than agonize over it.\Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history. response:	That's exactly why Sibyl has to be perfect.
context: That would be... the Ministry of Welfare's Sibyl System.\That's right.\Whether in planning one's life,\or obtaining what one desires,\when people make choices, no matter what they are,\they ask for Sibyl's Judgment rather than agonize over it.\Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history.\That's exactly why Sibyl has to be perfect. response:	Indeed.
context: That's right.\Whether in planning one's life,\or obtaining what one desires,\when people make choices, no matter what they are,\they ask for Sibyl's Judgment rather than agonize over it.\Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history.\That's exactly why Sibyl has to be perfect.\Indeed. response:	No mistakes are allowed with Sibyl.
context: Whether in planning one's life,\or obtaining what one desires,\when people make choices, no matter what they are,\they ask for Sibyl's Judgment rather than agonize over it.\Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history.\That's exactly why Sibyl has to be perfect.\Indeed.\No mistakes are allowed with Sibyl. response:	That's the ideal.
context: or obtaining what one desires,\when people make choices, no matter what they are,\they ask for Sibyl's Judgment rather than agonize over it.\Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history.\That's exactly why Sibyl has to be perfect.\Indeed.\No mistakes are allowed with Sibyl.\That's the ideal. response:	However, think about it.
context: when people make choices, no matter what they are,\they ask for Sibyl's Judgment rather than agonize over it.\Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history.\That's exactly why Sibyl has to be perfect.\Indeed.\No mistakes are allowed with Sibyl.\That's the ideal.\However, think about it. response:	If the system is absolutely perfect, it shouldn't even require humans to operate it.
context: they ask for Sibyl's Judgment rather than agonize over it.\Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history.\That's exactly why Sibyl has to be perfect.\Indeed.\No mistakes are allowed with Sibyl.\That's the ideal.\However, think about it.\If the system is absolutely perfect, it shouldn't even require humans to operate it. response:	We could simply equip the Drones with. Dominators and have them patrol the city.
context: Through the Sibyl System, we create an affluent, safe world that's unprecedented in human history.\That's exactly why Sibyl has to be perfect.\Indeed.\No mistakes are allowed with Sibyl.\That's the ideal.\However, think about it.\If the system is absolutely perfect, it shouldn't even require humans to operate it.\We could simply equip the Drones with. Dominators and have them patrol the city. response:	But the Criminal Investigation Department exists within the Bureau,
context: That's exactly why Sibyl has to be perfect.\Indeed.\No mistakes are allowed with Sibyl.\That's the ideal.\However, think about it.\If the system is absolutely perfect, it shouldn't even require humans to operate it.\We could simply equip the Drones with. Dominators and have them patrol the city.\But the Criminal Investigation Department exists within the Bureau, response:	and you Inspectors and Enforcers hold the DominatorsSibyl's eyes.
context: Indeed.\No mistakes are allowed with Sibyl.\That's the ideal.\However, think about it.\If the system is absolutely perfect, it shouldn't even require humans to operate it.\We could simply equip the Drones with. Dominators and have them patrol the city.\But the Criminal Investigation Department exists within the Bureau,\and you Inspectors and Enforcers hold the DominatorsSibyl's eyes. response:	Have you thought about why that is?
context: No mistakes are allowed with Sibyl.\That's the ideal.\However, think about it.\If the system is absolutely perfect, it shouldn't even require humans to operate it.\We could simply equip the Drones with. Dominators and have them patrol the city.\But the Criminal Investigation Department exists within the Bureau,\and you Inspectors and Enforcers hold the DominatorsSibyl's eyes.\Have you thought about why that is? response:	Yes... of course.
context: That's the ideal.\However, think about it.\If the system is absolutely perfect, it shouldn't even require humans to operate it.\We could simply equip the Drones with. Dominators and have them patrol the city.\But the Criminal Investigation Department exists within the Bureau,\and you Inspectors and Enforcers hold the DominatorsSibyl's eyes.\Have you thought about why that is?\Yes... of course. response:	No matter how perfect the system is made to be,
context: However, think about it.\If the system is absolutely perfect, it shouldn't even require humans to operate it.\We could simply equip the Drones with. Dominators and have them patrol the city.\But the Criminal Investigation Department exists within the Bureau,\and you Inspectors and Enforcers hold the DominatorsSibyl's eyes.\Have you thought about why that is?\Yes... of course.\No matter how perfect the system is made to be, response:	it needs a safety net to deal with unforeseeable circumstances.
context: If the system is absolutely perfect, it shouldn't even require humans to operate it.\We could simply equip the Drones with. Dominators and have them patrol the city.\But the Criminal Investigation Department exists within the Bureau,\and you Inspectors and Enforcers hold the DominatorsSibyl's eyes.\Have you thought about why that is?\Yes... of course.\No matter how perfect the system is made to be,\it needs a safety net to deal with unforeseeable circumstances. response:	When the ability to flexibly respond in an emergency
context: We could simply equip the Drones with. Dominators and have them patrol the city.\But the Criminal Investigation Department exists within the Bureau,\and you Inspectors and Enforcers hold the DominatorsSibyl's eyes.\Have you thought about why that is?\Yes... of course.\No matter how perfect the system is made to be,\it needs a safety net to deal with unforeseeable circumstances.\When the ability to flexibly respond in an emergency response:	and temporary measures to handle malfunctions are added, that is when the system becomes perfect.
context: But the Criminal Investigation Department exists within the Bureau,\and you Inspectors and Enforcers hold the DominatorsSibyl's eyes.\Have you thought about why that is?\Yes... of course.\No matter how perfect the system is made to be,\it needs a safety net to deal with unforeseeable circumstances.\When the ability to flexibly respond in an emergency\and temporary measures to handle malfunctions are added, that is when the system becomes perfect. response:	For a system such as this,
context: and you Inspectors and Enforcers hold the DominatorsSibyl's eyes.\Have you thought about why that is?\Yes... of course.\No matter how perfect the system is made to be,\it needs a safety net to deal with unforeseeable circumstances.\When the ability to flexibly respond in an emergency\and temporary measures to handle malfunctions are added, that is when the system becomes perfect.\For a system such as this, response:	the most important thing is not that it functions perfectly, but that people continue to believe that it does.
context: Have you thought about why that is?\Yes... of course.\No matter how perfect the system is made to be,\it needs a safety net to deal with unforeseeable circumstances.\When the ability to flexibly respond in an emergency\and temporary measures to handle malfunctions are added, that is when the system becomes perfect.\For a system such as this,\the most important thing is not that it functions perfectly, but that people continue to believe that it does. response:	Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now.
context: Yes... of course.\No matter how perfect the system is made to be,\it needs a safety net to deal with unforeseeable circumstances.\When the ability to flexibly respond in an emergency\and temporary measures to handle malfunctions are added, that is when the system becomes perfect.\For a system such as this,\the most important thing is not that it functions perfectly, but that people continue to believe that it does.\Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now. response:	Understood.
context: No matter how perfect the system is made to be,\it needs a safety net to deal with unforeseeable circumstances.\When the ability to flexibly respond in an emergency\and temporary measures to handle malfunctions are added, that is when the system becomes perfect.\For a system such as this,\the most important thing is not that it functions perfectly, but that people continue to believe that it does.\Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now.\Understood. response:	Ginoza.
context: it needs a safety net to deal with unforeseeable circumstances.\When the ability to flexibly respond in an emergency\and temporary measures to handle malfunctions are added, that is when the system becomes perfect.\For a system such as this,\the most important thing is not that it functions perfectly, but that people continue to believe that it does.\Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now.\Understood.\Ginoza. response:	I think quite highly of you.
context: When the ability to flexibly respond in an emergency\and temporary measures to handle malfunctions are added, that is when the system becomes perfect.\For a system such as this,\the most important thing is not that it functions perfectly, but that people continue to believe that it does.\Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now.\Understood.\Ginoza.\I think quite highly of you. response:	Normally, this classified information wouldn't be accessible to someone of your rank,
context: and temporary measures to handle malfunctions are added, that is when the system becomes perfect.\For a system such as this,\the most important thing is not that it functions perfectly, but that people continue to believe that it does.\Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now.\Understood.\Ginoza.\I think quite highly of you.\Normally, this classified information wouldn't be accessible to someone of your rank, response:	but I'll show it to you based on the relationship of trust between us.
context: For a system such as this,\the most important thing is not that it functions perfectly, but that people continue to believe that it does.\Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now.\Understood.\Ginoza.\I think quite highly of you.\Normally, this classified information wouldn't be accessible to someone of your rank,\but I'll show it to you based on the relationship of trust between us. response:	Keep it secret.
context: the most important thing is not that it functions perfectly, but that people continue to believe that it does.\Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now.\Understood.\Ginoza.\I think quite highly of you.\Normally, this classified information wouldn't be accessible to someone of your rank,\but I'll show it to you based on the relationship of trust between us.\Keep it secret. response:	This is...
context: Thanks to their belief in the system and sense of security, Sibyl brings blessings to people even now.\Understood.\Ginoza.\I think quite highly of you.\Normally, this classified information wouldn't be accessible to someone of your rank,\but I'll show it to you based on the relationship of trust between us.\Keep it secret.\This is... response:	This is the record of a certain man's arrest.
context: Understood.\Ginoza.\I think quite highly of you.\Normally, this classified information wouldn't be accessible to someone of your rank,\but I'll show it to you based on the relationship of trust between us.\Keep it secret.\This is...\This is the record of a certain man's arrest. response:	He was taken into custody without his Crime Coefficient being measured...
context: Ginoza.\I think quite highly of you.\Normally, this classified information wouldn't be accessible to someone of your rank,\but I'll show it to you based on the relationship of trust between us.\Keep it secret.\This is...\This is the record of a certain man's arrest.\He was taken into custody without his Crime Coefficient being measured... response:	although on the record, he was brought in voluntarily.
context: I think quite highly of you.\Normally, this classified information wouldn't be accessible to someone of your rank,\but I'll show it to you based on the relationship of trust between us.\Keep it secret.\This is...\This is the record of a certain man's arrest.\He was taken into custody without his Crime Coefficient being measured...\although on the record, he was brought in voluntarily. response:	Touma... Kouzaburou...
context: Normally, this classified information wouldn't be accessible to someone of your rank,\but I'll show it to you based on the relationship of trust between us.\Keep it secret.\This is...\This is the record of a certain man's arrest.\He was taken into custody without his Crime Coefficient being measured...\although on the record, he was brought in voluntarily.\Touma... Kouzaburou... response:	He's the primary suspect in a serial murder case that stirred up the public three years ago.
context: but I'll show it to you based on the relationship of trust between us.\Keep it secret.\This is...\This is the record of a certain man's arrest.\He was taken into custody without his Crime Coefficient being measured...\although on the record, he was brought in voluntarily.\Touma... Kouzaburou...\He's the primary suspect in a serial murder case that stirred up the public three years ago. response:	I think those of you out in the field called it the Specimen Case.
context: Keep it secret.\This is...\This is the record of a certain man's arrest.\He was taken into custody without his Crime Coefficient being measured...\although on the record, he was brought in voluntarily.\Touma... Kouzaburou...\He's the primary suspect in a serial murder case that stirred up the public three years ago.\I think those of you out in the field called it the Specimen Case. response:	In the end, Division 2, who caught this man, was put under a strict gag order.
context: This is...\This is the record of a certain man's arrest.\He was taken into custody without his Crime Coefficient being measured...\although on the record, he was brought in voluntarily.\Touma... Kouzaburou...\He's the primary suspect in a serial murder case that stirred up the public three years ago.\I think those of you out in the field called it the Specimen Case.\In the end, Division 2, who caught this man, was put under a strict gag order. response:	Why?! Do you have any idea what we went through to...
