context: The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: The incident from two weeks ago...\The Apocalypse Virus outbreak called the second coming of Lost Christmas\has led to the blockage of the entire city center.\Internet and phone lines are down and the TV and radio stations have gone silent.\People are now living at local evacuation sites.\Students have automatically gathered here at Tennozu First High School.\They can't contact their families\and they can't go home because they live outside the blockaded area. response:	So, they've stayed here.
context: The Apocalypse Virus outbreak called the second coming of Lost Christmas\has led to the blockage of the entire city center.\Internet and phone lines are down and the TV and radio stations have gone silent.\People are now living at local evacuation sites.\Students have automatically gathered here at Tennozu First High School.\They can't contact their families\and they can't go home because they live outside the blockaded area.\So, they've stayed here. response:	The GHQ announcements say the blockade will be lifted at any moment.
context: has led to the blockage of the entire city center.\Internet and phone lines are down and the TV and radio stations have gone silent.\People are now living at local evacuation sites.\Students have automatically gathered here at Tennozu First High School.\They can't contact their families\and they can't go home because they live outside the blockaded area.\So, they've stayed here.\The GHQ announcements say the blockade will be lifted at any moment. response:	But some people, like Yahiro, seem to doubt that...
context: Internet and phone lines are down and the TV and radio stations have gone silent.\People are now living at local evacuation sites.\Students have automatically gathered here at Tennozu First High School.\They can't contact their families\and they can't go home because they live outside the blockaded area.\So, they've stayed here.\The GHQ announcements say the blockade will be lifted at any moment.\But some people, like Yahiro, seem to doubt that... response:	But I don't think the blockade will last much longer.
context: People are now living at local evacuation sites.\Students have automatically gathered here at Tennozu First High School.\They can't contact their families\and they can't go home because they live outside the blockaded area.\So, they've stayed here.\The GHQ announcements say the blockade will be lifted at any moment.\But some people, like Yahiro, seem to doubt that...\But I don't think the blockade will last much longer. response:	Shu.
context: Students have automatically gathered here at Tennozu First High School.\They can't contact their families\and they can't go home because they live outside the blockaded area.\So, they've stayed here.\The GHQ announcements say the blockade will be lifted at any moment.\But some people, like Yahiro, seem to doubt that...\But I don't think the blockade will last much longer.\Shu. response:	You're here again?
context: They can't contact their families\and they can't go home because they live outside the blockaded area.\So, they've stayed here.\The GHQ announcements say the blockade will be lifted at any moment.\But some people, like Yahiro, seem to doubt that...\But I don't think the blockade will last much longer.\Shu.\You're here again? response:	Yeah.
context: and they can't go home because they live outside the blockaded area.\So, they've stayed here.\The GHQ announcements say the blockade will be lifted at any moment.\But some people, like Yahiro, seem to doubt that...\But I don't think the blockade will last much longer.\Shu.\You're here again?\Yeah. response:	My feet just seem to take me here.
context: So, they've stayed here.\The GHQ announcements say the blockade will be lifted at any moment.\But some people, like Yahiro, seem to doubt that...\But I don't think the blockade will last much longer.\Shu.\You're here again?\Yeah.\My feet just seem to take me here. response:	It's... all over now, isn't it... Gai.
context: The GHQ announcements say the blockade will be lifted at any moment.\But some people, like Yahiro, seem to doubt that...\But I don't think the blockade will last much longer.\Shu.\You're here again?\Yeah.\My feet just seem to take me here.\It's... all over now, isn't it... Gai. response:	Ouch...
context: But some people, like Yahiro, seem to doubt that...\But I don't think the blockade will last much longer.\Shu.\You're here again?\Yeah.\My feet just seem to take me here.\It's... all over now, isn't it... Gai.\Ouch... response:	What am I even doing?
context: But I don't think the blockade will last much longer.\Shu.\You're here again?\Yeah.\My feet just seem to take me here.\It's... all over now, isn't it... Gai.\Ouch...\What am I even doing? response:	A little rowdy, aren't you?
context: Shu.\You're here again?\Yeah.\My feet just seem to take me here.\It's... all over now, isn't it... Gai.\Ouch...\What am I even doing?\A little rowdy, aren't you? response:	Are you okay? Can you stand?
context: You're here again?\Yeah.\My feet just seem to take me here.\It's... all over now, isn't it... Gai.\Ouch...\What am I even doing?\A little rowdy, aren't you?\Are you okay? Can you stand? response:	Get lost.
context: Yeah.\My feet just seem to take me here.\It's... all over now, isn't it... Gai.\Ouch...\What am I even doing?\A little rowdy, aren't you?\Are you okay? Can you stand?\Get lost. response:	Don't be like that.
context: My feet just seem to take me here.\It's... all over now, isn't it... Gai.\Ouch...\What am I even doing?\A little rowdy, aren't you?\Are you okay? Can you stand?\Get lost.\Don't be like that. response:	We're just offering to help.
context: It's... all over now, isn't it... Gai.\Ouch...\What am I even doing?\A little rowdy, aren't you?\Are you okay? Can you stand?\Get lost.\Don't be like that.\We're just offering to help. response:	I didn't ask for your help.
context: Ouch...\What am I even doing?\A little rowdy, aren't you?\Are you okay? Can you stand?\Get lost.\Don't be like that.\We're just offering to help.\I didn't ask for your help. response:	Oh, you're one of those I can do it myself types, huh?
context: What am I even doing?\A little rowdy, aren't you?\Are you okay? Can you stand?\Get lost.\Don't be like that.\We're just offering to help.\I didn't ask for your help.\Oh, you're one of those I can do it myself types, huh? response:	Go away!
context: A little rowdy, aren't you?\Are you okay? Can you stand?\Get lost.\Don't be like that.\We're just offering to help.\I didn't ask for your help.\Oh, you're one of those I can do it myself types, huh?\Go away! response:	What, you only sweet to your honey?
context: Are you okay? Can you stand?\Get lost.\Don't be like that.\We're just offering to help.\I didn't ask for your help.\Oh, you're one of those I can do it myself types, huh?\Go away!\What, you only sweet to your honey? response:	There's nothing wrong with being stoic,
context: Get lost.\Don't be like that.\We're just offering to help.\I didn't ask for your help.\Oh, you're one of those I can do it myself types, huh?\Go away!\What, you only sweet to your honey?\There's nothing wrong with being stoic, response:	but it pisses me off when people don't appreciate my kindness.
context: Don't be like that.\We're just offering to help.\I didn't ask for your help.\Oh, you're one of those I can do it myself types, huh?\Go away!\What, you only sweet to your honey?\There's nothing wrong with being stoic,\but it pisses me off when people don't appreciate my kindness. response:	So let's be friendly with one another.
context: We're just offering to help.\I didn't ask for your help.\Oh, you're one of those I can do it myself types, huh?\Go away!\What, you only sweet to your honey?\There's nothing wrong with being stoic,\but it pisses me off when people don't appreciate my kindness.\So let's be friendly with one another. response:	Hey, stop it.
context: I didn't ask for your help.\Oh, you're one of those I can do it myself types, huh?\Go away!\What, you only sweet to your honey?\There's nothing wrong with being stoic,\but it pisses me off when people don't appreciate my kindness.\So let's be friendly with one another.\Hey, stop it. response:	What do you want?
context: Oh, you're one of those I can do it myself types, huh?\Go away!\What, you only sweet to your honey?\There's nothing wrong with being stoic,\but it pisses me off when people don't appreciate my kindness.\So let's be friendly with one another.\Hey, stop it.\What do you want? response:	No, what are you doing? To a girl that fell down too.
context: Go away!\What, you only sweet to your honey?\There's nothing wrong with being stoic,\but it pisses me off when people don't appreciate my kindness.\So let's be friendly with one another.\Hey, stop it.\What do you want?\No, what are you doing? To a girl that fell down too. response:	We were demonstrating a spirit of cooperation in this time of trouble.
context: What, you only sweet to your honey?\There's nothing wrong with being stoic,\but it pisses me off when people don't appreciate my kindness.\So let's be friendly with one another.\Hey, stop it.\What do you want?\No, what are you doing? To a girl that fell down too.\We were demonstrating a spirit of cooperation in this time of trouble. response:	Yup! Is there a problem with that?
context: There's nothing wrong with being stoic,\but it pisses me off when people don't appreciate my kindness.\So let's be friendly with one another.\Hey, stop it.\What do you want?\No, what are you doing? To a girl that fell down too.\We were demonstrating a spirit of cooperation in this time of trouble.\Yup! Is there a problem with that? response:	Missile Kick!
context: but it pisses me off when people don't appreciate my kindness.\So let's be friendly with one another.\Hey, stop it.\What do you want?\No, what are you doing? To a girl that fell down too.\We were demonstrating a spirit of cooperation in this time of trouble.\Yup! Is there a problem with that?\Missile Kick! response:	What the hell what that for?
context: So let's be friendly with one another.\Hey, stop it.\What do you want?\No, what are you doing? To a girl that fell down too.\We were demonstrating a spirit of cooperation in this time of trouble.\Yup! Is there a problem with that?\Missile Kick!\What the hell what that for? response:	What was that for?
context: Hey, stop it.\What do you want?\No, what are you doing? To a girl that fell down too.\We were demonstrating a spirit of cooperation in this time of trouble.\Yup! Is there a problem with that?\Missile Kick!\What the hell what that for?\What was that for? response:	You tell me! What are you doing to Aya? Perverts!
context: What do you want?\No, what are you doing? To a girl that fell down too.\We were demonstrating a spirit of cooperation in this time of trouble.\Yup! Is there a problem with that?\Missile Kick!\What the hell what that for?\What was that for?\You tell me! What are you doing to Aya? Perverts! response:	Hey, don't lump me in with
context: No, what are you doing? To a girl that fell down too.\We were demonstrating a spirit of cooperation in this time of trouble.\Yup! Is there a problem with that?\Missile Kick!\What the hell what that for?\What was that for?\You tell me! What are you doing to Aya? Perverts!\Hey, don't lump me in with response:	Piss off, shrimp
context: We were demonstrating a spirit of cooperation in this time of trouble.\Yup! Is there a problem with that?\Missile Kick!\What the hell what that for?\What was that for?\You tell me! What are you doing to Aya? Perverts!\Hey, don't lump me in with\Piss off, shrimp response:	Nay! I'm just getting started!
context: Yup! Is there a problem with that?\Missile Kick!\What the hell what that for?\What was that for?\You tell me! What are you doing to Aya? Perverts!\Hey, don't lump me in with\Piss off, shrimp\Nay! I'm just getting started! response:	Hey.
context: Missile Kick!\What the hell what that for?\What was that for?\You tell me! What are you doing to Aya? Perverts!\Hey, don't lump me in with\Piss off, shrimp\Nay! I'm just getting started!\Hey. response:	You'll regret this.
context: What the hell what that for?\What was that for?\You tell me! What are you doing to Aya? Perverts!\Hey, don't lump me in with\Piss off, shrimp\Nay! I'm just getting started!\Hey.\You'll regret this. response:	Yeah right! Like I'd waste a single millibyte storing this memory!
context: What was that for?\You tell me! What are you doing to Aya? Perverts!\Hey, don't lump me in with\Piss off, shrimp\Nay! I'm just getting started!\Hey.\You'll regret this.\Yeah right! Like I'd waste a single millibyte storing this memory! response:	You all right?
context: You tell me! What are you doing to Aya? Perverts!\Hey, don't lump me in with\Piss off, shrimp\Nay! I'm just getting started!\Hey.\You'll regret this.\Yeah right! Like I'd waste a single millibyte storing this memory!\You all right? response:	Did something happen?
context: Hey, don't lump me in with\Piss off, shrimp\Nay! I'm just getting started!\Hey.\You'll regret this.\Yeah right! Like I'd waste a single millibyte storing this memory!\You all right?\Did something happen? response:	Nah, they were just hassling me a little.
context: Piss off, shrimp\Nay! I'm just getting started!\Hey.\You'll regret this.\Yeah right! Like I'd waste a single millibyte storing this memory!\You all right?\Did something happen?\Nah, they were just hassling me a little. response:	Say, would you mind leaving?
context: Nay! I'm just getting started!\Hey.\You'll regret this.\Yeah right! Like I'd waste a single millibyte storing this memory!\You all right?\Did something happen?\Nah, they were just hassling me a little.\Say, would you mind leaving? response:	But...
context: Hey.\You'll regret this.\Yeah right! Like I'd waste a single millibyte storing this memory!\You all right?\Did something happen?\Nah, they were just hassling me a little.\Say, would you mind leaving?\But... response:	I told you before, didn't I? I refuse to accept help from anyone.
context: You'll regret this.\Yeah right! Like I'd waste a single millibyte storing this memory!\You all right?\Did something happen?\Nah, they were just hassling me a little.\Say, would you mind leaving?\But...\I told you before, didn't I? I refuse to accept help from anyone. response:	I don't look elegant crawling up into it.
context: Yeah right! Like I'd waste a single millibyte storing this memory!\You all right?\Did something happen?\Nah, they were just hassling me a little.\Say, would you mind leaving?\But...\I told you before, didn't I? I refuse to accept help from anyone.\I don't look elegant crawling up into it. response:	Let's go, Shu.
context: You all right?\Did something happen?\Nah, they were just hassling me a little.\Say, would you mind leaving?\But...\I told you before, didn't I? I refuse to accept help from anyone.\I don't look elegant crawling up into it.\Let's go, Shu. response:	Right...
context: Did something happen?\Nah, they were just hassling me a little.\Say, would you mind leaving?\But...\I told you before, didn't I? I refuse to accept help from anyone.\I don't look elegant crawling up into it.\Let's go, Shu.\Right... response:	She's in pretty bad shape.
context: Nah, they were just hassling me a little.\Say, would you mind leaving?\But...\I told you before, didn't I? I refuse to accept help from anyone.\I don't look elegant crawling up into it.\Let's go, Shu.\Right...\She's in pretty bad shape. response:	I knew it...
context: Say, would you mind leaving?\But...\I told you before, didn't I? I refuse to accept help from anyone.\I don't look elegant crawling up into it.\Let's go, Shu.\Right...\She's in pretty bad shape.\I knew it... response:	Gai's death hit Aya the hardest.
context: But...\I told you before, didn't I? I refuse to accept help from anyone.\I don't look elegant crawling up into it.\Let's go, Shu.\Right...\She's in pretty bad shape.\I knew it...\Gai's death hit Aya the hardest. response:	I wonder if the Undertakers will close up shop now...
context: I told you before, didn't I? I refuse to accept help from anyone.\I don't look elegant crawling up into it.\Let's go, Shu.\Right...\She's in pretty bad shape.\I knew it...\Gai's death hit Aya the hardest.\I wonder if the Undertakers will close up shop now... response:	We got separated from the other members when it happened.
context: I don't look elegant crawling up into it.\Let's go, Shu.\Right...\She's in pretty bad shape.\I knew it...\Gai's death hit Aya the hardest.\I wonder if the Undertakers will close up shop now...\We got separated from the other members when it happened. response:	We don't know where most of our other members are,
context: Let's go, Shu.\Right...\She's in pretty bad shape.\I knew it...\Gai's death hit Aya the hardest.\I wonder if the Undertakers will close up shop now...\We got separated from the other members when it happened.\We don't know where most of our other members are, response:	but Ayase and Tsugumi are blending with the students and taking shelter here.
context: Right...\She's in pretty bad shape.\I knew it...\Gai's death hit Aya the hardest.\I wonder if the Undertakers will close up shop now...\We got separated from the other members when it happened.\We don't know where most of our other members are,\but Ayase and Tsugumi are blending with the students and taking shelter here. response:	And Gai... is gone.
context: She's in pretty bad shape.\I knew it...\Gai's death hit Aya the hardest.\I wonder if the Undertakers will close up shop now...\We got separated from the other members when it happened.\We don't know where most of our other members are,\but Ayase and Tsugumi are blending with the students and taking shelter here.\And Gai... is gone. response:	The Kuhouin Group is airlifting supplies in,
context: I knew it...\Gai's death hit Aya the hardest.\I wonder if the Undertakers will close up shop now...\We got separated from the other members when it happened.\We don't know where most of our other members are,\but Ayase and Tsugumi are blending with the students and taking shelter here.\And Gai... is gone.\The Kuhouin Group is airlifting supplies in, response:	so we're still in pretty good shape there..
context: Gai's death hit Aya the hardest.\I wonder if the Undertakers will close up shop now...\We got separated from the other members when it happened.\We don't know where most of our other members are,\but Ayase and Tsugumi are blending with the students and taking shelter here.\And Gai... is gone.\The Kuhouin Group is airlifting supplies in,\so we're still in pretty good shape there.. response:	I'm a little worried about the vaccine stock though...
context: I wonder if the Undertakers will close up shop now...\We got separated from the other members when it happened.\We don't know where most of our other members are,\but Ayase and Tsugumi are blending with the students and taking shelter here.\And Gai... is gone.\The Kuhouin Group is airlifting supplies in,\so we're still in pretty good shape there..\I'm a little worried about the vaccine stock though... response:	The effects of the virus are a concern too.
context: We got separated from the other members when it happened.\We don't know where most of our other members are,\but Ayase and Tsugumi are blending with the students and taking shelter here.\And Gai... is gone.\The Kuhouin Group is airlifting supplies in,\so we're still in pretty good shape there..\I'm a little worried about the vaccine stock though...\The effects of the virus are a concern too. response:	I'd like to secure a good supply of vaccine. Can we ask for your help?
context: We don't know where most of our other members are,\but Ayase and Tsugumi are blending with the students and taking shelter here.\And Gai... is gone.\The Kuhouin Group is airlifting supplies in,\so we're still in pretty good shape there..\I'm a little worried about the vaccine stock though...\The effects of the virus are a concern too.\I'd like to secure a good supply of vaccine. Can we ask for your help? response:	All right. I'll try to negotiate something with my grandfather.
context: but Ayase and Tsugumi are blending with the students and taking shelter here.\And Gai... is gone.\The Kuhouin Group is airlifting supplies in,\so we're still in pretty good shape there..\I'm a little worried about the vaccine stock though...\The effects of the virus are a concern too.\I'd like to secure a good supply of vaccine. Can we ask for your help?\All right. I'll try to negotiate something with my grandfather. response:	Aren't you worrying too much?
context: And Gai... is gone.\The Kuhouin Group is airlifting supplies in,\so we're still in pretty good shape there..\I'm a little worried about the vaccine stock though...\The effects of the virus are a concern too.\I'd like to secure a good supply of vaccine. Can we ask for your help?\All right. I'll try to negotiate something with my grandfather.\Aren't you worrying too much? response:	The quarantine won't last that long.
context: The Kuhouin Group is airlifting supplies in,\so we're still in pretty good shape there..\I'm a little worried about the vaccine stock though...\The effects of the virus are a concern too.\I'd like to secure a good supply of vaccine. Can we ask for your help?\All right. I'll try to negotiate something with my grandfather.\Aren't you worrying too much?\The quarantine won't last that long. response:	We can't afford to be too optimistic.
context: so we're still in pretty good shape there..\I'm a little worried about the vaccine stock though...\The effects of the virus are a concern too.\I'd like to secure a good supply of vaccine. Can we ask for your help?\All right. I'll try to negotiate something with my grandfather.\Aren't you worrying too much?\The quarantine won't last that long.\We can't afford to be too optimistic. response:	It's been two weeks, which is about when people start losing it.
context: I'm a little worried about the vaccine stock though...\The effects of the virus are a concern too.\I'd like to secure a good supply of vaccine. Can we ask for your help?\All right. I'll try to negotiate something with my grandfather.\Aren't you worrying too much?\The quarantine won't last that long.\We can't afford to be too optimistic.\It's been two weeks, which is about when people start losing it. response:	It sounds like there's already been a small riot in Shinjuku.
context: The effects of the virus are a concern too.\I'd like to secure a good supply of vaccine. Can we ask for your help?\All right. I'll try to negotiate something with my grandfather.\Aren't you worrying too much?\The quarantine won't last that long.\We can't afford to be too optimistic.\It's been two weeks, which is about when people start losing it.\It sounds like there's already been a small riot in Shinjuku. response:	He has a point. We've been seeing fights within the school too.
context: I'd like to secure a good supply of vaccine. Can we ask for your help?\All right. I'll try to negotiate something with my grandfather.\Aren't you worrying too much?\The quarantine won't last that long.\We can't afford to be too optimistic.\It's been two weeks, which is about when people start losing it.\It sounds like there's already been a small riot in Shinjuku.\He has a point. We've been seeing fights within the school too. response:	It's because everyone's tired.
context: All right. I'll try to negotiate something with my grandfather.\Aren't you worrying too much?\The quarantine won't last that long.\We can't afford to be too optimistic.\It's been two weeks, which is about when people start losing it.\It sounds like there's already been a small riot in Shinjuku.\He has a point. We've been seeing fights within the school too.\It's because everyone's tired. response:	There are a lot of kids who want to go home and can't.
context: Aren't you worrying too much?\The quarantine won't last that long.\We can't afford to be too optimistic.\It's been two weeks, which is about when people start losing it.\It sounds like there's already been a small riot in Shinjuku.\He has a point. We've been seeing fights within the school too.\It's because everyone's tired.\There are a lot of kids who want to go home and can't. response:	If we could at least give them a breather, that would help...
context: The quarantine won't last that long.\We can't afford to be too optimistic.\It's been two weeks, which is about when people start losing it.\It sounds like there's already been a small riot in Shinjuku.\He has a point. We've been seeing fights within the school too.\It's because everyone's tired.\There are a lot of kids who want to go home and can't.\If we could at least give them a breather, that would help... response:	Come to think of it...!
context: We can't afford to be too optimistic.\It's been two weeks, which is about when people start losing it.\It sounds like there's already been a small riot in Shinjuku.\He has a point. We've been seeing fights within the school too.\It's because everyone's tired.\There are a lot of kids who want to go home and can't.\If we could at least give them a breather, that would help...\Come to think of it...! response:	What is it, Souta?
context: It's been two weeks, which is about when people start losing it.\It sounds like there's already been a small riot in Shinjuku.\He has a point. We've been seeing fights within the school too.\It's because everyone's tired.\There are a lot of kids who want to go home and can't.\If we could at least give them a breather, that would help...\Come to think of it...!\What is it, Souta? response:	Say, how about we do a Culture Festival?
context: It sounds like there's already been a small riot in Shinjuku.\He has a point. We've been seeing fights within the school too.\It's because everyone's tired.\There are a lot of kids who want to go home and can't.\If we could at least give them a breather, that would help...\Come to think of it...!\What is it, Souta?\Say, how about we do a Culture Festival? response:	Huh?
context: He has a point. We've been seeing fights within the school too.\It's because everyone's tired.\There are a lot of kids who want to go home and can't.\If we could at least give them a breather, that would help...\Come to think of it...!\What is it, Souta?\Say, how about we do a Culture Festival?\Huh? response:	Normally we'd be having the Culture Festival this month, right?
context: It's because everyone's tired.\There are a lot of kids who want to go home and can't.\If we could at least give them a breather, that would help...\Come to think of it...!\What is it, Souta?\Say, how about we do a Culture Festival?\Huh?\Normally we'd be having the Culture Festival this month, right? response:	Come on, let's do it!
context: There are a lot of kids who want to go home and can't.\If we could at least give them a breather, that would help...\Come to think of it...!\What is it, Souta?\Say, how about we do a Culture Festival?\Huh?\Normally we'd be having the Culture Festival this month, right?\Come on, let's do it! response:	Are you kidding? We're in the middle of a crisis.
context: If we could at least give them a breather, that would help...\Come to think of it...!\What is it, Souta?\Say, how about we do a Culture Festival?\Huh?\Normally we'd be having the Culture Festival this month, right?\Come on, let's do it!\Are you kidding? We're in the middle of a crisis. response:	That's exactly why we should! Let's liven things up with something big
context: Come to think of it...!\What is it, Souta?\Say, how about we do a Culture Festival?\Huh?\Normally we'd be having the Culture Festival this month, right?\Come on, let's do it!\Are you kidding? We're in the middle of a crisis.\That's exactly why we should! Let's liven things up with something big response:	and clear out the bad atmosphere here!
context: What is it, Souta?\Say, how about we do a Culture Festival?\Huh?\Normally we'd be having the Culture Festival this month, right?\Come on, let's do it!\Are you kidding? We're in the middle of a crisis.\That's exactly why we should! Let's liven things up with something big\and clear out the bad atmosphere here! response:	That might be a good idea.
context: Say, how about we do a Culture Festival?\Huh?\Normally we'd be having the Culture Festival this month, right?\Come on, let's do it!\Are you kidding? We're in the middle of a crisis.\That's exactly why we should! Let's liven things up with something big\and clear out the bad atmosphere here!\That might be a good idea. response:	You too, President?
context: Huh?\Normally we'd be having the Culture Festival this month, right?\Come on, let's do it!\Are you kidding? We're in the middle of a crisis.\That's exactly why we should! Let's liven things up with something big\and clear out the bad atmosphere here!\That might be a good idea.\You too, President? response:	We have enough food to last us a while.
context: Normally we'd be having the Culture Festival this month, right?\Come on, let's do it!\Are you kidding? We're in the middle of a crisis.\That's exactly why we should! Let's liven things up with something big\and clear out the bad atmosphere here!\That might be a good idea.\You too, President?\We have enough food to last us a while. response:	I think we can pull off something if we keep it small.
context: Come on, let's do it!\Are you kidding? We're in the middle of a crisis.\That's exactly why we should! Let's liven things up with something big\and clear out the bad atmosphere here!\That might be a good idea.\You too, President?\We have enough food to last us a while.\I think we can pull off something if we keep it small. response:	You heard the lady!
