context: I see that you are awake, Slaine Troyard. response:	Where am I...?
context: the Earth's crust deformed, and there was nowhere to turn for help,\I was found by your father, Dr. Troyard, and he saved my life.\Father did that?\I have seen clearly the depths of your loyalty to the princess.\Your devotion in concealing her survival so as not to alert the assassins is admirable.\How did you know that she...?\Count Cruhteo is no traitor.\Quite the contrary, he is a true knight who has sworn fealty to the princess. response:	While I am the traitor who plotted her assassination.
context: I was found by your father, Dr. Troyard, and he saved my life.\Father did that?\I have seen clearly the depths of your loyalty to the princess.\Your devotion in concealing her survival so as not to alert the assassins is admirable.\How did you know that she...?\Count Cruhteo is no traitor.\Quite the contrary, he is a true knight who has sworn fealty to the princess.\While I am the traitor who plotted her assassination. response:	Pay close attention to your surroundings. Come on, infrared, too.
context: Father did that?\I have seen clearly the depths of your loyalty to the princess.\Your devotion in concealing her survival so as not to alert the assassins is admirable.\How did you know that she...?\Count Cruhteo is no traitor.\Quite the contrary, he is a true knight who has sworn fealty to the princess.\While I am the traitor who plotted her assassination.\Pay close attention to your surroundings. Come on, infrared, too. response:	Keep your guard up.
context: I have seen clearly the depths of your loyalty to the princess.\Your devotion in concealing her survival so as not to alert the assassins is admirable.\How did you know that she...?\Count Cruhteo is no traitor.\Quite the contrary, he is a true knight who has sworn fealty to the princess.\While I am the traitor who plotted her assassination.\Pay close attention to your surroundings. Come on, infrared, too.\Keep your guard up. response:	Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal!
context: Your devotion in concealing her survival so as not to alert the assassins is admirable.\How did you know that she...?\Count Cruhteo is no traitor.\Quite the contrary, he is a true knight who has sworn fealty to the princess.\While I am the traitor who plotted her assassination.\Pay close attention to your surroundings. Come on, infrared, too.\Keep your guard up.\Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal! response:	Flagging as hostiles! Almost in effective weapons range!
context: How did you know that she...?\Count Cruhteo is no traitor.\Quite the contrary, he is a true knight who has sworn fealty to the princess.\While I am the traitor who plotted her assassination.\Pay close attention to your surroundings. Come on, infrared, too.\Keep your guard up.\Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal!\Flagging as hostiles! Almost in effective weapons range! response:	Now engaging!
context: Count Cruhteo is no traitor.\Quite the contrary, he is a true knight who has sworn fealty to the princess.\While I am the traitor who plotted her assassination.\Pay close attention to your surroundings. Come on, infrared, too.\Keep your guard up.\Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal!\Flagging as hostiles! Almost in effective weapons range!\Now engaging! response:	Wow, Inko's good.
context: Quite the contrary, he is a true knight who has sworn fealty to the princess.\While I am the traitor who plotted her assassination.\Pay close attention to your surroundings. Come on, infrared, too.\Keep your guard up.\Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal!\Flagging as hostiles! Almost in effective weapons range!\Now engaging!\Wow, Inko's good. response:	She has pretty good instincts. You here to practice, too, Calm?
context: While I am the traitor who plotted her assassination.\Pay close attention to your surroundings. Come on, infrared, too.\Keep your guard up.\Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal!\Flagging as hostiles! Almost in effective weapons range!\Now engaging!\Wow, Inko's good.\She has pretty good instincts. You here to practice, too, Calm? response:	I got assigned to maintenance crew.
context: Pay close attention to your surroundings. Come on, infrared, too.\Keep your guard up.\Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal!\Flagging as hostiles! Almost in effective weapons range!\Now engaging!\Wow, Inko's good.\She has pretty good instincts. You here to practice, too, Calm?\I got assigned to maintenance crew. response:	For now, maybe.
context: Keep your guard up.\Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal!\Flagging as hostiles! Almost in effective weapons range!\Now engaging!\Wow, Inko's good.\She has pretty good instincts. You here to practice, too, Calm?\I got assigned to maintenance crew.\For now, maybe. response:	You mean there might be an opening?
context: Yes, ma'am! Three aircraft, 2 o'clock! No IFF signal!\Flagging as hostiles! Almost in effective weapons range!\Now engaging!\Wow, Inko's good.\She has pretty good instincts. You here to practice, too, Calm?\I got assigned to maintenance crew.\For now, maybe.\You mean there might be an opening? response:	This is war, after all.
context: Flagging as hostiles! Almost in effective weapons range!\Now engaging!\Wow, Inko's good.\She has pretty good instincts. You here to practice, too, Calm?\I got assigned to maintenance crew.\For now, maybe.\You mean there might be an opening?\This is war, after all. response:	Let me try.
context: Now engaging!\Wow, Inko's good.\She has pretty good instincts. You here to practice, too, Calm?\I got assigned to maintenance crew.\For now, maybe.\You mean there might be an opening?\This is war, after all.\Let me try. response:	Hey, Sniper Girl.
context: Wow, Inko's good.\She has pretty good instincts. You here to practice, too, Calm?\I got assigned to maintenance crew.\For now, maybe.\You mean there might be an opening?\This is war, after all.\Let me try.\Hey, Sniper Girl. response:	But I thought you hadn't had any military training.
context: She has pretty good instincts. You here to practice, too, Calm?\I got assigned to maintenance crew.\For now, maybe.\You mean there might be an opening?\This is war, after all.\Let me try.\Hey, Sniper Girl.\But I thought you hadn't had any military training. response:	I learned from games.
context: I got assigned to maintenance crew.\For now, maybe.\You mean there might be an opening?\This is war, after all.\Let me try.\Hey, Sniper Girl.\But I thought you hadn't had any military training.\I learned from games. response:	Sim-Kat 10, you mean? That's such a solid game...
context: For now, maybe.\You mean there might be an opening?\This is war, after all.\Let me try.\Hey, Sniper Girl.\But I thought you hadn't had any military training.\I learned from games.\Sim-Kat 10, you mean? That's such a solid game... response:	I'm only so-so in live drills, but I kick ass on that game.
context: You mean there might be an opening?\This is war, after all.\Let me try.\Hey, Sniper Girl.\But I thought you hadn't had any military training.\I learned from games.\Sim-Kat 10, you mean? That's such a solid game...\I'm only so-so in live drills, but I kick ass on that game. response:	Man, I'm amazed you learned to pilot the real thing from a game...
context: This is war, after all.\Let me try.\Hey, Sniper Girl.\But I thought you hadn't had any military training.\I learned from games.\Sim-Kat 10, you mean? That's such a solid game...\I'm only so-so in live drills, but I kick ass on that game.\Man, I'm amazed you learned to pilot the real thing from a game... response:	The Martians, huh?
context: Let me try.\Hey, Sniper Girl.\But I thought you hadn't had any military training.\I learned from games.\Sim-Kat 10, you mean? That's such a solid game...\I'm only so-so in live drills, but I kick ass on that game.\Man, I'm amazed you learned to pilot the real thing from a game...\The Martians, huh? response:	They look exactly the same as us Terrans, huh? You'd never know unless somebody told you.
context: Hey, Sniper Girl.\But I thought you hadn't had any military training.\I learned from games.\Sim-Kat 10, you mean? That's such a solid game...\I'm only so-so in live drills, but I kick ass on that game.\Man, I'm amazed you learned to pilot the real thing from a game...\The Martians, huh?\They look exactly the same as us Terrans, huh? You'd never know unless somebody told you. response:	Inaho's such a jerk. He knew who she really was, but didn't tell us.
context: But I thought you hadn't had any military training.\I learned from games.\Sim-Kat 10, you mean? That's such a solid game...\I'm only so-so in live drills, but I kick ass on that game.\Man, I'm amazed you learned to pilot the real thing from a game...\The Martians, huh?\They look exactly the same as us Terrans, huh? You'd never know unless somebody told you.\Inaho's such a jerk. He knew who she really was, but didn't tell us. response:	My Nao has grown up, I guess.
context: I learned from games.\Sim-Kat 10, you mean? That's such a solid game...\I'm only so-so in live drills, but I kick ass on that game.\Man, I'm amazed you learned to pilot the real thing from a game...\The Martians, huh?\They look exactly the same as us Terrans, huh? You'd never know unless somebody told you.\Inaho's such a jerk. He knew who she really was, but didn't tell us.\My Nao has grown up, I guess. response:	I just wish that he had opened up to his big sister, at least.
context: Sim-Kat 10, you mean? That's such a solid game...\I'm only so-so in live drills, but I kick ass on that game.\Man, I'm amazed you learned to pilot the real thing from a game...\The Martians, huh?\They look exactly the same as us Terrans, huh? You'd never know unless somebody told you.\Inaho's such a jerk. He knew who she really was, but didn't tell us.\My Nao has grown up, I guess.\I just wish that he had opened up to his big sister, at least. response:	Since he met a girl he likes, and all...
context: I'm only so-so in live drills, but I kick ass on that game.\Man, I'm amazed you learned to pilot the real thing from a game...\The Martians, huh?\They look exactly the same as us Terrans, huh? You'd never know unless somebody told you.\Inaho's such a jerk. He knew who she really was, but didn't tell us.\My Nao has grown up, I guess.\I just wish that he had opened up to his big sister, at least.\Since he met a girl he likes, and all... response:	Come again?
context: Man, I'm amazed you learned to pilot the real thing from a game...\The Martians, huh?\They look exactly the same as us Terrans, huh? You'd never know unless somebody told you.\Inaho's such a jerk. He knew who she really was, but didn't tell us.\My Nao has grown up, I guess.\I just wish that he had opened up to his big sister, at least.\Since he met a girl he likes, and all...\Come again? response:	What's that supposed to mean?!
context: The Martians, huh?\They look exactly the same as us Terrans, huh? You'd never know unless somebody told you.\Inaho's such a jerk. He knew who she really was, but didn't tell us.\My Nao has grown up, I guess.\I just wish that he had opened up to his big sister, at least.\Since he met a girl he likes, and all...\Come again?\What's that supposed to mean?! response:	Given the times we live in, a Martian won't be met with open arms,
context: They look exactly the same as us Terrans, huh? You'd never know unless somebody told you.\Inaho's such a jerk. He knew who she really was, but didn't tell us.\My Nao has grown up, I guess.\I just wish that he had opened up to his big sister, at least.\Since he met a girl he likes, and all...\Come again?\What's that supposed to mean?!\Given the times we live in, a Martian won't be met with open arms, response:	but if he marries a princess, my little Nao would be marrying into serious money!
context: Inaho's such a jerk. He knew who she really was, but didn't tell us.\My Nao has grown up, I guess.\I just wish that he had opened up to his big sister, at least.\Since he met a girl he likes, and all...\Come again?\What's that supposed to mean?!\Given the times we live in, a Martian won't be met with open arms,\but if he marries a princess, my little Nao would be marrying into serious money! response:	Is that true?! Is that what he'll do?!
context: My Nao has grown up, I guess.\I just wish that he had opened up to his big sister, at least.\Since he met a girl he likes, and all...\Come again?\What's that supposed to mean?!\Given the times we live in, a Martian won't be met with open arms,\but if he marries a princess, my little Nao would be marrying into serious money!\Is that true?! Is that what he'll do?! response:	I don't get that vibe at all.
context: I just wish that he had opened up to his big sister, at least.\Since he met a girl he likes, and all...\Come again?\What's that supposed to mean?!\Given the times we live in, a Martian won't be met with open arms,\but if he marries a princess, my little Nao would be marrying into serious money!\Is that true?! Is that what he'll do?!\I don't get that vibe at all. response:	He never cracks a smile, and he has the same old grumpy look on his face..
context: Since he met a girl he likes, and all...\Come again?\What's that supposed to mean?!\Given the times we live in, a Martian won't be met with open arms,\but if he marries a princess, my little Nao would be marrying into serious money!\Is that true?! Is that what he'll do?!\I don't get that vibe at all.\He never cracks a smile, and he has the same old grumpy look on his face.. response:	It's totally different.
context: Come again?\What's that supposed to mean?!\Given the times we live in, a Martian won't be met with open arms,\but if he marries a princess, my little Nao would be marrying into serious money!\Is that true?! Is that what he'll do?!\I don't get that vibe at all.\He never cracks a smile, and he has the same old grumpy look on his face..\It's totally different. response:	Really?
context: What's that supposed to mean?!\Given the times we live in, a Martian won't be met with open arms,\but if he marries a princess, my little Nao would be marrying into serious money!\Is that true?! Is that what he'll do?!\I don't get that vibe at all.\He never cracks a smile, and he has the same old grumpy look on his face..\It's totally different.\Really? response:	I'm family, so I can tell.
context: Given the times we live in, a Martian won't be met with open arms,\but if he marries a princess, my little Nao would be marrying into serious money!\Is that true?! Is that what he'll do?!\I don't get that vibe at all.\He never cracks a smile, and he has the same old grumpy look on his face..\It's totally different.\Really?\I'm family, so I can tell. response:	I know how he looks when he's happy, when he's depressed,
context: but if he marries a princess, my little Nao would be marrying into serious money!\Is that true?! Is that what he'll do?!\I don't get that vibe at all.\He never cracks a smile, and he has the same old grumpy look on his face..\It's totally different.\Really?\I'm family, so I can tell.\I know how he looks when he's happy, when he's depressed, response:	and when he's lying.
context: Is that true?! Is that what he'll do?!\I don't get that vibe at all.\He never cracks a smile, and he has the same old grumpy look on his face..\It's totally different.\Really?\I'm family, so I can tell.\I know how he looks when he's happy, when he's depressed,\and when he's lying. response:	That is his I'm on cloud nine face.
context: I don't get that vibe at all.\He never cracks a smile, and he has the same old grumpy look on his face..\It's totally different.\Really?\I'm family, so I can tell.\I know how he looks when he's happy, when he's depressed,\and when he's lying.\That is his I'm on cloud nine face. response:	I dunno...
context: He never cracks a smile, and he has the same old grumpy look on his face..\It's totally different.\Really?\I'm family, so I can tell.\I know how he looks when he's happy, when he's depressed,\and when he's lying.\That is his I'm on cloud nine face.\I dunno... response:	For starters, that cold fish listening intently to a girl is unusual in and of itself, right?
context: It's totally different.\Really?\I'm family, so I can tell.\I know how he looks when he's happy, when he's depressed,\and when he's lying.\That is his I'm on cloud nine face.\I dunno...\For starters, that cold fish listening intently to a girl is unusual in and of itself, right? response:	Now that is true!
context: Really?\I'm family, so I can tell.\I know how he looks when he's happy, when he's depressed,\and when he's lying.\That is his I'm on cloud nine face.\I dunno...\For starters, that cold fish listening intently to a girl is unusual in and of itself, right?\Now that is true! response:	For that boy, it's the ultimate expression of affection.
context: I'm family, so I can tell.\I know how he looks when he's happy, when he's depressed,\and when he's lying.\That is his I'm on cloud nine face.\I dunno...\For starters, that cold fish listening intently to a girl is unusual in and of itself, right?\Now that is true!\For that boy, it's the ultimate expression of affection. response:	Warrant Officer Kaizuka! May I take a break?
context: I know how he looks when he's happy, when he's depressed,\and when he's lying.\That is his I'm on cloud nine face.\I dunno...\For starters, that cold fish listening intently to a girl is unusual in and of itself, right?\Now that is true!\For that boy, it's the ultimate expression of affection.\Warrant Officer Kaizuka! May I take a break? response:	Sure.
context: and when he's lying.\That is his I'm on cloud nine face.\I dunno...\For starters, that cold fish listening intently to a girl is unusual in and of itself, right?\Now that is true!\For that boy, it's the ultimate expression of affection.\Warrant Officer Kaizuka! May I take a break?\Sure. response:	Me, too!
context: That is his I'm on cloud nine face.\I dunno...\For starters, that cold fish listening intently to a girl is unusual in and of itself, right?\Now that is true!\For that boy, it's the ultimate expression of affection.\Warrant Officer Kaizuka! May I take a break?\Sure.\Me, too! response:	May I use the simulator?
context: I dunno...\For starters, that cold fish listening intently to a girl is unusual in and of itself, right?\Now that is true!\For that boy, it's the ultimate expression of affection.\Warrant Officer Kaizuka! May I take a break?\Sure.\Me, too!\May I use the simulator? response:	Sure, of course. You don't want to join them?
context: For starters, that cold fish listening intently to a girl is unusual in and of itself, right?\Now that is true!\For that boy, it's the ultimate expression of affection.\Warrant Officer Kaizuka! May I take a break?\Sure.\Me, too!\May I use the simulator?\Sure, of course. You don't want to join them? response:	Can you really tell?
context: Now that is true!\For that boy, it's the ultimate expression of affection.\Warrant Officer Kaizuka! May I take a break?\Sure.\Me, too!\May I use the simulator?\Sure, of course. You don't want to join them?\Can you really tell? response:	When someone is lying?
context: For that boy, it's the ultimate expression of affection.\Warrant Officer Kaizuka! May I take a break?\Sure.\Me, too!\May I use the simulator?\Sure, of course. You don't want to join them?\Can you really tell?\When someone is lying? response:	Pretty much. I mean, I can tell from your face that you're lying.
context: Warrant Officer Kaizuka! May I take a break?\Sure.\Me, too!\May I use the simulator?\Sure, of course. You don't want to join them?\Can you really tell?\When someone is lying?\Pretty much. I mean, I can tell from your face that you're lying. response:	A Martian!
context: Sure.\Me, too!\May I use the simulator?\Sure, of course. You don't want to join them?\Can you really tell?\When someone is lying?\Pretty much. I mean, I can tell from your face that you're lying.\A Martian! response:	And a princess, to boot!
context: Me, too!\May I use the simulator?\Sure, of course. You don't want to join them?\Can you really tell?\When someone is lying?\Pretty much. I mean, I can tell from your face that you're lying.\A Martian!\And a princess, to boot! response:	Guys sure love to try to tackle a challenge, huh?
context: May I use the simulator?\Sure, of course. You don't want to join them?\Can you really tell?\When someone is lying?\Pretty much. I mean, I can tell from your face that you're lying.\A Martian!\And a princess, to boot!\Guys sure love to try to tackle a challenge, huh? response:	But you have a shot, too, so don't give up. Hang in there.
context: Sure, of course. You don't want to join them?\Can you really tell?\When someone is lying?\Pretty much. I mean, I can tell from your face that you're lying.\A Martian!\And a princess, to boot!\Guys sure love to try to tackle a challenge, huh?\But you have a shot, too, so don't give up. Hang in there. response:	As a big sister, I love that my little brother is so popular with the girls.
context: Can you really tell?\When someone is lying?\Pretty much. I mean, I can tell from your face that you're lying.\A Martian!\And a princess, to boot!\Guys sure love to try to tackle a challenge, huh?\But you have a shot, too, so don't give up. Hang in there.\As a big sister, I love that my little brother is so popular with the girls. response:	These are the 26 Landing Castle drop points
context: When someone is lying?\Pretty much. I mean, I can tell from your face that you're lying.\A Martian!\And a princess, to boot!\Guys sure love to try to tackle a challenge, huh?\But you have a shot, too, so don't give up. Hang in there.\As a big sister, I love that my little brother is so popular with the girls.\These are the 26 Landing Castle drop points response:	confirmed before contact was lost with our main force.
context: Pretty much. I mean, I can tell from your face that you're lying.\A Martian!\And a princess, to boot!\Guys sure love to try to tackle a challenge, huh?\But you have a shot, too, so don't give up. Hang in there.\As a big sister, I love that my little brother is so popular with the girls.\These are the 26 Landing Castle drop points\confirmed before contact was lost with our main force. response:	However, the Mars Knights consists of 37 Clans.
context: A Martian!\And a princess, to boot!\Guys sure love to try to tackle a challenge, huh?\But you have a shot, too, so don't give up. Hang in there.\As a big sister, I love that my little brother is so popular with the girls.\These are the 26 Landing Castle drop points\confirmed before contact was lost with our main force.\However, the Mars Knights consists of 37 Clans. response:	There is a possibility that other Landing Castles have come down.
context: And a princess, to boot!\Guys sure love to try to tackle a challenge, huh?\But you have a shot, too, so don't give up. Hang in there.\As a big sister, I love that my little brother is so popular with the girls.\These are the 26 Landing Castle drop points\confirmed before contact was lost with our main force.\However, the Mars Knights consists of 37 Clans.\There is a possibility that other Landing Castles have come down. response:	Given what we've seen, there is a possibility
context: Guys sure love to try to tackle a challenge, huh?\But you have a shot, too, so don't give up. Hang in there.\As a big sister, I love that my little brother is so popular with the girls.\These are the 26 Landing Castle drop points\confirmed before contact was lost with our main force.\However, the Mars Knights consists of 37 Clans.\There is a possibility that other Landing Castles have come down.\Given what we've seen, there is a possibility response:	that their invasion has extended to urban areas.
context: But you have a shot, too, so don't give up. Hang in there.\As a big sister, I love that my little brother is so popular with the girls.\These are the 26 Landing Castle drop points\confirmed before contact was lost with our main force.\However, the Mars Knights consists of 37 Clans.\There is a possibility that other Landing Castles have come down.\Given what we've seen, there is a possibility\that their invasion has extended to urban areas. response:	Therefore, we can minimize the possibility of enemy encounters
context: As a big sister, I love that my little brother is so popular with the girls.\These are the 26 Landing Castle drop points\confirmed before contact was lost with our main force.\However, the Mars Knights consists of 37 Clans.\There is a possibility that other Landing Castles have come down.\Given what we've seen, there is a possibility\that their invasion has extended to urban areas.\Therefore, we can minimize the possibility of enemy encounters response:	by plotting a route through low population density areas,
context: These are the 26 Landing Castle drop points\confirmed before contact was lost with our main force.\However, the Mars Knights consists of 37 Clans.\There is a possibility that other Landing Castles have come down.\Given what we've seen, there is a possibility\that their invasion has extended to urban areas.\Therefore, we can minimize the possibility of enemy encounters\by plotting a route through low population density areas, response:	avoiding radar, and flying at low altitude.
context: confirmed before contact was lost with our main force.\However, the Mars Knights consists of 37 Clans.\There is a possibility that other Landing Castles have come down.\Given what we've seen, there is a possibility\that their invasion has extended to urban areas.\Therefore, we can minimize the possibility of enemy encounters\by plotting a route through low population density areas,\avoiding radar, and flying at low altitude. response:	Mizusaki.
context: However, the Mars Knights consists of 37 Clans.\There is a possibility that other Landing Castles have come down.\Given what we've seen, there is a possibility\that their invasion has extended to urban areas.\Therefore, we can minimize the possibility of enemy encounters\by plotting a route through low population density areas,\avoiding radar, and flying at low altitude.\Mizusaki. response:	Ma'am?
context: There is a possibility that other Landing Castles have come down.\Given what we've seen, there is a possibility\that their invasion has extended to urban areas.\Therefore, we can minimize the possibility of enemy encounters\by plotting a route through low population density areas,\avoiding radar, and flying at low altitude.\Mizusaki.\Ma'am? response:	Would you like to know why you can't get a date?
context: Given what we've seen, there is a possibility\that their invasion has extended to urban areas.\Therefore, we can minimize the possibility of enemy encounters\by plotting a route through low population density areas,\avoiding radar, and flying at low altitude.\Mizusaki.\Ma'am?\Would you like to know why you can't get a date? response:	Possibility, possibility, possibility...
context: that their invasion has extended to urban areas.\Therefore, we can minimize the possibility of enemy encounters\by plotting a route through low population density areas,\avoiding radar, and flying at low altitude.\Mizusaki.\Ma'am?\Would you like to know why you can't get a date?\Possibility, possibility, possibility... response:	If you do nothing but play it safe, you'll never bump into Mr. Right.
context: Therefore, we can minimize the possibility of enemy encounters\by plotting a route through low population density areas,\avoiding radar, and flying at low altitude.\Mizusaki.\Ma'am?\Would you like to know why you can't get a date?\Possibility, possibility, possibility...\If you do nothing but play it safe, you'll never bump into Mr. Right. response:	I was given to understand that one should form a bond first, ma'am.
context: by plotting a route through low population density areas,\avoiding radar, and flying at low altitude.\Mizusaki.\Ma'am?\Would you like to know why you can't get a date?\Possibility, possibility, possibility...\If you do nothing but play it safe, you'll never bump into Mr. Right.\I was given to understand that one should form a bond first, ma'am. response:	All right, let's go with your I want to make steady progress towards my goal,
context: avoiding radar, and flying at low altitude.\Mizusaki.\Ma'am?\Would you like to know why you can't get a date?\Possibility, possibility, possibility...\If you do nothing but play it safe, you'll never bump into Mr. Right.\I was given to understand that one should form a bond first, ma'am.\All right, let's go with your I want to make steady progress towards my goal, response:	even if means holding my nose sort of operation.
context: Mizusaki.\Ma'am?\Would you like to know why you can't get a date?\Possibility, possibility, possibility...\If you do nothing but play it safe, you'll never bump into Mr. Right.\I was given to understand that one should form a bond first, ma'am.\All right, let's go with your I want to make steady progress towards my goal,\even if means holding my nose sort of operation. response:	You don't approve?
context: Ma'am?\Would you like to know why you can't get a date?\Possibility, possibility, possibility...\If you do nothing but play it safe, you'll never bump into Mr. Right.\I was given to understand that one should form a bond first, ma'am.\All right, let's go with your I want to make steady progress towards my goal,\even if means holding my nose sort of operation.\You don't approve? response:	No, I think it's a very simple operation.
context: Would you like to know why you can't get a date?\Possibility, possibility, possibility...\If you do nothing but play it safe, you'll never bump into Mr. Right.\I was given to understand that one should form a bond first, ma'am.\All right, let's go with your I want to make steady progress towards my goal,\even if means holding my nose sort of operation.\You don't approve?\No, I think it's a very simple operation. response:	She doesn't approve...
context: Possibility, possibility, possibility...\If you do nothing but play it safe, you'll never bump into Mr. Right.\I was given to understand that one should form a bond first, ma'am.\All right, let's go with your I want to make steady progress towards my goal,\even if means holding my nose sort of operation.\You don't approve?\No, I think it's a very simple operation.\She doesn't approve... response:	Target destroyed.
context: If you do nothing but play it safe, you'll never bump into Mr. Right.\I was given to understand that one should form a bond first, ma'am.\All right, let's go with your I want to make steady progress towards my goal,\even if means holding my nose sort of operation.\You don't approve?\No, I think it's a very simple operation.\She doesn't approve...\Target destroyed. response:	Okay, simulation complete. Rayet, right?
context: I was given to understand that one should form a bond first, ma'am.\All right, let's go with your I want to make steady progress towards my goal,\even if means holding my nose sort of operation.\You don't approve?\No, I think it's a very simple operation.\She doesn't approve...\Target destroyed.\Okay, simulation complete. Rayet, right? response:	You've got some skills. Gamers are a formidable bunch.
