context: I'm Sunakawa Ai, response:	a college freshman.
context: Rose Kiss 2\Why are you reading shoujo manga?\I'm just trying to learn as much as I can about how girls think.\Are you going to see Yamato-san today, too?\No, I've got no such plans today.\Takeo! I recommend this one, too!\This is a real tearjerker!\My Boyfriend and Me response:	You'll die from cuteness overload!
context: Why are you reading shoujo manga?\I'm just trying to learn as much as I can about how girls think.\Are you going to see Yamato-san today, too?\No, I've got no such plans today.\Takeo! I recommend this one, too!\This is a real tearjerker!\My Boyfriend and Me\You'll die from cuteness overload! response:	All Because of Love My Boyfriend and Me
context: I'm just trying to learn as much as I can about how girls think.\Are you going to see Yamato-san today, too?\No, I've got no such plans today.\Takeo! I recommend this one, too!\This is a real tearjerker!\My Boyfriend and Me\You'll die from cuteness overload!\All Because of Love My Boyfriend and Me response:	Thanks, guys.
context: Are you going to see Yamato-san today, too?\No, I've got no such plans today.\Takeo! I recommend this one, too!\This is a real tearjerker!\My Boyfriend and Me\You'll die from cuteness overload!\All Because of Love My Boyfriend and Me\Thanks, guys. response:	Wow!
context: No, I've got no such plans today.\Takeo! I recommend this one, too!\This is a real tearjerker!\My Boyfriend and Me\You'll die from cuteness overload!\All Because of Love My Boyfriend and Me\Thanks, guys.\Wow! response:	She's a real stunner!
context: Takeo! I recommend this one, too!\This is a real tearjerker!\My Boyfriend and Me\You'll die from cuteness overload!\All Because of Love My Boyfriend and Me\Thanks, guys.\Wow!\She's a real stunner! response:	What's she doing here?
context: This is a real tearjerker!\My Boyfriend and Me\You'll die from cuteness overload!\All Because of Love My Boyfriend and Me\Thanks, guys.\Wow!\She's a real stunner!\What's she doing here? response:	Maybe she has a younger boyfriend?
context: My Boyfriend and Me\You'll die from cuteness overload!\All Because of Love My Boyfriend and Me\Thanks, guys.\Wow!\She's a real stunner!\What's she doing here?\Maybe she has a younger boyfriend? response:	Maybe I'll go say hi.
context: You'll die from cuteness overload!\All Because of Love My Boyfriend and Me\Thanks, guys.\Wow!\She's a real stunner!\What's she doing here?\Maybe she has a younger boyfriend?\Maybe I'll go say hi. response:	Oh, it's Sis.
context: All Because of Love My Boyfriend and Me\Thanks, guys.\Wow!\She's a real stunner!\What's she doing here?\Maybe she has a younger boyfriend?\Maybe I'll go say hi.\Oh, it's Sis. response:	Sunakawa Ai Now!
context: Thanks, guys.\Wow!\She's a real stunner!\What's she doing here?\Maybe she has a younger boyfriend?\Maybe I'll go say hi.\Oh, it's Sis.\Sunakawa Ai Now! response:	Come with me and don't tell Takeo.
context: Wow!\She's a real stunner!\What's she doing here?\Maybe she has a younger boyfriend?\Maybe I'll go say hi.\Oh, it's Sis.\Sunakawa Ai Now!\Come with me and don't tell Takeo. response:	I think I'll go home early.
context: She's a real stunner!\What's she doing here?\Maybe she has a younger boyfriend?\Maybe I'll go say hi.\Oh, it's Sis.\Sunakawa Ai Now!\Come with me and don't tell Takeo.\I think I'll go home early. response:	Sure, I'm leaving once I finish this one.
context: What's she doing here?\Maybe she has a younger boyfriend?\Maybe I'll go say hi.\Oh, it's Sis.\Sunakawa Ai Now!\Come with me and don't tell Takeo.\I think I'll go home early.\Sure, I'm leaving once I finish this one. response:	I'll text you later.
context: Maybe she has a younger boyfriend?\Maybe I'll go say hi.\Oh, it's Sis.\Sunakawa Ai Now!\Come with me and don't tell Takeo.\I think I'll go home early.\Sure, I'm leaving once I finish this one.\I'll text you later. response:	Yamato-san...
context: Maybe I'll go say hi.\Oh, it's Sis.\Sunakawa Ai Now!\Come with me and don't tell Takeo.\I think I'll go home early.\Sure, I'm leaving once I finish this one.\I'll text you later.\Yamato-san... response:	Oh, hello!
context: Oh, it's Sis.\Sunakawa Ai Now!\Come with me and don't tell Takeo.\I think I'll go home early.\Sure, I'm leaving once I finish this one.\I'll text you later.\Yamato-san...\Oh, hello! response:	Koizumi Girls' Academy
context: Sunakawa Ai Now!\Come with me and don't tell Takeo.\I think I'll go home early.\Sure, I'm leaving once I finish this one.\I'll text you later.\Yamato-san...\Oh, hello!\Koizumi Girls' Academy response:	Huh? Where's Takeo-kun?
context: Come with me and don't tell Takeo.\I think I'll go home early.\Sure, I'm leaving once I finish this one.\I'll text you later.\Yamato-san...\Oh, hello!\Koizumi Girls' Academy\Huh? Where's Takeo-kun? response:	Takeo isn't here.
context: I think I'll go home early.\Sure, I'm leaving once I finish this one.\I'll text you later.\Yamato-san...\Oh, hello!\Koizumi Girls' Academy\Huh? Where's Takeo-kun?\Takeo isn't here. response:	There's something I'd like to ask you.
context: Sure, I'm leaving once I finish this one.\I'll text you later.\Yamato-san...\Oh, hello!\Koizumi Girls' Academy\Huh? Where's Takeo-kun?\Takeo isn't here.\There's something I'd like to ask you. response:	Listen, Yamato-san...
context: I'll text you later.\Yamato-san...\Oh, hello!\Koizumi Girls' Academy\Huh? Where's Takeo-kun?\Takeo isn't here.\There's something I'd like to ask you.\Listen, Yamato-san... response:	You're hiding something from Takeo, aren't you?
context: Yamato-san...\Oh, hello!\Koizumi Girls' Academy\Huh? Where's Takeo-kun?\Takeo isn't here.\There's something I'd like to ask you.\Listen, Yamato-san...\You're hiding something from Takeo, aren't you? response:	Huh?
context: Oh, hello!\Koizumi Girls' Academy\Huh? Where's Takeo-kun?\Takeo isn't here.\There's something I'd like to ask you.\Listen, Yamato-san...\You're hiding something from Takeo, aren't you?\Huh? response:	Takeo's noticed.
context: Koizumi Girls' Academy\Huh? Where's Takeo-kun?\Takeo isn't here.\There's something I'd like to ask you.\Listen, Yamato-san...\You're hiding something from Takeo, aren't you?\Huh?\Takeo's noticed. response:	He knows you're hiding something.
context: Huh? Where's Takeo-kun?\Takeo isn't here.\There's something I'd like to ask you.\Listen, Yamato-san...\You're hiding something from Takeo, aren't you?\Huh?\Takeo's noticed.\He knows you're hiding something. response:	But because he doesn't know what it is, he's worried sick about it.
context: Takeo isn't here.\There's something I'd like to ask you.\Listen, Yamato-san...\You're hiding something from Takeo, aren't you?\Huh?\Takeo's noticed.\He knows you're hiding something.\But because he doesn't know what it is, he's worried sick about it. response:	Takeo-kun...
context: There's something I'd like to ask you.\Listen, Yamato-san...\You're hiding something from Takeo, aren't you?\Huh?\Takeo's noticed.\He knows you're hiding something.\But because he doesn't know what it is, he's worried sick about it.\Takeo-kun... response:	Tell me!
context: Listen, Yamato-san...\You're hiding something from Takeo, aren't you?\Huh?\Takeo's noticed.\He knows you're hiding something.\But because he doesn't know what it is, he's worried sick about it.\Takeo-kun...\Tell me! response:	You're having a hard time telling Takeo, right?
context: You're hiding something from Takeo, aren't you?\Huh?\Takeo's noticed.\He knows you're hiding something.\But because he doesn't know what it is, he's worried sick about it.\Takeo-kun...\Tell me!\You're having a hard time telling Takeo, right? response:	I won't say a word about it to him.
context: Huh?\Takeo's noticed.\He knows you're hiding something.\But because he doesn't know what it is, he's worried sick about it.\Takeo-kun...\Tell me!\You're having a hard time telling Takeo, right?\I won't say a word about it to him. response:	Sure, you will.
context: Takeo's noticed.\He knows you're hiding something.\But because he doesn't know what it is, he's worried sick about it.\Takeo-kun...\Tell me!\You're having a hard time telling Takeo, right?\I won't say a word about it to him.\Sure, you will. response:	I want Takeo to be happy!
context: He knows you're hiding something.\But because he doesn't know what it is, he's worried sick about it.\Takeo-kun...\Tell me!\You're having a hard time telling Takeo, right?\I won't say a word about it to him.\Sure, you will.\I want Takeo to be happy! response:	I need him to be happy!
context: But because he doesn't know what it is, he's worried sick about it.\Takeo-kun...\Tell me!\You're having a hard time telling Takeo, right?\I won't say a word about it to him.\Sure, you will.\I want Takeo to be happy!\I need him to be happy! response:	Of course...
context: Takeo-kun...\Tell me!\You're having a hard time telling Takeo, right?\I won't say a word about it to him.\Sure, you will.\I want Takeo to be happy!\I need him to be happy!\Of course... response:	Takeo-kun is a good person.
context: Tell me!\You're having a hard time telling Takeo, right?\I won't say a word about it to him.\Sure, you will.\I want Takeo to be happy!\I need him to be happy!\Of course...\Takeo-kun is a good person. response:	But me? To be honest...
context: You're having a hard time telling Takeo, right?\I won't say a word about it to him.\Sure, you will.\I want Takeo to be happy!\I need him to be happy!\Of course...\Takeo-kun is a good person.\But me? To be honest... response:	I'm not the good person Takeo-kun thinks I am!
context: I won't say a word about it to him.\Sure, you will.\I want Takeo to be happy!\I need him to be happy!\Of course...\Takeo-kun is a good person.\But me? To be honest...\I'm not the good person Takeo-kun thinks I am! response:	I KNEW IT
context: Sure, you will.\I want Takeo to be happy!\I need him to be happy!\Of course...\Takeo-kun is a good person.\But me? To be honest...\I'm not the good person Takeo-kun thinks I am!\I KNEW IT response:	What do you mean?
context: I want Takeo to be happy!\I need him to be happy!\Of course...\Takeo-kun is a good person.\But me? To be honest...\I'm not the good person Takeo-kun thinks I am!\I KNEW IT\What do you mean? response:	Takeo-kun has really nice skin.
context: I need him to be happy!\Of course...\Takeo-kun is a good person.\But me? To be honest...\I'm not the good person Takeo-kun thinks I am!\I KNEW IT\What do you mean?\Takeo-kun has really nice skin. response:	Yeah.
context: Of course...\Takeo-kun is a good person.\But me? To be honest...\I'm not the good person Takeo-kun thinks I am!\I KNEW IT\What do you mean?\Takeo-kun has really nice skin.\Yeah. response:	He goes to sleep early and wakes up early.
context: Takeo-kun is a good person.\But me? To be honest...\I'm not the good person Takeo-kun thinks I am!\I KNEW IT\What do you mean?\Takeo-kun has really nice skin.\Yeah.\He goes to sleep early and wakes up early. response:	He's got great skin.
context: But me? To be honest...\I'm not the good person Takeo-kun thinks I am!\I KNEW IT\What do you mean?\Takeo-kun has really nice skin.\Yeah.\He goes to sleep early and wakes up early.\He's got great skin. response:	And his eyebrows and sideburns really get to me!
context: I'm not the good person Takeo-kun thinks I am!\I KNEW IT\What do you mean?\Takeo-kun has really nice skin.\Yeah.\He goes to sleep early and wakes up early.\He's got great skin.\And his eyebrows and sideburns really get to me! response:	Yeah, they're so wild.
context: I KNEW IT\What do you mean?\Takeo-kun has really nice skin.\Yeah.\He goes to sleep early and wakes up early.\He's got great skin.\And his eyebrows and sideburns really get to me!\Yeah, they're so wild. response:	And his broad shoulders and nice pecs...
context: What do you mean?\Takeo-kun has really nice skin.\Yeah.\He goes to sleep early and wakes up early.\He's got great skin.\And his eyebrows and sideburns really get to me!\Yeah, they're so wild.\And his broad shoulders and nice pecs... response:	They've got great form, right?
context: Takeo-kun has really nice skin.\Yeah.\He goes to sleep early and wakes up early.\He's got great skin.\And his eyebrows and sideburns really get to me!\Yeah, they're so wild.\And his broad shoulders and nice pecs...\They've got great form, right? response:	They're so muscular.
context: Yeah.\He goes to sleep early and wakes up early.\He's got great skin.\And his eyebrows and sideburns really get to me!\Yeah, they're so wild.\And his broad shoulders and nice pecs...\They've got great form, right?\They're so muscular. response:	And his lips are so sexy!
context: He goes to sleep early and wakes up early.\He's got great skin.\And his eyebrows and sideburns really get to me!\Yeah, they're so wild.\And his broad shoulders and nice pecs...\They've got great form, right?\They're so muscular.\And his lips are so sexy! response:	He's the Hollywood type!
context: He's got great skin.\And his eyebrows and sideburns really get to me!\Yeah, they're so wild.\And his broad shoulders and nice pecs...\They've got great form, right?\They're so muscular.\And his lips are so sexy!\He's the Hollywood type! response:	You don't find many of them in Japan!
context: And his eyebrows and sideburns really get to me!\Yeah, they're so wild.\And his broad shoulders and nice pecs...\They've got great form, right?\They're so muscular.\And his lips are so sexy!\He's the Hollywood type!\You don't find many of them in Japan! response:	His hands are so big, too.
context: Yeah, they're so wild.\And his broad shoulders and nice pecs...\They've got great form, right?\They're so muscular.\And his lips are so sexy!\He's the Hollywood type!\You don't find many of them in Japan!\His hands are so big, too. response:	They make my heart race!
context: And his broad shoulders and nice pecs...\They've got great form, right?\They're so muscular.\And his lips are so sexy!\He's the Hollywood type!\You don't find many of them in Japan!\His hands are so big, too.\They make my heart race! response:	Yeah, I know!
context: They've got great form, right?\They're so muscular.\And his lips are so sexy!\He's the Hollywood type!\You don't find many of them in Japan!\His hands are so big, too.\They make my heart race!\Yeah, I know! response:	They're very sexy!
context: They're so muscular.\And his lips are so sexy!\He's the Hollywood type!\You don't find many of them in Japan!\His hands are so big, too.\They make my heart race!\Yeah, I know!\They're very sexy! response:	But Takeo-kun says
context: And his lips are so sexy!\He's the Hollywood type!\You don't find many of them in Japan!\His hands are so big, too.\They make my heart race!\Yeah, I know!\They're very sexy!\But Takeo-kun says response:	he won't lay a finger on me until I grow up.
context: He's the Hollywood type!\You don't find many of them in Japan!\His hands are so big, too.\They make my heart race!\Yeah, I know!\They're very sexy!\But Takeo-kun says\he won't lay a finger on me until I grow up. response:	Takeo-kun seems to think that I'm really pure and stuff,
context: You don't find many of them in Japan!\His hands are so big, too.\They make my heart race!\Yeah, I know!\They're very sexy!\But Takeo-kun says\he won't lay a finger on me until I grow up.\Takeo-kun seems to think that I'm really pure and stuff, response:	but I'm not...
context: His hands are so big, too.\They make my heart race!\Yeah, I know!\They're very sexy!\But Takeo-kun says\he won't lay a finger on me until I grow up.\Takeo-kun seems to think that I'm really pure and stuff,\but I'm not... response:	I really want to cuddle, and hold hands, and stuff.
context: They make my heart race!\Yeah, I know!\They're very sexy!\But Takeo-kun says\he won't lay a finger on me until I grow up.\Takeo-kun seems to think that I'm really pure and stuff,\but I'm not...\I really want to cuddle, and hold hands, and stuff. response:	When I'm with him, I have impure thoughts.
context: Yeah, I know!\They're very sexy!\But Takeo-kun says\he won't lay a finger on me until I grow up.\Takeo-kun seems to think that I'm really pure and stuff,\but I'm not...\I really want to cuddle, and hold hands, and stuff.\When I'm with him, I have impure thoughts. response:	But how can I tell him that?
context: They're very sexy!\But Takeo-kun says\he won't lay a finger on me until I grow up.\Takeo-kun seems to think that I'm really pure and stuff,\but I'm not...\I really want to cuddle, and hold hands, and stuff.\When I'm with him, I have impure thoughts.\But how can I tell him that? response:	If I did, he'd stop liking me.
context: But Takeo-kun says\he won't lay a finger on me until I grow up.\Takeo-kun seems to think that I'm really pure and stuff,\but I'm not...\I really want to cuddle, and hold hands, and stuff.\When I'm with him, I have impure thoughts.\But how can I tell him that?\If I did, he'd stop liking me. response:	I mean, he'd definitely back off...
context: he won't lay a finger on me until I grow up.\Takeo-kun seems to think that I'm really pure and stuff,\but I'm not...\I really want to cuddle, and hold hands, and stuff.\When I'm with him, I have impure thoughts.\But how can I tell him that?\If I did, he'd stop liking me.\I mean, he'd definitely back off... response:	Even if that's the case, I'll be fine.
context: Takeo-kun seems to think that I'm really pure and stuff,\but I'm not...\I really want to cuddle, and hold hands, and stuff.\When I'm with him, I have impure thoughts.\But how can I tell him that?\If I did, he'd stop liking me.\I mean, he'd definitely back off...\Even if that's the case, I'll be fine. response:	It's more important to me that Yamato's in knots about it.
context: but I'm not...\I really want to cuddle, and hold hands, and stuff.\When I'm with him, I have impure thoughts.\But how can I tell him that?\If I did, he'd stop liking me.\I mean, he'd definitely back off...\Even if that's the case, I'll be fine.\It's more important to me that Yamato's in knots about it. response:	What are you talking about?!
context: I really want to cuddle, and hold hands, and stuff.\When I'm with him, I have impure thoughts.\But how can I tell him that?\If I did, he'd stop liking me.\I mean, he'd definitely back off...\Even if that's the case, I'll be fine.\It's more important to me that Yamato's in knots about it.\What are you talking about?! response:	Listen, Takeo isn't that fragile!
context: When I'm with him, I have impure thoughts.\But how can I tell him that?\If I did, he'd stop liking me.\I mean, he'd definitely back off...\Even if that's the case, I'll be fine.\It's more important to me that Yamato's in knots about it.\What are you talking about?!\Listen, Takeo isn't that fragile! response:	He wouldn't back away, just because of something like that!
context: But how can I tell him that?\If I did, he'd stop liking me.\I mean, he'd definitely back off...\Even if that's the case, I'll be fine.\It's more important to me that Yamato's in knots about it.\What are you talking about?!\Listen, Takeo isn't that fragile!\He wouldn't back away, just because of something like that! response:	He's the kind of man who'll try to accept you head-on, no matter what!
context: If I did, he'd stop liking me.\I mean, he'd definitely back off...\Even if that's the case, I'll be fine.\It's more important to me that Yamato's in knots about it.\What are you talking about?!\Listen, Takeo isn't that fragile!\He wouldn't back away, just because of something like that!\He's the kind of man who'll try to accept you head-on, no matter what! response:	He's dense and trusting,
context: I mean, he'd definitely back off...\Even if that's the case, I'll be fine.\It's more important to me that Yamato's in knots about it.\What are you talking about?!\Listen, Takeo isn't that fragile!\He wouldn't back away, just because of something like that!\He's the kind of man who'll try to accept you head-on, no matter what!\He's dense and trusting, response:	so I don't blame you for misreading him,
context: Even if that's the case, I'll be fine.\It's more important to me that Yamato's in knots about it.\What are you talking about?!\Listen, Takeo isn't that fragile!\He wouldn't back away, just because of something like that!\He's the kind of man who'll try to accept you head-on, no matter what!\He's dense and trusting,\so I don't blame you for misreading him, response:	but Takeo told me...
context: It's more important to me that Yamato's in knots about it.\What are you talking about?!\Listen, Takeo isn't that fragile!\He wouldn't back away, just because of something like that!\He's the kind of man who'll try to accept you head-on, no matter what!\He's dense and trusting,\so I don't blame you for misreading him,\but Takeo told me... response:	He said, If Yamato won't tell me,
context: What are you talking about?!\Listen, Takeo isn't that fragile!\He wouldn't back away, just because of something like that!\He's the kind of man who'll try to accept you head-on, no matter what!\He's dense and trusting,\so I don't blame you for misreading him,\but Takeo told me...\He said, If Yamato won't tell me, response:	I won't have a clue.
context: Listen, Takeo isn't that fragile!\He wouldn't back away, just because of something like that!\He's the kind of man who'll try to accept you head-on, no matter what!\He's dense and trusting,\so I don't blame you for misreading him,\but Takeo told me...\He said, If Yamato won't tell me,\I won't have a clue. response:	But he also said he'd help, if only you'd tell him!
context: He wouldn't back away, just because of something like that!\He's the kind of man who'll try to accept you head-on, no matter what!\He's dense and trusting,\so I don't blame you for misreading him,\but Takeo told me...\He said, If Yamato won't tell me,\I won't have a clue.\But he also said he'd help, if only you'd tell him! response:	I'll go over to his place right now!
context: He's the kind of man who'll try to accept you head-on, no matter what!\He's dense and trusting,\so I don't blame you for misreading him,\but Takeo told me...\He said, If Yamato won't tell me,\I won't have a clue.\But he also said he'd help, if only you'd tell him!\I'll go over to his place right now! response:	Go now...
context: He's dense and trusting,\so I don't blame you for misreading him,\but Takeo told me...\He said, If Yamato won't tell me,\I won't have a clue.\But he also said he'd help, if only you'd tell him!\I'll go over to his place right now!\Go now... response:	It'll be fine.
context: so I don't blame you for misreading him,\but Takeo told me...\He said, If Yamato won't tell me,\I won't have a clue.\But he also said he'd help, if only you'd tell him!\I'll go over to his place right now!\Go now...\It'll be fine. response:	Thank you.
context: but Takeo told me...\He said, If Yamato won't tell me,\I won't have a clue.\But he also said he'd help, if only you'd tell him!\I'll go over to his place right now!\Go now...\It'll be fine.\Thank you. response:	You're a good person!
context: He said, If Yamato won't tell me,\I won't have a clue.\But he also said he'd help, if only you'd tell him!\I'll go over to his place right now!\Go now...\It'll be fine.\Thank you.\You're a good person! response:	Takeo's girlfriend is a nice girl.
context: I won't have a clue.\But he also said he'd help, if only you'd tell him!\I'll go over to his place right now!\Go now...\It'll be fine.\Thank you.\You're a good person!\Takeo's girlfriend is a nice girl. response:	They're happy together.
context: But he also said he'd help, if only you'd tell him!\I'll go over to his place right now!\Go now...\It'll be fine.\Thank you.\You're a good person!\Takeo's girlfriend is a nice girl.\They're happy together. response:	I'm happy for Takeo...
context: I'll go over to his place right now!\Go now...\It'll be fine.\Thank you.\You're a good person!\Takeo's girlfriend is a nice girl.\They're happy together.\I'm happy for Takeo... response:	Why did you fall for Takeo?
context: Go now...\It'll be fine.\Thank you.\You're a good person!\Takeo's girlfriend is a nice girl.\They're happy together.\I'm happy for Takeo...\Why did you fall for Takeo? response:	Remember the Growing Child statue
context: It'll be fine.\Thank you.\You're a good person!\Takeo's girlfriend is a nice girl.\They're happy together.\I'm happy for Takeo...\Why did you fall for Takeo?\Remember the Growing Child statue response:	in the elementary-school yard?
context: Thank you.\You're a good person!\Takeo's girlfriend is a nice girl.\They're happy together.\I'm happy for Takeo...\Why did you fall for Takeo?\Remember the Growing Child statue\in the elementary-school yard? response:	Growing Child
context: You're a good person!\Takeo's girlfriend is a nice girl.\They're happy together.\I'm happy for Takeo...\Why did you fall for Takeo?\Remember the Growing Child statue\in the elementary-school yard?\Growing Child response:	Yeah, the creepy one.
context: Takeo's girlfriend is a nice girl.\They're happy together.\I'm happy for Takeo...\Why did you fall for Takeo?\Remember the Growing Child statue\in the elementary-school yard?\Growing Child\Yeah, the creepy one. response:	I was tall and skinny,
context: They're happy together.\I'm happy for Takeo...\Why did you fall for Takeo?\Remember the Growing Child statue\in the elementary-school yard?\Growing Child\Yeah, the creepy one.\I was tall and skinny, response:	so guys started saying I looked like the statue,
context: I'm happy for Takeo...\Why did you fall for Takeo?\Remember the Growing Child statue\in the elementary-school yard?\Growing Child\Yeah, the creepy one.\I was tall and skinny,\so guys started saying I looked like the statue, response:	and gave me the nickname Growing Statue.
context: Why did you fall for Takeo?\Remember the Growing Child statue\in the elementary-school yard?\Growing Child\Yeah, the creepy one.\I was tall and skinny,\so guys started saying I looked like the statue,\and gave me the nickname Growing Statue. response:	It did a number on my self-confidence as a girl.
context: Remember the Growing Child statue\in the elementary-school yard?\Growing Child\Yeah, the creepy one.\I was tall and skinny,\so guys started saying I looked like the statue,\and gave me the nickname Growing Statue.\It did a number on my self-confidence as a girl. response:	But when I was in sixth grade,
context: in the elementary-school yard?\Growing Child\Yeah, the creepy one.\I was tall and skinny,\so guys started saying I looked like the statue,\and gave me the nickname Growing Statue.\It did a number on my self-confidence as a girl.\But when I was in sixth grade, response:	Takeo, who was in third grade at the time...
