context: Japonet, Japonet... Japonet's low prices are incredible! response:	Japonet T.V. shopping.
context: With its integrated AI chip, it automatically assumes the best position for the user.\Moreover, thanks to an original implementation, its possible to ride its back!\Straight advance!, Zig-zag! However you like it!\There's even more!\It brings you drinks and can even gather exp in games while you sleep!\Buy now and you'll get a special offer!\Only for now you'll receive the Jet-docking parts for free!\Secure yours right now! Call 0-1-2... response:	What happened?
context: Moreover, thanks to an original implementation, its possible to ride its back!\Straight advance!, Zig-zag! However you like it!\There's even more!\It brings you drinks and can even gather exp in games while you sleep!\Buy now and you'll get a special offer!\Only for now you'll receive the Jet-docking parts for free!\Secure yours right now! Call 0-1-2...\What happened? response:	N-nothing it was only a dream.
context: Straight advance!, Zig-zag! However you like it!\There's even more!\It brings you drinks and can even gather exp in games while you sleep!\Buy now and you'll get a special offer!\Only for now you'll receive the Jet-docking parts for free!\Secure yours right now! Call 0-1-2...\What happened?\N-nothing it was only a dream. response:	I see.
context: There's even more!\It brings you drinks and can even gather exp in games while you sleep!\Buy now and you'll get a special offer!\Only for now you'll receive the Jet-docking parts for free!\Secure yours right now! Call 0-1-2...\What happened?\N-nothing it was only a dream.\I see. response:	Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament.
context: It brings you drinks and can even gather exp in games while you sleep!\Buy now and you'll get a special offer!\Only for now you'll receive the Jet-docking parts for free!\Secure yours right now! Call 0-1-2...\What happened?\N-nothing it was only a dream.\I see.\Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament. response:	I haven't use it much lately.
context: Buy now and you'll get a special offer!\Only for now you'll receive the Jet-docking parts for free!\Secure yours right now! Call 0-1-2...\What happened?\N-nothing it was only a dream.\I see.\Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament.\I haven't use it much lately. response:	It might felt lonely.
context: Only for now you'll receive the Jet-docking parts for free!\Secure yours right now! Call 0-1-2...\What happened?\N-nothing it was only a dream.\I see.\Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament.\I haven't use it much lately.\It might felt lonely. response:	Wait! I actually got it from an internet auction.
context: Secure yours right now! Call 0-1-2...\What happened?\N-nothing it was only a dream.\I see.\Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament.\I haven't use it much lately.\It might felt lonely.\Wait! I actually got it from an internet auction. response:	The nekolonbus received at the competition.
context: What happened?\N-nothing it was only a dream.\I see.\Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament.\I haven't use it much lately.\It might felt lonely.\Wait! I actually got it from an internet auction.\The nekolonbus received at the competition. response:	Wake up Umaru.
context: N-nothing it was only a dream.\I see.\Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament.\I haven't use it much lately.\It might felt lonely.\Wait! I actually got it from an internet auction.\The nekolonbus received at the competition.\Wake up Umaru. response:	It's time to go to school.
context: I see.\Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament.\I haven't use it much lately.\It might felt lonely.\Wait! I actually got it from an internet auction.\The nekolonbus received at the competition.\Wake up Umaru.\It's time to go to school. response:	Right now I'll present my new song.
context: Nekolombus, If I remember, Onii-chan won it at a rock-paper-scissors tournament.\I haven't use it much lately.\It might felt lonely.\Wait! I actually got it from an internet auction.\The nekolonbus received at the competition.\Wake up Umaru.\It's time to go to school.\Right now I'll present my new song. response:	Oh! sexy-sama 20...
context: I haven't use it much lately.\It might felt lonely.\Wait! I actually got it from an internet auction.\The nekolonbus received at the competition.\Wake up Umaru.\It's time to go to school.\Right now I'll present my new song.\Oh! sexy-sama 20... response:	As I thought that pillow is dangerous.
context: It might felt lonely.\Wait! I actually got it from an internet auction.\The nekolonbus received at the competition.\Wake up Umaru.\It's time to go to school.\Right now I'll present my new song.\Oh! sexy-sama 20...\As I thought that pillow is dangerous. response:	Ah, Ebitake-san.
context: Wait! I actually got it from an internet auction.\The nekolonbus received at the competition.\Wake up Umaru.\It's time to go to school.\Right now I'll present my new song.\Oh! sexy-sama 20...\As I thought that pillow is dangerous.\Ah, Ebitake-san. response:	The beach trip was fun!
context: The nekolonbus received at the competition.\Wake up Umaru.\It's time to go to school.\Right now I'll present my new song.\Oh! sexy-sama 20...\As I thought that pillow is dangerous.\Ah, Ebitake-san.\The beach trip was fun! response:	Y-yes! I'm Ebina though.
context: Wake up Umaru.\It's time to go to school.\Right now I'll present my new song.\Oh! sexy-sama 20...\As I thought that pillow is dangerous.\Ah, Ebitake-san.\The beach trip was fun!\Y-yes! I'm Ebina though. response:	And? You wanted to ask me something?
context: It's time to go to school.\Right now I'll present my new song.\Oh! sexy-sama 20...\As I thought that pillow is dangerous.\Ah, Ebitake-san.\The beach trip was fun!\Y-yes! I'm Ebina though.\And? You wanted to ask me something? response:	You seem to be in a good mood today.
context: Right now I'll present my new song.\Oh! sexy-sama 20...\As I thought that pillow is dangerous.\Ah, Ebitake-san.\The beach trip was fun!\Y-yes! I'm Ebina though.\And? You wanted to ask me something?\You seem to be in a good mood today. response:	Did something happened?
context: Oh! sexy-sama 20...\As I thought that pillow is dangerous.\Ah, Ebitake-san.\The beach trip was fun!\Y-yes! I'm Ebina though.\And? You wanted to ask me something?\You seem to be in a good mood today.\Did something happened? response:	I'm meeting with my former rival whom now has become a great ally.
context: As I thought that pillow is dangerous.\Ah, Ebitake-san.\The beach trip was fun!\Y-yes! I'm Ebina though.\And? You wanted to ask me something?\You seem to be in a good mood today.\Did something happened?\I'm meeting with my former rival whom now has become a great ally. response:	A great?... Oh! You made plans to meet with a friend!
context: Ah, Ebitake-san.\The beach trip was fun!\Y-yes! I'm Ebina though.\And? You wanted to ask me something?\You seem to be in a good mood today.\Did something happened?\I'm meeting with my former rival whom now has become a great ally.\A great?... Oh! You made plans to meet with a friend! response:	I've made no plans!
context: The beach trip was fun!\Y-yes! I'm Ebina though.\And? You wanted to ask me something?\You seem to be in a good mood today.\Did something happened?\I'm meeting with my former rival whom now has become a great ally.\A great?... Oh! You made plans to meet with a friend!\I've made no plans! response:	Eh?
context: Y-yes! I'm Ebina though.\And? You wanted to ask me something?\You seem to be in a good mood today.\Did something happened?\I'm meeting with my former rival whom now has become a great ally.\A great?... Oh! You made plans to meet with a friend!\I've made no plans!\Eh? response:	Even without a set date, fate will bring us together!
context: And? You wanted to ask me something?\You seem to be in a good mood today.\Did something happened?\I'm meeting with my former rival whom now has become a great ally.\A great?... Oh! You made plans to meet with a friend!\I've made no plans!\Eh?\Even without a set date, fate will bring us together! response:	Have a good day Ebishima-san.
context: You seem to be in a good mood today.\Did something happened?\I'm meeting with my former rival whom now has become a great ally.\A great?... Oh! You made plans to meet with a friend!\I've made no plans!\Eh?\Even without a set date, fate will bring us together!\Have a good day Ebishima-san. response:	Its Ebina!
context: Did something happened?\I'm meeting with my former rival whom now has become a great ally.\A great?... Oh! You made plans to meet with a friend!\I've made no plans!\Eh?\Even without a set date, fate will bring us together!\Have a good day Ebishima-san.\Its Ebina! response:	Ah- I thought we could spend more time together.
context: I'm meeting with my former rival whom now has become a great ally.\A great?... Oh! You made plans to meet with a friend!\I've made no plans!\Eh?\Even without a set date, fate will bring us together!\Have a good day Ebishima-san.\Its Ebina!\Ah- I thought we could spend more time together. response:	That's why...
context: A great?... Oh! You made plans to meet with a friend!\I've made no plans!\Eh?\Even without a set date, fate will bring us together!\Have a good day Ebishima-san.\Its Ebina!\Ah- I thought we could spend more time together.\That's why... response:	Did something happened, Umaru-san?
context: I've made no plans!\Eh?\Even without a set date, fate will bring us together!\Have a good day Ebishima-san.\Its Ebina!\Ah- I thought we could spend more time together.\That's why...\Did something happened, Umaru-san? response:	I-I'm sorry but something just came up.
context: Eh?\Even without a set date, fate will bring us together!\Have a good day Ebishima-san.\Its Ebina!\Ah- I thought we could spend more time together.\That's why...\Did something happened, Umaru-san?\I-I'm sorry but something just came up. response:	Just as I thought, you were in the Arcade.
context: Even without a set date, fate will bring us together!\Have a good day Ebishima-san.\Its Ebina!\Ah- I thought we could spend more time together.\That's why...\Did something happened, Umaru-san?\I-I'm sorry but something just came up.\Just as I thought, you were in the Arcade. response:	We'll have our meeting about defeating Umaru-san!
context: Have a good day Ebishima-san.\Its Ebina!\Ah- I thought we could spend more time together.\That's why...\Did something happened, Umaru-san?\I-I'm sorry but something just came up.\Just as I thought, you were in the Arcade.\We'll have our meeting about defeating Umaru-san! response:	Y-You know TSF-san, I'd like to set a date before we meet.
context: Its Ebina!\Ah- I thought we could spend more time together.\That's why...\Did something happened, Umaru-san?\I-I'm sorry but something just came up.\Just as I thought, you were in the Arcade.\We'll have our meeting about defeating Umaru-san!\Y-You know TSF-san, I'd like to set a date before we meet. response:	Ah... set a date?
context: Ah- I thought we could spend more time together.\That's why...\Did something happened, Umaru-san?\I-I'm sorry but something just came up.\Just as I thought, you were in the Arcade.\We'll have our meeting about defeating Umaru-san!\Y-You know TSF-san, I'd like to set a date before we meet.\Ah... set a date? response:	I had to run and put on my disguise.
context: That's why...\Did something happened, Umaru-san?\I-I'm sorry but something just came up.\Just as I thought, you were in the Arcade.\We'll have our meeting about defeating Umaru-san!\Y-You know TSF-san, I'd like to set a date before we meet.\Ah... set a date?\I had to run and put on my disguise. response:	Ah! A convenience store.
context: Did something happened, Umaru-san?\I-I'm sorry but something just came up.\Just as I thought, you were in the Arcade.\We'll have our meeting about defeating Umaru-san!\Y-You know TSF-san, I'd like to set a date before we meet.\Ah... set a date?\I had to run and put on my disguise.\Ah! A convenience store. response:	I'm a bit thirsty so I'd like to buy a coke...
context: I-I'm sorry but something just came up.\Just as I thought, you were in the Arcade.\We'll have our meeting about defeating Umaru-san!\Y-You know TSF-san, I'd like to set a date before we meet.\Ah... set a date?\I had to run and put on my disguise.\Ah! A convenience store.\I'm a bit thirsty so I'd like to buy a coke... response:	I'll go with you!
context: Just as I thought, you were in the Arcade.\We'll have our meeting about defeating Umaru-san!\Y-You know TSF-san, I'd like to set a date before we meet.\Ah... set a date?\I had to run and put on my disguise.\Ah! A convenience store.\I'm a bit thirsty so I'd like to buy a coke...\I'll go with you! response:	T-This is!
context: We'll have our meeting about defeating Umaru-san!\Y-You know TSF-san, I'd like to set a date before we meet.\Ah... set a date?\I had to run and put on my disguise.\Ah! A convenience store.\I'm a bit thirsty so I'd like to buy a coke...\I'll go with you!\T-This is! response:	What?
context: Y-You know TSF-san, I'd like to set a date before we meet.\Ah... set a date?\I had to run and put on my disguise.\Ah! A convenience store.\I'm a bit thirsty so I'd like to buy a coke...\I'll go with you!\T-This is!\What? response:	The almost sold out lottery around the country.
context: Ah... set a date?\I had to run and put on my disguise.\Ah! A convenience store.\I'm a bit thirsty so I'd like to buy a coke...\I'll go with you!\T-This is!\What?\The almost sold out lottery around the country. response:	Migu convenience lottery!
context: I had to run and put on my disguise.\Ah! A convenience store.\I'm a bit thirsty so I'd like to buy a coke...\I'll go with you!\T-This is!\What?\The almost sold out lottery around the country.\Migu convenience lottery! response:	I didn't thought there would be one here.
context: Ah! A convenience store.\I'm a bit thirsty so I'd like to buy a coke...\I'll go with you!\T-This is!\What?\The almost sold out lottery around the country.\Migu convenience lottery!\I didn't thought there would be one here. response:	On top of that, they have the super rare A prize,
context: I'm a bit thirsty so I'd like to buy a coke...\I'll go with you!\T-This is!\What?\The almost sold out lottery around the country.\Migu convenience lottery!\I didn't thought there would be one here.\On top of that, they have the super rare A prize, response:	The limited edition Migu figure!
context: I'll go with you!\T-This is!\What?\The almost sold out lottery around the country.\Migu convenience lottery!\I didn't thought there would be one here.\On top of that, they have the super rare A prize,\The limited edition Migu figure! response:	Super rare
context: T-This is!\What?\The almost sold out lottery around the country.\Migu convenience lottery!\I didn't thought there would be one here.\On top of that, they have the super rare A prize,\The limited edition Migu figure!\Super rare response:	I don't have a lot of money!
context: What?\The almost sold out lottery around the country.\Migu convenience lottery!\I didn't thought there would be one here.\On top of that, they have the super rare A prize,\The limited edition Migu figure!\Super rare\I don't have a lot of money! response:	TSF-san, is it ok if I play for a little bit?
context: The almost sold out lottery around the country.\Migu convenience lottery!\I didn't thought there would be one here.\On top of that, they have the super rare A prize,\The limited edition Migu figure!\Super rare\I don't have a lot of money!\TSF-san, is it ok if I play for a little bit? response:	Yeah, sure.
context: Migu convenience lottery!\I didn't thought there would be one here.\On top of that, they have the super rare A prize,\The limited edition Migu figure!\Super rare\I don't have a lot of money!\TSF-san, is it ok if I play for a little bit?\Yeah, sure. response:	There are rules when playing a convenience store lottery.
context: I didn't thought there would be one here.\On top of that, they have the super rare A prize,\The limited edition Migu figure!\Super rare\I don't have a lot of money!\TSF-san, is it ok if I play for a little bit?\Yeah, sure.\There are rules when playing a convenience store lottery. response:	You must quickly get the ticket...
context: On top of that, they have the super rare A prize,\The limited edition Migu figure!\Super rare\I don't have a lot of money!\TSF-san, is it ok if I play for a little bit?\Yeah, sure.\There are rules when playing a convenience store lottery.\You must quickly get the ticket... response:	Since this is a store after all.
context: The limited edition Migu figure!\Super rare\I don't have a lot of money!\TSF-san, is it ok if I play for a little bit?\Yeah, sure.\There are rules when playing a convenience store lottery.\You must quickly get the ticket...\Since this is a store after all. response:	If you take too long, you'll bother the people waiting in line.
context: Super rare\I don't have a lot of money!\TSF-san, is it ok if I play for a little bit?\Yeah, sure.\There are rules when playing a convenience store lottery.\You must quickly get the ticket...\Since this is a store after all.\If you take too long, you'll bother the people waiting in line. response:	Also, is sort of embarrassing.
context: I don't have a lot of money!\TSF-san, is it ok if I play for a little bit?\Yeah, sure.\There are rules when playing a convenience store lottery.\You must quickly get the ticket...\Since this is a store after all.\If you take too long, you'll bother the people waiting in line.\Also, is sort of embarrassing. response:	The chances of getting the A prize are 50 to 1.
context: TSF-san, is it ok if I play for a little bit?\Yeah, sure.\There are rules when playing a convenience store lottery.\You must quickly get the ticket...\Since this is a store after all.\If you take too long, you'll bother the people waiting in line.\Also, is sort of embarrassing.\The chances of getting the A prize are 50 to 1. response:	However since several people have played already there should be around 30 to 1.
context: Yeah, sure.\There are rules when playing a convenience store lottery.\You must quickly get the ticket...\Since this is a store after all.\If you take too long, you'll bother the people waiting in line.\Also, is sort of embarrassing.\The chances of getting the A prize are 50 to 1.\However since several people have played already there should be around 30 to 1. response:	That means, if I play twice I have a 1 to 15 probability.
context: There are rules when playing a convenience store lottery.\You must quickly get the ticket...\Since this is a store after all.\If you take too long, you'll bother the people waiting in line.\Also, is sort of embarrassing.\The chances of getting the A prize are 50 to 1.\However since several people have played already there should be around 30 to 1.\That means, if I play twice I have a 1 to 15 probability. response:	1 to 15...
context: You must quickly get the ticket...\Since this is a store after all.\If you take too long, you'll bother the people waiting in line.\Also, is sort of embarrassing.\The chances of getting the A prize are 50 to 1.\However since several people have played already there should be around 30 to 1.\That means, if I play twice I have a 1 to 15 probability.\1 to 15... response:	Is not bad, I can make it.
context: Since this is a store after all.\If you take too long, you'll bother the people waiting in line.\Also, is sort of embarrassing.\The chances of getting the A prize are 50 to 1.\However since several people have played already there should be around 30 to 1.\That means, if I play twice I have a 1 to 15 probability.\1 to 15...\Is not bad, I can make it. response:	I'll win with Umaru's great luck!
context: If you take too long, you'll bother the people waiting in line.\Also, is sort of embarrassing.\The chances of getting the A prize are 50 to 1.\However since several people have played already there should be around 30 to 1.\That means, if I play twice I have a 1 to 15 probability.\1 to 15...\Is not bad, I can make it.\I'll win with Umaru's great luck! response:	D prize
context: Also, is sort of embarrassing.\The chances of getting the A prize are 50 to 1.\However since several people have played already there should be around 30 to 1.\That means, if I play twice I have a 1 to 15 probability.\1 to 15...\Is not bad, I can make it.\I'll win with Umaru's great luck!\D prize response:	Why did the D prize came out twice!? This price is useless!
context: The chances of getting the A prize are 50 to 1.\However since several people have played already there should be around 30 to 1.\That means, if I play twice I have a 1 to 15 probability.\1 to 15...\Is not bad, I can make it.\I'll win with Umaru's great luck!\D prize\Why did the D prize came out twice!? This price is useless! response:	UMR-san...
context: However since several people have played already there should be around 30 to 1.\That means, if I play twice I have a 1 to 15 probability.\1 to 15...\Is not bad, I can make it.\I'll win with Umaru's great luck!\D prize\Why did the D prize came out twice!? This price is useless!\UMR-san... response:	You are my friend, I'll make sure to break your bad luck!
context: That means, if I play twice I have a 1 to 15 probability.\1 to 15...\Is not bad, I can make it.\I'll win with Umaru's great luck!\D prize\Why did the D prize came out twice!? This price is useless!\UMR-san...\You are my friend, I'll make sure to break your bad luck! response:	E prize
context: 1 to 15...\Is not bad, I can make it.\I'll win with Umaru's great luck!\D prize\Why did the D prize came out twice!? This price is useless!\UMR-san...\You are my friend, I'll make sure to break your bad luck!\E prize response:	It's beautiful!
