context: This is useless waste. response:	This is useful.
context: But this is not a change.\Just like my repeated movement.\One day, the wind blew.\Just then,\life changed and moved forward in search of various possibilities,\just like a dandelion puffball that chooses to fly to grab its future.\Evolution: a beautiful act of life.\The human race produces an overabundance of things response:	and throws them away.
context: Just like my repeated movement.\One day, the wind blew.\Just then,\life changed and moved forward in search of various possibilities,\just like a dandelion puffball that chooses to fly to grab its future.\Evolution: a beautiful act of life.\The human race produces an overabundance of things\and throws them away. response:	Have they stopped evolving?
context: One day, the wind blew.\Just then,\life changed and moved forward in search of various possibilities,\just like a dandelion puffball that chooses to fly to grab its future.\Evolution: a beautiful act of life.\The human race produces an overabundance of things\and throws them away.\Have they stopped evolving? response:	Hey, Sis! Come and look at this here!
context: Just then,\life changed and moved forward in search of various possibilities,\just like a dandelion puffball that chooses to fly to grab its future.\Evolution: a beautiful act of life.\The human race produces an overabundance of things\and throws them away.\Have they stopped evolving?\Hey, Sis! Come and look at this here! response:	Touka, wait!
context: life changed and moved forward in search of various possibilities,\just like a dandelion puffball that chooses to fly to grab its future.\Evolution: a beautiful act of life.\The human race produces an overabundance of things\and throws them away.\Have they stopped evolving?\Hey, Sis! Come and look at this here!\Touka, wait! response:	Illegal remodeling?!
context: just like a dandelion puffball that chooses to fly to grab its future.\Evolution: a beautiful act of life.\The human race produces an overabundance of things\and throws them away.\Have they stopped evolving?\Hey, Sis! Come and look at this here!\Touka, wait!\Illegal remodeling?! response:	I never did any such thing!
context: Evolution: a beautiful act of life.\The human race produces an overabundance of things\and throws them away.\Have they stopped evolving?\Hey, Sis! Come and look at this here!\Touka, wait!\Illegal remodeling?!\I never did any such thing! response:	We have evidence.
context: The human race produces an overabundance of things\and throws them away.\Have they stopped evolving?\Hey, Sis! Come and look at this here!\Touka, wait!\Illegal remodeling?!\I never did any such thing!\We have evidence. response:	Hand over your altered chips!
context: and throws them away.\Have they stopped evolving?\Hey, Sis! Come and look at this here!\Touka, wait!\Illegal remodeling?!\I never did any such thing!\We have evidence.\Hand over your altered chips! response:	Hmmm, it's strange...
context: Have they stopped evolving?\Hey, Sis! Come and look at this here!\Touka, wait!\Illegal remodeling?!\I never did any such thing!\We have evidence.\Hand over your altered chips!\Hmmm, it's strange... response:	I'll look into it. Give me a week or so.
context: Hey, Sis! Come and look at this here!\Touka, wait!\Illegal remodeling?!\I never did any such thing!\We have evidence.\Hand over your altered chips!\Hmmm, it's strange...\I'll look into it. Give me a week or so. response:	I, I can't breathe. Can't breathe!
context: Touka, wait!\Illegal remodeling?!\I never did any such thing!\We have evidence.\Hand over your altered chips!\Hmmm, it's strange...\I'll look into it. Give me a week or so.\I, I can't breathe. Can't breathe! response:	Do you want to go straight to hell?
context: Illegal remodeling?!\I never did any such thing!\We have evidence.\Hand over your altered chips!\Hmmm, it's strange...\I'll look into it. Give me a week or so.\I, I can't breathe. Can't breathe!\Do you want to go straight to hell? response:	It hurts! I'm against violence!
context: I never did any such thing!\We have evidence.\Hand over your altered chips!\Hmmm, it's strange...\I'll look into it. Give me a week or so.\I, I can't breathe. Can't breathe!\Do you want to go straight to hell?\It hurts! I'm against violence! response:	Alteration of AIX is subject to harsh punishment.
context: We have evidence.\Hand over your altered chips!\Hmmm, it's strange...\I'll look into it. Give me a week or so.\I, I can't breathe. Can't breathe!\Do you want to go straight to hell?\It hurts! I'm against violence!\Alteration of AIX is subject to harsh punishment. response:	You know that, don't you?
context: Hand over your altered chips!\Hmmm, it's strange...\I'll look into it. Give me a week or so.\I, I can't breathe. Can't breathe!\Do you want to go straight to hell?\It hurts! I'm against violence!\Alteration of AIX is subject to harsh punishment.\You know that, don't you? response:	We'll be back tomorrow morning.
context: Hmmm, it's strange...\I'll look into it. Give me a week or so.\I, I can't breathe. Can't breathe!\Do you want to go straight to hell?\It hurts! I'm against violence!\Alteration of AIX is subject to harsh punishment.\You know that, don't you?\We'll be back tomorrow morning. response:	Find them before we come.
context: I'll look into it. Give me a week or so.\I, I can't breathe. Can't breathe!\Do you want to go straight to hell?\It hurts! I'm against violence!\Alteration of AIX is subject to harsh punishment.\You know that, don't you?\We'll be back tomorrow morning.\Find them before we come. response:	If you try to hide them, we'll demolish this shop with you in it.
context: I, I can't breathe. Can't breathe!\Do you want to go straight to hell?\It hurts! I'm against violence!\Alteration of AIX is subject to harsh punishment.\You know that, don't you?\We'll be back tomorrow morning.\Find them before we come.\If you try to hide them, we'll demolish this shop with you in it. response:	Don't get any ideas.
context: Do you want to go straight to hell?\It hurts! I'm against violence!\Alteration of AIX is subject to harsh punishment.\You know that, don't you?\We'll be back tomorrow morning.\Find them before we come.\If you try to hide them, we'll demolish this shop with you in it.\Don't get any ideas. response:	You'd better not underestimate the state's power.
context: It hurts! I'm against violence!\Alteration of AIX is subject to harsh punishment.\You know that, don't you?\We'll be back tomorrow morning.\Find them before we come.\If you try to hide them, we'll demolish this shop with you in it.\Don't get any ideas.\You'd better not underestimate the state's power. response:	A police car?
context: Alteration of AIX is subject to harsh punishment.\You know that, don't you?\We'll be back tomorrow morning.\Find them before we come.\If you try to hide them, we'll demolish this shop with you in it.\Don't get any ideas.\You'd better not underestimate the state's power.\A police car? response:	Hey, brother!
context: You know that, don't you?\We'll be back tomorrow morning.\Find them before we come.\If you try to hide them, we'll demolish this shop with you in it.\Don't get any ideas.\You'd better not underestimate the state's power.\A police car?\Hey, brother! response:	Huh? What are you up to?
context: We'll be back tomorrow morning.\Find them before we come.\If you try to hide them, we'll demolish this shop with you in it.\Don't get any ideas.\You'd better not underestimate the state's power.\A police car?\Hey, brother!\Huh? What are you up to? response:	Been a long time, little brother!
context: Find them before we come.\If you try to hide them, we'll demolish this shop with you in it.\Don't get any ideas.\You'd better not underestimate the state's power.\A police car?\Hey, brother!\Huh? What are you up to?\Been a long time, little brother! response:	I was just thinking about you.
context: If you try to hide them, we'll demolish this shop with you in it.\Don't get any ideas.\You'd better not underestimate the state's power.\A police car?\Hey, brother!\Huh? What are you up to?\Been a long time, little brother!\I was just thinking about you. response:	So sweet of you to come.
context: Don't get any ideas.\You'd better not underestimate the state's power.\A police car?\Hey, brother!\Huh? What are you up to?\Been a long time, little brother!\I was just thinking about you.\So sweet of you to come. response:	You haven't changed a bit!
context: You'd better not underestimate the state's power.\A police car?\Hey, brother!\Huh? What are you up to?\Been a long time, little brother!\I was just thinking about you.\So sweet of you to come.\You haven't changed a bit! response:	Stop it. It hurts. Look at this.
context: A police car?\Hey, brother!\Huh? What are you up to?\Been a long time, little brother!\I was just thinking about you.\So sweet of you to come.\You haven't changed a bit!\Stop it. It hurts. Look at this. response:	What the hell is this?
context: Hey, brother!\Huh? What are you up to?\Been a long time, little brother!\I was just thinking about you.\So sweet of you to come.\You haven't changed a bit!\Stop it. It hurts. Look at this.\What the hell is this? response:	A labor robot, to be disposed of.
context: Huh? What are you up to?\Been a long time, little brother!\I was just thinking about you.\So sweet of you to come.\You haven't changed a bit!\Stop it. It hurts. Look at this.\What the hell is this?\A labor robot, to be disposed of. response:	I wonder if we can restore and use this.
context: Been a long time, little brother!\I was just thinking about you.\So sweet of you to come.\You haven't changed a bit!\Stop it. It hurts. Look at this.\What the hell is this?\A labor robot, to be disposed of.\I wonder if we can restore and use this. response:	Good. Very good.
context: I was just thinking about you.\So sweet of you to come.\You haven't changed a bit!\Stop it. It hurts. Look at this.\What the hell is this?\A labor robot, to be disposed of.\I wonder if we can restore and use this.\Good. Very good. response:	Use whatever you want in my factory.
context: So sweet of you to come.\You haven't changed a bit!\Stop it. It hurts. Look at this.\What the hell is this?\A labor robot, to be disposed of.\I wonder if we can restore and use this.\Good. Very good.\Use whatever you want in my factory. response:	I want to help you, but I have something else to do now.
context: You haven't changed a bit!\Stop it. It hurts. Look at this.\What the hell is this?\A labor robot, to be disposed of.\I wonder if we can restore and use this.\Good. Very good.\Use whatever you want in my factory.\I want to help you, but I have something else to do now. response:	Doesn't matter. Can I use your tools?
context: Stop it. It hurts. Look at this.\What the hell is this?\A labor robot, to be disposed of.\I wonder if we can restore and use this.\Good. Very good.\Use whatever you want in my factory.\I want to help you, but I have something else to do now.\Doesn't matter. Can I use your tools? response:	Is that all? OK, it's all yours now!
context: What the hell is this?\A labor robot, to be disposed of.\I wonder if we can restore and use this.\Good. Very good.\Use whatever you want in my factory.\I want to help you, but I have something else to do now.\Doesn't matter. Can I use your tools?\Is that all? OK, it's all yours now! response:	Something strange is going on.
context: A labor robot, to be disposed of.\I wonder if we can restore and use this.\Good. Very good.\Use whatever you want in my factory.\I want to help you, but I have something else to do now.\Doesn't matter. Can I use your tools?\Is that all? OK, it's all yours now!\Something strange is going on. response:	Well, no matter.
context: I wonder if we can restore and use this.\Good. Very good.\Use whatever you want in my factory.\I want to help you, but I have something else to do now.\Doesn't matter. Can I use your tools?\Is that all? OK, it's all yours now!\Something strange is going on.\Well, no matter. response:	I will change the company registry and make him the CEO.
context: Good. Very good.\Use whatever you want in my factory.\I want to help you, but I have something else to do now.\Doesn't matter. Can I use your tools?\Is that all? OK, it's all yours now!\Something strange is going on.\Well, no matter.\I will change the company registry and make him the CEO. response:	He'll take all the responsibility.
context: Use whatever you want in my factory.\I want to help you, but I have something else to do now.\Doesn't matter. Can I use your tools?\Is that all? OK, it's all yours now!\Something strange is going on.\Well, no matter.\I will change the company registry and make him the CEO.\He'll take all the responsibility. response:	I am genius! Viva Myself!
context: I want to help you, but I have something else to do now.\Doesn't matter. Can I use your tools?\Is that all? OK, it's all yours now!\Something strange is going on.\Well, no matter.\I will change the company registry and make him the CEO.\He'll take all the responsibility.\I am genius! Viva Myself! response:	Are you off to somewhere?
context: Doesn't matter. Can I use your tools?\Is that all? OK, it's all yours now!\Something strange is going on.\Well, no matter.\I will change the company registry and make him the CEO.\He'll take all the responsibility.\I am genius! Viva Myself!\Are you off to somewhere? response:	You can't get away from us, Junkshop!
context: Is that all? OK, it's all yours now!\Something strange is going on.\Well, no matter.\I will change the company registry and make him the CEO.\He'll take all the responsibility.\I am genius! Viva Myself!\Are you off to somewhere?\You can't get away from us, Junkshop! response:	This?
context: Something strange is going on.\Well, no matter.\I will change the company registry and make him the CEO.\He'll take all the responsibility.\I am genius! Viva Myself!\Are you off to somewhere?\You can't get away from us, Junkshop!\This? response:	It's dirty. Will it work?
context: Well, no matter.\I will change the company registry and make him the CEO.\He'll take all the responsibility.\I am genius! Viva Myself!\Are you off to somewhere?\You can't get away from us, Junkshop!\This?\It's dirty. Will it work? response:	Oh, here it goes.
context: I will change the company registry and make him the CEO.\He'll take all the responsibility.\I am genius! Viva Myself!\Are you off to somewhere?\You can't get away from us, Junkshop!\This?\It's dirty. Will it work?\Oh, here it goes. response:	Let's see...
context: He'll take all the responsibility.\I am genius! Viva Myself!\Are you off to somewhere?\You can't get away from us, Junkshop!\This?\It's dirty. Will it work?\Oh, here it goes.\Let's see... response:	The 5th generation, learning AIX, is it?
context: I am genius! Viva Myself!\Are you off to somewhere?\You can't get away from us, Junkshop!\This?\It's dirty. Will it work?\Oh, here it goes.\Let's see...\The 5th generation, learning AIX, is it? response:	I think I can fix it.
context: Are you off to somewhere?\You can't get away from us, Junkshop!\This?\It's dirty. Will it work?\Oh, here it goes.\Let's see...\The 5th generation, learning AIX, is it?\I think I can fix it. response:	Oops. Ouch! If only the state were gone, its power would be eliminated too.
context: You can't get away from us, Junkshop!\This?\It's dirty. Will it work?\Oh, here it goes.\Let's see...\The 5th generation, learning AIX, is it?\I think I can fix it.\Oops. Ouch! If only the state were gone, its power would be eliminated too. response:	Hey, what would you do with such a worn-down Machine?
context: This?\It's dirty. Will it work?\Oh, here it goes.\Let's see...\The 5th generation, learning AIX, is it?\I think I can fix it.\Oops. Ouch! If only the state were gone, its power would be eliminated too.\Hey, what would you do with such a worn-down Machine? response:	This reminds me of the old days.
context: It's dirty. Will it work?\Oh, here it goes.\Let's see...\The 5th generation, learning AIX, is it?\I think I can fix it.\Oops. Ouch! If only the state were gone, its power would be eliminated too.\Hey, what would you do with such a worn-down Machine?\This reminds me of the old days. response:	That reminds me...
context: Oh, here it goes.\Let's see...\The 5th generation, learning AIX, is it?\I think I can fix it.\Oops. Ouch! If only the state were gone, its power would be eliminated too.\Hey, what would you do with such a worn-down Machine?\This reminds me of the old days.\That reminds me... response:	You said a mechanized society is your ideal or something?
context: Let's see...\The 5th generation, learning AIX, is it?\I think I can fix it.\Oops. Ouch! If only the state were gone, its power would be eliminated too.\Hey, what would you do with such a worn-down Machine?\This reminds me of the old days.\That reminds me...\You said a mechanized society is your ideal or something? response:	I altered this AIX.
context: The 5th generation, learning AIX, is it?\I think I can fix it.\Oops. Ouch! If only the state were gone, its power would be eliminated too.\Hey, what would you do with such a worn-down Machine?\This reminds me of the old days.\That reminds me...\You said a mechanized society is your ideal or something?\I altered this AIX. response:	It's dangerous to keep. Let's put this into the machine.
context: I think I can fix it.\Oops. Ouch! If only the state were gone, its power would be eliminated too.\Hey, what would you do with such a worn-down Machine?\This reminds me of the old days.\That reminds me...\You said a mechanized society is your ideal or something?\I altered this AIX.\It's dangerous to keep. Let's put this into the machine. response:	This piece of junk does not deserve this, though.
context: Oops. Ouch! If only the state were gone, its power would be eliminated too.\Hey, what would you do with such a worn-down Machine?\This reminds me of the old days.\That reminds me...\You said a mechanized society is your ideal or something?\I altered this AIX.\It's dangerous to keep. Let's put this into the machine.\This piece of junk does not deserve this, though. response:	It must have matching standards.
context: Hey, what would you do with such a worn-down Machine?\This reminds me of the old days.\That reminds me...\You said a mechanized society is your ideal or something?\I altered this AIX.\It's dangerous to keep. Let's put this into the machine.\This piece of junk does not deserve this, though.\It must have matching standards. response:	Brother!
context: This reminds me of the old days.\That reminds me...\You said a mechanized society is your ideal or something?\I altered this AIX.\It's dangerous to keep. Let's put this into the machine.\This piece of junk does not deserve this, though.\It must have matching standards.\Brother! response:	Did I break it?
context: That reminds me...\You said a mechanized society is your ideal or something?\I altered this AIX.\It's dangerous to keep. Let's put this into the machine.\This piece of junk does not deserve this, though.\It must have matching standards.\Brother!\Did I break it? response:	I dispose of waste for humans.
context: You said a mechanized society is your ideal or something?\I altered this AIX.\It's dangerous to keep. Let's put this into the machine.\This piece of junk does not deserve this, though.\It must have matching standards.\Brother!\Did I break it?\I dispose of waste for humans. response:	That was a total surprise.
context: I altered this AIX.\It's dangerous to keep. Let's put this into the machine.\This piece of junk does not deserve this, though.\It must have matching standards.\Brother!\Did I break it?\I dispose of waste for humans.\That was a total surprise. response:	I didn't think humans and machines would go to war with each other.
context: It's dangerous to keep. Let's put this into the machine.\This piece of junk does not deserve this, though.\It must have matching standards.\Brother!\Did I break it?\I dispose of waste for humans.\That was a total surprise.\I didn't think humans and machines would go to war with each other. response:	Oh? This is a next generation PX!
context: This piece of junk does not deserve this, though.\It must have matching standards.\Brother!\Did I break it?\I dispose of waste for humans.\That was a total surprise.\I didn't think humans and machines would go to war with each other.\Oh? This is a next generation PX! response:	Watch out!
context: It must have matching standards.\Brother!\Did I break it?\I dispose of waste for humans.\That was a total surprise.\I didn't think humans and machines would go to war with each other.\Oh? This is a next generation PX!\Watch out! response:	Xiaogang!
context: Brother!\Did I break it?\I dispose of waste for humans.\That was a total surprise.\I didn't think humans and machines would go to war with each other.\Oh? This is a next generation PX!\Watch out!\Xiaogang! response:	You helped me out of this?
context: Did I break it?\I dispose of waste for humans.\That was a total surprise.\I didn't think humans and machines would go to war with each other.\Oh? This is a next generation PX!\Watch out!\Xiaogang!\You helped me out of this? response:	Why would I?
context: I dispose of waste for humans.\That was a total surprise.\I didn't think humans and machines would go to war with each other.\Oh? This is a next generation PX!\Watch out!\Xiaogang!\You helped me out of this?\Why would I? response:	My body just reacted.
context: That was a total surprise.\I didn't think humans and machines would go to war with each other.\Oh? This is a next generation PX!\Watch out!\Xiaogang!\You helped me out of this?\Why would I?\My body just reacted. response:	You're responsible for this war!
context: I didn't think humans and machines would go to war with each other.\Oh? This is a next generation PX!\Watch out!\Xiaogang!\You helped me out of this?\Why would I?\My body just reacted.\You're responsible for this war! response:	Idiot. Stupid! Are you crazy or what?
context: Oh? This is a next generation PX!\Watch out!\Xiaogang!\You helped me out of this?\Why would I?\My body just reacted.\You're responsible for this war!\Idiot. Stupid! Are you crazy or what? response:	It was you who fixed that Machine.
context: Watch out!\Xiaogang!\You helped me out of this?\Why would I?\My body just reacted.\You're responsible for this war!\Idiot. Stupid! Are you crazy or what?\It was you who fixed that Machine. response:	You always lay the blame at someone's foot, you airhead!
context: Xiaogang!\You helped me out of this?\Why would I?\My body just reacted.\You're responsible for this war!\Idiot. Stupid! Are you crazy or what?\It was you who fixed that Machine.\You always lay the blame at someone's foot, you airhead! response:	But you feel good about the breakdown of state power, don't you?
context: You helped me out of this?\Why would I?\My body just reacted.\You're responsible for this war!\Idiot. Stupid! Are you crazy or what?\It was you who fixed that Machine.\You always lay the blame at someone's foot, you airhead!\But you feel good about the breakdown of state power, don't you? response:	And if this leads to a machinized society,
context: Why would I?\My body just reacted.\You're responsible for this war!\Idiot. Stupid! Are you crazy or what?\It was you who fixed that Machine.\You always lay the blame at someone's foot, you airhead!\But you feel good about the breakdown of state power, don't you?\And if this leads to a machinized society, response:	it'd be your dream comes true. Congratulations!
context: My body just reacted.\You're responsible for this war!\Idiot. Stupid! Are you crazy or what?\It was you who fixed that Machine.\You always lay the blame at someone's foot, you airhead!\But you feel good about the breakdown of state power, don't you?\And if this leads to a machinized society,\it'd be your dream comes true. Congratulations! response:	Though however the world turns out, I'll survive!
context: You're responsible for this war!\Idiot. Stupid! Are you crazy or what?\It was you who fixed that Machine.\You always lay the blame at someone's foot, you airhead!\But you feel good about the breakdown of state power, don't you?\And if this leads to a machinized society,\it'd be your dream comes true. Congratulations!\Though however the world turns out, I'll survive! response:	Hey, will you get this off of me?
context: Idiot. Stupid! Are you crazy or what?\It was you who fixed that Machine.\You always lay the blame at someone's foot, you airhead!\But you feel good about the breakdown of state power, don't you?\And if this leads to a machinized society,\it'd be your dream comes true. Congratulations!\Though however the world turns out, I'll survive!\Hey, will you get this off of me? response:	Yes, yes, my dearest younger borother!
