context: Touko, I saw response:	what you saw that day.
context: I told you not to come in without asking.\It seemed like you called.\Obviously not.\A guy who understands girls is\someone who's tall, rich,\and smart.\Psych, it's actually a guy who can tell a girl's lying when she says that.\Good luck! response:	Focus, focus.
context: It seemed like you called.\Obviously not.\A guy who understands girls is\someone who's tall, rich,\and smart.\Psych, it's actually a guy who can tell a girl's lying when she says that.\Good luck!\Focus, focus. response:	Have you found your fragment?
context: Obviously not.\A guy who understands girls is\someone who's tall, rich,\and smart.\Psych, it's actually a guy who can tell a girl's lying when she says that.\Good luck!\Focus, focus.\Have you found your fragment? response:	I slipped up.
context: A guy who understands girls is\someone who's tall, rich,\and smart.\Psych, it's actually a guy who can tell a girl's lying when she says that.\Good luck!\Focus, focus.\Have you found your fragment?\I slipped up. response:	Sorry,
context: someone who's tall, rich,\and smart.\Psych, it's actually a guy who can tell a girl's lying when she says that.\Good luck!\Focus, focus.\Have you found your fragment?\I slipped up.\Sorry, response:	I couldn't get the room ready in time.
context: and smart.\Psych, it's actually a guy who can tell a girl's lying when she says that.\Good luck!\Focus, focus.\Have you found your fragment?\I slipped up.\Sorry,\I couldn't get the room ready in time. response:	I'll get it done by the end of the week.
context: Psych, it's actually a guy who can tell a girl's lying when she says that.\Good luck!\Focus, focus.\Have you found your fragment?\I slipped up.\Sorry,\I couldn't get the room ready in time.\I'll get it done by the end of the week. response:	It's fine. I'm enjoying it.
context: Good luck!\Focus, focus.\Have you found your fragment?\I slipped up.\Sorry,\I couldn't get the room ready in time.\I'll get it done by the end of the week.\It's fine. I'm enjoying it. response:	You mean camping out in a tent?
context: Focus, focus.\Have you found your fragment?\I slipped up.\Sorry,\I couldn't get the room ready in time.\I'll get it done by the end of the week.\It's fine. I'm enjoying it.\You mean camping out in a tent? response:	Not much for me to do as your dad, then.
context: Have you found your fragment?\I slipped up.\Sorry,\I couldn't get the room ready in time.\I'll get it done by the end of the week.\It's fine. I'm enjoying it.\You mean camping out in a tent?\Not much for me to do as your dad, then. response:	Thanks.
context: I slipped up.\Sorry,\I couldn't get the room ready in time.\I'll get it done by the end of the week.\It's fine. I'm enjoying it.\You mean camping out in a tent?\Not much for me to do as your dad, then.\Thanks. response:	Oh,
context: Sorry,\I couldn't get the room ready in time.\I'll get it done by the end of the week.\It's fine. I'm enjoying it.\You mean camping out in a tent?\Not much for me to do as your dad, then.\Thanks.\Oh, response:	I'm leaving soon, so I won't need lunch.
context: I couldn't get the room ready in time.\I'll get it done by the end of the week.\It's fine. I'm enjoying it.\You mean camping out in a tent?\Not much for me to do as your dad, then.\Thanks.\Oh,\I'm leaving soon, so I won't need lunch. response:	Yeah? A date?
context: I'll get it done by the end of the week.\It's fine. I'm enjoying it.\You mean camping out in a tent?\Not much for me to do as your dad, then.\Thanks.\Oh,\I'm leaving soon, so I won't need lunch.\Yeah? A date? response:	Yeah.
context: It's fine. I'm enjoying it.\You mean camping out in a tent?\Not much for me to do as your dad, then.\Thanks.\Oh,\I'm leaving soon, so I won't need lunch.\Yeah? A date?\Yeah. response:	It's pretty.
context: You mean camping out in a tent?\Not much for me to do as your dad, then.\Thanks.\Oh,\I'm leaving soon, so I won't need lunch.\Yeah? A date?\Yeah.\It's pretty. response:	Doesn't look like it.
context: Not much for me to do as your dad, then.\Thanks.\Oh,\I'm leaving soon, so I won't need lunch.\Yeah? A date?\Yeah.\It's pretty.\Doesn't look like it. response:	Will you keep it?
context: Thanks.\Oh,\I'm leaving soon, so I won't need lunch.\Yeah? A date?\Yeah.\It's pretty.\Doesn't look like it.\Will you keep it? response:	Really?
context: Oh,\I'm leaving soon, so I won't need lunch.\Yeah? A date?\Yeah.\It's pretty.\Doesn't look like it.\Will you keep it?\Really? response:	For sticking with me today.
context: I'm leaving soon, so I won't need lunch.\Yeah? A date?\Yeah.\It's pretty.\Doesn't look like it.\Will you keep it?\Really?\For sticking with me today. response:	Thanks.
context: Yeah? A date?\Yeah.\It's pretty.\Doesn't look like it.\Will you keep it?\Really?\For sticking with me today.\Thanks. response:	Is that
context: Yeah.\It's pretty.\Doesn't look like it.\Will you keep it?\Really?\For sticking with me today.\Thanks.\Is that response:	Your first piece.
context: It's pretty.\Doesn't look like it.\Will you keep it?\Really?\For sticking with me today.\Thanks.\Is that\Your first piece. response:	Does that sparkly thing have something
context: Doesn't look like it.\Will you keep it?\Really?\For sticking with me today.\Thanks.\Is that\Your first piece.\Does that sparkly thing have something response:	to do with why you're here today?
context: Will you keep it?\Really?\For sticking with me today.\Thanks.\Is that\Your first piece.\Does that sparkly thing have something\to do with why you're here today? response:	Hey.
context: Really?\For sticking with me today.\Thanks.\Is that\Your first piece.\Does that sparkly thing have something\to do with why you're here today?\Hey. response:	Hello. We met yesterday.
context: For sticking with me today.\Thanks.\Is that\Your first piece.\Does that sparkly thing have something\to do with why you're here today?\Hey.\Hello. We met yesterday. response:	It's Nagamiya.
context: Thanks.\Is that\Your first piece.\Does that sparkly thing have something\to do with why you're here today?\Hey.\Hello. We met yesterday.\It's Nagamiya. response:	Did you come here because you're worried about Touko?
context: Is that\Your first piece.\Does that sparkly thing have something\to do with why you're here today?\Hey.\Hello. We met yesterday.\It's Nagamiya.\Did you come here because you're worried about Touko? response:	What can I do to earn your trust?
context: Your first piece.\Does that sparkly thing have something\to do with why you're here today?\Hey.\Hello. We met yesterday.\It's Nagamiya.\Did you come here because you're worried about Touko?\What can I do to earn your trust? response:	Don't come near Touko-chan.
context: Does that sparkly thing have something\to do with why you're here today?\Hey.\Hello. We met yesterday.\It's Nagamiya.\Did you come here because you're worried about Touko?\What can I do to earn your trust?\Don't come near Touko-chan. response:	That's not easy.
context: to do with why you're here today?\Hey.\Hello. We met yesterday.\It's Nagamiya.\Did you come here because you're worried about Touko?\What can I do to earn your trust?\Don't come near Touko-chan.\That's not easy. response:	What if I told you I could solve one of your problems?
context: Hey.\Hello. We met yesterday.\It's Nagamiya.\Did you come here because you're worried about Touko?\What can I do to earn your trust?\Don't come near Touko-chan.\That's not easy.\What if I told you I could solve one of your problems? response:	Touko, you see things on
context: Hello. We met yesterday.\It's Nagamiya.\Did you come here because you're worried about Touko?\What can I do to earn your trust?\Don't come near Touko-chan.\That's not easy.\What if I told you I could solve one of your problems?\Touko, you see things on response:	certain occasions, don't you?
context: It's Nagamiya.\Did you come here because you're worried about Touko?\What can I do to earn your trust?\Don't come near Touko-chan.\That's not easy.\What if I told you I could solve one of your problems?\Touko, you see things on\certain occasions, don't you? response:	Sacchan.
context: Did you come here because you're worried about Touko?\What can I do to earn your trust?\Don't come near Touko-chan.\That's not easy.\What if I told you I could solve one of your problems?\Touko, you see things on\certain occasions, don't you?\Sacchan. response:	I want to talk with Okikura-kun.
context: What can I do to earn your trust?\Don't come near Touko-chan.\That's not easy.\What if I told you I could solve one of your problems?\Touko, you see things on\certain occasions, don't you?\Sacchan.\I want to talk with Okikura-kun. response:	But...
context: Don't come near Touko-chan.\That's not easy.\What if I told you I could solve one of your problems?\Touko, you see things on\certain occasions, don't you?\Sacchan.\I want to talk with Okikura-kun.\But... response:	Sorry.
context: That's not easy.\What if I told you I could solve one of your problems?\Touko, you see things on\certain occasions, don't you?\Sacchan.\I want to talk with Okikura-kun.\But...\Sorry. response:	You're going to help Touko-chan, right?
context: What if I told you I could solve one of your problems?\Touko, you see things on\certain occasions, don't you?\Sacchan.\I want to talk with Okikura-kun.\But...\Sorry.\You're going to help Touko-chan, right? response:	I believe so.
context: Touko, you see things on\certain occasions, don't you?\Sacchan.\I want to talk with Okikura-kun.\But...\Sorry.\You're going to help Touko-chan, right?\I believe so. response:	I'll wait downstairs.
context: certain occasions, don't you?\Sacchan.\I want to talk with Okikura-kun.\But...\Sorry.\You're going to help Touko-chan, right?\I believe so.\I'll wait downstairs. response:	Okay.
context: Sacchan.\I want to talk with Okikura-kun.\But...\Sorry.\You're going to help Touko-chan, right?\I believe so.\I'll wait downstairs.\Okay. response:	Oh yeah,
context: I want to talk with Okikura-kun.\But...\Sorry.\You're going to help Touko-chan, right?\I believe so.\I'll wait downstairs.\Okay.\Oh yeah, response:	we don't allow dating in our group.
context: But...\Sorry.\You're going to help Touko-chan, right?\I believe so.\I'll wait downstairs.\Okay.\Oh yeah,\we don't allow dating in our group. response:	Eh?
context: Sorry.\You're going to help Touko-chan, right?\I believe so.\I'll wait downstairs.\Okay.\Oh yeah,\we don't allow dating in our group.\Eh? response:	I don't think those kinds of things last.
context: You're going to help Touko-chan, right?\I believe so.\I'll wait downstairs.\Okay.\Oh yeah,\we don't allow dating in our group.\Eh?\I don't think those kinds of things last. response:	Touko, what do you think of your skill?
context: I believe so.\I'll wait downstairs.\Okay.\Oh yeah,\we don't allow dating in our group.\Eh?\I don't think those kinds of things last.\Touko, what do you think of your skill? response:	My skill?
context: I'll wait downstairs.\Okay.\Oh yeah,\we don't allow dating in our group.\Eh?\I don't think those kinds of things last.\Touko, what do you think of your skill?\My skill? response:	Your ability, you might call it.
context: Okay.\Oh yeah,\we don't allow dating in our group.\Eh?\I don't think those kinds of things last.\Touko, what do you think of your skill?\My skill?\Your ability, you might call it. response:	Your hallucinations.
context: Oh yeah,\we don't allow dating in our group.\Eh?\I don't think those kinds of things last.\Touko, what do you think of your skill?\My skill?\Your ability, you might call it.\Your hallucinations. response:	Umm...
context: we don't allow dating in our group.\Eh?\I don't think those kinds of things last.\Touko, what do you think of your skill?\My skill?\Your ability, you might call it.\Your hallucinations.\Umm... response:	Let's go outside.
context: Eh?\I don't think those kinds of things last.\Touko, what do you think of your skill?\My skill?\Your ability, you might call it.\Your hallucinations.\Umm...\Let's go outside. response:	So hot.
context: I don't think those kinds of things last.\Touko, what do you think of your skill?\My skill?\Your ability, you might call it.\Your hallucinations.\Umm...\Let's go outside.\So hot. response:	I want to apologize to you.
context: Touko, what do you think of your skill?\My skill?\Your ability, you might call it.\Your hallucinations.\Umm...\Let's go outside.\So hot.\I want to apologize to you. response:	Oh yeah, you didn't even ask me if I could come.
context: My skill?\Your ability, you might call it.\Your hallucinations.\Umm...\Let's go outside.\So hot.\I want to apologize to you.\Oh yeah, you didn't even ask me if I could come. response:	What if I hadn't shown up?
context: Your ability, you might call it.\Your hallucinations.\Umm...\Let's go outside.\So hot.\I want to apologize to you.\Oh yeah, you didn't even ask me if I could come.\What if I hadn't shown up? response:	I would have gone to see you as many times as I'd need to.
context: Your hallucinations.\Umm...\Let's go outside.\So hot.\I want to apologize to you.\Oh yeah, you didn't even ask me if I could come.\What if I hadn't shown up?\I would have gone to see you as many times as I'd need to. response:	I got caught off-guard today.
context: Umm...\Let's go outside.\So hot.\I want to apologize to you.\Oh yeah, you didn't even ask me if I could come.\What if I hadn't shown up?\I would have gone to see you as many times as I'd need to.\I got caught off-guard today. response:	I heard your voice.
context: Let's go outside.\So hot.\I want to apologize to you.\Oh yeah, you didn't even ask me if I could come.\What if I hadn't shown up?\I would have gone to see you as many times as I'd need to.\I got caught off-guard today.\I heard your voice. response:	Sorry.
context: So hot.\I want to apologize to you.\Oh yeah, you didn't even ask me if I could come.\What if I hadn't shown up?\I would have gone to see you as many times as I'd need to.\I got caught off-guard today.\I heard your voice.\Sorry. response:	I don't get it.
context: I want to apologize to you.\Oh yeah, you didn't even ask me if I could come.\What if I hadn't shown up?\I would have gone to see you as many times as I'd need to.\I got caught off-guard today.\I heard your voice.\Sorry.\I don't get it. response:	I heard your future voice without your permission.
context: Oh yeah, you didn't even ask me if I could come.\What if I hadn't shown up?\I would have gone to see you as many times as I'd need to.\I got caught off-guard today.\I heard your voice.\Sorry.\I don't get it.\I heard your future voice without your permission. response:	My voice from the future?
context: What if I hadn't shown up?\I would have gone to see you as many times as I'd need to.\I got caught off-guard today.\I heard your voice.\Sorry.\I don't get it.\I heard your future voice without your permission.\My voice from the future? response:	Yeah.
context: I would have gone to see you as many times as I'd need to.\I got caught off-guard today.\I heard your voice.\Sorry.\I don't get it.\I heard your future voice without your permission.\My voice from the future?\Yeah. response:	Are you apologizing because
context: I got caught off-guard today.\I heard your voice.\Sorry.\I don't get it.\I heard your future voice without your permission.\My voice from the future?\Yeah.\Are you apologizing because response:	you heard me singing in the bathroom or something?
context: I heard your voice.\Sorry.\I don't get it.\I heard your future voice without your permission.\My voice from the future?\Yeah.\Are you apologizing because\you heard me singing in the bathroom or something? response:	Orno way...
context: Sorry.\I don't get it.\I heard your future voice without your permission.\My voice from the future?\Yeah.\Are you apologizing because\you heard me singing in the bathroom or something?\Orno way... response:	I wasn't talking about my exam grades, was I?
context: I don't get it.\I heard your future voice without your permission.\My voice from the future?\Yeah.\Are you apologizing because\you heard me singing in the bathroom or something?\Orno way...\I wasn't talking about my exam grades, was I? response:	Neither.
context: I heard your future voice without your permission.\My voice from the future?\Yeah.\Are you apologizing because\you heard me singing in the bathroom or something?\Orno way...\I wasn't talking about my exam grades, was I?\Neither. response:	Oh, good.
context: My voice from the future?\Yeah.\Are you apologizing because\you heard me singing in the bathroom or something?\Orno way...\I wasn't talking about my exam grades, was I?\Neither.\Oh, good. response:	Are they bad?
context: Yeah.\Are you apologizing because\you heard me singing in the bathroom or something?\Orno way...\I wasn't talking about my exam grades, was I?\Neither.\Oh, good.\Are they bad? response:	Huh?
context: Are you apologizing because\you heard me singing in the bathroom or something?\Orno way...\I wasn't talking about my exam grades, was I?\Neither.\Oh, good.\Are they bad?\Huh? response:	Your exam grades.
context: you heard me singing in the bathroom or something?\Orno way...\I wasn't talking about my exam grades, was I?\Neither.\Oh, good.\Are they bad?\Huh?\Your exam grades. response:	Why would you even ask? You figure it out!
context: Orno way...\I wasn't talking about my exam grades, was I?\Neither.\Oh, good.\Are they bad?\Huh?\Your exam grades.\Why would you even ask? You figure it out! response:	So you believe me.
context: I wasn't talking about my exam grades, was I?\Neither.\Oh, good.\Are they bad?\Huh?\Your exam grades.\Why would you even ask? You figure it out!\So you believe me. response:	I'll forgive you if you tell me you're kidding now.
context: Neither.\Oh, good.\Are they bad?\Huh?\Your exam grades.\Why would you even ask? You figure it out!\So you believe me.\I'll forgive you if you tell me you're kidding now. response:	Three-second rule.
context: Oh, good.\Are they bad?\Huh?\Your exam grades.\Why would you even ask? You figure it out!\So you believe me.\I'll forgive you if you tell me you're kidding now.\Three-second rule. response:	I'm not kidding.
context: Are they bad?\Huh?\Your exam grades.\Why would you even ask? You figure it out!\So you believe me.\I'll forgive you if you tell me you're kidding now.\Three-second rule.\I'm not kidding. response:	On the day of the festival,
context: Huh?\Your exam grades.\Why would you even ask? You figure it out!\So you believe me.\I'll forgive you if you tell me you're kidding now.\Three-second rule.\I'm not kidding.\On the day of the festival, response:	for the first time,
context: Your exam grades.\Why would you even ask? You figure it out!\So you believe me.\I'll forgive you if you tell me you're kidding now.\Three-second rule.\I'm not kidding.\On the day of the festival,\for the first time, response:	I both saw and heard a fragment.
context: Why would you even ask? You figure it out!\So you believe me.\I'll forgive you if you tell me you're kidding now.\Three-second rule.\I'm not kidding.\On the day of the festival,\for the first time,\I both saw and heard a fragment. response:	Fragment?
context: So you believe me.\I'll forgive you if you tell me you're kidding now.\Three-second rule.\I'm not kidding.\On the day of the festival,\for the first time,\I both saw and heard a fragment.\Fragment? response:	I've finally found you.
context: I'll forgive you if you tell me you're kidding now.\Three-second rule.\I'm not kidding.\On the day of the festival,\for the first time,\I both saw and heard a fragment.\Fragment?\I've finally found you. response:	That was the first time I heard a voice.
context: Three-second rule.\I'm not kidding.\On the day of the festival,\for the first time,\I both saw and heard a fragment.\Fragment?\I've finally found you.\That was the first time I heard a voice. response:	My voice from the future.
context: I'm not kidding.\On the day of the festival,\for the first time,\I both saw and heard a fragment.\Fragment?\I've finally found you.\That was the first time I heard a voice.\My voice from the future. response:	I call it a fragment of the future.
context: On the day of the festival,\for the first time,\I both saw and heard a fragment.\Fragment?\I've finally found you.\That was the first time I heard a voice.\My voice from the future.\I call it a fragment of the future. response:	A fragment of the future?
context: for the first time,\I both saw and heard a fragment.\Fragment?\I've finally found you.\That was the first time I heard a voice.\My voice from the future.\I call it a fragment of the future.\A fragment of the future? response:	What you're seeing is the same.
context: I both saw and heard a fragment.\Fragment?\I've finally found you.\That was the first time I heard a voice.\My voice from the future.\I call it a fragment of the future.\A fragment of the future?\What you're seeing is the same. response:	I can see the future?
context: Fragment?\I've finally found you.\That was the first time I heard a voice.\My voice from the future.\I call it a fragment of the future.\A fragment of the future?\What you're seeing is the same.\I can see the future? response:	I believe so.
context: I've finally found you.\That was the first time I heard a voice.\My voice from the future.\I call it a fragment of the future.\A fragment of the future?\What you're seeing is the same.\I can see the future?\I believe so. response:	How?
context: That was the first time I heard a voice.\My voice from the future.\I call it a fragment of the future.\A fragment of the future?\What you're seeing is the same.\I can see the future?\I believe so.\How? response:	Whenever you see things there's a trigger, isn't there?
context: My voice from the future.\I call it a fragment of the future.\A fragment of the future?\What you're seeing is the same.\I can see the future?\I believe so.\How?\Whenever you see things there's a trigger, isn't there? response:	Yes.
context: I call it a fragment of the future.\A fragment of the future?\What you're seeing is the same.\I can see the future?\I believe so.\How?\Whenever you see things there's a trigger, isn't there?\Yes. response:	That probably makes it easier to see.
context: A fragment of the future?\What you're seeing is the same.\I can see the future?\I believe so.\How?\Whenever you see things there's a trigger, isn't there?\Yes.\That probably makes it easier to see. response:	You just need glass?
context: What you're seeing is the same.\I can see the future?\I believe so.\How?\Whenever you see things there's a trigger, isn't there?\Yes.\That probably makes it easier to see.\You just need glass? response:	Yeah.
context: I can see the future?\I believe so.\How?\Whenever you see things there's a trigger, isn't there?\Yes.\That probably makes it easier to see.\You just need glass?\Yeah. response:	Anything shiny, but especially glass.
context: I believe so.\How?\Whenever you see things there's a trigger, isn't there?\Yes.\That probably makes it easier to see.\You just need glass?\Yeah.\Anything shiny, but especially glass. response:	Then just
context: How?\Whenever you see things there's a trigger, isn't there?\Yes.\That probably makes it easier to see.\You just need glass?\Yeah.\Anything shiny, but especially glass.\Then just response:	focus on the glass.
context: Whenever you see things there's a trigger, isn't there?\Yes.\That probably makes it easier to see.\You just need glass?\Yeah.\Anything shiny, but especially glass.\Then just\focus on the glass. response:	I want to see the future, too.
context: Yes.\That probably makes it easier to see.\You just need glass?\Yeah.\Anything shiny, but especially glass.\Then just\focus on the glass.\I want to see the future, too. response:	Was that me?
context: That probably makes it easier to see.\You just need glass?\Yeah.\Anything shiny, but especially glass.\Then just\focus on the glass.\I want to see the future, too.\Was that me? response:	I knew it. I can see something when I'm near you, too.
context: You just need glass?\Yeah.\Anything shiny, but especially glass.\Then just\focus on the glass.\I want to see the future, too.\Was that me?\I knew it. I can see something when I'm near you, too. response:	I've never seen anything so vividly.
context: Yeah.\Anything shiny, but especially glass.\Then just\focus on the glass.\I want to see the future, too.\Was that me?\I knew it. I can see something when I'm near you, too.\I've never seen anything so vividly. response:	And voices, too.
context: Anything shiny, but especially glass.\Then just\focus on the glass.\I want to see the future, too.\Was that me?\I knew it. I can see something when I'm near you, too.\I've never seen anything so vividly.\And voices, too. response:	But how do you know that this is from the future?
context: Then just\focus on the glass.\I want to see the future, too.\Was that me?\I knew it. I can see something when I'm near you, too.\I've never seen anything so vividly.\And voices, too.\But how do you know that this is from the future? response:	Because it was for me.
context: focus on the glass.\I want to see the future, too.\Was that me?\I knew it. I can see something when I'm near you, too.\I've never seen anything so vividly.\And voices, too.\But how do you know that this is from the future?\Because it was for me. response:	See, when we're together,
context: I want to see the future, too.\Was that me?\I knew it. I can see something when I'm near you, too.\I've never seen anything so vividly.\And voices, too.\But how do you know that this is from the future?\Because it was for me.\See, when we're together, response:	we can both see and hear.
