context: Can't decide... response:	Morning.
context: Where?\What is this?\Oh.\You know what warming up means, right?\This one means kicking practice with a kickboard.\Pull refers to when you use a pull buoy to train your arms.\Is this someone's name?\That's an abbreviation for medley relay. response:	It's a relay where the four swimmers swim equal legs
context: What is this?\Oh.\You know what warming up means, right?\This one means kicking practice with a kickboard.\Pull refers to when you use a pull buoy to train your arms.\Is this someone's name?\That's an abbreviation for medley relay.\It's a relay where the four swimmers swim equal legs response:	using back, breast, butterfly, and free in that order.
context: Oh.\You know what warming up means, right?\This one means kicking practice with a kickboard.\Pull refers to when you use a pull buoy to train your arms.\Is this someone's name?\That's an abbreviation for medley relay.\It's a relay where the four swimmers swim equal legs\using back, breast, butterfly, and free in that order. response:	Back, breast, butterfly...
context: You know what warming up means, right?\This one means kicking practice with a kickboard.\Pull refers to when you use a pull buoy to train your arms.\Is this someone's name?\That's an abbreviation for medley relay.\It's a relay where the four swimmers swim equal legs\using back, breast, butterfly, and free in that order.\Back, breast, butterfly... response:	Back refers to the backstroke.
context: This one means kicking practice with a kickboard.\Pull refers to when you use a pull buoy to train your arms.\Is this someone's name?\That's an abbreviation for medley relay.\It's a relay where the four swimmers swim equal legs\using back, breast, butterfly, and free in that order.\Back, breast, butterfly...\Back refers to the backstroke. response:	Breast refers to the breaststroke.
context: Pull refers to when you use a pull buoy to train your arms.\Is this someone's name?\That's an abbreviation for medley relay.\It's a relay where the four swimmers swim equal legs\using back, breast, butterfly, and free in that order.\Back, breast, butterfly...\Back refers to the backstroke.\Breast refers to the breaststroke. response:	Butterfly refers to the butterfly stroke.
context: Is this someone's name?\That's an abbreviation for medley relay.\It's a relay where the four swimmers swim equal legs\using back, breast, butterfly, and free in that order.\Back, breast, butterfly...\Back refers to the backstroke.\Breast refers to the breaststroke.\Butterfly refers to the butterfly stroke. response:	And free refers to the front crawl.
context: That's an abbreviation for medley relay.\It's a relay where the four swimmers swim equal legs\using back, breast, butterfly, and free in that order.\Back, breast, butterfly...\Back refers to the backstroke.\Breast refers to the breaststroke.\Butterfly refers to the butterfly stroke.\And free refers to the front crawl. response:	No, free refers to freestyle.
context: It's a relay where the four swimmers swim equal legs\using back, breast, butterfly, and free in that order.\Back, breast, butterfly...\Back refers to the backstroke.\Breast refers to the breaststroke.\Butterfly refers to the butterfly stroke.\And free refers to the front crawl.\No, free refers to freestyle. response:	You're allowed to use any stroke.
context: using back, breast, butterfly, and free in that order.\Back, breast, butterfly...\Back refers to the backstroke.\Breast refers to the breaststroke.\Butterfly refers to the butterfly stroke.\And free refers to the front crawl.\No, free refers to freestyle.\You're allowed to use any stroke. response:	But the front crawl is generally the fastest stroke,
context: Back, breast, butterfly...\Back refers to the backstroke.\Breast refers to the breaststroke.\Butterfly refers to the butterfly stroke.\And free refers to the front crawl.\No, free refers to freestyle.\You're allowed to use any stroke.\But the front crawl is generally the fastest stroke, response:	so that's what most swimmers use.
context: Back refers to the backstroke.\Breast refers to the breaststroke.\Butterfly refers to the butterfly stroke.\And free refers to the front crawl.\No, free refers to freestyle.\You're allowed to use any stroke.\But the front crawl is generally the fastest stroke,\so that's what most swimmers use. response:	There are a few swimmers who go with the butterfly.
context: Breast refers to the breaststroke.\Butterfly refers to the butterfly stroke.\And free refers to the front crawl.\No, free refers to freestyle.\You're allowed to use any stroke.\But the front crawl is generally the fastest stroke,\so that's what most swimmers use.\There are a few swimmers who go with the butterfly. response:	The butterfly stroke?
context: Butterfly refers to the butterfly stroke.\And free refers to the front crawl.\No, free refers to freestyle.\You're allowed to use any stroke.\But the front crawl is generally the fastest stroke,\so that's what most swimmers use.\There are a few swimmers who go with the butterfly.\The butterfly stroke? response:	Yep.
context: And free refers to the front crawl.\No, free refers to freestyle.\You're allowed to use any stroke.\But the front crawl is generally the fastest stroke,\so that's what most swimmers use.\There are a few swimmers who go with the butterfly.\The butterfly stroke?\Yep. response:	Anyway, this is a solid training regimen.
context: No, free refers to freestyle.\You're allowed to use any stroke.\But the front crawl is generally the fastest stroke,\so that's what most swimmers use.\There are a few swimmers who go with the butterfly.\The butterfly stroke?\Yep.\Anyway, this is a solid training regimen. response:	Did you come up with this yourself, Gou-chan?
context: You're allowed to use any stroke.\But the front crawl is generally the fastest stroke,\so that's what most swimmers use.\There are a few swimmers who go with the butterfly.\The butterfly stroke?\Yep.\Anyway, this is a solid training regimen.\Did you come up with this yourself, Gou-chan? response:	Can you stop calling me Gou?
context: But the front crawl is generally the fastest stroke,\so that's what most swimmers use.\There are a few swimmers who go with the butterfly.\The butterfly stroke?\Yep.\Anyway, this is a solid training regimen.\Did you come up with this yourself, Gou-chan?\Can you stop calling me Gou? response:	Forget it.
context: so that's what most swimmers use.\There are a few swimmers who go with the butterfly.\The butterfly stroke?\Yep.\Anyway, this is a solid training regimen.\Did you come up with this yourself, Gou-chan?\Can you stop calling me Gou?\Forget it. response:	I found that when I was cleaning the house.
context: There are a few swimmers who go with the butterfly.\The butterfly stroke?\Yep.\Anyway, this is a solid training regimen.\Did you come up with this yourself, Gou-chan?\Can you stop calling me Gou?\Forget it.\I found that when I was cleaning the house. response:	It's my brother's old regimen.
context: The butterfly stroke?\Yep.\Anyway, this is a solid training regimen.\Did you come up with this yourself, Gou-chan?\Can you stop calling me Gou?\Forget it.\I found that when I was cleaning the house.\It's my brother's old regimen. response:	Captive Butterfly!
context: Yep.\Anyway, this is a solid training regimen.\Did you come up with this yourself, Gou-chan?\Can you stop calling me Gou?\Forget it.\I found that when I was cleaning the house.\It's my brother's old regimen.\Captive Butterfly! response:	Sit with legs apart and lean the upper body forward.
context: Anyway, this is a solid training regimen.\Did you come up with this yourself, Gou-chan?\Can you stop calling me Gou?\Forget it.\I found that when I was cleaning the house.\It's my brother's old regimen.\Captive Butterfly!\Sit with legs apart and lean the upper body forward. response:	Hold 20 seconds.
context: Did you come up with this yourself, Gou-chan?\Can you stop calling me Gou?\Forget it.\I found that when I was cleaning the house.\It's my brother's old regimen.\Captive Butterfly!\Sit with legs apart and lean the upper body forward.\Hold 20 seconds. response:	Bend one arm behind the head and use the other
context: Can you stop calling me Gou?\Forget it.\I found that when I was cleaning the house.\It's my brother's old regimen.\Captive Butterfly!\Sit with legs apart and lean the upper body forward.\Hold 20 seconds.\Bend one arm behind the head and use the other response:	to push the elbow toward the center of the body.
context: Forget it.\I found that when I was cleaning the house.\It's my brother's old regimen.\Captive Butterfly!\Sit with legs apart and lean the upper body forward.\Hold 20 seconds.\Bend one arm behind the head and use the other\to push the elbow toward the center of the body. response:	Hold 20 seconds.
context: I found that when I was cleaning the house.\It's my brother's old regimen.\Captive Butterfly!\Sit with legs apart and lean the upper body forward.\Hold 20 seconds.\Bend one arm behind the head and use the other\to push the elbow toward the center of the body.\Hold 20 seconds. response:	Lie down and turn my head while pulling my knee in the opposite direction.
context: It's my brother's old regimen.\Captive Butterfly!\Sit with legs apart and lean the upper body forward.\Hold 20 seconds.\Bend one arm behind the head and use the other\to push the elbow toward the center of the body.\Hold 20 seconds.\Lie down and turn my head while pulling my knee in the opposite direction. response:	Hold 20 seconds.
context: Captive Butterfly!\Sit with legs apart and lean the upper body forward.\Hold 20 seconds.\Bend one arm behind the head and use the other\to push the elbow toward the center of the body.\Hold 20 seconds.\Lie down and turn my head while pulling my knee in the opposite direction.\Hold 20 seconds. response:	Extend one arm straight while pulling it in with the other...
context: Sit with legs apart and lean the upper body forward.\Hold 20 seconds.\Bend one arm behind the head and use the other\to push the elbow toward the center of the body.\Hold 20 seconds.\Lie down and turn my head while pulling my knee in the opposite direction.\Hold 20 seconds.\Extend one arm straight while pulling it in with the other... response:	Are you that interested?
context: Hold 20 seconds.\Bend one arm behind the head and use the other\to push the elbow toward the center of the body.\Hold 20 seconds.\Lie down and turn my head while pulling my knee in the opposite direction.\Hold 20 seconds.\Extend one arm straight while pulling it in with the other...\Are you that interested? response:	In my brother's old regimen?
context: Bend one arm behind the head and use the other\to push the elbow toward the center of the body.\Hold 20 seconds.\Lie down and turn my head while pulling my knee in the opposite direction.\Hold 20 seconds.\Extend one arm straight while pulling it in with the other...\Are you that interested?\In my brother's old regimen? response:	Not really.
context: to push the elbow toward the center of the body.\Hold 20 seconds.\Lie down and turn my head while pulling my knee in the opposite direction.\Hold 20 seconds.\Extend one arm straight while pulling it in with the other...\Are you that interested?\In my brother's old regimen?\Not really. response:	You can write down a regimen and not follow it.
context: Hold 20 seconds.\Lie down and turn my head while pulling my knee in the opposite direction.\Hold 20 seconds.\Extend one arm straight while pulling it in with the other...\Are you that interested?\In my brother's old regimen?\Not really.\You can write down a regimen and not follow it. response:	So he is interested.
context: Lie down and turn my head while pulling my knee in the opposite direction.\Hold 20 seconds.\Extend one arm straight while pulling it in with the other...\Are you that interested?\In my brother's old regimen?\Not really.\You can write down a regimen and not follow it.\So he is interested. response:	So cold...
context: Hold 20 seconds.\Extend one arm straight while pulling it in with the other...\Are you that interested?\In my brother's old regimen?\Not really.\You can write down a regimen and not follow it.\So he is interested.\So cold... response:	The water's still pretty cold.
context: Extend one arm straight while pulling it in with the other...\Are you that interested?\In my brother's old regimen?\Not really.\You can write down a regimen and not follow it.\So he is interested.\So cold...\The water's still pretty cold. response:	Place both hands on a wall and lean forward.
context: Are you that interested?\In my brother's old regimen?\Not really.\You can write down a regimen and not follow it.\So he is interested.\So cold...\The water's still pretty cold.\Place both hands on a wall and lean forward. response:	Rei-chan, you're still stretching?
context: In my brother's old regimen?\Not really.\You can write down a regimen and not follow it.\So he is interested.\So cold...\The water's still pretty cold.\Place both hands on a wall and lean forward.\Rei-chan, you're still stretching? response:	I want to be as safe as possible.
context: Not really.\You can write down a regimen and not follow it.\So he is interested.\So cold...\The water's still pretty cold.\Place both hands on a wall and lean forward.\Rei-chan, you're still stretching?\I want to be as safe as possible. response:	You gonna be okay?
context: You can write down a regimen and not follow it.\So he is interested.\So cold...\The water's still pretty cold.\Place both hands on a wall and lean forward.\Rei-chan, you're still stretching?\I want to be as safe as possible.\You gonna be okay? response:	You can take it slow...
context: So he is interested.\So cold...\The water's still pretty cold.\Place both hands on a wall and lean forward.\Rei-chan, you're still stretching?\I want to be as safe as possible.\You gonna be okay?\You can take it slow... response:	There's no need to worry.
context: So cold...\The water's still pretty cold.\Place both hands on a wall and lean forward.\Rei-chan, you're still stretching?\I want to be as safe as possible.\You gonna be okay?\You can take it slow...\There's no need to worry. response:	I've mastered the theory behind swimming in the past few days.
context: The water's still pretty cold.\Place both hands on a wall and lean forward.\Rei-chan, you're still stretching?\I want to be as safe as possible.\You gonna be okay?\You can take it slow...\There's no need to worry.\I've mastered the theory behind swimming in the past few days. response:	I won't embarrass myself again!
context: Place both hands on a wall and lean forward.\Rei-chan, you're still stretching?\I want to be as safe as possible.\You gonna be okay?\You can take it slow...\There's no need to worry.\I've mastered the theory behind swimming in the past few days.\I won't embarrass myself again! response:	Rei...
context: Rei-chan, you're still stretching?\I want to be as safe as possible.\You gonna be okay?\You can take it slow...\There's no need to worry.\I've mastered the theory behind swimming in the past few days.\I won't embarrass myself again!\Rei... response:	Rei-chan...
context: I want to be as safe as possible.\You gonna be okay?\You can take it slow...\There's no need to worry.\I've mastered the theory behind swimming in the past few days.\I won't embarrass myself again!\Rei...\Rei-chan... response:	Biceps!
context: You gonna be okay?\You can take it slow...\There's no need to worry.\I've mastered the theory behind swimming in the past few days.\I won't embarrass myself again!\Rei...\Rei-chan...\Biceps! response:	I think you need to start by learning how to swim.
context: You can take it slow...\There's no need to worry.\I've mastered the theory behind swimming in the past few days.\I won't embarrass myself again!\Rei...\Rei-chan...\Biceps!\I think you need to start by learning how to swim. response:	Let's start with the turtle float.
context: There's no need to worry.\I've mastered the theory behind swimming in the past few days.\I won't embarrass myself again!\Rei...\Rei-chan...\Biceps!\I think you need to start by learning how to swim.\Let's start with the turtle float. response:	I'll show you how it's done.
context: I've mastered the theory behind swimming in the past few days.\I won't embarrass myself again!\Rei...\Rei-chan...\Biceps!\I think you need to start by learning how to swim.\Let's start with the turtle float.\I'll show you how it's done. response:	You hug your knees to your chest and relax.
context: I won't embarrass myself again!\Rei...\Rei-chan...\Biceps!\I think you need to start by learning how to swim.\Let's start with the turtle float.\I'll show you how it's done.\You hug your knees to your chest and relax. response:	It's not beautiful.
context: Rei...\Rei-chan...\Biceps!\I think you need to start by learning how to swim.\Let's start with the turtle float.\I'll show you how it's done.\You hug your knees to your chest and relax.\It's not beautiful. response:	Just give it a try.
context: Rei-chan...\Biceps!\I think you need to start by learning how to swim.\Let's start with the turtle float.\I'll show you how it's done.\You hug your knees to your chest and relax.\It's not beautiful.\Just give it a try. response:	So he can float.
context: Biceps!\I think you need to start by learning how to swim.\Let's start with the turtle float.\I'll show you how it's done.\You hug your knees to your chest and relax.\It's not beautiful.\Just give it a try.\So he can float. response:	Now, slowly extend your arms and legs and try to swim.
context: I think you need to start by learning how to swim.\Let's start with the turtle float.\I'll show you how it's done.\You hug your knees to your chest and relax.\It's not beautiful.\Just give it a try.\So he can float.\Now, slowly extend your arms and legs and try to swim. response:	No good...
context: Let's start with the turtle float.\I'll show you how it's done.\You hug your knees to your chest and relax.\It's not beautiful.\Just give it a try.\So he can float.\Now, slowly extend your arms and legs and try to swim.\No good... response:	What's the problem?
context: I'll show you how it's done.\You hug your knees to your chest and relax.\It's not beautiful.\Just give it a try.\So he can float.\Now, slowly extend your arms and legs and try to swim.\No good...\What's the problem? response:	Haruka-senpai...
context: You hug your knees to your chest and relax.\It's not beautiful.\Just give it a try.\So he can float.\Now, slowly extend your arms and legs and try to swim.\No good...\What's the problem?\Haruka-senpai... response:	Why do you swim?
context: It's not beautiful.\Just give it a try.\So he can float.\Now, slowly extend your arms and legs and try to swim.\No good...\What's the problem?\Haruka-senpai...\Why do you swim? response:	I don't have a reason.
context: Just give it a try.\So he can float.\Now, slowly extend your arms and legs and try to swim.\No good...\What's the problem?\Haruka-senpai...\Why do you swim?\I don't have a reason. response:	My brother's dream is to become an Olympic swimmer.
context: So he can float.\Now, slowly extend your arms and legs and try to swim.\No good...\What's the problem?\Haruka-senpai...\Why do you swim?\I don't have a reason.\My brother's dream is to become an Olympic swimmer. response:	That's why he went all the way to Australia to study.
context: Now, slowly extend your arms and legs and try to swim.\No good...\What's the problem?\Haruka-senpai...\Why do you swim?\I don't have a reason.\My brother's dream is to become an Olympic swimmer.\That's why he went all the way to Australia to study. response:	That's got nothing to do with me.
context: No good...\What's the problem?\Haruka-senpai...\Why do you swim?\I don't have a reason.\My brother's dream is to become an Olympic swimmer.\That's why he went all the way to Australia to study.\That's got nothing to do with me. response:	Besides, it's just a dream.
context: What's the problem?\Haruka-senpai...\Why do you swim?\I don't have a reason.\My brother's dream is to become an Olympic swimmer.\That's why he went all the way to Australia to study.\That's got nothing to do with me.\Besides, it's just a dream. response:	Perhaps.
context: Haruka-senpai...\Why do you swim?\I don't have a reason.\My brother's dream is to become an Olympic swimmer.\That's why he went all the way to Australia to study.\That's got nothing to do with me.\Besides, it's just a dream.\Perhaps. response:	But I think he'll be a little closer to his dream if he's with you guys.
context: Why do you swim?\I don't have a reason.\My brother's dream is to become an Olympic swimmer.\That's why he went all the way to Australia to study.\That's got nothing to do with me.\Besides, it's just a dream.\Perhaps.\But I think he'll be a little closer to his dream if he's with you guys. response:	Like when you swam the relay together.
context: I don't have a reason.\My brother's dream is to become an Olympic swimmer.\That's why he went all the way to Australia to study.\That's got nothing to do with me.\Besides, it's just a dream.\Perhaps.\But I think he'll be a little closer to his dream if he's with you guys.\Like when you swam the relay together. response:	Finish! Good job!
context: My brother's dream is to become an Olympic swimmer.\That's why he went all the way to Australia to study.\That's got nothing to do with me.\Besides, it's just a dream.\Perhaps.\But I think he'll be a little closer to his dream if he's with you guys.\Like when you swam the relay together.\Finish! Good job! response:	That last spurt was incredible, Matsuoka-senpai!
context: That's why he went all the way to Australia to study.\That's got nothing to do with me.\Besides, it's just a dream.\Perhaps.\But I think he'll be a little closer to his dream if he's with you guys.\Like when you swam the relay together.\Finish! Good job!\That last spurt was incredible, Matsuoka-senpai! response:	One more run.
context: That's got nothing to do with me.\Besides, it's just a dream.\Perhaps.\But I think he'll be a little closer to his dream if he's with you guys.\Like when you swam the relay together.\Finish! Good job!\That last spurt was incredible, Matsuoka-senpai!\One more run. response:	What?
context: Besides, it's just a dream.\Perhaps.\But I think he'll be a little closer to his dream if he's with you guys.\Like when you swam the relay together.\Finish! Good job!\That last spurt was incredible, Matsuoka-senpai!\One more run.\What? response:	O-Okay!
context: Perhaps.\But I think he'll be a little closer to his dream if he's with you guys.\Like when you swam the relay together.\Finish! Good job!\That last spurt was incredible, Matsuoka-senpai!\One more run.\What?\O-Okay! response:	You're amazing, Matsuoka-senpai.
context: But I think he'll be a little closer to his dream if he's with you guys.\Like when you swam the relay together.\Finish! Good job!\That last spurt was incredible, Matsuoka-senpai!\One more run.\What?\O-Okay!\You're amazing, Matsuoka-senpai. response:	You should stop talking about how amazing I am
context: Like when you swam the relay together.\Finish! Good job!\That last spurt was incredible, Matsuoka-senpai!\One more run.\What?\O-Okay!\You're amazing, Matsuoka-senpai.\You should stop talking about how amazing I am response:	and focus on finding your own style.
context: Finish! Good job!\That last spurt was incredible, Matsuoka-senpai!\One more run.\What?\O-Okay!\You're amazing, Matsuoka-senpai.\You should stop talking about how amazing I am\and focus on finding your own style. response:	I'm a lost cause. I haven't made any progress.
context: That last spurt was incredible, Matsuoka-senpai!\One more run.\What?\O-Okay!\You're amazing, Matsuoka-senpai.\You should stop talking about how amazing I am\and focus on finding your own style.\I'm a lost cause. I haven't made any progress. response:	I guess it comes down to talent.
context: One more run.\What?\O-Okay!\You're amazing, Matsuoka-senpai.\You should stop talking about how amazing I am\and focus on finding your own style.\I'm a lost cause. I haven't made any progress.\I guess it comes down to talent. response:	I was really impressed by Nanase-san at our joint practice...
context: What?\O-Okay!\You're amazing, Matsuoka-senpai.\You should stop talking about how amazing I am\and focus on finding your own style.\I'm a lost cause. I haven't made any progress.\I guess it comes down to talent.\I was really impressed by Nanase-san at our joint practice... response:	Nitori.
context: O-Okay!\You're amazing, Matsuoka-senpai.\You should stop talking about how amazing I am\and focus on finding your own style.\I'm a lost cause. I haven't made any progress.\I guess it comes down to talent.\I was really impressed by Nanase-san at our joint practice...\Nitori. response:	Is that really what you think?
context: You're amazing, Matsuoka-senpai.\You should stop talking about how amazing I am\and focus on finding your own style.\I'm a lost cause. I haven't made any progress.\I guess it comes down to talent.\I was really impressed by Nanase-san at our joint practice...\Nitori.\Is that really what you think? response:	They just started up their swim club and haven't had a real practice yet.
context: You should stop talking about how amazing I am\and focus on finding your own style.\I'm a lost cause. I haven't made any progress.\I guess it comes down to talent.\I was really impressed by Nanase-san at our joint practice...\Nitori.\Is that really what you think?\They just started up their swim club and haven't had a real practice yet. response:	You can tell by looking at their bodies.
context: and focus on finding your own style.\I'm a lost cause. I haven't made any progress.\I guess it comes down to talent.\I was really impressed by Nanase-san at our joint practice...\Nitori.\Is that really what you think?\They just started up their swim club and haven't had a real practice yet.\You can tell by looking at their bodies. response:	They haven't been working out.
context: I'm a lost cause. I haven't made any progress.\I guess it comes down to talent.\I was really impressed by Nanase-san at our joint practice...\Nitori.\Is that really what you think?\They just started up their swim club and haven't had a real practice yet.\You can tell by looking at their bodies.\They haven't been working out. response:	Given the condition he's in, my victory means nothing.
context: I guess it comes down to talent.\I was really impressed by Nanase-san at our joint practice...\Nitori.\Is that really what you think?\They just started up their swim club and haven't had a real practice yet.\You can tell by looking at their bodies.\They haven't been working out.\Given the condition he's in, my victory means nothing. response:	It doesn't count as a win.
context: I was really impressed by Nanase-san at our joint practice...\Nitori.\Is that really what you think?\They just started up their swim club and haven't had a real practice yet.\You can tell by looking at their bodies.\They haven't been working out.\Given the condition he's in, my victory means nothing.\It doesn't count as a win. response:	Haru-chan! Mako-chan!
context: Nitori.\Is that really what you think?\They just started up their swim club and haven't had a real practice yet.\You can tell by looking at their bodies.\They haven't been working out.\Given the condition he's in, my victory means nothing.\It doesn't count as a win.\Haru-chan! Mako-chan! response:	Hello!
context: Is that really what you think?\They just started up their swim club and haven't had a real practice yet.\You can tell by looking at their bodies.\They haven't been working out.\Given the condition he's in, my victory means nothing.\It doesn't count as a win.\Haru-chan! Mako-chan!\Hello! response:	Hey! Wait, Nagisa-kun!
context: They just started up their swim club and haven't had a real practice yet.\You can tell by looking at their bodies.\They haven't been working out.\Given the condition he's in, my victory means nothing.\It doesn't count as a win.\Haru-chan! Mako-chan!\Hello!\Hey! Wait, Nagisa-kun! response:	Look at this!
context: You can tell by looking at their bodies.\They haven't been working out.\Given the condition he's in, my victory means nothing.\It doesn't count as a win.\Haru-chan! Mako-chan!\Hello!\Hey! Wait, Nagisa-kun!\Look at this! response:	Ta-da!
context: They haven't been working out.\Given the condition he's in, my victory means nothing.\It doesn't count as a win.\Haru-chan! Mako-chan!\Hello!\Hey! Wait, Nagisa-kun!\Look at this!\Ta-da! response:	Uniforms?
context: Given the condition he's in, my victory means nothing.\It doesn't count as a win.\Haru-chan! Mako-chan!\Hello!\Hey! Wait, Nagisa-kun!\Look at this!\Ta-da!\Uniforms? response:	Yep.
context: It doesn't count as a win.\Haru-chan! Mako-chan!\Hello!\Hey! Wait, Nagisa-kun!\Look at this!\Ta-da!\Uniforms?\Yep. response:	We have a swim club now, so we should get matching uniforms.
context: Haru-chan! Mako-chan!\Hello!\Hey! Wait, Nagisa-kun!\Look at this!\Ta-da!\Uniforms?\Yep.\We have a swim club now, so we should get matching uniforms. response:	That's a good idea.
context: Hello!\Hey! Wait, Nagisa-kun!\Look at this!\Ta-da!\Uniforms?\Yep.\We have a swim club now, so we should get matching uniforms.\That's a good idea. response:	It'll give our club more of an official feel.
context: Hey! Wait, Nagisa-kun!\Look at this!\Ta-da!\Uniforms?\Yep.\We have a swim club now, so we should get matching uniforms.\That's a good idea.\It'll give our club more of an official feel. response:	I know, right?
context: Look at this!\Ta-da!\Uniforms?\Yep.\We have a swim club now, so we should get matching uniforms.\That's a good idea.\It'll give our club more of an official feel.\I know, right? response:	I think we should go with this design, and this color.
context: Ta-da!\Uniforms?\Yep.\We have a swim club now, so we should get matching uniforms.\That's a good idea.\It'll give our club more of an official feel.\I know, right?\I think we should go with this design, and this color. response:	And we can even use an image in addition to the school emblem.
context: Uniforms?\Yep.\We have a swim club now, so we should get matching uniforms.\That's a good idea.\It'll give our club more of an official feel.\I know, right?\I think we should go with this design, and this color.\And we can even use an image in addition to the school emblem. response:	Are you thinking about putting Iwatobi-chan on there?
context: Yep.\We have a swim club now, so we should get matching uniforms.\That's a good idea.\It'll give our club more of an official feel.\I know, right?\I think we should go with this design, and this color.\And we can even use an image in addition to the school emblem.\Are you thinking about putting Iwatobi-chan on there? response:	That was the plan.
context: We have a swim club now, so we should get matching uniforms.\That's a good idea.\It'll give our club more of an official feel.\I know, right?\I think we should go with this design, and this color.\And we can even use an image in addition to the school emblem.\Are you thinking about putting Iwatobi-chan on there?\That was the plan. response:	But it's not beautiful.
context: That's a good idea.\It'll give our club more of an official feel.\I know, right?\I think we should go with this design, and this color.\And we can even use an image in addition to the school emblem.\Are you thinking about putting Iwatobi-chan on there?\That was the plan.\But it's not beautiful. response:	I think Samezuka's design incorporates a shark and a katana.
context: It'll give our club more of an official feel.\I know, right?\I think we should go with this design, and this color.\And we can even use an image in addition to the school emblem.\Are you thinking about putting Iwatobi-chan on there?\That was the plan.\But it's not beautiful.\I think Samezuka's design incorporates a shark and a katana. response:	Theirs is pretty cool!
context: I know, right?\I think we should go with this design, and this color.\And we can even use an image in addition to the school emblem.\Are you thinking about putting Iwatobi-chan on there?\That was the plan.\But it's not beautiful.\I think Samezuka's design incorporates a shark and a katana.\Theirs is pretty cool! response:	We could put a real rockhopper penguin on ours, then.
context: I think we should go with this design, and this color.\And we can even use an image in addition to the school emblem.\Are you thinking about putting Iwatobi-chan on there?\That was the plan.\But it's not beautiful.\I think Samezuka's design incorporates a shark and a katana.\Theirs is pretty cool!\We could put a real rockhopper penguin on ours, then. response:	What do you think, Haru-chan?
context: And we can even use an image in addition to the school emblem.\Are you thinking about putting Iwatobi-chan on there?\That was the plan.\But it's not beautiful.\I think Samezuka's design incorporates a shark and a katana.\Theirs is pretty cool!\We could put a real rockhopper penguin on ours, then.\What do you think, Haru-chan? response:	B-Beautiful...
context: Are you thinking about putting Iwatobi-chan on there?\That was the plan.\But it's not beautiful.\I think Samezuka's design incorporates a shark and a katana.\Theirs is pretty cool!\We could put a real rockhopper penguin on ours, then.\What do you think, Haru-chan?\B-Beautiful... response:	Huh?
context: That was the plan.\But it's not beautiful.\I think Samezuka's design incorporates a shark and a katana.\Theirs is pretty cool!\We could put a real rockhopper penguin on ours, then.\What do you think, Haru-chan?\B-Beautiful...\Huh? response:	Forget about buying matching uniforms for now.
