context: We're sick and tired of you dodging the issue! response:	I am not dodging the issue!
context: What we're saying\is that we want you to decide on a course of action.\If you ask me, Grandpa will come and save us, so wait for him\isn't something a leader should say. Am I right?\Good point.\What are you, a kid?\Per Article 32, Section 3 of the student council charter,\I'm hereby filing a no-confidence resolution against the president response:	and requesting that we elect a new president.
context: is that we want you to decide on a course of action.\If you ask me, Grandpa will come and save us, so wait for him\isn't something a leader should say. Am I right?\Good point.\What are you, a kid?\Per Article 32, Section 3 of the student council charter,\I'm hereby filing a no-confidence resolution against the president\and requesting that we elect a new president. response:	The reality of the destruction around us fills our mind
context: If you ask me, Grandpa will come and save us, so wait for him\isn't something a leader should say. Am I right?\Good point.\What are you, a kid?\Per Article 32, Section 3 of the student council charter,\I'm hereby filing a no-confidence resolution against the president\and requesting that we elect a new president.\The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: isn't something a leader should say. Am I right?\Good point.\What are you, a kid?\Per Article 32, Section 3 of the student council charter,\I'm hereby filing a no-confidence resolution against the president\and requesting that we elect a new president.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
context: Good point.\What are you, a kid?\Per Article 32, Section 3 of the student council charter,\I'm hereby filing a no-confidence resolution against the president\and requesting that we elect a new president.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: What are you, a kid?\Per Article 32, Section 3 of the student council charter,\I'm hereby filing a no-confidence resolution against the president\and requesting that we elect a new president.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Per Article 32, Section 3 of the student council charter,\I'm hereby filing a no-confidence resolution against the president\and requesting that we elect a new president.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: I'm hereby filing a no-confidence resolution against the president\and requesting that we elect a new president.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: and requesting that we elect a new president.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your voice was given to you to tell others how you feel
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel response:	All living things
context: The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things response:	bear witness to my song
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song response:	Your heart contains all its truth
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth response:	Even when all you see in your path are storms
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms response:	remember that your strength is no coincidence
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence response:	It's time to distribute the vaccine.
context: that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\It's time to distribute the vaccine. response:	Everyone allotted a dose this week,
context: that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\It's time to distribute the vaccine.\Everyone allotted a dose this week, response:	report to the student council room on the fourth floor before lunch hour ends.
context: All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\It's time to distribute the vaccine.\Everyone allotted a dose this week,\report to the student council room on the fourth floor before lunch hour ends. response:	Here you go. Take good care of it.
context: bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\It's time to distribute the vaccine.\Everyone allotted a dose this week,\report to the student council room on the fourth floor before lunch hour ends.\Here you go. Take good care of it. response:	I think the dam's finally burst.
context: Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\It's time to distribute the vaccine.\Everyone allotted a dose this week,\report to the student council room on the fourth floor before lunch hour ends.\Here you go. Take good care of it.\I think the dam's finally burst. response:	Dam? What dam?
context: Even when all you see in your path are storms\remember that your strength is no coincidence\It's time to distribute the vaccine.\Everyone allotted a dose this week,\report to the student council room on the fourth floor before lunch hour ends.\Here you go. Take good care of it.\I think the dam's finally burst.\Dam? What dam? response:	This is the school's unofficial website, Tennozu Underground. Take a look.
context: remember that your strength is no coincidence\It's time to distribute the vaccine.\Everyone allotted a dose this week,\report to the student council room on the fourth floor before lunch hour ends.\Here you go. Take good care of it.\I think the dam's finally burst.\Dam? What dam?\This is the school's unofficial website, Tennozu Underground. Take a look. response:	The internet is back?!
context: It's time to distribute the vaccine.\Everyone allotted a dose this week,\report to the student council room on the fourth floor before lunch hour ends.\Here you go. Take good care of it.\I think the dam's finally burst.\Dam? What dam?\This is the school's unofficial website, Tennozu Underground. Take a look.\The internet is back?! response:	Wow, it is.
context: Everyone allotted a dose this week,\report to the student council room on the fourth floor before lunch hour ends.\Here you go. Take good care of it.\I think the dam's finally burst.\Dam? What dam?\This is the school's unofficial website, Tennozu Underground. Take a look.\The internet is back?!\Wow, it is. response:	The jamming suddenly lifted on just the school's local network, so the internet came back up.
context: report to the student council room on the fourth floor before lunch hour ends.\Here you go. Take good care of it.\I think the dam's finally burst.\Dam? What dam?\This is the school's unofficial website, Tennozu Underground. Take a look.\The internet is back?!\Wow, it is.\The jamming suddenly lifted on just the school's local network, so the internet came back up. response:	But, we're still cut off from the outside.
context: Here you go. Take good care of it.\I think the dam's finally burst.\Dam? What dam?\This is the school's unofficial website, Tennozu Underground. Take a look.\The internet is back?!\Wow, it is.\The jamming suddenly lifted on just the school's local network, so the internet came back up.\But, we're still cut off from the outside. response:	Let me see, let me see!
context: I think the dam's finally burst.\Dam? What dam?\This is the school's unofficial website, Tennozu Underground. Take a look.\The internet is back?!\Wow, it is.\The jamming suddenly lifted on just the school's local network, so the internet came back up.\But, we're still cut off from the outside.\Let me see, let me see! response:	They're really going after the president.
context: Dam? What dam?\This is the school's unofficial website, Tennozu Underground. Take a look.\The internet is back?!\Wow, it is.\The jamming suddenly lifted on just the school's local network, so the internet came back up.\But, we're still cut off from the outside.\Let me see, let me see!\They're really going after the president. response:	But she's working hard! That's just mean!
context: This is the school's unofficial website, Tennozu Underground. Take a look.\The internet is back?!\Wow, it is.\The jamming suddenly lifted on just the school's local network, so the internet came back up.\But, we're still cut off from the outside.\Let me see, let me see!\They're really going after the president.\But she's working hard! That's just mean! response:	I can see their point, though.
context: The internet is back?!\Wow, it is.\The jamming suddenly lifted on just the school's local network, so the internet came back up.\But, we're still cut off from the outside.\Let me see, let me see!\They're really going after the president.\But she's working hard! That's just mean!\I can see their point, though. response:	I mean, she's really not cut out to lead.
context: Wow, it is.\The jamming suddenly lifted on just the school's local network, so the internet came back up.\But, we're still cut off from the outside.\Let me see, let me see!\They're really going after the president.\But she's working hard! That's just mean!\I can see their point, though.\I mean, she's really not cut out to lead. response:	Hey!
context: The jamming suddenly lifted on just the school's local network, so the internet came back up.\But, we're still cut off from the outside.\Let me see, let me see!\They're really going after the president.\But she's working hard! That's just mean!\I can see their point, though.\I mean, she's really not cut out to lead.\Hey! response:	That's a horrible thing to say! She's one of us, and we care about her!
context: But, we're still cut off from the outside.\Let me see, let me see!\They're really going after the president.\But she's working hard! That's just mean!\I can see their point, though.\I mean, she's really not cut out to lead.\Hey!\That's a horrible thing to say! She's one of us, and we care about her! response:	One of us? We're only together because of the circumstances.
context: Let me see, let me see!\They're really going after the president.\But she's working hard! That's just mean!\I can see their point, though.\I mean, she's really not cut out to lead.\Hey!\That's a horrible thing to say! She's one of us, and we care about her!\One of us? We're only together because of the circumstances. response:	You're not cute at all!
context: They're really going after the president.\But she's working hard! That's just mean!\I can see their point, though.\I mean, she's really not cut out to lead.\Hey!\That's a horrible thing to say! She's one of us, and we care about her!\One of us? We're only together because of the circumstances.\You're not cute at all! response:	I'm so sorry!
context: But she's working hard! That's just mean!\I can see their point, though.\I mean, she's really not cut out to lead.\Hey!\That's a horrible thing to say! She's one of us, and we care about her!\One of us? We're only together because of the circumstances.\You're not cute at all!\I'm so sorry! response:	Tsugumi!
context: I can see their point, though.\I mean, she's really not cut out to lead.\Hey!\That's a horrible thing to say! She's one of us, and we care about her!\One of us? We're only together because of the circumstances.\You're not cute at all!\I'm so sorry!\Tsugumi! response:	What's her problem?
context: I mean, she's really not cut out to lead.\Hey!\That's a horrible thing to say! She's one of us, and we care about her!\One of us? We're only together because of the circumstances.\You're not cute at all!\I'm so sorry!\Tsugumi!\What's her problem? response:	Gather as much information you can on what's happening outside and on people who want to leave.
context: Hey!\That's a horrible thing to say! She's one of us, and we care about her!\One of us? We're only together because of the circumstances.\You're not cute at all!\I'm so sorry!\Tsugumi!\What's her problem?\Gather as much information you can on what's happening outside and on people who want to leave. response:	We'll confront her with that at the assembly.
context: That's a horrible thing to say! She's one of us, and we care about her!\One of us? We're only together because of the circumstances.\You're not cute at all!\I'm so sorry!\Tsugumi!\What's her problem?\Gather as much information you can on what's happening outside and on people who want to leave.\We'll confront her with that at the assembly. response:	Whatever. Why don't we just kill her?
context: One of us? We're only together because of the circumstances.\You're not cute at all!\I'm so sorry!\Tsugumi!\What's her problem?\Gather as much information you can on what's happening outside and on people who want to leave.\We'll confront her with that at the assembly.\Whatever. Why don't we just kill her? response:	Don't get hasty. We can play our trump card whenever we want.
context: You're not cute at all!\I'm so sorry!\Tsugumi!\What's her problem?\Gather as much information you can on what's happening outside and on people who want to leave.\We'll confront her with that at the assembly.\Whatever. Why don't we just kill her?\Don't get hasty. We can play our trump card whenever we want. response:	Hey, Inori.
context: I'm so sorry!\Tsugumi!\What's her problem?\Gather as much information you can on what's happening outside and on people who want to leave.\We'll confront her with that at the assembly.\Whatever. Why don't we just kill her?\Don't get hasty. We can play our trump card whenever we want.\Hey, Inori. response:	You don't have any family, right?
context: Tsugumi!\What's her problem?\Gather as much information you can on what's happening outside and on people who want to leave.\We'll confront her with that at the assembly.\Whatever. Why don't we just kill her?\Don't get hasty. We can play our trump card whenever we want.\Hey, Inori.\You don't have any family, right? response:	Have you ever felt lonely?
context: What's her problem?\Gather as much information you can on what's happening outside and on people who want to leave.\We'll confront her with that at the assembly.\Whatever. Why don't we just kill her?\Don't get hasty. We can play our trump card whenever we want.\Hey, Inori.\You don't have any family, right?\Have you ever felt lonely? response:	Only once.
context: Gather as much information you can on what's happening outside and on people who want to leave.\We'll confront her with that at the assembly.\Whatever. Why don't we just kill her?\Don't get hasty. We can play our trump card whenever we want.\Hey, Inori.\You don't have any family, right?\Have you ever felt lonely?\Only once. response:	The one time when Shu wasn't there and I was cold.
context: We'll confront her with that at the assembly.\Whatever. Why don't we just kill her?\Don't get hasty. We can play our trump card whenever we want.\Hey, Inori.\You don't have any family, right?\Have you ever felt lonely?\Only once.\The one time when Shu wasn't there and I was cold. response:	Gai told me that's loneliness.
context: Whatever. Why don't we just kill her?\Don't get hasty. We can play our trump card whenever we want.\Hey, Inori.\You don't have any family, right?\Have you ever felt lonely?\Only once.\The one time when Shu wasn't there and I was cold.\Gai told me that's loneliness. response:	Thanks for sharing that.
context: Don't get hasty. We can play our trump card whenever we want.\Hey, Inori.\You don't have any family, right?\Have you ever felt lonely?\Only once.\The one time when Shu wasn't there and I was cold.\Gai told me that's loneliness.\Thanks for sharing that. response:	Are you lonely?
context: Hey, Inori.\You don't have any family, right?\Have you ever felt lonely?\Only once.\The one time when Shu wasn't there and I was cold.\Gai told me that's loneliness.\Thanks for sharing that.\Are you lonely? response:	Tsugumi, are you lonely?
context: You don't have any family, right?\Have you ever felt lonely?\Only once.\The one time when Shu wasn't there and I was cold.\Gai told me that's loneliness.\Thanks for sharing that.\Are you lonely?\Tsugumi, are you lonely? response:	N-No, of course not! I mean, sure, the Undertakers are gone...
context: Have you ever felt lonely?\Only once.\The one time when Shu wasn't there and I was cold.\Gai told me that's loneliness.\Thanks for sharing that.\Are you lonely?\Tsugumi, are you lonely?\N-No, of course not! I mean, sure, the Undertakers are gone... response:	But I was living on my own even before I joined them.
context: Only once.\The one time when Shu wasn't there and I was cold.\Gai told me that's loneliness.\Thanks for sharing that.\Are you lonely?\Tsugumi, are you lonely?\N-No, of course not! I mean, sure, the Undertakers are gone...\But I was living on my own even before I joined them. response:	I'm way past being lonely.
context: The one time when Shu wasn't there and I was cold.\Gai told me that's loneliness.\Thanks for sharing that.\Are you lonely?\Tsugumi, are you lonely?\N-No, of course not! I mean, sure, the Undertakers are gone...\But I was living on my own even before I joined them.\I'm way past being lonely. response:	Yeah...
context: Gai told me that's loneliness.\Thanks for sharing that.\Are you lonely?\Tsugumi, are you lonely?\N-No, of course not! I mean, sure, the Undertakers are gone...\But I was living on my own even before I joined them.\I'm way past being lonely.\Yeah... response:	I've always been alone, so...
context: Thanks for sharing that.\Are you lonely?\Tsugumi, are you lonely?\N-No, of course not! I mean, sure, the Undertakers are gone...\But I was living on my own even before I joined them.\I'm way past being lonely.\Yeah...\I've always been alone, so... response:	So you don't have to worry about it, Shu!
context: Are you lonely?\Tsugumi, are you lonely?\N-No, of course not! I mean, sure, the Undertakers are gone...\But I was living on my own even before I joined them.\I'm way past being lonely.\Yeah...\I've always been alone, so...\So you don't have to worry about it, Shu! response:	R-Right!
context: Tsugumi, are you lonely?\N-No, of course not! I mean, sure, the Undertakers are gone...\But I was living on my own even before I joined them.\I'm way past being lonely.\Yeah...\I've always been alone, so...\So you don't have to worry about it, Shu!\R-Right! response:	Perfect timing. I'll give you this.
context: N-No, of course not! I mean, sure, the Undertakers are gone...\But I was living on my own even before I joined them.\I'm way past being lonely.\Yeah...\I've always been alone, so...\So you don't have to worry about it, Shu!\R-Right!\Perfect timing. I'll give you this. response:	Genomic Resonance Gauge?
context: But I was living on my own even before I joined them.\I'm way past being lonely.\Yeah...\I've always been alone, so...\So you don't have to worry about it, Shu!\R-Right!\Perfect timing. I'll give you this.\Genomic Resonance Gauge? response:	Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids.
context: I'm way past being lonely.\Yeah...\I've always been alone, so...\So you don't have to worry about it, Shu!\R-Right!\Perfect timing. I'll give you this.\Genomic Resonance Gauge?\Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids. response:	It was just lying on the ground near the truck those guys attacked us in yesterday.
context: Yeah...\I've always been alone, so...\So you don't have to worry about it, Shu!\R-Right!\Perfect timing. I'll give you this.\Genomic Resonance Gauge?\Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids.\It was just lying on the ground near the truck those guys attacked us in yesterday. response:	Seems like the bigger the number, the more powerful the Void.
context: I've always been alone, so...\So you don't have to worry about it, Shu!\R-Right!\Perfect timing. I'll give you this.\Genomic Resonance Gauge?\Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids.\It was just lying on the ground near the truck those guys attacked us in yesterday.\Seems like the bigger the number, the more powerful the Void. response:	I see...
context: So you don't have to worry about it, Shu!\R-Right!\Perfect timing. I'll give you this.\Genomic Resonance Gauge?\Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids.\It was just lying on the ground near the truck those guys attacked us in yesterday.\Seems like the bigger the number, the more powerful the Void.\I see... response:	Impressive!
context: R-Right!\Perfect timing. I'll give you this.\Genomic Resonance Gauge?\Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids.\It was just lying on the ground near the truck those guys attacked us in yesterday.\Seems like the bigger the number, the more powerful the Void.\I see...\Impressive! response:	Wh-What!? What is it?
context: Perfect timing. I'll give you this.\Genomic Resonance Gauge?\Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids.\It was just lying on the ground near the truck those guys attacked us in yesterday.\Seems like the bigger the number, the more powerful the Void.\I see...\Impressive!\Wh-What!? What is it? response:	Come to think of it, what's Tsugumi's Void?
context: Genomic Resonance Gauge?\Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids.\It was just lying on the ground near the truck those guys attacked us in yesterday.\Seems like the bigger the number, the more powerful the Void.\I see...\Impressive!\Wh-What!? What is it?\Come to think of it, what's Tsugumi's Void? response:	Well, I've never drawn it out...
context: Yep. To put it bluntly, it's like a gadget for measuring the strength of Voids.\It was just lying on the ground near the truck those guys attacked us in yesterday.\Seems like the bigger the number, the more powerful the Void.\I see...\Impressive!\Wh-What!? What is it?\Come to think of it, what's Tsugumi's Void?\Well, I've never drawn it out... response:	Think of the situation we're in.
context: It was just lying on the ground near the truck those guys attacked us in yesterday.\Seems like the bigger the number, the more powerful the Void.\I see...\Impressive!\Wh-What!? What is it?\Come to think of it, what's Tsugumi's Void?\Well, I've never drawn it out...\Think of the situation we're in. response:	It's best to get an idea of everyone's Voids, isn't it?
context: Seems like the bigger the number, the more powerful the Void.\I see...\Impressive!\Wh-What!? What is it?\Come to think of it, what's Tsugumi's Void?\Well, I've never drawn it out...\Think of the situation we're in.\It's best to get an idea of everyone's Voids, isn't it? response:	Don't worry. It only hurts for a second.
context: I see...\Impressive!\Wh-What!? What is it?\Come to think of it, what's Tsugumi's Void?\Well, I've never drawn it out...\Think of the situation we're in.\It's best to get an idea of everyone's Voids, isn't it?\Don't worry. It only hurts for a second. response:	It hurts!?
context: Impressive!\Wh-What!? What is it?\Come to think of it, what's Tsugumi's Void?\Well, I've never drawn it out...\Think of the situation we're in.\It's best to get an idea of everyone's Voids, isn't it?\Don't worry. It only hurts for a second.\It hurts!? response:	All right, Dr. Ouma, have at it!
