context: This doesn't seem to be it either, does it? response:	We still have a long way to go.
context: Well, well!\Where did this armor come from?\Right, it was generated by Lemus's powers.\It's highly protective,\and it's also a headache because it repairs itself as soon as you destroy it.\I see!\Not to mention, the armor's even protecting the school badge, too!\So you're going all-out from the start. response:	I'm up against the Gluhen Rose herself.
context: Where did this armor come from?\Right, it was generated by Lemus's powers.\It's highly protective,\and it's also a headache because it repairs itself as soon as you destroy it.\I see!\Not to mention, the armor's even protecting the school badge, too!\So you're going all-out from the start.\I'm up against the Gluhen Rose herself. response:	Why wouldn't I be?
context: Right, it was generated by Lemus's powers.\It's highly protective,\and it's also a headache because it repairs itself as soon as you destroy it.\I see!\Not to mention, the armor's even protecting the school badge, too!\So you're going all-out from the start.\I'm up against the Gluhen Rose herself.\Why wouldn't I be? response:	Let's go!
context: It's highly protective,\and it's also a headache because it repairs itself as soon as you destroy it.\I see!\Not to mention, the armor's even protecting the school badge, too!\So you're going all-out from the start.\I'm up against the Gluhen Rose herself.\Why wouldn't I be?\Let's go! response:	Julis...
context: and it's also a headache because it repairs itself as soon as you destroy it.\I see!\Not to mention, the armor's even protecting the school badge, too!\So you're going all-out from the start.\I'm up against the Gluhen Rose herself.\Why wouldn't I be?\Let's go!\Julis... response:	I thought I was your opponent.
context: I see!\Not to mention, the armor's even protecting the school badge, too!\So you're going all-out from the start.\I'm up against the Gluhen Rose herself.\Why wouldn't I be?\Let's go!\Julis...\I thought I was your opponent. response:	Ayato Amagiri...
context: Not to mention, the armor's even protecting the school badge, too!\So you're going all-out from the start.\I'm up against the Gluhen Rose herself.\Why wouldn't I be?\Let's go!\Julis...\I thought I was your opponent.\Ayato Amagiri... response:	I've been looking forward to battling you.
context: So you're going all-out from the start.\I'm up against the Gluhen Rose herself.\Why wouldn't I be?\Let's go!\Julis...\I thought I was your opponent.\Ayato Amagiri...\I've been looking forward to battling you. response:	I wish you wouldn't keep me waiting.
context: I'm up against the Gluhen Rose herself.\Why wouldn't I be?\Let's go!\Julis...\I thought I was your opponent.\Ayato Amagiri...\I've been looking forward to battling you.\I wish you wouldn't keep me waiting. response:	Sorry about that.
context: Why wouldn't I be?\Let's go!\Julis...\I thought I was your opponent.\Ayato Amagiri...\I've been looking forward to battling you.\I wish you wouldn't keep me waiting.\Sorry about that. response:	By the way, where's your Ser=Versta?
context: Let's go!\Julis...\I thought I was your opponent.\Ayato Amagiri...\I've been looking forward to battling you.\I wish you wouldn't keep me waiting.\Sorry about that.\By the way, where's your Ser=Versta? response:	I hope you're not holding back on me.
context: Julis...\I thought I was your opponent.\Ayato Amagiri...\I've been looking forward to battling you.\I wish you wouldn't keep me waiting.\Sorry about that.\By the way, where's your Ser=Versta?\I hope you're not holding back on me. response:	Unfortunately, something came up, and I can't use it right now.
context: I thought I was your opponent.\Ayato Amagiri...\I've been looking forward to battling you.\I wish you wouldn't keep me waiting.\Sorry about that.\By the way, where's your Ser=Versta?\I hope you're not holding back on me.\Unfortunately, something came up, and I can't use it right now. response:	Oh, well, whatever.
context: Ayato Amagiri...\I've been looking forward to battling you.\I wish you wouldn't keep me waiting.\Sorry about that.\By the way, where's your Ser=Versta?\I hope you're not holding back on me.\Unfortunately, something came up, and I can't use it right now.\Oh, well, whatever. response:	Let me see those sword skills the student council president's mentioned!
context: I've been looking forward to battling you.\I wish you wouldn't keep me waiting.\Sorry about that.\By the way, where's your Ser=Versta?\I hope you're not holding back on me.\Unfortunately, something came up, and I can't use it right now.\Oh, well, whatever.\Let me see those sword skills the student council president's mentioned! response:	Huh? That's weird!
context: I wish you wouldn't keep me waiting.\Sorry about that.\By the way, where's your Ser=Versta?\I hope you're not holding back on me.\Unfortunately, something came up, and I can't use it right now.\Oh, well, whatever.\Let me see those sword skills the student council president's mentioned!\Huh? That's weird! response:	I've never shown that move in this tournament before.
context: Sorry about that.\By the way, where's your Ser=Versta?\I hope you're not holding back on me.\Unfortunately, something came up, and I can't use it right now.\Oh, well, whatever.\Let me see those sword skills the student council president's mentioned!\Huh? That's weird!\I've never shown that move in this tournament before. response:	I see...
context: By the way, where's your Ser=Versta?\I hope you're not holding back on me.\Unfortunately, something came up, and I can't use it right now.\Oh, well, whatever.\Let me see those sword skills the student council president's mentioned!\Huh? That's weird!\I've never shown that move in this tournament before.\I see... response:	So you're skilled at counterattacking.
context: I hope you're not holding back on me.\Unfortunately, something came up, and I can't use it right now.\Oh, well, whatever.\Let me see those sword skills the student council president's mentioned!\Huh? That's weird!\I've never shown that move in this tournament before.\I see...\So you're skilled at counterattacking. response:	That first strike was a decoy, huh?
context: Unfortunately, something came up, and I can't use it right now.\Oh, well, whatever.\Let me see those sword skills the student council president's mentioned!\Huh? That's weird!\I've never shown that move in this tournament before.\I see...\So you're skilled at counterattacking.\That first strike was a decoy, huh? response:	Well, I guess I'd have to say that it was.
context: Oh, well, whatever.\Let me see those sword skills the student council president's mentioned!\Huh? That's weird!\I've never shown that move in this tournament before.\I see...\So you're skilled at counterattacking.\That first strike was a decoy, huh?\Well, I guess I'd have to say that it was. response:	But be warned that counterattacks aren't...
context: Let me see those sword skills the student council president's mentioned!\Huh? That's weird!\I've never shown that move in this tournament before.\I see...\So you're skilled at counterattacking.\That first strike was a decoy, huh?\Well, I guess I'd have to say that it was.\But be warned that counterattacks aren't... response:	So you're just as good as you say you are.
context: Huh? That's weird!\I've never shown that move in this tournament before.\I see...\So you're skilled at counterattacking.\That first strike was a decoy, huh?\Well, I guess I'd have to say that it was.\But be warned that counterattacks aren't...\So you're just as good as you say you are. response:	Based on talent alone, you might be a match for Kirin.
context: I've never shown that move in this tournament before.\I see...\So you're skilled at counterattacking.\That first strike was a decoy, huh?\Well, I guess I'd have to say that it was.\But be warned that counterattacks aren't...\So you're just as good as you say you are.\Based on talent alone, you might be a match for Kirin. response:	That goes without saying!
context: I see...\So you're skilled at counterattacking.\That first strike was a decoy, huh?\Well, I guess I'd have to say that it was.\But be warned that counterattacks aren't...\So you're just as good as you say you are.\Based on talent alone, you might be a match for Kirin.\That goes without saying! response:	But that sword of yours is... still too light!
context: So you're skilled at counterattacking.\That first strike was a decoy, huh?\Well, I guess I'd have to say that it was.\But be warned that counterattacks aren't...\So you're just as good as you say you are.\Based on talent alone, you might be a match for Kirin.\That goes without saying!\But that sword of yours is... still too light! response:	Not in terms of power, but resolve!
context: That first strike was a decoy, huh?\Well, I guess I'd have to say that it was.\But be warned that counterattacks aren't...\So you're just as good as you say you are.\Based on talent alone, you might be a match for Kirin.\That goes without saying!\But that sword of yours is... still too light!\Not in terms of power, but resolve! response:	As if I'd let you!
context: Well, I guess I'd have to say that it was.\But be warned that counterattacks aren't...\So you're just as good as you say you are.\Based on talent alone, you might be a match for Kirin.\That goes without saying!\But that sword of yours is... still too light!\Not in terms of power, but resolve!\As if I'd let you! response:	Amagiri Shinmei Style...
context: But be warned that counterattacks aren't...\So you're just as good as you say you are.\Based on talent alone, you might be a match for Kirin.\That goes without saying!\But that sword of yours is... still too light!\Not in terms of power, but resolve!\As if I'd let you!\Amagiri Shinmei Style... response:	Twin Demon Bees!
context: So you're just as good as you say you are.\Based on talent alone, you might be a match for Kirin.\That goes without saying!\But that sword of yours is... still too light!\Not in terms of power, but resolve!\As if I'd let you!\Amagiri Shinmei Style...\Twin Demon Bees! response:	AMAGIRI SHINMEI STYLE TWIN DEMON BEES
context: Based on talent alone, you might be a match for Kirin.\That goes without saying!\But that sword of yours is... still too light!\Not in terms of power, but resolve!\As if I'd let you!\Amagiri Shinmei Style...\Twin Demon Bees!\AMAGIRI SHINMEI STYLE TWIN DEMON BEES response:	Elliott Forster... badge broken!
context: That goes without saying!\But that sword of yours is... still too light!\Not in terms of power, but resolve!\As if I'd let you!\Amagiri Shinmei Style...\Twin Demon Bees!\AMAGIRI SHINMEI STYLE TWIN DEMON BEES\Elliott Forster... badge broken! response:	No way...
context: But that sword of yours is... still too light!\Not in terms of power, but resolve!\As if I'd let you!\Amagiri Shinmei Style...\Twin Demon Bees!\AMAGIRI SHINMEI STYLE TWIN DEMON BEES\Elliott Forster... badge broken!\No way... response:	Burst into bloom...
context: Not in terms of power, but resolve!\As if I'd let you!\Amagiri Shinmei Style...\Twin Demon Bees!\AMAGIRI SHINMEI STYLE TWIN DEMON BEES\Elliott Forster... badge broken!\No way...\Burst into bloom... response:	Primrose!
context: As if I'd let you!\Amagiri Shinmei Style...\Twin Demon Bees!\AMAGIRI SHINMEI STYLE TWIN DEMON BEES\Elliott Forster... badge broken!\No way...\Burst into bloom...\Primrose! response:	Riessfeld can only go on the defensive against Doroteo's lance charge!
context: Amagiri Shinmei Style...\Twin Demon Bees!\AMAGIRI SHINMEI STYLE TWIN DEMON BEES\Elliott Forster... badge broken!\No way...\Burst into bloom...\Primrose!\Riessfeld can only go on the defensive against Doroteo's lance charge! response:	We really should be astounded by Doroteo's powers.
context: Twin Demon Bees!\AMAGIRI SHINMEI STYLE TWIN DEMON BEES\Elliott Forster... badge broken!\No way...\Burst into bloom...\Primrose!\Riessfeld can only go on the defensive against Doroteo's lance charge!\We really should be astounded by Doroteo's powers. response:	Creating such a complex image and moving it so smoothly...
context: AMAGIRI SHINMEI STYLE TWIN DEMON BEES\Elliott Forster... badge broken!\No way...\Burst into bloom...\Primrose!\Riessfeld can only go on the defensive against Doroteo's lance charge!\We really should be astounded by Doroteo's powers.\Creating such a complex image and moving it so smoothly... response:	Come out, Loropetalum!
context: Elliott Forster... badge broken!\No way...\Burst into bloom...\Primrose!\Riessfeld can only go on the defensive against Doroteo's lance charge!\We really should be astounded by Doroteo's powers.\Creating such a complex image and moving it so smoothly...\Come out, Loropetalum! response:	Burst into bloom, Anthurium!
context: No way...\Burst into bloom...\Primrose!\Riessfeld can only go on the defensive against Doroteo's lance charge!\We really should be astounded by Doroteo's powers.\Creating such a complex image and moving it so smoothly...\Come out, Loropetalum!\Burst into bloom, Anthurium! response:	Fine, I wouldn't have it any other way.
context: Burst into bloom...\Primrose!\Riessfeld can only go on the defensive against Doroteo's lance charge!\We really should be astounded by Doroteo's powers.\Creating such a complex image and moving it so smoothly...\Come out, Loropetalum!\Burst into bloom, Anthurium!\Fine, I wouldn't have it any other way. response:	Burst into bloom...
context: Primrose!\Riessfeld can only go on the defensive against Doroteo's lance charge!\We really should be astounded by Doroteo's powers.\Creating such a complex image and moving it so smoothly...\Come out, Loropetalum!\Burst into bloom, Anthurium!\Fine, I wouldn't have it any other way.\Burst into bloom... response:	Longiflorum!
context: Riessfeld can only go on the defensive against Doroteo's lance charge!\We really should be astounded by Doroteo's powers.\Creating such a complex image and moving it so smoothly...\Come out, Loropetalum!\Burst into bloom, Anthurium!\Fine, I wouldn't have it any other way.\Burst into bloom...\Longiflorum! response:	Looks like my lance got to you first.
context: We really should be astounded by Doroteo's powers.\Creating such a complex image and moving it so smoothly...\Come out, Loropetalum!\Burst into bloom, Anthurium!\Fine, I wouldn't have it any other way.\Burst into bloom...\Longiflorum!\Looks like my lance got to you first. response:	Whoa, whoa!
context: Creating such a complex image and moving it so smoothly...\Come out, Loropetalum!\Burst into bloom, Anthurium!\Fine, I wouldn't have it any other way.\Burst into bloom...\Longiflorum!\Looks like my lance got to you first.\Whoa, whoa! response:	What are we supposed to make of this?
context: Come out, Loropetalum!\Burst into bloom, Anthurium!\Fine, I wouldn't have it any other way.\Burst into bloom...\Longiflorum!\Looks like my lance got to you first.\Whoa, whoa!\What are we supposed to make of this? response:	Most likely, though Lemus's armor was able to protect him from the flames,
context: Burst into bloom, Anthurium!\Fine, I wouldn't have it any other way.\Burst into bloom...\Longiflorum!\Looks like my lance got to you first.\Whoa, whoa!\What are we supposed to make of this?\Most likely, though Lemus's armor was able to protect him from the flames, response:	it couldn't block their heat, I guess.
context: Fine, I wouldn't have it any other way.\Burst into bloom...\Longiflorum!\Looks like my lance got to you first.\Whoa, whoa!\What are we supposed to make of this?\Most likely, though Lemus's armor was able to protect him from the flames,\it couldn't block their heat, I guess. response:	Meaning that he's been fighting while being roasted?
context: Burst into bloom...\Longiflorum!\Looks like my lance got to you first.\Whoa, whoa!\What are we supposed to make of this?\Most likely, though Lemus's armor was able to protect him from the flames,\it couldn't block their heat, I guess.\Meaning that he's been fighting while being roasted? response:	Seriously...
context: Longiflorum!\Looks like my lance got to you first.\Whoa, whoa!\What are we supposed to make of this?\Most likely, though Lemus's armor was able to protect him from the flames,\it couldn't block their heat, I guess.\Meaning that he's been fighting while being roasted?\Seriously... response:	What a reckless man you are!
context: Looks like my lance got to you first.\Whoa, whoa!\What are we supposed to make of this?\Most likely, though Lemus's armor was able to protect him from the flames,\it couldn't block their heat, I guess.\Meaning that he's been fighting while being roasted?\Seriously...\What a reckless man you are! response:	Well, since I wanted to end this quickly...
context: Whoa, whoa!\What are we supposed to make of this?\Most likely, though Lemus's armor was able to protect him from the flames,\it couldn't block their heat, I guess.\Meaning that he's been fighting while being roasted?\Seriously...\What a reckless man you are!\Well, since I wanted to end this quickly... response:	Even so, charging right into a wall of flames is going too far.
context: What are we supposed to make of this?\Most likely, though Lemus's armor was able to protect him from the flames,\it couldn't block their heat, I guess.\Meaning that he's been fighting while being roasted?\Seriously...\What a reckless man you are!\Well, since I wanted to end this quickly...\Even so, charging right into a wall of flames is going too far. response:	I just took a gamble and lost.
context: Most likely, though Lemus's armor was able to protect him from the flames,\it couldn't block their heat, I guess.\Meaning that he's been fighting while being roasted?\Seriously...\What a reckless man you are!\Well, since I wanted to end this quickly...\Even so, charging right into a wall of flames is going too far.\I just took a gamble and lost. response:	It can't be helped.
context: it couldn't block their heat, I guess.\Meaning that he's been fighting while being roasted?\Seriously...\What a reckless man you are!\Well, since I wanted to end this quickly...\Even so, charging right into a wall of flames is going too far.\I just took a gamble and lost.\It can't be helped. response:	Come on, get it over with, will you?
context: Meaning that he's been fighting while being roasted?\Seriously...\What a reckless man you are!\Well, since I wanted to end this quickly...\Even so, charging right into a wall of flames is going too far.\I just took a gamble and lost.\It can't be helped.\Come on, get it over with, will you? response:	Doroteo Lemus... badge broken!
context: Seriously...\What a reckless man you are!\Well, since I wanted to end this quickly...\Even so, charging right into a wall of flames is going too far.\I just took a gamble and lost.\It can't be helped.\Come on, get it over with, will you?\Doroteo Lemus... badge broken! response:	Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!
context: What a reckless man you are!\Well, since I wanted to end this quickly...\Even so, charging right into a wall of flames is going too far.\I just took a gamble and lost.\It can't be helped.\Come on, get it over with, will you?\Doroteo Lemus... badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld! response:	Another dead end.
