context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: You may continue to live here\so as to avoid causing you discomfort by moving you into my chambers.\That... would not be proper.\It is of no matter.\Thank you, Your Majesty.\Hang some red silk.\After all, you have been made an imperial consort.\It is considered a happy occasion. response:	Yes, I will prepare it right away.
context: so as to avoid causing you discomfort by moving you into my chambers.\That... would not be proper.\It is of no matter.\Thank you, Your Majesty.\Hang some red silk.\After all, you have been made an imperial consort.\It is considered a happy occasion.\Yes, I will prepare it right away. response:	I am sorry to put you through this.
context: That... would not be proper.\It is of no matter.\Thank you, Your Majesty.\Hang some red silk.\After all, you have been made an imperial consort.\It is considered a happy occasion.\Yes, I will prepare it right away.\I am sorry to put you through this. response:	It is a contingency plan. Your Majesty need not blame yourself.
context: It is of no matter.\Thank you, Your Majesty.\Hang some red silk.\After all, you have been made an imperial consort.\It is considered a happy occasion.\Yes, I will prepare it right away.\I am sorry to put you through this.\It is a contingency plan. Your Majesty need not blame yourself. response:	I was just thinking.
context: Thank you, Your Majesty.\Hang some red silk.\After all, you have been made an imperial consort.\It is considered a happy occasion.\Yes, I will prepare it right away.\I am sorry to put you through this.\It is a contingency plan. Your Majesty need not blame yourself.\I was just thinking. response:	Why don't we make use of the festive occasion of this conferment
context: Hang some red silk.\After all, you have been made an imperial consort.\It is considered a happy occasion.\Yes, I will prepare it right away.\I am sorry to put you through this.\It is a contingency plan. Your Majesty need not blame yourself.\I was just thinking.\Why don't we make use of the festive occasion of this conferment response:	and have me return to my clan tomorrow morning to worship my ancestors
context: After all, you have been made an imperial consort.\It is considered a happy occasion.\Yes, I will prepare it right away.\I am sorry to put you through this.\It is a contingency plan. Your Majesty need not blame yourself.\I was just thinking.\Why don't we make use of the festive occasion of this conferment\and have me return to my clan tomorrow morning to worship my ancestors response:	and visit all my uncles?
context: It is considered a happy occasion.\Yes, I will prepare it right away.\I am sorry to put you through this.\It is a contingency plan. Your Majesty need not blame yourself.\I was just thinking.\Why don't we make use of the festive occasion of this conferment\and have me return to my clan tomorrow morning to worship my ancestors\and visit all my uncles? response:	It will allow them to understand Your Majesty's regards for me.
context: Yes, I will prepare it right away.\I am sorry to put you through this.\It is a contingency plan. Your Majesty need not blame yourself.\I was just thinking.\Why don't we make use of the festive occasion of this conferment\and have me return to my clan tomorrow morning to worship my ancestors\and visit all my uncles?\It will allow them to understand Your Majesty's regards for me. response:	Very good.
context: I am sorry to put you through this.\It is a contingency plan. Your Majesty need not blame yourself.\I was just thinking.\Why don't we make use of the festive occasion of this conferment\and have me return to my clan tomorrow morning to worship my ancestors\and visit all my uncles?\It will allow them to understand Your Majesty's regards for me.\Very good. response:	Rest well tonight.
context: It is a contingency plan. Your Majesty need not blame yourself.\I was just thinking.\Why don't we make use of the festive occasion of this conferment\and have me return to my clan tomorrow morning to worship my ancestors\and visit all my uncles?\It will allow them to understand Your Majesty's regards for me.\Very good.\Rest well tonight. response:	Tomorrow morning, I will send Lian Song and Yang Cuo with you.
context: I was just thinking.\Why don't we make use of the festive occasion of this conferment\and have me return to my clan tomorrow morning to worship my ancestors\and visit all my uncles?\It will allow them to understand Your Majesty's regards for me.\Very good.\Rest well tonight.\Tomorrow morning, I will send Lian Song and Yang Cuo with you. response:	No, I think it would be best for Crown Prince to come with me.
context: Why don't we make use of the festive occasion of this conferment\and have me return to my clan tomorrow morning to worship my ancestors\and visit all my uncles?\It will allow them to understand Your Majesty's regards for me.\Very good.\Rest well tonight.\Tomorrow morning, I will send Lian Song and Yang Cuo with you.\No, I think it would be best for Crown Prince to come with me. response:	Ye Hua?
context: and have me return to my clan tomorrow morning to worship my ancestors\and visit all my uncles?\It will allow them to understand Your Majesty's regards for me.\Very good.\Rest well tonight.\Tomorrow morning, I will send Lian Song and Yang Cuo with you.\No, I think it would be best for Crown Prince to come with me.\Ye Hua? response:	That is correct.
context: and visit all my uncles?\It will allow them to understand Your Majesty's regards for me.\Very good.\Rest well tonight.\Tomorrow morning, I will send Lian Song and Yang Cuo with you.\No, I think it would be best for Crown Prince to come with me.\Ye Hua?\That is correct. response:	Crown Prince is the heir apparent to the throne.
context: It will allow them to understand Your Majesty's regards for me.\Very good.\Rest well tonight.\Tomorrow morning, I will send Lian Song and Yang Cuo with you.\No, I think it would be best for Crown Prince to come with me.\Ye Hua?\That is correct.\Crown Prince is the heir apparent to the throne. response:	If His Highness appears with me, the visit will be made to seem important.
context: Very good.\Rest well tonight.\Tomorrow morning, I will send Lian Song and Yang Cuo with you.\No, I think it would be best for Crown Prince to come with me.\Ye Hua?\That is correct.\Crown Prince is the heir apparent to the throne.\If His Highness appears with me, the visit will be made to seem important. response:	Furthermore, doesn't Your Majesty have intentions
context: Rest well tonight.\Tomorrow morning, I will send Lian Song and Yang Cuo with you.\No, I think it would be best for Crown Prince to come with me.\Ye Hua?\That is correct.\Crown Prince is the heir apparent to the throne.\If His Highness appears with me, the visit will be made to seem important.\Furthermore, doesn't Your Majesty have intentions response:	to have Crown Prince lead the army in a war against the Mermaid Clan?
context: Tomorrow morning, I will send Lian Song and Yang Cuo with you.\No, I think it would be best for Crown Prince to come with me.\Ye Hua?\That is correct.\Crown Prince is the heir apparent to the throne.\If His Highness appears with me, the visit will be made to seem important.\Furthermore, doesn't Your Majesty have intentions\to have Crown Prince lead the army in a war against the Mermaid Clan? response:	There will be benefits to meeting the separate leaders in advance.
context: No, I think it would be best for Crown Prince to come with me.\Ye Hua?\That is correct.\Crown Prince is the heir apparent to the throne.\If His Highness appears with me, the visit will be made to seem important.\Furthermore, doesn't Your Majesty have intentions\to have Crown Prince lead the army in a war against the Mermaid Clan?\There will be benefits to meeting the separate leaders in advance. response:	All right.
context: Ye Hua?\That is correct.\Crown Prince is the heir apparent to the throne.\If His Highness appears with me, the visit will be made to seem important.\Furthermore, doesn't Your Majesty have intentions\to have Crown Prince lead the army in a war against the Mermaid Clan?\There will be benefits to meeting the separate leaders in advance.\All right. response:	Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders.
context: That is correct.\Crown Prince is the heir apparent to the throne.\If His Highness appears with me, the visit will be made to seem important.\Furthermore, doesn't Your Majesty have intentions\to have Crown Prince lead the army in a war against the Mermaid Clan?\There will be benefits to meeting the separate leaders in advance.\All right.\Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders. response:	Thank you, Sister-in-law.
context: Crown Prince is the heir apparent to the throne.\If His Highness appears with me, the visit will be made to seem important.\Furthermore, doesn't Your Majesty have intentions\to have Crown Prince lead the army in a war against the Mermaid Clan?\There will be benefits to meeting the separate leaders in advance.\All right.\Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders.\Thank you, Sister-in-law. response:	I am doing this because I have no choice.
context: If His Highness appears with me, the visit will be made to seem important.\Furthermore, doesn't Your Majesty have intentions\to have Crown Prince lead the army in a war against the Mermaid Clan?\There will be benefits to meeting the separate leaders in advance.\All right.\Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders.\Thank you, Sister-in-law.\I am doing this because I have no choice. response:	I am doing this for the family.
context: Furthermore, doesn't Your Majesty have intentions\to have Crown Prince lead the army in a war against the Mermaid Clan?\There will be benefits to meeting the separate leaders in advance.\All right.\Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders.\Thank you, Sister-in-law.\I am doing this because I have no choice.\I am doing this for the family. response:	I don't want to see the two brothers destroy each other.
context: to have Crown Prince lead the army in a war against the Mermaid Clan?\There will be benefits to meeting the separate leaders in advance.\All right.\Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders.\Thank you, Sister-in-law.\I am doing this because I have no choice.\I am doing this for the family.\I don't want to see the two brothers destroy each other. response:	Li Jing.
context: There will be benefits to meeting the separate leaders in advance.\All right.\Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders.\Thank you, Sister-in-law.\I am doing this because I have no choice.\I am doing this for the family.\I don't want to see the two brothers destroy each other.\Li Jing. response:	Even your most beloved sister will betray you.
context: All right.\Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders.\Thank you, Sister-in-law.\I am doing this because I have no choice.\I am doing this for the family.\I don't want to see the two brothers destroy each other.\Li Jing.\Even your most beloved sister will betray you. response:	From now on
context: Tomorrow morning, I'll let Ye Hua know and have him meet the various leaders.\Thank you, Sister-in-law.\I am doing this because I have no choice.\I am doing this for the family.\I don't want to see the two brothers destroy each other.\Li Jing.\Even your most beloved sister will betray you.\From now on response:	I will be your closest ally in Grand Ziming Palace.
context: Thank you, Sister-in-law.\I am doing this because I have no choice.\I am doing this for the family.\I don't want to see the two brothers destroy each other.\Li Jing.\Even your most beloved sister will betray you.\From now on\I will be your closest ally in Grand Ziming Palace. response:	This way, I know I will win his heart.
context: I am doing this because I have no choice.\I am doing this for the family.\I don't want to see the two brothers destroy each other.\Li Jing.\Even your most beloved sister will betray you.\From now on\I will be your closest ally in Grand Ziming Palace.\This way, I know I will win his heart. response:	Your Majesty.
context: I am doing this for the family.\I don't want to see the two brothers destroy each other.\Li Jing.\Even your most beloved sister will betray you.\From now on\I will be your closest ally in Grand Ziming Palace.\This way, I know I will win his heart.\Your Majesty. response:	Your Majesty has drank too much.
context: I don't want to see the two brothers destroy each other.\Li Jing.\Even your most beloved sister will betray you.\From now on\I will be your closest ally in Grand Ziming Palace.\This way, I know I will win his heart.\Your Majesty.\Your Majesty has drank too much. response:	Do you want...
context: Li Jing.\Even your most beloved sister will betray you.\From now on\I will be your closest ally in Grand Ziming Palace.\This way, I know I will win his heart.\Your Majesty.\Your Majesty has drank too much.\Do you want... response:	Your Highness, since you have obtained His Majesty's seal, let's move quickly.
context: Even your most beloved sister will betray you.\From now on\I will be your closest ally in Grand Ziming Palace.\This way, I know I will win his heart.\Your Majesty.\Your Majesty has drank too much.\Do you want...\Your Highness, since you have obtained His Majesty's seal, let's move quickly. response:	Golden Lion.
context: From now on\I will be your closest ally in Grand Ziming Palace.\This way, I know I will win his heart.\Your Majesty.\Your Majesty has drank too much.\Do you want...\Your Highness, since you have obtained His Majesty's seal, let's move quickly.\Golden Lion. response:	If I rescue Li Yuan...
context: I will be your closest ally in Grand Ziming Palace.\This way, I know I will win his heart.\Your Majesty.\Your Majesty has drank too much.\Do you want...\Your Highness, since you have obtained His Majesty's seal, let's move quickly.\Golden Lion.\If I rescue Li Yuan... response:	will I cause the Ghost Realm to fall into turmoil again?
context: This way, I know I will win his heart.\Your Majesty.\Your Majesty has drank too much.\Do you want...\Your Highness, since you have obtained His Majesty's seal, let's move quickly.\Golden Lion.\If I rescue Li Yuan...\will I cause the Ghost Realm to fall into turmoil again? response:	Princess, it has been 70,000 years since Second Prince ascended to the throne.
context: Your Majesty.\Your Majesty has drank too much.\Do you want...\Your Highness, since you have obtained His Majesty's seal, let's move quickly.\Golden Lion.\If I rescue Li Yuan...\will I cause the Ghost Realm to fall into turmoil again?\Princess, it has been 70,000 years since Second Prince ascended to the throne. response:	His position is stable.
context: Your Majesty has drank too much.\Do you want...\Your Highness, since you have obtained His Majesty's seal, let's move quickly.\Golden Lion.\If I rescue Li Yuan...\will I cause the Ghost Realm to fall into turmoil again?\Princess, it has been 70,000 years since Second Prince ascended to the throne.\His position is stable. response:	Even if your father were still alive today
context: Do you want...\Your Highness, since you have obtained His Majesty's seal, let's move quickly.\Golden Lion.\If I rescue Li Yuan...\will I cause the Ghost Realm to fall into turmoil again?\Princess, it has been 70,000 years since Second Prince ascended to the throne.\His position is stable.\Even if your father were still alive today response:	it would still be difficult to jeopardize Second Prince's position.
context: Your Highness, since you have obtained His Majesty's seal, let's move quickly.\Golden Lion.\If I rescue Li Yuan...\will I cause the Ghost Realm to fall into turmoil again?\Princess, it has been 70,000 years since Second Prince ascended to the throne.\His position is stable.\Even if your father were still alive today\it would still be difficult to jeopardize Second Prince's position. response:	We are only doing this to save Eldest Prince's life.
context: Golden Lion.\If I rescue Li Yuan...\will I cause the Ghost Realm to fall into turmoil again?\Princess, it has been 70,000 years since Second Prince ascended to the throne.\His position is stable.\Even if your father were still alive today\it would still be difficult to jeopardize Second Prince's position.\We are only doing this to save Eldest Prince's life. response:	Dijun.
context: If I rescue Li Yuan...\will I cause the Ghost Realm to fall into turmoil again?\Princess, it has been 70,000 years since Second Prince ascended to the throne.\His position is stable.\Even if your father were still alive today\it would still be difficult to jeopardize Second Prince's position.\We are only doing this to save Eldest Prince's life.\Dijun. response:	I have something to tell you.
context: will I cause the Ghost Realm to fall into turmoil again?\Princess, it has been 70,000 years since Second Prince ascended to the throne.\His position is stable.\Even if your father were still alive today\it would still be difficult to jeopardize Second Prince's position.\We are only doing this to save Eldest Prince's life.\Dijun.\I have something to tell you. response:	Today, Third Prince told me that there are many in the Celestial Realm
context: Princess, it has been 70,000 years since Second Prince ascended to the throne.\His position is stable.\Even if your father were still alive today\it would still be difficult to jeopardize Second Prince's position.\We are only doing this to save Eldest Prince's life.\Dijun.\I have something to tell you.\Today, Third Prince told me that there are many in the Celestial Realm response:	who use the excuse of repaying your kindness to get close to you.
context: His position is stable.\Even if your father were still alive today\it would still be difficult to jeopardize Second Prince's position.\We are only doing this to save Eldest Prince's life.\Dijun.\I have something to tell you.\Today, Third Prince told me that there are many in the Celestial Realm\who use the excuse of repaying your kindness to get close to you. response:	But that is not the case with me.
context: Even if your father were still alive today\it would still be difficult to jeopardize Second Prince's position.\We are only doing this to save Eldest Prince's life.\Dijun.\I have something to tell you.\Today, Third Prince told me that there are many in the Celestial Realm\who use the excuse of repaying your kindness to get close to you.\But that is not the case with me. response:	Ever since I was young, my parents taught me that
context: it would still be difficult to jeopardize Second Prince's position.\We are only doing this to save Eldest Prince's life.\Dijun.\I have something to tell you.\Today, Third Prince told me that there are many in the Celestial Realm\who use the excuse of repaying your kindness to get close to you.\But that is not the case with me.\Ever since I was young, my parents taught me that response:	even a small favor must be repaid double.
context: We are only doing this to save Eldest Prince's life.\Dijun.\I have something to tell you.\Today, Third Prince told me that there are many in the Celestial Realm\who use the excuse of repaying your kindness to get close to you.\But that is not the case with me.\Ever since I was young, my parents taught me that\even a small favor must be repaid double. response:	This applies even more so to a life debt.
context: Dijun.\I have something to tell you.\Today, Third Prince told me that there are many in the Celestial Realm\who use the excuse of repaying your kindness to get close to you.\But that is not the case with me.\Ever since I was young, my parents taught me that\even a small favor must be repaid double.\This applies even more so to a life debt. response:	I may be young, but I do understand these principles.
context: I have something to tell you.\Today, Third Prince told me that there are many in the Celestial Realm\who use the excuse of repaying your kindness to get close to you.\But that is not the case with me.\Ever since I was young, my parents taught me that\even a small favor must be repaid double.\This applies even more so to a life debt.\I may be young, but I do understand these principles. response:	As an immortal, my aunt also taught me to not be so fixated on prestige
context: Today, Third Prince told me that there are many in the Celestial Realm\who use the excuse of repaying your kindness to get close to you.\But that is not the case with me.\Ever since I was young, my parents taught me that\even a small favor must be repaid double.\This applies even more so to a life debt.\I may be young, but I do understand these principles.\As an immortal, my aunt also taught me to not be so fixated on prestige response:	and to speak my mind.
context: who use the excuse of repaying your kindness to get close to you.\But that is not the case with me.\Ever since I was young, my parents taught me that\even a small favor must be repaid double.\This applies even more so to a life debt.\I may be young, but I do understand these principles.\As an immortal, my aunt also taught me to not be so fixated on prestige\and to speak my mind. response:	Today, Third Prince asked me if I felt that way about you.
context: But that is not the case with me.\Ever since I was young, my parents taught me that\even a small favor must be repaid double.\This applies even more so to a life debt.\I may be young, but I do understand these principles.\As an immortal, my aunt also taught me to not be so fixated on prestige\and to speak my mind.\Today, Third Prince asked me if I felt that way about you. response:	I thought about it.
context: Ever since I was young, my parents taught me that\even a small favor must be repaid double.\This applies even more so to a life debt.\I may be young, but I do understand these principles.\As an immortal, my aunt also taught me to not be so fixated on prestige\and to speak my mind.\Today, Third Prince asked me if I felt that way about you.\I thought about it. response:	I do feel that way about you.
context: even a small favor must be repaid double.\This applies even more so to a life debt.\I may be young, but I do understand these principles.\As an immortal, my aunt also taught me to not be so fixated on prestige\and to speak my mind.\Today, Third Prince asked me if I felt that way about you.\I thought about it.\I do feel that way about you. response:	Do you understand, Dijun?
context: This applies even more so to a life debt.\I may be young, but I do understand these principles.\As an immortal, my aunt also taught me to not be so fixated on prestige\and to speak my mind.\Today, Third Prince asked me if I felt that way about you.\I thought about it.\I do feel that way about you.\Do you understand, Dijun? response:	Are you finished speaking?
context: I may be young, but I do understand these principles.\As an immortal, my aunt also taught me to not be so fixated on prestige\and to speak my mind.\Today, Third Prince asked me if I felt that way about you.\I thought about it.\I do feel that way about you.\Do you understand, Dijun?\Are you finished speaking? response:	If you're done, then you may go.
context: As an immortal, my aunt also taught me to not be so fixated on prestige\and to speak my mind.\Today, Third Prince asked me if I felt that way about you.\I thought about it.\I do feel that way about you.\Do you understand, Dijun?\Are you finished speaking?\If you're done, then you may go. response:	You're not leaving?
context: and to speak my mind.\Today, Third Prince asked me if I felt that way about you.\I thought about it.\I do feel that way about you.\Do you understand, Dijun?\Are you finished speaking?\If you're done, then you may go.\You're not leaving? response:	I'm going.
context: Today, Third Prince asked me if I felt that way about you.\I thought about it.\I do feel that way about you.\Do you understand, Dijun?\Are you finished speaking?\If you're done, then you may go.\You're not leaving?\I'm going. response:	Who is this palace maid that has come to repay a debt to you?
context: I thought about it.\I do feel that way about you.\Do you understand, Dijun?\Are you finished speaking?\If you're done, then you may go.\You're not leaving?\I'm going.\Who is this palace maid that has come to repay a debt to you? response:	Qing Qiu's young princess, Bai Feng Jiu.
context: I do feel that way about you.\Do you understand, Dijun?\Are you finished speaking?\If you're done, then you may go.\You're not leaving?\I'm going.\Who is this palace maid that has come to repay a debt to you?\Qing Qiu's young princess, Bai Feng Jiu. response:	Bai Feng Jiu?
context: Do you understand, Dijun?\Are you finished speaking?\If you're done, then you may go.\You're not leaving?\I'm going.\Who is this palace maid that has come to repay a debt to you?\Qing Qiu's young princess, Bai Feng Jiu.\Bai Feng Jiu? response:	She shouldn't be offended.
context: Are you finished speaking?\If you're done, then you may go.\You're not leaving?\I'm going.\Who is this palace maid that has come to repay a debt to you?\Qing Qiu's young princess, Bai Feng Jiu.\Bai Feng Jiu?\She shouldn't be offended. response:	But how did you save her life?
context: If you're done, then you may go.\You're not leaving?\I'm going.\Who is this palace maid that has come to repay a debt to you?\Qing Qiu's young princess, Bai Feng Jiu.\Bai Feng Jiu?\She shouldn't be offended.\But how did you save her life? response:	By chance.
context: You're not leaving?\I'm going.\Who is this palace maid that has come to repay a debt to you?\Qing Qiu's young princess, Bai Feng Jiu.\Bai Feng Jiu?\She shouldn't be offended.\But how did you save her life?\By chance. response:	By chance?
context: I'm going.\Who is this palace maid that has come to repay a debt to you?\Qing Qiu's young princess, Bai Feng Jiu.\Bai Feng Jiu?\She shouldn't be offended.\But how did you save her life?\By chance.\By chance? response:	I can't believe it. She is a princess?
context: Who is this palace maid that has come to repay a debt to you?\Qing Qiu's young princess, Bai Feng Jiu.\Bai Feng Jiu?\She shouldn't be offended.\But how did you save her life?\By chance.\By chance?\I can't believe it. She is a princess? response:	Don't underestimate this princess.
context: Qing Qiu's young princess, Bai Feng Jiu.\Bai Feng Jiu?\She shouldn't be offended.\But how did you save her life?\By chance.\By chance?\I can't believe it. She is a princess?\Don't underestimate this princess. response:	She is the only grandchild of Qing Qiu's royal family.
context: Bai Feng Jiu?\She shouldn't be offended.\But how did you save her life?\By chance.\By chance?\I can't believe it. She is a princess?\Don't underestimate this princess.\She is the only grandchild of Qing Qiu's royal family. response:	In the future, she will be inheriting one of the five lands of Qing Qiu.
context: She shouldn't be offended.\But how did you save her life?\By chance.\By chance?\I can't believe it. She is a princess?\Don't underestimate this princess.\She is the only grandchild of Qing Qiu's royal family.\In the future, she will be inheriting one of the five lands of Qing Qiu. response:	And ascend the throne as a female monarch.
context: But how did you save her life?\By chance.\By chance?\I can't believe it. She is a princess?\Don't underestimate this princess.\She is the only grandchild of Qing Qiu's royal family.\In the future, she will be inheriting one of the five lands of Qing Qiu.\And ascend the throne as a female monarch. response:	So what?
context: By chance.\By chance?\I can't believe it. She is a princess?\Don't underestimate this princess.\She is the only grandchild of Qing Qiu's royal family.\In the future, she will be inheriting one of the five lands of Qing Qiu.\And ascend the throne as a female monarch.\So what? response:	You are young and frivolous, and have no sense of propriety.
context: By chance?\I can't believe it. She is a princess?\Don't underestimate this princess.\She is the only grandchild of Qing Qiu's royal family.\In the future, she will be inheriting one of the five lands of Qing Qiu.\And ascend the throne as a female monarch.\So what?\You are young and frivolous, and have no sense of propriety. response:	In any case, remember my words.
context: I can't believe it. She is a princess?\Don't underestimate this princess.\She is the only grandchild of Qing Qiu's royal family.\In the future, she will be inheriting one of the five lands of Qing Qiu.\And ascend the throne as a female monarch.\So what?\You are young and frivolous, and have no sense of propriety.\In any case, remember my words. response:	Do not offend those from Qing Qiu.
context: Don't underestimate this princess.\She is the only grandchild of Qing Qiu's royal family.\In the future, she will be inheriting one of the five lands of Qing Qiu.\And ascend the throne as a female monarch.\So what?\You are young and frivolous, and have no sense of propriety.\In any case, remember my words.\Do not offend those from Qing Qiu. response:	Yes.
context: She is the only grandchild of Qing Qiu's royal family.\In the future, she will be inheriting one of the five lands of Qing Qiu.\And ascend the throne as a female monarch.\So what?\You are young and frivolous, and have no sense of propriety.\In any case, remember my words.\Do not offend those from Qing Qiu.\Yes. response:	However, Dijun has long since been unconcerned with mundane affairs.
context: In the future, she will be inheriting one of the five lands of Qing Qiu.\And ascend the throne as a female monarch.\So what?\You are young and frivolous, and have no sense of propriety.\In any case, remember my words.\Do not offend those from Qing Qiu.\Yes.\However, Dijun has long since been unconcerned with mundane affairs. response:	It seems this young princess's efforts...
context: And ascend the throne as a female monarch.\So what?\You are young and frivolous, and have no sense of propriety.\In any case, remember my words.\Do not offend those from Qing Qiu.\Yes.\However, Dijun has long since been unconcerned with mundane affairs.\It seems this young princess's efforts... response:	will be in vain.
context: So what?\You are young and frivolous, and have no sense of propriety.\In any case, remember my words.\Do not offend those from Qing Qiu.\Yes.\However, Dijun has long since been unconcerned with mundane affairs.\It seems this young princess's efforts...\will be in vain. response:	I heard you have taken the orphan of the Su Jin Clan as your consort.
context: You are young and frivolous, and have no sense of propriety.\In any case, remember my words.\Do not offend those from Qing Qiu.\Yes.\However, Dijun has long since been unconcerned with mundane affairs.\It seems this young princess's efforts...\will be in vain.\I heard you have taken the orphan of the Su Jin Clan as your consort. response:	That is correct.
context: In any case, remember my words.\Do not offend those from Qing Qiu.\Yes.\However, Dijun has long since been unconcerned with mundane affairs.\It seems this young princess's efforts...\will be in vain.\I heard you have taken the orphan of the Su Jin Clan as your consort.\That is correct. response:	It's been a long time since there's been a festive occasion
context: Do not offend those from Qing Qiu.\Yes.\However, Dijun has long since been unconcerned with mundane affairs.\It seems this young princess's efforts...\will be in vain.\I heard you have taken the orphan of the Su Jin Clan as your consort.\That is correct.\It's been a long time since there's been a festive occasion response:	in the Celestial Palace.
context: Yes.\However, Dijun has long since been unconcerned with mundane affairs.\It seems this young princess's efforts...\will be in vain.\I heard you have taken the orphan of the Su Jin Clan as your consort.\That is correct.\It's been a long time since there's been a festive occasion\in the Celestial Palace. response:	Su Su!
context: However, Dijun has long since been unconcerned with mundane affairs.\It seems this young princess's efforts...\will be in vain.\I heard you have taken the orphan of the Su Jin Clan as your consort.\That is correct.\It's been a long time since there's been a festive occasion\in the Celestial Palace.\Su Su! response:	Ye Hua! Run!
context: It seems this young princess's efforts...\will be in vain.\I heard you have taken the orphan of the Su Jin Clan as your consort.\That is correct.\It's been a long time since there's been a festive occasion\in the Celestial Palace.\Su Su!\Ye Hua! Run! response:	Su Su.
context: will be in vain.\I heard you have taken the orphan of the Su Jin Clan as your consort.\That is correct.\It's been a long time since there's been a festive occasion\in the Celestial Palace.\Su Su!\Ye Hua! Run!\Su Su. response:	What did you do this time?
context: I heard you have taken the orphan of the Su Jin Clan as your consort.\That is correct.\It's been a long time since there's been a festive occasion\in the Celestial Palace.\Su Su!\Ye Hua! Run!\Su Su.\What did you do this time? response:	I wanted to roast a chicken for you.
context: That is correct.\It's been a long time since there's been a festive occasion\in the Celestial Palace.\Su Su!\Ye Hua! Run!\Su Su.\What did you do this time?\I wanted to roast a chicken for you. response:	Didn't we agree I would do it?
