context: Hey, wake up. response:	I picked her up on the northern front.
context: You idiot! You always have the worst timing!\To top it off, you have no idea about how women feel.\Hurry up and go find her already!\Yes. I know.\Oh, Young Master!\And who is this?\Could you draw a bath for her and get her a change of clothes?\What should I tell the madam? She is currently at the mansion in Leiden. response:	There's no need to tell her.
context: To top it off, you have no idea about how women feel.\Hurry up and go find her already!\Yes. I know.\Oh, Young Master!\And who is this?\Could you draw a bath for her and get her a change of clothes?\What should I tell the madam? She is currently at the mansion in Leiden.\There's no need to tell her. response:	I am just looking after this girl for the time being.
context: Hurry up and go find her already!\Yes. I know.\Oh, Young Master!\And who is this?\Could you draw a bath for her and get her a change of clothes?\What should I tell the madam? She is currently at the mansion in Leiden.\There's no need to tell her.\I am just looking after this girl for the time being. response:	It's okay. Just come with me.
context: Yes. I know.\Oh, Young Master!\And who is this?\Could you draw a bath for her and get her a change of clothes?\What should I tell the madam? She is currently at the mansion in Leiden.\There's no need to tell her.\I am just looking after this girl for the time being.\It's okay. Just come with me. response:	Ow! Stop! Ow! Ow! Ow!
context: Oh, Young Master!\And who is this?\Could you draw a bath for her and get her a change of clothes?\What should I tell the madam? She is currently at the mansion in Leiden.\There's no need to tell her.\I am just looking after this girl for the time being.\It's okay. Just come with me.\Ow! Stop! Ow! Ow! Ow! response:	Stop!
context: And who is this?\Could you draw a bath for her and get her a change of clothes?\What should I tell the madam? She is currently at the mansion in Leiden.\There's no need to tell her.\I am just looking after this girl for the time being.\It's okay. Just come with me.\Ow! Stop! Ow! Ow! Ow!\Stop! response:	Young Master, I managed to get her changed,
context: Could you draw a bath for her and get her a change of clothes?\What should I tell the madam? She is currently at the mansion in Leiden.\There's no need to tell her.\I am just looking after this girl for the time being.\It's okay. Just come with me.\Ow! Stop! Ow! Ow! Ow!\Stop!\Young Master, I managed to get her changed, response:	but she would not stop struggling.
context: What should I tell the madam? She is currently at the mansion in Leiden.\There's no need to tell her.\I am just looking after this girl for the time being.\It's okay. Just come with me.\Ow! Stop! Ow! Ow! Ow!\Stop!\Young Master, I managed to get her changed,\but she would not stop struggling. response:	No, that is all right.
context: There's no need to tell her.\I am just looking after this girl for the time being.\It's okay. Just come with me.\Ow! Stop! Ow! Ow! Ow!\Stop!\Young Master, I managed to get her changed,\but she would not stop struggling.\No, that is all right. response:	Take her to the parlor once she's eaten.
context: I am just looking after this girl for the time being.\It's okay. Just come with me.\Ow! Stop! Ow! Ow! Ow!\Stop!\Young Master, I managed to get her changed,\but she would not stop struggling.\No, that is all right.\Take her to the parlor once she's eaten. response:	Please.
context: It's okay. Just come with me.\Ow! Stop! Ow! Ow! Ow!\Stop!\Young Master, I managed to get her changed,\but she would not stop struggling.\No, that is all right.\Take her to the parlor once she's eaten.\Please. response:	You'll catch...
context: Ow! Stop! Ow! Ow! Ow!\Stop!\Young Master, I managed to get her changed,\but she would not stop struggling.\No, that is all right.\Take her to the parlor once she's eaten.\Please.\You'll catch... response:	You'll catch a cold.
context: Stop!\Young Master, I managed to get her changed,\but she would not stop struggling.\No, that is all right.\Take her to the parlor once she's eaten.\Please.\You'll catch...\You'll catch a cold. response:	You have to use a blanket.
context: Young Master, I managed to get her changed,\but she would not stop struggling.\No, that is all right.\Take her to the parlor once she's eaten.\Please.\You'll catch...\You'll catch a cold.\You have to use a blanket. response:	It'll be cold tomorrow, too.
context: but she would not stop struggling.\No, that is all right.\Take her to the parlor once she's eaten.\Please.\You'll catch...\You'll catch a cold.\You have to use a blanket.\It'll be cold tomorrow, too. response:	Stop! No! You can't go outside!
context: No, that is all right.\Take her to the parlor once she's eaten.\Please.\You'll catch...\You'll catch a cold.\You have to use a blanket.\It'll be cold tomorrow, too.\Stop! No! You can't go outside! response:	What happened?
context: Take her to the parlor once she's eaten.\Please.\You'll catch...\You'll catch a cold.\You have to use a blanket.\It'll be cold tomorrow, too.\Stop! No! You can't go outside!\What happened? response:	So sorry,
context: Please.\You'll catch...\You'll catch a cold.\You have to use a blanket.\It'll be cold tomorrow, too.\Stop! No! You can't go outside!\What happened?\So sorry, response:	she's been looking all over for you.
context: You'll catch...\You'll catch a cold.\You have to use a blanket.\It'll be cold tomorrow, too.\Stop! No! You can't go outside!\What happened?\So sorry,\she's been looking all over for you. response:	She wouldn't even eat.
context: You'll catch a cold.\You have to use a blanket.\It'll be cold tomorrow, too.\Stop! No! You can't go outside!\What happened?\So sorry,\she's been looking all over for you.\She wouldn't even eat. response:	We cannot take her to the front lines. The girl is too unstable.
context: You have to use a blanket.\It'll be cold tomorrow, too.\Stop! No! You can't go outside!\What happened?\So sorry,\she's been looking all over for you.\She wouldn't even eat.\We cannot take her to the front lines. The girl is too unstable. response:	Why are you opposing this? This is an order from the top brass.
context: It'll be cold tomorrow, too.\Stop! No! You can't go outside!\What happened?\So sorry,\she's been looking all over for you.\She wouldn't even eat.\We cannot take her to the front lines. The girl is too unstable.\Why are you opposing this? This is an order from the top brass. response:	You've seen what she can do on the training grounds.
context: Stop! No! You can't go outside!\What happened?\So sorry,\she's been looking all over for you.\She wouldn't even eat.\We cannot take her to the front lines. The girl is too unstable.\Why are you opposing this? This is an order from the top brass.\You've seen what she can do on the training grounds. response:	She's only good for killing, and completely useless otherwise.
context: What happened?\So sorry,\she's been looking all over for you.\She wouldn't even eat.\We cannot take her to the front lines. The girl is too unstable.\Why are you opposing this? This is an order from the top brass.\You've seen what she can do on the training grounds.\She's only good for killing, and completely useless otherwise. response:	Just take her with you.
context: So sorry,\she's been looking all over for you.\She wouldn't even eat.\We cannot take her to the front lines. The girl is too unstable.\Why are you opposing this? This is an order from the top brass.\You've seen what she can do on the training grounds.\She's only good for killing, and completely useless otherwise.\Just take her with you. response:	-But- -Don't get so worked up.
context: she's been looking all over for you.\She wouldn't even eat.\We cannot take her to the front lines. The girl is too unstable.\Why are you opposing this? This is an order from the top brass.\You've seen what she can do on the training grounds.\She's only good for killing, and completely useless otherwise.\Just take her with you.\-But- -Don't get so worked up. response:	Just exploit this orphaned girl as much as you can
context: She wouldn't even eat.\We cannot take her to the front lines. The girl is too unstable.\Why are you opposing this? This is an order from the top brass.\You've seen what she can do on the training grounds.\She's only good for killing, and completely useless otherwise.\Just take her with you.\-But- -Don't get so worked up.\Just exploit this orphaned girl as much as you can response:	and dump her in the battlefield when she's no longer of use.
context: We cannot take her to the front lines. The girl is too unstable.\Why are you opposing this? This is an order from the top brass.\You've seen what she can do on the training grounds.\She's only good for killing, and completely useless otherwise.\Just take her with you.\-But- -Don't get so worked up.\Just exploit this orphaned girl as much as you can\and dump her in the battlefield when she's no longer of use. response:	-She isn't ready... -That's enough!
context: Why are you opposing this? This is an order from the top brass.\You've seen what she can do on the training grounds.\She's only good for killing, and completely useless otherwise.\Just take her with you.\-But- -Don't get so worked up.\Just exploit this orphaned girl as much as you can\and dump her in the battlefield when she's no longer of use.\-She isn't ready... -That's enough! response:	I don't have time for your hypocrisy!
context: You've seen what she can do on the training grounds.\She's only good for killing, and completely useless otherwise.\Just take her with you.\-But- -Don't get so worked up.\Just exploit this orphaned girl as much as you can\and dump her in the battlefield when she's no longer of use.\-She isn't ready... -That's enough!\I don't have time for your hypocrisy! response:	This is an order! You're dismissed.
context: She's only good for killing, and completely useless otherwise.\Just take her with you.\-But- -Don't get so worked up.\Just exploit this orphaned girl as much as you can\and dump her in the battlefield when she's no longer of use.\-She isn't ready... -That's enough!\I don't have time for your hypocrisy!\This is an order! You're dismissed. response:	The United Gardarik Army has begun advancing to Bociaccia.
context: Just take her with you.\-But- -Don't get so worked up.\Just exploit this orphaned girl as much as you can\and dump her in the battlefield when she's no longer of use.\-She isn't ready... -That's enough!\I don't have time for your hypocrisy!\This is an order! You're dismissed.\The United Gardarik Army has begun advancing to Bociaccia. response:	We immediately set up a defensive line along Bociaccia's capital city of Capria,
context: -But- -Don't get so worked up.\Just exploit this orphaned girl as much as you can\and dump her in the battlefield when she's no longer of use.\-She isn't ready... -That's enough!\I don't have time for your hypocrisy!\This is an order! You're dismissed.\The United Gardarik Army has begun advancing to Bociaccia.\We immediately set up a defensive line along Bociaccia's capital city of Capria, response:	and they've now entered a war of attrition.
context: Just exploit this orphaned girl as much as you can\and dump her in the battlefield when she's no longer of use.\-She isn't ready... -That's enough!\I don't have time for your hypocrisy!\This is an order! You're dismissed.\The United Gardarik Army has begun advancing to Bociaccia.\We immediately set up a defensive line along Bociaccia's capital city of Capria,\and they've now entered a war of attrition. response:	Our forces number 30,000 to their 60,000.
context: and dump her in the battlefield when she's no longer of use.\-She isn't ready... -That's enough!\I don't have time for your hypocrisy!\This is an order! You're dismissed.\The United Gardarik Army has begun advancing to Bociaccia.\We immediately set up a defensive line along Bociaccia's capital city of Capria,\and they've now entered a war of attrition.\Our forces number 30,000 to their 60,000. response:	Our forces are holding on, but the enemy brought cannons to the front line.
context: -She isn't ready... -That's enough!\I don't have time for your hypocrisy!\This is an order! You're dismissed.\The United Gardarik Army has begun advancing to Bociaccia.\We immediately set up a defensive line along Bociaccia's capital city of Capria,\and they've now entered a war of attrition.\Our forces number 30,000 to their 60,000.\Our forces are holding on, but the enemy brought cannons to the front line. response:	Our soldiers' morale has taken a hit from the bombings.
context: I don't have time for your hypocrisy!\This is an order! You're dismissed.\The United Gardarik Army has begun advancing to Bociaccia.\We immediately set up a defensive line along Bociaccia's capital city of Capria,\and they've now entered a war of attrition.\Our forces number 30,000 to their 60,000.\Our forces are holding on, but the enemy brought cannons to the front line.\Our soldiers' morale has taken a hit from the bombings. response:	There's a chance the front will break.
context: This is an order! You're dismissed.\The United Gardarik Army has begun advancing to Bociaccia.\We immediately set up a defensive line along Bociaccia's capital city of Capria,\and they've now entered a war of attrition.\Our forces number 30,000 to their 60,000.\Our forces are holding on, but the enemy brought cannons to the front line.\Our soldiers' morale has taken a hit from the bombings.\There's a chance the front will break. response:	-And, so, Major Bougainvillea. -Sir.
context: The United Gardarik Army has begun advancing to Bociaccia.\We immediately set up a defensive line along Bociaccia's capital city of Capria,\and they've now entered a war of attrition.\Our forces number 30,000 to their 60,000.\Our forces are holding on, but the enemy brought cannons to the front line.\Our soldiers' morale has taken a hit from the bombings.\There's a chance the front will break.\-And, so, Major Bougainvillea. -Sir. response:	I'd like you to lead a company to take out the cannons.
context: We immediately set up a defensive line along Bociaccia's capital city of Capria,\and they've now entered a war of attrition.\Our forces number 30,000 to their 60,000.\Our forces are holding on, but the enemy brought cannons to the front line.\Our soldiers' morale has taken a hit from the bombings.\There's a chance the front will break.\-And, so, Major Bougainvillea. -Sir.\I'd like you to lead a company to take out the cannons. response:	Yes, sir. I will not fail.
context: and they've now entered a war of attrition.\Our forces number 30,000 to their 60,000.\Our forces are holding on, but the enemy brought cannons to the front line.\Our soldiers' morale has taken a hit from the bombings.\There's a chance the front will break.\-And, so, Major Bougainvillea. -Sir.\I'd like you to lead a company to take out the cannons.\Yes, sir. I will not fail. response:	You'll be staying here.
context: Our forces number 30,000 to their 60,000.\Our forces are holding on, but the enemy brought cannons to the front line.\Our soldiers' morale has taken a hit from the bombings.\There's a chance the front will break.\-And, so, Major Bougainvillea. -Sir.\I'd like you to lead a company to take out the cannons.\Yes, sir. I will not fail.\You'll be staying here. response:	Don't move until I get back.
context: Our forces are holding on, but the enemy brought cannons to the front line.\Our soldiers' morale has taken a hit from the bombings.\There's a chance the front will break.\-And, so, Major Bougainvillea. -Sir.\I'd like you to lead a company to take out the cannons.\Yes, sir. I will not fail.\You'll be staying here.\Don't move until I get back. response:	Understand?
context: Our soldiers' morale has taken a hit from the bombings.\There's a chance the front will break.\-And, so, Major Bougainvillea. -Sir.\I'd like you to lead a company to take out the cannons.\Yes, sir. I will not fail.\You'll be staying here.\Don't move until I get back.\Understand? response:	Major, we are ready to go.
context: There's a chance the front will break.\-And, so, Major Bougainvillea. -Sir.\I'd like you to lead a company to take out the cannons.\Yes, sir. I will not fail.\You'll be staying here.\Don't move until I get back.\Understand?\Major, we are ready to go. response:	I'll be right there.
context: -And, so, Major Bougainvillea. -Sir.\I'd like you to lead a company to take out the cannons.\Yes, sir. I will not fail.\You'll be staying here.\Don't move until I get back.\Understand?\Major, we are ready to go.\I'll be right there. response:	Major. An enemy guard.
context: I'd like you to lead a company to take out the cannons.\Yes, sir. I will not fail.\You'll be staying here.\Don't move until I get back.\Understand?\Major, we are ready to go.\I'll be right there.\Major. An enemy guard. response:	What's going on? What's happened?
context: Yes, sir. I will not fail.\You'll be staying here.\Don't move until I get back.\Understand?\Major, we are ready to go.\I'll be right there.\Major. An enemy guard.\What's going on? What's happened? response:	Enemy attack!
context: You'll be staying here.\Don't move until I get back.\Understand?\Major, we are ready to go.\I'll be right there.\Major. An enemy guard.\What's going on? What's happened?\Enemy attack! response:	Contact the main battalion!
context: Don't move until I get back.\Understand?\Major, we are ready to go.\I'll be right there.\Major. An enemy guard.\What's going on? What's happened?\Enemy attack!\Contact the main battalion! response:	Leidenschaftlich is under attack!
context: Understand?\Major, we are ready to go.\I'll be right there.\Major. An enemy guard.\What's going on? What's happened?\Enemy attack!\Contact the main battalion!\Leidenschaftlich is under attack! response:	Get more soldiers!
context: Major, we are ready to go.\I'll be right there.\Major. An enemy guard.\What's going on? What's happened?\Enemy attack!\Contact the main battalion!\Leidenschaftlich is under attack!\Get more soldiers! response:	Sir, the enemy is close!
context: I'll be right there.\Major. An enemy guard.\What's going on? What's happened?\Enemy attack!\Contact the main battalion!\Leidenschaftlich is under attack!\Get more soldiers!\Sir, the enemy is close! response:	Attack!
context: Major. An enemy guard.\What's going on? What's happened?\Enemy attack!\Contact the main battalion!\Leidenschaftlich is under attack!\Get more soldiers!\Sir, the enemy is close!\Attack! response:	Yes?
context: What's going on? What's happened?\Enemy attack!\Contact the main battalion!\Leidenschaftlich is under attack!\Get more soldiers!\Sir, the enemy is close!\Attack!\Yes? response:	It's you.
context: Enemy attack!\Contact the main battalion!\Leidenschaftlich is under attack!\Get more soldiers!\Sir, the enemy is close!\Attack!\Yes?\It's you. response:	Is the major...
context: Contact the main battalion!\Leidenschaftlich is under attack!\Get more soldiers!\Sir, the enemy is close!\Attack!\Yes?\It's you.\Is the major... response:	Is the major here?
context: Leidenschaftlich is under attack!\Get more soldiers!\Sir, the enemy is close!\Attack!\Yes?\It's you.\Is the major...\Is the major here? response:	He's here,
context: Get more soldiers!\Sir, the enemy is close!\Attack!\Yes?\It's you.\Is the major...\Is the major here?\He's here, response:	right?
context: Sir, the enemy is close!\Attack!\Yes?\It's you.\Is the major...\Is the major here?\He's here,\right? response:	The Young Master is...
context: Attack!\Yes?\It's you.\Is the major...\Is the major here?\He's here,\right?\The Young Master is... response:	Gilbert Bougainvillea.
context: Yes?\It's you.\Is the major...\Is the major here?\He's here,\right?\The Young Master is...\Gilbert Bougainvillea. response:	This is the major's name.
context: It's you.\Is the major...\Is the major here?\He's here,\right?\The Young Master is...\Gilbert Bougainvillea.\This is the major's name. response:	Violet.
context: Is the major...\Is the major here?\He's here,\right?\The Young Master is...\Gilbert Bougainvillea.\This is the major's name.\Violet. response:	Violet.
context: Is the major here?\He's here,\right?\The Young Master is...\Gilbert Bougainvillea.\This is the major's name.\Violet.\Violet. response:	You're not a tool.
context: He's here,\right?\The Young Master is...\Gilbert Bougainvillea.\This is the major's name.\Violet.\Violet.\You're not a tool. response:	You should become someone that matches their name.
context: right?\The Young Master is...\Gilbert Bougainvillea.\This is the major's name.\Violet.\Violet.\You're not a tool.\You should become someone that matches their name. response:	Violet.
context: The Young Master is...\Gilbert Bougainvillea.\This is the major's name.\Violet.\Violet.\You're not a tool.\You should become someone that matches their name.\Violet. response:	You can understand me?
context: Gilbert Bougainvillea.\This is the major's name.\Violet.\Violet.\You're not a tool.\You should become someone that matches their name.\Violet.\You can understand me? response:	Major.
context: This is the major's name.\Violet.\Violet.\You're not a tool.\You should become someone that matches their name.\Violet.\You can understand me?\Major. response:	Violet.
context: Violet.\Violet.\You're not a tool.\You should become someone that matches their name.\Violet.\You can understand me?\Major.\Violet. response:	That's right.
context: Violet.\You're not a tool.\You should become someone that matches their name.\Violet.\You can understand me?\Major.\Violet.\That's right. response:	You're Violet, and I'm the major.
context: You're not a tool.\You should become someone that matches their name.\Violet.\You can understand me?\Major.\Violet.\That's right.\You're Violet, and I'm the major. response:	Major.
context: You should become someone that matches their name.\Violet.\You can understand me?\Major.\Violet.\That's right.\You're Violet, and I'm the major.\Major. response:	Major,
context: Violet.\You can understand me?\Major.\Violet.\That's right.\You're Violet, and I'm the major.\Major.\Major, response:	I finished reading.
context: You can understand me?\Major.\Violet.\That's right.\You're Violet, and I'm the major.\Major.\Major,\I finished reading. response:	Good. Next, let's learn how to write.
context: Major.\Violet.\That's right.\You're Violet, and I'm the major.\Major.\Major,\I finished reading.\Good. Next, let's learn how to write. response:	Major, here is my report.
context: Violet.\That's right.\You're Violet, and I'm the major.\Major.\Major,\I finished reading.\Good. Next, let's learn how to write.\Major, here is my report. response:	It's well written.
context: That's right.\You're Violet, and I'm the major.\Major.\Major,\I finished reading.\Good. Next, let's learn how to write.\Major, here is my report.\It's well written. response:	From now on,
context: You're Violet, and I'm the major.\Major.\Major,\I finished reading.\Good. Next, let's learn how to write.\Major, here is my report.\It's well written.\From now on, response:	I want you to hand in a daily report to help you practice writing.
context: Major.\Major,\I finished reading.\Good. Next, let's learn how to write.\Major, here is my report.\It's well written.\From now on,\I want you to hand in a daily report to help you practice writing. response:	Understood?
context: Major,\I finished reading.\Good. Next, let's learn how to write.\Major, here is my report.\It's well written.\From now on,\I want you to hand in a daily report to help you practice writing.\Understood? response:	I will submit a daily report.
context: I finished reading.\Good. Next, let's learn how to write.\Major, here is my report.\It's well written.\From now on,\I want you to hand in a daily report to help you practice writing.\Understood?\I will submit a daily report. response:	While we didn't find his body,
context: Good. Next, let's learn how to write.\Major, here is my report.\It's well written.\From now on,\I want you to hand in a daily report to help you practice writing.\Understood?\I will submit a daily report.\While we didn't find his body, response:	we did find his ID tag
context: Major, here is my report.\It's well written.\From now on,\I want you to hand in a daily report to help you practice writing.\Understood?\I will submit a daily report.\While we didn't find his body,\we did find his ID tag response:	under the debris.
context: It's well written.\From now on,\I want you to hand in a daily report to help you practice writing.\Understood?\I will submit a daily report.\While we didn't find his body,\we did find his ID tag\under the debris. response:	And so, he was deemed missing in action.
context: From now on,\I want you to hand in a daily report to help you practice writing.\Understood?\I will submit a daily report.\While we didn't find his body,\we did find his ID tag\under the debris.\And so, he was deemed missing in action. response:	Gilbert is no longer...
context: I want you to hand in a daily report to help you practice writing.\Understood?\I will submit a daily report.\While we didn't find his body,\we did find his ID tag\under the debris.\And so, he was deemed missing in action.\Gilbert is no longer... response:	Today is Thanksgiving.
context: Understood?\I will submit a daily report.\While we didn't find his body,\we did find his ID tag\under the debris.\And so, he was deemed missing in action.\Gilbert is no longer...\Today is Thanksgiving. response:	This city was occupied by Gardarik forces for three years,
