context: Yo! Over here. response:	Sorry for calling you out on such short notice.
context: We can corner Menma's mom while her dad is away.\Her mom will definitely side with us.\You're right.\She even gave us Menma's diary. I'm sure she'd do anything for Menma.\Menma.\If she knew I went to her house again without telling her anything...\I'm sure she'd be angry.\Wow, Atsumu and Chiriko came too this time. I'm so happy to see you. response:	Come right in.
context: Her mom will definitely side with us.\You're right.\She even gave us Menma's diary. I'm sure she'd do anything for Menma.\Menma.\If she knew I went to her house again without telling her anything...\I'm sure she'd be angry.\Wow, Atsumu and Chiriko came too this time. I'm so happy to see you.\Come right in. response:	Please excuse us.
context: You're right.\She even gave us Menma's diary. I'm sure she'd do anything for Menma.\Menma.\If she knew I went to her house again without telling her anything...\I'm sure she'd be angry.\Wow, Atsumu and Chiriko came too this time. I'm so happy to see you.\Come right in.\Please excuse us. response:	I've got a good feeling about this.
context: She even gave us Menma's diary. I'm sure she'd do anything for Menma.\Menma.\If she knew I went to her house again without telling her anything...\I'm sure she'd be angry.\Wow, Atsumu and Chiriko came too this time. I'm so happy to see you.\Come right in.\Please excuse us.\I've got a good feeling about this. response:	Excuse me.
context: Menma.\If she knew I went to her house again without telling her anything...\I'm sure she'd be angry.\Wow, Atsumu and Chiriko came too this time. I'm so happy to see you.\Come right in.\Please excuse us.\I've got a good feeling about this.\Excuse me. response:	Yeah
context: If she knew I went to her house again without telling her anything...\I'm sure she'd be angry.\Wow, Atsumu and Chiriko came too this time. I'm so happy to see you.\Come right in.\Please excuse us.\I've got a good feeling about this.\Excuse me.\Yeah response:	Excuse me.
context: I'm sure she'd be angry.\Wow, Atsumu and Chiriko came too this time. I'm so happy to see you.\Come right in.\Please excuse us.\I've got a good feeling about this.\Excuse me.\Yeah\Excuse me. response:	So is this about the rocket firework?
context: Wow, Atsumu and Chiriko came too this time. I'm so happy to see you.\Come right in.\Please excuse us.\I've got a good feeling about this.\Excuse me.\Yeah\Excuse me.\So is this about the rocket firework? response:	Oh, yes. About that...
context: Come right in.\Please excuse us.\I've got a good feeling about this.\Excuse me.\Yeah\Excuse me.\So is this about the rocket firework?\Oh, yes. About that... response:	I was surprised when my husband first told me about it.
context: Please excuse us.\I've got a good feeling about this.\Excuse me.\Yeah\Excuse me.\So is this about the rocket firework?\Oh, yes. About that...\I was surprised when my husband first told me about it. response:	But I think it's great.
context: I've got a good feeling about this.\Excuse me.\Yeah\Excuse me.\So is this about the rocket firework?\Oh, yes. About that...\I was surprised when my husband first told me about it.\But I think it's great. response:	Your friends all gather together.
context: Excuse me.\Yeah\Excuse me.\So is this about the rocket firework?\Oh, yes. About that...\I was surprised when my husband first told me about it.\But I think it's great.\Your friends all gather together. response:	And you come up with fun ideas.
context: Yeah\Excuse me.\So is this about the rocket firework?\Oh, yes. About that...\I was surprised when my husband first told me about it.\But I think it's great.\Your friends all gather together.\And you come up with fun ideas. response:	It's the same as when you were little.
context: Excuse me.\So is this about the rocket firework?\Oh, yes. About that...\I was surprised when my husband first told me about it.\But I think it's great.\Your friends all gather together.\And you come up with fun ideas.\It's the same as when you were little. response:	Yeah, when we were kids we actually planned to make fireworks with Menma.
context: So is this about the rocket firework?\Oh, yes. About that...\I was surprised when my husband first told me about it.\But I think it's great.\Your friends all gather together.\And you come up with fun ideas.\It's the same as when you were little.\Yeah, when we were kids we actually planned to make fireworks with Menma. response:	Oh really. Meiko was involved...
context: Oh, yes. About that...\I was surprised when my husband first told me about it.\But I think it's great.\Your friends all gather together.\And you come up with fun ideas.\It's the same as when you were little.\Yeah, when we were kids we actually planned to make fireworks with Menma.\Oh really. Meiko was involved... response:	Umm...
context: I was surprised when my husband first told me about it.\But I think it's great.\Your friends all gather together.\And you come up with fun ideas.\It's the same as when you were little.\Yeah, when we were kids we actually planned to make fireworks with Menma.\Oh really. Meiko was involved...\Umm... response:	If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy.
context: But I think it's great.\Your friends all gather together.\And you come up with fun ideas.\It's the same as when you were little.\Yeah, when we were kids we actually planned to make fireworks with Menma.\Oh really. Meiko was involved...\Umm...\If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy. response:	So we'd like you to ask your husband...
context: Your friends all gather together.\And you come up with fun ideas.\It's the same as when you were little.\Yeah, when we were kids we actually planned to make fireworks with Menma.\Oh really. Meiko was involved...\Umm...\If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy.\So we'd like you to ask your husband... response:	You all sure do get along well.
context: And you come up with fun ideas.\It's the same as when you were little.\Yeah, when we were kids we actually planned to make fireworks with Menma.\Oh really. Meiko was involved...\Umm...\If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy.\So we'd like you to ask your husband...\You all sure do get along well. response:	I wouldn't say that.
context: It's the same as when you were little.\Yeah, when we were kids we actually planned to make fireworks with Menma.\Oh really. Meiko was involved...\Umm...\If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy.\So we'd like you to ask your husband...\You all sure do get along well.\I wouldn't say that. response:	Meiko must be so envious.
context: Yeah, when we were kids we actually planned to make fireworks with Menma.\Oh really. Meiko was involved...\Umm...\If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy.\So we'd like you to ask your husband...\You all sure do get along well.\I wouldn't say that.\Meiko must be so envious. response:	She was left out by her friends.
context: Oh really. Meiko was involved...\Umm...\If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy.\So we'd like you to ask your husband...\You all sure do get along well.\I wouldn't say that.\Meiko must be so envious.\She was left out by her friends. response:	You may talk about what Meiko would enjoy, but really you're just having fun yourselves.
context: Umm...\If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy.\So we'd like you to ask your husband...\You all sure do get along well.\I wouldn't say that.\Meiko must be so envious.\She was left out by her friends.\You may talk about what Meiko would enjoy, but really you're just having fun yourselves. response:	You're using Meiko.
context: If we could launch fireworks, I think that Menm... I mean, Meiko would also be happy.\So we'd like you to ask your husband...\You all sure do get along well.\I wouldn't say that.\Meiko must be so envious.\She was left out by her friends.\You may talk about what Meiko would enjoy, but really you're just having fun yourselves.\You're using Meiko. response:	Ma'am...
context: So we'd like you to ask your husband...\You all sure do get along well.\I wouldn't say that.\Meiko must be so envious.\She was left out by her friends.\You may talk about what Meiko would enjoy, but really you're just having fun yourselves.\You're using Meiko.\Ma'am... response:	No, we're really...
context: You all sure do get along well.\I wouldn't say that.\Meiko must be so envious.\She was left out by her friends.\You may talk about what Meiko would enjoy, but really you're just having fun yourselves.\You're using Meiko.\Ma'am...\No, we're really... response:	Meiko's not here anymore.
context: I wouldn't say that.\Meiko must be so envious.\She was left out by her friends.\You may talk about what Meiko would enjoy, but really you're just having fun yourselves.\You're using Meiko.\Ma'am...\No, we're really...\Meiko's not here anymore. response:	And yet you all go on the same as always...
context: Meiko must be so envious.\She was left out by her friends.\You may talk about what Meiko would enjoy, but really you're just having fun yourselves.\You're using Meiko.\Ma'am...\No, we're really...\Meiko's not here anymore.\And yet you all go on the same as always... response:	Actually...
context: She was left out by her friends.\You may talk about what Meiko would enjoy, but really you're just having fun yourselves.\You're using Meiko.\Ma'am...\No, we're really...\Meiko's not here anymore.\And yet you all go on the same as always...\Actually... response:	Why?
context: You may talk about what Meiko would enjoy, but really you're just having fun yourselves.\You're using Meiko.\Ma'am...\No, we're really...\Meiko's not here anymore.\And yet you all go on the same as always...\Actually...\Why? response:	Weren't you playing with Meiko on that day?
context: You're using Meiko.\Ma'am...\No, we're really...\Meiko's not here anymore.\And yet you all go on the same as always...\Actually...\Why?\Weren't you playing with Meiko on that day? response:	Tsurumi.
context: Ma'am...\No, we're really...\Meiko's not here anymore.\And yet you all go on the same as always...\Actually...\Why?\Weren't you playing with Meiko on that day?\Tsurumi. response:	You read her diary didn't you?
context: No, we're really...\Meiko's not here anymore.\And yet you all go on the same as always...\Actually...\Why?\Weren't you playing with Meiko on that day?\Tsurumi.\You read her diary didn't you? response:	Time has stopped.
context: Meiko's not here anymore.\And yet you all go on the same as always...\Actually...\Why?\Weren't you playing with Meiko on that day?\Tsurumi.\You read her diary didn't you?\Time has stopped. response:	She's the only one who hasn't changed since then.
context: And yet you all go on the same as always...\Actually...\Why?\Weren't you playing with Meiko on that day?\Tsurumi.\You read her diary didn't you?\Time has stopped.\She's the only one who hasn't changed since then. response:	But why have you all grown up?
context: Actually...\Why?\Weren't you playing with Meiko on that day?\Tsurumi.\You read her diary didn't you?\Time has stopped.\She's the only one who hasn't changed since then.\But why have you all grown up? response:	Why is Meiko the only one... Meiko.
context: Why?\Weren't you playing with Meiko on that day?\Tsurumi.\You read her diary didn't you?\Time has stopped.\She's the only one who hasn't changed since then.\But why have you all grown up?\Why is Meiko the only one... Meiko. response:	Only her...
context: Weren't you playing with Meiko on that day?\Tsurumi.\You read her diary didn't you?\Time has stopped.\She's the only one who hasn't changed since then.\But why have you all grown up?\Why is Meiko the only one... Meiko.\Only her... response:	I'm home.
context: Tsurumi.\You read her diary didn't you?\Time has stopped.\She's the only one who hasn't changed since then.\But why have you all grown up?\Why is Meiko the only one... Meiko.\Only her...\I'm home. response:	What are you doing?
context: You read her diary didn't you?\Time has stopped.\She's the only one who hasn't changed since then.\But why have you all grown up?\Why is Meiko the only one... Meiko.\Only her...\I'm home.\What are you doing? response:	We should get going.
context: Time has stopped.\She's the only one who hasn't changed since then.\But why have you all grown up?\Why is Meiko the only one... Meiko.\Only her...\I'm home.\What are you doing?\We should get going. response:	Yeah.
context: She's the only one who hasn't changed since then.\But why have you all grown up?\Why is Meiko the only one... Meiko.\Only her...\I'm home.\What are you doing?\We should get going.\Yeah. response:	Is your hand okay, Tsurumi?
context: But why have you all grown up?\Why is Meiko the only one... Meiko.\Only her...\I'm home.\What are you doing?\We should get going.\Yeah.\Is your hand okay, Tsurumi? response:	It's nothing serious.
context: Why is Meiko the only one... Meiko.\Only her...\I'm home.\What are you doing?\We should get going.\Yeah.\Is your hand okay, Tsurumi?\It's nothing serious. response:	Menma's mom was super scary.
context: Only her...\I'm home.\What are you doing?\We should get going.\Yeah.\Is your hand okay, Tsurumi?\It's nothing serious.\Menma's mom was super scary. response:	Yeah. Maybe she's resented us all this time.
context: I'm home.\What are you doing?\We should get going.\Yeah.\Is your hand okay, Tsurumi?\It's nothing serious.\Menma's mom was super scary.\Yeah. Maybe she's resented us all this time. response:	This might be the first time someone has hated me this strongly since I was born.
context: What are you doing?\We should get going.\Yeah.\Is your hand okay, Tsurumi?\It's nothing serious.\Menma's mom was super scary.\Yeah. Maybe she's resented us all this time.\This might be the first time someone has hated me this strongly since I was born. response:	She's a parent after all.
context: We should get going.\Yeah.\Is your hand okay, Tsurumi?\It's nothing serious.\Menma's mom was super scary.\Yeah. Maybe she's resented us all this time.\This might be the first time someone has hated me this strongly since I was born.\She's a parent after all. response:	Yeah. She's a parent.
context: Yeah.\Is your hand okay, Tsurumi?\It's nothing serious.\Menma's mom was super scary.\Yeah. Maybe she's resented us all this time.\This might be the first time someone has hated me this strongly since I was born.\She's a parent after all.\Yeah. She's a parent. response:	Let's stop this.
context: Is your hand okay, Tsurumi?\It's nothing serious.\Menma's mom was super scary.\Yeah. Maybe she's resented us all this time.\This might be the first time someone has hated me this strongly since I was born.\She's a parent after all.\Yeah. She's a parent.\Let's stop this. response:	Let's drop this foolishness about Menma's wish already.
context: It's nothing serious.\Menma's mom was super scary.\Yeah. Maybe she's resented us all this time.\This might be the first time someone has hated me this strongly since I was born.\She's a parent after all.\Yeah. She's a parent.\Let's stop this.\Let's drop this foolishness about Menma's wish already. response:	Wait a second. If we do that we don't know what will happen to Menm...
context: Menma's mom was super scary.\Yeah. Maybe she's resented us all this time.\This might be the first time someone has hated me this strongly since I was born.\She's a parent after all.\Yeah. She's a parent.\Let's stop this.\Let's drop this foolishness about Menma's wish already.\Wait a second. If we do that we don't know what will happen to Menm... response:	Open your eyes already.
context: Yeah. Maybe she's resented us all this time.\This might be the first time someone has hated me this strongly since I was born.\She's a parent after all.\Yeah. She's a parent.\Let's stop this.\Let's drop this foolishness about Menma's wish already.\Wait a second. If we do that we don't know what will happen to Menm...\Open your eyes already. response:	Everyone has been playing along with poor pitiful you.
context: This might be the first time someone has hated me this strongly since I was born.\She's a parent after all.\Yeah. She's a parent.\Let's stop this.\Let's drop this foolishness about Menma's wish already.\Wait a second. If we do that we don't know what will happen to Menm...\Open your eyes already.\Everyone has been playing along with poor pitiful you. response:	Yukiatsu.
context: She's a parent after all.\Yeah. She's a parent.\Let's stop this.\Let's drop this foolishness about Menma's wish already.\Wait a second. If we do that we don't know what will happen to Menm...\Open your eyes already.\Everyone has been playing along with poor pitiful you.\Yukiatsu. response:	I took it too far myself, so I can't exactly judge others in that regard.
context: Yeah. She's a parent.\Let's stop this.\Let's drop this foolishness about Menma's wish already.\Wait a second. If we do that we don't know what will happen to Menm...\Open your eyes already.\Everyone has been playing along with poor pitiful you.\Yukiatsu.\I took it too far myself, so I can't exactly judge others in that regard. response:	But unlike you, I don't force my own pain onto others.
context: Let's stop this.\Let's drop this foolishness about Menma's wish already.\Wait a second. If we do that we don't know what will happen to Menm...\Open your eyes already.\Everyone has been playing along with poor pitiful you.\Yukiatsu.\I took it too far myself, so I can't exactly judge others in that regard.\But unlike you, I don't force my own pain onto others. response:	My own pain...
context: Let's drop this foolishness about Menma's wish already.\Wait a second. If we do that we don't know what will happen to Menm...\Open your eyes already.\Everyone has been playing along with poor pitiful you.\Yukiatsu.\I took it too far myself, so I can't exactly judge others in that regard.\But unlike you, I don't force my own pain onto others.\My own pain... response:	Isn't that the right way to put it?
context: Wait a second. If we do that we don't know what will happen to Menm...\Open your eyes already.\Everyone has been playing along with poor pitiful you.\Yukiatsu.\I took it too far myself, so I can't exactly judge others in that regard.\But unlike you, I don't force my own pain onto others.\My own pain...\Isn't that the right way to put it? response:	You're obsessed with the past, and even Menma's parents are like that...
context: Open your eyes already.\Everyone has been playing along with poor pitiful you.\Yukiatsu.\I took it too far myself, so I can't exactly judge others in that regard.\But unlike you, I don't force my own pain onto others.\My own pain...\Isn't that the right way to put it?\You're obsessed with the past, and even Menma's parents are like that... response:	Everyone is in pain.
context: Everyone has been playing along with poor pitiful you.\Yukiatsu.\I took it too far myself, so I can't exactly judge others in that regard.\But unlike you, I don't force my own pain onto others.\My own pain...\Isn't that the right way to put it?\You're obsessed with the past, and even Menma's parents are like that...\Everyone is in pain. response:	He was talking about himself wasn't he?
context: Yukiatsu.\I took it too far myself, so I can't exactly judge others in that regard.\But unlike you, I don't force my own pain onto others.\My own pain...\Isn't that the right way to put it?\You're obsessed with the past, and even Menma's parents are like that...\Everyone is in pain.\He was talking about himself wasn't he? response:	The one who's in pain is Yukiatsu.
context: I took it too far myself, so I can't exactly judge others in that regard.\But unlike you, I don't force my own pain onto others.\My own pain...\Isn't that the right way to put it?\You're obsessed with the past, and even Menma's parents are like that...\Everyone is in pain.\He was talking about himself wasn't he?\The one who's in pain is Yukiatsu. response:	I believe you Jintan. I believe that Menma's around.
context: But unlike you, I don't force my own pain onto others.\My own pain...\Isn't that the right way to put it?\You're obsessed with the past, and even Menma's parents are like that...\Everyone is in pain.\He was talking about himself wasn't he?\The one who's in pain is Yukiatsu.\I believe you Jintan. I believe that Menma's around. response:	Jintan.
context: My own pain...\Isn't that the right way to put it?\You're obsessed with the past, and even Menma's parents are like that...\Everyone is in pain.\He was talking about himself wasn't he?\The one who's in pain is Yukiatsu.\I believe you Jintan. I believe that Menma's around.\Jintan. response:	It's alright.
context: Isn't that the right way to put it?\You're obsessed with the past, and even Menma's parents are like that...\Everyone is in pain.\He was talking about himself wasn't he?\The one who's in pain is Yukiatsu.\I believe you Jintan. I believe that Menma's around.\Jintan.\It's alright. response:	I'll grant it on my own.
context: You're obsessed with the past, and even Menma's parents are like that...\Everyone is in pain.\He was talking about himself wasn't he?\The one who's in pain is Yukiatsu.\I believe you Jintan. I believe that Menma's around.\Jintan.\It's alright.\I'll grant it on my own. response:	Jintan.
context: Everyone is in pain.\He was talking about himself wasn't he?\The one who's in pain is Yukiatsu.\I believe you Jintan. I believe that Menma's around.\Jintan.\It's alright.\I'll grant it on my own.\Jintan. response:	But you said that all of us together have to...
context: He was talking about himself wasn't he?\The one who's in pain is Yukiatsu.\I believe you Jintan. I believe that Menma's around.\Jintan.\It's alright.\I'll grant it on my own.\Jintan.\But you said that all of us together have to... response:	You know...
context: The one who's in pain is Yukiatsu.\I believe you Jintan. I believe that Menma's around.\Jintan.\It's alright.\I'll grant it on my own.\Jintan.\But you said that all of us together have to...\You know... response:	I had thought that everyone had changed.
context: I believe you Jintan. I believe that Menma's around.\Jintan.\It's alright.\I'll grant it on my own.\Jintan.\But you said that all of us together have to...\You know...\I had thought that everyone had changed. response:	Huh?
context: Jintan.\It's alright.\I'll grant it on my own.\Jintan.\But you said that all of us together have to...\You know...\I had thought that everyone had changed.\Huh? response:	But once I spoke to everyone, I was surprised that no one had changed all that much.
context: It's alright.\I'll grant it on my own.\Jintan.\But you said that all of us together have to...\You know...\I had thought that everyone had changed.\Huh?\But once I spoke to everyone, I was surprised that no one had changed all that much. response:	But no matter how little we change, we're not all together anymore.
context: I'll grant it on my own.\Jintan.\But you said that all of us together have to...\You know...\I had thought that everyone had changed.\Huh?\But once I spoke to everyone, I was surprised that no one had changed all that much.\But no matter how little we change, we're not all together anymore. response:	We never were from the start.
context: Jintan.\But you said that all of us together have to...\You know...\I had thought that everyone had changed.\Huh?\But once I spoke to everyone, I was surprised that no one had changed all that much.\But no matter how little we change, we're not all together anymore.\We never were from the start. response:	Because Menma is missing.
context: But you said that all of us together have to...\You know...\I had thought that everyone had changed.\Huh?\But once I spoke to everyone, I was surprised that no one had changed all that much.\But no matter how little we change, we're not all together anymore.\We never were from the start.\Because Menma is missing. response:	Jintan.
context: You know...\I had thought that everyone had changed.\Huh?\But once I spoke to everyone, I was surprised that no one had changed all that much.\But no matter how little we change, we're not all together anymore.\We never were from the start.\Because Menma is missing.\Jintan. response:	Since all of us together don't exist anymore, it's all the same if I grant the wish on my own.
context: I had thought that everyone had changed.\Huh?\But once I spoke to everyone, I was surprised that no one had changed all that much.\But no matter how little we change, we're not all together anymore.\We never were from the start.\Because Menma is missing.\Jintan.\Since all of us together don't exist anymore, it's all the same if I grant the wish on my own. response:	Wait Jintan! I'll keep helping like I have been, so we can...
context: Huh?\But once I spoke to everyone, I was surprised that no one had changed all that much.\But no matter how little we change, we're not all together anymore.\We never were from the start.\Because Menma is missing.\Jintan.\Since all of us together don't exist anymore, it's all the same if I grant the wish on my own.\Wait Jintan! I'll keep helping like I have been, so we can... response:	That was dangerous.
context: But once I spoke to everyone, I was surprised that no one had changed all that much.\But no matter how little we change, we're not all together anymore.\We never were from the start.\Because Menma is missing.\Jintan.\Since all of us together don't exist anymore, it's all the same if I grant the wish on my own.\Wait Jintan! I'll keep helping like I have been, so we can...\That was dangerous. response:	I was taking my shoes off.
context: But no matter how little we change, we're not all together anymore.\We never were from the start.\Because Menma is missing.\Jintan.\Since all of us together don't exist anymore, it's all the same if I grant the wish on my own.\Wait Jintan! I'll keep helping like I have been, so we can...\That was dangerous.\I was taking my shoes off. response:	I can grant it even if I'm alone.
context: We never were from the start.\Because Menma is missing.\Jintan.\Since all of us together don't exist anymore, it's all the same if I grant the wish on my own.\Wait Jintan! I'll keep helping like I have been, so we can...\That was dangerous.\I was taking my shoes off.\I can grant it even if I'm alone. response:	Even if I'm alone.
context: Because Menma is missing.\Jintan.\Since all of us together don't exist anymore, it's all the same if I grant the wish on my own.\Wait Jintan! I'll keep helping like I have been, so we can...\That was dangerous.\I was taking my shoes off.\I can grant it even if I'm alone.\Even if I'm alone. response:	What? You signed up for even more hours?
context: Jintan.\Since all of us together don't exist anymore, it's all the same if I grant the wish on my own.\Wait Jintan! I'll keep helping like I have been, so we can...\That was dangerous.\I was taking my shoes off.\I can grant it even if I'm alone.\Even if I'm alone.\What? You signed up for even more hours? response:	Yeah. Construction pays well.
context: Since all of us together don't exist anymore, it's all the same if I grant the wish on my own.\Wait Jintan! I'll keep helping like I have been, so we can...\That was dangerous.\I was taking my shoes off.\I can grant it even if I'm alone.\Even if I'm alone.\What? You signed up for even more hours?\Yeah. Construction pays well. response:	You look pale.
context: Wait Jintan! I'll keep helping like I have been, so we can...\That was dangerous.\I was taking my shoes off.\I can grant it even if I'm alone.\Even if I'm alone.\What? You signed up for even more hours?\Yeah. Construction pays well.\You look pale. response:	That's because I haven't slept.
context: That was dangerous.\I was taking my shoes off.\I can grant it even if I'm alone.\Even if I'm alone.\What? You signed up for even more hours?\Yeah. Construction pays well.\You look pale.\That's because I haven't slept. response:	Hey...
context: I was taking my shoes off.\I can grant it even if I'm alone.\Even if I'm alone.\What? You signed up for even more hours?\Yeah. Construction pays well.\You look pale.\That's because I haven't slept.\Hey... response:	All I did with my life until now was sleep and eat.
context: I can grant it even if I'm alone.\Even if I'm alone.\What? You signed up for even more hours?\Yeah. Construction pays well.\You look pale.\That's because I haven't slept.\Hey...\All I did with my life until now was sleep and eat. response:	I've built up a big sleep surplus.
context: Even if I'm alone.\What? You signed up for even more hours?\Yeah. Construction pays well.\You look pale.\That's because I haven't slept.\Hey...\All I did with my life until now was sleep and eat.\I've built up a big sleep surplus. response:	How?
context: What? You signed up for even more hours?\Yeah. Construction pays well.\You look pale.\That's because I haven't slept.\Hey...\All I did with my life until now was sleep and eat.\I've built up a big sleep surplus.\How? response:	How can he put so much energy into it?
context: Yeah. Construction pays well.\You look pale.\That's because I haven't slept.\Hey...\All I did with my life until now was sleep and eat.\I've built up a big sleep surplus.\How?\How can he put so much energy into it? response:	Does he care about Menma that much?
context: You look pale.\That's because I haven't slept.\Hey...\All I did with my life until now was sleep and eat.\I've built up a big sleep surplus.\How?\How can he put so much energy into it?\Does he care about Menma that much? response:	Hey... Wh.. Jintan?
context: That's because I haven't slept.\Hey...\All I did with my life until now was sleep and eat.\I've built up a big sleep surplus.\How?\How can he put so much energy into it?\Does he care about Menma that much?\Hey... Wh.. Jintan? response:	Have some water.
context: Hey...\All I did with my life until now was sleep and eat.\I've built up a big sleep surplus.\How?\How can he put so much energy into it?\Does he care about Menma that much?\Hey... Wh.. Jintan?\Have some water. response:	Thanks.
context: All I did with my life until now was sleep and eat.\I've built up a big sleep surplus.\How?\How can he put so much energy into it?\Does he care about Menma that much?\Hey... Wh.. Jintan?\Have some water.\Thanks. response:	And take this multivitamin too.
context: I've built up a big sleep surplus.\How?\How can he put so much energy into it?\Does he care about Menma that much?\Hey... Wh.. Jintan?\Have some water.\Thanks.\And take this multivitamin too. response:	Drink it up.
context: How?\How can he put so much energy into it?\Does he care about Menma that much?\Hey... Wh.. Jintan?\Have some water.\Thanks.\And take this multivitamin too.\Drink it up. response:	I feel better now.
context: How can he put so much energy into it?\Does he care about Menma that much?\Hey... Wh.. Jintan?\Have some water.\Thanks.\And take this multivitamin too.\Drink it up.\I feel better now. response:	Good.
context: Does he care about Menma that much?\Hey... Wh.. Jintan?\Have some water.\Thanks.\And take this multivitamin too.\Drink it up.\I feel better now.\Good. response:	Jintan.
context: Hey... Wh.. Jintan?\Have some water.\Thanks.\And take this multivitamin too.\Drink it up.\I feel better now.\Good.\Jintan. response:	Huh?
context: Have some water.\Thanks.\And take this multivitamin too.\Drink it up.\I feel better now.\Good.\Jintan.\Huh? response:	Let's end this already.
context: Thanks.\And take this multivitamin too.\Drink it up.\I feel better now.\Good.\Jintan.\Huh?\Let's end this already. response:	You must be in a lot of pain too.
context: And take this multivitamin too.\Drink it up.\I feel better now.\Good.\Jintan.\Huh?\Let's end this already.\You must be in a lot of pain too. response:	Let's stop this.
context: Drink it up.\I feel better now.\Good.\Jintan.\Huh?\Let's end this already.\You must be in a lot of pain too.\Let's stop this. response:	What do you mean by'this'?
context: I feel better now.\Good.\Jintan.\Huh?\Let's end this already.\You must be in a lot of pain too.\Let's stop this.\What do you mean by'this'? response:	Huh?
context: Good.\Jintan.\Huh?\Let's end this already.\You must be in a lot of pain too.\Let's stop this.\What do you mean by'this'?\Huh? response:	I still have work to do.
context: Jintan.\Huh?\Let's end this already.\You must be in a lot of pain too.\Let's stop this.\What do you mean by'this'?\Huh?\I still have work to do. response:	Don't go.
context: Huh?\Let's end this already.\You must be in a lot of pain too.\Let's stop this.\What do you mean by'this'?\Huh?\I still have work to do.\Don't go. response:	Huh?
context: Let's end this already.\You must be in a lot of pain too.\Let's stop this.\What do you mean by'this'?\Huh?\I still have work to do.\Don't go.\Huh? response:	Don't.
context: You must be in a lot of pain too.\Let's stop this.\What do you mean by'this'?\Huh?\I still have work to do.\Don't go.\Huh?\Don't. response:	I didn't want you to go back then either.
context: Let's stop this.\What do you mean by'this'?\Huh?\I still have work to do.\Don't go.\Huh?\Don't.\I didn't want you to go back then either. response:	Back then?
context: What do you mean by'this'?\Huh?\I still have work to do.\Don't go.\Huh?\Don't.\I didn't want you to go back then either.\Back then? response:	I'm going to tell you something terrible about myself now.
context: Huh?\I still have work to do.\Don't go.\Huh?\Don't.\I didn't want you to go back then either.\Back then?\I'm going to tell you something terrible about myself now. response:	Huh?
context: I still have work to do.\Don't go.\Huh?\Don't.\I didn't want you to go back then either.\Back then?\I'm going to tell you something terrible about myself now.\Huh? response:	Back then, I was actually relieved.
context: Don't go.\Huh?\Don't.\I didn't want you to go back then either.\Back then?\I'm going to tell you something terrible about myself now.\Huh?\Back then, I was actually relieved. response:	You said that you didn't like Menma.
context: Huh?\Don't.\I didn't want you to go back then either.\Back then?\I'm going to tell you something terrible about myself now.\Huh?\Back then, I was actually relieved.\You said that you didn't like Menma. response:	It's horrible of me, but I was actually kind of happy.
