context: Two more. No... response:	I'm pumped.
context: Joji!\Hey!\Hana!\Huh?\I think...\Seriously?!\What? But Hana\Seriously?! response:	Come here, you idiot!
context: Hey!\Hana!\Huh?\I think...\Seriously?!\What? But Hana\Seriously?!\Come here, you idiot! response:	Even If I Break
context: Hana!\Huh?\I think...\Seriously?!\What? But Hana\Seriously?!\Come here, you idiot!\Even If I Break response:	Section 4
context: Huh?\I think...\Seriously?!\What? But Hana\Seriously?!\Come here, you idiot!\Even If I Break\Section 4 response:	Kansei is still catching up.
context: I think...\Seriously?!\What? But Hana\Seriously?!\Come here, you idiot!\Even If I Break\Section 4\Kansei is still catching up. response:	Since finishing last in Section 1,
context: Seriously?!\What? But Hana\Seriously?!\Come here, you idiot!\Even If I Break\Section 4\Kansei is still catching up.\Since finishing last in Section 1, response:	their position has steadily climbed to their current 10th place.
context: What? But Hana\Seriously?!\Come here, you idiot!\Even If I Break\Section 4\Kansei is still catching up.\Since finishing last in Section 1,\their position has steadily climbed to their current 10th place. response:	At this rate, they might even catch Tokyo Sport in 9th.
context: Seriously?!\Come here, you idiot!\Even If I Break\Section 4\Kansei is still catching up.\Since finishing last in Section 1,\their position has steadily climbed to their current 10th place.\At this rate, they might even catch Tokyo Sport in 9th. response:	I see.
context: Come here, you idiot!\Even If I Break\Section 4\Kansei is still catching up.\Since finishing last in Section 1,\their position has steadily climbed to their current 10th place.\At this rate, they might even catch Tokyo Sport in 9th.\I see. response:	Seriously? I see.
context: Even If I Break\Section 4\Kansei is still catching up.\Since finishing last in Section 1,\their position has steadily climbed to their current 10th place.\At this rate, they might even catch Tokyo Sport in 9th.\I see.\Seriously? I see. response:	Did Hana herself say that she likes Jota?
context: Section 4\Kansei is still catching up.\Since finishing last in Section 1,\their position has steadily climbed to their current 10th place.\At this rate, they might even catch Tokyo Sport in 9th.\I see.\Seriously? I see.\Did Hana herself say that she likes Jota? response:	No, it's not like that.
context: Kansei is still catching up.\Since finishing last in Section 1,\their position has steadily climbed to their current 10th place.\At this rate, they might even catch Tokyo Sport in 9th.\I see.\Seriously? I see.\Did Hana herself say that she likes Jota?\No, it's not like that. response:	I simply thought she liked one of the twins.
context: Since finishing last in Section 1,\their position has steadily climbed to their current 10th place.\At this rate, they might even catch Tokyo Sport in 9th.\I see.\Seriously? I see.\Did Hana herself say that she likes Jota?\No, it's not like that.\I simply thought she liked one of the twins. response:	Well, he's suddenly assuming she does.
context: their position has steadily climbed to their current 10th place.\At this rate, they might even catch Tokyo Sport in 9th.\I see.\Seriously? I see.\Did Hana herself say that she likes Jota?\No, it's not like that.\I simply thought she liked one of the twins.\Well, he's suddenly assuming she does. response:	He even told Joji.
context: At this rate, they might even catch Tokyo Sport in 9th.\I see.\Seriously? I see.\Did Hana herself say that she likes Jota?\No, it's not like that.\I simply thought she liked one of the twins.\Well, he's suddenly assuming she does.\He even told Joji. response:	Why would that idiot agitate his brother like that?
context: I see.\Seriously? I see.\Did Hana herself say that she likes Jota?\No, it's not like that.\I simply thought she liked one of the twins.\Well, he's suddenly assuming she does.\He even told Joji.\Why would that idiot agitate his brother like that? response:	Hana's on her way to Odawara.
context: Seriously? I see.\Did Hana herself say that she likes Jota?\No, it's not like that.\I simply thought she liked one of the twins.\Well, he's suddenly assuming she does.\He even told Joji.\Why would that idiot agitate his brother like that?\Hana's on her way to Odawara. response:	Who is she? Godzilla?
context: Did Hana herself say that she likes Jota?\No, it's not like that.\I simply thought she liked one of the twins.\Well, he's suddenly assuming she does.\He even told Joji.\Why would that idiot agitate his brother like that?\Hana's on her way to Odawara.\Who is she? Godzilla? response:	Should we have the coach tell him Jota's confused about Hana?
context: No, it's not like that.\I simply thought she liked one of the twins.\Well, he's suddenly assuming she does.\He even told Joji.\Why would that idiot agitate his brother like that?\Hana's on her way to Odawara.\Who is she? Godzilla?\Should we have the coach tell him Jota's confused about Hana? response:	I've never heard of that kind of instruction being given before.
context: I simply thought she liked one of the twins.\Well, he's suddenly assuming she does.\He even told Joji.\Why would that idiot agitate his brother like that?\Hana's on her way to Odawara.\Who is she? Godzilla?\Should we have the coach tell him Jota's confused about Hana?\I've never heard of that kind of instruction being given before. response:	I'll make the decision.
context: Well, he's suddenly assuming she does.\He even told Joji.\Why would that idiot agitate his brother like that?\Hana's on her way to Odawara.\Who is she? Godzilla?\Should we have the coach tell him Jota's confused about Hana?\I've never heard of that kind of instruction being given before.\I'll make the decision. response:	Not that I'm happy with it.
context: He even told Joji.\Why would that idiot agitate his brother like that?\Hana's on her way to Odawara.\Who is she? Godzilla?\Should we have the coach tell him Jota's confused about Hana?\I've never heard of that kind of instruction being given before.\I'll make the decision.\Not that I'm happy with it. response:	Section 4
context: Why would that idiot agitate his brother like that?\Hana's on her way to Odawara.\Who is she? Godzilla?\Should we have the coach tell him Jota's confused about Hana?\I've never heard of that kind of instruction being given before.\I'll make the decision.\Not that I'm happy with it.\Section 4 response:	Run, you idiot!
context: Hana's on her way to Odawara.\Who is she? Godzilla?\Should we have the coach tell him Jota's confused about Hana?\I've never heard of that kind of instruction being given before.\I'll make the decision.\Not that I'm happy with it.\Section 4\Run, you idiot! response:	It doesn't make sense that she likes him, though.
context: Who is she? Godzilla?\Should we have the coach tell him Jota's confused about Hana?\I've never heard of that kind of instruction being given before.\I'll make the decision.\Not that I'm happy with it.\Section 4\Run, you idiot!\It doesn't make sense that she likes him, though. response:	She was always with the two of us.
context: Should we have the coach tell him Jota's confused about Hana?\I've never heard of that kind of instruction being given before.\I'll make the decision.\Not that I'm happy with it.\Section 4\Run, you idiot!\It doesn't make sense that she likes him, though.\She was always with the two of us. response:	When did she develop feelings for him?
context: I've never heard of that kind of instruction being given before.\I'll make the decision.\Not that I'm happy with it.\Section 4\Run, you idiot!\It doesn't make sense that she likes him, though.\She was always with the two of us.\When did she develop feelings for him? response:	Maybe he meant as a friend.
context: I'll make the decision.\Not that I'm happy with it.\Section 4\Run, you idiot!\It doesn't make sense that she likes him, though.\She was always with the two of us.\When did she develop feelings for him?\Maybe he meant as a friend. response:	In that case...
context: Not that I'm happy with it.\Section 4\Run, you idiot!\It doesn't make sense that she likes him, though.\She was always with the two of us.\When did she develop feelings for him?\Maybe he meant as a friend.\In that case... response:	No, in that case, I like Hana as a friend, too.
context: Section 4\Run, you idiot!\It doesn't make sense that she likes him, though.\She was always with the two of us.\When did she develop feelings for him?\Maybe he meant as a friend.\In that case...\No, in that case, I like Hana as a friend, too. response:	Just as a friend.
context: Run, you idiot!\It doesn't make sense that she likes him, though.\She was always with the two of us.\When did she develop feelings for him?\Maybe he meant as a friend.\In that case...\No, in that case, I like Hana as a friend, too.\Just as a friend. response:	Yeah, a friend...
context: It doesn't make sense that she likes him, though.\She was always with the two of us.\When did she develop feelings for him?\Maybe he meant as a friend.\In that case...\No, in that case, I like Hana as a friend, too.\Just as a friend.\Yeah, a friend... response:	Want some help?
context: She was always with the two of us.\When did she develop feelings for him?\Maybe he meant as a friend.\In that case...\No, in that case, I like Hana as a friend, too.\Just as a friend.\Yeah, a friend...\Want some help? response:	Thanks. Joji, could you take out that garbage?
context: When did she develop feelings for him?\Maybe he meant as a friend.\In that case...\No, in that case, I like Hana as a friend, too.\Just as a friend.\Yeah, a friend...\Want some help?\Thanks. Joji, could you take out that garbage? response:	Okay.
context: Maybe he meant as a friend.\In that case...\No, in that case, I like Hana as a friend, too.\Just as a friend.\Yeah, a friend...\Want some help?\Thanks. Joji, could you take out that garbage?\Okay. response:	Hey, Hana...
context: In that case...\No, in that case, I like Hana as a friend, too.\Just as a friend.\Yeah, a friend...\Want some help?\Thanks. Joji, could you take out that garbage?\Okay.\Hey, Hana... response:	How can you tell us apart?
context: No, in that case, I like Hana as a friend, too.\Just as a friend.\Yeah, a friend...\Want some help?\Thanks. Joji, could you take out that garbage?\Okay.\Hey, Hana...\How can you tell us apart? response:	What?
context: Just as a friend.\Yeah, a friend...\Want some help?\Thanks. Joji, could you take out that garbage?\Okay.\Hey, Hana...\How can you tell us apart?\What? response:	You didn't have think when you used my name.
context: Yeah, a friend...\Want some help?\Thanks. Joji, could you take out that garbage?\Okay.\Hey, Hana...\How can you tell us apart?\What?\You didn't have think when you used my name. response:	Oh. No one at Aotake gets you mixed up.
context: Want some help?\Thanks. Joji, could you take out that garbage?\Okay.\Hey, Hana...\How can you tell us apart?\What?\You didn't have think when you used my name.\Oh. No one at Aotake gets you mixed up. response:	Well, yeah.
context: Thanks. Joji, could you take out that garbage?\Okay.\Hey, Hana...\How can you tell us apart?\What?\You didn't have think when you used my name.\Oh. No one at Aotake gets you mixed up.\Well, yeah. response:	I've never thought about trying to tell you apart.
context: Okay.\Hey, Hana...\How can you tell us apart?\What?\You didn't have think when you used my name.\Oh. No one at Aotake gets you mixed up.\Well, yeah.\I've never thought about trying to tell you apart. response:	Since the day I met you, you were you, and Jota was Jota.
context: Hey, Hana...\How can you tell us apart?\What?\You didn't have think when you used my name.\Oh. No one at Aotake gets you mixed up.\Well, yeah.\I've never thought about trying to tell you apart.\Since the day I met you, you were you, and Jota was Jota. response:	You're brothers and best friends and always together,
context: How can you tell us apart?\What?\You didn't have think when you used my name.\Oh. No one at Aotake gets you mixed up.\Well, yeah.\I've never thought about trying to tell you apart.\Since the day I met you, you were you, and Jota was Jota.\You're brothers and best friends and always together, response:	but what I like about each of you is...
context: What?\You didn't have think when you used my name.\Oh. No one at Aotake gets you mixed up.\Well, yeah.\I've never thought about trying to tell you apart.\Since the day I met you, you were you, and Jota was Jota.\You're brothers and best friends and always together,\but what I like about each of you is... response:	Never mind.
context: You didn't have think when you used my name.\Oh. No one at Aotake gets you mixed up.\Well, yeah.\I've never thought about trying to tell you apart.\Since the day I met you, you were you, and Jota was Jota.\You're brothers and best friends and always together,\but what I like about each of you is...\Never mind. response:	Hey!
context: Oh. No one at Aotake gets you mixed up.\Well, yeah.\I've never thought about trying to tell you apart.\Since the day I met you, you were you, and Jota was Jota.\You're brothers and best friends and always together,\but what I like about each of you is...\Never mind.\Hey! response:	We're gonna start lighting fireworks!
context: Well, yeah.\I've never thought about trying to tell you apart.\Since the day I met you, you were you, and Jota was Jota.\You're brothers and best friends and always together,\but what I like about each of you is...\Never mind.\Hey!\We're gonna start lighting fireworks! response:	No way! I'm coming!
context: I've never thought about trying to tell you apart.\Since the day I met you, you were you, and Jota was Jota.\You're brothers and best friends and always together,\but what I like about each of you is...\Never mind.\Hey!\We're gonna start lighting fireworks!\No way! I'm coming! response:	Hey, Joji!
context: Since the day I met you, you were you, and Jota was Jota.\You're brothers and best friends and always together,\but what I like about each of you is...\Never mind.\Hey!\We're gonna start lighting fireworks!\No way! I'm coming!\Hey, Joji! response:	Are you listening? Answer me!
context: You're brothers and best friends and always together,\but what I like about each of you is...\Never mind.\Hey!\We're gonna start lighting fireworks!\No way! I'm coming!\Hey, Joji!\Are you listening? Answer me! response:	He's really mad.
context: but what I like about each of you is...\Never mind.\Hey!\We're gonna start lighting fireworks!\No way! I'm coming!\Hey, Joji!\Are you listening? Answer me!\He's really mad. response:	How much did I miss?
context: Never mind.\Hey!\We're gonna start lighting fireworks!\No way! I'm coming!\Hey, Joji!\Are you listening? Answer me!\He's really mad.\How much did I miss? response:	Jeez.
context: Hey!\We're gonna start lighting fireworks!\No way! I'm coming!\Hey, Joji!\Are you listening? Answer me!\He's really mad.\How much did I miss?\Jeez. response:	I'm not sure what it means, but you have a message from Kurahara.
context: We're gonna start lighting fireworks!\No way! I'm coming!\Hey, Joji!\Are you listening? Answer me!\He's really mad.\How much did I miss?\Jeez.\I'm not sure what it means, but you have a message from Kurahara. response:	Just listen.
context: No way! I'm coming!\Hey, Joji!\Are you listening? Answer me!\He's really mad.\How much did I miss?\Jeez.\I'm not sure what it means, but you have a message from Kurahara.\Just listen. response:	From Kakeru?
context: Hey, Joji!\Are you listening? Answer me!\He's really mad.\How much did I miss?\Jeez.\I'm not sure what it means, but you have a message from Kurahara.\Just listen.\From Kakeru? response:	If you like her, run.”
context: Are you listening? Answer me!\He's really mad.\How much did I miss?\Jeez.\I'm not sure what it means, but you have a message from Kurahara.\Just listen.\From Kakeru?\If you like her, run.” response:	That's all.
context: He's really mad.\How much did I miss?\Jeez.\I'm not sure what it means, but you have a message from Kurahara.\Just listen.\From Kakeru?\If you like her, run.”\That's all. response:	It's what I was told to say.
context: How much did I miss?\Jeez.\I'm not sure what it means, but you have a message from Kurahara.\Just listen.\From Kakeru?\If you like her, run.”\That's all.\It's what I was told to say. response:	Who does he think he is?
context: Jeez.\I'm not sure what it means, but you have a message from Kurahara.\Just listen.\From Kakeru?\If you like her, run.”\That's all.\It's what I was told to say.\Who does he think he is? response:	But...
context: I'm not sure what it means, but you have a message from Kurahara.\Just listen.\From Kakeru?\If you like her, run.”\That's all.\It's what I was told to say.\Who does he think he is?\But... response:	Odahara Relay Station
context: Just listen.\From Kakeru?\If you like her, run.”\That's all.\It's what I was told to say.\Who does he think he is?\But...\Odahara Relay Station response:	He handed me the phone. It's me.
context: From Kakeru?\If you like her, run.”\That's all.\It's what I was told to say.\Who does he think he is?\But...\Odahara Relay Station\He handed me the phone. It's me. response:	Sounds pretty noisy over there.
context: If you like her, run.”\That's all.\It's what I was told to say.\Who does he think he is?\But...\Odahara Relay Station\He handed me the phone. It's me.\Sounds pretty noisy over there. response:	Yes. We're all anxious to start.
context: That's all.\It's what I was told to say.\Who does he think he is?\But...\Odahara Relay Station\He handed me the phone. It's me.\Sounds pretty noisy over there.\Yes. We're all anxious to start. response:	Shindo.
context: It's what I was told to say.\Who does he think he is?\But...\Odahara Relay Station\He handed me the phone. It's me.\Sounds pretty noisy over there.\Yes. We're all anxious to start.\Shindo. response:	What'd he say?
context: Who does he think he is?\But...\Odahara Relay Station\He handed me the phone. It's me.\Sounds pretty noisy over there.\Yes. We're all anxious to start.\Shindo.\What'd he say? response:	That I'd better hydrate.
context: But...\Odahara Relay Station\He handed me the phone. It's me.\Sounds pretty noisy over there.\Yes. We're all anxious to start.\Shindo.\What'd he say?\That I'd better hydrate. response:	It's the same for everyone.
context: Odahara Relay Station\He handed me the phone. It's me.\Sounds pretty noisy over there.\Yes. We're all anxious to start.\Shindo.\What'd he say?\That I'd better hydrate.\It's the same for everyone. response:	There's nothing left to say.
context: He handed me the phone. It's me.\Sounds pretty noisy over there.\Yes. We're all anxious to start.\Shindo.\What'd he say?\That I'd better hydrate.\It's the same for everyone.\There's nothing left to say. response:	Congratulations Takashi on Running in the Hakone Ekiden
context: Sounds pretty noisy over there.\Yes. We're all anxious to start.\Shindo.\What'd he say?\That I'd better hydrate.\It's the same for everyone.\There's nothing left to say.\Congratulations Takashi on Running in the Hakone Ekiden response:	Certain Victory
context: Yes. We're all anxious to start.\Shindo.\What'd he say?\That I'd better hydrate.\It's the same for everyone.\There's nothing left to say.\Congratulations Takashi on Running in the Hakone Ekiden\Certain Victory response:	They're almost at Section 5!
context: Shindo.\What'd he say?\That I'd better hydrate.\It's the same for everyone.\There's nothing left to say.\Congratulations Takashi on Running in the Hakone Ekiden\Certain Victory\They're almost at Section 5! response:	He's gonna run!
context: What'd he say?\That I'd better hydrate.\It's the same for everyone.\There's nothing left to say.\Congratulations Takashi on Running in the Hakone Ekiden\Certain Victory\They're almost at Section 5!\He's gonna run! response:	It might not be colder than over there. Is everyone there?
context: That I'd better hydrate.\It's the same for everyone.\There's nothing left to say.\Congratulations Takashi on Running in the Hakone Ekiden\Certain Victory\They're almost at Section 5!\He's gonna run!\It might not be colder than over there. Is everyone there? response:	Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived!
context: It's the same for everyone.\There's nothing left to say.\Congratulations Takashi on Running in the Hakone Ekiden\Certain Victory\They're almost at Section 5!\He's gonna run!\It might not be colder than over there. Is everyone there?\Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived! response:	Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous.
context: There's nothing left to say.\Congratulations Takashi on Running in the Hakone Ekiden\Certain Victory\They're almost at Section 5!\He's gonna run!\It might not be colder than over there. Is everyone there?\Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived!\Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous. response:	I'll do my best.
context: Congratulations Takashi on Running in the Hakone Ekiden\Certain Victory\They're almost at Section 5!\He's gonna run!\It might not be colder than over there. Is everyone there?\Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived!\Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous.\I'll do my best. response:	First place, brother!
context: Certain Victory\They're almost at Section 5!\He's gonna run!\It might not be colder than over there. Is everyone there?\Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived!\Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous.\I'll do my best.\First place, brother! response:	First place, brother!
context: They're almost at Section 5!\He's gonna run!\It might not be colder than over there. Is everyone there?\Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived!\Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous.\I'll do my best.\First place, brother!\First place, brother! response:	Section 4
context: He's gonna run!\It might not be colder than over there. Is everyone there?\Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived!\Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous.\I'll do my best.\First place, brother!\First place, brother!\Section 4 response:	Rikudo was too slow.
context: It might not be colder than over there. Is everyone there?\Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived!\Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous.\I'll do my best.\First place, brother!\First place, brother!\Section 4\Rikudo was too slow. response:	The champions are slowly falling behind.
context: Yeah, everyone's already in front of the TV. Our uncle from Tsuruoka just arrived!\Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous.\I'll do my best.\First place, brother!\First place, brother!\Section 4\Rikudo was too slow.\The champions are slowly falling behind. response:	Currently in first place is Boso's Saito.
context: Kansei University is amazing! Yu said he's rooting for you. I'm starting to feel nervous.\I'll do my best.\First place, brother!\First place, brother!\Section 4\Rikudo was too slow.\The champions are slowly falling behind.\Currently in first place is Boso's Saito. response:	Rikudo is also within range of Daiwa in third.
context: I'll do my best.\First place, brother!\First place, brother!\Section 4\Rikudo was too slow.\The champions are slowly falling behind.\Currently in first place is Boso's Saito.\Rikudo is also within range of Daiwa in third. response:	Saikyo is coming! Saikyo!
context: First place, brother!\First place, brother!\Section 4\Rikudo was too slow.\The champions are slowly falling behind.\Currently in first place is Boso's Saito.\Rikudo is also within range of Daiwa in third.\Saikyo is coming! Saikyo! response:	I'd better go.
context: First place, brother!\Section 4\Rikudo was too slow.\The champions are slowly falling behind.\Currently in first place is Boso's Saito.\Rikudo is also within range of Daiwa in third.\Saikyo is coming! Saikyo!\I'd better go. response:	Tokyo Sport is next!
context: Section 4\Rikudo was too slow.\The champions are slowly falling behind.\Currently in first place is Boso's Saito.\Rikudo is also within range of Daiwa in third.\Saikyo is coming! Saikyo!\I'd better go.\Tokyo Sport is next! response:	Tokyo Sport to the relay line!
context: Rikudo was too slow.\The champions are slowly falling behind.\Currently in first place is Boso's Saito.\Rikudo is also within range of Daiwa in third.\Saikyo is coming! Saikyo!\I'd better go.\Tokyo Sport is next!\Tokyo Sport to the relay line! response:	But it's Section 5.
context: The champions are slowly falling behind.\Currently in first place is Boso's Saito.\Rikudo is also within range of Daiwa in third.\Saikyo is coming! Saikyo!\I'd better go.\Tokyo Sport is next!\Tokyo Sport to the relay line!\But it's Section 5. response:	Actually, no matter the section
context: Currently in first place is Boso's Saito.\Rikudo is also within range of Daiwa in third.\Saikyo is coming! Saikyo!\I'd better go.\Tokyo Sport is next!\Tokyo Sport to the relay line!\But it's Section 5.\Actually, no matter the section response:	Kansei, Kikui! Get ready!
context: Rikudo is also within range of Daiwa in third.\Saikyo is coming! Saikyo!\I'd better go.\Tokyo Sport is next!\Tokyo Sport to the relay line!\But it's Section 5.\Actually, no matter the section\Kansei, Kikui! Get ready! response:	They're coming at the same time!
context: Saikyo is coming! Saikyo!\I'd better go.\Tokyo Sport is next!\Tokyo Sport to the relay line!\But it's Section 5.\Actually, no matter the section\Kansei, Kikui! Get ready!\They're coming at the same time! response:	It's okay.
context: I'd better go.\Tokyo Sport is next!\Tokyo Sport to the relay line!\But it's Section 5.\Actually, no matter the section\Kansei, Kikui! Get ready!\They're coming at the same time!\It's okay. response:	I promise I'll make it there.
context: Tokyo Sport is next!\Tokyo Sport to the relay line!\But it's Section 5.\Actually, no matter the section\Kansei, Kikui! Get ready!\They're coming at the same time!\It's okay.\I promise I'll make it there. response:	No matter what.
context: Tokyo Sport to the relay line!\But it's Section 5.\Actually, no matter the section\Kansei, Kikui! Get ready!\They're coming at the same time!\It's okay.\I promise I'll make it there.\No matter what. response:	Damn it!
context: But it's Section 5.\Actually, no matter the section\Kansei, Kikui! Get ready!\They're coming at the same time!\It's okay.\I promise I'll make it there.\No matter what.\Damn it! response:	Joji?
context: Actually, no matter the section\Kansei, Kikui! Get ready!\They're coming at the same time!\It's okay.\I promise I'll make it there.\No matter what.\Damn it!\Joji? response:	Damn it. What did I do?
context: Kansei, Kikui! Get ready!\They're coming at the same time!\It's okay.\I promise I'll make it there.\No matter what.\Damn it!\Joji?\Damn it. What did I do? response:	Why couldn't I go faster?
context: They're coming at the same time!\It's okay.\I promise I'll make it there.\No matter what.\Damn it!\Joji?\Damn it. What did I do?\Why couldn't I go faster? response:	He was hot.
context: It's okay.\I promise I'll make it there.\No matter what.\Damn it!\Joji?\Damn it. What did I do?\Why couldn't I go faster?\He was hot. response:	Hotter than me, and I'd just run Section 4.
context: I promise I'll make it there.\No matter what.\Damn it!\Joji?\Damn it. What did I do?\Why couldn't I go faster?\He was hot.\Hotter than me, and I'd just run Section 4. response:	I knew.
context: No matter what.\Damn it!\Joji?\Damn it. What did I do?\Why couldn't I go faster?\He was hot.\Hotter than me, and I'd just run Section 4.\I knew. response:	I knew I had to get us as much time as possible,
context: Damn it!\Joji?\Damn it. What did I do?\Why couldn't I go faster?\He was hot.\Hotter than me, and I'd just run Section 4.\I knew.\I knew I had to get us as much time as possible, response:	but I...
context: Joji?\Damn it. What did I do?\Why couldn't I go faster?\He was hot.\Hotter than me, and I'd just run Section 4.\I knew.\I knew I had to get us as much time as possible,\but I... response:	Raise your head.
context: Damn it. What did I do?\Why couldn't I go faster?\He was hot.\Hotter than me, and I'd just run Section 4.\I knew.\I knew I had to get us as much time as possible,\but I...\Raise your head. response:	He's already running.
context: Why couldn't I go faster?\He was hot.\Hotter than me, and I'd just run Section 4.\I knew.\I knew I had to get us as much time as possible,\but I...\Raise your head.\He's already running. response:	This is Car 3.
context: He was hot.\Hotter than me, and I'd just run Section 4.\I knew.\I knew I had to get us as much time as possible,\but I...\Raise your head.\He's already running.\This is Car 3. response:	Kansei's Sugiyama's pace is remaining constant.
context: Hotter than me, and I'd just run Section 4.\I knew.\I knew I had to get us as much time as possible,\but I...\Raise your head.\He's already running.\This is Car 3.\Kansei's Sugiyama's pace is remaining constant. response:	Kikui's Inagaki is already 500 meters ahead.
context: I knew.\I knew I had to get us as much time as possible,\but I...\Raise your head.\He's already running.\This is Car 3.\Kansei's Sugiyama's pace is remaining constant.\Kikui's Inagaki is already 500 meters ahead. response:	Kansei has suddenly hit the brakes.
context: I knew I had to get us as much time as possible,\but I...\Raise your head.\He's already running.\This is Car 3.\Kansei's Sugiyama's pace is remaining constant.\Kikui's Inagaki is already 500 meters ahead.\Kansei has suddenly hit the brakes. response:	Brother?
context: but I...\Raise your head.\He's already running.\This is Car 3.\Kansei's Sugiyama's pace is remaining constant.\Kikui's Inagaki is already 500 meters ahead.\Kansei has suddenly hit the brakes.\Brother? response:	Yokohama and Jonan Bunka are catching up from behind.
context: Raise your head.\He's already running.\This is Car 3.\Kansei's Sugiyama's pace is remaining constant.\Kikui's Inagaki is already 500 meters ahead.\Kansei has suddenly hit the brakes.\Brother?\Yokohama and Jonan Bunka are catching up from behind. response:	Will he be able to stay ahead of them?
context: He's already running.\This is Car 3.\Kansei's Sugiyama's pace is remaining constant.\Kikui's Inagaki is already 500 meters ahead.\Kansei has suddenly hit the brakes.\Brother?\Yokohama and Jonan Bunka are catching up from behind.\Will he be able to stay ahead of them? response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: This is Car 3.\Kansei's Sugiyama's pace is remaining constant.\Kikui's Inagaki is already 500 meters ahead.\Kansei has suddenly hit the brakes.\Brother?\Yokohama and Jonan Bunka are catching up from behind.\Will he be able to stay ahead of them?\Tokyo-Hakone Round-Trip College Ekiden Race response:	No, it's just a matter of time.
context: Kansei's Sugiyama's pace is remaining constant.\Kikui's Inagaki is already 500 meters ahead.\Kansei has suddenly hit the brakes.\Brother?\Yokohama and Jonan Bunka are catching up from behind.\Will he be able to stay ahead of them?\Tokyo-Hakone Round-Trip College Ekiden Race\No, it's just a matter of time. response:	Section 5
