context: Shuichi response:	Hey, are we there yet?
context: Craft Palace\Kiriyako Scenery Kiriyako Hot Springs\Hot Springs Rice Cakes\Key Holders Mugs\Are you sightseeing?\Koharu!\Um, have we met before?\Don't you remember? response:	Of course you do.
context: Kiriyako Scenery Kiriyako Hot Springs\Hot Springs Rice Cakes\Key Holders Mugs\Are you sightseeing?\Koharu!\Um, have we met before?\Don't you remember?\Of course you do. response:	We were just at the observatory until just now.
context: Hot Springs Rice Cakes\Key Holders Mugs\Are you sightseeing?\Koharu!\Um, have we met before?\Don't you remember?\Of course you do.\We were just at the observatory until just now. response:	The observatory?
context: Key Holders Mugs\Are you sightseeing?\Koharu!\Um, have we met before?\Don't you remember?\Of course you do.\We were just at the observatory until just now.\The observatory? response:	Are you Nonoka?
context: Are you sightseeing?\Koharu!\Um, have we met before?\Don't you remember?\Of course you do.\We were just at the observatory until just now.\The observatory?\Are you Nonoka? response:	You do remember me!
context: Koharu!\Um, have we met before?\Don't you remember?\Of course you do.\We were just at the observatory until just now.\The observatory?\Are you Nonoka?\You do remember me! response:	Is it really you?
context: Um, have we met before?\Don't you remember?\Of course you do.\We were just at the observatory until just now.\The observatory?\Are you Nonoka?\You do remember me!\Is it really you? response:	It's been so long.
context: Don't you remember?\Of course you do.\We were just at the observatory until just now.\The observatory?\Are you Nonoka?\You do remember me!\Is it really you?\It's been so long. response:	It's been since we were kids.
context: Of course you do.\We were just at the observatory until just now.\The observatory?\Are you Nonoka?\You do remember me!\Is it really you?\It's been so long.\It's been since we were kids. response:	Since we were kids?
context: We were just at the observatory until just now.\The observatory?\Are you Nonoka?\You do remember me!\Is it really you?\It's been so long.\It's been since we were kids.\Since we were kids? response:	You left the city without saying a word.
context: The observatory?\Are you Nonoka?\You do remember me!\Is it really you?\It's been so long.\It's been since we were kids.\Since we were kids?\You left the city without saying a word. response:	We were all so worried.
context: Are you Nonoka?\You do remember me!\Is it really you?\It's been so long.\It's been since we were kids.\Since we were kids?\You left the city without saying a word.\We were all so worried. response:	Are you talking about seven years ago?
context: You do remember me!\Is it really you?\It's been so long.\It's been since we were kids.\Since we were kids?\You left the city without saying a word.\We were all so worried.\Are you talking about seven years ago? response:	It's already been that long, huh?
context: Is it really you?\It's been so long.\It's been since we were kids.\Since we were kids?\You left the city without saying a word.\We were all so worried.\Are you talking about seven years ago?\It's already been that long, huh? response:	No.
context: It's been so long.\It's been since we were kids.\Since we were kids?\You left the city without saying a word.\We were all so worried.\Are you talking about seven years ago?\It's already been that long, huh?\No. response:	Don't you remember?
context: It's been since we were kids.\Since we were kids?\You left the city without saying a word.\We were all so worried.\Are you talking about seven years ago?\It's already been that long, huh?\No.\Don't you remember? response:	It was winter until just now.
context: Since we were kids?\You left the city without saying a word.\We were all so worried.\Are you talking about seven years ago?\It's already been that long, huh?\No.\Don't you remember?\It was winter until just now. response:	But Noel disappeared,
context: You left the city without saying a word.\We were all so worried.\Are you talking about seven years ago?\It's already been that long, huh?\No.\Don't you remember?\It was winter until just now.\But Noel disappeared, response:	and the saucer disappeared...
context: We were all so worried.\Are you talking about seven years ago?\It's already been that long, huh?\No.\Don't you remember?\It was winter until just now.\But Noel disappeared,\and the saucer disappeared... response:	Saucer?
context: Are you talking about seven years ago?\It's already been that long, huh?\No.\Don't you remember?\It was winter until just now.\But Noel disappeared,\and the saucer disappeared...\Saucer? response:	What saucer?
context: It's already been that long, huh?\No.\Don't you remember?\It was winter until just now.\But Noel disappeared,\and the saucer disappeared...\Saucer?\What saucer? response:	Sorry, I don't know what you're talking about,
context: No.\Don't you remember?\It was winter until just now.\But Noel disappeared,\and the saucer disappeared...\Saucer?\What saucer?\Sorry, I don't know what you're talking about, response:	but I'm glad to see you again.
context: Don't you remember?\It was winter until just now.\But Noel disappeared,\and the saucer disappeared...\Saucer?\What saucer?\Sorry, I don't know what you're talking about,\but I'm glad to see you again. response:	What about Noel?
context: It was winter until just now.\But Noel disappeared,\and the saucer disappeared...\Saucer?\What saucer?\Sorry, I don't know what you're talking about,\but I'm glad to see you again.\What about Noel? response:	Noel?
context: But Noel disappeared,\and the saucer disappeared...\Saucer?\What saucer?\Sorry, I don't know what you're talking about,\but I'm glad to see you again.\What about Noel?\Noel? response:	Someone from abroad?
context: and the saucer disappeared...\Saucer?\What saucer?\Sorry, I don't know what you're talking about,\but I'm glad to see you again.\What about Noel?\Noel?\Someone from abroad? response:	Noel.
context: Saucer?\What saucer?\Sorry, I don't know what you're talking about,\but I'm glad to see you again.\What about Noel?\Noel?\Someone from abroad?\Noel. response:	Hey, what's up?
context: What saucer?\Sorry, I don't know what you're talking about,\but I'm glad to see you again.\What about Noel?\Noel?\Someone from abroad?\Noel.\Hey, what's up? response:	Yuzuki!
context: Sorry, I don't know what you're talking about,\but I'm glad to see you again.\What about Noel?\Noel?\Someone from abroad?\Noel.\Hey, what's up?\Yuzuki! response:	Nonoka? That Nonoka?
context: but I'm glad to see you again.\What about Noel?\Noel?\Someone from abroad?\Noel.\Hey, what's up?\Yuzuki!\Nonoka? That Nonoka? response:	Yeah.
context: What about Noel?\Noel?\Someone from abroad?\Noel.\Hey, what's up?\Yuzuki!\Nonoka? That Nonoka?\Yeah. response:	How nostalgic.
context: Noel?\Someone from abroad?\Noel.\Hey, what's up?\Yuzuki!\Nonoka? That Nonoka?\Yeah.\How nostalgic. response:	We all used to go to the observatory to play.
context: Someone from abroad?\Noel.\Hey, what's up?\Yuzuki!\Nonoka? That Nonoka?\Yeah.\How nostalgic.\We all used to go to the observatory to play. response:	Do you remember, Souta?
context: Noel.\Hey, what's up?\Yuzuki!\Nonoka? That Nonoka?\Yeah.\How nostalgic.\We all used to go to the observatory to play.\Do you remember, Souta? response:	What we did in the end.
context: Hey, what's up?\Yuzuki!\Nonoka? That Nonoka?\Yeah.\How nostalgic.\We all used to go to the observatory to play.\Do you remember, Souta?\What we did in the end. response:	We called a saucer.
context: Yuzuki!\Nonoka? That Nonoka?\Yeah.\How nostalgic.\We all used to go to the observatory to play.\Do you remember, Souta?\What we did in the end.\We called a saucer. response:	We held hands in a circle, and we made wishes.
context: Nonoka? That Nonoka?\Yeah.\How nostalgic.\We all used to go to the observatory to play.\Do you remember, Souta?\What we did in the end.\We called a saucer.\We held hands in a circle, and we made wishes. response:	Even though there's no way a saucer would come.
context: Yeah.\How nostalgic.\We all used to go to the observatory to play.\Do you remember, Souta?\What we did in the end.\We called a saucer.\We held hands in a circle, and we made wishes.\Even though there's no way a saucer would come. response:	I believed it.
context: How nostalgic.\We all used to go to the observatory to play.\Do you remember, Souta?\What we did in the end.\We called a saucer.\We held hands in a circle, and we made wishes.\Even though there's no way a saucer would come.\I believed it. response:	Nothing happened, though.
context: We all used to go to the observatory to play.\Do you remember, Souta?\What we did in the end.\We called a saucer.\We held hands in a circle, and we made wishes.\Even though there's no way a saucer would come.\I believed it.\Nothing happened, though. response:	I know, but...
context: Do you remember, Souta?\What we did in the end.\We called a saucer.\We held hands in a circle, and we made wishes.\Even though there's no way a saucer would come.\I believed it.\Nothing happened, though.\I know, but... response:	Haven't you ever thought about it?
context: What we did in the end.\We called a saucer.\We held hands in a circle, and we made wishes.\Even though there's no way a saucer would come.\I believed it.\Nothing happened, though.\I know, but...\Haven't you ever thought about it? response:	What if a saucer really showed up that day?
context: We called a saucer.\We held hands in a circle, and we made wishes.\Even though there's no way a saucer would come.\I believed it.\Nothing happened, though.\I know, but...\Haven't you ever thought about it?\What if a saucer really showed up that day? response:	I can't even imagine.
context: We held hands in a circle, and we made wishes.\Even though there's no way a saucer would come.\I believed it.\Nothing happened, though.\I know, but...\Haven't you ever thought about it?\What if a saucer really showed up that day?\I can't even imagine. response:	Hey, how did you know me?
context: Even though there's no way a saucer would come.\I believed it.\Nothing happened, though.\I know, but...\Haven't you ever thought about it?\What if a saucer really showed up that day?\I can't even imagine.\Hey, how did you know me? response:	So you don't remember.
context: I believed it.\Nothing happened, though.\I know, but...\Haven't you ever thought about it?\What if a saucer really showed up that day?\I can't even imagine.\Hey, how did you know me?\So you don't remember. response:	Huh?
context: Nothing happened, though.\I know, but...\Haven't you ever thought about it?\What if a saucer really showed up that day?\I can't even imagine.\Hey, how did you know me?\So you don't remember.\Huh? response:	Are you Nonoka?
context: I know, but...\Haven't you ever thought about it?\What if a saucer really showed up that day?\I can't even imagine.\Hey, how did you know me?\So you don't remember.\Huh?\Are you Nonoka? response:	Yeah. Do you remember?
context: Haven't you ever thought about it?\What if a saucer really showed up that day?\I can't even imagine.\Hey, how did you know me?\So you don't remember.\Huh?\Are you Nonoka?\Yeah. Do you remember? response:	Of course I do.
context: What if a saucer really showed up that day?\I can't even imagine.\Hey, how did you know me?\So you don't remember.\Huh?\Are you Nonoka?\Yeah. Do you remember?\Of course I do. response:	We played at the observatory when we were kids.
context: I can't even imagine.\Hey, how did you know me?\So you don't remember.\Huh?\Are you Nonoka?\Yeah. Do you remember?\Of course I do.\We played at the observatory when we were kids. response:	Huh?
context: Hey, how did you know me?\So you don't remember.\Huh?\Are you Nonoka?\Yeah. Do you remember?\Of course I do.\We played at the observatory when we were kids.\Huh? response:	What's wrong?
context: So you don't remember.\Huh?\Are you Nonoka?\Yeah. Do you remember?\Of course I do.\We played at the observatory when we were kids.\Huh?\What's wrong? response:	What's in there?
context: Huh?\Are you Nonoka?\Yeah. Do you remember?\Of course I do.\We played at the observatory when we were kids.\Huh?\What's wrong?\What's in there? response:	Want to see?
context: Are you Nonoka?\Yeah. Do you remember?\Of course I do.\We played at the observatory when we were kids.\Huh?\What's wrong?\What's in there?\Want to see? response:	Tada.
context: Yeah. Do you remember?\Of course I do.\We played at the observatory when we were kids.\Huh?\What's wrong?\What's in there?\Want to see?\Tada. response:	What do you think?
context: Of course I do.\We played at the observatory when we were kids.\Huh?\What's wrong?\What's in there?\Want to see?\Tada.\What do you think? response:	Pretty well-built, right?
context: We played at the observatory when we were kids.\Huh?\What's wrong?\What's in there?\Want to see?\Tada.\What do you think?\Pretty well-built, right? response:	Oh, yeah. Let's go launch it at the lake.
context: Huh?\What's wrong?\What's in there?\Want to see?\Tada.\What do you think?\Pretty well-built, right?\Oh, yeah. Let's go launch it at the lake. response:	We've launched it together once.
context: What's wrong?\What's in there?\Want to see?\Tada.\What do you think?\Pretty well-built, right?\Oh, yeah. Let's go launch it at the lake.\We've launched it together once. response:	When we were kids, we gathered at the observatory,
context: What's in there?\Want to see?\Tada.\What do you think?\Pretty well-built, right?\Oh, yeah. Let's go launch it at the lake.\We've launched it together once.\When we were kids, we gathered at the observatory, response:	and called the saucer.
context: Want to see?\Tada.\What do you think?\Pretty well-built, right?\Oh, yeah. Let's go launch it at the lake.\We've launched it together once.\When we were kids, we gathered at the observatory,\and called the saucer. response:	Yeah, I remember that.
context: Tada.\What do you think?\Pretty well-built, right?\Oh, yeah. Let's go launch it at the lake.\We've launched it together once.\When we were kids, we gathered at the observatory,\and called the saucer.\Yeah, I remember that. response:	A saucer actually showed up.
context: What do you think?\Pretty well-built, right?\Oh, yeah. Let's go launch it at the lake.\We've launched it together once.\When we were kids, we gathered at the observatory,\and called the saucer.\Yeah, I remember that.\A saucer actually showed up. response:	What are you talking about?
context: Pretty well-built, right?\Oh, yeah. Let's go launch it at the lake.\We've launched it together once.\When we were kids, we gathered at the observatory,\and called the saucer.\Yeah, I remember that.\A saucer actually showed up.\What are you talking about? response:	A saucer came to the city?
context: Oh, yeah. Let's go launch it at the lake.\We've launched it together once.\When we were kids, we gathered at the observatory,\and called the saucer.\Yeah, I remember that.\A saucer actually showed up.\What are you talking about?\A saucer came to the city? response:	I don't remember you making jokes like that.
context: We've launched it together once.\When we were kids, we gathered at the observatory,\and called the saucer.\Yeah, I remember that.\A saucer actually showed up.\What are you talking about?\A saucer came to the city?\I don't remember you making jokes like that. response:	What's wrong, Nonoka?
context: When we were kids, we gathered at the observatory,\and called the saucer.\Yeah, I remember that.\A saucer actually showed up.\What are you talking about?\A saucer came to the city?\I don't remember you making jokes like that.\What's wrong, Nonoka? response:	Don't you remember even just a little about the saucer? About Noel?
context: and called the saucer.\Yeah, I remember that.\A saucer actually showed up.\What are you talking about?\A saucer came to the city?\I don't remember you making jokes like that.\What's wrong, Nonoka?\Don't you remember even just a little about the saucer? About Noel? response:	Noel?
context: Yeah, I remember that.\A saucer actually showed up.\What are you talking about?\A saucer came to the city?\I don't remember you making jokes like that.\What's wrong, Nonoka?\Don't you remember even just a little about the saucer? About Noel?\Noel? response:	Yeah.
context: A saucer actually showed up.\What are you talking about?\A saucer came to the city?\I don't remember you making jokes like that.\What's wrong, Nonoka?\Don't you remember even just a little about the saucer? About Noel?\Noel?\Yeah. response:	Please, remember.
context: What are you talking about?\A saucer came to the city?\I don't remember you making jokes like that.\What's wrong, Nonoka?\Don't you remember even just a little about the saucer? About Noel?\Noel?\Yeah.\Please, remember. response:	What can I say?
context: A saucer came to the city?\I don't remember you making jokes like that.\What's wrong, Nonoka?\Don't you remember even just a little about the saucer? About Noel?\Noel?\Yeah.\Please, remember.\What can I say? response:	It's important, right?
context: I don't remember you making jokes like that.\What's wrong, Nonoka?\Don't you remember even just a little about the saucer? About Noel?\Noel?\Yeah.\Please, remember.\What can I say?\It's important, right? response:	I'll ask Souta, too.
context: What's wrong, Nonoka?\Don't you remember even just a little about the saucer? About Noel?\Noel?\Yeah.\Please, remember.\What can I say?\It's important, right?\I'll ask Souta, too. response:	Oh, yeah.
context: Don't you remember even just a little about the saucer? About Noel?\Noel?\Yeah.\Please, remember.\What can I say?\It's important, right?\I'll ask Souta, too.\Oh, yeah. response:	Let's exchange contact info.
context: Noel?\Yeah.\Please, remember.\What can I say?\It's important, right?\I'll ask Souta, too.\Oh, yeah.\Let's exchange contact info. response:	Oh, sure.
context: Yeah.\Please, remember.\What can I say?\It's important, right?\I'll ask Souta, too.\Oh, yeah.\Let's exchange contact info.\Oh, sure. response:	Right.
context: Please, remember.\What can I say?\It's important, right?\I'll ask Souta, too.\Oh, yeah.\Let's exchange contact info.\Oh, sure.\Right. response:	Thanks, Yuzuki. I'm leaving now.
context: What can I say?\It's important, right?\I'll ask Souta, too.\Oh, yeah.\Let's exchange contact info.\Oh, sure.\Right.\Thanks, Yuzuki. I'm leaving now. response:	Huh? Where are you going?
context: It's important, right?\I'll ask Souta, too.\Oh, yeah.\Let's exchange contact info.\Oh, sure.\Right.\Thanks, Yuzuki. I'm leaving now.\Huh? Where are you going? response:	To see Shione!
context: I'll ask Souta, too.\Oh, yeah.\Let's exchange contact info.\Oh, sure.\Right.\Thanks, Yuzuki. I'm leaving now.\Huh? Where are you going?\To see Shione! response:	Shione is...
context: Oh, yeah.\Let's exchange contact info.\Oh, sure.\Right.\Thanks, Yuzuki. I'm leaving now.\Huh? Where are you going?\To see Shione!\Shione is... response:	Please.
context: Let's exchange contact info.\Oh, sure.\Right.\Thanks, Yuzuki. I'm leaving now.\Huh? Where are you going?\To see Shione!\Shione is...\Please. response:	Please.
context: Oh, sure.\Right.\Thanks, Yuzuki. I'm leaving now.\Huh? Where are you going?\To see Shione!\Shione is...\Please.\Please. response:	Shione
context: Right.\Thanks, Yuzuki. I'm leaving now.\Huh? Where are you going?\To see Shione!\Shione is...\Please.\Please.\Shione response:	Who is it?
context: Thanks, Yuzuki. I'm leaving now.\Huh? Where are you going?\To see Shione!\Shione is...\Please.\Please.\Shione\Who is it? response:	Um, is there a Togawa Shione here?
context: Huh? Where are you going?\To see Shione!\Shione is...\Please.\Please.\Shione\Who is it?\Um, is there a Togawa Shione here? response:	Sorry, there's no one by that name living here.
context: To see Shione!\Shione is...\Please.\Please.\Shione\Who is it?\Um, is there a Togawa Shione here?\Sorry, there's no one by that name living here. response:	I-I see.
context: Shione is...\Please.\Please.\Shione\Who is it?\Um, is there a Togawa Shione here?\Sorry, there's no one by that name living here.\I-I see. response:	Sorry about that.
context: Please.\Please.\Shione\Who is it?\Um, is there a Togawa Shione here?\Sorry, there's no one by that name living here.\I-I see.\Sorry about that. response:	Why?
context: Please.\Shione\Who is it?\Um, is there a Togawa Shione here?\Sorry, there's no one by that name living here.\I-I see.\Sorry about that.\Why? response:	Shione, where are you?
context: Shione\Who is it?\Um, is there a Togawa Shione here?\Sorry, there's no one by that name living here.\I-I see.\Sorry about that.\Why?\Shione, where are you? response:	Why doesn't anyone know about the saucer?
context: Who is it?\Um, is there a Togawa Shione here?\Sorry, there's no one by that name living here.\I-I see.\Sorry about that.\Why?\Shione, where are you?\Why doesn't anyone know about the saucer? response:	Yuuko. Where were you?
context: Um, is there a Togawa Shione here?\Sorry, there's no one by that name living here.\I-I see.\Sorry about that.\Why?\Shione, where are you?\Why doesn't anyone know about the saucer?\Yuuko. Where were you? response:	Noel.
context: Sorry, there's no one by that name living here.\I-I see.\Sorry about that.\Why?\Shione, where are you?\Why doesn't anyone know about the saucer?\Yuuko. Where were you?\Noel. response:	This can't be right.
context: I-I see.\Sorry about that.\Why?\Shione, where are you?\Why doesn't anyone know about the saucer?\Yuuko. Where were you?\Noel.\This can't be right. response:	I remember Noel, though.
context: Sorry about that.\Why?\Shione, where are you?\Why doesn't anyone know about the saucer?\Yuuko. Where were you?\Noel.\This can't be right.\I remember Noel, though. response:	Nonoka.
context: Why?\Shione, where are you?\Why doesn't anyone know about the saucer?\Yuuko. Where were you?\Noel.\This can't be right.\I remember Noel, though.\Nonoka. response:	Dad.
context: Shione, where are you?\Why doesn't anyone know about the saucer?\Yuuko. Where were you?\Noel.\This can't be right.\I remember Noel, though.\Nonoka.\Dad. response:	Don't worry me so much.
context: Why doesn't anyone know about the saucer?\Yuuko. Where were you?\Noel.\This can't be right.\I remember Noel, though.\Nonoka.\Dad.\Don't worry me so much. response:	Sorry.
context: Yuuko. Where were you?\Noel.\This can't be right.\I remember Noel, though.\Nonoka.\Dad.\Don't worry me so much.\Sorry. response:	I moved all our boxes inside.
context: Noel.\This can't be right.\I remember Noel, though.\Nonoka.\Dad.\Don't worry me so much.\Sorry.\I moved all our boxes inside. response:	We'll have a lot of cleaning up to do tomorrow.
context: This can't be right.\I remember Noel, though.\Nonoka.\Dad.\Don't worry me so much.\Sorry.\I moved all our boxes inside.\We'll have a lot of cleaning up to do tomorrow. response:	Okay.
context: I remember Noel, though.\Nonoka.\Dad.\Don't worry me so much.\Sorry.\I moved all our boxes inside.\We'll have a lot of cleaning up to do tomorrow.\Okay. response:	Is the saucer gone?
context: Nonoka.\Dad.\Don't worry me so much.\Sorry.\I moved all our boxes inside.\We'll have a lot of cleaning up to do tomorrow.\Okay.\Is the saucer gone? response:	Or did it never come to begin with?
context: Dad.\Don't worry me so much.\Sorry.\I moved all our boxes inside.\We'll have a lot of cleaning up to do tomorrow.\Okay.\Is the saucer gone?\Or did it never come to begin with? response:	I can't just let this be.
context: Don't worry me so much.\Sorry.\I moved all our boxes inside.\We'll have a lot of cleaning up to do tomorrow.\Okay.\Is the saucer gone?\Or did it never come to begin with?\I can't just let this be. response:	Back there, Noel was
context: Sorry.\I moved all our boxes inside.\We'll have a lot of cleaning up to do tomorrow.\Okay.\Is the saucer gone?\Or did it never come to begin with?\I can't just let this be.\Back there, Noel was response:	crying.
context: I moved all our boxes inside.\We'll have a lot of cleaning up to do tomorrow.\Okay.\Is the saucer gone?\Or did it never come to begin with?\I can't just let this be.\Back there, Noel was\crying. response:	Two eggs, yolks still runny.
context: We'll have a lot of cleaning up to do tomorrow.\Okay.\Is the saucer gone?\Or did it never come to begin with?\I can't just let this be.\Back there, Noel was\crying.\Two eggs, yolks still runny. response:	Yeah.
context: Okay.\Is the saucer gone?\Or did it never come to begin with?\I can't just let this be.\Back there, Noel was\crying.\Two eggs, yolks still runny.\Yeah. response:	Our next story.
context: Is the saucer gone?\Or did it never come to begin with?\I can't just let this be.\Back there, Noel was\crying.\Two eggs, yolks still runny.\Yeah.\Our next story. response:	A new hotspot has shown up in Hokubi City.
context: Or did it never come to begin with?\I can't just let this be.\Back there, Noel was\crying.\Two eggs, yolks still runny.\Yeah.\Our next story.\A new hotspot has shown up in Hokubi City. response:	I'm leaving.
context: I can't just let this be.\Back there, Noel was\crying.\Two eggs, yolks still runny.\Yeah.\Our next story.\A new hotspot has shown up in Hokubi City.\I'm leaving. response:	Oh, the opening ceremony.
context: Back there, Noel was\crying.\Two eggs, yolks still runny.\Yeah.\Our next story.\A new hotspot has shown up in Hokubi City.\I'm leaving.\Oh, the opening ceremony. response:	Morning.
context: crying.\Two eggs, yolks still runny.\Yeah.\Our next story.\A new hotspot has shown up in Hokubi City.\I'm leaving.\Oh, the opening ceremony.\Morning. response:	Maeyama Observatory
