context: Are you ok? response:	Yeah' I'm just a little sleepy'
context: and come home.\I'll come home as soon as possible too.\Geez,\things start happening again, don't they'\Your brother noticed me after all!\On top of that, he's mad at me!!\Hey, Sakura.\You're just playing sleepy, aren't you? response:	Hey, Sakura!
context: I'll come home as soon as possible too.\Geez,\things start happening again, don't they'\Your brother noticed me after all!\On top of that, he's mad at me!!\Hey, Sakura.\You're just playing sleepy, aren't you?\Hey, Sakura! response:	I can't open my eyes at all'
context: Geez,\things start happening again, don't they'\Your brother noticed me after all!\On top of that, he's mad at me!!\Hey, Sakura.\You're just playing sleepy, aren't you?\Hey, Sakura!\I can't open my eyes at all' response:	Sakura is absent today.
context: things start happening again, don't they'\Your brother noticed me after all!\On top of that, he's mad at me!!\Hey, Sakura.\You're just playing sleepy, aren't you?\Hey, Sakura!\I can't open my eyes at all'\Sakura is absent today. response:	I wonder what's wrong.
context: Your brother noticed me after all!\On top of that, he's mad at me!!\Hey, Sakura.\You're just playing sleepy, aren't you?\Hey, Sakura!\I can't open my eyes at all'\Sakura is absent today.\I wonder what's wrong. response:	Li,
context: On top of that, he's mad at me!!\Hey, Sakura.\You're just playing sleepy, aren't you?\Hey, Sakura!\I can't open my eyes at all'\Sakura is absent today.\I wonder what's wrong.\Li, response:	would you like to go visit Sakura
context: Hey, Sakura.\You're just playing sleepy, aren't you?\Hey, Sakura!\I can't open my eyes at all'\Sakura is absent today.\I wonder what's wrong.\Li,\would you like to go visit Sakura response:	at home today
context: You're just playing sleepy, aren't you?\Hey, Sakura!\I can't open my eyes at all'\Sakura is absent today.\I wonder what's wrong.\Li,\would you like to go visit Sakura\at home today response:	Wh' Why me?
context: Hey, Sakura!\I can't open my eyes at all'\Sakura is absent today.\I wonder what's wrong.\Li,\would you like to go visit Sakura\at home today\Wh' Why me? response:	I'm sure Sakura will be happy.
context: I can't open my eyes at all'\Sakura is absent today.\I wonder what's wrong.\Li,\would you like to go visit Sakura\at home today\Wh' Why me?\I'm sure Sakura will be happy. response:	You're good at this, Hiiragizawa.
context: Sakura is absent today.\I wonder what's wrong.\Li,\would you like to go visit Sakura\at home today\Wh' Why me?\I'm sure Sakura will be happy.\You're good at this, Hiiragizawa. response:	Really.
context: I wonder what's wrong.\Li,\would you like to go visit Sakura\at home today\Wh' Why me?\I'm sure Sakura will be happy.\You're good at this, Hiiragizawa.\Really. response:	Awesome, Hiiragizawa.
context: Li,\would you like to go visit Sakura\at home today\Wh' Why me?\I'm sure Sakura will be happy.\You're good at this, Hiiragizawa.\Really.\Awesome, Hiiragizawa. response:	I am used to making these.
context: would you like to go visit Sakura\at home today\Wh' Why me?\I'm sure Sakura will be happy.\You're good at this, Hiiragizawa.\Really.\Awesome, Hiiragizawa.\I am used to making these. response:	' Do you make them often at home?' Yes.
context: at home today\Wh' Why me?\I'm sure Sakura will be happy.\You're good at this, Hiiragizawa.\Really.\Awesome, Hiiragizawa.\I am used to making these.\' Do you make them often at home?' Yes. response:	How many people are in your family?
context: Wh' Why me?\I'm sure Sakura will be happy.\You're good at this, Hiiragizawa.\Really.\Awesome, Hiiragizawa.\I am used to making these.\' Do you make them often at home?' Yes.\How many people are in your family? response:	Two. No,
context: I'm sure Sakura will be happy.\You're good at this, Hiiragizawa.\Really.\Awesome, Hiiragizawa.\I am used to making these.\' Do you make them often at home?' Yes.\How many people are in your family?\Two. No, response:	three people
context: You're good at this, Hiiragizawa.\Really.\Awesome, Hiiragizawa.\I am used to making these.\' Do you make them often at home?' Yes.\How many people are in your family?\Two. No,\three people response:	Oh, I see'
context: Really.\Awesome, Hiiragizawa.\I am used to making these.\' Do you make them often at home?' Yes.\How many people are in your family?\Two. No,\three people\Oh, I see' response:	I wonder if Sakura's doing okay'
context: Awesome, Hiiragizawa.\I am used to making these.\' Do you make them often at home?' Yes.\How many people are in your family?\Two. No,\three people\Oh, I see'\I wonder if Sakura's doing okay' response:	Sorry to keep you waiting
context: I am used to making these.\' Do you make them often at home?' Yes.\How many people are in your family?\Two. No,\three people\Oh, I see'\I wonder if Sakura's doing okay'\Sorry to keep you waiting response:	The store was so crowded, so it took a little longer.
context: ' Do you make them often at home?' Yes.\How many people are in your family?\Two. No,\three people\Oh, I see'\I wonder if Sakura's doing okay'\Sorry to keep you waiting\The store was so crowded, so it took a little longer. response:	Let's eat.
context: How many people are in your family?\Two. No,\three people\Oh, I see'\I wonder if Sakura's doing okay'\Sorry to keep you waiting\The store was so crowded, so it took a little longer.\Let's eat. response:	Are n't you eating a lot more than usual?
context: Two. No,\three people\Oh, I see'\I wonder if Sakura's doing okay'\Sorry to keep you waiting\The store was so crowded, so it took a little longer.\Let's eat.\Are n't you eating a lot more than usual? response:	I'm just more hungry than usual.
context: three people\Oh, I see'\I wonder if Sakura's doing okay'\Sorry to keep you waiting\The store was so crowded, so it took a little longer.\Let's eat.\Are n't you eating a lot more than usual?\I'm just more hungry than usual. response:	Even though I ate five times more than normal for breakfast.
context: Oh, I see'\I wonder if Sakura's doing okay'\Sorry to keep you waiting\The store was so crowded, so it took a little longer.\Let's eat.\Are n't you eating a lot more than usual?\I'm just more hungry than usual.\Even though I ate five times more than normal for breakfast. response:	Yuki'
context: I wonder if Sakura's doing okay'\Sorry to keep you waiting\The store was so crowded, so it took a little longer.\Let's eat.\Are n't you eating a lot more than usual?\I'm just more hungry than usual.\Even though I ate five times more than normal for breakfast.\Yuki' response:	I think you don't realize, so let me tell you'
context: Sorry to keep you waiting\The store was so crowded, so it took a little longer.\Let's eat.\Are n't you eating a lot more than usual?\I'm just more hungry than usual.\Even though I ate five times more than normal for breakfast.\Yuki'\I think you don't realize, so let me tell you' response:	About you, I'
context: The store was so crowded, so it took a little longer.\Let's eat.\Are n't you eating a lot more than usual?\I'm just more hungry than usual.\Even though I ate five times more than normal for breakfast.\Yuki'\I think you don't realize, so let me tell you'\About you, I' response:	I jump!
context: Let's eat.\Are n't you eating a lot more than usual?\I'm just more hungry than usual.\Even though I ate five times more than normal for breakfast.\Yuki'\I think you don't realize, so let me tell you'\About you, I'\I jump! response:	Nakuru's awesome!
context: Are n't you eating a lot more than usual?\I'm just more hungry than usual.\Even though I ate five times more than normal for breakfast.\Yuki'\I think you don't realize, so let me tell you'\About you, I'\I jump!\Nakuru's awesome! response:	That's so cool!
context: I'm just more hungry than usual.\Even though I ate five times more than normal for breakfast.\Yuki'\I think you don't realize, so let me tell you'\About you, I'\I jump!\Nakuru's awesome!\That's so cool! response:	Challenging the basketball team,
context: Even though I ate five times more than normal for breakfast.\Yuki'\I think you don't realize, so let me tell you'\About you, I'\I jump!\Nakuru's awesome!\That's so cool!\Challenging the basketball team, response:	that's awesome!
context: Yuki'\I think you don't realize, so let me tell you'\About you, I'\I jump!\Nakuru's awesome!\That's so cool!\Challenging the basketball team,\that's awesome! response:	She look like Tsukishiro!
context: I think you don't realize, so let me tell you'\About you, I'\I jump!\Nakuru's awesome!\That's so cool!\Challenging the basketball team,\that's awesome!\She look like Tsukishiro! response:	Touya!!
context: About you, I'\I jump!\Nakuru's awesome!\That's so cool!\Challenging the basketball team,\that's awesome!\She look like Tsukishiro!\Touya!! response:	Did you see me?
context: I jump!\Nakuru's awesome!\That's so cool!\Challenging the basketball team,\that's awesome!\She look like Tsukishiro!\Touya!!\Did you see me? response:	Akizuki is awesome.
context: Nakuru's awesome!\That's so cool!\Challenging the basketball team,\that's awesome!\She look like Tsukishiro!\Touya!!\Did you see me?\Akizuki is awesome. response:	But she isn't in any school clubs.
context: That's so cool!\Challenging the basketball team,\that's awesome!\She look like Tsukishiro!\Touya!!\Did you see me?\Akizuki is awesome.\But she isn't in any school clubs. response:	She's like you.
context: Challenging the basketball team,\that's awesome!\She look like Tsukishiro!\Touya!!\Did you see me?\Akizuki is awesome.\But she isn't in any school clubs.\She's like you. response:	You mean not being in any school clubs?
context: that's awesome!\She look like Tsukishiro!\Touya!!\Did you see me?\Akizuki is awesome.\But she isn't in any school clubs.\She's like you.\You mean not being in any school clubs? response:	Not only that'
context: She look like Tsukishiro!\Touya!!\Did you see me?\Akizuki is awesome.\But she isn't in any school clubs.\She's like you.\You mean not being in any school clubs?\Not only that' response:	' I slept well!' You sure did'
context: Touya!!\Did you see me?\Akizuki is awesome.\But she isn't in any school clubs.\She's like you.\You mean not being in any school clubs?\Not only that'\' I slept well!' You sure did' response:	3 o'clock already?!
context: Did you see me?\Akizuki is awesome.\But she isn't in any school clubs.\She's like you.\You mean not being in any school clubs?\Not only that'\' I slept well!' You sure did'\3 o'clock already?! response:	Tomoyo! Li!
context: Akizuki is awesome.\But she isn't in any school clubs.\She's like you.\You mean not being in any school clubs?\Not only that'\' I slept well!' You sure did'\3 o'clock already?!\Tomoyo! Li! response:	Sakura!
context: But she isn't in any school clubs.\She's like you.\You mean not being in any school clubs?\Not only that'\' I slept well!' You sure did'\3 o'clock already?!\Tomoyo! Li!\Sakura! response:	How're you feeling?
context: She's like you.\You mean not being in any school clubs?\Not only that'\' I slept well!' You sure did'\3 o'clock already?!\Tomoyo! Li!\Sakura!\How're you feeling? response:	I'm totally fine!
context: You mean not being in any school clubs?\Not only that'\' I slept well!' You sure did'\3 o'clock already?!\Tomoyo! Li!\Sakura!\How're you feeling?\I'm totally fine! response:	Just a little sleepy.
context: Not only that'\' I slept well!' You sure did'\3 o'clock already?!\Tomoyo! Li!\Sakura!\How're you feeling?\I'm totally fine!\Just a little sleepy. response:	That's right, she slept like a pig.
context: ' I slept well!' You sure did'\3 o'clock already?!\Tomoyo! Li!\Sakura!\How're you feeling?\I'm totally fine!\Just a little sleepy.\That's right, she slept like a pig. response:	Kero.
context: 3 o'clock already?!\Tomoyo! Li!\Sakura!\How're you feeling?\I'm totally fine!\Just a little sleepy.\That's right, she slept like a pig.\Kero. response:	Oh right, we made these in home economics lesson today.
context: Tomoyo! Li!\Sakura!\How're you feeling?\I'm totally fine!\Just a little sleepy.\That's right, she slept like a pig.\Kero.\Oh right, we made these in home economics lesson today. response:	The cakes look good!
context: Sakura!\How're you feeling?\I'm totally fine!\Just a little sleepy.\That's right, she slept like a pig.\Kero.\Oh right, we made these in home economics lesson today.\The cakes look good! response:	I made this one,
context: How're you feeling?\I'm totally fine!\Just a little sleepy.\That's right, she slept like a pig.\Kero.\Oh right, we made these in home economics lesson today.\The cakes look good!\I made this one, response:	Li made the others.
context: I'm totally fine!\Just a little sleepy.\That's right, she slept like a pig.\Kero.\Oh right, we made these in home economics lesson today.\The cakes look good!\I made this one,\Li made the others. response:	Thanks'
context: Just a little sleepy.\That's right, she slept like a pig.\Kero.\Oh right, we made these in home economics lesson today.\The cakes look good!\I made this one,\Li made the others.\Thanks' response:	The one the brat made
context: That's right, she slept like a pig.\Kero.\Oh right, we made these in home economics lesson today.\The cakes look good!\I made this one,\Li made the others.\Thanks'\The one the brat made response:	is just okay.
context: Kero.\Oh right, we made these in home economics lesson today.\The cakes look good!\I made this one,\Li made the others.\Thanks'\The one the brat made\is just okay. response:	What did you say?!
context: Oh right, we made these in home economics lesson today.\The cakes look good!\I made this one,\Li made the others.\Thanks'\The one the brat made\is just okay.\What did you say?! response:	Bring it on anytime!
context: The cakes look good!\I made this one,\Li made the others.\Thanks'\The one the brat made\is just okay.\What did you say?!\Bring it on anytime! response:	Take it easy.
context: I made this one,\Li made the others.\Thanks'\The one the brat made\is just okay.\What did you say?!\Bring it on anytime!\Take it easy. response:	So, the Key
context: Li made the others.\Thanks'\The one the brat made\is just okay.\What did you say?!\Bring it on anytime!\Take it easy.\So, the Key response:	wouldn't transform
context: Thanks'\The one the brat made\is just okay.\What did you say?!\Bring it on anytime!\Take it easy.\So, the Key\wouldn't transform response:	unless you used a new spell?
context: The one the brat made\is just okay.\What did you say?!\Bring it on anytime!\Take it easy.\So, the Key\wouldn't transform\unless you used a new spell? response:	But why were you so sleepy today
context: is just okay.\What did you say?!\Bring it on anytime!\Take it easy.\So, the Key\wouldn't transform\unless you used a new spell?\But why were you so sleepy today response:	that you couldn't not even get up?
context: What did you say?!\Bring it on anytime!\Take it easy.\So, the Key\wouldn't transform\unless you used a new spell?\But why were you so sleepy today\that you couldn't not even get up? response:	Like the wand, the cards have to take a new form.
context: Bring it on anytime!\Take it easy.\So, the Key\wouldn't transform\unless you used a new spell?\But why were you so sleepy today\that you couldn't not even get up?\Like the wand, the cards have to take a new form. response:	Yesterday, when Sakura used her magic,
context: Take it easy.\So, the Key\wouldn't transform\unless you used a new spell?\But why were you so sleepy today\that you couldn't not even get up?\Like the wand, the cards have to take a new form.\Yesterday, when Sakura used her magic, response:	a new magic formation appeared that is different from Clow's'
context: So, the Key\wouldn't transform\unless you used a new spell?\But why were you so sleepy today\that you couldn't not even get up?\Like the wand, the cards have to take a new form.\Yesterday, when Sakura used her magic,\a new magic formation appeared that is different from Clow's' response:	Look.
context: wouldn't transform\unless you used a new spell?\But why were you so sleepy today\that you couldn't not even get up?\Like the wand, the cards have to take a new form.\Yesterday, when Sakura used her magic,\a new magic formation appeared that is different from Clow's'\Look. response:	Only the card Firey has changed, Right?
context: unless you used a new spell?\But why were you so sleepy today\that you couldn't not even get up?\Like the wand, the cards have to take a new form.\Yesterday, when Sakura used her magic,\a new magic formation appeared that is different from Clow's'\Look.\Only the card Firey has changed, Right? response:	The back of the card is different too.
context: But why were you so sleepy today\that you couldn't not even get up?\Like the wand, the cards have to take a new form.\Yesterday, when Sakura used her magic,\a new magic formation appeared that is different from Clow's'\Look.\Only the card Firey has changed, Right?\The back of the card is different too. response:	The key transferred into the wand, but it wouldn't work on the card.
context: that you couldn't not even get up?\Like the wand, the cards have to take a new form.\Yesterday, when Sakura used her magic,\a new magic formation appeared that is different from Clow's'\Look.\Only the card Firey has changed, Right?\The back of the card is different too.\The key transferred into the wand, but it wouldn't work on the card. response:	And so I thought, maybe the card had to be changed too'
context: Like the wand, the cards have to take a new form.\Yesterday, when Sakura used her magic,\a new magic formation appeared that is different from Clow's'\Look.\Only the card Firey has changed, Right?\The back of the card is different too.\The key transferred into the wand, but it wouldn't work on the card.\And so I thought, maybe the card had to be changed too' response:	You changed it with your own power?
context: Yesterday, when Sakura used her magic,\a new magic formation appeared that is different from Clow's'\Look.\Only the card Firey has changed, Right?\The back of the card is different too.\The key transferred into the wand, but it wouldn't work on the card.\And so I thought, maybe the card had to be changed too'\You changed it with your own power? response:	I don't know'
context: a new magic formation appeared that is different from Clow's'\Look.\Only the card Firey has changed, Right?\The back of the card is different too.\The key transferred into the wand, but it wouldn't work on the card.\And so I thought, maybe the card had to be changed too'\You changed it with your own power?\I don't know' response:	No, Sakura herself created this Firey Card
context: Look.\Only the card Firey has changed, Right?\The back of the card is different too.\The key transferred into the wand, but it wouldn't work on the card.\And so I thought, maybe the card had to be changed too'\You changed it with your own power?\I don't know'\No, Sakura herself created this Firey Card response:	from the Clow Card
context: Only the card Firey has changed, Right?\The back of the card is different too.\The key transferred into the wand, but it wouldn't work on the card.\And so I thought, maybe the card had to be changed too'\You changed it with your own power?\I don't know'\No, Sakura herself created this Firey Card\from the Clow Card response:	A card that I created by myself'
context: The back of the card is different too.\The key transferred into the wand, but it wouldn't work on the card.\And so I thought, maybe the card had to be changed too'\You changed it with your own power?\I don't know'\No, Sakura herself created this Firey Card\from the Clow Card\A card that I created by myself' response:	Then, this is no longer a Clow Card,
context: The key transferred into the wand, but it wouldn't work on the card.\And so I thought, maybe the card had to be changed too'\You changed it with your own power?\I don't know'\No, Sakura herself created this Firey Card\from the Clow Card\A card that I created by myself'\Then, this is no longer a Clow Card, response:	But a Sakura-chan Card
context: And so I thought, maybe the card had to be changed too'\You changed it with your own power?\I don't know'\No, Sakura herself created this Firey Card\from the Clow Card\A card that I created by myself'\Then, this is no longer a Clow Card,\But a Sakura-chan Card response:	created by Sakura-chan, isn't it?
context: You changed it with your own power?\I don't know'\No, Sakura herself created this Firey Card\from the Clow Card\A card that I created by myself'\Then, this is no longer a Clow Card,\But a Sakura-chan Card\created by Sakura-chan, isn't it? response:	Fighting against something even more powerful
context: I don't know'\No, Sakura herself created this Firey Card\from the Clow Card\A card that I created by myself'\Then, this is no longer a Clow Card,\But a Sakura-chan Card\created by Sakura-chan, isn't it?\Fighting against something even more powerful response:	with her own Sakura-chan Card'
context: No, Sakura herself created this Firey Card\from the Clow Card\A card that I created by myself'\Then, this is no longer a Clow Card,\But a Sakura-chan Card\created by Sakura-chan, isn't it?\Fighting against something even more powerful\with her own Sakura-chan Card' response:	That's splendid!
context: from the Clow Card\A card that I created by myself'\Then, this is no longer a Clow Card,\But a Sakura-chan Card\created by Sakura-chan, isn't it?\Fighting against something even more powerful\with her own Sakura-chan Card'\That's splendid! response:	Calling it Sakura-chan Card is a bit'
context: A card that I created by myself'\Then, this is no longer a Clow Card,\But a Sakura-chan Card\created by Sakura-chan, isn't it?\Fighting against something even more powerful\with her own Sakura-chan Card'\That's splendid!\Calling it Sakura-chan Card is a bit' response:	Then how about'Sakura Card'?
context: Then, this is no longer a Clow Card,\But a Sakura-chan Card\created by Sakura-chan, isn't it?\Fighting against something even more powerful\with her own Sakura-chan Card'\That's splendid!\Calling it Sakura-chan Card is a bit'\Then how about'Sakura Card'? response:	That too'
context: But a Sakura-chan Card\created by Sakura-chan, isn't it?\Fighting against something even more powerful\with her own Sakura-chan Card'\That's splendid!\Calling it Sakura-chan Card is a bit'\Then how about'Sakura Card'?\That too' response:	Then being sleepy'
context: created by Sakura-chan, isn't it?\Fighting against something even more powerful\with her own Sakura-chan Card'\That's splendid!\Calling it Sakura-chan Card is a bit'\Then how about'Sakura Card'?\That too'\Then being sleepy' response:	Up until now,
context: Fighting against something even more powerful\with her own Sakura-chan Card'\That's splendid!\Calling it Sakura-chan Card is a bit'\Then how about'Sakura Card'?\That too'\Then being sleepy'\Up until now, response:	she's been using Clow Cards that were created by Clow,
context: with her own Sakura-chan Card'\That's splendid!\Calling it Sakura-chan Card is a bit'\Then how about'Sakura Card'?\That too'\Then being sleepy'\Up until now,\she's been using Clow Cards that were created by Clow, response:	Of course, Magic Powers are needed from the person who use them'
context: That's splendid!\Calling it Sakura-chan Card is a bit'\Then how about'Sakura Card'?\That too'\Then being sleepy'\Up until now,\she's been using Clow Cards that were created by Clow,\Of course, Magic Powers are needed from the person who use them' response:	But other than that, Clow's powers residing in the cards
context: Calling it Sakura-chan Card is a bit'\Then how about'Sakura Card'?\That too'\Then being sleepy'\Up until now,\she's been using Clow Cards that were created by Clow,\Of course, Magic Powers are needed from the person who use them'\But other than that, Clow's powers residing in the cards response:	were the source of magic. so it wouldn't be nearly as tiring.
context: Then how about'Sakura Card'?\That too'\Then being sleepy'\Up until now,\she's been using Clow Cards that were created by Clow,\Of course, Magic Powers are needed from the person who use them'\But other than that, Clow's powers residing in the cards\were the source of magic. so it wouldn't be nearly as tiring. response:	But the new card
context: That too'\Then being sleepy'\Up until now,\she's been using Clow Cards that were created by Clow,\Of course, Magic Powers are needed from the person who use them'\But other than that, Clow's powers residing in the cards\were the source of magic. so it wouldn't be nearly as tiring.\But the new card response:	was created by Sakura's own magic.
context: Then being sleepy'\Up until now,\she's been using Clow Cards that were created by Clow,\Of course, Magic Powers are needed from the person who use them'\But other than that, Clow's powers residing in the cards\were the source of magic. so it wouldn't be nearly as tiring.\But the new card\was created by Sakura's own magic. response:	That's different.
context: Up until now,\she's been using Clow Cards that were created by Clow,\Of course, Magic Powers are needed from the person who use them'\But other than that, Clow's powers residing in the cards\were the source of magic. so it wouldn't be nearly as tiring.\But the new card\was created by Sakura's own magic.\That's different. response:	And so I became really sleepy.
context: she's been using Clow Cards that were created by Clow,\Of course, Magic Powers are needed from the person who use them'\But other than that, Clow's powers residing in the cards\were the source of magic. so it wouldn't be nearly as tiring.\But the new card\was created by Sakura's own magic.\That's different.\And so I became really sleepy. response:	Last night when you were caught in danger,
context: Of course, Magic Powers are needed from the person who use them'\But other than that, Clow's powers residing in the cards\were the source of magic. so it wouldn't be nearly as tiring.\But the new card\was created by Sakura's own magic.\That's different.\And so I became really sleepy.\Last night when you were caught in danger, response:	neither Yue or I were able to do anything.
context: But other than that, Clow's powers residing in the cards\were the source of magic. so it wouldn't be nearly as tiring.\But the new card\was created by Sakura's own magic.\That's different.\And so I became really sleepy.\Last night when you were caught in danger,\neither Yue or I were able to do anything. response:	Don't worry about it. I'm okay now.
context: were the source of magic. so it wouldn't be nearly as tiring.\But the new card\was created by Sakura's own magic.\That's different.\And so I became really sleepy.\Last night when you were caught in danger,\neither Yue or I were able to do anything.\Don't worry about it. I'm okay now. response:	No, this isn't something. I just don't worry about.
context: But the new card\was created by Sakura's own magic.\That's different.\And so I became really sleepy.\Last night when you were caught in danger,\neither Yue or I were able to do anything.\Don't worry about it. I'm okay now.\No, this isn't something. I just don't worry about. response:	I wouldn't worry about it if we were in our false shapes,
context: was created by Sakura's own magic.\That's different.\And so I became really sleepy.\Last night when you were caught in danger,\neither Yue or I were able to do anything.\Don't worry about it. I'm okay now.\No, this isn't something. I just don't worry about.\I wouldn't worry about it if we were in our false shapes, response:	but both of us were in our true forms.
context: That's different.\And so I became really sleepy.\Last night when you were caught in danger,\neither Yue or I were able to do anything.\Don't worry about it. I'm okay now.\No, this isn't something. I just don't worry about.\I wouldn't worry about it if we were in our false shapes,\but both of us were in our true forms. response:	You were in your true forms?!
context: And so I became really sleepy.\Last night when you were caught in danger,\neither Yue or I were able to do anything.\Don't worry about it. I'm okay now.\No, this isn't something. I just don't worry about.\I wouldn't worry about it if we were in our false shapes,\but both of us were in our true forms.\You were in your true forms?! response:	The only people who can freeze both Yue and I'
context: Last night when you were caught in danger,\neither Yue or I were able to do anything.\Don't worry about it. I'm okay now.\No, this isn't something. I just don't worry about.\I wouldn't worry about it if we were in our false shapes,\but both of us were in our true forms.\You were in your true forms?!\The only people who can freeze both Yue and I' response:	' are Sakura, who is the current Mistress of the cards, and'
context: neither Yue or I were able to do anything.\Don't worry about it. I'm okay now.\No, this isn't something. I just don't worry about.\I wouldn't worry about it if we were in our false shapes,\but both of us were in our true forms.\You were in your true forms?!\The only people who can freeze both Yue and I'\' are Sakura, who is the current Mistress of the cards, and' response:	'Clow Reed.
context: Don't worry about it. I'm okay now.\No, this isn't something. I just don't worry about.\I wouldn't worry about it if we were in our false shapes,\but both of us were in our true forms.\You were in your true forms?!\The only people who can freeze both Yue and I'\' are Sakura, who is the current Mistress of the cards, and'\'Clow Reed. response:	Miss Kaho,
context: No, this isn't something. I just don't worry about.\I wouldn't worry about it if we were in our false shapes,\but both of us were in our true forms.\You were in your true forms?!\The only people who can freeze both Yue and I'\' are Sakura, who is the current Mistress of the cards, and'\'Clow Reed.\Miss Kaho, response:	a mysterious event happened again.
context: I wouldn't worry about it if we were in our false shapes,\but both of us were in our true forms.\You were in your true forms?!\The only people who can freeze both Yue and I'\' are Sakura, who is the current Mistress of the cards, and'\'Clow Reed.\Miss Kaho,\a mysterious event happened again. response:	Somehow, I now have the star wand and a new card,
context: but both of us were in our true forms.\You were in your true forms?!\The only people who can freeze both Yue and I'\' are Sakura, who is the current Mistress of the cards, and'\'Clow Reed.\Miss Kaho,\a mysterious event happened again.\Somehow, I now have the star wand and a new card, response:	Oh, a new card
context: You were in your true forms?!\The only people who can freeze both Yue and I'\' are Sakura, who is the current Mistress of the cards, and'\'Clow Reed.\Miss Kaho,\a mysterious event happened again.\Somehow, I now have the star wand and a new card,\Oh, a new card response:	being one that
context: The only people who can freeze both Yue and I'\' are Sakura, who is the current Mistress of the cards, and'\'Clow Reed.\Miss Kaho,\a mysterious event happened again.\Somehow, I now have the star wand and a new card,\Oh, a new card\being one that response:	was created from a Clow Card
context: ' are Sakura, who is the current Mistress of the cards, and'\'Clow Reed.\Miss Kaho,\a mysterious event happened again.\Somehow, I now have the star wand and a new card,\Oh, a new card\being one that\was created from a Clow Card response:	That was what Kero said.
context: 'Clow Reed.\Miss Kaho,\a mysterious event happened again.\Somehow, I now have the star wand and a new card,\Oh, a new card\being one that\was created from a Clow Card\That was what Kero said. response:	But at that time,
context: Miss Kaho,\a mysterious event happened again.\Somehow, I now have the star wand and a new card,\Oh, a new card\being one that\was created from a Clow Card\That was what Kero said.\But at that time, response:	neither Yue or Kero were able to move.
context: a mysterious event happened again.\Somehow, I now have the star wand and a new card,\Oh, a new card\being one that\was created from a Clow Card\That was what Kero said.\But at that time,\neither Yue or Kero were able to move. response:	And the only one who could do
context: Somehow, I now have the star wand and a new card,\Oh, a new card\being one that\was created from a Clow Card\That was what Kero said.\But at that time,\neither Yue or Kero were able to move.\And the only one who could do response:	such a thing to them was Clow,
context: Oh, a new card\being one that\was created from a Clow Card\That was what Kero said.\But at that time,\neither Yue or Kero were able to move.\And the only one who could do\such a thing to them was Clow, response:	Kero said.
context: being one that\was created from a Clow Card\That was what Kero said.\But at that time,\neither Yue or Kero were able to move.\And the only one who could do\such a thing to them was Clow,\Kero said. response:	But'
context: was created from a Clow Card\That was what Kero said.\But at that time,\neither Yue or Kero were able to move.\And the only one who could do\such a thing to them was Clow,\Kero said.\But' response:	Kero-san'
context: That was what Kero said.\But at that time,\neither Yue or Kero were able to move.\And the only one who could do\such a thing to them was Clow,\Kero said.\But'\Kero-san' response:	But Clow has passed away a long time ago.
