context: Reflection Room 1 response:	They finally let us go...
context: Let's take him down with sex appeal!\What kind of sex appeal do you have?\What was that? Have you seen these?\I can tell just from your shirt.\You think that's the same as touching them?\Their absolutely exquisite form?\How the hell should I know?!\How shallow - minded. response:	So, how should we proceed from here?
context: What kind of sex appeal do you have?\What was that? Have you seen these?\I can tell just from your shirt.\You think that's the same as touching them?\Their absolutely exquisite form?\How the hell should I know?!\How shallow - minded.\So, how should we proceed from here? response:	Anti - Angel Operations Headquarters
context: What was that? Have you seen these?\I can tell just from your shirt.\You think that's the same as touching them?\Their absolutely exquisite form?\How the hell should I know?!\How shallow - minded.\So, how should we proceed from here?\Anti - Angel Operations Headquarters response:	Time to decide, huh.
context: I can tell just from your shirt.\You think that's the same as touching them?\Their absolutely exquisite form?\How the hell should I know?!\How shallow - minded.\So, how should we proceed from here?\Anti - Angel Operations Headquarters\Time to decide, huh. response:	We'll experiment a little.
context: You think that's the same as touching them?\Their absolutely exquisite form?\How the hell should I know?!\How shallow - minded.\So, how should we proceed from here?\Anti - Angel Operations Headquarters\Time to decide, huh.\We'll experiment a little. response:	For now, attend classes and do whatever you want during them.
context: Their absolutely exquisite form?\How the hell should I know?!\How shallow - minded.\So, how should we proceed from here?\Anti - Angel Operations Headquarters\Time to decide, huh.\We'll experiment a little.\For now, attend classes and do whatever you want during them. response:	Just try not to get in the way of the ordinary students.
context: How the hell should I know?!\How shallow - minded.\So, how should we proceed from here?\Anti - Angel Operations Headquarters\Time to decide, huh.\We'll experiment a little.\For now, attend classes and do whatever you want during them.\Just try not to get in the way of the ordinary students. response:	That's all. Dismissed.
context: How shallow - minded.\So, how should we proceed from here?\Anti - Angel Operations Headquarters\Time to decide, huh.\We'll experiment a little.\For now, attend classes and do whatever you want during them.\Just try not to get in the way of the ordinary students.\That's all. Dismissed. response:	Alright!
context: So, how should we proceed from here?\Anti - Angel Operations Headquarters\Time to decide, huh.\We'll experiment a little.\For now, attend classes and do whatever you want during them.\Just try not to get in the way of the ordinary students.\That's all. Dismissed.\Alright! response:	Otonashi - kun.
context: Anti - Angel Operations Headquarters\Time to decide, huh.\We'll experiment a little.\For now, attend classes and do whatever you want during them.\Just try not to get in the way of the ordinary students.\That's all. Dismissed.\Alright!\Otonashi - kun. response:	I want you to take this.
context: Time to decide, huh.\We'll experiment a little.\For now, attend classes and do whatever you want during them.\Just try not to get in the way of the ordinary students.\That's all. Dismissed.\Alright!\Otonashi - kun.\I want you to take this. response:	Isn't that pretty valuable equipment?
context: We'll experiment a little.\For now, attend classes and do whatever you want during them.\Just try not to get in the way of the ordinary students.\That's all. Dismissed.\Alright!\Otonashi - kun.\I want you to take this.\Isn't that pretty valuable equipment? response:	Why are you giving it to me?
context: For now, attend classes and do whatever you want during them.\Just try not to get in the way of the ordinary students.\That's all. Dismissed.\Alright!\Otonashi - kun.\I want you to take this.\Isn't that pretty valuable equipment?\Why are you giving it to me? response:	Just take it.
context: Just try not to get in the way of the ordinary students.\That's all. Dismissed.\Alright!\Otonashi - kun.\I want you to take this.\Isn't that pretty valuable equipment?\Why are you giving it to me?\Just take it. response:	Angel won't get in the way anymore.
context: That's all. Dismissed.\Alright!\Otonashi - kun.\I want you to take this.\Isn't that pretty valuable equipment?\Why are you giving it to me?\Just take it.\Angel won't get in the way anymore. response:	Last night was proof of that.
context: Alright!\Otonashi - kun.\I want you to take this.\Isn't that pretty valuable equipment?\Why are you giving it to me?\Just take it.\Angel won't get in the way anymore.\Last night was proof of that. response:	Now the problem is the acting student council president.
context: Otonashi - kun.\I want you to take this.\Isn't that pretty valuable equipment?\Why are you giving it to me?\Just take it.\Angel won't get in the way anymore.\Last night was proof of that.\Now the problem is the acting student council president. response:	What will he do if we screw around with the school?
context: I want you to take this.\Isn't that pretty valuable equipment?\Why are you giving it to me?\Just take it.\Angel won't get in the way anymore.\Last night was proof of that.\Now the problem is the acting student council president.\What will he do if we screw around with the school? response:	Study Block A Classroom
context: Isn't that pretty valuable equipment?\Why are you giving it to me?\Just take it.\Angel won't get in the way anymore.\Last night was proof of that.\Now the problem is the acting student council president.\What will he do if we screw around with the school?\Study Block A Classroom response:	I'm so nervous...
context: Why are you giving it to me?\Just take it.\Angel won't get in the way anymore.\Last night was proof of that.\Now the problem is the acting student council president.\What will he do if we screw around with the school?\Study Block A Classroom\I'm so nervous... response:	Eating snacks in the middle of class...
context: Just take it.\Angel won't get in the way anymore.\Last night was proof of that.\Now the problem is the acting student council president.\What will he do if we screw around with the school?\Study Block A Classroom\I'm so nervous...\Eating snacks in the middle of class... response:	I ate one!
context: Angel won't get in the way anymore.\Last night was proof of that.\Now the problem is the acting student council president.\What will he do if we screw around with the school?\Study Block A Classroom\I'm so nervous...\Eating snacks in the middle of class...\I ate one! response:	I just ate one!
context: Last night was proof of that.\Now the problem is the acting student council president.\What will he do if we screw around with the school?\Study Block A Classroom\I'm so nervous...\Eating snacks in the middle of class...\I ate one!\I just ate one! response:	I never thought I'd ever eat snacks in class like I want to!
context: Now the problem is the acting student council president.\What will he do if we screw around with the school?\Study Block A Classroom\I'm so nervous...\Eating snacks in the middle of class...\I ate one!\I just ate one!\I never thought I'd ever eat snacks in class like I want to! response:	If it gets through, it's mine!
context: What will he do if we screw around with the school?\Study Block A Classroom\I'm so nervous...\Eating snacks in the middle of class...\I ate one!\I just ate one!\I never thought I'd ever eat snacks in class like I want to!\If it gets through, it's mine! response:	Too bad.
context: Study Block A Classroom\I'm so nervous...\Eating snacks in the middle of class...\I ate one!\I just ate one!\I never thought I'd ever eat snacks in class like I want to!\If it gets through, it's mine!\Too bad. response:	Ouch! Are you serious?
context: I'm so nervous...\Eating snacks in the middle of class...\I ate one!\I just ate one!\I never thought I'd ever eat snacks in class like I want to!\If it gets through, it's mine!\Too bad.\Ouch! Are you serious? response:	Riichi, chitoi, dora, dora, oyaman.
context: Eating snacks in the middle of class...\I ate one!\I just ate one!\I never thought I'd ever eat snacks in class like I want to!\If it gets through, it's mine!\Too bad.\Ouch! Are you serious?\Riichi, chitoi, dora, dora, oyaman. response:	Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki.
context: I ate one!\I just ate one!\I never thought I'd ever eat snacks in class like I want to!\If it gets through, it's mine!\Too bad.\Ouch! Are you serious?\Riichi, chitoi, dora, dora, oyaman.\Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki. response:	Dammit! It's all going to Hisako!
context: I just ate one!\I never thought I'd ever eat snacks in class like I want to!\If it gets through, it's mine!\Too bad.\Ouch! Are you serious?\Riichi, chitoi, dora, dora, oyaman.\Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki.\Dammit! It's all going to Hisako! response:	Just wild heaven.
context: I never thought I'd ever eat snacks in class like I want to!\If it gets through, it's mine!\Too bad.\Ouch! Are you serious?\Riichi, chitoi, dora, dora, oyaman.\Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki.\Dammit! It's all going to Hisako!\Just wild heaven. response:	Losing to a girl...
context: If it gets through, it's mine!\Too bad.\Ouch! Are you serious?\Riichi, chitoi, dora, dora, oyaman.\Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki.\Dammit! It's all going to Hisako!\Just wild heaven.\Losing to a girl... response:	What shame!
context: Too bad.\Ouch! Are you serious?\Riichi, chitoi, dora, dora, oyaman.\Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki.\Dammit! It's all going to Hisako!\Just wild heaven.\Losing to a girl...\What shame! response:	You lot there, could you be a little quieter?
context: Ouch! Are you serious?\Riichi, chitoi, dora, dora, oyaman.\Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki.\Dammit! It's all going to Hisako!\Just wild heaven.\Losing to a girl...\What shame!\You lot there, could you be a little quieter? response:	Ah, sorry about that.
context: Riichi, chitoi, dora, dora, oyaman.\Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki.\Dammit! It's all going to Hisako!\Just wild heaven.\Losing to a girl...\What shame!\You lot there, could you be a little quieter?\Ah, sorry about that. response:	Sensei!
context: Note: That's 12,000 Hisako's way. 3,000 from TK and Matsushita, 6,000 from Fujimaki.\Dammit! It's all going to Hisako!\Just wild heaven.\Losing to a girl...\What shame!\You lot there, could you be a little quieter?\Ah, sorry about that.\Sensei! response:	I need the bathroom!
context: Dammit! It's all going to Hisako!\Just wild heaven.\Losing to a girl...\What shame!\You lot there, could you be a little quieter?\Ah, sorry about that.\Sensei!\I need the bathroom! response:	You again?
context: Just wild heaven.\Losing to a girl...\What shame!\You lot there, could you be a little quieter?\Ah, sorry about that.\Sensei!\I need the bathroom!\You again? response:	Go ahead.
context: Losing to a girl...\What shame!\You lot there, could you be a little quieter?\Ah, sorry about that.\Sensei!\I need the bathroom!\You again?\Go ahead. response:	What's she doing?
context: What shame!\You lot there, could you be a little quieter?\Ah, sorry about that.\Sensei!\I need the bathroom!\You again?\Go ahead.\What's she doing? response:	She's playing a student that needs to go to the bathroom every minute.
context: You lot there, could you be a little quieter?\Ah, sorry about that.\Sensei!\I need the bathroom!\You again?\Go ahead.\What's she doing?\She's playing a student that needs to go to the bathroom every minute. response:	What an idiot.
context: Ah, sorry about that.\Sensei!\I need the bathroom!\You again?\Go ahead.\What's she doing?\She's playing a student that needs to go to the bathroom every minute.\What an idiot. response:	What are we going to do?
context: Sensei!\I need the bathroom!\You again?\Go ahead.\What's she doing?\She's playing a student that needs to go to the bathroom every minute.\What an idiot.\What are we going to do? response:	Just sitting here's fine.
context: I need the bathroom!\You again?\Go ahead.\What's she doing?\She's playing a student that needs to go to the bathroom every minute.\What an idiot.\What are we going to do?\Just sitting here's fine. response:	Though, look over there.
context: You again?\Go ahead.\What's she doing?\She's playing a student that needs to go to the bathroom every minute.\What an idiot.\What are we going to do?\Just sitting here's fine.\Though, look over there. response:	Sensei, bathroom!
context: Go ahead.\What's she doing?\She's playing a student that needs to go to the bathroom every minute.\What an idiot.\What are we going to do?\Just sitting here's fine.\Though, look over there.\Sensei, bathroom! response:	Yeah, go ahead.
context: What's she doing?\She's playing a student that needs to go to the bathroom every minute.\What an idiot.\What are we going to do?\Just sitting here's fine.\Though, look over there.\Sensei, bathroom!\Yeah, go ahead. response:	What an idiot.
context: She's playing a student that needs to go to the bathroom every minute.\What an idiot.\What are we going to do?\Just sitting here's fine.\Though, look over there.\Sensei, bathroom!\Yeah, go ahead.\What an idiot. response:	That's enough!
context: What an idiot.\What are we going to do?\Just sitting here's fine.\Though, look over there.\Sensei, bathroom!\Yeah, go ahead.\What an idiot.\That's enough! response:	Here comes Naoi Ayato - sama.
context: What are we going to do?\Just sitting here's fine.\Though, look over there.\Sensei, bathroom!\Yeah, go ahead.\What an idiot.\That's enough!\Here comes Naoi Ayato - sama. response:	I need the bathroom!
context: Just sitting here's fine.\Though, look over there.\Sensei, bathroom!\Yeah, go ahead.\What an idiot.\That's enough!\Here comes Naoi Ayato - sama.\I need the bathroom! response:	Oh crap!
context: Though, look over there.\Sensei, bathroom!\Yeah, go ahead.\What an idiot.\That's enough!\Here comes Naoi Ayato - sama.\I need the bathroom!\Oh crap! response:	Let's beat it!
context: Sensei, bathroom!\Yeah, go ahead.\What an idiot.\That's enough!\Here comes Naoi Ayato - sama.\I need the bathroom!\Oh crap!\Let's beat it! response:	I'll be back.
context: Yeah, go ahead.\What an idiot.\That's enough!\Here comes Naoi Ayato - sama.\I need the bathroom!\Oh crap!\Let's beat it!\I'll be back. response:	What are you doing?
context: What an idiot.\That's enough!\Here comes Naoi Ayato - sama.\I need the bathroom!\Oh crap!\Let's beat it!\I'll be back.\What are you doing? response:	It seems you can't hear me.
context: That's enough!\Here comes Naoi Ayato - sama.\I need the bathroom!\Oh crap!\Let's beat it!\I'll be back.\What are you doing?\It seems you can't hear me. response:	That's fine.
context: Here comes Naoi Ayato - sama.\I need the bathroom!\Oh crap!\Let's beat it!\I'll be back.\What are you doing?\It seems you can't hear me.\That's fine. response:	Take him to the reflection room.
context: I need the bathroom!\Oh crap!\Let's beat it!\I'll be back.\What are you doing?\It seems you can't hear me.\That's fine.\Take him to the reflection room. response:	What the hell are you telling me to reflect on?!
context: Oh crap!\Let's beat it!\I'll be back.\What are you doing?\It seems you can't hear me.\That's fine.\Take him to the reflection room.\What the hell are you telling me to reflect on?! response:	You were blatantly sleeping in the middle of class,
context: Let's beat it!\I'll be back.\What are you doing?\It seems you can't hear me.\That's fine.\Take him to the reflection room.\What the hell are you telling me to reflect on?!\You were blatantly sleeping in the middle of class, response:	and then you threatened an innocent student.
context: I'll be back.\What are you doing?\It seems you can't hear me.\That's fine.\Take him to the reflection room.\What the hell are you telling me to reflect on?!\You were blatantly sleeping in the middle of class,\and then you threatened an innocent student. response:	You've got some nerve asking that.
context: What are you doing?\It seems you can't hear me.\That's fine.\Take him to the reflection room.\What the hell are you telling me to reflect on?!\You were blatantly sleeping in the middle of class,\and then you threatened an innocent student.\You've got some nerve asking that. response:	Quite commendable, in a way.
context: It seems you can't hear me.\That's fine.\Take him to the reflection room.\What the hell are you telling me to reflect on?!\You were blatantly sleeping in the middle of class,\and then you threatened an innocent student.\You've got some nerve asking that.\Quite commendable, in a way. response:	The hell did you say?!
context: That's fine.\Take him to the reflection room.\What the hell are you telling me to reflect on?!\You were blatantly sleeping in the middle of class,\and then you threatened an innocent student.\You've got some nerve asking that.\Quite commendable, in a way.\The hell did you say?! response:	Dammit, are you running away?!
context: Take him to the reflection room.\What the hell are you telling me to reflect on?!\You were blatantly sleeping in the middle of class,\and then you threatened an innocent student.\You've got some nerve asking that.\Quite commendable, in a way.\The hell did you say?!\Dammit, are you running away?! response:	Hey!
context: What the hell are you telling me to reflect on?!\You were blatantly sleeping in the middle of class,\and then you threatened an innocent student.\You've got some nerve asking that.\Quite commendable, in a way.\The hell did you say?!\Dammit, are you running away?!\Hey! response:	I'm right here! Come right at me!
context: You were blatantly sleeping in the middle of class,\and then you threatened an innocent student.\You've got some nerve asking that.\Quite commendable, in a way.\The hell did you say?!\Dammit, are you running away?!\Hey!\I'm right here! Come right at me! response:	Where do you think you're going?!
context: and then you threatened an innocent student.\You've got some nerve asking that.\Quite commendable, in a way.\The hell did you say?!\Dammit, are you running away?!\Hey!\I'm right here! Come right at me!\Where do you think you're going?! response:	Is there really any point in keeping this up?
context: You've got some nerve asking that.\Quite commendable, in a way.\The hell did you say?!\Dammit, are you running away?!\Hey!\I'm right here! Come right at me!\Where do you think you're going?!\Is there really any point in keeping this up? response:	Main Dining Hall 3rd Floor Rear
context: Quite commendable, in a way.\The hell did you say?!\Dammit, are you running away?!\Hey!\I'm right here! Come right at me!\Where do you think you're going?!\Is there really any point in keeping this up?\Main Dining Hall 3rd Floor Rear response:	Whoop.
context: The hell did you say?!\Dammit, are you running away?!\Hey!\I'm right here! Come right at me!\Where do you think you're going?!\Is there really any point in keeping this up?\Main Dining Hall 3rd Floor Rear\Whoop. response:	Hey...
context: Dammit, are you running away?!\Hey!\I'm right here! Come right at me!\Where do you think you're going?!\Is there really any point in keeping this up?\Main Dining Hall 3rd Floor Rear\Whoop.\Hey... response:	Are you hungry?
context: Hey!\I'm right here! Come right at me!\Where do you think you're going?!\Is there really any point in keeping this up?\Main Dining Hall 3rd Floor Rear\Whoop.\Hey...\Are you hungry? response:	Not really, it's not even lunch yet.
context: I'm right here! Come right at me!\Where do you think you're going?!\Is there really any point in keeping this up?\Main Dining Hall 3rd Floor Rear\Whoop.\Hey...\Are you hungry?\Not really, it's not even lunch yet. response:	I see.
context: Where do you think you're going?!\Is there really any point in keeping this up?\Main Dining Hall 3rd Floor Rear\Whoop.\Hey...\Are you hungry?\Not really, it's not even lunch yet.\I see. response:	The cafeteria has this ridiculously hot Mapo tofu that no one dares order.
context: Is there really any point in keeping this up?\Main Dining Hall 3rd Floor Rear\Whoop.\Hey...\Are you hungry?\Not really, it's not even lunch yet.\I see.\The cafeteria has this ridiculously hot Mapo tofu that no one dares order. response:	When I tried some, it was surprisingly good.
context: Main Dining Hall 3rd Floor Rear\Whoop.\Hey...\Are you hungry?\Not really, it's not even lunch yet.\I see.\The cafeteria has this ridiculously hot Mapo tofu that no one dares order.\When I tried some, it was surprisingly good. response:	So yeah...
context: Whoop.\Hey...\Are you hungry?\Not really, it's not even lunch yet.\I see.\The cafeteria has this ridiculously hot Mapo tofu that no one dares order.\When I tried some, it was surprisingly good.\So yeah... response:	How about I... treat... you...
context: Hey...\Are you hungry?\Not really, it's not even lunch yet.\I see.\The cafeteria has this ridiculously hot Mapo tofu that no one dares order.\When I tried some, it was surprisingly good.\So yeah...\How about I... treat... you... response:	What are you doing?
context: Are you hungry?\Not really, it's not even lunch yet.\I see.\The cafeteria has this ridiculously hot Mapo tofu that no one dares order.\When I tried some, it was surprisingly good.\So yeah...\How about I... treat... you...\What are you doing? response:	Oh okay, let's go!
context: Not really, it's not even lunch yet.\I see.\The cafeteria has this ridiculously hot Mapo tofu that no one dares order.\When I tried some, it was surprisingly good.\So yeah...\How about I... treat... you...\What are you doing?\Oh okay, let's go! response:	Main Dining Hall Interior
context: I see.\The cafeteria has this ridiculously hot Mapo tofu that no one dares order.\When I tried some, it was surprisingly good.\So yeah...\How about I... treat... you...\What are you doing?\Oh okay, let's go!\Main Dining Hall Interior response:	It really does look scary.
context: The cafeteria has this ridiculously hot Mapo tofu that no one dares order.\When I tried some, it was surprisingly good.\So yeah...\How about I... treat... you...\What are you doing?\Oh okay, let's go!\Main Dining Hall Interior\It really does look scary. response:	So freaking hot!
context: When I tried some, it was surprisingly good.\So yeah...\How about I... treat... you...\What are you doing?\Oh okay, let's go!\Main Dining Hall Interior\It really does look scary.\So freaking hot! response:	I heard you're normally supposed to eat this with rice...
context: So yeah...\How about I... treat... you...\What are you doing?\Oh okay, let's go!\Main Dining Hall Interior\It really does look scary.\So freaking hot!\I heard you're normally supposed to eat this with rice... response:	Really?
context: How about I... treat... you...\What are you doing?\Oh okay, let's go!\Main Dining Hall Interior\It really does look scary.\So freaking hot!\I heard you're normally supposed to eat this with rice...\Really? response:	Really? Isn't this way too hot?
context: What are you doing?\Oh okay, let's go!\Main Dining Hall Interior\It really does look scary.\So freaking hot!\I heard you're normally supposed to eat this with rice...\Really?\Really? Isn't this way too hot? response:	Not really. It's just...
context: Oh okay, let's go!\Main Dining Hall Interior\It really does look scary.\So freaking hot!\I heard you're normally supposed to eat this with rice...\Really?\Really? Isn't this way too hot?\Not really. It's just... response:	Just?
context: Main Dining Hall Interior\It really does look scary.\So freaking hot!\I heard you're normally supposed to eat this with rice...\Really?\Really? Isn't this way too hot?\Not really. It's just...\Just? response:	Delicious.
context: It really does look scary.\So freaking hot!\I heard you're normally supposed to eat this with rice...\Really?\Really? Isn't this way too hot?\Not really. It's just...\Just?\Delicious. response:	I see.
context: So freaking hot!\I heard you're normally supposed to eat this with rice...\Really?\Really? Isn't this way too hot?\Not really. It's just...\Just?\Delicious.\I see. response:	So it's not that you particularly like hot food, just that Mapo tofu is your favorite food?
context: I heard you're normally supposed to eat this with rice...\Really?\Really? Isn't this way too hot?\Not really. It's just...\Just?\Delicious.\I see.\So it's not that you particularly like hot food, just that Mapo tofu is your favorite food? response:	What's wrong?
context: Really?\Really? Isn't this way too hot?\Not really. It's just...\Just?\Delicious.\I see.\So it's not that you particularly like hot food, just that Mapo tofu is your favorite food?\What's wrong? response:	I like Mapo tofu?
context: Really? Isn't this way too hot?\Not really. It's just...\Just?\Delicious.\I see.\So it's not that you particularly like hot food, just that Mapo tofu is your favorite food?\What's wrong?\I like Mapo tofu? response:	Well, even if you ask me...
context: Not really. It's just...\Just?\Delicious.\I see.\So it's not that you particularly like hot food, just that Mapo tofu is your favorite food?\What's wrong?\I like Mapo tofu?\Well, even if you ask me... response:	I never realized it.
context: Just?\Delicious.\I see.\So it's not that you particularly like hot food, just that Mapo tofu is your favorite food?\What's wrong?\I like Mapo tofu?\Well, even if you ask me...\I never realized it. response:	Tachibana - san.
context: Delicious.\I see.\So it's not that you particularly like hot food, just that Mapo tofu is your favorite food?\What's wrong?\I like Mapo tofu?\Well, even if you ask me...\I never realized it.\Tachibana - san. response:	What are you doing at this time of day?
context: I see.\So it's not that you particularly like hot food, just that Mapo tofu is your favorite food?\What's wrong?\I like Mapo tofu?\Well, even if you ask me...\I never realized it.\Tachibana - san.\What are you doing at this time of day? response:	Can't you tell?
context: So it's not that you particularly like hot food, just that Mapo tofu is your favorite food?\What's wrong?\I like Mapo tofu?\Well, even if you ask me...\I never realized it.\Tachibana - san.\What are you doing at this time of day?\Can't you tell? response:	We're eating.
