context: A healthy soul... response:	Are you alright, Sid-kun?
context: Turn into a Kishin?\Now that it's come to this I guess there's no point in hiding it...\If we cover everything that reeks, we won't know what's inside.\There comes a time when we must remove the lid, and tell the kids what's inside.\Alright...\Everyone gather around!\There's a Kishin below Shibusen!\Err... Don't you think that's a bit too straight forward? response:	This happened before Shibusen was established.
context: Now that it's come to this I guess there's no point in hiding it...\If we cover everything that reeks, we won't know what's inside.\There comes a time when we must remove the lid, and tell the kids what's inside.\Alright...\Everyone gather around!\There's a Kishin below Shibusen!\Err... Don't you think that's a bit too straight forward?\This happened before Shibusen was established. response:	It's about a man...
context: If we cover everything that reeks, we won't know what's inside.\There comes a time when we must remove the lid, and tell the kids what's inside.\Alright...\Everyone gather around!\There's a Kishin below Shibusen!\Err... Don't you think that's a bit too straight forward?\This happened before Shibusen was established.\It's about a man... response:	The story of a man known as Ashura.
context: There comes a time when we must remove the lid, and tell the kids what's inside.\Alright...\Everyone gather around!\There's a Kishin below Shibusen!\Err... Don't you think that's a bit too straight forward?\This happened before Shibusen was established.\It's about a man...\The story of a man known as Ashura. response:	Ashura would wrap a long muffler around his face...
context: Alright...\Everyone gather around!\There's a Kishin below Shibusen!\Err... Don't you think that's a bit too straight forward?\This happened before Shibusen was established.\It's about a man...\The story of a man known as Ashura.\Ashura would wrap a long muffler around his face... response:	He refused to trust people or trust his heart to anyone.
context: Everyone gather around!\There's a Kishin below Shibusen!\Err... Don't you think that's a bit too straight forward?\This happened before Shibusen was established.\It's about a man...\The story of a man known as Ashura.\Ashura would wrap a long muffler around his face...\He refused to trust people or trust his heart to anyone. response:	He was like a pile of suspicions in a human form.
context: There's a Kishin below Shibusen!\Err... Don't you think that's a bit too straight forward?\This happened before Shibusen was established.\It's about a man...\The story of a man known as Ashura.\Ashura would wrap a long muffler around his face...\He refused to trust people or trust his heart to anyone.\He was like a pile of suspicions in a human form. response:	What's the situation on those damn witches of the eastern area?
context: Err... Don't you think that's a bit too straight forward?\This happened before Shibusen was established.\It's about a man...\The story of a man known as Ashura.\Ashura would wrap a long muffler around his face...\He refused to trust people or trust his heart to anyone.\He was like a pile of suspicions in a human form.\What's the situation on those damn witches of the eastern area? response:	When we arrived there...
context: This happened before Shibusen was established.\It's about a man...\The story of a man known as Ashura.\Ashura would wrap a long muffler around his face...\He refused to trust people or trust his heart to anyone.\He was like a pile of suspicions in a human form.\What's the situation on those damn witches of the eastern area?\When we arrived there... response:	Among my direct special force,
context: It's about a man...\The story of a man known as Ashura.\Ashura would wrap a long muffler around his face...\He refused to trust people or trust his heart to anyone.\He was like a pile of suspicions in a human form.\What's the situation on those damn witches of the eastern area?\When we arrived there...\Among my direct special force, response:	But he was always scared of something...
context: The story of a man known as Ashura.\Ashura would wrap a long muffler around his face...\He refused to trust people or trust his heart to anyone.\He was like a pile of suspicions in a human form.\What's the situation on those damn witches of the eastern area?\When we arrived there...\Among my direct special force,\But he was always scared of something... response:	An ultimate wimp.
context: Ashura would wrap a long muffler around his face...\He refused to trust people or trust his heart to anyone.\He was like a pile of suspicions in a human form.\What's the situation on those damn witches of the eastern area?\When we arrived there...\Among my direct special force,\But he was always scared of something...\An ultimate wimp. response:	He became attached to power, and eventually he broke the rule,
context: He refused to trust people or trust his heart to anyone.\He was like a pile of suspicions in a human form.\What's the situation on those damn witches of the eastern area?\When we arrived there...\Among my direct special force,\But he was always scared of something...\An ultimate wimp.\He became attached to power, and eventually he broke the rule, response:	That was the beginning of madness...
context: He was like a pile of suspicions in a human form.\What's the situation on those damn witches of the eastern area?\When we arrived there...\Among my direct special force,\But he was always scared of something...\An ultimate wimp.\He became attached to power, and eventually he broke the rule,\That was the beginning of madness... response:	The Birth of Kishin.
context: What's the situation on those damn witches of the eastern area?\When we arrived there...\Among my direct special force,\But he was always scared of something...\An ultimate wimp.\He became attached to power, and eventually he broke the rule,\That was the beginning of madness...\The Birth of Kishin. response:	But souls are something that only weapons can eat right?
context: When we arrived there...\Among my direct special force,\But he was always scared of something...\An ultimate wimp.\He became attached to power, and eventually he broke the rule,\That was the beginning of madness...\The Birth of Kishin.\But souls are something that only weapons can eat right? response:	How was he able to eat them?
context: Among my direct special force,\But he was always scared of something...\An ultimate wimp.\He became attached to power, and eventually he broke the rule,\That was the beginning of madness...\The Birth of Kishin.\But souls are something that only weapons can eat right?\How was he able to eat them? response:	He was also scared senseless of his partner...
context: But he was always scared of something...\An ultimate wimp.\He became attached to power, and eventually he broke the rule,\That was the beginning of madness...\The Birth of Kishin.\But souls are something that only weapons can eat right?\How was he able to eat them?\He was also scared senseless of his partner... response:	So, he ate all of him.
context: An ultimate wimp.\He became attached to power, and eventually he broke the rule,\That was the beginning of madness...\The Birth of Kishin.\But souls are something that only weapons can eat right?\How was he able to eat them?\He was also scared senseless of his partner...\So, he ate all of him. response:	Is that even possible?
context: He became attached to power, and eventually he broke the rule,\That was the beginning of madness...\The Birth of Kishin.\But souls are something that only weapons can eat right?\How was he able to eat them?\He was also scared senseless of his partner...\So, he ate all of him.\Is that even possible? response:	Now that I think about it...
context: That was the beginning of madness...\The Birth of Kishin.\But souls are something that only weapons can eat right?\How was he able to eat them?\He was also scared senseless of his partner...\So, he ate all of him.\Is that even possible?\Now that I think about it... response:	What lay deep in his heart, where one's eyes can't reach...
context: The Birth of Kishin.\But souls are something that only weapons can eat right?\How was he able to eat them?\He was also scared senseless of his partner...\So, he ate all of him.\Is that even possible?\Now that I think about it...\What lay deep in his heart, where one's eyes can't reach... response:	Breakthrough, Medusa's Vector Arrow?
context: But souls are something that only weapons can eat right?\How was he able to eat them?\He was also scared senseless of his partner...\So, he ate all of him.\Is that even possible?\Now that I think about it...\What lay deep in his heart, where one's eyes can't reach...\Breakthrough, Medusa's Vector Arrow? response:	Hey, Kid-kun.
context: How was he able to eat them?\He was also scared senseless of his partner...\So, he ate all of him.\Is that even possible?\Now that I think about it...\What lay deep in his heart, where one's eyes can't reach...\Breakthrough, Medusa's Vector Arrow?\Hey, Kid-kun. response:	How did Shinigami-sama seal Ashura?
context: He was also scared senseless of his partner...\So, he ate all of him.\Is that even possible?\Now that I think about it...\What lay deep in his heart, where one's eyes can't reach...\Breakthrough, Medusa's Vector Arrow?\Hey, Kid-kun.\How did Shinigami-sama seal Ashura? response:	Father removed Ashura's skin...
context: So, he ate all of him.\Is that even possible?\Now that I think about it...\What lay deep in his heart, where one's eyes can't reach...\Breakthrough, Medusa's Vector Arrow?\Hey, Kid-kun.\How did Shinigami-sama seal Ashura?\Father removed Ashura's skin... response:	He sealed him with a seal made from that skin.
context: Is that even possible?\Now that I think about it...\What lay deep in his heart, where one's eyes can't reach...\Breakthrough, Medusa's Vector Arrow?\Hey, Kid-kun.\How did Shinigami-sama seal Ashura?\Father removed Ashura's skin...\He sealed him with a seal made from that skin. response:	He rooted his soul and body here to prevent the Kishin from awakening...
context: Now that I think about it...\What lay deep in his heart, where one's eyes can't reach...\Breakthrough, Medusa's Vector Arrow?\Hey, Kid-kun.\How did Shinigami-sama seal Ashura?\Father removed Ashura's skin...\He sealed him with a seal made from that skin.\He rooted his soul and body here to prevent the Kishin from awakening... response:	That's why the Shinigami master can't get out?
context: What lay deep in his heart, where one's eyes can't reach...\Breakthrough, Medusa's Vector Arrow?\Hey, Kid-kun.\How did Shinigami-sama seal Ashura?\Father removed Ashura's skin...\He sealed him with a seal made from that skin.\He rooted his soul and body here to prevent the Kishin from awakening...\That's why the Shinigami master can't get out? response:	But if the seal is broken and he gets away...
context: Breakthrough, Medusa's Vector Arrow?\Hey, Kid-kun.\How did Shinigami-sama seal Ashura?\Father removed Ashura's skin...\He sealed him with a seal made from that skin.\He rooted his soul and body here to prevent the Kishin from awakening...\That's why the Shinigami master can't get out?\But if the seal is broken and he gets away... response:	Will Shinigami-sama be able to move freely again?
context: Hey, Kid-kun.\How did Shinigami-sama seal Ashura?\Father removed Ashura's skin...\He sealed him with a seal made from that skin.\He rooted his soul and body here to prevent the Kishin from awakening...\That's why the Shinigami master can't get out?\But if the seal is broken and he gets away...\Will Shinigami-sama be able to move freely again? response:	He can't.
context: How did Shinigami-sama seal Ashura?\Father removed Ashura's skin...\He sealed him with a seal made from that skin.\He rooted his soul and body here to prevent the Kishin from awakening...\That's why the Shinigami master can't get out?\But if the seal is broken and he gets away...\Will Shinigami-sama be able to move freely again?\He can't. response:	Basically, Shinigami-sama fixed his soul to this city...
context: Father removed Ashura's skin...\He sealed him with a seal made from that skin.\He rooted his soul and body here to prevent the Kishin from awakening...\That's why the Shinigami master can't get out?\But if the seal is broken and he gets away...\Will Shinigami-sama be able to move freely again?\He can't.\Basically, Shinigami-sama fixed his soul to this city... response:	One with Death City...
context: He sealed him with a seal made from that skin.\He rooted his soul and body here to prevent the Kishin from awakening...\That's why the Shinigami master can't get out?\But if the seal is broken and he gets away...\Will Shinigami-sama be able to move freely again?\He can't.\Basically, Shinigami-sama fixed his soul to this city...\One with Death City... response:	For him to be able to move, this city would have to grow out legs in order to move around.
context: He rooted his soul and body here to prevent the Kishin from awakening...\That's why the Shinigami master can't get out?\But if the seal is broken and he gets away...\Will Shinigami-sama be able to move freely again?\He can't.\Basically, Shinigami-sama fixed his soul to this city...\One with Death City...\For him to be able to move, this city would have to grow out legs in order to move around. response:	But, that's just impossible to do.
context: That's why the Shinigami master can't get out?\But if the seal is broken and he gets away...\Will Shinigami-sama be able to move freely again?\He can't.\Basically, Shinigami-sama fixed his soul to this city...\One with Death City...\For him to be able to move, this city would have to grow out legs in order to move around.\But, that's just impossible to do. response:	The consequences of Kishin's revival are far greater than we can imagine.
context: But if the seal is broken and he gets away...\Will Shinigami-sama be able to move freely again?\He can't.\Basically, Shinigami-sama fixed his soul to this city...\One with Death City...\For him to be able to move, this city would have to grow out legs in order to move around.\But, that's just impossible to do.\The consequences of Kishin's revival are far greater than we can imagine. response:	Madness is contagious...
context: Will Shinigami-sama be able to move freely again?\He can't.\Basically, Shinigami-sama fixed his soul to this city...\One with Death City...\For him to be able to move, this city would have to grow out legs in order to move around.\But, that's just impossible to do.\The consequences of Kishin's revival are far greater than we can imagine.\Madness is contagious... response:	Soul... you can't hold it back.
context: He can't.\Basically, Shinigami-sama fixed his soul to this city...\One with Death City...\For him to be able to move, this city would have to grow out legs in order to move around.\But, that's just impossible to do.\The consequences of Kishin's revival are far greater than we can imagine.\Madness is contagious...\Soul... you can't hold it back. response:	Hell is up here.
context: Basically, Shinigami-sama fixed his soul to this city...\One with Death City...\For him to be able to move, this city would have to grow out legs in order to move around.\But, that's just impossible to do.\The consequences of Kishin's revival are far greater than we can imagine.\Madness is contagious...\Soul... you can't hold it back.\Hell is up here. response:	One's heart is a fragile thing.
context: One with Death City...\For him to be able to move, this city would have to grow out legs in order to move around.\But, that's just impossible to do.\The consequences of Kishin's revival are far greater than we can imagine.\Madness is contagious...\Soul... you can't hold it back.\Hell is up here.\One's heart is a fragile thing. response:	Hurry and come.
context: For him to be able to move, this city would have to grow out legs in order to move around.\But, that's just impossible to do.\The consequences of Kishin's revival are far greater than we can imagine.\Madness is contagious...\Soul... you can't hold it back.\Hell is up here.\One's heart is a fragile thing.\Hurry and come. response:	Madness awaits...
context: But, that's just impossible to do.\The consequences of Kishin's revival are far greater than we can imagine.\Madness is contagious...\Soul... you can't hold it back.\Hell is up here.\One's heart is a fragile thing.\Hurry and come.\Madness awaits... response:	You can't escape.
context: The consequences of Kishin's revival are far greater than we can imagine.\Madness is contagious...\Soul... you can't hold it back.\Hell is up here.\One's heart is a fragile thing.\Hurry and come.\Madness awaits...\You can't escape. response:	Just like the needle running in the groove of the record.
context: Madness is contagious...\Soul... you can't hold it back.\Hell is up here.\One's heart is a fragile thing.\Hurry and come.\Madness awaits...\You can't escape.\Just like the needle running in the groove of the record. response:	You gotta be kidding me.
context: Soul... you can't hold it back.\Hell is up here.\One's heart is a fragile thing.\Hurry and come.\Madness awaits...\You can't escape.\Just like the needle running in the groove of the record.\You gotta be kidding me. response:	Your persuasive power is so weak.
context: Hell is up here.\One's heart is a fragile thing.\Hurry and come.\Madness awaits...\You can't escape.\Just like the needle running in the groove of the record.\You gotta be kidding me.\Your persuasive power is so weak. response:	That needle there is jumping around like crazy.
context: One's heart is a fragile thing.\Hurry and come.\Madness awaits...\You can't escape.\Just like the needle running in the groove of the record.\You gotta be kidding me.\Your persuasive power is so weak.\That needle there is jumping around like crazy. response:	I'm waiting for your decision...
context: Hurry and come.\Madness awaits...\You can't escape.\Just like the needle running in the groove of the record.\You gotta be kidding me.\Your persuasive power is so weak.\That needle there is jumping around like crazy.\I'm waiting for your decision... response:	It sure is lively.
context: Madness awaits...\You can't escape.\Just like the needle running in the groove of the record.\You gotta be kidding me.\Your persuasive power is so weak.\That needle there is jumping around like crazy.\I'm waiting for your decision...\It sure is lively. response:	Shibusen's anniversary party.
context: You can't escape.\Just like the needle running in the groove of the record.\You gotta be kidding me.\Your persuasive power is so weak.\That needle there is jumping around like crazy.\I'm waiting for your decision...\It sure is lively.\Shibusen's anniversary party. response:	Blair wanted to go too, but they said only Shibusen students are allowed to attend.
context: Just like the needle running in the groove of the record.\You gotta be kidding me.\Your persuasive power is so weak.\That needle there is jumping around like crazy.\I'm waiting for your decision...\It sure is lively.\Shibusen's anniversary party.\Blair wanted to go too, but they said only Shibusen students are allowed to attend. response:	Meanies.
context: You gotta be kidding me.\Your persuasive power is so weak.\That needle there is jumping around like crazy.\I'm waiting for your decision...\It sure is lively.\Shibusen's anniversary party.\Blair wanted to go too, but they said only Shibusen students are allowed to attend.\Meanies. response:	I don't have work today, and I don't the have money to go shopping.
context: Your persuasive power is so weak.\That needle there is jumping around like crazy.\I'm waiting for your decision...\It sure is lively.\Shibusen's anniversary party.\Blair wanted to go too, but they said only Shibusen students are allowed to attend.\Meanies.\I don't have work today, and I don't the have money to go shopping. response:	That leaves me no choice.
context: That needle there is jumping around like crazy.\I'm waiting for your decision...\It sure is lively.\Shibusen's anniversary party.\Blair wanted to go too, but they said only Shibusen students are allowed to attend.\Meanies.\I don't have work today, and I don't the have money to go shopping.\That leaves me no choice. response:	Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies.
context: I'm waiting for your decision...\It sure is lively.\Shibusen's anniversary party.\Blair wanted to go too, but they said only Shibusen students are allowed to attend.\Meanies.\I don't have work today, and I don't the have money to go shopping.\That leaves me no choice.\Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies. response:	B- Blair-chan.
context: It sure is lively.\Shibusen's anniversary party.\Blair wanted to go too, but they said only Shibusen students are allowed to attend.\Meanies.\I don't have work today, and I don't the have money to go shopping.\That leaves me no choice.\Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies.\B- Blair-chan. response:	B-Blair-chan.
context: Shibusen's anniversary party.\Blair wanted to go too, but they said only Shibusen students are allowed to attend.\Meanies.\I don't have work today, and I don't the have money to go shopping.\That leaves me no choice.\Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies.\B- Blair-chan.\B-Blair-chan. response:	Mr. Fish Seller?
context: Blair wanted to go too, but they said only Shibusen students are allowed to attend.\Meanies.\I don't have work today, and I don't the have money to go shopping.\That leaves me no choice.\Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies.\B- Blair-chan.\B-Blair-chan.\Mr. Fish Seller? response:	H- Here...
context: Meanies.\I don't have work today, and I don't the have money to go shopping.\That leaves me no choice.\Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies.\B- Blair-chan.\B-Blair-chan.\Mr. Fish Seller?\H- Here... response:	H-Here...
context: I don't have work today, and I don't the have money to go shopping.\That leaves me no choice.\Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies.\B- Blair-chan.\B-Blair-chan.\Mr. Fish Seller?\H- Here...\H-Here... response:	I'm giving you this fish.
context: That leaves me no choice.\Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies.\B- Blair-chan.\B-Blair-chan.\Mr. Fish Seller?\H- Here...\H-Here...\I'm giving you this fish. response:	Mr. Fish Seller!!
context: Although I can see his intentions, I guess I'll go stop by the fish store that gives me goodies.\B- Blair-chan.\B-Blair-chan.\Mr. Fish Seller?\H- Here...\H-Here...\I'm giving you this fish.\Mr. Fish Seller!! response:	Who in the world...
context: B- Blair-chan.\B-Blair-chan.\Mr. Fish Seller?\H- Here...\H-Here...\I'm giving you this fish.\Mr. Fish Seller!!\Who in the world... response:	What's that?
context: B-Blair-chan.\Mr. Fish Seller?\H- Here...\H-Here...\I'm giving you this fish.\Mr. Fish Seller!!\Who in the world...\What's that? response:	So it's them, huh?
context: Mr. Fish Seller?\H- Here...\H-Here...\I'm giving you this fish.\Mr. Fish Seller!!\Who in the world...\What's that?\So it's them, huh? response:	Hold it...
context: H- Here...\H-Here...\I'm giving you this fish.\Mr. Fish Seller!!\Who in the world...\What's that?\So it's them, huh?\Hold it... response:	Look at what you did to the bait I finally found. How are you going to repay me?
context: H-Here...\I'm giving you this fish.\Mr. Fish Seller!!\Who in the world...\What's that?\So it's them, huh?\Hold it...\Look at what you did to the bait I finally found. How are you going to repay me? response:	Impertinent little rats.
context: I'm giving you this fish.\Mr. Fish Seller!!\Who in the world...\What's that?\So it's them, huh?\Hold it...\Look at what you did to the bait I finally found. How are you going to repay me?\Impertinent little rats. response:	We've been running for quite a while.
context: Mr. Fish Seller!!\Who in the world...\What's that?\So it's them, huh?\Hold it...\Look at what you did to the bait I finally found. How are you going to repay me?\Impertinent little rats.\We've been running for quite a while. response:	Hey Maka, do you feel any witch's soul response up ahead?
context: Who in the world...\What's that?\So it's them, huh?\Hold it...\Look at what you did to the bait I finally found. How are you going to repay me?\Impertinent little rats.\We've been running for quite a while.\Hey Maka, do you feel any witch's soul response up ahead? response:	It seems that they're hiding it with Protect now.
context: What's that?\So it's them, huh?\Hold it...\Look at what you did to the bait I finally found. How are you going to repay me?\Impertinent little rats.\We've been running for quite a while.\Hey Maka, do you feel any witch's soul response up ahead?\It seems that they're hiding it with Protect now. response:	Aw, how boring.
context: So it's them, huh?\Hold it...\Look at what you did to the bait I finally found. How are you going to repay me?\Impertinent little rats.\We've been running for quite a while.\Hey Maka, do you feel any witch's soul response up ahead?\It seems that they're hiding it with Protect now.\Aw, how boring. response:	Because that's your one and only strong point.
context: Hold it...\Look at what you did to the bait I finally found. How are you going to repay me?\Impertinent little rats.\We've been running for quite a while.\Hey Maka, do you feel any witch's soul response up ahead?\It seems that they're hiding it with Protect now.\Aw, how boring.\Because that's your one and only strong point. response:	You really piss me off.
context: Look at what you did to the bait I finally found. How are you going to repay me?\Impertinent little rats.\We've been running for quite a while.\Hey Maka, do you feel any witch's soul response up ahead?\It seems that they're hiding it with Protect now.\Aw, how boring.\Because that's your one and only strong point.\You really piss me off. response:	What?! What?!
context: Impertinent little rats.\We've been running for quite a while.\Hey Maka, do you feel any witch's soul response up ahead?\It seems that they're hiding it with Protect now.\Aw, how boring.\Because that's your one and only strong point.\You really piss me off.\What?! What?! response:	Professor.
context: We've been running for quite a while.\Hey Maka, do you feel any witch's soul response up ahead?\It seems that they're hiding it with Protect now.\Aw, how boring.\Because that's your one and only strong point.\You really piss me off.\What?! What?!\Professor. response:	Yes.
context: Hey Maka, do you feel any witch's soul response up ahead?\It seems that they're hiding it with Protect now.\Aw, how boring.\Because that's your one and only strong point.\You really piss me off.\What?! What?!\Professor.\Yes. response:	Right ahead of us...
context: It seems that they're hiding it with Protect now.\Aw, how boring.\Because that's your one and only strong point.\You really piss me off.\What?! What?!\Professor.\Yes.\Right ahead of us... response:	Someone's there.
context: Aw, how boring.\Because that's your one and only strong point.\You really piss me off.\What?! What?!\Professor.\Yes.\Right ahead of us...\Someone's there. response:	This soul...
context: Because that's your one and only strong point.\You really piss me off.\What?! What?!\Professor.\Yes.\Right ahead of us...\Someone's there.\This soul... response:	There's no mistake about it.
context: You really piss me off.\What?! What?!\Professor.\Yes.\Right ahead of us...\Someone's there.\This soul...\There's no mistake about it. response:	This obscene and horrible sensation...
context: What?! What?!\Professor.\Yes.\Right ahead of us...\Someone's there.\This soul...\There's no mistake about it.\This obscene and horrible sensation... response:	Papa.
context: Professor.\Yes.\Right ahead of us...\Someone's there.\This soul...\There's no mistake about it.\This obscene and horrible sensation...\Papa. response:	Obscene and horrible sensation?
context: Yes.\Right ahead of us...\Someone's there.\This soul...\There's no mistake about it.\This obscene and horrible sensation...\Papa.\Obscene and horrible sensation? response:	Pretty amazing that you were able to get out of that magic.
context: Right ahead of us...\Someone's there.\This soul...\There's no mistake about it.\This obscene and horrible sensation...\Papa.\Obscene and horrible sensation?\Pretty amazing that you were able to get out of that magic. response:	I'm known to be the fastest one to chase a woman's ass.
