context: My name is Furuya Hotaru. response:	Today is my first day of high school.
context: I'm just being polite.\Onii-chan, who is this?\Is she just a classmate?\Are you close?\Do you have more girl friends?\Stop it, Hotaru, that's rude.\You love your brother, huh?\Huh? The hell are you talking about? response:	I'm normal!
context: Onii-chan, who is this?\Is she just a classmate?\Are you close?\Do you have more girl friends?\Stop it, Hotaru, that's rude.\You love your brother, huh?\Huh? The hell are you talking about?\I'm normal! response:	Sorry, she's really attached to me.
context: Is she just a classmate?\Are you close?\Do you have more girl friends?\Stop it, Hotaru, that's rude.\You love your brother, huh?\Huh? The hell are you talking about?\I'm normal!\Sorry, she's really attached to me. response:	What's wrong with that? She's adorable.
context: Are you close?\Do you have more girl friends?\Stop it, Hotaru, that's rude.\You love your brother, huh?\Huh? The hell are you talking about?\I'm normal!\Sorry, she's really attached to me.\What's wrong with that? She's adorable. response:	And what are you to my brother?
context: Do you have more girl friends?\Stop it, Hotaru, that's rude.\You love your brother, huh?\Huh? The hell are you talking about?\I'm normal!\Sorry, she's really attached to me.\What's wrong with that? She's adorable.\And what are you to my brother? response:	What am I, huh?
context: Stop it, Hotaru, that's rude.\You love your brother, huh?\Huh? The hell are you talking about?\I'm normal!\Sorry, she's really attached to me.\What's wrong with that? She's adorable.\And what are you to my brother?\What am I, huh? response:	Huh?
context: You love your brother, huh?\Huh? The hell are you talking about?\I'm normal!\Sorry, she's really attached to me.\What's wrong with that? She's adorable.\And what are you to my brother?\What am I, huh?\Huh? response:	What is she?!
context: Huh? The hell are you talking about?\I'm normal!\Sorry, she's really attached to me.\What's wrong with that? She's adorable.\And what are you to my brother?\What am I, huh?\Huh?\What is she?! response:	I'm sure I'm wrong, but to be really sure, you two aren't dating, are you?
context: I'm normal!\Sorry, she's really attached to me.\What's wrong with that? She's adorable.\And what are you to my brother?\What am I, huh?\Huh?\What is she?!\I'm sure I'm wrong, but to be really sure, you two aren't dating, are you? response:	No.
context: Sorry, she's really attached to me.\What's wrong with that? She's adorable.\And what are you to my brother?\What am I, huh?\Huh?\What is she?!\I'm sure I'm wrong, but to be really sure, you two aren't dating, are you?\No. response:	We're just friends.
context: What's wrong with that? She's adorable.\And what are you to my brother?\What am I, huh?\Huh?\What is she?!\I'm sure I'm wrong, but to be really sure, you two aren't dating, are you?\No.\We're just friends. response:	O-Of course.
context: And what are you to my brother?\What am I, huh?\Huh?\What is she?!\I'm sure I'm wrong, but to be really sure, you two aren't dating, are you?\No.\We're just friends.\O-Of course. response:	I thought so
context: What am I, huh?\Huh?\What is she?!\I'm sure I'm wrong, but to be really sure, you two aren't dating, are you?\No.\We're just friends.\O-Of course.\I thought so response:	For now.
context: Huh?\What is she?!\I'm sure I'm wrong, but to be really sure, you two aren't dating, are you?\No.\We're just friends.\O-Of course.\I thought so\For now. response:	Hotaru, you're hurting me.
context: What is she?!\I'm sure I'm wrong, but to be really sure, you two aren't dating, are you?\No.\We're just friends.\O-Of course.\I thought so\For now.\Hotaru, you're hurting me. response:	I confessed to him, but he hasn't given me an answer yet.
context: I'm sure I'm wrong, but to be really sure, you two aren't dating, are you?\No.\We're just friends.\O-Of course.\I thought so\For now.\Hotaru, you're hurting me.\I confessed to him, but he hasn't given me an answer yet. response:	So not yet.
context: No.\We're just friends.\O-Of course.\I thought so\For now.\Hotaru, you're hurting me.\I confessed to him, but he hasn't given me an answer yet.\So not yet. response:	Onii-chan, she's trolling me.
context: We're just friends.\O-Of course.\I thought so\For now.\Hotaru, you're hurting me.\I confessed to him, but he hasn't given me an answer yet.\So not yet.\Onii-chan, she's trolling me. response:	The answer's obvious, right?
context: O-Of course.\I thought so\For now.\Hotaru, you're hurting me.\I confessed to him, but he hasn't given me an answer yet.\So not yet.\Onii-chan, she's trolling me.\The answer's obvious, right? response:	Well, um...
context: I thought so\For now.\Hotaru, you're hurting me.\I confessed to him, but he hasn't given me an answer yet.\So not yet.\Onii-chan, she's trolling me.\The answer's obvious, right?\Well, um... response:	What's wrong?
context: For now.\Hotaru, you're hurting me.\I confessed to him, but he hasn't given me an answer yet.\So not yet.\Onii-chan, she's trolling me.\The answer's obvious, right?\Well, um...\What's wrong? response:	Hurry up and reject her.
context: Hotaru, you're hurting me.\I confessed to him, but he hasn't given me an answer yet.\So not yet.\Onii-chan, she's trolling me.\The answer's obvious, right?\Well, um...\What's wrong?\Hurry up and reject her. response:	You'll hurt her if you lead her on.
context: I confessed to him, but he hasn't given me an answer yet.\So not yet.\Onii-chan, she's trolling me.\The answer's obvious, right?\Well, um...\What's wrong?\Hurry up and reject her.\You'll hurt her if you lead her on. response:	H-Hotaru...
context: So not yet.\Onii-chan, she's trolling me.\The answer's obvious, right?\Well, um...\What's wrong?\Hurry up and reject her.\You'll hurt her if you lead her on.\H-Hotaru... response:	She's right, Furuya-kun.
context: Onii-chan, she's trolling me.\The answer's obvious, right?\Well, um...\What's wrong?\Hurry up and reject her.\You'll hurt her if you lead her on.\H-Hotaru...\She's right, Furuya-kun. response:	Reject me if you have to.
context: The answer's obvious, right?\Well, um...\What's wrong?\Hurry up and reject her.\You'll hurt her if you lead her on.\H-Hotaru...\She's right, Furuya-kun.\Reject me if you have to. response:	Well, I...
context: Well, um...\What's wrong?\Hurry up and reject her.\You'll hurt her if you lead her on.\H-Hotaru...\She's right, Furuya-kun.\Reject me if you have to.\Well, I... response:	It's not that I...
context: What's wrong?\Hurry up and reject her.\You'll hurt her if you lead her on.\H-Hotaru...\She's right, Furuya-kun.\Reject me if you have to.\Well, I...\It's not that I... response:	Go, go, Onii-chan!
context: Hurry up and reject her.\You'll hurt her if you lead her on.\H-Hotaru...\She's right, Furuya-kun.\Reject me if you have to.\Well, I...\It's not that I...\Go, go, Onii-chan! response:	It's not that I don't like you.
context: You'll hurt her if you lead her on.\H-Hotaru...\She's right, Furuya-kun.\Reject me if you have to.\Well, I...\It's not that I...\Go, go, Onii-chan!\It's not that I don't like you. response:	You idiot, Onii-chan!
context: H-Hotaru...\She's right, Furuya-kun.\Reject me if you have to.\Well, I...\It's not that I...\Go, go, Onii-chan!\It's not that I don't like you.\You idiot, Onii-chan! response:	Can't you tell I'm worried for you?
context: She's right, Furuya-kun.\Reject me if you have to.\Well, I...\It's not that I...\Go, go, Onii-chan!\It's not that I don't like you.\You idiot, Onii-chan!\Can't you tell I'm worried for you? response:	She's just toying with you.
context: Reject me if you have to.\Well, I...\It's not that I...\Go, go, Onii-chan!\It's not that I don't like you.\You idiot, Onii-chan!\Can't you tell I'm worried for you?\She's just toying with you. response:	You'll only get hurt if you go out with her.
context: Well, I...\It's not that I...\Go, go, Onii-chan!\It's not that I don't like you.\You idiot, Onii-chan!\Can't you tell I'm worried for you?\She's just toying with you.\You'll only get hurt if you go out with her. response:	Hotaru...
context: It's not that I...\Go, go, Onii-chan!\It's not that I don't like you.\You idiot, Onii-chan!\Can't you tell I'm worried for you?\She's just toying with you.\You'll only get hurt if you go out with her.\Hotaru... response:	I'm not thinking of dating her or anything.
context: Go, go, Onii-chan!\It's not that I don't like you.\You idiot, Onii-chan!\Can't you tell I'm worried for you?\She's just toying with you.\You'll only get hurt if you go out with her.\Hotaru...\I'm not thinking of dating her or anything. response:	Have I just been rejected?
context: It's not that I don't like you.\You idiot, Onii-chan!\Can't you tell I'm worried for you?\She's just toying with you.\You'll only get hurt if you go out with her.\Hotaru...\I'm not thinking of dating her or anything.\Have I just been rejected? response:	Exactly!
context: You idiot, Onii-chan!\Can't you tell I'm worried for you?\She's just toying with you.\You'll only get hurt if you go out with her.\Hotaru...\I'm not thinking of dating her or anything.\Have I just been rejected?\Exactly! response:	You don't need a girlfriend, right?
context: Can't you tell I'm worried for you?\She's just toying with you.\You'll only get hurt if you go out with her.\Hotaru...\I'm not thinking of dating her or anything.\Have I just been rejected?\Exactly!\You don't need a girlfriend, right? response:	You have me.
context: She's just toying with you.\You'll only get hurt if you go out with her.\Hotaru...\I'm not thinking of dating her or anything.\Have I just been rejected?\Exactly!\You don't need a girlfriend, right?\You have me. response:	Sorry, Minagawa-san, I can't go out with you without thinking it through.
context: You'll only get hurt if you go out with her.\Hotaru...\I'm not thinking of dating her or anything.\Have I just been rejected?\Exactly!\You don't need a girlfriend, right?\You have me.\Sorry, Minagawa-san, I can't go out with you without thinking it through. response:	I mean, if we did, we'd have to think about marriage,
context: Hotaru...\I'm not thinking of dating her or anything.\Have I just been rejected?\Exactly!\You don't need a girlfriend, right?\You have me.\Sorry, Minagawa-san, I can't go out with you without thinking it through.\I mean, if we did, we'd have to think about marriage, response:	and finances, and then kids...
context: I'm not thinking of dating her or anything.\Have I just been rejected?\Exactly!\You don't need a girlfriend, right?\You have me.\Sorry, Minagawa-san, I can't go out with you without thinking it through.\I mean, if we did, we'd have to think about marriage,\and finances, and then kids... response:	You've been that serious about me?
context: Have I just been rejected?\Exactly!\You don't need a girlfriend, right?\You have me.\Sorry, Minagawa-san, I can't go out with you without thinking it through.\I mean, if we did, we'd have to think about marriage,\and finances, and then kids...\You've been that serious about me? response:	N-No, that's not what I meant.
context: Exactly!\You don't need a girlfriend, right?\You have me.\Sorry, Minagawa-san, I can't go out with you without thinking it through.\I mean, if we did, we'd have to think about marriage,\and finances, and then kids...\You've been that serious about me?\N-No, that's not what I meant. response:	Of course not!
context: You don't need a girlfriend, right?\You have me.\Sorry, Minagawa-san, I can't go out with you without thinking it through.\I mean, if we did, we'd have to think about marriage,\and finances, and then kids...\You've been that serious about me?\N-No, that's not what I meant.\Of course not! response:	My brother's always serious!
context: You have me.\Sorry, Minagawa-san, I can't go out with you without thinking it through.\I mean, if we did, we'd have to think about marriage,\and finances, and then kids...\You've been that serious about me?\N-No, that's not what I meant.\Of course not!\My brother's always serious! response:	You're right.
context: Sorry, Minagawa-san, I can't go out with you without thinking it through.\I mean, if we did, we'd have to think about marriage,\and finances, and then kids...\You've been that serious about me?\N-No, that's not what I meant.\Of course not!\My brother's always serious!\You're right. response:	He really is serious.
context: I mean, if we did, we'd have to think about marriage,\and finances, and then kids...\You've been that serious about me?\N-No, that's not what I meant.\Of course not!\My brother's always serious!\You're right.\He really is serious. response:	That's why I like him.
context: and finances, and then kids...\You've been that serious about me?\N-No, that's not what I meant.\Of course not!\My brother's always serious!\You're right.\He really is serious.\That's why I like him. response:	Maybe I'll give you some more time.
context: You've been that serious about me?\N-No, that's not what I meant.\Of course not!\My brother's always serious!\You're right.\He really is serious.\That's why I like him.\Maybe I'll give you some more time. response:	Y-Your choice.
context: N-No, that's not what I meant.\Of course not!\My brother's always serious!\You're right.\He really is serious.\That's why I like him.\Maybe I'll give you some more time.\Y-Your choice. response:	You'll be rooting for me, right, Hotaru-chan?
context: Of course not!\My brother's always serious!\You're right.\He really is serious.\That's why I like him.\Maybe I'll give you some more time.\Y-Your choice.\You'll be rooting for me, right, Hotaru-chan? response:	No!
context: My brother's always serious!\You're right.\He really is serious.\That's why I like him.\Maybe I'll give you some more time.\Y-Your choice.\You'll be rooting for me, right, Hotaru-chan?\No! response:	You can't have my brother!
context: You're right.\He really is serious.\That's why I like him.\Maybe I'll give you some more time.\Y-Your choice.\You'll be rooting for me, right, Hotaru-chan?\No!\You can't have my brother! response:	It's all right.
context: He really is serious.\That's why I like him.\Maybe I'll give you some more time.\Y-Your choice.\You'll be rooting for me, right, Hotaru-chan?\No!\You can't have my brother!\It's all right. response:	I'll adore both of you together.
context: That's why I like him.\Maybe I'll give you some more time.\Y-Your choice.\You'll be rooting for me, right, Hotaru-chan?\No!\You can't have my brother!\It's all right.\I'll adore both of you together. response:	I freaking hate you!
context: Maybe I'll give you some more time.\Y-Your choice.\You'll be rooting for me, right, Hotaru-chan?\No!\You can't have my brother!\It's all right.\I'll adore both of you together.\I freaking hate you! response:	There isn't really anything that I'm drawn to.
context: Y-Your choice.\You'll be rooting for me, right, Hotaru-chan?\No!\You can't have my brother!\It's all right.\I'll adore both of you together.\I freaking hate you!\There isn't really anything that I'm drawn to. response:	I have no interests or hobbies that keep me engaged.
context: You'll be rooting for me, right, Hotaru-chan?\No!\You can't have my brother!\It's all right.\I'll adore both of you together.\I freaking hate you!\There isn't really anything that I'm drawn to.\I have no interests or hobbies that keep me engaged. response:	I know that I'm a boring person.
context: No!\You can't have my brother!\It's all right.\I'll adore both of you together.\I freaking hate you!\There isn't really anything that I'm drawn to.\I have no interests or hobbies that keep me engaged.\I know that I'm a boring person. response:	But is anyone really interested by what they say they are?
context: You can't have my brother!\It's all right.\I'll adore both of you together.\I freaking hate you!\There isn't really anything that I'm drawn to.\I have no interests or hobbies that keep me engaged.\I know that I'm a boring person.\But is anyone really interested by what they say they are? response:	Hey there.
context: It's all right.\I'll adore both of you together.\I freaking hate you!\There isn't really anything that I'm drawn to.\I have no interests or hobbies that keep me engaged.\I know that I'm a boring person.\But is anyone really interested by what they say they are?\Hey there. response:	You look like you'd like stars and stuff.
context: I'll adore both of you together.\I freaking hate you!\There isn't really anything that I'm drawn to.\I have no interests or hobbies that keep me engaged.\I know that I'm a boring person.\But is anyone really interested by what they say they are?\Hey there.\You look like you'd like stars and stuff. response:	Wanna join the astronomy club?
context: I freaking hate you!\There isn't really anything that I'm drawn to.\I have no interests or hobbies that keep me engaged.\I know that I'm a boring person.\But is anyone really interested by what they say they are?\Hey there.\You look like you'd like stars and stuff.\Wanna join the astronomy club? response:	Thanks, but no thanks.
context: There isn't really anything that I'm drawn to.\I have no interests or hobbies that keep me engaged.\I know that I'm a boring person.\But is anyone really interested by what they say they are?\Hey there.\You look like you'd like stars and stuff.\Wanna join the astronomy club?\Thanks, but no thanks. response:	I'm not interested.
context: I have no interests or hobbies that keep me engaged.\I know that I'm a boring person.\But is anyone really interested by what they say they are?\Hey there.\You look like you'd like stars and stuff.\Wanna join the astronomy club?\Thanks, but no thanks.\I'm not interested. response:	Grab!
context: I know that I'm a boring person.\But is anyone really interested by what they say they are?\Hey there.\You look like you'd like stars and stuff.\Wanna join the astronomy club?\Thanks, but no thanks.\I'm not interested.\Grab! response:	Come on, at least hear me out.
context: But is anyone really interested by what they say they are?\Hey there.\You look like you'd like stars and stuff.\Wanna join the astronomy club?\Thanks, but no thanks.\I'm not interested.\Grab!\Come on, at least hear me out. response:	What's your name?
context: Hey there.\You look like you'd like stars and stuff.\Wanna join the astronomy club?\Thanks, but no thanks.\I'm not interested.\Grab!\Come on, at least hear me out.\What's your name? response:	Kaga.
context: You look like you'd like stars and stuff.\Wanna join the astronomy club?\Thanks, but no thanks.\I'm not interested.\Grab!\Come on, at least hear me out.\What's your name?\Kaga. response:	Have you chosen a club yet?
context: Wanna join the astronomy club?\Thanks, but no thanks.\I'm not interested.\Grab!\Come on, at least hear me out.\What's your name?\Kaga.\Have you chosen a club yet? response:	No.
context: Thanks, but no thanks.\I'm not interested.\Grab!\Come on, at least hear me out.\What's your name?\Kaga.\Have you chosen a club yet?\No. response:	Then want to join me in watching an orchestra of stars?
context: I'm not interested.\Grab!\Come on, at least hear me out.\What's your name?\Kaga.\Have you chosen a club yet?\No.\Then want to join me in watching an orchestra of stars? response:	Huh? Did I mess that up?
context: Grab!\Come on, at least hear me out.\What's your name?\Kaga.\Have you chosen a club yet?\No.\Then want to join me in watching an orchestra of stars?\Huh? Did I mess that up? response:	Huh?
context: Come on, at least hear me out.\What's your name?\Kaga.\Have you chosen a club yet?\No.\Then want to join me in watching an orchestra of stars?\Huh? Did I mess that up?\Huh? response:	Is it any fun watching the stars?
context: What's your name?\Kaga.\Have you chosen a club yet?\No.\Then want to join me in watching an orchestra of stars?\Huh? Did I mess that up?\Huh?\Is it any fun watching the stars? response:	Of course it is!
context: Kaga.\Have you chosen a club yet?\No.\Then want to join me in watching an orchestra of stars?\Huh? Did I mess that up?\Huh?\Is it any fun watching the stars?\Of course it is! response:	They're pretty!
context: Have you chosen a club yet?\No.\Then want to join me in watching an orchestra of stars?\Huh? Did I mess that up?\Huh?\Is it any fun watching the stars?\Of course it is!\They're pretty! response:	Don't you get bored just watching them?
context: No.\Then want to join me in watching an orchestra of stars?\Huh? Did I mess that up?\Huh?\Is it any fun watching the stars?\Of course it is!\They're pretty!\Don't you get bored just watching them? response:	Sweat Sweat
context: Then want to join me in watching an orchestra of stars?\Huh? Did I mess that up?\Huh?\Is it any fun watching the stars?\Of course it is!\They're pretty!\Don't you get bored just watching them?\Sweat Sweat response:	You do?
context: Huh? Did I mess that up?\Huh?\Is it any fun watching the stars?\Of course it is!\They're pretty!\Don't you get bored just watching them?\Sweat Sweat\You do? response:	Is there anything else interesting about it?
context: Huh?\Is it any fun watching the stars?\Of course it is!\They're pretty!\Don't you get bored just watching them?\Sweat Sweat\You do?\Is there anything else interesting about it? response:	For sure!
context: Is it any fun watching the stars?\Of course it is!\They're pretty!\Don't you get bored just watching them?\Sweat Sweat\You do?\Is there anything else interesting about it?\For sure! response:	Club members are popular. Bam!
context: Of course it is!\They're pretty!\Don't you get bored just watching them?\Sweat Sweat\You do?\Is there anything else interesting about it?\For sure!\Club members are popular. Bam! response:	So far, 100 of its members have hooked up.
context: They're pretty!\Don't you get bored just watching them?\Sweat Sweat\You do?\Is there anything else interesting about it?\For sure!\Club members are popular. Bam!\So far, 100 of its members have hooked up. response:	Well? What do you think?
context: Don't you get bored just watching them?\Sweat Sweat\You do?\Is there anything else interesting about it?\For sure!\Club members are popular. Bam!\So far, 100 of its members have hooked up.\Well? What do you think? response:	Liar.
context: Sweat Sweat\You do?\Is there anything else interesting about it?\For sure!\Club members are popular. Bam!\So far, 100 of its members have hooked up.\Well? What do you think?\Liar. response:	You don't really like stars that much, do you, Senpai?
context: You do?\Is there anything else interesting about it?\For sure!\Club members are popular. Bam!\So far, 100 of its members have hooked up.\Well? What do you think?\Liar.\You don't really like stars that much, do you, Senpai? response:	So why are you in the astronomy club?
context: Is there anything else interesting about it?\For sure!\Club members are popular. Bam!\So far, 100 of its members have hooked up.\Well? What do you think?\Liar.\You don't really like stars that much, do you, Senpai?\So why are you in the astronomy club? response:	Well, y'know, I like the vibe of it!
context: For sure!\Club members are popular. Bam!\So far, 100 of its members have hooked up.\Well? What do you think?\Liar.\You don't really like stars that much, do you, Senpai?\So why are you in the astronomy club?\Well, y'know, I like the vibe of it! response:	Yeah?
context: Club members are popular. Bam!\So far, 100 of its members have hooked up.\Well? What do you think?\Liar.\You don't really like stars that much, do you, Senpai?\So why are you in the astronomy club?\Well, y'know, I like the vibe of it!\Yeah? response:	How many other members are there?
context: So far, 100 of its members have hooked up.\Well? What do you think?\Liar.\You don't really like stars that much, do you, Senpai?\So why are you in the astronomy club?\Well, y'know, I like the vibe of it!\Yeah?\How many other members are there? response:	Sweat Sweat
context: Well? What do you think?\Liar.\You don't really like stars that much, do you, Senpai?\So why are you in the astronomy club?\Well, y'know, I like the vibe of it!\Yeah?\How many other members are there?\Sweat Sweat response:	Don't tell me zero.
context: Liar.\You don't really like stars that much, do you, Senpai?\So why are you in the astronomy club?\Well, y'know, I like the vibe of it!\Yeah?\How many other members are there?\Sweat Sweat\Don't tell me zero. response:	Please.
context: You don't really like stars that much, do you, Senpai?\So why are you in the astronomy club?\Well, y'know, I like the vibe of it!\Yeah?\How many other members are there?\Sweat Sweat\Don't tell me zero.\Please. response:	You aren't interested in any other clubs, right?
context: So why are you in the astronomy club?\Well, y'know, I like the vibe of it!\Yeah?\How many other members are there?\Sweat Sweat\Don't tell me zero.\Please.\You aren't interested in any other clubs, right? response:	But...
context: Well, y'know, I like the vibe of it!\Yeah?\How many other members are there?\Sweat Sweat\Don't tell me zero.\Please.\You aren't interested in any other clubs, right?\But... response:	Let me tell you a story that'll make you like stars, then.
context: Yeah?\How many other members are there?\Sweat Sweat\Don't tell me zero.\Please.\You aren't interested in any other clubs, right?\But...\Let me tell you a story that'll make you like stars, then. response:	Bam!
context: How many other members are there?\Sweat Sweat\Don't tell me zero.\Please.\You aren't interested in any other clubs, right?\But...\Let me tell you a story that'll make you like stars, then.\Bam! response:	Look over there.
context: Sweat Sweat\Don't tell me zero.\Please.\You aren't interested in any other clubs, right?\But...\Let me tell you a story that'll make you like stars, then.\Bam!\Look over there. response:	There's a star called Spica somewhere around there.
context: Don't tell me zero.\Please.\You aren't interested in any other clubs, right?\But...\Let me tell you a story that'll make you like stars, then.\Bam!\Look over there.\There's a star called Spica somewhere around there. response:	It looks like one big star,
context: Please.\You aren't interested in any other clubs, right?\But...\Let me tell you a story that'll make you like stars, then.\Bam!\Look over there.\There's a star called Spica somewhere around there.\It looks like one big star, response:	but it's actually two stars spinning around and pulling each other.
context: You aren't interested in any other clubs, right?\But...\Let me tell you a story that'll make you like stars, then.\Bam!\Look over there.\There's a star called Spica somewhere around there.\It looks like one big star,\but it's actually two stars spinning around and pulling each other. response:	Or something.
context: But...\Let me tell you a story that'll make you like stars, then.\Bam!\Look over there.\There's a star called Spica somewhere around there.\It looks like one big star,\but it's actually two stars spinning around and pulling each other.\Or something. response:	Two stars help each other and become one big light.
context: Let me tell you a story that'll make you like stars, then.\Bam!\Look over there.\There's a star called Spica somewhere around there.\It looks like one big star,\but it's actually two stars spinning around and pulling each other.\Or something.\Two stars help each other and become one big light. response:	Isn't that philosophical?
context: Bam!\Look over there.\There's a star called Spica somewhere around there.\It looks like one big star,\but it's actually two stars spinning around and pulling each other.\Or something.\Two stars help each other and become one big light.\Isn't that philosophical? response:	Sure.
context: Look over there.\There's a star called Spica somewhere around there.\It looks like one big star,\but it's actually two stars spinning around and pulling each other.\Or something.\Two stars help each other and become one big light.\Isn't that philosophical?\Sure. response:	Are you interested now?
context: There's a star called Spica somewhere around there.\It looks like one big star,\but it's actually two stars spinning around and pulling each other.\Or something.\Two stars help each other and become one big light.\Isn't that philosophical?\Sure.\Are you interested now? response:	Not really.
context: It looks like one big star,\but it's actually two stars spinning around and pulling each other.\Or something.\Two stars help each other and become one big light.\Isn't that philosophical?\Sure.\Are you interested now?\Not really. response:	That's so weird.
context: but it's actually two stars spinning around and pulling each other.\Or something.\Two stars help each other and become one big light.\Isn't that philosophical?\Sure.\Are you interested now?\Not really.\That's so weird. response:	I ripped off Senpai's story...
context: Or something.\Two stars help each other and become one big light.\Isn't that philosophical?\Sure.\Are you interested now?\Not really.\That's so weird.\I ripped off Senpai's story... response:	Is that all you've got?
context: Two stars help each other and become one big light.\Isn't that philosophical?\Sure.\Are you interested now?\Not really.\That's so weird.\I ripped off Senpai's story...\Is that all you've got? response:	I feel like he taught me all kinds of stuff...
context: Isn't that philosophical?\Sure.\Are you interested now?\Not really.\That's so weird.\I ripped off Senpai's story...\Is that all you've got?\I feel like he taught me all kinds of stuff... response:	Mars!
context: Sure.\Are you interested now?\Not really.\That's so weird.\I ripped off Senpai's story...\Is that all you've got?\I feel like he taught me all kinds of stuff...\Mars! response:	I had delicious takoyaki while watching Mars.
context: Are you interested now?\Not really.\That's so weird.\I ripped off Senpai's story...\Is that all you've got?\I feel like he taught me all kinds of stuff...\Mars!\I had delicious takoyaki while watching Mars. response:	My senpai, who just graduated, was, like,
context: Not really.\That's so weird.\I ripped off Senpai's story...\Is that all you've got?\I feel like he taught me all kinds of stuff...\Mars!\I had delicious takoyaki while watching Mars.\My senpai, who just graduated, was, like, response:	Martians look like octopus, don't they?
context: That's so weird.\I ripped off Senpai's story...\Is that all you've got?\I feel like he taught me all kinds of stuff...\Mars!\I had delicious takoyaki while watching Mars.\My senpai, who just graduated, was, like,\Martians look like octopus, don't they? response:	So I made takoyaki as we watched Mars.
