context: My Lord, Xuan Nu fled to Yingzhou yesterday. response:	She has a mortal with her.
context: why would you keep holding on to that child?\I can't figure you out.\Do you also think that I'm crazy for carrying a sick child around all day?\No.\Grand Ziming Palace is a cursed place.\It's filled with hatred and desire.\If anyone stays there...\they will be forced to do all sorts of harm to others. response:	And they can never redeem themselves.
context: I can't figure you out.\Do you also think that I'm crazy for carrying a sick child around all day?\No.\Grand Ziming Palace is a cursed place.\It's filled with hatred and desire.\If anyone stays there...\they will be forced to do all sorts of harm to others.\And they can never redeem themselves. response:	If you didn't follow my second brother home...
context: Do you also think that I'm crazy for carrying a sick child around all day?\No.\Grand Ziming Palace is a cursed place.\It's filled with hatred and desire.\If anyone stays there...\they will be forced to do all sorts of harm to others.\And they can never redeem themselves.\If you didn't follow my second brother home... response:	You wouldn't end up losing everything and be filled with so much hatred.
context: No.\Grand Ziming Palace is a cursed place.\It's filled with hatred and desire.\If anyone stays there...\they will be forced to do all sorts of harm to others.\And they can never redeem themselves.\If you didn't follow my second brother home...\You wouldn't end up losing everything and be filled with so much hatred. response:	Indeed.
context: Grand Ziming Palace is a cursed place.\It's filled with hatred and desire.\If anyone stays there...\they will be forced to do all sorts of harm to others.\And they can never redeem themselves.\If you didn't follow my second brother home...\You wouldn't end up losing everything and be filled with so much hatred.\Indeed. response:	If I hadn't gone to the Ghost Realm with your second brother...
context: It's filled with hatred and desire.\If anyone stays there...\they will be forced to do all sorts of harm to others.\And they can never redeem themselves.\If you didn't follow my second brother home...\You wouldn't end up losing everything and be filled with so much hatred.\Indeed.\If I hadn't gone to the Ghost Realm with your second brother... response:	Do you know that I'm the youngest daughter in my family?
context: If anyone stays there...\they will be forced to do all sorts of harm to others.\And they can never redeem themselves.\If you didn't follow my second brother home...\You wouldn't end up losing everything and be filled with so much hatred.\Indeed.\If I hadn't gone to the Ghost Realm with your second brother...\Do you know that I'm the youngest daughter in my family? response:	When I was still a baby
context: they will be forced to do all sorts of harm to others.\And they can never redeem themselves.\If you didn't follow my second brother home...\You wouldn't end up losing everything and be filled with so much hatred.\Indeed.\If I hadn't gone to the Ghost Realm with your second brother...\Do you know that I'm the youngest daughter in my family?\When I was still a baby response:	my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son.
context: And they can never redeem themselves.\If you didn't follow my second brother home...\You wouldn't end up losing everything and be filled with so much hatred.\Indeed.\If I hadn't gone to the Ghost Realm with your second brother...\Do you know that I'm the youngest daughter in my family?\When I was still a baby\my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son. response:	I kept hearing how my eldest sister made our family proud.
context: If you didn't follow my second brother home...\You wouldn't end up losing everything and be filled with so much hatred.\Indeed.\If I hadn't gone to the Ghost Realm with your second brother...\Do you know that I'm the youngest daughter in my family?\When I was still a baby\my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son.\I kept hearing how my eldest sister made our family proud. response:	It's because of my sister that I grew up with Qing Qiu's Bai Qian.
context: You wouldn't end up losing everything and be filled with so much hatred.\Indeed.\If I hadn't gone to the Ghost Realm with your second brother...\Do you know that I'm the youngest daughter in my family?\When I was still a baby\my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son.\I kept hearing how my eldest sister made our family proud.\It's because of my sister that I grew up with Qing Qiu's Bai Qian. response:	She is the princess of Qing Qiu the most beautiful woman of Qing Qiu.
context: Indeed.\If I hadn't gone to the Ghost Realm with your second brother...\Do you know that I'm the youngest daughter in my family?\When I was still a baby\my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son.\I kept hearing how my eldest sister made our family proud.\It's because of my sister that I grew up with Qing Qiu's Bai Qian.\She is the princess of Qing Qiu the most beautiful woman of Qing Qiu. response:	But I am nothing.
context: If I hadn't gone to the Ghost Realm with your second brother...\Do you know that I'm the youngest daughter in my family?\When I was still a baby\my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son.\I kept hearing how my eldest sister made our family proud.\It's because of my sister that I grew up with Qing Qiu's Bai Qian.\She is the princess of Qing Qiu the most beautiful woman of Qing Qiu.\But I am nothing. response:	Then my mother made me marry a Black Bear Spirit.
context: Do you know that I'm the youngest daughter in my family?\When I was still a baby\my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son.\I kept hearing how my eldest sister made our family proud.\It's because of my sister that I grew up with Qing Qiu's Bai Qian.\She is the princess of Qing Qiu the most beautiful woman of Qing Qiu.\But I am nothing.\Then my mother made me marry a Black Bear Spirit. response:	I ran away to Kunlun Mountain.
context: When I was still a baby\my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son.\I kept hearing how my eldest sister made our family proud.\It's because of my sister that I grew up with Qing Qiu's Bai Qian.\She is the princess of Qing Qiu the most beautiful woman of Qing Qiu.\But I am nothing.\Then my mother made me marry a Black Bear Spirit.\I ran away to Kunlun Mountain. response:	Yan Zhi, I really do love your second brother.
context: my eldest sister married Qing Qiu Fox King Bai Zhi's eldest son.\I kept hearing how my eldest sister made our family proud.\It's because of my sister that I grew up with Qing Qiu's Bai Qian.\She is the princess of Qing Qiu the most beautiful woman of Qing Qiu.\But I am nothing.\Then my mother made me marry a Black Bear Spirit.\I ran away to Kunlun Mountain.\Yan Zhi, I really do love your second brother. response:	I stole Si Yin's sweetheart.
context: I kept hearing how my eldest sister made our family proud.\It's because of my sister that I grew up with Qing Qiu's Bai Qian.\She is the princess of Qing Qiu the most beautiful woman of Qing Qiu.\But I am nothing.\Then my mother made me marry a Black Bear Spirit.\I ran away to Kunlun Mountain.\Yan Zhi, I really do love your second brother.\I stole Si Yin's sweetheart. response:	I took one wrong step and it all went awry.
context: It's because of my sister that I grew up with Qing Qiu's Bai Qian.\She is the princess of Qing Qiu the most beautiful woman of Qing Qiu.\But I am nothing.\Then my mother made me marry a Black Bear Spirit.\I ran away to Kunlun Mountain.\Yan Zhi, I really do love your second brother.\I stole Si Yin's sweetheart.\I took one wrong step and it all went awry. response:	I could no longer turn back.
context: She is the princess of Qing Qiu the most beautiful woman of Qing Qiu.\But I am nothing.\Then my mother made me marry a Black Bear Spirit.\I ran away to Kunlun Mountain.\Yan Zhi, I really do love your second brother.\I stole Si Yin's sweetheart.\I took one wrong step and it all went awry.\I could no longer turn back. response:	I gave up everything for your second brother.
context: But I am nothing.\Then my mother made me marry a Black Bear Spirit.\I ran away to Kunlun Mountain.\Yan Zhi, I really do love your second brother.\I stole Si Yin's sweetheart.\I took one wrong step and it all went awry.\I could no longer turn back.\I gave up everything for your second brother. response:	He thought that all I wanted was to be the Ghost Queen.
context: Then my mother made me marry a Black Bear Spirit.\I ran away to Kunlun Mountain.\Yan Zhi, I really do love your second brother.\I stole Si Yin's sweetheart.\I took one wrong step and it all went awry.\I could no longer turn back.\I gave up everything for your second brother.\He thought that all I wanted was to be the Ghost Queen. response:	But if I don't truly love him, how would I end up like this?
context: I ran away to Kunlun Mountain.\Yan Zhi, I really do love your second brother.\I stole Si Yin's sweetheart.\I took one wrong step and it all went awry.\I could no longer turn back.\I gave up everything for your second brother.\He thought that all I wanted was to be the Ghost Queen.\But if I don't truly love him, how would I end up like this? response:	Your second sister-in-law keeps holding her sick child?
context: Yan Zhi, I really do love your second brother.\I stole Si Yin's sweetheart.\I took one wrong step and it all went awry.\I could no longer turn back.\I gave up everything for your second brother.\He thought that all I wanted was to be the Ghost Queen.\But if I don't truly love him, how would I end up like this?\Your second sister-in-law keeps holding her sick child? response:	It is her child, but it still seems quite scary.
context: I stole Si Yin's sweetheart.\I took one wrong step and it all went awry.\I could no longer turn back.\I gave up everything for your second brother.\He thought that all I wanted was to be the Ghost Queen.\But if I don't truly love him, how would I end up like this?\Your second sister-in-law keeps holding her sick child?\It is her child, but it still seems quite scary. response:	You came all the way here with us.
context: I took one wrong step and it all went awry.\I could no longer turn back.\I gave up everything for your second brother.\He thought that all I wanted was to be the Ghost Queen.\But if I don't truly love him, how would I end up like this?\Your second sister-in-law keeps holding her sick child?\It is her child, but it still seems quite scary.\You came all the way here with us. response:	Are you not frightened?
context: I could no longer turn back.\I gave up everything for your second brother.\He thought that all I wanted was to be the Ghost Queen.\But if I don't truly love him, how would I end up like this?\Your second sister-in-law keeps holding her sick child?\It is her child, but it still seems quite scary.\You came all the way here with us.\Are you not frightened? response:	Of what?
context: I gave up everything for your second brother.\He thought that all I wanted was to be the Ghost Queen.\But if I don't truly love him, how would I end up like this?\Your second sister-in-law keeps holding her sick child?\It is her child, but it still seems quite scary.\You came all the way here with us.\Are you not frightened?\Of what? response:	I am no mortal. I'm from Ghost Tribe.
context: He thought that all I wanted was to be the Ghost Queen.\But if I don't truly love him, how would I end up like this?\Your second sister-in-law keeps holding her sick child?\It is her child, but it still seems quite scary.\You came all the way here with us.\Are you not frightened?\Of what?\I am no mortal. I'm from Ghost Tribe. response:	You're talking about that?
context: But if I don't truly love him, how would I end up like this?\Your second sister-in-law keeps holding her sick child?\It is her child, but it still seems quite scary.\You came all the way here with us.\Are you not frightened?\Of what?\I am no mortal. I'm from Ghost Tribe.\You're talking about that? response:	I've always liked listening to plays since I was little.
context: Your second sister-in-law keeps holding her sick child?\It is her child, but it still seems quite scary.\You came all the way here with us.\Are you not frightened?\Of what?\I am no mortal. I'm from Ghost Tribe.\You're talking about that?\I've always liked listening to plays since I was little. response:	The beautiful ladies of the Ghost Tribe only exist in books.
context: It is her child, but it still seems quite scary.\You came all the way here with us.\Are you not frightened?\Of what?\I am no mortal. I'm from Ghost Tribe.\You're talking about that?\I've always liked listening to plays since I was little.\The beautiful ladies of the Ghost Tribe only exist in books. response:	Now that I've met one why should I be scared?
context: You came all the way here with us.\Are you not frightened?\Of what?\I am no mortal. I'm from Ghost Tribe.\You're talking about that?\I've always liked listening to plays since I was little.\The beautiful ladies of the Ghost Tribe only exist in books.\Now that I've met one why should I be scared? response:	This is Yingzhou of the Eastern Sea.
context: Are you not frightened?\Of what?\I am no mortal. I'm from Ghost Tribe.\You're talking about that?\I've always liked listening to plays since I was little.\The beautiful ladies of the Ghost Tribe only exist in books.\Now that I've met one why should I be scared?\This is Yingzhou of the Eastern Sea. response:	Not even deities dare to come here.
context: Of what?\I am no mortal. I'm from Ghost Tribe.\You're talking about that?\I've always liked listening to plays since I was little.\The beautiful ladies of the Ghost Tribe only exist in books.\Now that I've met one why should I be scared?\This is Yingzhou of the Eastern Sea.\Not even deities dare to come here. response:	Yet you insisted on coming with us.
context: I am no mortal. I'm from Ghost Tribe.\You're talking about that?\I've always liked listening to plays since I was little.\The beautiful ladies of the Ghost Tribe only exist in books.\Now that I've met one why should I be scared?\This is Yingzhou of the Eastern Sea.\Not even deities dare to come here.\Yet you insisted on coming with us. response:	Aren't you afraid of getting killed?
context: You're talking about that?\I've always liked listening to plays since I was little.\The beautiful ladies of the Ghost Tribe only exist in books.\Now that I've met one why should I be scared?\This is Yingzhou of the Eastern Sea.\Not even deities dare to come here.\Yet you insisted on coming with us.\Aren't you afraid of getting killed? response:	I don't know a thing about Yingzhou of the Eastern Sea.
context: I've always liked listening to plays since I was little.\The beautiful ladies of the Ghost Tribe only exist in books.\Now that I've met one why should I be scared?\This is Yingzhou of the Eastern Sea.\Not even deities dare to come here.\Yet you insisted on coming with us.\Aren't you afraid of getting killed?\I don't know a thing about Yingzhou of the Eastern Sea. response:	The ignorant has nothing to fear.
context: The beautiful ladies of the Ghost Tribe only exist in books.\Now that I've met one why should I be scared?\This is Yingzhou of the Eastern Sea.\Not even deities dare to come here.\Yet you insisted on coming with us.\Aren't you afraid of getting killed?\I don't know a thing about Yingzhou of the Eastern Sea.\The ignorant has nothing to fear. response:	Who knew that you could say such wise words?
context: Now that I've met one why should I be scared?\This is Yingzhou of the Eastern Sea.\Not even deities dare to come here.\Yet you insisted on coming with us.\Aren't you afraid of getting killed?\I don't know a thing about Yingzhou of the Eastern Sea.\The ignorant has nothing to fear.\Who knew that you could say such wise words? response:	I'm a constable.
context: This is Yingzhou of the Eastern Sea.\Not even deities dare to come here.\Yet you insisted on coming with us.\Aren't you afraid of getting killed?\I don't know a thing about Yingzhou of the Eastern Sea.\The ignorant has nothing to fear.\Who knew that you could say such wise words?\I'm a constable. response:	I would hear that from the officials.
context: Not even deities dare to come here.\Yet you insisted on coming with us.\Aren't you afraid of getting killed?\I don't know a thing about Yingzhou of the Eastern Sea.\The ignorant has nothing to fear.\Who knew that you could say such wise words?\I'm a constable.\I would hear that from the officials. response:	I remember those words after listening to them so often.
context: Yet you insisted on coming with us.\Aren't you afraid of getting killed?\I don't know a thing about Yingzhou of the Eastern Sea.\The ignorant has nothing to fear.\Who knew that you could say such wise words?\I'm a constable.\I would hear that from the officials.\I remember those words after listening to them so often. response:	Go to bed now. I'll keep watch.
context: Aren't you afraid of getting killed?\I don't know a thing about Yingzhou of the Eastern Sea.\The ignorant has nothing to fear.\Who knew that you could say such wise words?\I'm a constable.\I would hear that from the officials.\I remember those words after listening to them so often.\Go to bed now. I'll keep watch. response:	No, this can't be all there is to you.
context: I don't know a thing about Yingzhou of the Eastern Sea.\The ignorant has nothing to fear.\Who knew that you could say such wise words?\I'm a constable.\I would hear that from the officials.\I remember those words after listening to them so often.\Go to bed now. I'll keep watch.\No, this can't be all there is to you. response:	Women...
context: The ignorant has nothing to fear.\Who knew that you could say such wise words?\I'm a constable.\I would hear that from the officials.\I remember those words after listening to them so often.\Go to bed now. I'll keep watch.\No, this can't be all there is to you.\Women... response:	Women always think too much.
context: Who knew that you could say such wise words?\I'm a constable.\I would hear that from the officials.\I remember those words after listening to them so often.\Go to bed now. I'll keep watch.\No, this can't be all there is to you.\Women...\Women always think too much. response:	Do you like anyone?
context: I'm a constable.\I would hear that from the officials.\I remember those words after listening to them so often.\Go to bed now. I'll keep watch.\No, this can't be all there is to you.\Women...\Women always think too much.\Do you like anyone? response:	Why would you suddenly ask me so?
context: I would hear that from the officials.\I remember those words after listening to them so often.\Go to bed now. I'll keep watch.\No, this can't be all there is to you.\Women...\Women always think too much.\Do you like anyone?\Why would you suddenly ask me so? response:	I just want to know.
context: I remember those words after listening to them so often.\Go to bed now. I'll keep watch.\No, this can't be all there is to you.\Women...\Women always think too much.\Do you like anyone?\Why would you suddenly ask me so?\I just want to know. response:	70,000 years ago, I guess I liked someone.
context: Go to bed now. I'll keep watch.\No, this can't be all there is to you.\Women...\Women always think too much.\Do you like anyone?\Why would you suddenly ask me so?\I just want to know.\70,000 years ago, I guess I liked someone. response:	He was a deity and I was still young then.
context: No, this can't be all there is to you.\Women...\Women always think too much.\Do you like anyone?\Why would you suddenly ask me so?\I just want to know.\70,000 years ago, I guess I liked someone.\He was a deity and I was still young then. response:	I just find him really cute.
context: Women...\Women always think too much.\Do you like anyone?\Why would you suddenly ask me so?\I just want to know.\70,000 years ago, I guess I liked someone.\He was a deity and I was still young then.\I just find him really cute. response:	But then that affection died away.
context: Women always think too much.\Do you like anyone?\Why would you suddenly ask me so?\I just want to know.\70,000 years ago, I guess I liked someone.\He was a deity and I was still young then.\I just find him really cute.\But then that affection died away. response:	I don't know if that means I liked him.
context: Do you like anyone?\Why would you suddenly ask me so?\I just want to know.\70,000 years ago, I guess I liked someone.\He was a deity and I was still young then.\I just find him really cute.\But then that affection died away.\I don't know if that means I liked him. response:	You really do say whatever is on your mind.
context: Why would you suddenly ask me so?\I just want to know.\70,000 years ago, I guess I liked someone.\He was a deity and I was still young then.\I just find him really cute.\But then that affection died away.\I don't know if that means I liked him.\You really do say whatever is on your mind. response:	I have always been so.
context: I just want to know.\70,000 years ago, I guess I liked someone.\He was a deity and I was still young then.\I just find him really cute.\But then that affection died away.\I don't know if that means I liked him.\You really do say whatever is on your mind.\I have always been so. response:	It's just that in the Mortal Realm mortals are too hard to tackle.
context: 70,000 years ago, I guess I liked someone.\He was a deity and I was still young then.\I just find him really cute.\But then that affection died away.\I don't know if that means I liked him.\You really do say whatever is on your mind.\I have always been so.\It's just that in the Mortal Realm mortals are too hard to tackle. response:	I might as well pretend to be mute.
context: He was a deity and I was still young then.\I just find him really cute.\But then that affection died away.\I don't know if that means I liked him.\You really do say whatever is on your mind.\I have always been so.\It's just that in the Mortal Realm mortals are too hard to tackle.\I might as well pretend to be mute. response:	As for me, the mortal constable I also say whatever is on my mind.
context: I just find him really cute.\But then that affection died away.\I don't know if that means I liked him.\You really do say whatever is on your mind.\I have always been so.\It's just that in the Mortal Realm mortals are too hard to tackle.\I might as well pretend to be mute.\As for me, the mortal constable I also say whatever is on my mind. response:	Little mute girl.
context: But then that affection died away.\I don't know if that means I liked him.\You really do say whatever is on your mind.\I have always been so.\It's just that in the Mortal Realm mortals are too hard to tackle.\I might as well pretend to be mute.\As for me, the mortal constable I also say whatever is on my mind.\Little mute girl. response:	I like you.
context: I don't know if that means I liked him.\You really do say whatever is on your mind.\I have always been so.\It's just that in the Mortal Realm mortals are too hard to tackle.\I might as well pretend to be mute.\As for me, the mortal constable I also say whatever is on my mind.\Little mute girl.\I like you. response:	You...
context: You really do say whatever is on your mind.\I have always been so.\It's just that in the Mortal Realm mortals are too hard to tackle.\I might as well pretend to be mute.\As for me, the mortal constable I also say whatever is on my mind.\Little mute girl.\I like you.\You... response:	You what?
context: I have always been so.\It's just that in the Mortal Realm mortals are too hard to tackle.\I might as well pretend to be mute.\As for me, the mortal constable I also say whatever is on my mind.\Little mute girl.\I like you.\You...\You what? response:	Don't you always say what is on your mind?
context: It's just that in the Mortal Realm mortals are too hard to tackle.\I might as well pretend to be mute.\As for me, the mortal constable I also say whatever is on my mind.\Little mute girl.\I like you.\You...\You what?\Don't you always say what is on your mind? response:	Why are you stammering now?
context: I might as well pretend to be mute.\As for me, the mortal constable I also say whatever is on my mind.\Little mute girl.\I like you.\You...\You what?\Don't you always say what is on your mind?\Why are you stammering now? response:	Do you like me?
context: As for me, the mortal constable I also say whatever is on my mind.\Little mute girl.\I like you.\You...\You what?\Don't you always say what is on your mind?\Why are you stammering now?\Do you like me? response:	- I... - All right.
context: Little mute girl.\I like you.\You...\You what?\Don't you always say what is on your mind?\Why are you stammering now?\Do you like me?\- I... - All right. response:	Don't tell me your answer and don't fall for me.
context: I like you.\You...\You what?\Don't you always say what is on your mind?\Why are you stammering now?\Do you like me?\- I... - All right.\Don't tell me your answer and don't fall for me. response:	You already knew who I am?
context: You...\You what?\Don't you always say what is on your mind?\Why are you stammering now?\Do you like me?\- I... - All right.\Don't tell me your answer and don't fall for me.\You already knew who I am? response:	Yes, I know who you are.
context: You what?\Don't you always say what is on your mind?\Why are you stammering now?\Do you like me?\- I... - All right.\Don't tell me your answer and don't fall for me.\You already knew who I am?\Yes, I know who you are. response:	You're Yan Zhi the princess of the Ghost Tribe.
context: Don't you always say what is on your mind?\Why are you stammering now?\Do you like me?\- I... - All right.\Don't tell me your answer and don't fall for me.\You already knew who I am?\Yes, I know who you are.\You're Yan Zhi the princess of the Ghost Tribe. response:	Ghost Lord's younger sister.
context: Why are you stammering now?\Do you like me?\- I... - All right.\Don't tell me your answer and don't fall for me.\You already knew who I am?\Yes, I know who you are.\You're Yan Zhi the princess of the Ghost Tribe.\Ghost Lord's younger sister. response:	You knew it all along?
context: Do you like me?\- I... - All right.\Don't tell me your answer and don't fall for me.\You already knew who I am?\Yes, I know who you are.\You're Yan Zhi the princess of the Ghost Tribe.\Ghost Lord's younger sister.\You knew it all along? response:	I knew it from the start.
context: - I... - All right.\Don't tell me your answer and don't fall for me.\You already knew who I am?\Yes, I know who you are.\You're Yan Zhi the princess of the Ghost Tribe.\Ghost Lord's younger sister.\You knew it all along?\I knew it from the start. response:	Who are you?
context: Don't tell me your answer and don't fall for me.\You already knew who I am?\Yes, I know who you are.\You're Yan Zhi the princess of the Ghost Tribe.\Ghost Lord's younger sister.\You knew it all along?\I knew it from the start.\Who are you? response:	I'll tell you everything tomorrow.
context: You already knew who I am?\Yes, I know who you are.\You're Yan Zhi the princess of the Ghost Tribe.\Ghost Lord's younger sister.\You knew it all along?\I knew it from the start.\Who are you?\I'll tell you everything tomorrow. response:	Just pretend that you know nothing for now.
context: Yes, I know who you are.\You're Yan Zhi the princess of the Ghost Tribe.\Ghost Lord's younger sister.\You knew it all along?\I knew it from the start.\Who are you?\I'll tell you everything tomorrow.\Just pretend that you know nothing for now. response:	Just treat me as a constable and let me protect you on this last journey.
context: You're Yan Zhi the princess of the Ghost Tribe.\Ghost Lord's younger sister.\You knew it all along?\I knew it from the start.\Who are you?\I'll tell you everything tomorrow.\Just pretend that you know nothing for now.\Just treat me as a constable and let me protect you on this last journey. response:	Please?
context: Ghost Lord's younger sister.\You knew it all along?\I knew it from the start.\Who are you?\I'll tell you everything tomorrow.\Just pretend that you know nothing for now.\Just treat me as a constable and let me protect you on this last journey.\Please? response:	All right.
context: You knew it all along?\I knew it from the start.\Who are you?\I'll tell you everything tomorrow.\Just pretend that you know nothing for now.\Just treat me as a constable and let me protect you on this last journey.\Please?\All right. response:	Great.
context: I knew it from the start.\Who are you?\I'll tell you everything tomorrow.\Just pretend that you know nothing for now.\Just treat me as a constable and let me protect you on this last journey.\Please?\All right.\Great. response:	This is the Yan Zhi I like.
context: Who are you?\I'll tell you everything tomorrow.\Just pretend that you know nothing for now.\Just treat me as a constable and let me protect you on this last journey.\Please?\All right.\Great.\This is the Yan Zhi I like. response:	Go to bed. I'll be on watch.
context: I'll tell you everything tomorrow.\Just pretend that you know nothing for now.\Just treat me as a constable and let me protect you on this last journey.\Please?\All right.\Great.\This is the Yan Zhi I like.\Go to bed. I'll be on watch. response:	The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie
context: Just pretend that you know nothing for now.\Just treat me as a constable and let me protect you on this last journey.\Please?\All right.\Great.\This is the Yan Zhi I like.\Go to bed. I'll be on watch.\The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie response:	inherited half of Heavenly Father's powers.
context: Just treat me as a constable and let me protect you on this last journey.\Please?\All right.\Great.\This is the Yan Zhi I like.\Go to bed. I'll be on watch.\The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie\inherited half of Heavenly Father's powers. response:	They are very ferocious.
