context: Why are you going through Reiko's belongings? response:	Looking for something?
context: This guy says that he eats the kitsune first in kitsune udon!\Can you believe that?\Of course you should eat it first!\What are you talking about?\The kitsune must be put at the bottom of the soup and eaten last!\Isn't that right, Natsume?\No! You should eat the kitsune before it absorbs the soup!\Right, Natsume? response:	W-Well, I think that either way is fine.
context: Can you believe that?\Of course you should eat it first!\What are you talking about?\The kitsune must be put at the bottom of the soup and eaten last!\Isn't that right, Natsume?\No! You should eat the kitsune before it absorbs the soup!\Right, Natsume?\W-Well, I think that either way is fine. response:	No!
context: Of course you should eat it first!\What are you talking about?\The kitsune must be put at the bottom of the soup and eaten last!\Isn't that right, Natsume?\No! You should eat the kitsune before it absorbs the soup!\Right, Natsume?\W-Well, I think that either way is fine.\No! response:	The kitsune must be eaten later!
context: What are you talking about?\The kitsune must be put at the bottom of the soup and eaten last!\Isn't that right, Natsume?\No! You should eat the kitsune before it absorbs the soup!\Right, Natsume?\W-Well, I think that either way is fine.\No!\The kitsune must be eaten later! response:	It should be first!
context: The kitsune must be put at the bottom of the soup and eaten last!\Isn't that right, Natsume?\No! You should eat the kitsune before it absorbs the soup!\Right, Natsume?\W-Well, I think that either way is fine.\No!\The kitsune must be eaten later!\It should be first! response:	Well, before arguing any more, I don't think it should be called kitsune.
context: Isn't that right, Natsume?\No! You should eat the kitsune before it absorbs the soup!\Right, Natsume?\W-Well, I think that either way is fine.\No!\The kitsune must be eaten later!\It should be first!\Well, before arguing any more, I don't think it should be called kitsune. response:	That doesn't matter!
context: No! You should eat the kitsune before it absorbs the soup!\Right, Natsume?\W-Well, I think that either way is fine.\No!\The kitsune must be eaten later!\It should be first!\Well, before arguing any more, I don't think it should be called kitsune.\That doesn't matter! response:	Sorry.
context: Right, Natsume?\W-Well, I think that either way is fine.\No!\The kitsune must be eaten later!\It should be first!\Well, before arguing any more, I don't think it should be called kitsune.\That doesn't matter!\Sorry. response:	Later!
context: W-Well, I think that either way is fine.\No!\The kitsune must be eaten later!\It should be first!\Well, before arguing any more, I don't think it should be called kitsune.\That doesn't matter!\Sorry.\Later! response:	First!
context: No!\The kitsune must be eaten later!\It should be first!\Well, before arguing any more, I don't think it should be called kitsune.\That doesn't matter!\Sorry.\Later!\First! response:	Hey, stop it!
context: The kitsune must be eaten later!\It should be first!\Well, before arguing any more, I don't think it should be called kitsune.\That doesn't matter!\Sorry.\Later!\First!\Hey, stop it! response:	We're through!
context: It should be first!\Well, before arguing any more, I don't think it should be called kitsune.\That doesn't matter!\Sorry.\Later!\First!\Hey, stop it!\We're through! response:	Yeah, fine by me!
context: Well, before arguing any more, I don't think it should be called kitsune.\That doesn't matter!\Sorry.\Later!\First!\Hey, stop it!\We're through!\Yeah, fine by me! response:	H-Hey!
context: That doesn't matter!\Sorry.\Later!\First!\Hey, stop it!\We're through!\Yeah, fine by me!\H-Hey! response:	What a silly fight.
context: Sorry.\Later!\First!\Hey, stop it!\We're through!\Yeah, fine by me!\H-Hey!\What a silly fight. response:	Here. You dropped this, right?
context: Later!\First!\Hey, stop it!\We're through!\Yeah, fine by me!\H-Hey!\What a silly fight.\Here. You dropped this, right? response:	This is an old ticket, right?
context: First!\Hey, stop it!\We're through!\Yeah, fine by me!\H-Hey!\What a silly fight.\Here. You dropped this, right?\This is an old ticket, right? response:	What's up with it?
context: Hey, stop it!\We're through!\Yeah, fine by me!\H-Hey!\What a silly fight.\Here. You dropped this, right?\This is an old ticket, right?\What's up with it? response:	Nothing really.
context: We're through!\Yeah, fine by me!\H-Hey!\What a silly fight.\Here. You dropped this, right?\This is an old ticket, right?\What's up with it?\Nothing really. response:	What does it have to do with you?
context: Yeah, fine by me!\H-Hey!\What a silly fight.\Here. You dropped this, right?\This is an old ticket, right?\What's up with it?\Nothing really.\What does it have to do with you? response:	It seems to have some kind of history.
context: H-Hey!\What a silly fight.\Here. You dropped this, right?\This is an old ticket, right?\What's up with it?\Nothing really.\What does it have to do with you?\It seems to have some kind of history. response:	That's not it.
context: What a silly fight.\Here. You dropped this, right?\This is an old ticket, right?\What's up with it?\Nothing really.\What does it have to do with you?\It seems to have some kind of history.\That's not it. response:	I picked it up on my way to school this morning.
context: Here. You dropped this, right?\This is an old ticket, right?\What's up with it?\Nothing really.\What does it have to do with you?\It seems to have some kind of history.\That's not it.\I picked it up on my way to school this morning. response:	You're terrible at telling lies.
context: This is an old ticket, right?\What's up with it?\Nothing really.\What does it have to do with you?\It seems to have some kind of history.\That's not it.\I picked it up on my way to school this morning.\You're terrible at telling lies. response:	I'm telling you, it's nothing.
context: What's up with it?\Nothing really.\What does it have to do with you?\It seems to have some kind of history.\That's not it.\I picked it up on my way to school this morning.\You're terrible at telling lies.\I'm telling you, it's nothing. response:	I'll ask for all the details later.
context: Nothing really.\What does it have to do with you?\It seems to have some kind of history.\That's not it.\I picked it up on my way to school this morning.\You're terrible at telling lies.\I'm telling you, it's nothing.\I'll ask for all the details later. response:	Natsume-kun.
context: What does it have to do with you?\It seems to have some kind of history.\That's not it.\I picked it up on my way to school this morning.\You're terrible at telling lies.\I'm telling you, it's nothing.\I'll ask for all the details later.\Natsume-kun. response:	There's no point in running.
context: It seems to have some kind of history.\That's not it.\I picked it up on my way to school this morning.\You're terrible at telling lies.\I'm telling you, it's nothing.\I'll ask for all the details later.\Natsume-kun.\There's no point in running. response:	Ah, no, I wasn't running away.
context: That's not it.\I picked it up on my way to school this morning.\You're terrible at telling lies.\I'm telling you, it's nothing.\I'll ask for all the details later.\Natsume-kun.\There's no point in running.\Ah, no, I wasn't running away. response:	Where are you going?
context: I picked it up on my way to school this morning.\You're terrible at telling lies.\I'm telling you, it's nothing.\I'll ask for all the details later.\Natsume-kun.\There's no point in running.\Ah, no, I wasn't running away.\Where are you going? response:	Where?
context: You're terrible at telling lies.\I'm telling you, it's nothing.\I'll ask for all the details later.\Natsume-kun.\There's no point in running.\Ah, no, I wasn't running away.\Where are you going?\Where? response:	Home.
context: I'm telling you, it's nothing.\I'll ask for all the details later.\Natsume-kun.\There's no point in running.\Ah, no, I wasn't running away.\Where are you going?\Where?\Home. response:	You're going to the station on that ticket, aren't you?
context: I'll ask for all the details later.\Natsume-kun.\There's no point in running.\Ah, no, I wasn't running away.\Where are you going?\Where?\Home.\You're going to the station on that ticket, aren't you? response:	I'll go with you.
context: Natsume-kun.\There's no point in running.\Ah, no, I wasn't running away.\Where are you going?\Where?\Home.\You're going to the station on that ticket, aren't you?\I'll go with you. response:	Where's the station, again?
context: There's no point in running.\Ah, no, I wasn't running away.\Where are you going?\Where?\Home.\You're going to the station on that ticket, aren't you?\I'll go with you.\Where's the station, again? response:	I couldn't see it well earlier, so I forgot.
context: Ah, no, I wasn't running away.\Where are you going?\Where?\Home.\You're going to the station on that ticket, aren't you?\I'll go with you.\Where's the station, again?\I couldn't see it well earlier, so I forgot. response:	Is it close?
context: Where are you going?\Where?\Home.\You're going to the station on that ticket, aren't you?\I'll go with you.\Where's the station, again?\I couldn't see it well earlier, so I forgot.\Is it close? response:	Why do you want to go so much, Sasada?
context: Where?\Home.\You're going to the station on that ticket, aren't you?\I'll go with you.\Where's the station, again?\I couldn't see it well earlier, so I forgot.\Is it close?\Why do you want to go so much, Sasada? response:	A-Ah, well...
context: Home.\You're going to the station on that ticket, aren't you?\I'll go with you.\Where's the station, again?\I couldn't see it well earlier, so I forgot.\Is it close?\Why do you want to go so much, Sasada?\A-Ah, well... response:	That's right! After that test of courage the other day, I've wanted to see a real one up close!
context: You're going to the station on that ticket, aren't you?\I'll go with you.\Where's the station, again?\I couldn't see it well earlier, so I forgot.\Is it close?\Why do you want to go so much, Sasada?\A-Ah, well...\That's right! After that test of courage the other day, I've wanted to see a real one up close! response:	See what?
context: I'll go with you.\Where's the station, again?\I couldn't see it well earlier, so I forgot.\Is it close?\Why do you want to go so much, Sasada?\A-Ah, well...\That's right! After that test of courage the other day, I've wanted to see a real one up close!\See what? response:	See what? Isn't it obvious?
context: Where's the station, again?\I couldn't see it well earlier, so I forgot.\Is it close?\Why do you want to go so much, Sasada?\A-Ah, well...\That's right! After that test of courage the other day, I've wanted to see a real one up close!\See what?\See what? Isn't it obvious? response:	Hey, look, the bus is here.
context: I couldn't see it well earlier, so I forgot.\Is it close?\Why do you want to go so much, Sasada?\A-Ah, well...\That's right! After that test of courage the other day, I've wanted to see a real one up close!\See what?\See what? Isn't it obvious?\Hey, look, the bus is here. response:	Come on, let's get on.
context: Is it close?\Why do you want to go so much, Sasada?\A-Ah, well...\That's right! After that test of courage the other day, I've wanted to see a real one up close!\See what?\See what? Isn't it obvious?\Hey, look, the bus is here.\Come on, let's get on. response:	Hey, you dropped something.
context: Why do you want to go so much, Sasada?\A-Ah, well...\That's right! After that test of courage the other day, I've wanted to see a real one up close!\See what?\See what? Isn't it obvious?\Hey, look, the bus is here.\Come on, let's get on.\Hey, you dropped something. response:	That.
context: A-Ah, well...\That's right! After that test of courage the other day, I've wanted to see a real one up close!\See what?\See what? Isn't it obvious?\Hey, look, the bus is here.\Come on, let's get on.\Hey, you dropped something.\That. response:	What did I drop?
context: That's right! After that test of courage the other day, I've wanted to see a real one up close!\See what?\See what? Isn't it obvious?\Hey, look, the bus is here.\Come on, let's get on.\Hey, you dropped something.\That.\What did I drop? response:	Nothing was dropped.
context: See what?\See what? Isn't it obvious?\Hey, look, the bus is here.\Come on, let's get on.\Hey, you dropped something.\That.\What did I drop?\Nothing was dropped. response:	Look harder.
context: See what? Isn't it obvious?\Hey, look, the bus is here.\Come on, let's get on.\Hey, you dropped something.\That.\What did I drop?\Nothing was dropped.\Look harder. response:	I am.
context: Hey, look, the bus is here.\Come on, let's get on.\Hey, you dropped something.\That.\What did I drop?\Nothing was dropped.\Look harder.\I am. response:	It's right there.
context: Come on, let's get on.\Hey, you dropped something.\That.\What did I drop?\Nothing was dropped.\Look harder.\I am.\It's right there. response:	Where?
context: Hey, you dropped something.\That.\What did I drop?\Nothing was dropped.\Look harder.\I am.\It's right there.\Where? response:	H-Hey, wait!
context: That.\What did I drop?\Nothing was dropped.\Look harder.\I am.\It's right there.\Where?\H-Hey, wait! response:	Wait!
context: What did I drop?\Nothing was dropped.\Look harder.\I am.\It's right there.\Where?\H-Hey, wait!\Wait! response:	It's gone...
context: Nothing was dropped.\Look harder.\I am.\It's right there.\Where?\H-Hey, wait!\Wait!\It's gone... response:	And what are you saying that I droppe-
context: Look harder.\I am.\It's right there.\Where?\H-Hey, wait!\Wait!\It's gone...\And what are you saying that I droppe- response:	He's gone...
context: I am.\It's right there.\Where?\H-Hey, wait!\Wait!\It's gone...\And what are you saying that I droppe-\He's gone... response:	You're finally here. You're late, you know.
context: It's right there.\Where?\H-Hey, wait!\Wait!\It's gone...\And what are you saying that I droppe-\He's gone...\You're finally here. You're late, you know. response:	Nyanko-sensei.
context: Where?\H-Hey, wait!\Wait!\It's gone...\And what are you saying that I droppe-\He's gone...\You're finally here. You're late, you know.\Nyanko-sensei. response:	This place isn't being used anymore.
context: H-Hey, wait!\Wait!\It's gone...\And what are you saying that I droppe-\He's gone...\You're finally here. You're late, you know.\Nyanko-sensei.\This place isn't being used anymore. response:	Yeah.
context: Wait!\It's gone...\And what are you saying that I droppe-\He's gone...\You're finally here. You're late, you know.\Nyanko-sensei.\This place isn't being used anymore.\Yeah. response:	They say that it was abandoned quite a while ago.
context: It's gone...\And what are you saying that I droppe-\He's gone...\You're finally here. You're late, you know.\Nyanko-sensei.\This place isn't being used anymore.\Yeah.\They say that it was abandoned quite a while ago. response:	Quite a desolate place, huh?
context: And what are you saying that I droppe-\He's gone...\You're finally here. You're late, you know.\Nyanko-sensei.\This place isn't being used anymore.\Yeah.\They say that it was abandoned quite a while ago.\Quite a desolate place, huh? response:	Yeah.
context: He's gone...\You're finally here. You're late, you know.\Nyanko-sensei.\This place isn't being used anymore.\Yeah.\They say that it was abandoned quite a while ago.\Quite a desolate place, huh?\Yeah. response:	I guess Kiriganuma is over there.
context: You're finally here. You're late, you know.\Nyanko-sensei.\This place isn't being used anymore.\Yeah.\They say that it was abandoned quite a while ago.\Quite a desolate place, huh?\Yeah.\I guess Kiriganuma is over there. response:	But still, why did Reiko-
context: Nyanko-sensei.\This place isn't being used anymore.\Yeah.\They say that it was abandoned quite a while ago.\Quite a desolate place, huh?\Yeah.\I guess Kiriganuma is over there.\But still, why did Reiko- response:	A Youkai...
context: This place isn't being used anymore.\Yeah.\They say that it was abandoned quite a while ago.\Quite a desolate place, huh?\Yeah.\I guess Kiriganuma is over there.\But still, why did Reiko-\A Youkai... response:	How can he sleep in this heat?
context: Yeah.\They say that it was abandoned quite a while ago.\Quite a desolate place, huh?\Yeah.\I guess Kiriganuma is over there.\But still, why did Reiko-\A Youkai...\How can he sleep in this heat? response:	R-Reiko...
context: They say that it was abandoned quite a while ago.\Quite a desolate place, huh?\Yeah.\I guess Kiriganuma is over there.\But still, why did Reiko-\A Youkai...\How can he sleep in this heat?\R-Reiko... response:	It's Reiko! You finally came!
context: Quite a desolate place, huh?\Yeah.\I guess Kiriganuma is over there.\But still, why did Reiko-\A Youkai...\How can he sleep in this heat?\R-Reiko...\It's Reiko! You finally came! response:	No, I'm...
context: Yeah.\I guess Kiriganuma is over there.\But still, why did Reiko-\A Youkai...\How can he sleep in this heat?\R-Reiko...\It's Reiko! You finally came!\No, I'm... response:	Hey, you've got it wrong!
context: I guess Kiriganuma is over there.\But still, why did Reiko-\A Youkai...\How can he sleep in this heat?\R-Reiko...\It's Reiko! You finally came!\No, I'm...\Hey, you've got it wrong! response:	He's not Reiko!
context: But still, why did Reiko-\A Youkai...\How can he sleep in this heat?\R-Reiko...\It's Reiko! You finally came!\No, I'm...\Hey, you've got it wrong!\He's not Reiko! response:	You're not?
context: A Youkai...\How can he sleep in this heat?\R-Reiko...\It's Reiko! You finally came!\No, I'm...\Hey, you've got it wrong!\He's not Reiko!\You're not? response:	You really are Reiko!
context: How can he sleep in this heat?\R-Reiko...\It's Reiko! You finally came!\No, I'm...\Hey, you've got it wrong!\He's not Reiko!\You're not?\You really are Reiko! response:	No, I'm not Reiko!
context: R-Reiko...\It's Reiko! You finally came!\No, I'm...\Hey, you've got it wrong!\He's not Reiko!\You're not?\You really are Reiko!\No, I'm not Reiko! response:	Do something, sensei!
context: It's Reiko! You finally came!\No, I'm...\Hey, you've got it wrong!\He's not Reiko!\You're not?\You really are Reiko!\No, I'm not Reiko!\Do something, sensei! response:	It's pointless to say anything to him now.
context: No, I'm...\Hey, you've got it wrong!\He's not Reiko!\You're not?\You really are Reiko!\No, I'm not Reiko!\Do something, sensei!\It's pointless to say anything to him now. response:	He's not evil, so just play with him a bit.
context: Hey, you've got it wrong!\He's not Reiko!\You're not?\You really are Reiko!\No, I'm not Reiko!\Do something, sensei!\It's pointless to say anything to him now.\He's not evil, so just play with him a bit. response:	W-What are you-
context: He's not Reiko!\You're not?\You really are Reiko!\No, I'm not Reiko!\Do something, sensei!\It's pointless to say anything to him now.\He's not evil, so just play with him a bit.\W-What are you- response:	Reiko!
context: You're not?\You really are Reiko!\No, I'm not Reiko!\Do something, sensei!\It's pointless to say anything to him now.\He's not evil, so just play with him a bit.\W-What are you-\Reiko! response:	Sensei!
context: You really are Reiko!\No, I'm not Reiko!\Do something, sensei!\It's pointless to say anything to him now.\He's not evil, so just play with him a bit.\W-What are you-\Reiko!\Sensei! response:	I see.
context: No, I'm not Reiko!\Do something, sensei!\It's pointless to say anything to him now.\He's not evil, so just play with him a bit.\W-What are you-\Reiko!\Sensei!\I see. response:	So Reiko died.
context: Do something, sensei!\It's pointless to say anything to him now.\He's not evil, so just play with him a bit.\W-What are you-\Reiko!\Sensei!\I see.\So Reiko died. response:	I'm glad you understand.
context: It's pointless to say anything to him now.\He's not evil, so just play with him a bit.\W-What are you-\Reiko!\Sensei!\I see.\So Reiko died.\I'm glad you understand. response:	He's her grandson, after all.
context: He's not evil, so just play with him a bit.\W-What are you-\Reiko!\Sensei!\I see.\So Reiko died.\I'm glad you understand.\He's her grandson, after all. response:	There's nothing strange about them having the same smell.
context: W-What are you-\Reiko!\Sensei!\I see.\So Reiko died.\I'm glad you understand.\He's her grandson, after all.\There's nothing strange about them having the same smell. response:	You don't need to smell me.
context: Reiko!\Sensei!\I see.\So Reiko died.\I'm glad you understand.\He's her grandson, after all.\There's nothing strange about them having the same smell.\You don't need to smell me. response:	So, furball, you said you were waiting for Reiko.
context: Sensei!\I see.\So Reiko died.\I'm glad you understand.\He's her grandson, after all.\There's nothing strange about them having the same smell.\You don't need to smell me.\So, furball, you said you were waiting for Reiko. response:	Did you have a promise with her or something?
context: I see.\So Reiko died.\I'm glad you understand.\He's her grandson, after all.\There's nothing strange about them having the same smell.\You don't need to smell me.\So, furball, you said you were waiting for Reiko.\Did you have a promise with her or something? response:	Yeah, she said she'd go with me.
context: So Reiko died.\I'm glad you understand.\He's her grandson, after all.\There's nothing strange about them having the same smell.\You don't need to smell me.\So, furball, you said you were waiting for Reiko.\Did you have a promise with her or something?\Yeah, she said she'd go with me. response:	Together?
context: I'm glad you understand.\He's her grandson, after all.\There's nothing strange about them having the same smell.\You don't need to smell me.\So, furball, you said you were waiting for Reiko.\Did you have a promise with her or something?\Yeah, she said she'd go with me.\Together? response:	Where?
context: He's her grandson, after all.\There's nothing strange about them having the same smell.\You don't need to smell me.\So, furball, you said you were waiting for Reiko.\Did you have a promise with her or something?\Yeah, she said she'd go with me.\Together?\Where? response:	Kiriganuma.
context: There's nothing strange about them having the same smell.\You don't need to smell me.\So, furball, you said you were waiting for Reiko.\Did you have a promise with her or something?\Yeah, she said she'd go with me.\Together?\Where?\Kiriganuma. response:	Reiko-san was supposed to go with you to Kiriganuma?
context: You don't need to smell me.\So, furball, you said you were waiting for Reiko.\Did you have a promise with her or something?\Yeah, she said she'd go with me.\Together?\Where?\Kiriganuma.\Reiko-san was supposed to go with you to Kiriganuma? response:	Yeah, Kiriganuma.
context: So, furball, you said you were waiting for Reiko.\Did you have a promise with her or something?\Yeah, she said she'd go with me.\Together?\Where?\Kiriganuma.\Reiko-san was supposed to go with you to Kiriganuma?\Yeah, Kiriganuma. response:	But, why?
context: Did you have a promise with her or something?\Yeah, she said she'd go with me.\Together?\Where?\Kiriganuma.\Reiko-san was supposed to go with you to Kiriganuma?\Yeah, Kiriganuma.\But, why? response:	Well, Mikuri was all pouting,
context: Yeah, she said she'd go with me.\Together?\Where?\Kiriganuma.\Reiko-san was supposed to go with you to Kiriganuma?\Yeah, Kiriganuma.\But, why?\Well, Mikuri was all pouting, response:	and said, I can't forgive you!
context: Together?\Where?\Kiriganuma.\Reiko-san was supposed to go with you to Kiriganuma?\Yeah, Kiriganuma.\But, why?\Well, Mikuri was all pouting,\and said, I can't forgive you! response:	And then Reiko said, No, and Later.
context: Where?\Kiriganuma.\Reiko-san was supposed to go with you to Kiriganuma?\Yeah, Kiriganuma.\But, why?\Well, Mikuri was all pouting,\and said, I can't forgive you!\And then Reiko said, No, and Later. response:	I guess it's impossible to have him explain.
context: Kiriganuma.\Reiko-san was supposed to go with you to Kiriganuma?\Yeah, Kiriganuma.\But, why?\Well, Mikuri was all pouting,\and said, I can't forgive you!\And then Reiko said, No, and Later.\I guess it's impossible to have him explain. response:	He's probably in the Book of Friends.
context: Reiko-san was supposed to go with you to Kiriganuma?\Yeah, Kiriganuma.\But, why?\Well, Mikuri was all pouting,\and said, I can't forgive you!\And then Reiko said, No, and Later.\I guess it's impossible to have him explain.\He's probably in the Book of Friends. response:	If you return his name, I'm sure the thoughts will explain it all.
context: Yeah, Kiriganuma.\But, why?\Well, Mikuri was all pouting,\and said, I can't forgive you!\And then Reiko said, No, and Later.\I guess it's impossible to have him explain.\He's probably in the Book of Friends.\If you return his name, I'm sure the thoughts will explain it all. response:	I see.
context: But, why?\Well, Mikuri was all pouting,\and said, I can't forgive you!\And then Reiko said, No, and Later.\I guess it's impossible to have him explain.\He's probably in the Book of Friends.\If you return his name, I'm sure the thoughts will explain it all.\I see. response:	What's your name?
context: Well, Mikuri was all pouting,\and said, I can't forgive you!\And then Reiko said, No, and Later.\I guess it's impossible to have him explain.\He's probably in the Book of Friends.\If you return his name, I'm sure the thoughts will explain it all.\I see.\What's your name? response:	My name?
context: and said, I can't forgive you!\And then Reiko said, No, and Later.\I guess it's impossible to have him explain.\He's probably in the Book of Friends.\If you return his name, I'm sure the thoughts will explain it all.\I see.\What's your name?\My name? response:	I'm Santo.
context: And then Reiko said, No, and Later.\I guess it's impossible to have him explain.\He's probably in the Book of Friends.\If you return his name, I'm sure the thoughts will explain it all.\I see.\What's your name?\My name?\I'm Santo. response:	Santo.
context: I guess it's impossible to have him explain.\He's probably in the Book of Friends.\If you return his name, I'm sure the thoughts will explain it all.\I see.\What's your name?\My name?\I'm Santo.\Santo. response:	One who would protect me, show your name.
context: He's probably in the Book of Friends.\If you return his name, I'm sure the thoughts will explain it all.\I see.\What's your name?\My name?\I'm Santo.\Santo.\One who would protect me, show your name. response:	So you had a fight.
context: If you return his name, I'm sure the thoughts will explain it all.\I see.\What's your name?\My name?\I'm Santo.\Santo.\One who would protect me, show your name.\So you had a fight. response:	Yeah.
context: I see.\What's your name?\My name?\I'm Santo.\Santo.\One who would protect me, show your name.\So you had a fight.\Yeah. response:	Mikuri was the one who got angry, though.
context: What's your name?\My name?\I'm Santo.\Santo.\One who would protect me, show your name.\So you had a fight.\Yeah.\Mikuri was the one who got angry, though. response:	And you like that Youkai Mikuri, don't you?
context: My name?\I'm Santo.\Santo.\One who would protect me, show your name.\So you had a fight.\Yeah.\Mikuri was the one who got angry, though.\And you like that Youkai Mikuri, don't you? response:	I love Mikuri!
context: I'm Santo.\Santo.\One who would protect me, show your name.\So you had a fight.\Yeah.\Mikuri was the one who got angry, though.\And you like that Youkai Mikuri, don't you?\I love Mikuri! response:	But Mikuri said that he hates me,
context: Santo.\One who would protect me, show your name.\So you had a fight.\Yeah.\Mikuri was the one who got angry, though.\And you like that Youkai Mikuri, don't you?\I love Mikuri!\But Mikuri said that he hates me, response:	and that he doesn't want to see me again.
context: One who would protect me, show your name.\So you had a fight.\Yeah.\Mikuri was the one who got angry, though.\And you like that Youkai Mikuri, don't you?\I love Mikuri!\But Mikuri said that he hates me,\and that he doesn't want to see me again. response:	Did you do something bad?
context: So you had a fight.\Yeah.\Mikuri was the one who got angry, though.\And you like that Youkai Mikuri, don't you?\I love Mikuri!\But Mikuri said that he hates me,\and that he doesn't want to see me again.\Did you do something bad? response:	So you don't remember?
