context: Used Bookstore Hitotose response:	And hup... and hup...
context: Used Bookstore Hitotose\Hina-chan, do you want to practice waiting on customers?\Yeah, I do!\Okay, try doing what you'd do if a customer came in.\Right!\We have old books, rare books... lots of books!\Please take your time looking around!\That was very good! response:	Really? I did it right?
context: Hina-chan, do you want to practice waiting on customers?\Yeah, I do!\Okay, try doing what you'd do if a customer came in.\Right!\We have old books, rare books... lots of books!\Please take your time looking around!\That was very good!\Really? I did it right? response:	Yeah!
context: Yeah, I do!\Okay, try doing what you'd do if a customer came in.\Right!\We have old books, rare books... lots of books!\Please take your time looking around!\That was very good!\Really? I did it right?\Yeah! response:	I'm so glad!
context: Okay, try doing what you'd do if a customer came in.\Right!\We have old books, rare books... lots of books!\Please take your time looking around!\That was very good!\Really? I did it right?\Yeah!\I'm so glad! response:	Um, excuse me.
context: Right!\We have old books, rare books... lots of books!\Please take your time looking around!\That was very good!\Really? I did it right?\Yeah!\I'm so glad!\Um, excuse me. response:	There's a book I'm looking for...
context: We have old books, rare books... lots of books!\Please take your time looking around!\That was very good!\Really? I did it right?\Yeah!\I'm so glad!\Um, excuse me.\There's a book I'm looking for... response:	Hina-cha
context: Please take your time looking around!\That was very good!\Really? I did it right?\Yeah!\I'm so glad!\Um, excuse me.\There's a book I'm looking for...\Hina-cha response:	U-Um, w-we'll be right with you...
context: That was very good!\Really? I did it right?\Yeah!\I'm so glad!\Um, excuse me.\There's a book I'm looking for...\Hina-cha\U-Um, w-we'll be right with you... response:	I need to do something with these...
context: Really? I did it right?\Yeah!\I'm so glad!\Um, excuse me.\There's a book I'm looking for...\Hina-cha\U-Um, w-we'll be right with you...\I need to do something with these... response:	There we go.
context: Yeah!\I'm so glad!\Um, excuse me.\There's a book I'm looking for...\Hina-cha\U-Um, w-we'll be right with you...\I need to do something with these...\There we go. response:	S-Sorry for the wait!
context: I'm so glad!\Um, excuse me.\There's a book I'm looking for...\Hina-cha\U-Um, w-we'll be right with you...\I need to do something with these...\There we go.\S-Sorry for the wait! response:	S-Sure...
context: Um, excuse me.\There's a book I'm looking for...\Hina-cha\U-Um, w-we'll be right with you...\I need to do something with these...\There we go.\S-Sorry for the wait!\S-Sure... response:	Thank you for coming!
context: There's a book I'm looking for...\Hina-cha\U-Um, w-we'll be right with you...\I need to do something with these...\There we go.\S-Sorry for the wait!\S-Sure...\Thank you for coming! response:	I was so nervous...
context: Hina-cha\U-Um, w-we'll be right with you...\I need to do something with these...\There we go.\S-Sorry for the wait!\S-Sure...\Thank you for coming!\I was so nervous... response:	I couldn't help the customer at all.
context: U-Um, w-we'll be right with you...\I need to do something with these...\There we go.\S-Sorry for the wait!\S-Sure...\Thank you for coming!\I was so nervous...\I couldn't help the customer at all. response:	Hey, that was only the first one.
context: I need to do something with these...\There we go.\S-Sorry for the wait!\S-Sure...\Thank you for coming!\I was so nervous...\I couldn't help the customer at all.\Hey, that was only the first one. response:	You'll get used to it eventually.
context: There we go.\S-Sorry for the wait!\S-Sure...\Thank you for coming!\I was so nervous...\I couldn't help the customer at all.\Hey, that was only the first one.\You'll get used to it eventually. response:	I'm back.
context: S-Sorry for the wait!\S-Sure...\Thank you for coming!\I was so nervous...\I couldn't help the customer at all.\Hey, that was only the first one.\You'll get used to it eventually.\I'm back. response:	Hina-chan, that's just Mayu-chan!
context: S-Sure...\Thank you for coming!\I was so nervous...\I couldn't help the customer at all.\Hey, that was only the first one.\You'll get used to it eventually.\I'm back.\Hina-chan, that's just Mayu-chan! response:	Oh, you're right...
context: Thank you for coming!\I was so nervous...\I couldn't help the customer at all.\Hey, that was only the first one.\You'll get used to it eventually.\I'm back.\Hina-chan, that's just Mayu-chan!\Oh, you're right... response:	What's wrong?
context: I was so nervous...\I couldn't help the customer at all.\Hey, that was only the first one.\You'll get used to it eventually.\I'm back.\Hina-chan, that's just Mayu-chan!\Oh, you're right...\What's wrong? response:	Oh, nothing...
context: I couldn't help the customer at all.\Hey, that was only the first one.\You'll get used to it eventually.\I'm back.\Hina-chan, that's just Mayu-chan!\Oh, you're right...\What's wrong?\Oh, nothing... response:	Anyway, where's Aki-chan?
context: Hey, that was only the first one.\You'll get used to it eventually.\I'm back.\Hina-chan, that's just Mayu-chan!\Oh, you're right...\What's wrong?\Oh, nothing...\Anyway, where's Aki-chan? response:	The landlady?
context: You'll get used to it eventually.\I'm back.\Hina-chan, that's just Mayu-chan!\Oh, you're right...\What's wrong?\Oh, nothing...\Anyway, where's Aki-chan?\The landlady? response:	She came back, then headed right out again.
context: I'm back.\Hina-chan, that's just Mayu-chan!\Oh, you're right...\What's wrong?\Oh, nothing...\Anyway, where's Aki-chan?\The landlady?\She came back, then headed right out again. response:	What? Where'd she go?
context: Hina-chan, that's just Mayu-chan!\Oh, you're right...\What's wrong?\Oh, nothing...\Anyway, where's Aki-chan?\The landlady?\She came back, then headed right out again.\What? Where'd she go? response:	I'm not sure.
context: Oh, you're right...\What's wrong?\Oh, nothing...\Anyway, where's Aki-chan?\The landlady?\She came back, then headed right out again.\What? Where'd she go?\I'm not sure. response:	It seemed like she was going to hang out with some theater buddies.
context: What's wrong?\Oh, nothing...\Anyway, where's Aki-chan?\The landlady?\She came back, then headed right out again.\What? Where'd she go?\I'm not sure.\It seemed like she was going to hang out with some theater buddies. response:	Did you need her for something?
context: Oh, nothing...\Anyway, where's Aki-chan?\The landlady?\She came back, then headed right out again.\What? Where'd she go?\I'm not sure.\It seemed like she was going to hang out with some theater buddies.\Did you need her for something? response:	No, nothing in particular...
context: Anyway, where's Aki-chan?\The landlady?\She came back, then headed right out again.\What? Where'd she go?\I'm not sure.\It seemed like she was going to hang out with some theater buddies.\Did you need her for something?\No, nothing in particular... response:	It's just that the two of us haven't hung out lately.
context: The landlady?\She came back, then headed right out again.\What? Where'd she go?\I'm not sure.\It seemed like she was going to hang out with some theater buddies.\Did you need her for something?\No, nothing in particular...\It's just that the two of us haven't hung out lately. response:	You're lonely because she hasn't paid attention to you?
context: She came back, then headed right out again.\What? Where'd she go?\I'm not sure.\It seemed like she was going to hang out with some theater buddies.\Did you need her for something?\No, nothing in particular...\It's just that the two of us haven't hung out lately.\You're lonely because she hasn't paid attention to you? response:	Eh? O-Of course not! I'm not a child!
context: What? Where'd she go?\I'm not sure.\It seemed like she was going to hang out with some theater buddies.\Did you need her for something?\No, nothing in particular...\It's just that the two of us haven't hung out lately.\You're lonely because she hasn't paid attention to you?\Eh? O-Of course not! I'm not a child! response:	There's no need to bluff.
context: I'm not sure.\It seemed like she was going to hang out with some theater buddies.\Did you need her for something?\No, nothing in particular...\It's just that the two of us haven't hung out lately.\You're lonely because she hasn't paid attention to you?\Eh? O-Of course not! I'm not a child!\There's no need to bluff. response:	I'm not bluffing!
context: It seemed like she was going to hang out with some theater buddies.\Did you need her for something?\No, nothing in particular...\It's just that the two of us haven't hung out lately.\You're lonely because she hasn't paid attention to you?\Eh? O-Of course not! I'm not a child!\There's no need to bluff.\I'm not bluffing! response:	I don't know about that.
context: Did you need her for something?\No, nothing in particular...\It's just that the two of us haven't hung out lately.\You're lonely because she hasn't paid attention to you?\Eh? O-Of course not! I'm not a child!\There's no need to bluff.\I'm not bluffing!\I don't know about that. response:	There, there.
context: No, nothing in particular...\It's just that the two of us haven't hung out lately.\You're lonely because she hasn't paid attention to you?\Eh? O-Of course not! I'm not a child!\There's no need to bluff.\I'm not bluffing!\I don't know about that.\There, there. response:	Darn it! You're ganging up on me!
context: It's just that the two of us haven't hung out lately.\You're lonely because she hasn't paid attention to you?\Eh? O-Of course not! I'm not a child!\There's no need to bluff.\I'm not bluffing!\I don't know about that.\There, there.\Darn it! You're ganging up on me! response:	Used Bookstore Hitotose
context: You're lonely because she hasn't paid attention to you?\Eh? O-Of course not! I'm not a child!\There's no need to bluff.\I'm not bluffing!\I don't know about that.\There, there.\Darn it! You're ganging up on me!\Used Bookstore Hitotose response:	Anyway, are you guys hungry?
context: Eh? O-Of course not! I'm not a child!\There's no need to bluff.\I'm not bluffing!\I don't know about that.\There, there.\Darn it! You're ganging up on me!\Used Bookstore Hitotose\Anyway, are you guys hungry? response:	Why don't we take a break and have some tea?
context: There's no need to bluff.\I'm not bluffing!\I don't know about that.\There, there.\Darn it! You're ganging up on me!\Used Bookstore Hitotose\Anyway, are you guys hungry?\Why don't we take a break and have some tea? response:	We'd love some!
context: I'm not bluffing!\I don't know about that.\There, there.\Darn it! You're ganging up on me!\Used Bookstore Hitotose\Anyway, are you guys hungry?\Why don't we take a break and have some tea?\We'd love some! response:	You're back to your usual look.
context: I don't know about that.\There, there.\Darn it! You're ganging up on me!\Used Bookstore Hitotose\Anyway, are you guys hungry?\Why don't we take a break and have some tea?\We'd love some!\You're back to your usual look. response:	Seeing you dressed like a maid just feels right.
context: There, there.\Darn it! You're ganging up on me!\Used Bookstore Hitotose\Anyway, are you guys hungry?\Why don't we take a break and have some tea?\We'd love some!\You're back to your usual look.\Seeing you dressed like a maid just feels right. response:	You like frilly clothes, right?
context: Darn it! You're ganging up on me!\Used Bookstore Hitotose\Anyway, are you guys hungry?\Why don't we take a break and have some tea?\We'd love some!\You're back to your usual look.\Seeing you dressed like a maid just feels right.\You like frilly clothes, right? response:	I'd love to see you in a dress.
context: Used Bookstore Hitotose\Anyway, are you guys hungry?\Why don't we take a break and have some tea?\We'd love some!\You're back to your usual look.\Seeing you dressed like a maid just feels right.\You like frilly clothes, right?\I'd love to see you in a dress. response:	I bet you'd look good in lolita fashion, too.
context: Anyway, are you guys hungry?\Why don't we take a break and have some tea?\We'd love some!\You're back to your usual look.\Seeing you dressed like a maid just feels right.\You like frilly clothes, right?\I'd love to see you in a dress.\I bet you'd look good in lolita fashion, too. response:	A dress...
context: Why don't we take a break and have some tea?\We'd love some!\You're back to your usual look.\Seeing you dressed like a maid just feels right.\You like frilly clothes, right?\I'd love to see you in a dress.\I bet you'd look good in lolita fashion, too.\A dress... response:	Lolita...
context: We'd love some!\You're back to your usual look.\Seeing you dressed like a maid just feels right.\You like frilly clothes, right?\I'd love to see you in a dress.\I bet you'd look good in lolita fashion, too.\A dress...\Lolita... response:	I couldn't do that! No way!
context: You're back to your usual look.\Seeing you dressed like a maid just feels right.\You like frilly clothes, right?\I'd love to see you in a dress.\I bet you'd look good in lolita fashion, too.\A dress...\Lolita...\I couldn't do that! No way! response:	How would it be any different from what she's wearing now?
context: Seeing you dressed like a maid just feels right.\You like frilly clothes, right?\I'd love to see you in a dress.\I bet you'd look good in lolita fashion, too.\A dress...\Lolita...\I couldn't do that! No way!\How would it be any different from what she's wearing now? response:	Hey, Hinako! Are you here?
context: You like frilly clothes, right?\I'd love to see you in a dress.\I bet you'd look good in lolita fashion, too.\A dress...\Lolita...\I couldn't do that! No way!\How would it be any different from what she's wearing now?\Hey, Hinako! Are you here? response:	Yua-sama is here to see you!
context: I'd love to see you in a dress.\I bet you'd look good in lolita fashion, too.\A dress...\Lolita...\I couldn't do that! No way!\How would it be any different from what she's wearing now?\Hey, Hinako! Are you here?\Yua-sama is here to see you! response:	You'd better thank...
context: I bet you'd look good in lolita fashion, too.\A dress...\Lolita...\I couldn't do that! No way!\How would it be any different from what she's wearing now?\Hey, Hinako! Are you here?\Yua-sama is here to see you!\You'd better thank... response:	Hinako, what's with you?
context: A dress...\Lolita...\I couldn't do that! No way!\How would it be any different from what she's wearing now?\Hey, Hinako! Are you here?\Yua-sama is here to see you!\You'd better thank...\Hinako, what's with you? response:	Hina-chan, that's Yua-chan.
context: Lolita...\I couldn't do that! No way!\How would it be any different from what she's wearing now?\Hey, Hinako! Are you here?\Yua-sama is here to see you!\You'd better thank...\Hinako, what's with you?\Hina-chan, that's Yua-chan. response:	Oh, it's just you, Yua-chan!
context: I couldn't do that! No way!\How would it be any different from what she's wearing now?\Hey, Hinako! Are you here?\Yua-sama is here to see you!\You'd better thank...\Hinako, what's with you?\Hina-chan, that's Yua-chan.\Oh, it's just you, Yua-chan! response:	Are you trying to pick a fight?
context: How would it be any different from what she's wearing now?\Hey, Hinako! Are you here?\Yua-sama is here to see you!\You'd better thank...\Hinako, what's with you?\Hina-chan, that's Yua-chan.\Oh, it's just you, Yua-chan!\Are you trying to pick a fight? response:	So you really do run a cafe, too.
context: Hey, Hinako! Are you here?\Yua-sama is here to see you!\You'd better thank...\Hinako, what's with you?\Hina-chan, that's Yua-chan.\Oh, it's just you, Yua-chan!\Are you trying to pick a fight?\So you really do run a cafe, too. response:	Go on, Yua-chan, help yourself.
context: Yua-sama is here to see you!\You'd better thank...\Hinako, what's with you?\Hina-chan, that's Yua-chan.\Oh, it's just you, Yua-chan!\Are you trying to pick a fight?\So you really do run a cafe, too.\Go on, Yua-chan, help yourself. response:	So everyone living in the apartments here also works in the shop?
context: You'd better thank...\Hinako, what's with you?\Hina-chan, that's Yua-chan.\Oh, it's just you, Yua-chan!\Are you trying to pick a fight?\So you really do run a cafe, too.\Go on, Yua-chan, help yourself.\So everyone living in the apartments here also works in the shop? response:	Do you work, too, Hinako?
context: Hinako, what's with you?\Hina-chan, that's Yua-chan.\Oh, it's just you, Yua-chan!\Are you trying to pick a fight?\So you really do run a cafe, too.\Go on, Yua-chan, help yourself.\So everyone living in the apartments here also works in the shop?\Do you work, too, Hinako? response:	Yep!
context: Hina-chan, that's Yua-chan.\Oh, it's just you, Yua-chan!\Are you trying to pick a fight?\So you really do run a cafe, too.\Go on, Yua-chan, help yourself.\So everyone living in the apartments here also works in the shop?\Do you work, too, Hinako?\Yep! response:	I can't imagine you handling the work of a waitress, though.
context: Oh, it's just you, Yua-chan!\Are you trying to pick a fight?\So you really do run a cafe, too.\Go on, Yua-chan, help yourself.\So everyone living in the apartments here also works in the shop?\Do you work, too, Hinako?\Yep!\I can't imagine you handling the work of a waitress, though. response:	She can do it!
context: Are you trying to pick a fight?\So you really do run a cafe, too.\Go on, Yua-chan, help yourself.\So everyone living in the apartments here also works in the shop?\Do you work, too, Hinako?\Yep!\I can't imagine you handling the work of a waitress, though.\She can do it! response:	But I bet she spills tea all the time, right?
context: So you really do run a cafe, too.\Go on, Yua-chan, help yourself.\So everyone living in the apartments here also works in the shop?\Do you work, too, Hinako?\Yep!\I can't imagine you handling the work of a waitress, though.\She can do it!\But I bet she spills tea all the time, right? response:	No, she doesn't!
context: Go on, Yua-chan, help yourself.\So everyone living in the apartments here also works in the shop?\Do you work, too, Hinako?\Yep!\I can't imagine you handling the work of a waitress, though.\She can do it!\But I bet she spills tea all the time, right?\No, she doesn't! response:	Right, Hina-chan?
context: So everyone living in the apartments here also works in the shop?\Do you work, too, Hinako?\Yep!\I can't imagine you handling the work of a waitress, though.\She can do it!\But I bet she spills tea all the time, right?\No, she doesn't!\Right, Hina-chan? response:	Huh?
context: Do you work, too, Hinako?\Yep!\I can't imagine you handling the work of a waitress, though.\She can do it!\But I bet she spills tea all the time, right?\No, she doesn't!\Right, Hina-chan?\Huh? response:	Well, if that's what you say, then let's see you do it.
context: Yep!\I can't imagine you handling the work of a waitress, though.\She can do it!\But I bet she spills tea all the time, right?\No, she doesn't!\Right, Hina-chan?\Huh?\Well, if that's what you say, then let's see you do it. response:	Huh?!
context: I can't imagine you handling the work of a waitress, though.\She can do it!\But I bet she spills tea all the time, right?\No, she doesn't!\Right, Hina-chan?\Huh?\Well, if that's what you say, then let's see you do it.\Huh?! response:	Go on, Hina-chan!
context: She can do it!\But I bet she spills tea all the time, right?\No, she doesn't!\Right, Hina-chan?\Huh?\Well, if that's what you say, then let's see you do it.\Huh?!\Go on, Hina-chan! response:	Show her what a great job you can do!
context: But I bet she spills tea all the time, right?\No, she doesn't!\Right, Hina-chan?\Huh?\Well, if that's what you say, then let's see you do it.\Huh?!\Go on, Hina-chan!\Show her what a great job you can do! response:	Huh?!
context: No, she doesn't!\Right, Hina-chan?\Huh?\Well, if that's what you say, then let's see you do it.\Huh?!\Go on, Hina-chan!\Show her what a great job you can do!\Huh?! response:	Safe!
context: Right, Hina-chan?\Huh?\Well, if that's what you say, then let's see you do it.\Huh?!\Go on, Hina-chan!\Show her what a great job you can do!\Huh?!\Safe! response:	The tea is, maybe.
context: Huh?\Well, if that's what you say, then let's see you do it.\Huh?!\Go on, Hina-chan!\Show her what a great job you can do!\Huh?!\Safe!\The tea is, maybe. response:	Milk
context: Well, if that's what you say, then let's see you do it.\Huh?!\Go on, Hina-chan!\Show her what a great job you can do!\Huh?!\Safe!\The tea is, maybe.\Milk response:	I'm sorry!
context: Huh?!\Go on, Hina-chan!\Show her what a great job you can do!\Huh?!\Safe!\The tea is, maybe.\Milk\I'm sorry! response:	O-Oh, no!
context: Go on, Hina-chan!\Show her what a great job you can do!\Huh?!\Safe!\The tea is, maybe.\Milk\I'm sorry!\O-Oh, no! response:	Yua-chan, you're so cute!
context: Show her what a great job you can do!\Huh?!\Safe!\The tea is, maybe.\Milk\I'm sorry!\O-Oh, no!\Yua-chan, you're so cute! response:	Sorry this was all I had.
context: Huh?!\Safe!\The tea is, maybe.\Milk\I'm sorry!\O-Oh, no!\Yua-chan, you're so cute!\Sorry this was all I had. response:	We'll have your outfit cleaned,
context: Safe!\The tea is, maybe.\Milk\I'm sorry!\O-Oh, no!\Yua-chan, you're so cute!\Sorry this was all I had.\We'll have your outfit cleaned, response:	so could you wear this for now?
context: The tea is, maybe.\Milk\I'm sorry!\O-Oh, no!\Yua-chan, you're so cute!\Sorry this was all I had.\We'll have your outfit cleaned,\so could you wear this for now? response:	Jeez... I can't let people see me dressed like this...
context: Milk\I'm sorry!\O-Oh, no!\Yua-chan, you're so cute!\Sorry this was all I had.\We'll have your outfit cleaned,\so could you wear this for now?\Jeez... I can't let people see me dressed like this... response:	That's not true at all!
context: I'm sorry!\O-Oh, no!\Yua-chan, you're so cute!\Sorry this was all I had.\We'll have your outfit cleaned,\so could you wear this for now?\Jeez... I can't let people see me dressed like this...\That's not true at all! response:	You look really cute!
context: O-Oh, no!\Yua-chan, you're so cute!\Sorry this was all I had.\We'll have your outfit cleaned,\so could you wear this for now?\Jeez... I can't let people see me dressed like this...\That's not true at all!\You look really cute! response:	Yeah, you do!
context: Yua-chan, you're so cute!\Sorry this was all I had.\We'll have your outfit cleaned,\so could you wear this for now?\Jeez... I can't let people see me dressed like this...\That's not true at all!\You look really cute!\Yeah, you do! response:	I'm back.
context: Sorry this was all I had.\We'll have your outfit cleaned,\so could you wear this for now?\Jeez... I can't let people see me dressed like this...\That's not true at all!\You look really cute!\Yeah, you do!\I'm back. response:	Where'd you go?
context: We'll have your outfit cleaned,\so could you wear this for now?\Jeez... I can't let people see me dressed like this...\That's not true at all!\You look really cute!\Yeah, you do!\I'm back.\Where'd you go? response:	Oh...
context: so could you wear this for now?\Jeez... I can't let people see me dressed like this...\That's not true at all!\You look really cute!\Yeah, you do!\I'm back.\Where'd you go?\Oh... response:	I went to see some people from my old theater troupe,
context: Jeez... I can't let people see me dressed like this...\That's not true at all!\You look really cute!\Yeah, you do!\I'm back.\Where'd you go?\Oh...\I went to see some people from my old theater troupe, response:	and I lost track of time while talking to them.
context: That's not true at all!\You look really cute!\Yeah, you do!\I'm back.\Where'd you go?\Oh...\I went to see some people from my old theater troupe,\and I lost track of time while talking to them. response:	That's fine,
context: You look really cute!\Yeah, you do!\I'm back.\Where'd you go?\Oh...\I went to see some people from my old theater troupe,\and I lost track of time while talking to them.\That's fine, response:	but you could have sent me a message before you left.
context: Yeah, you do!\I'm back.\Where'd you go?\Oh...\I went to see some people from my old theater troupe,\and I lost track of time while talking to them.\That's fine,\but you could have sent me a message before you left. response:	Yeah... Sorry.
context: I'm back.\Where'd you go?\Oh...\I went to see some people from my old theater troupe,\and I lost track of time while talking to them.\That's fine,\but you could have sent me a message before you left.\Yeah... Sorry. response:	I'll do that next time.
context: Where'd you go?\Oh...\I went to see some people from my old theater troupe,\and I lost track of time while talking to them.\That's fine,\but you could have sent me a message before you left.\Yeah... Sorry.\I'll do that next time. response:	Ch-Chiaki-senpai looks so beautiful today...
context: Oh...\I went to see some people from my old theater troupe,\and I lost track of time while talking to them.\That's fine,\but you could have sent me a message before you left.\Yeah... Sorry.\I'll do that next time.\Ch-Chiaki-senpai looks so beautiful today... response:	There, there.
context: I went to see some people from my old theater troupe,\and I lost track of time while talking to them.\That's fine,\but you could have sent me a message before you left.\Yeah... Sorry.\I'll do that next time.\Ch-Chiaki-senpai looks so beautiful today...\There, there. response:	It's so rare to see her in a skirt!
context: and I lost track of time while talking to them.\That's fine,\but you could have sent me a message before you left.\Yeah... Sorry.\I'll do that next time.\Ch-Chiaki-senpai looks so beautiful today...\There, there.\It's so rare to see her in a skirt! response:	She's my idol!
context: That's fine,\but you could have sent me a message before you left.\Yeah... Sorry.\I'll do that next time.\Ch-Chiaki-senpai looks so beautiful today...\There, there.\It's so rare to see her in a skirt!\She's my idol! response:	Oh, Yua-chan, you're here?
context: but you could have sent me a message before you left.\Yeah... Sorry.\I'll do that next time.\Ch-Chiaki-senpai looks so beautiful today...\There, there.\It's so rare to see her in a skirt!\She's my idol!\Oh, Yua-chan, you're here? response:	Wow...
context: Yeah... Sorry.\I'll do that next time.\Ch-Chiaki-senpai looks so beautiful today...\There, there.\It's so rare to see her in a skirt!\She's my idol!\Oh, Yua-chan, you're here?\Wow... response:	Yua-chan's regular clothes are a lot more unique than I expected...
context: I'll do that next time.\Ch-Chiaki-senpai looks so beautiful today...\There, there.\It's so rare to see her in a skirt!\She's my idol!\Oh, Yua-chan, you're here?\Wow...\Yua-chan's regular clothes are a lot more unique than I expected... response:	So cute...
context: Ch-Chiaki-senpai looks so beautiful today...\There, there.\It's so rare to see her in a skirt!\She's my idol!\Oh, Yua-chan, you're here?\Wow...\Yua-chan's regular clothes are a lot more unique than I expected...\So cute... response:	So beautiful...
context: There, there.\It's so rare to see her in a skirt!\She's my idol!\Oh, Yua-chan, you're here?\Wow...\Yua-chan's regular clothes are a lot more unique than I expected...\So cute...\So beautiful... response:	Are you two okay?
context: It's so rare to see her in a skirt!\She's my idol!\Oh, Yua-chan, you're here?\Wow...\Yua-chan's regular clothes are a lot more unique than I expected...\So cute...\So beautiful...\Are you two okay? response:	By the way,
context: She's my idol!\Oh, Yua-chan, you're here?\Wow...\Yua-chan's regular clothes are a lot more unique than I expected...\So cute...\So beautiful...\Are you two okay?\By the way, response:	what brings you here, Yua-chan?
context: Oh, Yua-chan, you're here?\Wow...\Yua-chan's regular clothes are a lot more unique than I expected...\So cute...\So beautiful...\Are you two okay?\By the way,\what brings you here, Yua-chan? response:	Oh, right, I came to lend you some DVDs.
context: Wow...\Yua-chan's regular clothes are a lot more unique than I expected...\So cute...\So beautiful...\Are you two okay?\By the way,\what brings you here, Yua-chan?\Oh, right, I came to lend you some DVDs. response:	Performances by my favorite small theater troupes,
context: Yua-chan's regular clothes are a lot more unique than I expected...\So cute...\So beautiful...\Are you two okay?\By the way,\what brings you here, Yua-chan?\Oh, right, I came to lend you some DVDs.\Performances by my favorite small theater troupes, response:	and acting lessons on DVD!
context: So cute...\So beautiful...\Are you two okay?\By the way,\what brings you here, Yua-chan?\Oh, right, I came to lend you some DVDs.\Performances by my favorite small theater troupes,\and acting lessons on DVD! response:	Watch these and study them carefully.
context: So beautiful...\Are you two okay?\By the way,\what brings you here, Yua-chan?\Oh, right, I came to lend you some DVDs.\Performances by my favorite small theater troupes,\and acting lessons on DVD!\Watch these and study them carefully. response:	Huh? I can borrow those?
context: Are you two okay?\By the way,\what brings you here, Yua-chan?\Oh, right, I came to lend you some DVDs.\Performances by my favorite small theater troupes,\and acting lessons on DVD!\Watch these and study them carefully.\Huh? I can borrow those? response:	Aren't they important to you?
context: By the way,\what brings you here, Yua-chan?\Oh, right, I came to lend you some DVDs.\Performances by my favorite small theater troupes,\and acting lessons on DVD!\Watch these and study them carefully.\Huh? I can borrow those?\Aren't they important to you? response:	I-It's no big deal!
