context: The Lord of Numinous Treasures' Heavens Spring response:	can heal a common wound in three to five days.
context: I heard that during our battle with the Mermaid Clan\Li Yuan also escaped from Arctic Lands.\Do you still remember anything about the Crown Prince of the Ghost Tribe?\Li Yuan?\I met him 70,000 years ago.\He might be ruthless, but he's not good enough to be the Ghost Lord.\But I've heard that the current Ghost Lord\Li Jing, fools around all the time. response:	Both of them are just as incompetent.
context: Li Yuan also escaped from Arctic Lands.\Do you still remember anything about the Crown Prince of the Ghost Tribe?\Li Yuan?\I met him 70,000 years ago.\He might be ruthless, but he's not good enough to be the Ghost Lord.\But I've heard that the current Ghost Lord\Li Jing, fools around all the time.\Both of them are just as incompetent. response:	Exactly.
context: Do you still remember anything about the Crown Prince of the Ghost Tribe?\Li Yuan?\I met him 70,000 years ago.\He might be ruthless, but he's not good enough to be the Ghost Lord.\But I've heard that the current Ghost Lord\Li Jing, fools around all the time.\Both of them are just as incompetent.\Exactly. response:	Father.
context: Li Yuan?\I met him 70,000 years ago.\He might be ruthless, but he's not good enough to be the Ghost Lord.\But I've heard that the current Ghost Lord\Li Jing, fools around all the time.\Both of them are just as incompetent.\Exactly.\Father. response:	Qing Cang's two sons are indeed incompetent.
context: I met him 70,000 years ago.\He might be ruthless, but he's not good enough to be the Ghost Lord.\But I've heard that the current Ghost Lord\Li Jing, fools around all the time.\Both of them are just as incompetent.\Exactly.\Father.\Qing Cang's two sons are indeed incompetent. response:	Ye Hua is here to nurse his injuries.
context: He might be ruthless, but he's not good enough to be the Ghost Lord.\But I've heard that the current Ghost Lord\Li Jing, fools around all the time.\Both of them are just as incompetent.\Exactly.\Father.\Qing Cang's two sons are indeed incompetent.\Ye Hua is here to nurse his injuries. response:	However, you're here to avoid going to the assembly.
context: But I've heard that the current Ghost Lord\Li Jing, fools around all the time.\Both of them are just as incompetent.\Exactly.\Father.\Qing Cang's two sons are indeed incompetent.\Ye Hua is here to nurse his injuries.\However, you're here to avoid going to the assembly. response:	Father, you've wronged me.
context: Li Jing, fools around all the time.\Both of them are just as incompetent.\Exactly.\Father.\Qing Cang's two sons are indeed incompetent.\Ye Hua is here to nurse his injuries.\However, you're here to avoid going to the assembly.\Father, you've wronged me. response:	I'm just worried about Ye Hua's injuries.
context: Both of them are just as incompetent.\Exactly.\Father.\Qing Cang's two sons are indeed incompetent.\Ye Hua is here to nurse his injuries.\However, you're here to avoid going to the assembly.\Father, you've wronged me.\I'm just worried about Ye Hua's injuries. response:	So, I'm here to check on him.
context: Exactly.\Father.\Qing Cang's two sons are indeed incompetent.\Ye Hua is here to nurse his injuries.\However, you're here to avoid going to the assembly.\Father, you've wronged me.\I'm just worried about Ye Hua's injuries.\So, I'm here to check on him. response:	I'll head over to the assembly now.
context: Father.\Qing Cang's two sons are indeed incompetent.\Ye Hua is here to nurse his injuries.\However, you're here to avoid going to the assembly.\Father, you've wronged me.\I'm just worried about Ye Hua's injuries.\So, I'm here to check on him.\I'll head over to the assembly now. response:	It's the Realm of Supreme Purity after we go through here.
context: Qing Cang's two sons are indeed incompetent.\Ye Hua is here to nurse his injuries.\However, you're here to avoid going to the assembly.\Father, you've wronged me.\I'm just worried about Ye Hua's injuries.\So, I'm here to check on him.\I'll head over to the assembly now.\It's the Realm of Supreme Purity after we go through here. response:	Consort Su Jin.
context: Ye Hua is here to nurse his injuries.\However, you're here to avoid going to the assembly.\Father, you've wronged me.\I'm just worried about Ye Hua's injuries.\So, I'm here to check on him.\I'll head over to the assembly now.\It's the Realm of Supreme Purity after we go through here.\Consort Su Jin. response:	Second Prince.
context: However, you're here to avoid going to the assembly.\Father, you've wronged me.\I'm just worried about Ye Hua's injuries.\So, I'm here to check on him.\I'll head over to the assembly now.\It's the Realm of Supreme Purity after we go through here.\Consort Su Jin.\Second Prince. response:	It's the Water King of the North Sea.
context: Father, you've wronged me.\I'm just worried about Ye Hua's injuries.\So, I'm here to check on him.\I'll head over to the assembly now.\It's the Realm of Supreme Purity after we go through here.\Consort Su Jin.\Second Prince.\It's the Water King of the North Sea. response:	I've been demoted. How could I still be addressed as a prince?
context: I'm just worried about Ye Hua's injuries.\So, I'm here to check on him.\I'll head over to the assembly now.\It's the Realm of Supreme Purity after we go through here.\Consort Su Jin.\Second Prince.\It's the Water King of the North Sea.\I've been demoted. How could I still be addressed as a prince? response:	In Su Jin's mind, Second Prince will always remain a prince.
context: So, I'm here to check on him.\I'll head over to the assembly now.\It's the Realm of Supreme Purity after we go through here.\Consort Su Jin.\Second Prince.\It's the Water King of the North Sea.\I've been demoted. How could I still be addressed as a prince?\In Su Jin's mind, Second Prince will always remain a prince. response:	Nothing has changed.
context: I'll head over to the assembly now.\It's the Realm of Supreme Purity after we go through here.\Consort Su Jin.\Second Prince.\It's the Water King of the North Sea.\I've been demoted. How could I still be addressed as a prince?\In Su Jin's mind, Second Prince will always remain a prince.\Nothing has changed. response:	Is the consort with child again?
context: It's the Realm of Supreme Purity after we go through here.\Consort Su Jin.\Second Prince.\It's the Water King of the North Sea.\I've been demoted. How could I still be addressed as a prince?\In Su Jin's mind, Second Prince will always remain a prince.\Nothing has changed.\Is the consort with child again? response:	Yes.
context: Consort Su Jin.\Second Prince.\It's the Water King of the North Sea.\I've been demoted. How could I still be addressed as a prince?\In Su Jin's mind, Second Prince will always remain a prince.\Nothing has changed.\Is the consort with child again?\Yes. response:	I've been having severe morning sickness.
context: Second Prince.\It's the Water King of the North Sea.\I've been demoted. How could I still be addressed as a prince?\In Su Jin's mind, Second Prince will always remain a prince.\Nothing has changed.\Is the consort with child again?\Yes.\I've been having severe morning sickness. response:	Su Su, look.
context: It's the Water King of the North Sea.\I've been demoted. How could I still be addressed as a prince?\In Su Jin's mind, Second Prince will always remain a prince.\Nothing has changed.\Is the consort with child again?\Yes.\I've been having severe morning sickness.\Su Su, look. response:	You are both blessed.
context: I've been demoted. How could I still be addressed as a prince?\In Su Jin's mind, Second Prince will always remain a prince.\Nothing has changed.\Is the consort with child again?\Yes.\I've been having severe morning sickness.\Su Su, look.\You are both blessed. response:	This is...
context: In Su Jin's mind, Second Prince will always remain a prince.\Nothing has changed.\Is the consort with child again?\Yes.\I've been having severe morning sickness.\Su Su, look.\You are both blessed.\This is... response:	She is...
context: Nothing has changed.\Is the consort with child again?\Yes.\I've been having severe morning sickness.\Su Su, look.\You are both blessed.\This is...\She is... response:	She is Ye Hua's savior in the Mortal Realm.
context: Is the consort with child again?\Yes.\I've been having severe morning sickness.\Su Su, look.\You are both blessed.\This is...\She is...\She is Ye Hua's savior in the Mortal Realm. response:	She's a mortal. Her name is Su Su.
context: Yes.\I've been having severe morning sickness.\Su Su, look.\You are both blessed.\This is...\She is...\She is Ye Hua's savior in the Mortal Realm.\She's a mortal. Her name is Su Su. response:	As she's carrying Ye Hua's child
context: I've been having severe morning sickness.\Su Su, look.\You are both blessed.\This is...\She is...\She is Ye Hua's savior in the Mortal Realm.\She's a mortal. Her name is Su Su.\As she's carrying Ye Hua's child response:	Ye Hua has kept her in the Celestial Palace.
context: Su Su, look.\You are both blessed.\This is...\She is...\She is Ye Hua's savior in the Mortal Realm.\She's a mortal. Her name is Su Su.\As she's carrying Ye Hua's child\Ye Hua has kept her in the Celestial Palace. response:	Ye Hua's savior in the Mortal Realm?
context: You are both blessed.\This is...\She is...\She is Ye Hua's savior in the Mortal Realm.\She's a mortal. Her name is Su Su.\As she's carrying Ye Hua's child\Ye Hua has kept her in the Celestial Palace.\Ye Hua's savior in the Mortal Realm? response:	Exactly.
context: This is...\She is...\She is Ye Hua's savior in the Mortal Realm.\She's a mortal. Her name is Su Su.\As she's carrying Ye Hua's child\Ye Hua has kept her in the Celestial Palace.\Ye Hua's savior in the Mortal Realm?\Exactly. response:	Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion.
context: She is...\She is Ye Hua's savior in the Mortal Realm.\She's a mortal. Her name is Su Su.\As she's carrying Ye Hua's child\Ye Hua has kept her in the Celestial Palace.\Ye Hua's savior in the Mortal Realm?\Exactly.\Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion. response:	This young lady here saved him.
context: She is Ye Hua's savior in the Mortal Realm.\She's a mortal. Her name is Su Su.\As she's carrying Ye Hua's child\Ye Hua has kept her in the Celestial Palace.\Ye Hua's savior in the Mortal Realm?\Exactly.\Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion.\This young lady here saved him. response:	I didn't expect Ye Hua to have such a brief romance.
context: She's a mortal. Her name is Su Su.\As she's carrying Ye Hua's child\Ye Hua has kept her in the Celestial Palace.\Ye Hua's savior in the Mortal Realm?\Exactly.\Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion.\This young lady here saved him.\I didn't expect Ye Hua to have such a brief romance. response:	Didn't Your Highness used to have many beauties in your hall as well?
context: As she's carrying Ye Hua's child\Ye Hua has kept her in the Celestial Palace.\Ye Hua's savior in the Mortal Realm?\Exactly.\Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion.\This young lady here saved him.\I didn't expect Ye Hua to have such a brief romance.\Didn't Your Highness used to have many beauties in your hall as well? response:	By the way, Second Prince
context: Ye Hua has kept her in the Celestial Palace.\Ye Hua's savior in the Mortal Realm?\Exactly.\Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion.\This young lady here saved him.\I didn't expect Ye Hua to have such a brief romance.\Didn't Your Highness used to have many beauties in your hall as well?\By the way, Second Prince response:	do you know where the Crown Prince went?
context: Ye Hua's savior in the Mortal Realm?\Exactly.\Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion.\This young lady here saved him.\I didn't expect Ye Hua to have such a brief romance.\Didn't Your Highness used to have many beauties in your hall as well?\By the way, Second Prince\do you know where the Crown Prince went? response:	I heard from the Lord of Numinous Treasures
context: Exactly.\Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion.\This young lady here saved him.\I didn't expect Ye Hua to have such a brief romance.\Didn't Your Highness used to have many beauties in your hall as well?\By the way, Second Prince\do you know where the Crown Prince went?\I heard from the Lord of Numinous Treasures response:	that Ye Hua has been in Heaven's Springs since this morning.
context: Ye Hua was injured in a fierce fight with Scarlet Flame Golden Lion.\This young lady here saved him.\I didn't expect Ye Hua to have such a brief romance.\Didn't Your Highness used to have many beauties in your hall as well?\By the way, Second Prince\do you know where the Crown Prince went?\I heard from the Lord of Numinous Treasures\that Ye Hua has been in Heaven's Springs since this morning. response:	You're right.
context: This young lady here saved him.\I didn't expect Ye Hua to have such a brief romance.\Didn't Your Highness used to have many beauties in your hall as well?\By the way, Second Prince\do you know where the Crown Prince went?\I heard from the Lord of Numinous Treasures\that Ye Hua has been in Heaven's Springs since this morning.\You're right. response:	Ye Hua was severely wounded.
context: I didn't expect Ye Hua to have such a brief romance.\Didn't Your Highness used to have many beauties in your hall as well?\By the way, Second Prince\do you know where the Crown Prince went?\I heard from the Lord of Numinous Treasures\that Ye Hua has been in Heaven's Springs since this morning.\You're right.\Ye Hua was severely wounded. response:	It's better for him to recuperate there.
context: Didn't Your Highness used to have many beauties in your hall as well?\By the way, Second Prince\do you know where the Crown Prince went?\I heard from the Lord of Numinous Treasures\that Ye Hua has been in Heaven's Springs since this morning.\You're right.\Ye Hua was severely wounded.\It's better for him to recuperate there. response:	Su Su, let's go.
context: By the way, Second Prince\do you know where the Crown Prince went?\I heard from the Lord of Numinous Treasures\that Ye Hua has been in Heaven's Springs since this morning.\You're right.\Ye Hua was severely wounded.\It's better for him to recuperate there.\Su Su, let's go. response:	Second Prince, Consort Shao Xing, we'll take our leave.
context: do you know where the Crown Prince went?\I heard from the Lord of Numinous Treasures\that Ye Hua has been in Heaven's Springs since this morning.\You're right.\Ye Hua was severely wounded.\It's better for him to recuperate there.\Su Su, let's go.\Second Prince, Consort Shao Xing, we'll take our leave. response:	Shao Xing.
context: I heard from the Lord of Numinous Treasures\that Ye Hua has been in Heaven's Springs since this morning.\You're right.\Ye Hua was severely wounded.\It's better for him to recuperate there.\Su Su, let's go.\Second Prince, Consort Shao Xing, we'll take our leave.\Shao Xing. response:	Why do you keep staring at that mortal?
context: that Ye Hua has been in Heaven's Springs since this morning.\You're right.\Ye Hua was severely wounded.\It's better for him to recuperate there.\Su Su, let's go.\Second Prince, Consort Shao Xing, we'll take our leave.\Shao Xing.\Why do you keep staring at that mortal? response:	Consort Su Jin.
context: You're right.\Ye Hua was severely wounded.\It's better for him to recuperate there.\Su Su, let's go.\Second Prince, Consort Shao Xing, we'll take our leave.\Shao Xing.\Why do you keep staring at that mortal?\Consort Su Jin. response:	Am I all you could see?
context: Ye Hua was severely wounded.\It's better for him to recuperate there.\Su Su, let's go.\Second Prince, Consort Shao Xing, we'll take our leave.\Shao Xing.\Why do you keep staring at that mortal?\Consort Su Jin.\Am I all you could see? response:	Have you not noticed this consort?
context: It's better for him to recuperate there.\Su Su, let's go.\Second Prince, Consort Shao Xing, we'll take our leave.\Shao Xing.\Why do you keep staring at that mortal?\Consort Su Jin.\Am I all you could see?\Have you not noticed this consort? response:	Consort Su Jin.
context: Su Su, let's go.\Second Prince, Consort Shao Xing, we'll take our leave.\Shao Xing.\Why do you keep staring at that mortal?\Consort Su Jin.\Am I all you could see?\Have you not noticed this consort?\Consort Su Jin. response:	This lady isn't conferred any titles in the Celestial Palace.
context: Second Prince, Consort Shao Xing, we'll take our leave.\Shao Xing.\Why do you keep staring at that mortal?\Consort Su Jin.\Am I all you could see?\Have you not noticed this consort?\Consort Su Jin.\This lady isn't conferred any titles in the Celestial Palace. response:	We really couldn't...
context: Shao Xing.\Why do you keep staring at that mortal?\Consort Su Jin.\Am I all you could see?\Have you not noticed this consort?\Consort Su Jin.\This lady isn't conferred any titles in the Celestial Palace.\We really couldn't... response:	How dare you!
context: Why do you keep staring at that mortal?\Consort Su Jin.\Am I all you could see?\Have you not noticed this consort?\Consort Su Jin.\This lady isn't conferred any titles in the Celestial Palace.\We really couldn't...\How dare you! response:	All of you serve in the Heavenly Lord's hall.
context: Consort Su Jin.\Am I all you could see?\Have you not noticed this consort?\Consort Su Jin.\This lady isn't conferred any titles in the Celestial Palace.\We really couldn't...\How dare you!\All of you serve in the Heavenly Lord's hall. response:	Could you not know that she belongs to the Crown Prince?
context: Am I all you could see?\Have you not noticed this consort?\Consort Su Jin.\This lady isn't conferred any titles in the Celestial Palace.\We really couldn't...\How dare you!\All of you serve in the Heavenly Lord's hall.\Could you not know that she belongs to the Crown Prince? response:	Consort, we do know that.
context: Have you not noticed this consort?\Consort Su Jin.\This lady isn't conferred any titles in the Celestial Palace.\We really couldn't...\How dare you!\All of you serve in the Heavenly Lord's hall.\Could you not know that she belongs to the Crown Prince?\Consort, we do know that. response:	It's just that the Crown Prince gave orders
context: Consort Su Jin.\This lady isn't conferred any titles in the Celestial Palace.\We really couldn't...\How dare you!\All of you serve in the Heavenly Lord's hall.\Could you not know that she belongs to the Crown Prince?\Consort, we do know that.\It's just that the Crown Prince gave orders response:	to treat the Hall of Beautiful Youth's lady
context: This lady isn't conferred any titles in the Celestial Palace.\We really couldn't...\How dare you!\All of you serve in the Heavenly Lord's hall.\Could you not know that she belongs to the Crown Prince?\Consort, we do know that.\It's just that the Crown Prince gave orders\to treat the Hall of Beautiful Youth's lady response:	according to the Celestial Palace's regulations.
context: We really couldn't...\How dare you!\All of you serve in the Heavenly Lord's hall.\Could you not know that she belongs to the Crown Prince?\Consort, we do know that.\It's just that the Crown Prince gave orders\to treat the Hall of Beautiful Youth's lady\according to the Celestial Palace's regulations. response:	Consort Su Jin, please forgive us!
context: How dare you!\All of you serve in the Heavenly Lord's hall.\Could you not know that she belongs to the Crown Prince?\Consort, we do know that.\It's just that the Crown Prince gave orders\to treat the Hall of Beautiful Youth's lady\according to the Celestial Palace's regulations.\Consort Su Jin, please forgive us! response:	Consort.
context: All of you serve in the Heavenly Lord's hall.\Could you not know that she belongs to the Crown Prince?\Consort, we do know that.\It's just that the Crown Prince gave orders\to treat the Hall of Beautiful Youth's lady\according to the Celestial Palace's regulations.\Consort Su Jin, please forgive us!\Consort. response:	Please don't make it hard for them.
context: Could you not know that she belongs to the Crown Prince?\Consort, we do know that.\It's just that the Crown Prince gave orders\to treat the Hall of Beautiful Youth's lady\according to the Celestial Palace's regulations.\Consort Su Jin, please forgive us!\Consort.\Please don't make it hard for them. response:	I really don't have any title.
context: Consort, we do know that.\It's just that the Crown Prince gave orders\to treat the Hall of Beautiful Youth's lady\according to the Celestial Palace's regulations.\Consort Su Jin, please forgive us!\Consort.\Please don't make it hard for them.\I really don't have any title. response:	All right, you may all get up.
context: It's just that the Crown Prince gave orders\to treat the Hall of Beautiful Youth's lady\according to the Celestial Palace's regulations.\Consort Su Jin, please forgive us!\Consort.\Please don't make it hard for them.\I really don't have any title.\All right, you may all get up. response:	Yes.
context: to treat the Hall of Beautiful Youth's lady\according to the Celestial Palace's regulations.\Consort Su Jin, please forgive us!\Consort.\Please don't make it hard for them.\I really don't have any title.\All right, you may all get up.\Yes. response:	Are both the Heavenly Lord and the Crown Prince inside?
context: according to the Celestial Palace's regulations.\Consort Su Jin, please forgive us!\Consort.\Please don't make it hard for them.\I really don't have any title.\All right, you may all get up.\Yes.\Are both the Heavenly Lord and the Crown Prince inside? response:	The Crown Prince has been here for two hours.
context: Consort Su Jin, please forgive us!\Consort.\Please don't make it hard for them.\I really don't have any title.\All right, you may all get up.\Yes.\Are both the Heavenly Lord and the Crown Prince inside?\The Crown Prince has been here for two hours. response:	The Heavenly Lord just arrived.
context: Consort.\Please don't make it hard for them.\I really don't have any title.\All right, you may all get up.\Yes.\Are both the Heavenly Lord and the Crown Prince inside?\The Crown Prince has been here for two hours.\The Heavenly Lord just arrived. response:	Would you like us to announce your arrival?
context: Please don't make it hard for them.\I really don't have any title.\All right, you may all get up.\Yes.\Are both the Heavenly Lord and the Crown Prince inside?\The Crown Prince has been here for two hours.\The Heavenly Lord just arrived.\Would you like us to announce your arrival? response:	That's not necessary.
context: I really don't have any title.\All right, you may all get up.\Yes.\Are both the Heavenly Lord and the Crown Prince inside?\The Crown Prince has been here for two hours.\The Heavenly Lord just arrived.\Would you like us to announce your arrival?\That's not necessary. response:	- But... - Should they both blame you
context: All right, you may all get up.\Yes.\Are both the Heavenly Lord and the Crown Prince inside?\The Crown Prince has been here for two hours.\The Heavenly Lord just arrived.\Would you like us to announce your arrival?\That's not necessary.\- But... - Should they both blame you response:	I will take responsibility for it. Fear not.
context: Yes.\Are both the Heavenly Lord and the Crown Prince inside?\The Crown Prince has been here for two hours.\The Heavenly Lord just arrived.\Would you like us to announce your arrival?\That's not necessary.\- But... - Should they both blame you\I will take responsibility for it. Fear not. response:	I'm from the Realm of Supreme Purity.
context: Are both the Heavenly Lord and the Crown Prince inside?\The Crown Prince has been here for two hours.\The Heavenly Lord just arrived.\Would you like us to announce your arrival?\That's not necessary.\- But... - Should they both blame you\I will take responsibility for it. Fear not.\I'm from the Realm of Supreme Purity. response:	The lady of this hall has given orders for you to take her fan
context: The Crown Prince has been here for two hours.\The Heavenly Lord just arrived.\Would you like us to announce your arrival?\That's not necessary.\- But... - Should they both blame you\I will take responsibility for it. Fear not.\I'm from the Realm of Supreme Purity.\The lady of this hall has given orders for you to take her fan response:	to the Realm of Supreme Purity.
context: The Heavenly Lord just arrived.\Would you like us to announce your arrival?\That's not necessary.\- But... - Should they both blame you\I will take responsibility for it. Fear not.\I'm from the Realm of Supreme Purity.\The lady of this hall has given orders for you to take her fan\to the Realm of Supreme Purity. response:	Her fan?
context: Would you like us to announce your arrival?\That's not necessary.\- But... - Should they both blame you\I will take responsibility for it. Fear not.\I'm from the Realm of Supreme Purity.\The lady of this hall has given orders for you to take her fan\to the Realm of Supreme Purity.\Her fan? response:	It's a fan with a scenic drawing.
context: That's not necessary.\- But... - Should they both blame you\I will take responsibility for it. Fear not.\I'm from the Realm of Supreme Purity.\The lady of this hall has given orders for you to take her fan\to the Realm of Supreme Purity.\Her fan?\It's a fan with a scenic drawing. response:	She handed it to you a while ago.
context: - But... - Should they both blame you\I will take responsibility for it. Fear not.\I'm from the Realm of Supreme Purity.\The lady of this hall has given orders for you to take her fan\to the Realm of Supreme Purity.\Her fan?\It's a fan with a scenic drawing.\She handed it to you a while ago. response:	Find it quickly and bring it to the Realm of Supreme Purity.
context: I will take responsibility for it. Fear not.\I'm from the Realm of Supreme Purity.\The lady of this hall has given orders for you to take her fan\to the Realm of Supreme Purity.\Her fan?\It's a fan with a scenic drawing.\She handed it to you a while ago.\Find it quickly and bring it to the Realm of Supreme Purity. response:	Yes.
context: I'm from the Realm of Supreme Purity.\The lady of this hall has given orders for you to take her fan\to the Realm of Supreme Purity.\Her fan?\It's a fan with a scenic drawing.\She handed it to you a while ago.\Find it quickly and bring it to the Realm of Supreme Purity.\Yes. response:	Although Qing Qiu replied saying that Bai Qian is still in meditation
context: The lady of this hall has given orders for you to take her fan\to the Realm of Supreme Purity.\Her fan?\It's a fan with a scenic drawing.\She handed it to you a while ago.\Find it quickly and bring it to the Realm of Supreme Purity.\Yes.\Although Qing Qiu replied saying that Bai Qian is still in meditation response:	the wedding mustn't be postponed.
context: to the Realm of Supreme Purity.\Her fan?\It's a fan with a scenic drawing.\She handed it to you a while ago.\Find it quickly and bring it to the Realm of Supreme Purity.\Yes.\Although Qing Qiu replied saying that Bai Qian is still in meditation\the wedding mustn't be postponed. response:	I understand.
context: Her fan?\It's a fan with a scenic drawing.\She handed it to you a while ago.\Find it quickly and bring it to the Realm of Supreme Purity.\Yes.\Although Qing Qiu replied saying that Bai Qian is still in meditation\the wedding mustn't be postponed.\I understand. response:	Bai Qian is the Fox King's only daughter.
context: It's a fan with a scenic drawing.\She handed it to you a while ago.\Find it quickly and bring it to the Realm of Supreme Purity.\Yes.\Although Qing Qiu replied saying that Bai Qian is still in meditation\the wedding mustn't be postponed.\I understand.\Bai Qian is the Fox King's only daughter. response:	She also inherited the position of Queen of the East.
context: She handed it to you a while ago.\Find it quickly and bring it to the Realm of Supreme Purity.\Yes.\Although Qing Qiu replied saying that Bai Qian is still in meditation\the wedding mustn't be postponed.\I understand.\Bai Qian is the Fox King's only daughter.\She also inherited the position of Queen of the East. response:	She can't possibly be some mild-tempered woman.
context: Find it quickly and bring it to the Realm of Supreme Purity.\Yes.\Although Qing Qiu replied saying that Bai Qian is still in meditation\the wedding mustn't be postponed.\I understand.\Bai Qian is the Fox King's only daughter.\She also inherited the position of Queen of the East.\She can't possibly be some mild-tempered woman. response:	Should she learn that you are expecting a child
context: Yes.\Although Qing Qiu replied saying that Bai Qian is still in meditation\the wedding mustn't be postponed.\I understand.\Bai Qian is the Fox King's only daughter.\She also inherited the position of Queen of the East.\She can't possibly be some mild-tempered woman.\Should she learn that you are expecting a child response:	and behave unreasonably you must learn to be tolerant.
