context: The girl was sent to an orphanage before she was one year old response:	because of her superhuman intelligence.
context: Blank...\Blank doesn't...\Blank doesn't...\You must've had a bad dream.\I'll bring you some warm milk.\No! No!\He was with me.\He was always with me. response:	That's why...
context: Blank doesn't...\Blank doesn't...\You must've had a bad dream.\I'll bring you some warm milk.\No! No!\He was with me.\He was always with me.\That's why... response:	Shiro.
context: Blank doesn't...\You must've had a bad dream.\I'll bring you some warm milk.\No! No!\He was with me.\He was always with me.\That's why...\Shiro. response:	Shiro!
context: You must've had a bad dream.\I'll bring you some warm milk.\No! No!\He was with me.\He was always with me.\That's why...\Shiro.\Shiro! response:	It's cold...
context: I'll bring you some warm milk.\No! No!\He was with me.\He was always with me.\That's why...\Shiro.\Shiro!\It's cold... response:	Master, there you are.
context: No! No!\He was with me.\He was always with me.\That's why...\Shiro.\Shiro!\It's cold...\Master, there you are. response:	Dola-chan was panicking and saying you ran off, so I wondered what happened.
context: He was with me.\He was always with me.\That's why...\Shiro.\Shiro!\It's cold...\Master, there you are.\Dola-chan was panicking and saying you ran off, so I wondered what happened. response:	Jibril?
context: He was always with me.\That's why...\Shiro.\Shiro!\It's cold...\Master, there you are.\Dola-chan was panicking and saying you ran off, so I wondered what happened.\Jibril? response:	Yes, what is it?
context: That's why...\Shiro.\Shiro!\It's cold...\Master, there you are.\Dola-chan was panicking and saying you ran off, so I wondered what happened.\Jibril?\Yes, what is it? response:	Who are your masters?
context: Shiro.\Shiro!\It's cold...\Master, there you are.\Dola-chan was panicking and saying you ran off, so I wondered what happened.\Jibril?\Yes, what is it?\Who are your masters? response:	Why are you asking me
context: Shiro!\It's cold...\Master, there you are.\Dola-chan was panicking and saying you ran off, so I wondered what happened.\Jibril?\Yes, what is it?\Who are your masters?\Why are you asking me response:	Answer me!
context: It's cold...\Master, there you are.\Dola-chan was panicking and saying you ran off, so I wondered what happened.\Jibril?\Yes, what is it?\Who are your masters?\Why are you asking me\Answer me! response:	You are my master, Shiro-sama.
context: Master, there you are.\Dola-chan was panicking and saying you ran off, so I wondered what happened.\Jibril?\Yes, what is it?\Who are your masters?\Why are you asking me\Answer me!\You are my master, Shiro-sama. response:	Then who fought you?
context: Dola-chan was panicking and saying you ran off, so I wondered what happened.\Jibril?\Yes, what is it?\Who are your masters?\Why are you asking me\Answer me!\You are my master, Shiro-sama.\Then who fought you? response:	It was you, Shiro-sama.
context: Jibril?\Yes, what is it?\Who are your masters?\Why are you asking me\Answer me!\You are my master, Shiro-sama.\Then who fought you?\It was you, Shiro-sama. response:	Who told Stephanie to fall in love with them?
context: Yes, what is it?\Who are your masters?\Why are you asking me\Answer me!\You are my master, Shiro-sama.\Then who fought you?\It was you, Shiro-sama.\Who told Stephanie to fall in love with them? response:	I'm told it was you, Shiro-sama.
context: Who are your masters?\Why are you asking me\Answer me!\You are my master, Shiro-sama.\Then who fought you?\It was you, Shiro-sama.\Who told Stephanie to fall in love with them?\I'm told it was you, Shiro-sama. response:	Who found out about the Eastern Federation's games?
context: Why are you asking me\Answer me!\You are my master, Shiro-sama.\Then who fought you?\It was you, Shiro-sama.\Who told Stephanie to fall in love with them?\I'm told it was you, Shiro-sama.\Who found out about the Eastern Federation's games? response:	You, Shiro-sama,
context: Answer me!\You are my master, Shiro-sama.\Then who fought you?\It was you, Shiro-sama.\Who told Stephanie to fall in love with them?\I'm told it was you, Shiro-sama.\Who found out about the Eastern Federation's games?\You, Shiro-sama, response:	with the help of what Dola-chan's grandfather left behind.
context: You are my master, Shiro-sama.\Then who fought you?\It was you, Shiro-sama.\Who told Stephanie to fall in love with them?\I'm told it was you, Shiro-sama.\Who found out about the Eastern Federation's games?\You, Shiro-sama,\with the help of what Dola-chan's grandfather left behind. response:	I was charmed by your unparalleled brilliance and strategic mind,
context: Then who fought you?\It was you, Shiro-sama.\Who told Stephanie to fall in love with them?\I'm told it was you, Shiro-sama.\Who found out about the Eastern Federation's games?\You, Shiro-sama,\with the help of what Dola-chan's grandfather left behind.\I was charmed by your unparalleled brilliance and strategic mind, response:	and decided to obey you.
context: It was you, Shiro-sama.\Who told Stephanie to fall in love with them?\I'm told it was you, Shiro-sama.\Who found out about the Eastern Federation's games?\You, Shiro-sama,\with the help of what Dola-chan's grandfather left behind.\I was charmed by your unparalleled brilliance and strategic mind,\and decided to obey you. response:	Obey... me?
context: Who told Stephanie to fall in love with them?\I'm told it was you, Shiro-sama.\Who found out about the Eastern Federation's games?\You, Shiro-sama,\with the help of what Dola-chan's grandfather left behind.\I was charmed by your unparalleled brilliance and strategic mind,\and decided to obey you.\Obey... me? response:	Yes.
context: I'm told it was you, Shiro-sama.\Who found out about the Eastern Federation's games?\You, Shiro-sama,\with the help of what Dola-chan's grandfather left behind.\I was charmed by your unparalleled brilliance and strategic mind,\and decided to obey you.\Obey... me?\Yes. response:	You, Shiro-sama, queen of Elkia
context: Who found out about the Eastern Federation's games?\You, Shiro-sama,\with the help of what Dola-chan's grandfather left behind.\I was charmed by your unparalleled brilliance and strategic mind,\and decided to obey you.\Obey... me?\Yes.\You, Shiro-sama, queen of Elkia response:	and designated representative of Imanity.
context: You, Shiro-sama,\with the help of what Dola-chan's grandfather left behind.\I was charmed by your unparalleled brilliance and strategic mind,\and decided to obey you.\Obey... me?\Yes.\You, Shiro-sama, queen of Elkia\and designated representative of Imanity. response:	In other words, there was somebody besides her?
context: with the help of what Dola-chan's grandfather left behind.\I was charmed by your unparalleled brilliance and strategic mind,\and decided to obey you.\Obey... me?\Yes.\You, Shiro-sama, queen of Elkia\and designated representative of Imanity.\In other words, there was somebody besides her? response:	But there's no proof.
context: I was charmed by your unparalleled brilliance and strategic mind,\and decided to obey you.\Obey... me?\Yes.\You, Shiro-sama, queen of Elkia\and designated representative of Imanity.\In other words, there was somebody besides her?\But there's no proof. response:	I expanded my range of questioning
context: and decided to obey you.\Obey... me?\Yes.\You, Shiro-sama, queen of Elkia\and designated representative of Imanity.\In other words, there was somebody besides her?\But there's no proof.\I expanded my range of questioning response:	to cover the whole city in addition to the castle, but...
context: Obey... me?\Yes.\You, Shiro-sama, queen of Elkia\and designated representative of Imanity.\In other words, there was somebody besides her?\But there's no proof.\I expanded my range of questioning\to cover the whole city in addition to the castle, but... response:	Shiro's House
context: Yes.\You, Shiro-sama, queen of Elkia\and designated representative of Imanity.\In other words, there was somebody besides her?\But there's no proof.\I expanded my range of questioning\to cover the whole city in addition to the castle, but...\Shiro's House response:	Yes, nobody in the protest demonstrations knows anything about him, either.
context: You, Shiro-sama, queen of Elkia\and designated representative of Imanity.\In other words, there was somebody besides her?\But there's no proof.\I expanded my range of questioning\to cover the whole city in addition to the castle, but...\Shiro's House\Yes, nobody in the protest demonstrations knows anything about him, either. response:	Which means...
context: and designated representative of Imanity.\In other words, there was somebody besides her?\But there's no proof.\I expanded my range of questioning\to cover the whole city in addition to the castle, but...\Shiro's House\Yes, nobody in the protest demonstrations knows anything about him, either.\Which means... response:	It's likely...
context: In other words, there was somebody besides her?\But there's no proof.\I expanded my range of questioning\to cover the whole city in addition to the castle, but...\Shiro's House\Yes, nobody in the protest demonstrations knows anything about him, either.\Which means...\It's likely... response:	that our master competed with someone unbeknown to us,
context: But there's no proof.\I expanded my range of questioning\to cover the whole city in addition to the castle, but...\Shiro's House\Yes, nobody in the protest demonstrations knows anything about him, either.\Which means...\It's likely...\that our master competed with someone unbeknown to us, response:	lost, and had her memories altered.
context: I expanded my range of questioning\to cover the whole city in addition to the castle, but...\Shiro's House\Yes, nobody in the protest demonstrations knows anything about him, either.\Which means...\It's likely...\that our master competed with someone unbeknown to us,\lost, and had her memories altered. response:	That's impossible.
context: to cover the whole city in addition to the castle, but...\Shiro's House\Yes, nobody in the protest demonstrations knows anything about him, either.\Which means...\It's likely...\that our master competed with someone unbeknown to us,\lost, and had her memories altered.\That's impossible. response:	Who could have...
context: Shiro's House\Yes, nobody in the protest demonstrations knows anything about him, either.\Which means...\It's likely...\that our master competed with someone unbeknown to us,\lost, and had her memories altered.\That's impossible.\Who could have... response:	The Eastern Federation?
context: Yes, nobody in the protest demonstrations knows anything about him, either.\Which means...\It's likely...\that our master competed with someone unbeknown to us,\lost, and had her memories altered.\That's impossible.\Who could have...\The Eastern Federation? response:	Yes, they are capable of that.
context: Which means...\It's likely...\that our master competed with someone unbeknown to us,\lost, and had her memories altered.\That's impossible.\Who could have...\The Eastern Federation?\Yes, they are capable of that. response:	Master.
context: It's likely...\that our master competed with someone unbeknown to us,\lost, and had her memories altered.\That's impossible.\Who could have...\The Eastern Federation?\Yes, they are capable of that.\Master. response:	Let's play a game.
context: that our master competed with someone unbeknown to us,\lost, and had her memories altered.\That's impossible.\Who could have...\The Eastern Federation?\Yes, they are capable of that.\Master.\Let's play a game. response:	A game?
context: lost, and had her memories altered.\That's impossible.\Who could have...\The Eastern Federation?\Yes, they are capable of that.\Master.\Let's play a game.\A game? response:	Yes. We'll bet the false memories that have been implanted in you.
context: That's impossible.\Who could have...\The Eastern Federation?\Yes, they are capable of that.\Master.\Let's play a game.\A game?\Yes. We'll bet the false memories that have been implanted in you. response:	False?
context: Who could have...\The Eastern Federation?\Yes, they are capable of that.\Master.\Let's play a game.\A game?\Yes. We'll bet the false memories that have been implanted in you.\False? response:	And I know it's very rude to ask,
context: The Eastern Federation?\Yes, they are capable of that.\Master.\Let's play a game.\A game?\Yes. We'll bet the false memories that have been implanted in you.\False?\And I know it's very rude to ask, response:	but would you please lose?
context: Yes, they are capable of that.\Master.\Let's play a game.\A game?\Yes. We'll bet the false memories that have been implanted in you.\False?\And I know it's very rude to ask,\but would you please lose? response:	That's check.
context: Master.\Let's play a game.\A game?\Yes. We'll bet the false memories that have been implanted in you.\False?\And I know it's very rude to ask,\but would you please lose?\That's check. response:	False memories...
context: Let's play a game.\A game?\Yes. We'll bet the false memories that have been implanted in you.\False?\And I know it's very rude to ask,\but would you please lose?\That's check.\False memories... response:	Are they really false?
context: A game?\Yes. We'll bet the false memories that have been implanted in you.\False?\And I know it's very rude to ask,\but would you please lose?\That's check.\False memories...\Are they really false? response:	Is that why they're disappearing?
context: Yes. We'll bet the false memories that have been implanted in you.\False?\And I know it's very rude to ask,\but would you please lose?\That's check.\False memories...\Are they really false?\Is that why they're disappearing? response:	Hey, Shiro.
context: False?\And I know it's very rude to ask,\but would you please lose?\That's check.\False memories...\Are they really false?\Is that why they're disappearing?\Hey, Shiro. response:	They say people can change, but is that really true?
context: And I know it's very rude to ask,\but would you please lose?\That's check.\False memories...\Are they really false?\Is that why they're disappearing?\Hey, Shiro.\They say people can change, but is that really true? response:	They're all...
context: but would you please lose?\That's check.\False memories...\Are they really false?\Is that why they're disappearing?\Hey, Shiro.\They say people can change, but is that really true?\They're all... response:	all disappearing...
context: That's check.\False memories...\Are they really false?\Is that why they're disappearing?\Hey, Shiro.\They say people can change, but is that really true?\They're all...\all disappearing... response:	If they decide they want to fly, will they grow wings?
context: False memories...\Are they really false?\Is that why they're disappearing?\Hey, Shiro.\They say people can change, but is that really true?\They're all...\all disappearing...\If they decide they want to fly, will they grow wings? response:	I don't think so.
context: Are they really false?\Is that why they're disappearing?\Hey, Shiro.\They say people can change, but is that really true?\They're all...\all disappearing...\If they decide they want to fly, will they grow wings?\I don't think so. response:	You don't change yourself. You change how you do things.
context: Is that why they're disappearing?\Hey, Shiro.\They say people can change, but is that really true?\They're all...\all disappearing...\If they decide they want to fly, will they grow wings?\I don't think so.\You don't change yourself. You change how you do things. response:	Brother...
context: Hey, Shiro.\They say people can change, but is that really true?\They're all...\all disappearing...\If they decide they want to fly, will they grow wings?\I don't think so.\You don't change yourself. You change how you do things.\Brother... response:	You have to make your own way.
context: They say people can change, but is that really true?\They're all...\all disappearing...\If they decide they want to fly, will they grow wings?\I don't think so.\You don't change yourself. You change how you do things.\Brother...\You have to make your own way. response:	You have to create a way to fly, even while you stay the same.
context: They're all...\all disappearing...\If they decide they want to fly, will they grow wings?\I don't think so.\You don't change yourself. You change how you do things.\Brother...\You have to make your own way.\You have to create a way to fly, even while you stay the same. response:	Let's think of a way to make wings that will let you fly.
context: all disappearing...\If they decide they want to fly, will they grow wings?\I don't think so.\You don't change yourself. You change how you do things.\Brother...\You have to make your own way.\You have to create a way to fly, even while you stay the same.\Let's think of a way to make wings that will let you fly. response:	We can take our time.
context: If they decide they want to fly, will they grow wings?\I don't think so.\You don't change yourself. You change how you do things.\Brother...\You have to make your own way.\You have to create a way to fly, even while you stay the same.\Let's think of a way to make wings that will let you fly.\We can take our time. response:	They're all false...
context: I don't think so.\You don't change yourself. You change how you do things.\Brother...\You have to make your own way.\You have to create a way to fly, even while you stay the same.\Let's think of a way to make wings that will let you fly.\We can take our time.\They're all false... response:	All of them are lies...
context: You don't change yourself. You change how you do things.\Brother...\You have to make your own way.\You have to create a way to fly, even while you stay the same.\Let's think of a way to make wings that will let you fly.\We can take our time.\They're all false...\All of them are lies... response:	If they disappear,
context: Brother...\You have to make your own way.\You have to create a way to fly, even while you stay the same.\Let's think of a way to make wings that will let you fly.\We can take our time.\They're all false...\All of them are lies...\If they disappear, response:	I'll feel better.
context: You have to make your own way.\You have to create a way to fly, even while you stay the same.\Let's think of a way to make wings that will let you fly.\We can take our time.\They're all false...\All of them are lies...\If they disappear,\I'll feel better. response:	Blank?
context: You have to create a way to fly, even while you stay the same.\Let's think of a way to make wings that will let you fly.\We can take our time.\They're all false...\All of them are lies...\If they disappear,\I'll feel better.\Blank? response:	Master?
context: Let's think of a way to make wings that will let you fly.\We can take our time.\They're all false...\All of them are lies...\If they disappear,\I'll feel better.\Blank?\Master? response:	Blank...
context: We can take our time.\They're all false...\All of them are lies...\If they disappear,\I'll feel better.\Blank?\Master?\Blank... response:	Blank doesn't...
context: They're all false...\All of them are lies...\If they disappear,\I'll feel better.\Blank?\Master?\Blank...\Blank doesn't... response:	Blank doesn't lose!
context: All of them are lies...\If they disappear,\I'll feel better.\Blank?\Master?\Blank...\Blank doesn't...\Blank doesn't lose! response:	Why did you win?
context: If they disappear,\I'll feel better.\Blank?\Master?\Blank...\Blank doesn't...\Blank doesn't lose!\Why did you win? response:	He's real. Sora is real!
context: I'll feel better.\Blank?\Master?\Blank...\Blank doesn't...\Blank doesn't lose!\Why did you win?\He's real. Sora is real! response:	I know he's real!
context: Blank?\Master?\Blank...\Blank doesn't...\Blank doesn't lose!\Why did you win?\He's real. Sora is real!\I know he's real! response:	Sora?
context: Master?\Blank...\Blank doesn't...\Blank doesn't lose!\Why did you win?\He's real. Sora is real!\I know he's real!\Sora? response:	Master? But...
context: Blank...\Blank doesn't...\Blank doesn't lose!\Why did you win?\He's real. Sora is real!\I know he's real!\Sora?\Master? But... response:	He's real! He is real!
context: Blank doesn't...\Blank doesn't lose!\Why did you win?\He's real. Sora is real!\I know he's real!\Sora?\Master? But...\He's real! He is real! response:	Calm down, Master.
context: Blank doesn't lose!\Why did you win?\He's real. Sora is real!\I know he's real!\Sora?\Master? But...\He's real! He is real!\Calm down, Master. response:	Think logically...
context: Why did you win?\He's real. Sora is real!\I know he's real!\Sora?\Master? But...\He's real! He is real!\Calm down, Master.\Think logically... response:	You're right.
context: He's real. Sora is real!\I know he's real!\Sora?\Master? But...\He's real! He is real!\Calm down, Master.\Think logically...\You're right. response:	You're right, it's more natural to think he doesn't exist.
context: I know he's real!\Sora?\Master? But...\He's real! He is real!\Calm down, Master.\Think logically...\You're right.\You're right, it's more natural to think he doesn't exist. response:	But I'm sure he does.
context: Sora?\Master? But...\He's real! He is real!\Calm down, Master.\Think logically...\You're right.\You're right, it's more natural to think he doesn't exist.\But I'm sure he does. response:	What are you saying, Dola-chan?
context: Master? But...\He's real! He is real!\Calm down, Master.\Think logically...\You're right.\You're right, it's more natural to think he doesn't exist.\But I'm sure he does.\What are you saying, Dola-chan? response:	Because I know you two would never lose!
context: He's real! He is real!\Calm down, Master.\Think logically...\You're right.\You're right, it's more natural to think he doesn't exist.\But I'm sure he does.\What are you saying, Dola-chan?\Because I know you two would never lose! response:	Steph...
context: Calm down, Master.\Think logically...\You're right.\You're right, it's more natural to think he doesn't exist.\But I'm sure he does.\What are you saying, Dola-chan?\Because I know you two would never lose!\Steph... response:	But...
context: Think logically...\You're right.\You're right, it's more natural to think he doesn't exist.\But I'm sure he does.\What are you saying, Dola-chan?\Because I know you two would never lose!\Steph...\But... response:	Yeah, they'd never lose.
context: You're right.\You're right, it's more natural to think he doesn't exist.\But I'm sure he does.\What are you saying, Dola-chan?\Because I know you two would never lose!\Steph...\But...\Yeah, they'd never lose. response:	There must be some reason.
context: You're right, it's more natural to think he doesn't exist.\But I'm sure he does.\What are you saying, Dola-chan?\Because I know you two would never lose!\Steph...\But...\Yeah, they'd never lose.\There must be some reason. response:	Some reason this happened...
context: But I'm sure he does.\What are you saying, Dola-chan?\Because I know you two would never lose!\Steph...\But...\Yeah, they'd never lose.\There must be some reason.\Some reason this happened... response:	You're being overly emotional.
context: What are you saying, Dola-chan?\Because I know you two would never lose!\Steph...\But...\Yeah, they'd never lose.\There must be some reason.\Some reason this happened...\You're being overly emotional. response:	You need to
context: Because I know you two would never lose!\Steph...\But...\Yeah, they'd never lose.\There must be some reason.\Some reason this happened...\You're being overly emotional.\You need to response:	What did you two do yesterday?
context: Steph...\But...\Yeah, they'd never lose.\There must be some reason.\Some reason this happened...\You're being overly emotional.\You need to\What did you two do yesterday? response:	Yesterday?
context: But...\Yeah, they'd never lose.\There must be some reason.\Some reason this happened...\You're being overly emotional.\You need to\What did you two do yesterday?\Yesterday? response:	I was busy dealing with the demonstrations.
context: Yeah, they'd never lose.\There must be some reason.\Some reason this happened...\You're being overly emotional.\You need to\What did you two do yesterday?\Yesterday?\I was busy dealing with the demonstrations. response:	After that, you played a game in the throne room.
context: There must be some reason.\Some reason this happened...\You're being overly emotional.\You need to\What did you two do yesterday?\Yesterday?\I was busy dealing with the demonstrations.\After that, you played a game in the throne room. response:	That was two days ago. The 19th.
context: Some reason this happened...\You're being overly emotional.\You need to\What did you two do yesterday?\Yesterday?\I was busy dealing with the demonstrations.\After that, you played a game in the throne room.\That was two days ago. The 19th. response:	st
context: You're being overly emotional.\You need to\What did you two do yesterday?\Yesterday?\I was busy dealing with the demonstrations.\After that, you played a game in the throne room.\That was two days ago. The 19th.\st response:	I'll change my question.
context: You need to\What did you two do yesterday?\Yesterday?\I was busy dealing with the demonstrations.\After that, you played a game in the throne room.\That was two days ago. The 19th.\st\I'll change my question. response:	Where were you two nights ago?
context: What did you two do yesterday?\Yesterday?\I was busy dealing with the demonstrations.\After that, you played a game in the throne room.\That was two days ago. The 19th.\st\I'll change my question.\Where were you two nights ago? response:	That same night, then?
context: Yesterday?\I was busy dealing with the demonstrations.\After that, you played a game in the throne room.\That was two days ago. The 19th.\st\I'll change my question.\Where were you two nights ago?\That same night, then? response:	Um... Um...
context: I was busy dealing with the demonstrations.\After that, you played a game in the throne room.\That was two days ago. The 19th.\st\I'll change my question.\Where were you two nights ago?\That same night, then?\Um... Um... response:	Huh?
context: After that, you played a game in the throne room.\That was two days ago. The 19th.\st\I'll change my question.\Where were you two nights ago?\That same night, then?\Um... Um...\Huh? response:	I can't...
context: That was two days ago. The 19th.\st\I'll change my question.\Where were you two nights ago?\That same night, then?\Um... Um...\Huh?\I can't... response:	You can't remember. That's right.
context: st\I'll change my question.\Where were you two nights ago?\That same night, then?\Um... Um...\Huh?\I can't...\You can't remember. That's right. response:	Now I just need to confirm.
context: I'll change my question.\Where were you two nights ago?\That same night, then?\Um... Um...\Huh?\I can't...\You can't remember. That's right.\Now I just need to confirm. response:	U-Um, what are you...
context: Where were you two nights ago?\That same night, then?\Um... Um...\Huh?\I can't...\You can't remember. That's right.\Now I just need to confirm.\U-Um, what are you... response:	Fondling your breasts.
context: That same night, then?\Um... Um...\Huh?\I can't...\You can't remember. That's right.\Now I just need to confirm.\U-Um, what are you...\Fondling your breasts. response:	How am I supposed to respond to that?
context: Um... Um...\Huh?\I can't...\You can't remember. That's right.\Now I just need to confirm.\U-Um, what are you...\Fondling your breasts.\How am I supposed to respond to that? response:	It doesn't make you excited?
context: Huh?\I can't...\You can't remember. That's right.\Now I just need to confirm.\U-Um, what are you...\Fondling your breasts.\How am I supposed to respond to that?\It doesn't make you excited? response:	Even though I told you to fall in love with me?
context: I can't...\You can't remember. That's right.\Now I just need to confirm.\U-Um, what are you...\Fondling your breasts.\How am I supposed to respond to that?\It doesn't make you excited?\Even though I told you to fall in love with me? response:	Well...
context: You can't remember. That's right.\Now I just need to confirm.\U-Um, what are you...\Fondling your breasts.\How am I supposed to respond to that?\It doesn't make you excited?\Even though I told you to fall in love with me?\Well... response:	So you're saying someone
context: Now I just need to confirm.\U-Um, what are you...\Fondling your breasts.\How am I supposed to respond to that?\It doesn't make you excited?\Even though I told you to fall in love with me?\Well...\So you're saying someone response:	other than you told her to fall in love with them.
context: U-Um, what are you...\Fondling your breasts.\How am I supposed to respond to that?\It doesn't make you excited?\Even though I told you to fall in love with me?\Well...\So you're saying someone\other than you told her to fall in love with them. response:	Yes, it was Brother who told her that.
context: Fondling your breasts.\How am I supposed to respond to that?\It doesn't make you excited?\Even though I told you to fall in love with me?\Well...\So you're saying someone\other than you told her to fall in love with them.\Yes, it was Brother who told her that. response:	But I thought you already believed he existed.
context: How am I supposed to respond to that?\It doesn't make you excited?\Even though I told you to fall in love with me?\Well...\So you're saying someone\other than you told her to fall in love with them.\Yes, it was Brother who told her that.\But I thought you already believed he existed. response:	So why did you fondle my breasts?
context: It doesn't make you excited?\Even though I told you to fall in love with me?\Well...\So you're saying someone\other than you told her to fall in love with them.\Yes, it was Brother who told her that.\But I thought you already believed he existed.\So why did you fondle my breasts? response:	To thank you.
context: Even though I told you to fall in love with me?\Well...\So you're saying someone\other than you told her to fall in love with them.\Yes, it was Brother who told her that.\But I thought you already believed he existed.\So why did you fondle my breasts?\To thank you. response:	Without you, I wouldn't have noticed.
context: Well...\So you're saying someone\other than you told her to fall in love with them.\Yes, it was Brother who told her that.\But I thought you already believed he existed.\So why did you fondle my breasts?\To thank you.\Without you, I wouldn't have noticed. response:	Shiro...
context: So you're saying someone\other than you told her to fall in love with them.\Yes, it was Brother who told her that.\But I thought you already believed he existed.\So why did you fondle my breasts?\To thank you.\Without you, I wouldn't have noticed.\Shiro... response:	Then let's think.
context: other than you told her to fall in love with them.\Yes, it was Brother who told her that.\But I thought you already believed he existed.\So why did you fondle my breasts?\To thank you.\Without you, I wouldn't have noticed.\Shiro...\Then let's think. response:	If this Sora existed, how could he have disappeared?
context: Yes, it was Brother who told her that.\But I thought you already believed he existed.\So why did you fondle my breasts?\To thank you.\Without you, I wouldn't have noticed.\Shiro...\Then let's think.\If this Sora existed, how could he have disappeared? response:	A way to make our memories of the last day and a half disappear...
context: But I thought you already believed he existed.\So why did you fondle my breasts?\To thank you.\Without you, I wouldn't have noticed.\Shiro...\Then let's think.\If this Sora existed, how could he have disappeared?\A way to make our memories of the last day and a half disappear... response:	A large-scale magic spell could do it,
