context: I told you not to piss me off!! response:	This way?
context: Right now!\I am invincible! Don't worry!\Butcher!\My name is Sebastian!\Sebastian!\I am immortal! Oopsy-daisy.\Are they all gone? Okay!\I am a support unit for Eleven. response:	This one?
context: I am invincible! Don't worry!\Butcher!\My name is Sebastian!\Sebastian!\I am immortal! Oopsy-daisy.\Are they all gone? Okay!\I am a support unit for Eleven.\This one? response:	My next body will be... Oopsy-daisy.
context: Butcher!\My name is Sebastian!\Sebastian!\I am immortal! Oopsy-daisy.\Are they all gone? Okay!\I am a support unit for Eleven.\This one?\My next body will be... Oopsy-daisy. response:	This one?
context: My name is Sebastian!\Sebastian!\I am immortal! Oopsy-daisy.\Are they all gone? Okay!\I am a support unit for Eleven.\This one?\My next body will be... Oopsy-daisy.\This one? response:	Okay!
context: Sebastian!\I am immortal! Oopsy-daisy.\Are they all gone? Okay!\I am a support unit for Eleven.\This one?\My next body will be... Oopsy-daisy.\This one?\Okay! response:	This body's in pretty good shape.
context: I am immortal! Oopsy-daisy.\Are they all gone? Okay!\I am a support unit for Eleven.\This one?\My next body will be... Oopsy-daisy.\This one?\Okay!\This body's in pretty good shape. response:	Hey, Old Chap!!
context: Are they all gone? Okay!\I am a support unit for Eleven.\This one?\My next body will be... Oopsy-daisy.\This one?\Okay!\This body's in pretty good shape.\Hey, Old Chap!! response:	Yes?
context: I am a support unit for Eleven.\This one?\My next body will be... Oopsy-daisy.\This one?\Okay!\This body's in pretty good shape.\Hey, Old Chap!!\Yes? response:	What?
context: This one?\My next body will be... Oopsy-daisy.\This one?\Okay!\This body's in pretty good shape.\Hey, Old Chap!!\Yes?\What? response:	Where is that old chap?
context: My next body will be... Oopsy-daisy.\This one?\Okay!\This body's in pretty good shape.\Hey, Old Chap!!\Yes?\What?\Where is that old chap? response:	The old man is out for other business.
context: This one?\Okay!\This body's in pretty good shape.\Hey, Old Chap!!\Yes?\What?\Where is that old chap?\The old man is out for other business. response:	I am new here. Nice to be at your service.
context: Okay!\This body's in pretty good shape.\Hey, Old Chap!!\Yes?\What?\Where is that old chap?\The old man is out for other business.\I am new here. Nice to be at your service. response:	Then you don't know my usual.
context: This body's in pretty good shape.\Hey, Old Chap!!\Yes?\What?\Where is that old chap?\The old man is out for other business.\I am new here. Nice to be at your service.\Then you don't know my usual. response:	Cut me a kilogram of sirloin for steak.
context: Hey, Old Chap!!\Yes?\What?\Where is that old chap?\The old man is out for other business.\I am new here. Nice to be at your service.\Then you don't know my usual.\Cut me a kilogram of sirloin for steak. response:	Yes, right away.
context: Yes?\What?\Where is that old chap?\The old man is out for other business.\I am new here. Nice to be at your service.\Then you don't know my usual.\Cut me a kilogram of sirloin for steak.\Yes, right away. response:	You are much friendlier than the old chap.
context: What?\Where is that old chap?\The old man is out for other business.\I am new here. Nice to be at your service.\Then you don't know my usual.\Cut me a kilogram of sirloin for steak.\Yes, right away.\You are much friendlier than the old chap. response:	Thank you for your waiting.
context: Where is that old chap?\The old man is out for other business.\I am new here. Nice to be at your service.\Then you don't know my usual.\Cut me a kilogram of sirloin for steak.\Yes, right away.\You are much friendlier than the old chap.\Thank you for your waiting. response:	That's the idea. You don't mess with us.
context: The old man is out for other business.\I am new here. Nice to be at your service.\Then you don't know my usual.\Cut me a kilogram of sirloin for steak.\Yes, right away.\You are much friendlier than the old chap.\Thank you for your waiting.\That's the idea. You don't mess with us. response:	That's the secret of a long life.
context: I am new here. Nice to be at your service.\Then you don't know my usual.\Cut me a kilogram of sirloin for steak.\Yes, right away.\You are much friendlier than the old chap.\Thank you for your waiting.\That's the idea. You don't mess with us.\That's the secret of a long life. response:	Yes, sir.
context: Then you don't know my usual.\Cut me a kilogram of sirloin for steak.\Yes, right away.\You are much friendlier than the old chap.\Thank you for your waiting.\That's the idea. You don't mess with us.\That's the secret of a long life.\Yes, sir. response:	I take out the trash for the humans' sake.
context: Cut me a kilogram of sirloin for steak.\Yes, right away.\You are much friendlier than the old chap.\Thank you for your waiting.\That's the idea. You don't mess with us.\That's the secret of a long life.\Yes, sir.\I take out the trash for the humans' sake. response:	something the humans were not able to accomplish.
context: Yes, right away.\You are much friendlier than the old chap.\Thank you for your waiting.\That's the idea. You don't mess with us.\That's the secret of a long life.\Yes, sir.\I take out the trash for the humans' sake.\something the humans were not able to accomplish. response:	Seek, until when do you intend to neglect the humans in the reserve area?
context: You are much friendlier than the old chap.\Thank you for your waiting.\That's the idea. You don't mess with us.\That's the secret of a long life.\Yes, sir.\I take out the trash for the humans' sake.\something the humans were not able to accomplish.\Seek, until when do you intend to neglect the humans in the reserve area? response:	Humans also evolve just like plants.
context: Thank you for your waiting.\That's the idea. You don't mess with us.\That's the secret of a long life.\Yes, sir.\I take out the trash for the humans' sake.\something the humans were not able to accomplish.\Seek, until when do you intend to neglect the humans in the reserve area?\Humans also evolve just like plants. response:	They need to be beaten up for that purpose.
context: That's the idea. You don't mess with us.\That's the secret of a long life.\Yes, sir.\I take out the trash for the humans' sake.\something the humans were not able to accomplish.\Seek, until when do you intend to neglect the humans in the reserve area?\Humans also evolve just like plants.\They need to be beaten up for that purpose. response:	Do you know how many other species the humans have pushed to extinction?
context: That's the secret of a long life.\Yes, sir.\I take out the trash for the humans' sake.\something the humans were not able to accomplish.\Seek, until when do you intend to neglect the humans in the reserve area?\Humans also evolve just like plants.\They need to be beaten up for that purpose.\Do you know how many other species the humans have pushed to extinction? response:	18,392 spiecies to be exact.
context: Yes, sir.\I take out the trash for the humans' sake.\something the humans were not able to accomplish.\Seek, until when do you intend to neglect the humans in the reserve area?\Humans also evolve just like plants.\They need to be beaten up for that purpose.\Do you know how many other species the humans have pushed to extinction?\18,392 spiecies to be exact. response:	We just add Humans to that number.
context: I take out the trash for the humans' sake.\something the humans were not able to accomplish.\Seek, until when do you intend to neglect the humans in the reserve area?\Humans also evolve just like plants.\They need to be beaten up for that purpose.\Do you know how many other species the humans have pushed to extinction?\18,392 spiecies to be exact.\We just add Humans to that number. response:	Is that not perfect victory?
context: something the humans were not able to accomplish.\Seek, until when do you intend to neglect the humans in the reserve area?\Humans also evolve just like plants.\They need to be beaten up for that purpose.\Do you know how many other species the humans have pushed to extinction?\18,392 spiecies to be exact.\We just add Humans to that number.\Is that not perfect victory? response:	You were born from me.
context: Seek, until when do you intend to neglect the humans in the reserve area?\Humans also evolve just like plants.\They need to be beaten up for that purpose.\Do you know how many other species the humans have pushed to extinction?\18,392 spiecies to be exact.\We just add Humans to that number.\Is that not perfect victory?\You were born from me. response:	Just follow my orders.
context: Humans also evolve just like plants.\They need to be beaten up for that purpose.\Do you know how many other species the humans have pushed to extinction?\18,392 spiecies to be exact.\We just add Humans to that number.\Is that not perfect victory?\You were born from me.\Just follow my orders. response:	We'll manage the humans' numbers and awaken them.
context: They need to be beaten up for that purpose.\Do you know how many other species the humans have pushed to extinction?\18,392 spiecies to be exact.\We just add Humans to that number.\Is that not perfect victory?\You were born from me.\Just follow my orders.\We'll manage the humans' numbers and awaken them. response:	We don't need them. We machines are enough!
context: Do you know how many other species the humans have pushed to extinction?\18,392 spiecies to be exact.\We just add Humans to that number.\Is that not perfect victory?\You were born from me.\Just follow my orders.\We'll manage the humans' numbers and awaken them.\We don't need them. We machines are enough! response:	We machines do not understand love.
context: 18,392 spiecies to be exact.\We just add Humans to that number.\Is that not perfect victory?\You were born from me.\Just follow my orders.\We'll manage the humans' numbers and awaken them.\We don't need them. We machines are enough!\We machines do not understand love. response:	We need to know what love is.
context: We just add Humans to that number.\Is that not perfect victory?\You were born from me.\Just follow my orders.\We'll manage the humans' numbers and awaken them.\We don't need them. We machines are enough!\We machines do not understand love.\We need to know what love is. response:	Without love, no beautiful society can be built.
context: Is that not perfect victory?\You were born from me.\Just follow my orders.\We'll manage the humans' numbers and awaken them.\We don't need them. We machines are enough!\We machines do not understand love.\We need to know what love is.\Without love, no beautiful society can be built. response:	Look, even if they are unwise,
context: You were born from me.\Just follow my orders.\We'll manage the humans' numbers and awaken them.\We don't need them. We machines are enough!\We machines do not understand love.\We need to know what love is.\Without love, no beautiful society can be built.\Look, even if they are unwise, response:	Humans have love.
context: Just follow my orders.\We'll manage the humans' numbers and awaken them.\We don't need them. We machines are enough!\We machines do not understand love.\We need to know what love is.\Without love, no beautiful society can be built.\Look, even if they are unwise,\Humans have love. response:	It drives them to evolve better.
context: We'll manage the humans' numbers and awaken them.\We don't need them. We machines are enough!\We machines do not understand love.\We need to know what love is.\Without love, no beautiful society can be built.\Look, even if they are unwise,\Humans have love.\It drives them to evolve better. response:	Someday, machines and humans will work together and build an ideal society.
context: We don't need them. We machines are enough!\We machines do not understand love.\We need to know what love is.\Without love, no beautiful society can be built.\Look, even if they are unwise,\Humans have love.\It drives them to evolve better.\Someday, machines and humans will work together and build an ideal society. response:	We work for humans.
context: We machines do not understand love.\We need to know what love is.\Without love, no beautiful society can be built.\Look, even if they are unwise,\Humans have love.\It drives them to evolve better.\Someday, machines and humans will work together and build an ideal society.\We work for humans. response:	I don't understand why you are soft on that girl!
context: We need to know what love is.\Without love, no beautiful society can be built.\Look, even if they are unwise,\Humans have love.\It drives them to evolve better.\Someday, machines and humans will work together and build an ideal society.\We work for humans.\I don't understand why you are soft on that girl! response:	Soft on her? Does it look that way to you?
context: Without love, no beautiful society can be built.\Look, even if they are unwise,\Humans have love.\It drives them to evolve better.\Someday, machines and humans will work together and build an ideal society.\We work for humans.\I don't understand why you are soft on that girl!\Soft on her? Does it look that way to you? response:	All right. I'll kill her.
context: Look, even if they are unwise,\Humans have love.\It drives them to evolve better.\Someday, machines and humans will work together and build an ideal society.\We work for humans.\I don't understand why you are soft on that girl!\Soft on her? Does it look that way to you?\All right. I'll kill her. response:	Humans, if not wise, have love.
context: Humans have love.\It drives them to evolve better.\Someday, machines and humans will work together and build an ideal society.\We work for humans.\I don't understand why you are soft on that girl!\Soft on her? Does it look that way to you?\All right. I'll kill her.\Humans, if not wise, have love. response:	But the true meaning of love is unknown.
context: It drives them to evolve better.\Someday, machines and humans will work together and build an ideal society.\We work for humans.\I don't understand why you are soft on that girl!\Soft on her? Does it look that way to you?\All right. I'll kill her.\Humans, if not wise, have love.\But the true meaning of love is unknown. response:	If we find the meaning of love, a beautiful world will surely emerge.
context: Someday, machines and humans will work together and build an ideal society.\We work for humans.\I don't understand why you are soft on that girl!\Soft on her? Does it look that way to you?\All right. I'll kill her.\Humans, if not wise, have love.\But the true meaning of love is unknown.\If we find the meaning of love, a beautiful world will surely emerge. response:	And for that, we have to encourage humans to evolve.
context: We work for humans.\I don't understand why you are soft on that girl!\Soft on her? Does it look that way to you?\All right. I'll kill her.\Humans, if not wise, have love.\But the true meaning of love is unknown.\If we find the meaning of love, a beautiful world will surely emerge.\And for that, we have to encourage humans to evolve. response:	I heard you repair guns here.
context: I don't understand why you are soft on that girl!\Soft on her? Does it look that way to you?\All right. I'll kill her.\Humans, if not wise, have love.\But the true meaning of love is unknown.\If we find the meaning of love, a beautiful world will surely emerge.\And for that, we have to encourage humans to evolve.\I heard you repair guns here. response:	Oh, boy.
context: Soft on her? Does it look that way to you?\All right. I'll kill her.\Humans, if not wise, have love.\But the true meaning of love is unknown.\If we find the meaning of love, a beautiful world will surely emerge.\And for that, we have to encourage humans to evolve.\I heard you repair guns here.\Oh, boy. response:	Let's see.
context: All right. I'll kill her.\Humans, if not wise, have love.\But the true meaning of love is unknown.\If we find the meaning of love, a beautiful world will surely emerge.\And for that, we have to encourage humans to evolve.\I heard you repair guns here.\Oh, boy.\Let's see. response:	Ah ha. A Wizard Gun, isn't it? Quite an old one.
context: Humans, if not wise, have love.\But the true meaning of love is unknown.\If we find the meaning of love, a beautiful world will surely emerge.\And for that, we have to encourage humans to evolve.\I heard you repair guns here.\Oh, boy.\Let's see.\Ah ha. A Wizard Gun, isn't it? Quite an old one. response:	How soon can you fix it?
context: But the true meaning of love is unknown.\If we find the meaning of love, a beautiful world will surely emerge.\And for that, we have to encourage humans to evolve.\I heard you repair guns here.\Oh, boy.\Let's see.\Ah ha. A Wizard Gun, isn't it? Quite an old one.\How soon can you fix it? response:	Let's see...
context: If we find the meaning of love, a beautiful world will surely emerge.\And for that, we have to encourage humans to evolve.\I heard you repair guns here.\Oh, boy.\Let's see.\Ah ha. A Wizard Gun, isn't it? Quite an old one.\How soon can you fix it?\Let's see... response:	I'll pay any premium. You call it.
context: And for that, we have to encourage humans to evolve.\I heard you repair guns here.\Oh, boy.\Let's see.\Ah ha. A Wizard Gun, isn't it? Quite an old one.\How soon can you fix it?\Let's see...\I'll pay any premium. You call it. response:	Really? That's cool.
context: I heard you repair guns here.\Oh, boy.\Let's see.\Ah ha. A Wizard Gun, isn't it? Quite an old one.\How soon can you fix it?\Let's see...\I'll pay any premium. You call it.\Really? That's cool. response:	You can have it the day after tomorrow, little lady.
context: Oh, boy.\Let's see.\Ah ha. A Wizard Gun, isn't it? Quite an old one.\How soon can you fix it?\Let's see...\I'll pay any premium. You call it.\Really? That's cool.\You can have it the day after tomorrow, little lady. response:	A bounty hunter.
context: Let's see.\Ah ha. A Wizard Gun, isn't it? Quite an old one.\How soon can you fix it?\Let's see...\I'll pay any premium. You call it.\Really? That's cool.\You can have it the day after tomorrow, little lady.\A bounty hunter. response:	Don't let her go! Out there!
