context: I hope we can all be happy like this forever. response:	I'm coming!
context: I told you! When I got back to shore, my whole outfit was missing!\Don't worry, though!\I always have these, see?\Then put them on!\Okay!\Kyono!\The paramedics called. They say she's fine now.\Perfect! response:	Sorry to bother you, Madoka, but can you come see me after school?
context: Don't worry, though!\I always have these, see?\Then put them on!\Okay!\Kyono!\The paramedics called. They say she's fine now.\Perfect!\Sorry to bother you, Madoka, but can you come see me after school? response:	Oh, sure, around what time?
context: I always have these, see?\Then put them on!\Okay!\Kyono!\The paramedics called. They say she's fine now.\Perfect!\Sorry to bother you, Madoka, but can you come see me after school?\Oh, sure, around what time? response:	Whenever you're free.
context: Then put them on!\Okay!\Kyono!\The paramedics called. They say she's fine now.\Perfect!\Sorry to bother you, Madoka, but can you come see me after school?\Oh, sure, around what time?\Whenever you're free. response:	The club president really, really wants to see you there for some reason.
context: Okay!\Kyono!\The paramedics called. They say she's fine now.\Perfect!\Sorry to bother you, Madoka, but can you come see me after school?\Oh, sure, around what time?\Whenever you're free.\The club president really, really wants to see you there for some reason. response:	All right, see ya then!
context: Kyono!\The paramedics called. They say she's fine now.\Perfect!\Sorry to bother you, Madoka, but can you come see me after school?\Oh, sure, around what time?\Whenever you're free.\The club president really, really wants to see you there for some reason.\All right, see ya then! response:	What, she wants to spar again?
context: The paramedics called. They say she's fine now.\Perfect!\Sorry to bother you, Madoka, but can you come see me after school?\Oh, sure, around what time?\Whenever you're free.\The club president really, really wants to see you there for some reason.\All right, see ya then!\What, she wants to spar again? response:	The Sweats Club must be really busy.
context: Perfect!\Sorry to bother you, Madoka, but can you come see me after school?\Oh, sure, around what time?\Whenever you're free.\The club president really, really wants to see you there for some reason.\All right, see ya then!\What, she wants to spar again?\The Sweats Club must be really busy. response:	Why don't you join, Michi? We're recruiting.
context: Sorry to bother you, Madoka, but can you come see me after school?\Oh, sure, around what time?\Whenever you're free.\The club president really, really wants to see you there for some reason.\All right, see ya then!\What, she wants to spar again?\The Sweats Club must be really busy.\Why don't you join, Michi? We're recruiting. response:	Thanks, but I'll pass.
context: Oh, sure, around what time?\Whenever you're free.\The club president really, really wants to see you there for some reason.\All right, see ya then!\What, she wants to spar again?\The Sweats Club must be really busy.\Why don't you join, Michi? We're recruiting.\Thanks, but I'll pass. response:	Oh, hey, didn't you wear your uniform today?
context: Whenever you're free.\The club president really, really wants to see you there for some reason.\All right, see ya then!\What, she wants to spar again?\The Sweats Club must be really busy.\Why don't you join, Michi? We're recruiting.\Thanks, but I'll pass.\Oh, hey, didn't you wear your uniform today? response:	I kinda lost it on the way here.
context: The club president really, really wants to see you there for some reason.\All right, see ya then!\What, she wants to spar again?\The Sweats Club must be really busy.\Why don't you join, Michi? We're recruiting.\Thanks, but I'll pass.\Oh, hey, didn't you wear your uniform today?\I kinda lost it on the way here. response:	You're a walking disaster.
context: All right, see ya then!\What, she wants to spar again?\The Sweats Club must be really busy.\Why don't you join, Michi? We're recruiting.\Thanks, but I'll pass.\Oh, hey, didn't you wear your uniform today?\I kinda lost it on the way here.\You're a walking disaster. response:	What's your problem?!
context: What, she wants to spar again?\The Sweats Club must be really busy.\Why don't you join, Michi? We're recruiting.\Thanks, but I'll pass.\Oh, hey, didn't you wear your uniform today?\I kinda lost it on the way here.\You're a walking disaster.\What's your problem?! response:	That's right. I forgot.
context: The Sweats Club must be really busy.\Why don't you join, Michi? We're recruiting.\Thanks, but I'll pass.\Oh, hey, didn't you wear your uniform today?\I kinda lost it on the way here.\You're a walking disaster.\What's your problem?!\That's right. I forgot. response:	Really? But we're still in high school...
context: Why don't you join, Michi? We're recruiting.\Thanks, but I'll pass.\Oh, hey, didn't you wear your uniform today?\I kinda lost it on the way here.\You're a walking disaster.\What's your problem?!\That's right. I forgot.\Really? But we're still in high school... response:	I... I can't make up my mind about our future yet!
context: Thanks, but I'll pass.\Oh, hey, didn't you wear your uniform today?\I kinda lost it on the way here.\You're a walking disaster.\What's your problem?!\That's right. I forgot.\Really? But we're still in high school...\I... I can't make up my mind about our future yet! response:	Cut!
context: Oh, hey, didn't you wear your uniform today?\I kinda lost it on the way here.\You're a walking disaster.\What's your problem?!\That's right. I forgot.\Really? But we're still in high school...\I... I can't make up my mind about our future yet!\Cut! response:	All right, let's change sets.
context: I kinda lost it on the way here.\You're a walking disaster.\What's your problem?!\That's right. I forgot.\Really? But we're still in high school...\I... I can't make up my mind about our future yet!\Cut!\All right, let's change sets. response:	How was I?
context: You're a walking disaster.\What's your problem?!\That's right. I forgot.\Really? But we're still in high school...\I... I can't make up my mind about our future yet!\Cut!\All right, let's change sets.\How was I? response:	You were great! That was just so cute!
context: What's your problem?!\That's right. I forgot.\Really? But we're still in high school...\I... I can't make up my mind about our future yet!\Cut!\All right, let's change sets.\How was I?\You were great! That was just so cute! response:	I mean, I love you in uniform too, but this...
context: That's right. I forgot.\Really? But we're still in high school...\I... I can't make up my mind about our future yet!\Cut!\All right, let's change sets.\How was I?\You were great! That was just so cute!\I mean, I love you in uniform too, but this... response:	Sorry, I kinda...
context: Really? But we're still in high school...\I... I can't make up my mind about our future yet!\Cut!\All right, let's change sets.\How was I?\You were great! That was just so cute!\I mean, I love you in uniform too, but this...\Sorry, I kinda... response:	One more serve!
context: I... I can't make up my mind about our future yet!\Cut!\All right, let's change sets.\How was I?\You were great! That was just so cute!\I mean, I love you in uniform too, but this...\Sorry, I kinda...\One more serve! response:	Men!
context: Cut!\All right, let's change sets.\How was I?\You were great! That was just so cute!\I mean, I love you in uniform too, but this...\Sorry, I kinda...\One more serve!\Men! response:	Men ari!
context: All right, let's change sets.\How was I?\You were great! That was just so cute!\I mean, I love you in uniform too, but this...\Sorry, I kinda...\One more serve!\Men!\Men ari! response:	I'm glad I could join you.
context: How was I?\You were great! That was just so cute!\I mean, I love you in uniform too, but this...\Sorry, I kinda...\One more serve!\Men!\Men ari!\I'm glad I could join you. response:	We got some good practice in before the meet.
context: You were great! That was just so cute!\I mean, I love you in uniform too, but this...\Sorry, I kinda...\One more serve!\Men!\Men ari!\I'm glad I could join you.\We got some good practice in before the meet. response:	Now all you need to do is join the student council or the kendo club,
context: I mean, I love you in uniform too, but this...\Sorry, I kinda...\One more serve!\Men!\Men ari!\I'm glad I could join you.\We got some good practice in before the meet.\Now all you need to do is join the student council or the kendo club, response:	and everything will be... How do you say, perfect?
context: Sorry, I kinda...\One more serve!\Men!\Men ari!\I'm glad I could join you.\We got some good practice in before the meet.\Now all you need to do is join the student council or the kendo club,\and everything will be... How do you say, perfect? response:	But I'm already a club president.
context: One more serve!\Men!\Men ari!\I'm glad I could join you.\We got some good practice in before the meet.\Now all you need to do is join the student council or the kendo club,\and everything will be... How do you say, perfect?\But I'm already a club president. response:	I guess.
context: Men!\Men ari!\I'm glad I could join you.\We got some good practice in before the meet.\Now all you need to do is join the student council or the kendo club,\and everything will be... How do you say, perfect?\But I'm already a club president.\I guess. response:	Good luck defending the title.
context: Men ari!\I'm glad I could join you.\We got some good practice in before the meet.\Now all you need to do is join the student council or the kendo club,\and everything will be... How do you say, perfect?\But I'm already a club president.\I guess.\Good luck defending the title. response:	Kyono Madoka.
context: I'm glad I could join you.\We got some good practice in before the meet.\Now all you need to do is join the student council or the kendo club,\and everything will be... How do you say, perfect?\But I'm already a club president.\I guess.\Good luck defending the title.\Kyono Madoka. response:	Yes?
context: We got some good practice in before the meet.\Now all you need to do is join the student council or the kendo club,\and everything will be... How do you say, perfect?\But I'm already a club president.\I guess.\Good luck defending the title.\Kyono Madoka.\Yes? response:	You forgot these.
context: Now all you need to do is join the student council or the kendo club,\and everything will be... How do you say, perfect?\But I'm already a club president.\I guess.\Good luck defending the title.\Kyono Madoka.\Yes?\You forgot these. response:	Who's she?
context: and everything will be... How do you say, perfect?\But I'm already a club president.\I guess.\Good luck defending the title.\Kyono Madoka.\Yes?\You forgot these.\Who's she? response:	Finally a recruit for the Sweats Club?
context: But I'm already a club president.\I guess.\Good luck defending the title.\Kyono Madoka.\Yes?\You forgot these.\Who's she?\Finally a recruit for the Sweats Club? response:	No way.
context: I guess.\Good luck defending the title.\Kyono Madoka.\Yes?\You forgot these.\Who's she?\Finally a recruit for the Sweats Club?\No way. response:	She's got guts, at least.
context: Good luck defending the title.\Kyono Madoka.\Yes?\You forgot these.\Who's she?\Finally a recruit for the Sweats Club?\No way.\She's got guts, at least. response:	Thanks.
context: Kyono Madoka.\Yes?\You forgot these.\Who's she?\Finally a recruit for the Sweats Club?\No way.\She's got guts, at least.\Thanks. response:	A comrade.
context: Yes?\You forgot these.\Who's she?\Finally a recruit for the Sweats Club?\No way.\She's got guts, at least.\Thanks.\A comrade. response:	I'm home!
context: You forgot these.\Who's she?\Finally a recruit for the Sweats Club?\No way.\She's got guts, at least.\Thanks.\A comrade.\I'm home! response:	Hey there!
context: Who's she?\Finally a recruit for the Sweats Club?\No way.\She's got guts, at least.\Thanks.\A comrade.\I'm home!\Hey there! response:	Hi, Dad!
context: Finally a recruit for the Sweats Club?\No way.\She's got guts, at least.\Thanks.\A comrade.\I'm home!\Hey there!\Hi, Dad! response:	What are you home for?
context: No way.\She's got guts, at least.\Thanks.\A comrade.\I'm home!\Hey there!\Hi, Dad!\What are you home for? response:	I haven't seen you in half a year!
context: She's got guts, at least.\Thanks.\A comrade.\I'm home!\Hey there!\Hi, Dad!\What are you home for?\I haven't seen you in half a year! response:	The pain!
context: Thanks.\A comrade.\I'm home!\Hey there!\Hi, Dad!\What are you home for?\I haven't seen you in half a year!\The pain! response:	I give, I give!
context: A comrade.\I'm home!\Hey there!\Hi, Dad!\What are you home for?\I haven't seen you in half a year!\The pain!\I give, I give! response:	What a slacker.
context: I'm home!\Hey there!\Hi, Dad!\What are you home for?\I haven't seen you in half a year!\The pain!\I give, I give!\What a slacker. response:	You're in high school now; dress properly.
context: Hey there!\Hi, Dad!\What are you home for?\I haven't seen you in half a year!\The pain!\I give, I give!\What a slacker.\You're in high school now; dress properly. response:	We need to talk.
context: Hi, Dad!\What are you home for?\I haven't seen you in half a year!\The pain!\I give, I give!\What a slacker.\You're in high school now; dress properly.\We need to talk. response:	Panties. Off.
context: What are you home for?\I haven't seen you in half a year!\The pain!\I give, I give!\What a slacker.\You're in high school now; dress properly.\We need to talk.\Panties. Off. response:	Don't move!
context: I haven't seen you in half a year!\The pain!\I give, I give!\What a slacker.\You're in high school now; dress properly.\We need to talk.\Panties. Off.\Don't move! response:	Uh, are you done yet?
context: The pain!\I give, I give!\What a slacker.\You're in high school now; dress properly.\We need to talk.\Panties. Off.\Don't move!\Uh, are you done yet? response:	Madoka. Do you value the life you live here in Kamogawa?
context: I give, I give!\What a slacker.\You're in high school now; dress properly.\We need to talk.\Panties. Off.\Don't move!\Uh, are you done yet?\Madoka. Do you value the life you live here in Kamogawa? response:	What's gotten into you?
context: What a slacker.\You're in high school now; dress properly.\We need to talk.\Panties. Off.\Don't move!\Uh, are you done yet?\Madoka. Do you value the life you live here in Kamogawa?\What's gotten into you? response:	Do you want to keep on living here forever?
context: You're in high school now; dress properly.\We need to talk.\Panties. Off.\Don't move!\Uh, are you done yet?\Madoka. Do you value the life you live here in Kamogawa?\What's gotten into you?\Do you want to keep on living here forever? response:	Huh?
context: We need to talk.\Panties. Off.\Don't move!\Uh, are you done yet?\Madoka. Do you value the life you live here in Kamogawa?\What's gotten into you?\Do you want to keep on living here forever?\Huh? response:	Sota Serizawa
context: Panties. Off.\Don't move!\Uh, are you done yet?\Madoka. Do you value the life you live here in Kamogawa?\What's gotten into you?\Do you want to keep on living here forever?\Huh?\Sota Serizawa response:	Got it.
context: Don't move!\Uh, are you done yet?\Madoka. Do you value the life you live here in Kamogawa?\What's gotten into you?\Do you want to keep on living here forever?\Huh?\Sota Serizawa\Got it. response:	If anything happens, call me right away.
context: Uh, are you done yet?\Madoka. Do you value the life you live here in Kamogawa?\What's gotten into you?\Do you want to keep on living here forever?\Huh?\Sota Serizawa\Got it.\If anything happens, call me right away. response:	Tokyo Marine University Marine Archaeology Labs
context: Madoka. Do you value the life you live here in Kamogawa?\What's gotten into you?\Do you want to keep on living here forever?\Huh?\Sota Serizawa\Got it.\If anything happens, call me right away.\Tokyo Marine University Marine Archaeology Labs response:	Researcher
context: What's gotten into you?\Do you want to keep on living here forever?\Huh?\Sota Serizawa\Got it.\If anything happens, call me right away.\Tokyo Marine University Marine Archaeology Labs\Researcher response:	Yoko Nakaizumi
context: Do you want to keep on living here forever?\Huh?\Sota Serizawa\Got it.\If anything happens, call me right away.\Tokyo Marine University Marine Archaeology Labs\Researcher\Yoko Nakaizumi response:	Perfect!
context: Huh?\Sota Serizawa\Got it.\If anything happens, call me right away.\Tokyo Marine University Marine Archaeology Labs\Researcher\Yoko Nakaizumi\Perfect! response:	You scared me!
context: Sota Serizawa\Got it.\If anything happens, call me right away.\Tokyo Marine University Marine Archaeology Labs\Researcher\Yoko Nakaizumi\Perfect!\You scared me! response:	How long have you been there?!
context: Got it.\If anything happens, call me right away.\Tokyo Marine University Marine Archaeology Labs\Researcher\Yoko Nakaizumi\Perfect!\You scared me!\How long have you been there?! response:	Arf.
context: If anything happens, call me right away.\Tokyo Marine University Marine Archaeology Labs\Researcher\Yoko Nakaizumi\Perfect!\You scared me!\How long have you been there?!\Arf. response:	Sorry to keep you waiting!
context: Tokyo Marine University Marine Archaeology Labs\Researcher\Yoko Nakaizumi\Perfect!\You scared me!\How long have you been there?!\Arf.\Sorry to keep you waiting! response:	Sweats Club
context: Researcher\Yoko Nakaizumi\Perfect!\You scared me!\How long have you been there?!\Arf.\Sorry to keep you waiting!\Sweats Club response:	So you want to join?
context: Yoko Nakaizumi\Perfect!\You scared me!\How long have you been there?!\Arf.\Sorry to keep you waiting!\Sweats Club\So you want to join? response:	Yes.
context: Perfect!\You scared me!\How long have you been there?!\Arf.\Sorry to keep you waiting!\Sweats Club\So you want to join?\Yes. response:	I knew it!
context: You scared me!\How long have you been there?!\Arf.\Sorry to keep you waiting!\Sweats Club\So you want to join?\Yes.\I knew it! response:	Let's do this!
context: How long have you been there?!\Arf.\Sorry to keep you waiting!\Sweats Club\So you want to join?\Yes.\I knew it!\Let's do this! response:	I knew at a glance that we'd get along great!
context: Arf.\Sorry to keep you waiting!\Sweats Club\So you want to join?\Yes.\I knew it!\Let's do this!\I knew at a glance that we'd get along great! response:	You're so kind! You even tracked me down just to return my uniform!
context: Sorry to keep you waiting!\Sweats Club\So you want to join?\Yes.\I knew it!\Let's do this!\I knew at a glance that we'd get along great!\You're so kind! You even tracked me down just to return my uniform! response:	And that swimsuit of yours means you're ready to rescue people anytime!
context: Sweats Club\So you want to join?\Yes.\I knew it!\Let's do this!\I knew at a glance that we'd get along great!\You're so kind! You even tracked me down just to return my uniform!\And that swimsuit of yours means you're ready to rescue people anytime! response:	This is my uniform.
context: So you want to join?\Yes.\I knew it!\Let's do this!\I knew at a glance that we'd get along great!\You're so kind! You even tracked me down just to return my uniform!\And that swimsuit of yours means you're ready to rescue people anytime!\This is my uniform. response:	Your uniform?
context: Yes.\I knew it!\Let's do this!\I knew at a glance that we'd get along great!\You're so kind! You even tracked me down just to return my uniform!\And that swimsuit of yours means you're ready to rescue people anytime!\This is my uniform.\Your uniform? response:	It's my duty to wear it at all times when I'm on a mission.
context: I knew it!\Let's do this!\I knew at a glance that we'd get along great!\You're so kind! You even tracked me down just to return my uniform!\And that swimsuit of yours means you're ready to rescue people anytime!\This is my uniform.\Your uniform?\It's my duty to wear it at all times when I'm on a mission. response:	Wow, you sound smart!
context: Let's do this!\I knew at a glance that we'd get along great!\You're so kind! You even tracked me down just to return my uniform!\And that swimsuit of yours means you're ready to rescue people anytime!\This is my uniform.\Your uniform?\It's my duty to wear it at all times when I'm on a mission.\Wow, you sound smart! response:	I thought you were a comrade, but maybe you're already a higher rank than me.
context: I knew at a glance that we'd get along great!\You're so kind! You even tracked me down just to return my uniform!\And that swimsuit of yours means you're ready to rescue people anytime!\This is my uniform.\Your uniform?\It's my duty to wear it at all times when I'm on a mission.\Wow, you sound smart!\I thought you were a comrade, but maybe you're already a higher rank than me. response:	What's a comrade?
context: You're so kind! You even tracked me down just to return my uniform!\And that swimsuit of yours means you're ready to rescue people anytime!\This is my uniform.\Your uniform?\It's my duty to wear it at all times when I'm on a mission.\Wow, you sound smart!\I thought you were a comrade, but maybe you're already a higher rank than me.\What's a comrade? response:	Two friends who tread forth with a singular determination!
context: And that swimsuit of yours means you're ready to rescue people anytime!\This is my uniform.\Your uniform?\It's my duty to wear it at all times when I'm on a mission.\Wow, you sound smart!\I thought you were a comrade, but maybe you're already a higher rank than me.\What's a comrade?\Two friends who tread forth with a singular determination! response:	People... don't really use it that much anymore...
context: This is my uniform.\Your uniform?\It's my duty to wear it at all times when I'm on a mission.\Wow, you sound smart!\I thought you were a comrade, but maybe you're already a higher rank than me.\What's a comrade?\Two friends who tread forth with a singular determination!\People... don't really use it that much anymore... response:	But my big sister enjoys words like that, so I picked it up from her.
context: Your uniform?\It's my duty to wear it at all times when I'm on a mission.\Wow, you sound smart!\I thought you were a comrade, but maybe you're already a higher rank than me.\What's a comrade?\Two friends who tread forth with a singular determination!\People... don't really use it that much anymore...\But my big sister enjoys words like that, so I picked it up from her. response:	It's a nice word.
context: It's my duty to wear it at all times when I'm on a mission.\Wow, you sound smart!\I thought you were a comrade, but maybe you're already a higher rank than me.\What's a comrade?\Two friends who tread forth with a singular determination!\People... don't really use it that much anymore...\But my big sister enjoys words like that, so I picked it up from her.\It's a nice word. response:	Comrade, huh?
context: Wow, you sound smart!\I thought you were a comrade, but maybe you're already a higher rank than me.\What's a comrade?\Two friends who tread forth with a singular determination!\People... don't really use it that much anymore...\But my big sister enjoys words like that, so I picked it up from her.\It's a nice word.\Comrade, huh? response:	Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent!
context: I thought you were a comrade, but maybe you're already a higher rank than me.\What's a comrade?\Two friends who tread forth with a singular determination!\People... don't really use it that much anymore...\But my big sister enjoys words like that, so I picked it up from her.\It's a nice word.\Comrade, huh?\Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent! response:	Very well.
context: What's a comrade?\Two friends who tread forth with a singular determination!\People... don't really use it that much anymore...\But my big sister enjoys words like that, so I picked it up from her.\It's a nice word.\Comrade, huh?\Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent!\Very well. response:	We're comrades, then.
context: Two friends who tread forth with a singular determination!\People... don't really use it that much anymore...\But my big sister enjoys words like that, so I picked it up from her.\It's a nice word.\Comrade, huh?\Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent!\Very well.\We're comrades, then. response:	I'm Fin e Ld si Laffinty.
context: People... don't really use it that much anymore...\But my big sister enjoys words like that, so I picked it up from her.\It's a nice word.\Comrade, huh?\Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent!\Very well.\We're comrades, then.\I'm Fin e Ld si Laffinty. response:	Oh, is that your name? You're not from around here, are you?
context: But my big sister enjoys words like that, so I picked it up from her.\It's a nice word.\Comrade, huh?\Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent!\Very well.\We're comrades, then.\I'm Fin e Ld si Laffinty.\Oh, is that your name? You're not from around here, are you? response:	Call me Lan.
context: It's a nice word.\Comrade, huh?\Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent!\Very well.\We're comrades, then.\I'm Fin e Ld si Laffinty.\Oh, is that your name? You're not from around here, are you?\Call me Lan. response:	I'm Kyono Madoka. Pleased to meet you!
context: Comrade, huh?\Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent!\Very well.\We're comrades, then.\I'm Fin e Ld si Laffinty.\Oh, is that your name? You're not from around here, are you?\Call me Lan.\I'm Kyono Madoka. Pleased to meet you! response:	All right! Now there's two of us!
context: Become my comrade! If run into any kind of trouble, I'll help you out one hundred percent!\Very well.\We're comrades, then.\I'm Fin e Ld si Laffinty.\Oh, is that your name? You're not from around here, are you?\Call me Lan.\I'm Kyono Madoka. Pleased to meet you!\All right! Now there's two of us! response:	I have a question, Comrade.
context: Very well.\We're comrades, then.\I'm Fin e Ld si Laffinty.\Oh, is that your name? You're not from around here, are you?\Call me Lan.\I'm Kyono Madoka. Pleased to meet you!\All right! Now there's two of us!\I have a question, Comrade. response:	There is one thing I've been having trouble with.
context: We're comrades, then.\I'm Fin e Ld si Laffinty.\Oh, is that your name? You're not from around here, are you?\Call me Lan.\I'm Kyono Madoka. Pleased to meet you!\All right! Now there's two of us!\I have a question, Comrade.\There is one thing I've been having trouble with. response:	What is it? C'mon, let me help you out!
context: I'm Fin e Ld si Laffinty.\Oh, is that your name? You're not from around here, are you?\Call me Lan.\I'm Kyono Madoka. Pleased to meet you!\All right! Now there's two of us!\I have a question, Comrade.\There is one thing I've been having trouble with.\What is it? C'mon, let me help you out! response:	Can you pilot a robot?
context: Oh, is that your name? You're not from around here, are you?\Call me Lan.\I'm Kyono Madoka. Pleased to meet you!\All right! Now there's two of us!\I have a question, Comrade.\There is one thing I've been having trouble with.\What is it? C'mon, let me help you out!\Can you pilot a robot? response:	That's Earth.
context: Call me Lan.\I'm Kyono Madoka. Pleased to meet you!\All right! Now there's two of us!\I have a question, Comrade.\There is one thing I've been having trouble with.\What is it? C'mon, let me help you out!\Can you pilot a robot?\That's Earth. response:	I'm sure of it.
context: I'm Kyono Madoka. Pleased to meet you!\All right! Now there's two of us!\I have a question, Comrade.\There is one thing I've been having trouble with.\What is it? C'mon, let me help you out!\Can you pilot a robot?\That's Earth.\I'm sure of it. response:	The star which shines a brighter blue than even Demetria.
context: All right! Now there's two of us!\I have a question, Comrade.\There is one thing I've been having trouble with.\What is it? C'mon, let me help you out!\Can you pilot a robot?\That's Earth.\I'm sure of it.\The star which shines a brighter blue than even Demetria. response:	Our promised land.
context: I have a question, Comrade.\There is one thing I've been having trouble with.\What is it? C'mon, let me help you out!\Can you pilot a robot?\That's Earth.\I'm sure of it.\The star which shines a brighter blue than even Demetria.\Our promised land. response:	You know what we have to do.
context: There is one thing I've been having trouble with.\What is it? C'mon, let me help you out!\Can you pilot a robot?\That's Earth.\I'm sure of it.\The star which shines a brighter blue than even Demetria.\Our promised land.\You know what we have to do. response:	Let's go.
context: What is it? C'mon, let me help you out!\Can you pilot a robot?\That's Earth.\I'm sure of it.\The star which shines a brighter blue than even Demetria.\Our promised land.\You know what we have to do.\Let's go. response:	Wait.
context: Can you pilot a robot?\That's Earth.\I'm sure of it.\The star which shines a brighter blue than even Demetria.\Our promised land.\You know what we have to do.\Let's go.\Wait. response:	L'Egalite may already have infiltrated.
context: That's Earth.\I'm sure of it.\The star which shines a brighter blue than even Demetria.\Our promised land.\You know what we have to do.\Let's go.\Wait.\L'Egalite may already have infiltrated. response:	Be ready to sortie on a moment's notice.
context: I'm sure of it.\The star which shines a brighter blue than even Demetria.\Our promised land.\You know what we have to do.\Let's go.\Wait.\L'Egalite may already have infiltrated.\Be ready to sortie on a moment's notice. response:	Jeez, fine.
context: The star which shines a brighter blue than even Demetria.\Our promised land.\You know what we have to do.\Let's go.\Wait.\L'Egalite may already have infiltrated.\Be ready to sortie on a moment's notice.\Jeez, fine. response:	You too, Array.
context: Our promised land.\You know what we have to do.\Let's go.\Wait.\L'Egalite may already have infiltrated.\Be ready to sortie on a moment's notice.\Jeez, fine.\You too, Array. response:	Who died and left you in charge, Kirius?
context: You know what we have to do.\Let's go.\Wait.\L'Egalite may already have infiltrated.\Be ready to sortie on a moment's notice.\Jeez, fine.\You too, Array.\Who died and left you in charge, Kirius? response:	Do you see the ghost of a planet too, Yurikano?
context: Let's go.\Wait.\L'Egalite may already have infiltrated.\Be ready to sortie on a moment's notice.\Jeez, fine.\You too, Array.\Who died and left you in charge, Kirius?\Do you see the ghost of a planet too, Yurikano? response:	This was just sitting here offshore?
context: Wait.\L'Egalite may already have infiltrated.\Be ready to sortie on a moment's notice.\Jeez, fine.\You too, Array.\Who died and left you in charge, Kirius?\Do you see the ghost of a planet too, Yurikano?\This was just sitting here offshore? response:	No, it had to sail here.
context: L'Egalite may already have infiltrated.\Be ready to sortie on a moment's notice.\Jeez, fine.\You too, Array.\Who died and left you in charge, Kirius?\Do you see the ghost of a planet too, Yurikano?\This was just sitting here offshore?\No, it had to sail here. response:	Sail? It's a ship?!
context: Be ready to sortie on a moment's notice.\Jeez, fine.\You too, Array.\Who died and left you in charge, Kirius?\Do you see the ghost of a planet too, Yurikano?\This was just sitting here offshore?\No, it had to sail here.\Sail? It's a ship?! response:	This way.
context: Jeez, fine.\You too, Array.\Who died and left you in charge, Kirius?\Do you see the ghost of a planet too, Yurikano?\This was just sitting here offshore?\No, it had to sail here.\Sail? It's a ship?!\This way. response:	Madoka, I'm coming in.
context: You too, Array.\Who died and left you in charge, Kirius?\Do you see the ghost of a planet too, Yurikano?\This was just sitting here offshore?\No, it had to sail here.\Sail? It's a ship?!\This way.\Madoka, I'm coming in. response:	Hey, Dad, you seen Madoka around?
context: Who died and left you in charge, Kirius?\Do you see the ghost of a planet too, Yurikano?\This was just sitting here offshore?\No, it had to sail here.\Sail? It's a ship?!\This way.\Madoka, I'm coming in.\Hey, Dad, you seen Madoka around? response:	Huh? I thought I heard her come in a while back.
