context: He's overworked. response:	He had an anemia attack, but he didn't faint.
context: Please stop. It's ominous.\I don't know what to do in times like these.\You don't need to do anything.\We should run practice ourselves tomorrow, right?\I agree.\Come to think of it, clerical procedures like registering for meets\were all Haiji's job, too.\Supervisor-cum-coach-cum- manager-cum-dorm leader, huh? response:	We should at least take turns cooking.
context: I don't know what to do in times like these.\You don't need to do anything.\We should run practice ourselves tomorrow, right?\I agree.\Come to think of it, clerical procedures like registering for meets\were all Haiji's job, too.\Supervisor-cum-coach-cum- manager-cum-dorm leader, huh?\We should at least take turns cooking. response:	Yeah. All I can cook is ochazuke, though.
context: You don't need to do anything.\We should run practice ourselves tomorrow, right?\I agree.\Come to think of it, clerical procedures like registering for meets\were all Haiji's job, too.\Supervisor-cum-coach-cum- manager-cum-dorm leader, huh?\We should at least take turns cooking.\Yeah. All I can cook is ochazuke, though. response:	Me, too. I've only ever boiled pasta.
context: We should run practice ourselves tomorrow, right?\I agree.\Come to think of it, clerical procedures like registering for meets\were all Haiji's job, too.\Supervisor-cum-coach-cum- manager-cum-dorm leader, huh?\We should at least take turns cooking.\Yeah. All I can cook is ochazuke, though.\Me, too. I've only ever boiled pasta. response:	Can we survive without Haiji?
context: I agree.\Come to think of it, clerical procedures like registering for meets\were all Haiji's job, too.\Supervisor-cum-coach-cum- manager-cum-dorm leader, huh?\We should at least take turns cooking.\Yeah. All I can cook is ochazuke, though.\Me, too. I've only ever boiled pasta.\Can we survive without Haiji? response:	Why don't you reconcile?
context: Come to think of it, clerical procedures like registering for meets\were all Haiji's job, too.\Supervisor-cum-coach-cum- manager-cum-dorm leader, huh?\We should at least take turns cooking.\Yeah. All I can cook is ochazuke, though.\Me, too. I've only ever boiled pasta.\Can we survive without Haiji?\Why don't you reconcile? response:	I mean you guys.
context: were all Haiji's job, too.\Supervisor-cum-coach-cum- manager-cum-dorm leader, huh?\We should at least take turns cooking.\Yeah. All I can cook is ochazuke, though.\Me, too. I've only ever boiled pasta.\Can we survive without Haiji?\Why don't you reconcile?\I mean you guys. response:	Quit the team if you can't run fast enough?
context: Supervisor-cum-coach-cum- manager-cum-dorm leader, huh?\We should at least take turns cooking.\Yeah. All I can cook is ochazuke, though.\Me, too. I've only ever boiled pasta.\Can we survive without Haiji?\Why don't you reconcile?\I mean you guys.\Quit the team if you can't run fast enough? response:	This is no time to be saying that.
context: We should at least take turns cooking.\Yeah. All I can cook is ochazuke, though.\Me, too. I've only ever boiled pasta.\Can we survive without Haiji?\Why don't you reconcile?\I mean you guys.\Quit the team if you can't run fast enough?\This is no time to be saying that. response:	I'm not the one who suggested it.
context: Yeah. All I can cook is ochazuke, though.\Me, too. I've only ever boiled pasta.\Can we survive without Haiji?\Why don't you reconcile?\I mean you guys.\Quit the team if you can't run fast enough?\This is no time to be saying that.\I'm not the one who suggested it. response:	You're his senior.
context: Me, too. I've only ever boiled pasta.\Can we survive without Haiji?\Why don't you reconcile?\I mean you guys.\Quit the team if you can't run fast enough?\This is no time to be saying that.\I'm not the one who suggested it.\You're his senior. response:	I was just expressing my misgivings.
context: Can we survive without Haiji?\Why don't you reconcile?\I mean you guys.\Quit the team if you can't run fast enough?\This is no time to be saying that.\I'm not the one who suggested it.\You're his senior.\I was just expressing my misgivings. response:	Hey!
context: Why don't you reconcile?\I mean you guys.\Quit the team if you can't run fast enough?\This is no time to be saying that.\I'm not the one who suggested it.\You're his senior.\I was just expressing my misgivings.\Hey! response:	If that's what you hurled at me, then you're being a nuisance.
context: I mean you guys.\Quit the team if you can't run fast enough?\This is no time to be saying that.\I'm not the one who suggested it.\You're his senior.\I was just expressing my misgivings.\Hey!\If that's what you hurled at me, then you're being a nuisance. response:	Earlier, you said you made him worry.
context: Quit the team if you can't run fast enough?\This is no time to be saying that.\I'm not the one who suggested it.\You're his senior.\I was just expressing my misgivings.\Hey!\If that's what you hurled at me, then you're being a nuisance.\Earlier, you said you made him worry. response:	You are making him worry, aren't you?
context: This is no time to be saying that.\I'm not the one who suggested it.\You're his senior.\I was just expressing my misgivings.\Hey!\If that's what you hurled at me, then you're being a nuisance.\Earlier, you said you made him worry.\You are making him worry, aren't you? response:	That's enough!
context: I'm not the one who suggested it.\You're his senior.\I was just expressing my misgivings.\Hey!\If that's what you hurled at me, then you're being a nuisance.\Earlier, you said you made him worry.\You are making him worry, aren't you?\That's enough! response:	Don't ruin what Haiji entrusted to you.
context: You're his senior.\I was just expressing my misgivings.\Hey!\If that's what you hurled at me, then you're being a nuisance.\Earlier, you said you made him worry.\You are making him worry, aren't you?\That's enough!\Don't ruin what Haiji entrusted to you. response:	You make it sound like he's dead!
context: I was just expressing my misgivings.\Hey!\If that's what you hurled at me, then you're being a nuisance.\Earlier, you said you made him worry.\You are making him worry, aren't you?\That's enough!\Don't ruin what Haiji entrusted to you.\You make it sound like he's dead! response:	You guys sure you don't actually get along?
context: Hey!\If that's what you hurled at me, then you're being a nuisance.\Earlier, you said you made him worry.\You are making him worry, aren't you?\That's enough!\Don't ruin what Haiji entrusted to you.\You make it sound like he's dead!\You guys sure you don't actually get along? response:	That's not good enough, Prince.
context: If that's what you hurled at me, then you're being a nuisance.\Earlier, you said you made him worry.\You are making him worry, aren't you?\That's enough!\Don't ruin what Haiji entrusted to you.\You make it sound like he's dead!\You guys sure you don't actually get along?\That's not good enough, Prince. response:	Our Speed
context: Earlier, you said you made him worry.\You are making him worry, aren't you?\That's enough!\Don't ruin what Haiji entrusted to you.\You make it sound like he's dead!\You guys sure you don't actually get along?\That's not good enough, Prince.\Our Speed response:	What? Give me a break.
context: You are making him worry, aren't you?\That's enough!\Don't ruin what Haiji entrusted to you.\You make it sound like he's dead!\You guys sure you don't actually get along?\That's not good enough, Prince.\Our Speed\What? Give me a break. response:	Please.
context: That's enough!\Don't ruin what Haiji entrusted to you.\You make it sound like he's dead!\You guys sure you don't actually get along?\That's not good enough, Prince.\Our Speed\What? Give me a break.\Please. response:	I can't even be a substitute captain.
context: Don't ruin what Haiji entrusted to you.\You make it sound like he's dead!\You guys sure you don't actually get along?\That's not good enough, Prince.\Our Speed\What? Give me a break.\Please.\I can't even be a substitute captain. response:	We never decided who'd do it.
context: You make it sound like he's dead!\You guys sure you don't actually get along?\That's not good enough, Prince.\Our Speed\What? Give me a break.\Please.\I can't even be a substitute captain.\We never decided who'd do it. response:	I believe that, as the eldest and most experienced,
context: You guys sure you don't actually get along?\That's not good enough, Prince.\Our Speed\What? Give me a break.\Please.\I can't even be a substitute captain.\We never decided who'd do it.\I believe that, as the eldest and most experienced, response:	you're the most suitable candidate.
context: That's not good enough, Prince.\Our Speed\What? Give me a break.\Please.\I can't even be a substitute captain.\We never decided who'd do it.\I believe that, as the eldest and most experienced,\you're the most suitable candidate. response:	I just can't. I can't afford to look after others.
context: Our Speed\What? Give me a break.\Please.\I can't even be a substitute captain.\We never decided who'd do it.\I believe that, as the eldest and most experienced,\you're the most suitable candidate.\I just can't. I can't afford to look after others. response:	Then... Yuki.
context: What? Give me a break.\Please.\I can't even be a substitute captain.\We never decided who'd do it.\I believe that, as the eldest and most experienced,\you're the most suitable candidate.\I just can't. I can't afford to look after others.\Then... Yuki. response:	I thought you'd ask.
context: Please.\I can't even be a substitute captain.\We never decided who'd do it.\I believe that, as the eldest and most experienced,\you're the most suitable candidate.\I just can't. I can't afford to look after others.\Then... Yuki.\I thought you'd ask. response:	But I refuse.
context: I can't even be a substitute captain.\We never decided who'd do it.\I believe that, as the eldest and most experienced,\you're the most suitable candidate.\I just can't. I can't afford to look after others.\Then... Yuki.\I thought you'd ask.\But I refuse. response:	Heart
context: We never decided who'd do it.\I believe that, as the eldest and most experienced,\you're the most suitable candidate.\I just can't. I can't afford to look after others.\Then... Yuki.\I thought you'd ask.\But I refuse.\Heart response:	Was that...
context: I believe that, as the eldest and most experienced,\you're the most suitable candidate.\I just can't. I can't afford to look after others.\Then... Yuki.\I thought you'd ask.\But I refuse.\Heart\Was that... response:	Aw, shucks...
context: you're the most suitable candidate.\I just can't. I can't afford to look after others.\Then... Yuki.\I thought you'd ask.\But I refuse.\Heart\Was that...\Aw, shucks... response:	What are you doing?
context: I just can't. I can't afford to look after others.\Then... Yuki.\I thought you'd ask.\But I refuse.\Heart\Was that...\Aw, shucks...\What are you doing? response:	You mean you don't know about but I refuse?
context: Then... Yuki.\I thought you'd ask.\But I refuse.\Heart\Was that...\Aw, shucks...\What are you doing?\You mean you don't know about but I refuse? response:	Just so you know, I still don't think we can make it to Hakone.
context: I thought you'd ask.\But I refuse.\Heart\Was that...\Aw, shucks...\What are you doing?\You mean you don't know about but I refuse?\Just so you know, I still don't think we can make it to Hakone. response:	I wouldn't know how to lead the team.
context: But I refuse.\Heart\Was that...\Aw, shucks...\What are you doing?\You mean you don't know about but I refuse?\Just so you know, I still don't think we can make it to Hakone.\I wouldn't know how to lead the team. response:	You're still saying that?
context: Heart\Was that...\Aw, shucks...\What are you doing?\You mean you don't know about but I refuse?\Just so you know, I still don't think we can make it to Hakone.\I wouldn't know how to lead the team.\You're still saying that? response:	After participating in all these practices?
context: Was that...\Aw, shucks...\What are you doing?\You mean you don't know about but I refuse?\Just so you know, I still don't think we can make it to Hakone.\I wouldn't know how to lead the team.\You're still saying that?\After participating in all these practices? response:	Shut up. No. Ask someone else.
context: Aw, shucks...\What are you doing?\You mean you don't know about but I refuse?\Just so you know, I still don't think we can make it to Hakone.\I wouldn't know how to lead the team.\You're still saying that?\After participating in all these practices?\Shut up. No. Ask someone else. response:	Then...
context: What are you doing?\You mean you don't know about but I refuse?\Just so you know, I still don't think we can make it to Hakone.\I wouldn't know how to lead the team.\You're still saying that?\After participating in all these practices?\Shut up. No. Ask someone else.\Then... response:	Kakeru, how about you?
context: You mean you don't know about but I refuse?\Just so you know, I still don't think we can make it to Hakone.\I wouldn't know how to lead the team.\You're still saying that?\After participating in all these practices?\Shut up. No. Ask someone else.\Then...\Kakeru, how about you? response:	Hey! What about me?
context: Just so you know, I still don't think we can make it to Hakone.\I wouldn't know how to lead the team.\You're still saying that?\After participating in all these practices?\Shut up. No. Ask someone else.\Then...\Kakeru, how about you?\Hey! What about me? response:	If you go in order, I'm next.
context: I wouldn't know how to lead the team.\You're still saying that?\After participating in all these practices?\Shut up. No. Ask someone else.\Then...\Kakeru, how about you?\Hey! What about me?\If you go in order, I'm next. response:	There's no way you'd want to do it.
context: You're still saying that?\After participating in all these practices?\Shut up. No. Ask someone else.\Then...\Kakeru, how about you?\Hey! What about me?\If you go in order, I'm next.\There's no way you'd want to do it. response:	I still want to be asked.
context: After participating in all these practices?\Shut up. No. Ask someone else.\Then...\Kakeru, how about you?\Hey! What about me?\If you go in order, I'm next.\There's no way you'd want to do it.\I still want to be asked. response:	Be asked and decline.
context: Shut up. No. Ask someone else.\Then...\Kakeru, how about you?\Hey! What about me?\If you go in order, I'm next.\There's no way you'd want to do it.\I still want to be asked.\Be asked and decline. response:	Give me the chance to act like your senior.
context: Then...\Kakeru, how about you?\Hey! What about me?\If you go in order, I'm next.\There's no way you'd want to do it.\I still want to be asked.\Be asked and decline.\Give me the chance to act like your senior. response:	I can't respect him, at all.
context: Kakeru, how about you?\Hey! What about me?\If you go in order, I'm next.\There's no way you'd want to do it.\I still want to be asked.\Be asked and decline.\Give me the chance to act like your senior.\I can't respect him, at all. response:	Yeah.
context: Hey! What about me?\If you go in order, I'm next.\There's no way you'd want to do it.\I still want to be asked.\Be asked and decline.\Give me the chance to act like your senior.\I can't respect him, at all.\Yeah. response:	I don't mind.
context: If you go in order, I'm next.\There's no way you'd want to do it.\I still want to be asked.\Be asked and decline.\Give me the chance to act like your senior.\I can't respect him, at all.\Yeah.\I don't mind. response:	What?
context: There's no way you'd want to do it.\I still want to be asked.\Be asked and decline.\Give me the chance to act like your senior.\I can't respect him, at all.\Yeah.\I don't mind.\What? response:	I may not be gentle.
context: I still want to be asked.\Be asked and decline.\Give me the chance to act like your senior.\I can't respect him, at all.\Yeah.\I don't mind.\What?\I may not be gentle. response:	Complete and Total Rest
context: Be asked and decline.\Give me the chance to act like your senior.\I can't respect him, at all.\Yeah.\I don't mind.\What?\I may not be gentle.\Complete and Total Rest response:	Joji Jota
context: Give me the chance to act like your senior.\I can't respect him, at all.\Yeah.\I don't mind.\What?\I may not be gentle.\Complete and Total Rest\Joji Jota response:	Plum Ochazuke
context: I can't respect him, at all.\Yeah.\I don't mind.\What?\I may not be gentle.\Complete and Total Rest\Joji Jota\Plum Ochazuke response:	Get well soon!
context: Yeah.\I don't mind.\What?\I may not be gentle.\Complete and Total Rest\Joji Jota\Plum Ochazuke\Get well soon! response:	I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi
context: I don't mind.\What?\I may not be gentle.\Complete and Total Rest\Joji Jota\Plum Ochazuke\Get well soon!\I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi response:	This African mask will protect you from evil! Musa Kamara
context: What?\I may not be gentle.\Complete and Total Rest\Joji Jota\Plum Ochazuke\Get well soon!\I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi\This African mask will protect you from evil! Musa Kamara response:	You need to rest!! They said eating meat when you're sick is good for you King
context: I may not be gentle.\Complete and Total Rest\Joji Jota\Plum Ochazuke\Get well soon!\I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi\This African mask will protect you from evil! Musa Kamara\You need to rest!! They said eating meat when you're sick is good for you King response:	Sorry. Get some rest!! Sleep well, rest well. Yuki
context: Complete and Total Rest\Joji Jota\Plum Ochazuke\Get well soon!\I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi\This African mask will protect you from evil! Musa Kamara\You need to rest!! They said eating meat when you're sick is good for you King\Sorry. Get some rest!! Sleep well, rest well. Yuki response:	Take care. Kurahara
context: Joji Jota\Plum Ochazuke\Get well soon!\I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi\This African mask will protect you from evil! Musa Kamara\You need to rest!! They said eating meat when you're sick is good for you King\Sorry. Get some rest!! Sleep well, rest well. Yuki\Take care. Kurahara response:	I'll lend you some of my comics. Kashiwazaki
context: Plum Ochazuke\Get well soon!\I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi\This African mask will protect you from evil! Musa Kamara\You need to rest!! They said eating meat when you're sick is good for you King\Sorry. Get some rest!! Sleep well, rest well. Yuki\Take care. Kurahara\I'll lend you some of my comics. Kashiwazaki response:	Have some porridge! Jota Joji
context: Get well soon!\I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi\This African mask will protect you from evil! Musa Kamara\You need to rest!! They said eating meat when you're sick is good for you King\Sorry. Get some rest!! Sleep well, rest well. Yuki\Take care. Kurahara\I'll lend you some of my comics. Kashiwazaki\Have some porridge! Jota Joji response:	Is this torture?
context: I'm sorry for always relying on you for everything! Get well soon. Sugiyama Takashi\This African mask will protect you from evil! Musa Kamara\You need to rest!! They said eating meat when you're sick is good for you King\Sorry. Get some rest!! Sleep well, rest well. Yuki\Take care. Kurahara\I'll lend you some of my comics. Kashiwazaki\Have some porridge! Jota Joji\Is this torture? response:	You don't have to do this.
context: This African mask will protect you from evil! Musa Kamara\You need to rest!! They said eating meat when you're sick is good for you King\Sorry. Get some rest!! Sleep well, rest well. Yuki\Take care. Kurahara\I'll lend you some of my comics. Kashiwazaki\Have some porridge! Jota Joji\Is this torture?\You don't have to do this. response:	What?
context: You need to rest!! They said eating meat when you're sick is good for you King\Sorry. Get some rest!! Sleep well, rest well. Yuki\Take care. Kurahara\I'll lend you some of my comics. Kashiwazaki\Have some porridge! Jota Joji\Is this torture?\You don't have to do this.\What? response:	You don't have to do what Haiji does.
context: Sorry. Get some rest!! Sleep well, rest well. Yuki\Take care. Kurahara\I'll lend you some of my comics. Kashiwazaki\Have some porridge! Jota Joji\Is this torture?\You don't have to do this.\What?\You don't have to do what Haiji does. response:	If I leave you alone, you'll fall farther and farther behind.
context: Take care. Kurahara\I'll lend you some of my comics. Kashiwazaki\Have some porridge! Jota Joji\Is this torture?\You don't have to do this.\What?\You don't have to do what Haiji does.\If I leave you alone, you'll fall farther and farther behind. response:	Everyone else's pace is increasing.
context: I'll lend you some of my comics. Kashiwazaki\Have some porridge! Jota Joji\Is this torture?\You don't have to do this.\What?\You don't have to do what Haiji does.\If I leave you alone, you'll fall farther and farther behind.\Everyone else's pace is increasing. response:	Their efforts will be ruined because of you.
context: Have some porridge! Jota Joji\Is this torture?\You don't have to do this.\What?\You don't have to do what Haiji does.\If I leave you alone, you'll fall farther and farther behind.\Everyone else's pace is increasing.\Their efforts will be ruined because of you. response:	Buck up and take this seriously.
context: Is this torture?\You don't have to do this.\What?\You don't have to do what Haiji does.\If I leave you alone, you'll fall farther and farther behind.\Everyone else's pace is increasing.\Their efforts will be ruined because of you.\Buck up and take this seriously. response:	Since when have you been fast?
context: You don't have to do this.\What?\You don't have to do what Haiji does.\If I leave you alone, you'll fall farther and farther behind.\Everyone else's pace is increasing.\Their efforts will be ruined because of you.\Buck up and take this seriously.\Since when have you been fast? response:	Huh?
context: What?\You don't have to do what Haiji does.\If I leave you alone, you'll fall farther and farther behind.\Everyone else's pace is increasing.\Their efforts will be ruined because of you.\Buck up and take this seriously.\Since when have you been fast?\Huh? response:	Since you were a child?
context: You don't have to do what Haiji does.\If I leave you alone, you'll fall farther and farther behind.\Everyone else's pace is increasing.\Their efforts will be ruined because of you.\Buck up and take this seriously.\Since when have you been fast?\Huh?\Since you were a child? response:	Probably. After all, you're a prodigy.
context: If I leave you alone, you'll fall farther and farther behind.\Everyone else's pace is increasing.\Their efforts will be ruined because of you.\Buck up and take this seriously.\Since when have you been fast?\Huh?\Since you were a child?\Probably. After all, you're a prodigy. response:	That's not true.
context: Everyone else's pace is increasing.\Their efforts will be ruined because of you.\Buck up and take this seriously.\Since when have you been fast?\Huh?\Since you were a child?\Probably. After all, you're a prodigy.\That's not true. response:	Then try talking at my speed.
context: Their efforts will be ruined because of you.\Buck up and take this seriously.\Since when have you been fast?\Huh?\Since you were a child?\Probably. After all, you're a prodigy.\That's not true.\Then try talking at my speed. response:	What is this?
context: Buck up and take this seriously.\Since when have you been fast?\Huh?\Since you were a child?\Probably. After all, you're a prodigy.\That's not true.\Then try talking at my speed.\What is this? response:	Hey, twins!
context: Since when have you been fast?\Huh?\Since you were a child?\Probably. After all, you're a prodigy.\That's not true.\Then try talking at my speed.\What is this?\Hey, twins! response:	What is it?
context: Huh?\Since you were a child?\Probably. After all, you're a prodigy.\That's not true.\Then try talking at my speed.\What is this?\Hey, twins!\What is it? response:	We made lots. Eat all you want.
context: Since you were a child?\Probably. After all, you're a prodigy.\That's not true.\Then try talking at my speed.\What is this?\Hey, twins!\What is it?\We made lots. Eat all you want. response:	Why did you start reading comics as soon as we got home?
context: Probably. After all, you're a prodigy.\That's not true.\Then try talking at my speed.\What is this?\Hey, twins!\What is it?\We made lots. Eat all you want.\Why did you start reading comics as soon as we got home? response:	You should get changed first.
context: That's not true.\Then try talking at my speed.\What is this?\Hey, twins!\What is it?\We made lots. Eat all you want.\Why did you start reading comics as soon as we got home?\You should get changed first. response:	I need to read the magazine that came out today by the end of the day.
context: Then try talking at my speed.\What is this?\Hey, twins!\What is it?\We made lots. Eat all you want.\Why did you start reading comics as soon as we got home?\You should get changed first.\I need to read the magazine that came out today by the end of the day. response:	Your comics aren't going anywhere. Get changed.
context: What is this?\Hey, twins!\What is it?\We made lots. Eat all you want.\Why did you start reading comics as soon as we got home?\You should get changed first.\I need to read the magazine that came out today by the end of the day.\Your comics aren't going anywhere. Get changed. response:	Freshness is everything!
context: Hey, twins!\What is it?\We made lots. Eat all you want.\Why did you start reading comics as soon as we got home?\You should get changed first.\I need to read the magazine that came out today by the end of the day.\Your comics aren't going anywhere. Get changed.\Freshness is everything! response:	What?
context: What is it?\We made lots. Eat all you want.\Why did you start reading comics as soon as we got home?\You should get changed first.\I need to read the magazine that came out today by the end of the day.\Your comics aren't going anywhere. Get changed.\Freshness is everything!\What? response:	He's right!
context: We made lots. Eat all you want.\Why did you start reading comics as soon as we got home?\You should get changed first.\I need to read the magazine that came out today by the end of the day.\Your comics aren't going anywhere. Get changed.\Freshness is everything!\What?\He's right! response:	Freshness is everything!
context: Why did you start reading comics as soon as we got home?\You should get changed first.\I need to read the magazine that came out today by the end of the day.\Your comics aren't going anywhere. Get changed.\Freshness is everything!\What?\He's right!\Freshness is everything! response:	I heard Haiji collapsed, so I brought you something.
context: You should get changed first.\I need to read the magazine that came out today by the end of the day.\Your comics aren't going anywhere. Get changed.\Freshness is everything!\What?\He's right!\Freshness is everything!\I heard Haiji collapsed, so I brought you something. response:	Hana, perfect timing!
context: I need to read the magazine that came out today by the end of the day.\Your comics aren't going anywhere. Get changed.\Freshness is everything!\What?\He's right!\Freshness is everything!\I heard Haiji collapsed, so I brought you something.\Hana, perfect timing! response:	I missed you!
context: Your comics aren't going anywhere. Get changed.\Freshness is everything!\What?\He's right!\Freshness is everything!\I heard Haiji collapsed, so I brought you something.\Hana, perfect timing!\I missed you! response:	Huh? Uh, um... What?
context: Freshness is everything!\What?\He's right!\Freshness is everything!\I heard Haiji collapsed, so I brought you something.\Hana, perfect timing!\I missed you!\Huh? Uh, um... What? response:	Can you cook?
context: What?\He's right!\Freshness is everything!\I heard Haiji collapsed, so I brought you something.\Hana, perfect timing!\I missed you!\Huh? Uh, um... What?\Can you cook? response:	Huh?
context: He's right!\Freshness is everything!\I heard Haiji collapsed, so I brought you something.\Hana, perfect timing!\I missed you!\Huh? Uh, um... What?\Can you cook?\Huh? response:	Bathroom
context: Freshness is everything!\I heard Haiji collapsed, so I brought you something.\Hana, perfect timing!\I missed you!\Huh? Uh, um... What?\Can you cook?\Huh?\Bathroom response:	Musa!
context: I heard Haiji collapsed, so I brought you something.\Hana, perfect timing!\I missed you!\Huh? Uh, um... What?\Can you cook?\Huh?\Bathroom\Musa! response:	Hurry!
context: Hana, perfect timing!\I missed you!\Huh? Uh, um... What?\Can you cook?\Huh?\Bathroom\Musa!\Hurry! response:	Hurry up!
context: I missed you!\Huh? Uh, um... What?\Can you cook?\Huh?\Bathroom\Musa!\Hurry!\Hurry up! response:	Bathroom
context: Huh? Uh, um... What?\Can you cook?\Huh?\Bathroom\Musa!\Hurry!\Hurry up!\Bathroom response:	S-Save me...
context: Can you cook?\Huh?\Bathroom\Musa!\Hurry!\Hurry up!\Bathroom\S-Save me... response:	Musa!
context: Huh?\Bathroom\Musa!\Hurry!\Hurry up!\Bathroom\S-Save me...\Musa! response:	I-I'm sorry. Maybe it wasn't to their tastes.
context: Bathroom\Musa!\Hurry!\Hurry up!\Bathroom\S-Save me...\Musa!\I-I'm sorry. Maybe it wasn't to their tastes. response:	What do you two think?
context: Musa!\Hurry!\Hurry up!\Bathroom\S-Save me...\Musa!\I-I'm sorry. Maybe it wasn't to their tastes.\What do you two think? response:	It's good.
context: Hurry!\Hurry up!\Bathroom\S-Save me...\Musa!\I-I'm sorry. Maybe it wasn't to their tastes.\What do you two think?\It's good. response:	I'm glad.
