context: Water collects into stagnant pools. response:	I've always loved watching it spill out all at once.
context: (Why don't you __)\Tokyo?\Yeah. First I'll go to Tokyo, then I'll start my journey from there.\Drifting from place to place on a whim!\When?\Ouch!\Enjoy your trip.\Tomorrow? response:	Yeah. I'm g-gonna ditch school.
context: Tokyo?\Yeah. First I'll go to Tokyo, then I'll start my journey from there.\Drifting from place to place on a whim!\When?\Ouch!\Enjoy your trip.\Tomorrow?\Yeah. I'm g-gonna ditch school. response:	Well, that sounds fine.
context: Yeah. First I'll go to Tokyo, then I'll start my journey from there.\Drifting from place to place on a whim!\When?\Ouch!\Enjoy your trip.\Tomorrow?\Yeah. I'm g-gonna ditch school.\Well, that sounds fine. response:	I'm skipping school, though! Playing hooky!
context: Drifting from place to place on a whim!\When?\Ouch!\Enjoy your trip.\Tomorrow?\Yeah. I'm g-gonna ditch school.\Well, that sounds fine.\I'm skipping school, though! Playing hooky! response:	Yeah, and it's not that big a deal.
context: When?\Ouch!\Enjoy your trip.\Tomorrow?\Yeah. I'm g-gonna ditch school.\Well, that sounds fine.\I'm skipping school, though! Playing hooky!\Yeah, and it's not that big a deal. response:	Not that big a deal?
context: Ouch!\Enjoy your trip.\Tomorrow?\Yeah. I'm g-gonna ditch school.\Well, that sounds fine.\I'm skipping school, though! Playing hooky!\Yeah, and it's not that big a deal.\Not that big a deal? response:	Hey, Kimari... have you never ditched before?
context: Enjoy your trip.\Tomorrow?\Yeah. I'm g-gonna ditch school.\Well, that sounds fine.\I'm skipping school, though! Playing hooky!\Yeah, and it's not that big a deal.\Not that big a deal?\Hey, Kimari... have you never ditched before? response:	You mean you have, Megu-chan?
context: Tomorrow?\Yeah. I'm g-gonna ditch school.\Well, that sounds fine.\I'm skipping school, though! Playing hooky!\Yeah, and it's not that big a deal.\Not that big a deal?\Hey, Kimari... have you never ditched before?\You mean you have, Megu-chan? response:	Sure I have. Everyone has.
context: Yeah. I'm g-gonna ditch school.\Well, that sounds fine.\I'm skipping school, though! Playing hooky!\Yeah, and it's not that big a deal.\Not that big a deal?\Hey, Kimari... have you never ditched before?\You mean you have, Megu-chan?\Sure I have. Everyone has. response:	Incredible!
context: Well, that sounds fine.\I'm skipping school, though! Playing hooky!\Yeah, and it's not that big a deal.\Not that big a deal?\Hey, Kimari... have you never ditched before?\You mean you have, Megu-chan?\Sure I have. Everyone has.\Incredible! response:	Don't look at me like that.
context: I'm skipping school, though! Playing hooky!\Yeah, and it's not that big a deal.\Not that big a deal?\Hey, Kimari... have you never ditched before?\You mean you have, Megu-chan?\Sure I have. Everyone has.\Incredible!\Don't look at me like that. response:	So, ever gone on a journey without a plan?
context: Yeah, and it's not that big a deal.\Not that big a deal?\Hey, Kimari... have you never ditched before?\You mean you have, Megu-chan?\Sure I have. Everyone has.\Incredible!\Don't look at me like that.\So, ever gone on a journey without a plan? response:	I guess not.
context: Not that big a deal?\Hey, Kimari... have you never ditched before?\You mean you have, Megu-chan?\Sure I have. Everyone has.\Incredible!\Don't look at me like that.\So, ever gone on a journey without a plan?\I guess not. response:	Then... then... then...
context: Hey, Kimari... have you never ditched before?\You mean you have, Megu-chan?\Sure I have. Everyone has.\Incredible!\Don't look at me like that.\So, ever gone on a journey without a plan?\I guess not.\Then... then... then... response:	I'm not going with you.
context: You mean you have, Megu-chan?\Sure I have. Everyone has.\Incredible!\Don't look at me like that.\So, ever gone on a journey without a plan?\I guess not.\Then... then... then...\I'm not going with you. response:	How'd you know that's what I meant?
context: Sure I have. Everyone has.\Incredible!\Don't look at me like that.\So, ever gone on a journey without a plan?\I guess not.\Then... then... then...\I'm not going with you.\How'd you know that's what I meant? response:	It was obvious. That's just the way you think, Kimari.
context: Incredible!\Don't look at me like that.\So, ever gone on a journey without a plan?\I guess not.\Then... then... then...\I'm not going with you.\How'd you know that's what I meant?\It was obvious. That's just the way you think, Kimari. response:	But it's meaningless, unless you go by yourself, in my opinion.
context: Don't look at me like that.\So, ever gone on a journey without a plan?\I guess not.\Then... then... then...\I'm not going with you.\How'd you know that's what I meant?\It was obvious. That's just the way you think, Kimari.\But it's meaningless, unless you go by yourself, in my opinion. response:	I see...
context: So, ever gone on a journey without a plan?\I guess not.\Then... then... then...\I'm not going with you.\How'd you know that's what I meant?\It was obvious. That's just the way you think, Kimari.\But it's meaningless, unless you go by yourself, in my opinion.\I see... response:	Just go.
context: I guess not.\Then... then... then...\I'm not going with you.\How'd you know that's what I meant?\It was obvious. That's just the way you think, Kimari.\But it's meaningless, unless you go by yourself, in my opinion.\I see...\Just go. response:	I'll help you.
context: Then... then... then...\I'm not going with you.\How'd you know that's what I meant?\It was obvious. That's just the way you think, Kimari.\But it's meaningless, unless you go by yourself, in my opinion.\I see...\Just go.\I'll help you. response:	Okay!
context: I'm not going with you.\How'd you know that's what I meant?\It was obvious. That's just the way you think, Kimari.\But it's meaningless, unless you go by yourself, in my opinion.\I see...\Just go.\I'll help you.\Okay! response:	Tamaki
context: How'd you know that's what I meant?\It was obvious. That's just the way you think, Kimari.\But it's meaningless, unless you go by yourself, in my opinion.\I see...\Just go.\I'll help you.\Okay!\Tamaki response:	I'm back!
context: It was obvious. That's just the way you think, Kimari.\But it's meaningless, unless you go by yourself, in my opinion.\I see...\Just go.\I'll help you.\Okay!\Tamaki\I'm back! response:	So excited!
context: But it's meaningless, unless you go by yourself, in my opinion.\I see...\Just go.\I'll help you.\Okay!\Tamaki\I'm back!\So excited! response:	Tomorrow, I'll get changed in the bathroom at the station!
context: I see...\Just go.\I'll help you.\Okay!\Tamaki\I'm back!\So excited!\Tomorrow, I'll get changed in the bathroom at the station! response:	And then...
context: Just go.\I'll help you.\Okay!\Tamaki\I'm back!\So excited!\Tomorrow, I'll get changed in the bathroom at the station!\And then... response:	The beach, the beach!
context: I'll help you.\Okay!\Tamaki\I'm back!\So excited!\Tomorrow, I'll get changed in the bathroom at the station!\And then...\The beach, the beach! response:	Crap. They'll know I'm from Gunma...
context: Okay!\Tamaki\I'm back!\So excited!\Tomorrow, I'll get changed in the bathroom at the station!\And then...\The beach, the beach!\Crap. They'll know I'm from Gunma... response:	What are you doing, Sis?
context: Tamaki\I'm back!\So excited!\Tomorrow, I'll get changed in the bathroom at the station!\And then...\The beach, the beach!\Crap. They'll know I'm from Gunma...\What are you doing, Sis? response:	Nothing!
context: I'm back!\So excited!\Tomorrow, I'll get changed in the bathroom at the station!\And then...\The beach, the beach!\Crap. They'll know I'm from Gunma...\What are you doing, Sis?\Nothing! response:	Heading out already?
context: So excited!\Tomorrow, I'll get changed in the bathroom at the station!\And then...\The beach, the beach!\Crap. They'll know I'm from Gunma...\What are you doing, Sis?\Nothing!\Heading out already? response:	What's the big bag for?
context: Tomorrow, I'll get changed in the bathroom at the station!\And then...\The beach, the beach!\Crap. They'll know I'm from Gunma...\What are you doing, Sis?\Nothing!\Heading out already?\What's the big bag for? response:	I had to borrow gym clothes from a friend.
context: And then...\The beach, the beach!\Crap. They'll know I'm from Gunma...\What are you doing, Sis?\Nothing!\Heading out already?\What's the big bag for?\I had to borrow gym clothes from a friend. response:	Again?
context: The beach, the beach!\Crap. They'll know I'm from Gunma...\What are you doing, Sis?\Nothing!\Heading out already?\What's the big bag for?\I had to borrow gym clothes from a friend.\Again? response:	See you later!
context: Crap. They'll know I'm from Gunma...\What are you doing, Sis?\Nothing!\Heading out already?\What's the big bag for?\I had to borrow gym clothes from a friend.\Again?\See you later! response:	Don't call me.
context: What are you doing, Sis?\Nothing!\Heading out already?\What's the big bag for?\I had to borrow gym clothes from a friend.\Again?\See you later!\Don't call me. response:	I had to!
context: Nothing!\Heading out already?\What's the big bag for?\I had to borrow gym clothes from a friend.\Again?\See you later!\Don't call me.\I had to! response:	You don't have to worry. I already called the school.
context: Heading out already?\What's the big bag for?\I had to borrow gym clothes from a friend.\Again?\See you later!\Don't call me.\I had to!\You don't have to worry. I already called the school. response:	With my mimicry skills.
context: What's the big bag for?\I had to borrow gym clothes from a friend.\Again?\See you later!\Don't call me.\I had to!\You don't have to worry. I already called the school.\With my mimicry skills. response:	For real?
context: I had to borrow gym clothes from a friend.\Again?\See you later!\Don't call me.\I had to!\You don't have to worry. I already called the school.\With my mimicry skills.\For real? response:	If you have to stay overnight, I'll back up whatever story you use.
context: Again?\See you later!\Don't call me.\I had to!\You don't have to worry. I already called the school.\With my mimicry skills.\For real?\If you have to stay overnight, I'll back up whatever story you use. response:	Stop worrying and go.
context: See you later!\Don't call me.\I had to!\You don't have to worry. I already called the school.\With my mimicry skills.\For real?\If you have to stay overnight, I'll back up whatever story you use.\Stop worrying and go. response:	Sure!
context: Don't call me.\I had to!\You don't have to worry. I already called the school.\With my mimicry skills.\For real?\If you have to stay overnight, I'll back up whatever story you use.\Stop worrying and go.\Sure! response:	I'm heading out on a journey.
context: I had to!\You don't have to worry. I already called the school.\With my mimicry skills.\For real?\If you have to stay overnight, I'll back up whatever story you use.\Stop worrying and go.\Sure!\I'm heading out on a journey. response:	I'll change clothes in the bathroom.
context: You don't have to worry. I already called the school.\With my mimicry skills.\For real?\If you have to stay overnight, I'll back up whatever story you use.\Stop worrying and go.\Sure!\I'm heading out on a journey.\I'll change clothes in the bathroom. response:	I'll get on a train that goes the opposite direction from school.
context: With my mimicry skills.\For real?\If you have to stay overnight, I'll back up whatever story you use.\Stop worrying and go.\Sure!\I'm heading out on a journey.\I'll change clothes in the bathroom.\I'll get on a train that goes the opposite direction from school. response:	While everyone goes to school like normal,
context: For real?\If you have to stay overnight, I'll back up whatever story you use.\Stop worrying and go.\Sure!\I'm heading out on a journey.\I'll change clothes in the bathroom.\I'll get on a train that goes the opposite direction from school.\While everyone goes to school like normal, response:	I alone will burst free.
context: If you have to stay overnight, I'll back up whatever story you use.\Stop worrying and go.\Sure!\I'm heading out on a journey.\I'll change clothes in the bathroom.\I'll get on a train that goes the opposite direction from school.\While everyone goes to school like normal,\I alone will burst free. response:	I'll go on a journey without a plan.
context: Stop worrying and go.\Sure!\I'm heading out on a journey.\I'll change clothes in the bathroom.\I'll get on a train that goes the opposite direction from school.\While everyone goes to school like normal,\I alone will burst free.\I'll go on a journey without a plan. response:	To a place I've never seen before...
context: Sure!\I'm heading out on a journey.\I'll change clothes in the bathroom.\I'll get on a train that goes the opposite direction from school.\While everyone goes to school like normal,\I alone will burst free.\I'll go on a journey without a plan.\To a place I've never seen before... response:	No loose pants! Lift them higher! Both your pants and your grades!
context: I'm heading out on a journey.\I'll change clothes in the bathroom.\I'll get on a train that goes the opposite direction from school.\While everyone goes to school like normal,\I alone will burst free.\I'll go on a journey without a plan.\To a place I've never seen before...\No loose pants! Lift them higher! Both your pants and your grades! response:	What are you doing here?
context: I'll change clothes in the bathroom.\I'll get on a train that goes the opposite direction from school.\While everyone goes to school like normal,\I alone will burst free.\I'll go on a journey without a plan.\To a place I've never seen before...\No loose pants! Lift them higher! Both your pants and your grades!\What are you doing here? response:	Well... I mean, it was raining.
context: I'll get on a train that goes the opposite direction from school.\While everyone goes to school like normal,\I alone will burst free.\I'll go on a journey without a plan.\To a place I've never seen before...\No loose pants! Lift them higher! Both your pants and your grades!\What are you doing here?\Well... I mean, it was raining. response:	And I started thinking, you can't just skip school...
context: While everyone goes to school like normal,\I alone will burst free.\I'll go on a journey without a plan.\To a place I've never seen before...\No loose pants! Lift them higher! Both your pants and your grades!\What are you doing here?\Well... I mean, it was raining.\And I started thinking, you can't just skip school... response:	Isn't there anywhere you wanted to go?
context: I alone will burst free.\I'll go on a journey without a plan.\To a place I've never seen before...\No loose pants! Lift them higher! Both your pants and your grades!\What are you doing here?\Well... I mean, it was raining.\And I started thinking, you can't just skip school...\Isn't there anywhere you wanted to go? response:	Sure, there is! Lots of places!
context: I'll go on a journey without a plan.\To a place I've never seen before...\No loose pants! Lift them higher! Both your pants and your grades!\What are you doing here?\Well... I mean, it was raining.\And I started thinking, you can't just skip school...\Isn't there anywhere you wanted to go?\Sure, there is! Lots of places! response:	Kyoto, Okinawa, Hokkaido...
context: To a place I've never seen before...\No loose pants! Lift them higher! Both your pants and your grades!\What are you doing here?\Well... I mean, it was raining.\And I started thinking, you can't just skip school...\Isn't there anywhere you wanted to go?\Sure, there is! Lots of places!\Kyoto, Okinawa, Hokkaido... response:	Then why didn't you go there?
context: No loose pants! Lift them higher! Both your pants and your grades!\What are you doing here?\Well... I mean, it was raining.\And I started thinking, you can't just skip school...\Isn't there anywhere you wanted to go?\Sure, there is! Lots of places!\Kyoto, Okinawa, Hokkaido...\Then why didn't you go there? response:	Well... you know...
context: What are you doing here?\Well... I mean, it was raining.\And I started thinking, you can't just skip school...\Isn't there anywhere you wanted to go?\Sure, there is! Lots of places!\Kyoto, Okinawa, Hokkaido...\Then why didn't you go there?\Well... you know... response:	A plane could crash.
context: Well... I mean, it was raining.\And I started thinking, you can't just skip school...\Isn't there anywhere you wanted to go?\Sure, there is! Lots of places!\Kyoto, Okinawa, Hokkaido...\Then why didn't you go there?\Well... you know...\A plane could crash. response:	A shinkansen could explode...
context: And I started thinking, you can't just skip school...\Isn't there anywhere you wanted to go?\Sure, there is! Lots of places!\Kyoto, Okinawa, Hokkaido...\Then why didn't you go there?\Well... you know...\A plane could crash.\A shinkansen could explode... response:	And a meteor could fall at any time.
context: Isn't there anywhere you wanted to go?\Sure, there is! Lots of places!\Kyoto, Okinawa, Hokkaido...\Then why didn't you go there?\Well... you know...\A plane could crash.\A shinkansen could explode...\And a meteor could fall at any time. response:	I know that! I know!
context: Sure, there is! Lots of places!\Kyoto, Okinawa, Hokkaido...\Then why didn't you go there?\Well... you know...\A plane could crash.\A shinkansen could explode...\And a meteor could fall at any time.\I know that! I know! response:	Then why didn't you go?
context: Kyoto, Okinawa, Hokkaido...\Then why didn't you go there?\Well... you know...\A plane could crash.\A shinkansen could explode...\And a meteor could fall at any time.\I know that! I know!\Then why didn't you go? response:	You got scared?
context: Then why didn't you go there?\Well... you know...\A plane could crash.\A shinkansen could explode...\And a meteor could fall at any time.\I know that! I know!\Then why didn't you go?\You got scared? response:	You know. It's the thing I've always done...
context: Well... you know...\A plane could crash.\A shinkansen could explode...\And a meteor could fall at any time.\I know that! I know!\Then why didn't you go?\You got scared?\You know. It's the thing I've always done... response:	Rin
context: A plane could crash.\A shinkansen could explode...\And a meteor could fall at any time.\I know that! I know!\Then why didn't you go?\You got scared?\You know. It's the thing I've always done...\Rin response:	When I try to join clubs, when I try to learn new things,
context: A shinkansen could explode...\And a meteor could fall at any time.\I know that! I know!\Then why didn't you go?\You got scared?\You know. It's the thing I've always done...\Rin\When I try to join clubs, when I try to learn new things, response:	when I thought about taking the entrance exam for a really good school...
context: And a meteor could fall at any time.\I know that! I know!\Then why didn't you go?\You got scared?\You know. It's the thing I've always done...\Rin\When I try to join clubs, when I try to learn new things,\when I thought about taking the entrance exam for a really good school... response:	I always chicken out at the very last minute.
context: I know that! I know!\Then why didn't you go?\You got scared?\You know. It's the thing I've always done...\Rin\When I try to join clubs, when I try to learn new things,\when I thought about taking the entrance exam for a really good school...\I always chicken out at the very last minute. response:	When I'm about to try something I've never done before,
context: Then why didn't you go?\You got scared?\You know. It's the thing I've always done...\Rin\When I try to join clubs, when I try to learn new things,\when I thought about taking the entrance exam for a really good school...\I always chicken out at the very last minute.\When I'm about to try something I've never done before, response:	I start thinking, What if it doesn't go well?
