context: J To catch them is my real test J response:	J To train them is my cause J
context: And that means trouble.\Don't worry. I'm positive this way will take us back to the path.\-Pika. -Positive, huh?\That's what you said an hour ago. I'm tired.\Phew! I told you to stick to the main road,\but you had to take a shortcut.\I took a shortcut? It was you who said to go this way.\Who says we're lost? response:	Listen, genius, if you don't know where you are or where you're going,
context: Don't worry. I'm positive this way will take us back to the path.\-Pika. -Positive, huh?\That's what you said an hour ago. I'm tired.\Phew! I told you to stick to the main road,\but you had to take a shortcut.\I took a shortcut? It was you who said to go this way.\Who says we're lost?\Listen, genius, if you don't know where you are or where you're going, response:	-that means you're lost! -Chill. Chill!
context: -Pika. -Positive, huh?\That's what you said an hour ago. I'm tired.\Phew! I told you to stick to the main road,\but you had to take a shortcut.\I took a shortcut? It was you who said to go this way.\Who says we're lost?\Listen, genius, if you don't know where you are or where you're going,\-that means you're lost! -Chill. Chill! response:	All right, but remind me to yell at you some more
context: That's what you said an hour ago. I'm tired.\Phew! I told you to stick to the main road,\but you had to take a shortcut.\I took a shortcut? It was you who said to go this way.\Who says we're lost?\Listen, genius, if you don't know where you are or where you're going,\-that means you're lost! -Chill. Chill!\All right, but remind me to yell at you some more response:	if we ever get to Vermillion City.
context: Phew! I told you to stick to the main road,\but you had to take a shortcut.\I took a shortcut? It was you who said to go this way.\Who says we're lost?\Listen, genius, if you don't know where you are or where you're going,\-that means you're lost! -Chill. Chill!\All right, but remind me to yell at you some more\if we ever get to Vermillion City. response:	Time for a break.
context: but you had to take a shortcut.\I took a shortcut? It was you who said to go this way.\Who says we're lost?\Listen, genius, if you don't know where you are or where you're going,\-that means you're lost! -Chill. Chill!\All right, but remind me to yell at you some more\if we ever get to Vermillion City.\Time for a break. response:	Hmm?
context: I took a shortcut? It was you who said to go this way.\Who says we're lost?\Listen, genius, if you don't know where you are or where you're going,\-that means you're lost! -Chill. Chill!\All right, but remind me to yell at you some more\if we ever get to Vermillion City.\Time for a break.\Hmm? response:	Oh, wow, a Pokemon!
context: Who says we're lost?\Listen, genius, if you don't know where you are or where you're going,\-that means you're lost! -Chill. Chill!\All right, but remind me to yell at you some more\if we ever get to Vermillion City.\Time for a break.\Hmm?\Oh, wow, a Pokemon! response:	Oddish. This Pokemon is typically found roaming the forest,
context: Listen, genius, if you don't know where you are or where you're going,\-that means you're lost! -Chill. Chill!\All right, but remind me to yell at you some more\if we ever get to Vermillion City.\Time for a break.\Hmm?\Oh, wow, a Pokemon!\Oddish. This Pokemon is typically found roaming the forest, response:	scattering pollen as it walks around.
context: -that means you're lost! -Chill. Chill!\All right, but remind me to yell at you some more\if we ever get to Vermillion City.\Time for a break.\Hmm?\Oh, wow, a Pokemon!\Oddish. This Pokemon is typically found roaming the forest,\scattering pollen as it walks around. response:	-I'll catch it. -Hold it!
context: All right, but remind me to yell at you some more\if we ever get to Vermillion City.\Time for a break.\Hmm?\Oh, wow, a Pokemon!\Oddish. This Pokemon is typically found roaming the forest,\scattering pollen as it walks around.\-I'll catch it. -Hold it! response:	-What for? -Because I'm going to catch that Pokemon.
context: if we ever get to Vermillion City.\Time for a break.\Hmm?\Oh, wow, a Pokemon!\Oddish. This Pokemon is typically found roaming the forest,\scattering pollen as it walks around.\-I'll catch it. -Hold it!\-What for? -Because I'm going to catch that Pokemon. response:	Aw, no way, Misty. I saw it first.
context: Time for a break.\Hmm?\Oh, wow, a Pokemon!\Oddish. This Pokemon is typically found roaming the forest,\scattering pollen as it walks around.\-I'll catch it. -Hold it!\-What for? -Because I'm going to catch that Pokemon.\Aw, no way, Misty. I saw it first. response:	But we found it around the water and water is my specialty.
context: Hmm?\Oh, wow, a Pokemon!\Oddish. This Pokemon is typically found roaming the forest,\scattering pollen as it walks around.\-I'll catch it. -Hold it!\-What for? -Because I'm going to catch that Pokemon.\Aw, no way, Misty. I saw it first.\But we found it around the water and water is my specialty. response:	Go, Starmie!
context: Oh, wow, a Pokemon!\Oddish. This Pokemon is typically found roaming the forest,\scattering pollen as it walks around.\-I'll catch it. -Hold it!\-What for? -Because I'm going to catch that Pokemon.\Aw, no way, Misty. I saw it first.\But we found it around the water and water is my specialty.\Go, Starmie! response:	Water gun now!
context: Oddish. This Pokemon is typically found roaming the forest,\scattering pollen as it walks around.\-I'll catch it. -Hold it!\-What for? -Because I'm going to catch that Pokemon.\Aw, no way, Misty. I saw it first.\But we found it around the water and water is my specialty.\Go, Starmie!\Water gun now! response:	Now, that's the way to spray. Tackle it, Starmie!
context: scattering pollen as it walks around.\-I'll catch it. -Hold it!\-What for? -Because I'm going to catch that Pokemon.\Aw, no way, Misty. I saw it first.\But we found it around the water and water is my specialty.\Go, Starmie!\Water gun now!\Now, that's the way to spray. Tackle it, Starmie! response:	That weakened it. Got to catch it now.
context: -I'll catch it. -Hold it!\-What for? -Because I'm going to catch that Pokemon.\Aw, no way, Misty. I saw it first.\But we found it around the water and water is my specialty.\Go, Starmie!\Water gun now!\Now, that's the way to spray. Tackle it, Starmie!\That weakened it. Got to catch it now. response:	-Poke Ball, go! Uh-oh. -Whoa.
context: -What for? -Because I'm going to catch that Pokemon.\Aw, no way, Misty. I saw it first.\But we found it around the water and water is my specialty.\Go, Starmie!\Water gun now!\Now, that's the way to spray. Tackle it, Starmie!\That weakened it. Got to catch it now.\-Poke Ball, go! Uh-oh. -Whoa. response:	Whoa! What's that?
context: Aw, no way, Misty. I saw it first.\But we found it around the water and water is my specialty.\Go, Starmie!\Water gun now!\Now, that's the way to spray. Tackle it, Starmie!\That weakened it. Got to catch it now.\-Poke Ball, go! Uh-oh. -Whoa.\Whoa! What's that? response:	Wow! I can't believe it! A Bulbasaur!
context: But we found it around the water and water is my specialty.\Go, Starmie!\Water gun now!\Now, that's the way to spray. Tackle it, Starmie!\That weakened it. Got to catch it now.\-Poke Ball, go! Uh-oh. -Whoa.\Whoa! What's that?\Wow! I can't believe it! A Bulbasaur! response:	Bulbasaur. It bears the seed of a plant on its back from birth.
context: Go, Starmie!\Water gun now!\Now, that's the way to spray. Tackle it, Starmie!\That weakened it. Got to catch it now.\-Poke Ball, go! Uh-oh. -Whoa.\Whoa! What's that?\Wow! I can't believe it! A Bulbasaur!\Bulbasaur. It bears the seed of a plant on its back from birth. response:	The seed slowly develops.
context: Water gun now!\Now, that's the way to spray. Tackle it, Starmie!\That weakened it. Got to catch it now.\-Poke Ball, go! Uh-oh. -Whoa.\Whoa! What's that?\Wow! I can't believe it! A Bulbasaur!\Bulbasaur. It bears the seed of a plant on its back from birth.\The seed slowly develops. response:	Researchers are unsure whether to classify Bulbasaur as a plant or animal.
context: Now, that's the way to spray. Tackle it, Starmie!\That weakened it. Got to catch it now.\-Poke Ball, go! Uh-oh. -Whoa.\Whoa! What's that?\Wow! I can't believe it! A Bulbasaur!\Bulbasaur. It bears the seed of a plant on its back from birth.\The seed slowly develops.\Researchers are unsure whether to classify Bulbasaur as a plant or animal. response:	Bulbasaur are extremely tough and very difficult to capture in the wild.
context: That weakened it. Got to catch it now.\-Poke Ball, go! Uh-oh. -Whoa.\Whoa! What's that?\Wow! I can't believe it! A Bulbasaur!\Bulbasaur. It bears the seed of a plant on its back from birth.\The seed slowly develops.\Researchers are unsure whether to classify Bulbasaur as a plant or animal.\Bulbasaur are extremely tough and very difficult to capture in the wild. response:	Bulbasaur!
context: -Poke Ball, go! Uh-oh. -Whoa.\Whoa! What's that?\Wow! I can't believe it! A Bulbasaur!\Bulbasaur. It bears the seed of a plant on its back from birth.\The seed slowly develops.\Researchers are unsure whether to classify Bulbasaur as a plant or animal.\Bulbasaur are extremely tough and very difficult to capture in the wild.\Bulbasaur! response:	-Oh! Oh, Starmie, are you okay? -Now it's my turn to try.
context: Whoa! What's that?\Wow! I can't believe it! A Bulbasaur!\Bulbasaur. It bears the seed of a plant on its back from birth.\The seed slowly develops.\Researchers are unsure whether to classify Bulbasaur as a plant or animal.\Bulbasaur are extremely tough and very difficult to capture in the wild.\Bulbasaur!\-Oh! Oh, Starmie, are you okay? -Now it's my turn to try. response:	Bulbasaur is mine! Butterfree, I choose you!
context: Wow! I can't believe it! A Bulbasaur!\Bulbasaur. It bears the seed of a plant on its back from birth.\The seed slowly develops.\Researchers are unsure whether to classify Bulbasaur as a plant or animal.\Bulbasaur are extremely tough and very difficult to capture in the wild.\Bulbasaur!\-Oh! Oh, Starmie, are you okay? -Now it's my turn to try.\Bulbasaur is mine! Butterfree, I choose you! response:	Butterfree, Sleep Powder!
context: Bulbasaur. It bears the seed of a plant on its back from birth.\The seed slowly develops.\Researchers are unsure whether to classify Bulbasaur as a plant or animal.\Bulbasaur are extremely tough and very difficult to capture in the wild.\Bulbasaur!\-Oh! Oh, Starmie, are you okay? -Now it's my turn to try.\Bulbasaur is mine! Butterfree, I choose you!\Butterfree, Sleep Powder! response:	Ah! Come on. Hang in there, Butterfree!
context: The seed slowly develops.\Researchers are unsure whether to classify Bulbasaur as a plant or animal.\Bulbasaur are extremely tough and very difficult to capture in the wild.\Bulbasaur!\-Oh! Oh, Starmie, are you okay? -Now it's my turn to try.\Bulbasaur is mine! Butterfree, I choose you!\Butterfree, Sleep Powder!\Ah! Come on. Hang in there, Butterfree! response:	Oh, no.
context: Researchers are unsure whether to classify Bulbasaur as a plant or animal.\Bulbasaur are extremely tough and very difficult to capture in the wild.\Bulbasaur!\-Oh! Oh, Starmie, are you okay? -Now it's my turn to try.\Bulbasaur is mine! Butterfree, I choose you!\Butterfree, Sleep Powder!\Ah! Come on. Hang in there, Butterfree!\Oh, no. response:	Oh, the Bulbasaur.
context: Bulbasaur are extremely tough and very difficult to capture in the wild.\Bulbasaur!\-Oh! Oh, Starmie, are you okay? -Now it's my turn to try.\Bulbasaur is mine! Butterfree, I choose you!\Butterfree, Sleep Powder!\Ah! Come on. Hang in there, Butterfree!\Oh, no.\Oh, the Bulbasaur. response:	-It's not fair! I want it! -Pika.
context: Bulbasaur!\-Oh! Oh, Starmie, are you okay? -Now it's my turn to try.\Bulbasaur is mine! Butterfree, I choose you!\Butterfree, Sleep Powder!\Ah! Come on. Hang in there, Butterfree!\Oh, no.\Oh, the Bulbasaur.\-It's not fair! I want it! -Pika. response:	Heh, I'll bet there are Bulbasaur all over this place.
context: -Oh! Oh, Starmie, are you okay? -Now it's my turn to try.\Bulbasaur is mine! Butterfree, I choose you!\Butterfree, Sleep Powder!\Ah! Come on. Hang in there, Butterfree!\Oh, no.\Oh, the Bulbasaur.\-It's not fair! I want it! -Pika.\Heh, I'll bet there are Bulbasaur all over this place. response:	-But where is this place? -I can't find this bridge on my map.
context: Bulbasaur is mine! Butterfree, I choose you!\Butterfree, Sleep Powder!\Ah! Come on. Hang in there, Butterfree!\Oh, no.\Oh, the Bulbasaur.\-It's not fair! I want it! -Pika.\Heh, I'll bet there are Bulbasaur all over this place.\-But where is this place? -I can't find this bridge on my map. response:	-Brock's falling. -Ah!
context: Butterfree, Sleep Powder!\Ah! Come on. Hang in there, Butterfree!\Oh, no.\Oh, the Bulbasaur.\-It's not fair! I want it! -Pika.\Heh, I'll bet there are Bulbasaur all over this place.\-But where is this place? -I can't find this bridge on my map.\-Brock's falling. -Ah! response:	Ash, you have to pull us back up! It's our only chance!
context: Ah! Come on. Hang in there, Butterfree!\Oh, no.\Oh, the Bulbasaur.\-It's not fair! I want it! -Pika.\Heh, I'll bet there are Bulbasaur all over this place.\-But where is this place? -I can't find this bridge on my map.\-Brock's falling. -Ah!\Ash, you have to pull us back up! It's our only chance! response:	-Pika! - I can't.
context: Oh, no.\Oh, the Bulbasaur.\-It's not fair! I want it! -Pika.\Heh, I'll bet there are Bulbasaur all over this place.\-But where is this place? -I can't find this bridge on my map.\-Brock's falling. -Ah!\Ash, you have to pull us back up! It's our only chance!\-Pika! - I can't. response:	Yes, you will! Just pull as hard as you can!
context: Oh, the Bulbasaur.\-It's not fair! I want it! -Pika.\Heh, I'll bet there are Bulbasaur all over this place.\-But where is this place? -I can't find this bridge on my map.\-Brock's falling. -Ah!\Ash, you have to pull us back up! It's our only chance!\-Pika! - I can't.\Yes, you will! Just pull as hard as you can! response:	- -Phew. I'm totally wiped out.
context: -It's not fair! I want it! -Pika.\Heh, I'll bet there are Bulbasaur all over this place.\-But where is this place? -I can't find this bridge on my map.\-Brock's falling. -Ah!\Ash, you have to pull us back up! It's our only chance!\-Pika! - I can't.\Yes, you will! Just pull as hard as you can!\- -Phew. I'm totally wiped out. response:	We can't rest now.
context: Heh, I'll bet there are Bulbasaur all over this place.\-But where is this place? -I can't find this bridge on my map.\-Brock's falling. -Ah!\Ash, you have to pull us back up! It's our only chance!\-Pika! - I can't.\Yes, you will! Just pull as hard as you can!\- -Phew. I'm totally wiped out.\We can't rest now. response:	-We've got to find Brock. -Right.
context: -But where is this place? -I can't find this bridge on my map.\-Brock's falling. -Ah!\Ash, you have to pull us back up! It's our only chance!\-Pika! - I can't.\Yes, you will! Just pull as hard as you can!\- -Phew. I'm totally wiped out.\We can't rest now.\-We've got to find Brock. -Right. response:	-Hurry up! -Pika!
context: -Brock's falling. -Ah!\Ash, you have to pull us back up! It's our only chance!\-Pika! - I can't.\Yes, you will! Just pull as hard as you can!\- -Phew. I'm totally wiped out.\We can't rest now.\-We've got to find Brock. -Right.\-Hurry up! -Pika! response:	-Argh! -Huh?
context: Ash, you have to pull us back up! It's our only chance!\-Pika! - I can't.\Yes, you will! Just pull as hard as you can!\- -Phew. I'm totally wiped out.\We can't rest now.\-We've got to find Brock. -Right.\-Hurry up! -Pika!\-Argh! -Huh? response:	-Whoa. How'd you get down there? -I fell in! How else?
context: -Pika! - I can't.\Yes, you will! Just pull as hard as you can!\- -Phew. I'm totally wiped out.\We can't rest now.\-We've got to find Brock. -Right.\-Hurry up! -Pika!\-Argh! -Huh?\-Whoa. How'd you get down there? -I fell in! How else? response:	-What's a trap doing here? -It seems pretty strange.
context: Yes, you will! Just pull as hard as you can!\- -Phew. I'm totally wiped out.\We can't rest now.\-We've got to find Brock. -Right.\-Hurry up! -Pika!\-Argh! -Huh?\-Whoa. How'd you get down there? -I fell in! How else?\-What's a trap doing here? -It seems pretty strange. response:	Just help me out, quick!
context: - -Phew. I'm totally wiped out.\We can't rest now.\-We've got to find Brock. -Right.\-Hurry up! -Pika!\-Argh! -Huh?\-Whoa. How'd you get down there? -I fell in! How else?\-What's a trap doing here? -It seems pretty strange.\Just help me out, quick! response:	-This is just not our day. -Pikachu.
context: We can't rest now.\-We've got to find Brock. -Right.\-Hurry up! -Pika!\-Argh! -Huh?\-Whoa. How'd you get down there? -I fell in! How else?\-What's a trap doing here? -It seems pretty strange.\Just help me out, quick!\-This is just not our day. -Pikachu. response:	Brock? Hey, Brock!
context: -We've got to find Brock. -Right.\-Hurry up! -Pika!\-Argh! -Huh?\-Whoa. How'd you get down there? -I fell in! How else?\-What's a trap doing here? -It seems pretty strange.\Just help me out, quick!\-This is just not our day. -Pikachu.\Brock? Hey, Brock! response:	Think he washed this far downstream?
context: -Hurry up! -Pika!\-Argh! -Huh?\-Whoa. How'd you get down there? -I fell in! How else?\-What's a trap doing here? -It seems pretty strange.\Just help me out, quick!\-This is just not our day. -Pikachu.\Brock? Hey, Brock!\Think he washed this far downstream? response:	Whoa!
context: -Argh! -Huh?\-Whoa. How'd you get down there? -I fell in! How else?\-What's a trap doing here? -It seems pretty strange.\Just help me out, quick!\-This is just not our day. -Pikachu.\Brock? Hey, Brock!\Think he washed this far downstream?\Whoa! response:	Hey, how'd we get up in a tree?
context: -Whoa. How'd you get down there? -I fell in! How else?\-What's a trap doing here? -It seems pretty strange.\Just help me out, quick!\-This is just not our day. -Pikachu.\Brock? Hey, Brock!\Think he washed this far downstream?\Whoa!\Hey, how'd we get up in a tree? response:	It's another trap! Do something!
context: -What's a trap doing here? -It seems pretty strange.\Just help me out, quick!\-This is just not our day. -Pikachu.\Brock? Hey, Brock!\Think he washed this far downstream?\Whoa!\Hey, how'd we get up in a tree?\It's another trap! Do something! response:	-What can I do? -Try wiggling. See if the net will open.
context: Just help me out, quick!\-This is just not our day. -Pikachu.\Brock? Hey, Brock!\Think he washed this far downstream?\Whoa!\Hey, how'd we get up in a tree?\It's another trap! Do something!\-What can I do? -Try wiggling. See if the net will open. response:	-Oh! -Oh, this is dumb!
context: -This is just not our day. -Pikachu.\Brock? Hey, Brock!\Think he washed this far downstream?\Whoa!\Hey, how'd we get up in a tree?\It's another trap! Do something!\-What can I do? -Try wiggling. See if the net will open.\-Oh! -Oh, this is dumb! response:	You got any better ideas, let's hear'em!
context: Brock? Hey, Brock!\Think he washed this far downstream?\Whoa!\Hey, how'd we get up in a tree?\It's another trap! Do something!\-What can I do? -Try wiggling. See if the net will open.\-Oh! -Oh, this is dumb!\You got any better ideas, let's hear'em! response:	-Pi! Pika, pi! -Bulbasaur!
context: Think he washed this far downstream?\Whoa!\Hey, how'd we get up in a tree?\It's another trap! Do something!\-What can I do? -Try wiggling. See if the net will open.\-Oh! -Oh, this is dumb!\You got any better ideas, let's hear'em!\-Pi! Pika, pi! -Bulbasaur! response:	-Huh? -Huh? Bulbasaur.
context: Whoa!\Hey, how'd we get up in a tree?\It's another trap! Do something!\-What can I do? -Try wiggling. See if the net will open.\-Oh! -Oh, this is dumb!\You got any better ideas, let's hear'em!\-Pi! Pika, pi! -Bulbasaur!\-Huh? -Huh? Bulbasaur. response:	Saur... Saur.
context: Hey, how'd we get up in a tree?\It's another trap! Do something!\-What can I do? -Try wiggling. See if the net will open.\-Oh! -Oh, this is dumb!\You got any better ideas, let's hear'em!\-Pi! Pika, pi! -Bulbasaur!\-Huh? -Huh? Bulbasaur.\Saur... Saur. response:	Hold it there, Bulbasaur! I want a match!
context: It's another trap! Do something!\-What can I do? -Try wiggling. See if the net will open.\-Oh! -Oh, this is dumb!\You got any better ideas, let's hear'em!\-Pi! Pika, pi! -Bulbasaur!\-Huh? -Huh? Bulbasaur.\Saur... Saur.\Hold it there, Bulbasaur! I want a match! response:	Now you're wiggling too much! Ouch, you kicked me!
context: -What can I do? -Try wiggling. See if the net will open.\-Oh! -Oh, this is dumb!\You got any better ideas, let's hear'em!\-Pi! Pika, pi! -Bulbasaur!\-Huh? -Huh? Bulbasaur.\Saur... Saur.\Hold it there, Bulbasaur! I want a match!\Now you're wiggling too much! Ouch, you kicked me! response:	Oh, Bulbasaur!
context: -Oh! -Oh, this is dumb!\You got any better ideas, let's hear'em!\-Pi! Pika, pi! -Bulbasaur!\-Huh? -Huh? Bulbasaur.\Saur... Saur.\Hold it there, Bulbasaur! I want a match!\Now you're wiggling too much! Ouch, you kicked me!\Oh, Bulbasaur! response:	The village we're looking for should be on the other side of that bridge.
context: You got any better ideas, let's hear'em!\-Pi! Pika, pi! -Bulbasaur!\-Huh? -Huh? Bulbasaur.\Saur... Saur.\Hold it there, Bulbasaur! I want a match!\Now you're wiggling too much! Ouch, you kicked me!\Oh, Bulbasaur!\The village we're looking for should be on the other side of that bridge. response:	Let's just hope the rumors are true.
context: -Pi! Pika, pi! -Bulbasaur!\-Huh? -Huh? Bulbasaur.\Saur... Saur.\Hold it there, Bulbasaur! I want a match!\Now you're wiggling too much! Ouch, you kicked me!\Oh, Bulbasaur!\The village we're looking for should be on the other side of that bridge.\Let's just hope the rumors are true. response:	Just wait and see what Team Rocket's got planned for you,
context: -Huh? -Huh? Bulbasaur.\Saur... Saur.\Hold it there, Bulbasaur! I want a match!\Now you're wiggling too much! Ouch, you kicked me!\Oh, Bulbasaur!\The village we're looking for should be on the other side of that bridge.\Let's just hope the rumors are true.\Just wait and see what Team Rocket's got planned for you, response:	you delicious little village.
context: Saur... Saur.\Hold it there, Bulbasaur! I want a match!\Now you're wiggling too much! Ouch, you kicked me!\Oh, Bulbasaur!\The village we're looking for should be on the other side of that bridge.\Let's just hope the rumors are true.\Just wait and see what Team Rocket's got planned for you,\you delicious little village. response:	Gee, I wonder what happened to Brock.
context: Hold it there, Bulbasaur! I want a match!\Now you're wiggling too much! Ouch, you kicked me!\Oh, Bulbasaur!\The village we're looking for should be on the other side of that bridge.\Let's just hope the rumors are true.\Just wait and see what Team Rocket's got planned for you,\you delicious little village.\Gee, I wonder what happened to Brock. response:	I wonder too.
context: Now you're wiggling too much! Ouch, you kicked me!\Oh, Bulbasaur!\The village we're looking for should be on the other side of that bridge.\Let's just hope the rumors are true.\Just wait and see what Team Rocket's got planned for you,\you delicious little village.\Gee, I wonder what happened to Brock.\I wonder too. response:	Maybe the river carried him far away, all the way to the ocean.
context: Oh, Bulbasaur!\The village we're looking for should be on the other side of that bridge.\Let's just hope the rumors are true.\Just wait and see what Team Rocket's got planned for you,\you delicious little village.\Gee, I wonder what happened to Brock.\I wonder too.\Maybe the river carried him far away, all the way to the ocean. response:	Then some pirates spotted him and brought him aboard their ship.
context: The village we're looking for should be on the other side of that bridge.\Let's just hope the rumors are true.\Just wait and see what Team Rocket's got planned for you,\you delicious little village.\Gee, I wonder what happened to Brock.\I wonder too.\Maybe the river carried him far away, all the way to the ocean.\Then some pirates spotted him and brought him aboard their ship. response:	And one of the pirates has a wooden leg.
context: Let's just hope the rumors are true.\Just wait and see what Team Rocket's got planned for you,\you delicious little village.\Gee, I wonder what happened to Brock.\I wonder too.\Maybe the river carried him far away, all the way to the ocean.\Then some pirates spotted him and brought him aboard their ship.\And one of the pirates has a wooden leg. response:	-You have a crazy imagination. -Pikachu!
context: Just wait and see what Team Rocket's got planned for you,\you delicious little village.\Gee, I wonder what happened to Brock.\I wonder too.\Maybe the river carried him far away, all the way to the ocean.\Then some pirates spotted him and brought him aboard their ship.\And one of the pirates has a wooden leg.\-You have a crazy imagination. -Pikachu! response:	Then came the storm.
context: you delicious little village.\Gee, I wonder what happened to Brock.\I wonder too.\Maybe the river carried him far away, all the way to the ocean.\Then some pirates spotted him and brought him aboard their ship.\And one of the pirates has a wooden leg.\-You have a crazy imagination. -Pikachu!\Then came the storm. response:	- Ahoy! - Huh?
