context: May 7th response:	After spending the rest of Golden Week studying with Oga Kazuomi and Onoya An (Support Division), Kaizaki Arata passed his fourth round of make-up tests.
context: Asking for advice is, technically, a change.\But I can't say for sure if it's a good sign.\I'll maintain my distance and observe...\Yeah, yeah, I'm about to send the report...\Suitability evaluation?\Subject... 002...\Kaizaki Arata. Twenty-seven.\Sociable and helpful, but unable to get steady work. response:	Half shut-in.
context: But I can't say for sure if it's a good sign.\I'll maintain my distance and observe...\Yeah, yeah, I'm about to send the report...\Suitability evaluation?\Subject... 002...\Kaizaki Arata. Twenty-seven.\Sociable and helpful, but unable to get steady work.\Half shut-in. response:	Prime candidate for subject no. 002.
context: I'll maintain my distance and observe...\Yeah, yeah, I'm about to send the report...\Suitability evaluation?\Subject... 002...\Kaizaki Arata. Twenty-seven.\Sociable and helpful, but unable to get steady work.\Half shut-in.\Prime candidate for subject no. 002. response:	He's serious.
context: Yeah, yeah, I'm about to send the report...\Suitability evaluation?\Subject... 002...\Kaizaki Arata. Twenty-seven.\Sociable and helpful, but unable to get steady work.\Half shut-in.\Prime candidate for subject no. 002.\He's serious. response:	A little gloomy looking, but...
context: Suitability evaluation?\Subject... 002...\Kaizaki Arata. Twenty-seven.\Sociable and helpful, but unable to get steady work.\Half shut-in.\Prime candidate for subject no. 002.\He's serious.\A little gloomy looking, but... response:	But I guess that's not unusual late-night convenience store service.
context: Subject... 002...\Kaizaki Arata. Twenty-seven.\Sociable and helpful, but unable to get steady work.\Half shut-in.\Prime candidate for subject no. 002.\He's serious.\A little gloomy looking, but...\But I guess that's not unusual late-night convenience store service. response:	Want me to warm that up?
context: Kaizaki Arata. Twenty-seven.\Sociable and helpful, but unable to get steady work.\Half shut-in.\Prime candidate for subject no. 002.\He's serious.\A little gloomy looking, but...\But I guess that's not unusual late-night convenience store service.\Want me to warm that up? response:	Nah, it's my breakfast.
context: Sociable and helpful, but unable to get steady work.\Half shut-in.\Prime candidate for subject no. 002.\He's serious.\A little gloomy looking, but...\But I guess that's not unusual late-night convenience store service.\Want me to warm that up?\Nah, it's my breakfast. response:	That'll be 627 yen.
context: Half shut-in.\Prime candidate for subject no. 002.\He's serious.\A little gloomy looking, but...\But I guess that's not unusual late-night convenience store service.\Want me to warm that up?\Nah, it's my breakfast.\That'll be 627 yen. response:	Do you have a point card?
context: Prime candidate for subject no. 002.\He's serious.\A little gloomy looking, but...\But I guess that's not unusual late-night convenience store service.\Want me to warm that up?\Nah, it's my breakfast.\That'll be 627 yen.\Do you have a point card? response:	Nah, I'm good.
context: He's serious.\A little gloomy looking, but...\But I guess that's not unusual late-night convenience store service.\Want me to warm that up?\Nah, it's my breakfast.\That'll be 627 yen.\Do you have a point card?\Nah, I'm good. response:	Exact change.
context: A little gloomy looking, but...\But I guess that's not unusual late-night convenience store service.\Want me to warm that up?\Nah, it's my breakfast.\That'll be 627 yen.\Do you have a point card?\Nah, I'm good.\Exact change. response:	Thank you!
context: But I guess that's not unusual late-night convenience store service.\Want me to warm that up?\Nah, it's my breakfast.\That'll be 627 yen.\Do you have a point card?\Nah, I'm good.\Exact change.\Thank you! response:	Sir!
context: Want me to warm that up?\Nah, it's my breakfast.\That'll be 627 yen.\Do you have a point card?\Nah, I'm good.\Exact change.\Thank you!\Sir! response:	Have you dropped your wallet?
context: Nah, it's my breakfast.\That'll be 627 yen.\Do you have a point card?\Nah, I'm good.\Exact change.\Thank you!\Sir!\Have you dropped your wallet? response:	Whoa, thank you!
context: That'll be 627 yen.\Do you have a point card?\Nah, I'm good.\Exact change.\Thank you!\Sir!\Have you dropped your wallet?\Whoa, thank you! response:	You're a life-saver!
context: Do you have a point card?\Nah, I'm good.\Exact change.\Thank you!\Sir!\Have you dropped your wallet?\Whoa, thank you!\You're a life-saver! response:	Don't mention it.
context: Nah, I'm good.\Exact change.\Thank you!\Sir!\Have you dropped your wallet?\Whoa, thank you!\You're a life-saver!\Don't mention it. response:	Please take care.
context: Exact change.\Thank you!\Sir!\Have you dropped your wallet?\Whoa, thank you!\You're a life-saver!\Don't mention it.\Please take care. response:	I thought I put it somewhere hard for him to spot.
context: Thank you!\Sir!\Have you dropped your wallet?\Whoa, thank you!\You're a life-saver!\Don't mention it.\Please take care.\I thought I put it somewhere hard for him to spot. response:	He sure saw it fast.
context: Sir!\Have you dropped your wallet?\Whoa, thank you!\You're a life-saver!\Don't mention it.\Please take care.\I thought I put it somewhere hard for him to spot.\He sure saw it fast. response:	Watches his surroundings.
context: Have you dropped your wallet?\Whoa, thank you!\You're a life-saver!\Don't mention it.\Please take care.\I thought I put it somewhere hard for him to spot.\He sure saw it fast.\Watches his surroundings. response:	Takes action.
context: Whoa, thank you!\You're a life-saver!\Don't mention it.\Please take care.\I thought I put it somewhere hard for him to spot.\He sure saw it fast.\Watches his surroundings.\Takes action. response:	Not bad.
context: You're a life-saver!\Don't mention it.\Please take care.\I thought I put it somewhere hard for him to spot.\He sure saw it fast.\Watches his surroundings.\Takes action.\Not bad. response:	A completely different type from subject no. 001.
context: Don't mention it.\Please take care.\I thought I put it somewhere hard for him to spot.\He sure saw it fast.\Watches his surroundings.\Takes action.\Not bad.\A completely different type from subject no. 001. response:	Senpai!
context: Please take care.\I thought I put it somewhere hard for him to spot.\He sure saw it fast.\Watches his surroundings.\Takes action.\Not bad.\A completely different type from subject no. 001.\Senpai! response:	Onoya? You came?
context: I thought I put it somewhere hard for him to spot.\He sure saw it fast.\Watches his surroundings.\Takes action.\Not bad.\A completely different type from subject no. 001.\Senpai!\Onoya? You came? response:	What are you doing here?
context: He sure saw it fast.\Watches his surroundings.\Takes action.\Not bad.\A completely different type from subject no. 001.\Senpai!\Onoya? You came?\What are you doing here? response:	Eval on Kaizaki Arata.
context: Watches his surroundings.\Takes action.\Not bad.\A completely different type from subject no. 001.\Senpai!\Onoya? You came?\What are you doing here?\Eval on Kaizaki Arata. response:	Why you, Senpai?
context: Takes action.\Not bad.\A completely different type from subject no. 001.\Senpai!\Onoya? You came?\What are you doing here?\Eval on Kaizaki Arata.\Why you, Senpai? response:	I want to be his support!
context: Not bad.\A completely different type from subject no. 001.\Senpai!\Onoya? You came?\What are you doing here?\Eval on Kaizaki Arata.\Why you, Senpai?\I want to be his support! response:	Are you trying to snatch him from me?
context: A completely different type from subject no. 001.\Senpai!\Onoya? You came?\What are you doing here?\Eval on Kaizaki Arata.\Why you, Senpai?\I want to be his support!\Are you trying to snatch him from me? response:	That accusation hurts.
context: Senpai!\Onoya? You came?\What are you doing here?\Eval on Kaizaki Arata.\Why you, Senpai?\I want to be his support!\Are you trying to snatch him from me?\That accusation hurts. response:	It was orders from above.
context: Onoya? You came?\What are you doing here?\Eval on Kaizaki Arata.\Why you, Senpai?\I want to be his support!\Are you trying to snatch him from me?\That accusation hurts.\It was orders from above. response:	Check out your junior's candidate.
context: What are you doing here?\Eval on Kaizaki Arata.\Why you, Senpai?\I want to be his support!\Are you trying to snatch him from me?\That accusation hurts.\It was orders from above.\Check out your junior's candidate. response:	Oh, is that all?
context: Eval on Kaizaki Arata.\Why you, Senpai?\I want to be his support!\Are you trying to snatch him from me?\That accusation hurts.\It was orders from above.\Check out your junior's candidate.\Oh, is that all? response:	What'd you think of him?
context: Why you, Senpai?\I want to be his support!\Are you trying to snatch him from me?\That accusation hurts.\It was orders from above.\Check out your junior's candidate.\Oh, is that all?\What'd you think of him? response:	Seems like a good guy, huh?
context: I want to be his support!\Are you trying to snatch him from me?\That accusation hurts.\It was orders from above.\Check out your junior's candidate.\Oh, is that all?\What'd you think of him?\Seems like a good guy, huh? response:	Are we gonna start him in the third year?
context: Are you trying to snatch him from me?\That accusation hurts.\It was orders from above.\Check out your junior's candidate.\Oh, is that all?\What'd you think of him?\Seems like a good guy, huh?\Are we gonna start him in the third year? response:	Looks like he'll have no problems socially, so that'd work fine.
context: That accusation hurts.\It was orders from above.\Check out your junior's candidate.\Oh, is that all?\What'd you think of him?\Seems like a good guy, huh?\Are we gonna start him in the third year?\Looks like he'll have no problems socially, so that'd work fine. response:	And how are you doing with subject no. 001?
context: It was orders from above.\Check out your junior's candidate.\Oh, is that all?\What'd you think of him?\Seems like a good guy, huh?\Are we gonna start him in the third year?\Looks like he'll have no problems socially, so that'd work fine.\And how are you doing with subject no. 001? response:	I'm doing my job.
context: Check out your junior's candidate.\Oh, is that all?\What'd you think of him?\Seems like a good guy, huh?\Are we gonna start him in the third year?\Looks like he'll have no problems socially, so that'd work fine.\And how are you doing with subject no. 001?\I'm doing my job. response:	Just the way the bosses want me to.
context: Oh, is that all?\What'd you think of him?\Seems like a good guy, huh?\Are we gonna start him in the third year?\Looks like he'll have no problems socially, so that'd work fine.\And how are you doing with subject no. 001?\I'm doing my job.\Just the way the bosses want me to. response:	Not that!
context: What'd you think of him?\Seems like a good guy, huh?\Are we gonna start him in the third year?\Looks like he'll have no problems socially, so that'd work fine.\And how are you doing with subject no. 001?\I'm doing my job.\Just the way the bosses want me to.\Not that! response:	I'm asking if the experiment will succeed or not...
context: Seems like a good guy, huh?\Are we gonna start him in the third year?\Looks like he'll have no problems socially, so that'd work fine.\And how are you doing with subject no. 001?\I'm doing my job.\Just the way the bosses want me to.\Not that!\I'm asking if the experiment will succeed or not... response:	Well, who knows?
context: Are we gonna start him in the third year?\Looks like he'll have no problems socially, so that'd work fine.\And how are you doing with subject no. 001?\I'm doing my job.\Just the way the bosses want me to.\Not that!\I'm asking if the experiment will succeed or not...\Well, who knows? response:	We're talking about a human being here. You never know what'll happen.
context: Looks like he'll have no problems socially, so that'd work fine.\And how are you doing with subject no. 001?\I'm doing my job.\Just the way the bosses want me to.\Not that!\I'm asking if the experiment will succeed or not...\Well, who knows?\We're talking about a human being here. You never know what'll happen. response:	What can you do to get results?
context: And how are you doing with subject no. 001?\I'm doing my job.\Just the way the bosses want me to.\Not that!\I'm asking if the experiment will succeed or not...\Well, who knows?\We're talking about a human being here. You never know what'll happen.\What can you do to get results? response:	How far can you push things?
context: I'm doing my job.\Just the way the bosses want me to.\Not that!\I'm asking if the experiment will succeed or not...\Well, who knows?\We're talking about a human being here. You never know what'll happen.\What can you do to get results?\How far can you push things? response:	It's hard to find the right distance.
context: Just the way the bosses want me to.\Not that!\I'm asking if the experiment will succeed or not...\Well, who knows?\We're talking about a human being here. You never know what'll happen.\What can you do to get results?\How far can you push things?\It's hard to find the right distance. response:	ReLIFE Experiment Report
context: Not that!\I'm asking if the experiment will succeed or not...\Well, who knows?\We're talking about a human being here. You never know what'll happen.\What can you do to get results?\How far can you push things?\It's hard to find the right distance.\ReLIFE Experiment Report response:	Handler: Yoake Ryo Subject:
context: I'm asking if the experiment will succeed or not...\Well, who knows?\We're talking about a human being here. You never know what'll happen.\What can you do to get results?\How far can you push things?\It's hard to find the right distance.\ReLIFE Experiment Report\Handler: Yoake Ryo Subject: response:	There was so much potential. How could this happen?
context: Well, who knows?\We're talking about a human being here. You never know what'll happen.\What can you do to get results?\How far can you push things?\It's hard to find the right distance.\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\There was so much potential. How could this happen? response:	Our branch's first subject, and this is the result?
context: We're talking about a human being here. You never know what'll happen.\What can you do to get results?\How far can you push things?\It's hard to find the right distance.\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\There was so much potential. How could this happen?\Our branch's first subject, and this is the result? response:	I'm ashamed to show my face around the other branches.
context: What can you do to get results?\How far can you push things?\It's hard to find the right distance.\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\There was so much potential. How could this happen?\Our branch's first subject, and this is the result?\I'm ashamed to show my face around the other branches. response:	ReLIFE Experiment Reports
context: How far can you push things?\It's hard to find the right distance.\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\There was so much potential. How could this happen?\Our branch's first subject, and this is the result?\I'm ashamed to show my face around the other branches.\ReLIFE Experiment Reports response:	A whole year without any change...
context: It's hard to find the right distance.\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\There was so much potential. How could this happen?\Our branch's first subject, and this is the result?\I'm ashamed to show my face around the other branches.\ReLIFE Experiment Reports\A whole year without any change... response:	Did you not do enough to support the subject?
context: ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\There was so much potential. How could this happen?\Our branch's first subject, and this is the result?\I'm ashamed to show my face around the other branches.\ReLIFE Experiment Reports\A whole year without any change...\Did you not do enough to support the subject? response:	ReLIFE Experiment Report
context: Handler: Yoake Ryo Subject:\There was so much potential. How could this happen?\Our branch's first subject, and this is the result?\I'm ashamed to show my face around the other branches.\ReLIFE Experiment Reports\A whole year without any change...\Did you not do enough to support the subject?\ReLIFE Experiment Report response:	Handler: Yoake Ryo Subject:
context: There was so much potential. How could this happen?\Our branch's first subject, and this is the result?\I'm ashamed to show my face around the other branches.\ReLIFE Experiment Reports\A whole year without any change...\Did you not do enough to support the subject?\ReLIFE Experiment Report\Handler: Yoake Ryo Subject: response:	Senpai...
context: Our branch's first subject, and this is the result?\I'm ashamed to show my face around the other branches.\ReLIFE Experiment Reports\A whole year without any change...\Did you not do enough to support the subject?\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\Senpai... response:	I've observed you for a year and reported on it.
context: I'm ashamed to show my face around the other branches.\ReLIFE Experiment Reports\A whole year without any change...\Did you not do enough to support the subject?\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\Senpai...\I've observed you for a year and reported on it. response:	But it seems like we'll be unable to set you up with any work.
context: ReLIFE Experiment Reports\A whole year without any change...\Did you not do enough to support the subject?\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\Senpai...\I've observed you for a year and reported on it.\But it seems like we'll be unable to set you up with any work. response:	I apologize.
context: A whole year without any change...\Did you not do enough to support the subject?\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\Senpai...\I've observed you for a year and reported on it.\But it seems like we'll be unable to set you up with any work.\I apologize. response:	My support wasn't good enough.
context: Did you not do enough to support the subject?\ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\Senpai...\I've observed you for a year and reported on it.\But it seems like we'll be unable to set you up with any work.\I apologize.\My support wasn't good enough. response:	What should I have done?
context: ReLIFE Experiment Report\Handler: Yoake Ryo Subject:\Senpai...\I've observed you for a year and reported on it.\But it seems like we'll be unable to set you up with any work.\I apologize.\My support wasn't good enough.\What should I have done? response:	They told me I was too involved.
context: Handler: Yoake Ryo Subject:\Senpai...\I've observed you for a year and reported on it.\But it seems like we'll be unable to set you up with any work.\I apologize.\My support wasn't good enough.\What should I have done?\They told me I was too involved. response:	So I stepped back.
context: Senpai...\I've observed you for a year and reported on it.\But it seems like we'll be unable to set you up with any work.\I apologize.\My support wasn't good enough.\What should I have done?\They told me I was too involved.\So I stepped back. response:	Then they told me I didn't do enough.
context: I've observed you for a year and reported on it.\But it seems like we'll be unable to set you up with any work.\I apologize.\My support wasn't good enough.\What should I have done?\They told me I was too involved.\So I stepped back.\Then they told me I didn't do enough. response:	A few minutes ago,
context: But it seems like we'll be unable to set you up with any work.\I apologize.\My support wasn't good enough.\What should I have done?\They told me I was too involved.\So I stepped back.\Then they told me I didn't do enough.\A few minutes ago, response:	we received word that they've picked Kaizaki Arata-san as subject no. 002.
context: I apologize.\My support wasn't good enough.\What should I have done?\They told me I was too involved.\So I stepped back.\Then they told me I didn't do enough.\A few minutes ago,\we received word that they've picked Kaizaki Arata-san as subject no. 002. response:	And his support...
context: My support wasn't good enough.\What should I have done?\They told me I was too involved.\So I stepped back.\Then they told me I didn't do enough.\A few minutes ago,\we received word that they've picked Kaizaki Arata-san as subject no. 002.\And his support... response:	Change of support for the start of the Kanto Branch's subject no. 002 experiment.
context: What should I have done?\They told me I was too involved.\So I stepped back.\Then they told me I didn't do enough.\A few minutes ago,\we received word that they've picked Kaizaki Arata-san as subject no. 002.\And his support...\Change of support for the start of the Kanto Branch's subject no. 002 experiment. response:	Support: Yoake Ryo
context: They told me I was too involved.\So I stepped back.\Then they told me I didn't do enough.\A few minutes ago,\we received word that they've picked Kaizaki Arata-san as subject no. 002.\And his support...\Change of support for the start of the Kanto Branch's subject no. 002 experiment.\Support: Yoake Ryo response:	It was you.
context: So I stepped back.\Then they told me I didn't do enough.\A few minutes ago,\we received word that they've picked Kaizaki Arata-san as subject no. 002.\And his support...\Change of support for the start of the Kanto Branch's subject no. 002 experiment.\Support: Yoake Ryo\It was you. response:	They said to start prepping at once.
context: Then they told me I didn't do enough.\A few minutes ago,\we received word that they've picked Kaizaki Arata-san as subject no. 002.\And his support...\Change of support for the start of the Kanto Branch's subject no. 002 experiment.\Support: Yoake Ryo\It was you.\They said to start prepping at once. response:	You don't have time to mope!
context: A few minutes ago,\we received word that they've picked Kaizaki Arata-san as subject no. 002.\And his support...\Change of support for the start of the Kanto Branch's subject no. 002 experiment.\Support: Yoake Ryo\It was you.\They said to start prepping at once.\You don't have time to mope! response:	Subject no. 002, Kaizaki Arata.
