context: And we broke response:	Everything that was right
context: A Tokoyami?\None of the other mushi-shi told you?\It's a mushi as pitch-black as pure darkness.\Your memories before a certain point have disappeared too, right?\It also eats memories.\So if you take it out,\I'll become normal again, right?\It's just a mushi trapped in your body. response:	Tokoyami don't attract other mushi.
context: None of the other mushi-shi told you?\It's a mushi as pitch-black as pure darkness.\Your memories before a certain point have disappeared too, right?\It also eats memories.\So if you take it out,\I'll become normal again, right?\It's just a mushi trapped in your body.\Tokoyami don't attract other mushi. response:	Sorry to say, but that's all you.
context: It's a mushi as pitch-black as pure darkness.\Your memories before a certain point have disappeared too, right?\It also eats memories.\So if you take it out,\I'll become normal again, right?\It's just a mushi trapped in your body.\Tokoyami don't attract other mushi.\Sorry to say, but that's all you. response:	People like you crop up every so often,
context: Your memories before a certain point have disappeared too, right?\It also eats memories.\So if you take it out,\I'll become normal again, right?\It's just a mushi trapped in your body.\Tokoyami don't attract other mushi.\Sorry to say, but that's all you.\People like you crop up every so often, response:	but no one's ever found a way to treat that condition.
context: It also eats memories.\So if you take it out,\I'll become normal again, right?\It's just a mushi trapped in your body.\Tokoyami don't attract other mushi.\Sorry to say, but that's all you.\People like you crop up every so often,\but no one's ever found a way to treat that condition. response:	Unfortunately, all you can do is accept it.
context: So if you take it out,\I'll become normal again, right?\It's just a mushi trapped in your body.\Tokoyami don't attract other mushi.\Sorry to say, but that's all you.\People like you crop up every so often,\but no one's ever found a way to treat that condition.\Unfortunately, all you can do is accept it. response:	In any case, I scattered the mushi that were surrounding you.
context: I'll become normal again, right?\It's just a mushi trapped in your body.\Tokoyami don't attract other mushi.\Sorry to say, but that's all you.\People like you crop up every so often,\but no one's ever found a way to treat that condition.\Unfortunately, all you can do is accept it.\In any case, I scattered the mushi that were surrounding you. response:	It should hold for a few days.
context: It's just a mushi trapped in your body.\Tokoyami don't attract other mushi.\Sorry to say, but that's all you.\People like you crop up every so often,\but no one's ever found a way to treat that condition.\Unfortunately, all you can do is accept it.\In any case, I scattered the mushi that were surrounding you.\It should hold for a few days. response:	Before you go, you should regain your strength so you don't collapse again.
context: Tokoyami don't attract other mushi.\Sorry to say, but that's all you.\People like you crop up every so often,\but no one's ever found a way to treat that condition.\Unfortunately, all you can do is accept it.\In any case, I scattered the mushi that were surrounding you.\It should hold for a few days.\Before you go, you should regain your strength so you don't collapse again. response:	Is there a River of Light here?
context: Sorry to say, but that's all you.\People like you crop up every so often,\but no one's ever found a way to treat that condition.\Unfortunately, all you can do is accept it.\In any case, I scattered the mushi that were surrounding you.\It should hold for a few days.\Before you go, you should regain your strength so you don't collapse again.\Is there a River of Light here? response:	Yeah, there is.
context: People like you crop up every so often,\but no one's ever found a way to treat that condition.\Unfortunately, all you can do is accept it.\In any case, I scattered the mushi that were surrounding you.\It should hold for a few days.\Before you go, you should regain your strength so you don't collapse again.\Is there a River of Light here?\Yeah, there is. response:	Then... that must have been the mountain lord.
context: but no one's ever found a way to treat that condition.\Unfortunately, all you can do is accept it.\In any case, I scattered the mushi that were surrounding you.\It should hold for a few days.\Before you go, you should regain your strength so you don't collapse again.\Is there a River of Light here?\Yeah, there is.\Then... that must have been the mountain lord. response:	You don't have to keep an eye on me, you know.
context: Unfortunately, all you can do is accept it.\In any case, I scattered the mushi that were surrounding you.\It should hold for a few days.\Before you go, you should regain your strength so you don't collapse again.\Is there a River of Light here?\Yeah, there is.\Then... that must have been the mountain lord.\You don't have to keep an eye on me, you know. response:	It's not like I'm going to settle down here.
context: In any case, I scattered the mushi that were surrounding you.\It should hold for a few days.\Before you go, you should regain your strength so you don't collapse again.\Is there a River of Light here?\Yeah, there is.\Then... that must have been the mountain lord.\You don't have to keep an eye on me, you know.\It's not like I'm going to settle down here. response:	Ginko, was it?
context: It should hold for a few days.\Before you go, you should regain your strength so you don't collapse again.\Is there a River of Light here?\Yeah, there is.\Then... that must have been the mountain lord.\You don't have to keep an eye on me, you know.\It's not like I'm going to settle down here.\Ginko, was it? response:	If you're well enough to walk, come with me.
context: Before you go, you should regain your strength so you don't collapse again.\Is there a River of Light here?\Yeah, there is.\Then... that must have been the mountain lord.\You don't have to keep an eye on me, you know.\It's not like I'm going to settle down here.\Ginko, was it?\If you're well enough to walk, come with me. response:	Did they teach you anything about basic herbs, at least?
context: Is there a River of Light here?\Yeah, there is.\Then... that must have been the mountain lord.\You don't have to keep an eye on me, you know.\It's not like I'm going to settle down here.\Ginko, was it?\If you're well enough to walk, come with me.\Did they teach you anything about basic herbs, at least? response:	A bit.
context: Yeah, there is.\Then... that must have been the mountain lord.\You don't have to keep an eye on me, you know.\It's not like I'm going to settle down here.\Ginko, was it?\If you're well enough to walk, come with me.\Did they teach you anything about basic herbs, at least?\A bit. response:	The herbs on this mountain are especially potent.
context: Then... that must have been the mountain lord.\You don't have to keep an eye on me, you know.\It's not like I'm going to settle down here.\Ginko, was it?\If you're well enough to walk, come with me.\Did they teach you anything about basic herbs, at least?\A bit.\The herbs on this mountain are especially potent. response:	Take some with you.
context: You don't have to keep an eye on me, you know.\It's not like I'm going to settle down here.\Ginko, was it?\If you're well enough to walk, come with me.\Did they teach you anything about basic herbs, at least?\A bit.\The herbs on this mountain are especially potent.\Take some with you. response:	Learn how to make mushi-repellent cigarettes yourself, too.
context: It's not like I'm going to settle down here.\Ginko, was it?\If you're well enough to walk, come with me.\Did they teach you anything about basic herbs, at least?\A bit.\The herbs on this mountain are especially potent.\Take some with you.\Learn how to make mushi-repellent cigarettes yourself, too. response:	It won't just lessen the effect you have on your surroundings.
context: Ginko, was it?\If you're well enough to walk, come with me.\Did they teach you anything about basic herbs, at least?\A bit.\The herbs on this mountain are especially potent.\Take some with you.\Learn how to make mushi-repellent cigarettes yourself, too.\It won't just lessen the effect you have on your surroundings. response:	It'll also protect you from any mushi-related diseases.
context: If you're well enough to walk, come with me.\Did they teach you anything about basic herbs, at least?\A bit.\The herbs on this mountain are especially potent.\Take some with you.\Learn how to make mushi-repellent cigarettes yourself, too.\It won't just lessen the effect you have on your surroundings.\It'll also protect you from any mushi-related diseases. response:	A beautiful place, isn't it?
context: Did they teach you anything about basic herbs, at least?\A bit.\The herbs on this mountain are especially potent.\Take some with you.\Learn how to make mushi-repellent cigarettes yourself, too.\It won't just lessen the effect you have on your surroundings.\It'll also protect you from any mushi-related diseases.\A beautiful place, isn't it? response:	I can't let you stay for long,
context: A bit.\The herbs on this mountain are especially potent.\Take some with you.\Learn how to make mushi-repellent cigarettes yourself, too.\It won't just lessen the effect you have on your surroundings.\It'll also protect you from any mushi-related diseases.\A beautiful place, isn't it?\I can't let you stay for long, response:	but if you stop by once in a while just to say hello,
context: The herbs on this mountain are especially potent.\Take some with you.\Learn how to make mushi-repellent cigarettes yourself, too.\It won't just lessen the effect you have on your surroundings.\It'll also protect you from any mushi-related diseases.\A beautiful place, isn't it?\I can't let you stay for long,\but if you stop by once in a while just to say hello, response:	I'm sure the mountain lord won't mind too much.
context: Take some with you.\Learn how to make mushi-repellent cigarettes yourself, too.\It won't just lessen the effect you have on your surroundings.\It'll also protect you from any mushi-related diseases.\A beautiful place, isn't it?\I can't let you stay for long,\but if you stop by once in a while just to say hello,\I'm sure the mountain lord won't mind too much. response:	Hey, Suguro.
context: Learn how to make mushi-repellent cigarettes yourself, too.\It won't just lessen the effect you have on your surroundings.\It'll also protect you from any mushi-related diseases.\A beautiful place, isn't it?\I can't let you stay for long,\but if you stop by once in a while just to say hello,\I'm sure the mountain lord won't mind too much.\Hey, Suguro. response:	Hey.
context: It won't just lessen the effect you have on your surroundings.\It'll also protect you from any mushi-related diseases.\A beautiful place, isn't it?\I can't let you stay for long,\but if you stop by once in a while just to say hello,\I'm sure the mountain lord won't mind too much.\Hey, Suguro.\Hey. response:	That boy's not from around here, is he?
context: It'll also protect you from any mushi-related diseases.\A beautiful place, isn't it?\I can't let you stay for long,\but if you stop by once in a while just to say hello,\I'm sure the mountain lord won't mind too much.\Hey, Suguro.\Hey.\That boy's not from around here, is he? response:	I'm just looking after him for a little while.
context: A beautiful place, isn't it?\I can't let you stay for long,\but if you stop by once in a while just to say hello,\I'm sure the mountain lord won't mind too much.\Hey, Suguro.\Hey.\That boy's not from around here, is he?\I'm just looking after him for a little while. response:	You could say he's my apprentice.
context: I can't let you stay for long,\but if you stop by once in a while just to say hello,\I'm sure the mountain lord won't mind too much.\Hey, Suguro.\Hey.\That boy's not from around here, is he?\I'm just looking after him for a little while.\You could say he's my apprentice. response:	Hey, where are your manners?
context: but if you stop by once in a while just to say hello,\I'm sure the mountain lord won't mind too much.\Hey, Suguro.\Hey.\That boy's not from around here, is he?\I'm just looking after him for a little while.\You could say he's my apprentice.\Hey, where are your manners? response:	Hello.
context: I'm sure the mountain lord won't mind too much.\Hey, Suguro.\Hey.\That boy's not from around here, is he?\I'm just looking after him for a little while.\You could say he's my apprentice.\Hey, where are your manners?\Hello. response:	I see.
context: Hey, Suguro.\Hey.\That boy's not from around here, is he?\I'm just looking after him for a little while.\You could say he's my apprentice.\Hey, where are your manners?\Hello.\I see. response:	Well, good luck to you, kiddo.
context: Hey.\That boy's not from around here, is he?\I'm just looking after him for a little while.\You could say he's my apprentice.\Hey, where are your manners?\Hello.\I see.\Well, good luck to you, kiddo. response:	So, how are things looking?
context: That boy's not from around here, is he?\I'm just looking after him for a little while.\You could say he's my apprentice.\Hey, where are your manners?\Hello.\I see.\Well, good luck to you, kiddo.\So, how are things looking? response:	Do we have a new mountain lord yet?
context: I'm just looking after him for a little while.\You could say he's my apprentice.\Hey, where are your manners?\Hello.\I see.\Well, good luck to you, kiddo.\So, how are things looking?\Do we have a new mountain lord yet? response:	No, not yet.
context: You could say he's my apprentice.\Hey, where are your manners?\Hello.\I see.\Well, good luck to you, kiddo.\So, how are things looking?\Do we have a new mountain lord yet?\No, not yet. response:	Shouldn't a new one have been born by now?
context: Hey, where are your manners?\Hello.\I see.\Well, good luck to you, kiddo.\So, how are things looking?\Do we have a new mountain lord yet?\No, not yet.\Shouldn't a new one have been born by now? response:	Yeah...
context: Hello.\I see.\Well, good luck to you, kiddo.\So, how are things looking?\Do we have a new mountain lord yet?\No, not yet.\Shouldn't a new one have been born by now?\Yeah... response:	Come now, there's no reason to be so concerned.
context: I see.\Well, good luck to you, kiddo.\So, how are things looking?\Do we have a new mountain lord yet?\No, not yet.\Shouldn't a new one have been born by now?\Yeah...\Come now, there's no reason to be so concerned. response:	Worrying won't make a difference.
context: Well, good luck to you, kiddo.\So, how are things looking?\Do we have a new mountain lord yet?\No, not yet.\Shouldn't a new one have been born by now?\Yeah...\Come now, there's no reason to be so concerned.\Worrying won't make a difference. response:	The flowers will bloom and bear fruit like they do every year.
context: So, how are things looking?\Do we have a new mountain lord yet?\No, not yet.\Shouldn't a new one have been born by now?\Yeah...\Come now, there's no reason to be so concerned.\Worrying won't make a difference.\The flowers will bloom and bear fruit like they do every year. response:	That's simply the natural order of things.
context: Do we have a new mountain lord yet?\No, not yet.\Shouldn't a new one have been born by now?\Yeah...\Come now, there's no reason to be so concerned.\Worrying won't make a difference.\The flowers will bloom and bear fruit like they do every year.\That's simply the natural order of things. response:	What was all that talk about a new mountain lord?
context: No, not yet.\Shouldn't a new one have been born by now?\Yeah...\Come now, there's no reason to be so concerned.\Worrying won't make a difference.\The flowers will bloom and bear fruit like they do every year.\That's simply the natural order of things.\What was all that talk about a new mountain lord? response:	Even mountain lords are mortal.
context: Shouldn't a new one have been born by now?\Yeah...\Come now, there's no reason to be so concerned.\Worrying won't make a difference.\The flowers will bloom and bear fruit like they do every year.\That's simply the natural order of things.\What was all that talk about a new mountain lord?\Even mountain lords are mortal. response:	The one here is nearing the end of its life.
context: Yeah...\Come now, there's no reason to be so concerned.\Worrying won't make a difference.\The flowers will bloom and bear fruit like they do every year.\That's simply the natural order of things.\What was all that talk about a new mountain lord?\Even mountain lords are mortal.\The one here is nearing the end of its life. response:	But for some reason, we still haven't seen any sign of its successor.
context: Come now, there's no reason to be so concerned.\Worrying won't make a difference.\The flowers will bloom and bear fruit like they do every year.\That's simply the natural order of things.\What was all that talk about a new mountain lord?\Even mountain lords are mortal.\The one here is nearing the end of its life.\But for some reason, we still haven't seen any sign of its successor. response:	If there's no lord when this one dies, these mountains will decline.
context: Worrying won't make a difference.\The flowers will bloom and bear fruit like they do every year.\That's simply the natural order of things.\What was all that talk about a new mountain lord?\Even mountain lords are mortal.\The one here is nearing the end of its life.\But for some reason, we still haven't seen any sign of its successor.\If there's no lord when this one dies, these mountains will decline. response:	That's what has everyone so worried.
context: The flowers will bloom and bear fruit like they do every year.\That's simply the natural order of things.\What was all that talk about a new mountain lord?\Even mountain lords are mortal.\The one here is nearing the end of its life.\But for some reason, we still haven't seen any sign of its successor.\If there's no lord when this one dies, these mountains will decline.\That's what has everyone so worried. response:	If one never showed up, what would that mean?
context: That's simply the natural order of things.\What was all that talk about a new mountain lord?\Even mountain lords are mortal.\The one here is nearing the end of its life.\But for some reason, we still haven't seen any sign of its successor.\If there's no lord when this one dies, these mountains will decline.\That's what has everyone so worried.\If one never showed up, what would that mean? response:	In time, the whole world would fall apart.
context: What was all that talk about a new mountain lord?\Even mountain lords are mortal.\The one here is nearing the end of its life.\But for some reason, we still haven't seen any sign of its successor.\If there's no lord when this one dies, these mountains will decline.\That's what has everyone so worried.\If one never showed up, what would that mean?\In time, the whole world would fall apart. response:	It's like I mentioned.
context: Even mountain lords are mortal.\The one here is nearing the end of its life.\But for some reason, we still haven't seen any sign of its successor.\If there's no lord when this one dies, these mountains will decline.\That's what has everyone so worried.\If one never showed up, what would that mean?\In time, the whole world would fall apart.\It's like I mentioned. response:	The lack of a mountain lord would be like flowers not blooming in the springtime.
context: The one here is nearing the end of its life.\But for some reason, we still haven't seen any sign of its successor.\If there's no lord when this one dies, these mountains will decline.\That's what has everyone so worried.\If one never showed up, what would that mean?\In time, the whole world would fall apart.\It's like I mentioned.\The lack of a mountain lord would be like flowers not blooming in the springtime. response:	They are embodiments of the natural order of life.
context: But for some reason, we still haven't seen any sign of its successor.\If there's no lord when this one dies, these mountains will decline.\That's what has everyone so worried.\If one never showed up, what would that mean?\In time, the whole world would fall apart.\It's like I mentioned.\The lack of a mountain lord would be like flowers not blooming in the springtime.\They are embodiments of the natural order of life. response:	Mountain lords signify the bond between the mountains and the natural order itself.
context: If there's no lord when this one dies, these mountains will decline.\That's what has everyone so worried.\If one never showed up, what would that mean?\In time, the whole world would fall apart.\It's like I mentioned.\The lack of a mountain lord would be like flowers not blooming in the springtime.\They are embodiments of the natural order of life.\Mountain lords signify the bond between the mountains and the natural order itself. response:	Huh?
context: That's what has everyone so worried.\If one never showed up, what would that mean?\In time, the whole world would fall apart.\It's like I mentioned.\The lack of a mountain lord would be like flowers not blooming in the springtime.\They are embodiments of the natural order of life.\Mountain lords signify the bond between the mountains and the natural order itself.\Huh? response:	The mountain lord isn't watching me anymore.
context: If one never showed up, what would that mean?\In time, the whole world would fall apart.\It's like I mentioned.\The lack of a mountain lord would be like flowers not blooming in the springtime.\They are embodiments of the natural order of life.\Mountain lords signify the bond between the mountains and the natural order itself.\Huh?\The mountain lord isn't watching me anymore. response:	What's wrong?
context: In time, the whole world would fall apart.\It's like I mentioned.\The lack of a mountain lord would be like flowers not blooming in the springtime.\They are embodiments of the natural order of life.\Mountain lords signify the bond between the mountains and the natural order itself.\Huh?\The mountain lord isn't watching me anymore.\What's wrong? response:	I think the mountain lord has passed away.
context: It's like I mentioned.\The lack of a mountain lord would be like flowers not blooming in the springtime.\They are embodiments of the natural order of life.\Mountain lords signify the bond between the mountains and the natural order itself.\Huh?\The mountain lord isn't watching me anymore.\What's wrong?\I think the mountain lord has passed away. response:	I'll go take a look around.
context: The lack of a mountain lord would be like flowers not blooming in the springtime.\They are embodiments of the natural order of life.\Mountain lords signify the bond between the mountains and the natural order itself.\Huh?\The mountain lord isn't watching me anymore.\What's wrong?\I think the mountain lord has passed away.\I'll go take a look around. response:	You stay here.
context: They are embodiments of the natural order of life.\Mountain lords signify the bond between the mountains and the natural order itself.\Huh?\The mountain lord isn't watching me anymore.\What's wrong?\I think the mountain lord has passed away.\I'll go take a look around.\You stay here. response:	Did this happen because of me?
context: Mountain lords signify the bond between the mountains and the natural order itself.\Huh?\The mountain lord isn't watching me anymore.\What's wrong?\I think the mountain lord has passed away.\I'll go take a look around.\You stay here.\Did this happen because of me? response:	Didn't I tell you it was on its last legs?
context: Huh?\The mountain lord isn't watching me anymore.\What's wrong?\I think the mountain lord has passed away.\I'll go take a look around.\You stay here.\Did this happen because of me?\Didn't I tell you it was on its last legs? response:	However, its successor still hasn't appeared.
context: The mountain lord isn't watching me anymore.\What's wrong?\I think the mountain lord has passed away.\I'll go take a look around.\You stay here.\Did this happen because of me?\Didn't I tell you it was on its last legs?\However, its successor still hasn't appeared. response:	There's unrest in the mountains.
