context: TS response:	Where did those monsters come from?
context: I've decided to always speak out my mind.\This is an announcement by the security department regarding the earlier blackout.\Nothing went faulty?!\Our power provider terminated our contract\and cut off the power supply.\They terminated the contract?\What about our own generators?\The provider was supposed to be only a backup! response:	The generators have been stopped since yesterday for an emergency examination.
context: This is an announcement by the security department regarding the earlier blackout.\Nothing went faulty?!\Our power provider terminated our contract\and cut off the power supply.\They terminated the contract?\What about our own generators?\The provider was supposed to be only a backup!\The generators have been stopped since yesterday for an emergency examination. response:	Orders from above.
context: Nothing went faulty?!\Our power provider terminated our contract\and cut off the power supply.\They terminated the contract?\What about our own generators?\The provider was supposed to be only a backup!\The generators have been stopped since yesterday for an emergency examination.\Orders from above. response:	Above?
context: Our power provider terminated our contract\and cut off the power supply.\They terminated the contract?\What about our own generators?\The provider was supposed to be only a backup!\The generators have been stopped since yesterday for an emergency examination.\Orders from above.\Above? response:	You mean the actual parent company?
context: and cut off the power supply.\They terminated the contract?\What about our own generators?\The provider was supposed to be only a backup!\The generators have been stopped since yesterday for an emergency examination.\Orders from above.\Above?\You mean the actual parent company? response:	The Big Blue World?
context: They terminated the contract?\What about our own generators?\The provider was supposed to be only a backup!\The generators have been stopped since yesterday for an emergency examination.\Orders from above.\Above?\You mean the actual parent company?\The Big Blue World? response:	Cristophe, what's going on?!
context: What about our own generators?\The provider was supposed to be only a backup!\The generators have been stopped since yesterday for an emergency examination.\Orders from above.\Above?\You mean the actual parent company?\The Big Blue World?\Cristophe, what's going on?! response:	Explain to me what's going on with the people above us!
context: The provider was supposed to be only a backup!\The generators have been stopped since yesterday for an emergency examination.\Orders from above.\Above?\You mean the actual parent company?\The Big Blue World?\Cristophe, what's going on?!\Explain to me what's going on with the people above us! response:	Sorry, I'm still jetlagged...
context: The generators have been stopped since yesterday for an emergency examination.\Orders from above.\Above?\You mean the actual parent company?\The Big Blue World?\Cristophe, what's going on?!\Explain to me what's going on with the people above us!\Sorry, I'm still jetlagged... response:	Just give me a few more minutes...
context: Orders from above.\Above?\You mean the actual parent company?\The Big Blue World?\Cristophe, what's going on?!\Explain to me what's going on with the people above us!\Sorry, I'm still jetlagged...\Just give me a few more minutes... response:	Hey, Blanc! Hey!
context: Above?\You mean the actual parent company?\The Big Blue World?\Cristophe, what's going on?!\Explain to me what's going on with the people above us!\Sorry, I'm still jetlagged...\Just give me a few more minutes...\Hey, Blanc! Hey! response:	Let me confirm the conditions once again.
context: You mean the actual parent company?\The Big Blue World?\Cristophe, what's going on?!\Explain to me what's going on with the people above us!\Sorry, I'm still jetlagged...\Just give me a few more minutes...\Hey, Blanc! Hey!\Let me confirm the conditions once again. response:	Very well.
context: The Big Blue World?\Cristophe, what's going on?!\Explain to me what's going on with the people above us!\Sorry, I'm still jetlagged...\Just give me a few more minutes...\Hey, Blanc! Hey!\Let me confirm the conditions once again.\Very well. response:	The precondition is that in the case of my death,
context: Cristophe, what's going on?!\Explain to me what's going on with the people above us!\Sorry, I'm still jetlagged...\Just give me a few more minutes...\Hey, Blanc! Hey!\Let me confirm the conditions once again.\Very well.\The precondition is that in the case of my death, response:	my daughter, Fleur Blanc, will inherit this contract.
context: Explain to me what's going on with the people above us!\Sorry, I'm still jetlagged...\Just give me a few more minutes...\Hey, Blanc! Hey!\Let me confirm the conditions once again.\Very well.\The precondition is that in the case of my death,\my daughter, Fleur Blanc, will inherit this contract. response:	Did something happen to the president?
context: Sorry, I'm still jetlagged...\Just give me a few more minutes...\Hey, Blanc! Hey!\Let me confirm the conditions once again.\Very well.\The precondition is that in the case of my death,\my daughter, Fleur Blanc, will inherit this contract.\Did something happen to the president? response:	It seems things aren't going too smoothly with the big ones.
context: Just give me a few more minutes...\Hey, Blanc! Hey!\Let me confirm the conditions once again.\Very well.\The precondition is that in the case of my death,\my daughter, Fleur Blanc, will inherit this contract.\Did something happen to the president?\It seems things aren't going too smoothly with the big ones. response:	Big ones?
context: Hey, Blanc! Hey!\Let me confirm the conditions once again.\Very well.\The precondition is that in the case of my death,\my daughter, Fleur Blanc, will inherit this contract.\Did something happen to the president?\It seems things aren't going too smoothly with the big ones.\Big ones? response:	When Cristophe learned that there's a way to stop Scub Bursts,
context: Let me confirm the conditions once again.\Very well.\The precondition is that in the case of my death,\my daughter, Fleur Blanc, will inherit this contract.\Did something happen to the president?\It seems things aren't going too smoothly with the big ones.\Big ones?\When Cristophe learned that there's a way to stop Scub Bursts, response:	he set up an international rescue team right away.
context: Very well.\The precondition is that in the case of my death,\my daughter, Fleur Blanc, will inherit this contract.\Did something happen to the president?\It seems things aren't going too smoothly with the big ones.\Big ones?\When Cristophe learned that there's a way to stop Scub Bursts,\he set up an international rescue team right away. response:	But he needed an enormous amount of funding, so he used an American PR company's help.
context: The precondition is that in the case of my death,\my daughter, Fleur Blanc, will inherit this contract.\Did something happen to the president?\It seems things aren't going too smoothly with the big ones.\Big ones?\When Cristophe learned that there's a way to stop Scub Bursts,\he set up an international rescue team right away.\But he needed an enormous amount of funding, so he used an American PR company's help. response:	Hey, Fleur! I heard you successfully activated your Third Engine.
context: my daughter, Fleur Blanc, will inherit this contract.\Did something happen to the president?\It seems things aren't going too smoothly with the big ones.\Big ones?\When Cristophe learned that there's a way to stop Scub Bursts,\he set up an international rescue team right away.\But he needed an enormous amount of funding, so he used an American PR company's help.\Hey, Fleur! I heard you successfully activated your Third Engine. response:	That's amazing!
context: Did something happen to the president?\It seems things aren't going too smoothly with the big ones.\Big ones?\When Cristophe learned that there's a way to stop Scub Bursts,\he set up an international rescue team right away.\But he needed an enormous amount of funding, so he used an American PR company's help.\Hey, Fleur! I heard you successfully activated your Third Engine.\That's amazing! response:	Is it our fault?
context: It seems things aren't going too smoothly with the big ones.\Big ones?\When Cristophe learned that there's a way to stop Scub Bursts,\he set up an international rescue team right away.\But he needed an enormous amount of funding, so he used an American PR company's help.\Hey, Fleur! I heard you successfully activated your Third Engine.\That's amazing!\Is it our fault? response:	Is it because Elena and I brought Ao back
context: Big ones?\When Cristophe learned that there's a way to stop Scub Bursts,\he set up an international rescue team right away.\But he needed an enormous amount of funding, so he used an American PR company's help.\Hey, Fleur! I heard you successfully activated your Third Engine.\That's amazing!\Is it our fault?\Is it because Elena and I brought Ao back response:	the Americans and the Big Blue World are making a fuss?
context: When Cristophe learned that there's a way to stop Scub Bursts,\he set up an international rescue team right away.\But he needed an enormous amount of funding, so he used an American PR company's help.\Hey, Fleur! I heard you successfully activated your Third Engine.\That's amazing!\Is it our fault?\Is it because Elena and I brought Ao back\the Americans and the Big Blue World are making a fuss? response:	Fleur, to be honest, that's definitely part of the reason.
context: he set up an international rescue team right away.\But he needed an enormous amount of funding, so he used an American PR company's help.\Hey, Fleur! I heard you successfully activated your Third Engine.\That's amazing!\Is it our fault?\Is it because Elena and I brought Ao back\the Americans and the Big Blue World are making a fuss?\Fleur, to be honest, that's definitely part of the reason. response:	So it's my fault then!
context: But he needed an enormous amount of funding, so he used an American PR company's help.\Hey, Fleur! I heard you successfully activated your Third Engine.\That's amazing!\Is it our fault?\Is it because Elena and I brought Ao back\the Americans and the Big Blue World are making a fuss?\Fleur, to be honest, that's definitely part of the reason.\So it's my fault then! response:	Then you should just punish us.
context: Hey, Fleur! I heard you successfully activated your Third Engine.\That's amazing!\Is it our fault?\Is it because Elena and I brought Ao back\the Americans and the Big Blue World are making a fuss?\Fleur, to be honest, that's definitely part of the reason.\So it's my fault then!\Then you should just punish us. response:	You don't need to be so protective just because I'm your daughter.
context: That's amazing!\Is it our fault?\Is it because Elena and I brought Ao back\the Americans and the Big Blue World are making a fuss?\Fleur, to be honest, that's definitely part of the reason.\So it's my fault then!\Then you should just punish us.\You don't need to be so protective just because I'm your daughter. response:	Yeah, I've been protective of you this entire time.
context: Is it our fault?\Is it because Elena and I brought Ao back\the Americans and the Big Blue World are making a fuss?\Fleur, to be honest, that's definitely part of the reason.\So it's my fault then!\Then you should just punish us.\You don't need to be so protective just because I'm your daughter.\Yeah, I've been protective of you this entire time. response:	When you kept saying you wanted to pilot an IFO,
context: Is it because Elena and I brought Ao back\the Americans and the Big Blue World are making a fuss?\Fleur, to be honest, that's definitely part of the reason.\So it's my fault then!\Then you should just punish us.\You don't need to be so protective just because I'm your daughter.\Yeah, I've been protective of you this entire time.\When you kept saying you wanted to pilot an IFO, response:	I didn't allow it until we had enough data to ensure your safety.
context: the Americans and the Big Blue World are making a fuss?\Fleur, to be honest, that's definitely part of the reason.\So it's my fault then!\Then you should just punish us.\You don't need to be so protective just because I'm your daughter.\Yeah, I've been protective of you this entire time.\When you kept saying you wanted to pilot an IFO,\I didn't allow it until we had enough data to ensure your safety. response:	But I never stopped you from becoming a pilot.
context: Fleur, to be honest, that's definitely part of the reason.\So it's my fault then!\Then you should just punish us.\You don't need to be so protective just because I'm your daughter.\Yeah, I've been protective of you this entire time.\When you kept saying you wanted to pilot an IFO,\I didn't allow it until we had enough data to ensure your safety.\But I never stopped you from becoming a pilot. response:	I wanted you to be proud of your life.
context: So it's my fault then!\Then you should just punish us.\You don't need to be so protective just because I'm your daughter.\Yeah, I've been protective of you this entire time.\When you kept saying you wanted to pilot an IFO,\I didn't allow it until we had enough data to ensure your safety.\But I never stopped you from becoming a pilot.\I wanted you to be proud of your life. response:	Oh, right!
context: Then you should just punish us.\You don't need to be so protective just because I'm your daughter.\Yeah, I've been protective of you this entire time.\When you kept saying you wanted to pilot an IFO,\I didn't allow it until we had enough data to ensure your safety.\But I never stopped you from becoming a pilot.\I wanted you to be proud of your life.\Oh, right! response:	The company hereby stops eliminating Secrets.
context: You don't need to be so protective just because I'm your daughter.\Yeah, I've been protective of you this entire time.\When you kept saying you wanted to pilot an IFO,\I didn't allow it until we had enough data to ensure your safety.\But I never stopped you from becoming a pilot.\I wanted you to be proud of your life.\Oh, right!\The company hereby stops eliminating Secrets. response:	What?
context: Yeah, I've been protective of you this entire time.\When you kept saying you wanted to pilot an IFO,\I didn't allow it until we had enough data to ensure your safety.\But I never stopped you from becoming a pilot.\I wanted you to be proud of your life.\Oh, right!\The company hereby stops eliminating Secrets.\What? response:	Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral.
context: When you kept saying you wanted to pilot an IFO,\I didn't allow it until we had enough data to ensure your safety.\But I never stopped you from becoming a pilot.\I wanted you to be proud of your life.\Oh, right!\The company hereby stops eliminating Secrets.\What?\Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral. response:	Based on the earlier UN decision,
context: I didn't allow it until we had enough data to ensure your safety.\But I never stopped you from becoming a pilot.\I wanted you to be proud of your life.\Oh, right!\The company hereby stops eliminating Secrets.\What?\Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral.\Based on the earlier UN decision, response:	the Big Blue World apologizes for Generation Bleu's actions of international hostility.
context: But I never stopped you from becoming a pilot.\I wanted you to be proud of your life.\Oh, right!\The company hereby stops eliminating Secrets.\What?\Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral.\Based on the earlier UN decision,\the Big Blue World apologizes for Generation Bleu's actions of international hostility. response:	We have advised President Cristophe Blanc to restructure the company.
context: I wanted you to be proud of your life.\Oh, right!\The company hereby stops eliminating Secrets.\What?\Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral.\Based on the earlier UN decision,\the Big Blue World apologizes for Generation Bleu's actions of international hostility.\We have advised President Cristophe Blanc to restructure the company. response:	Based on our stake in the company, this is an official announcement of the cessation of business.
context: Oh, right!\The company hereby stops eliminating Secrets.\What?\Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral.\Based on the earlier UN decision,\the Big Blue World apologizes for Generation Bleu's actions of international hostility.\We have advised President Cristophe Blanc to restructure the company.\Based on our stake in the company, this is an official announcement of the cessation of business. response:	But your company has controlled Generation Bleu up until now.
context: The company hereby stops eliminating Secrets.\What?\Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral.\Based on the earlier UN decision,\the Big Blue World apologizes for Generation Bleu's actions of international hostility.\We have advised President Cristophe Blanc to restructure the company.\Based on our stake in the company, this is an official announcement of the cessation of business.\But your company has controlled Generation Bleu up until now. response:	Of course.
context: What?\Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral.\Based on the earlier UN decision,\the Big Blue World apologizes for Generation Bleu's actions of international hostility.\We have advised President Cristophe Blanc to restructure the company.\Based on our stake in the company, this is an official announcement of the cessation of business.\But your company has controlled Generation Bleu up until now.\Of course. response:	I have personally been dispatched to oversee them and we paid great heed to compliance.
context: Starting from today, Generation Bleu will focus on suppressing the growth of the Scub Coral.\Based on the earlier UN decision,\the Big Blue World apologizes for Generation Bleu's actions of international hostility.\We have advised President Cristophe Blanc to restructure the company.\Based on our stake in the company, this is an official announcement of the cessation of business.\But your company has controlled Generation Bleu up until now.\Of course.\I have personally been dispatched to oversee them and we paid great heed to compliance. response:	But President Blanc wantonly took control of the Quartz and used it as a weapon.
context: Based on the earlier UN decision,\the Big Blue World apologizes for Generation Bleu's actions of international hostility.\We have advised President Cristophe Blanc to restructure the company.\Based on our stake in the company, this is an official announcement of the cessation of business.\But your company has controlled Generation Bleu up until now.\Of course.\I have personally been dispatched to oversee them and we paid great heed to compliance.\But President Blanc wantonly took control of the Quartz and used it as a weapon. response:	And the buddies quarreled.
context: the Big Blue World apologizes for Generation Bleu's actions of international hostility.\We have advised President Cristophe Blanc to restructure the company.\Based on our stake in the company, this is an official announcement of the cessation of business.\But your company has controlled Generation Bleu up until now.\Of course.\I have personally been dispatched to oversee them and we paid great heed to compliance.\But President Blanc wantonly took control of the Quartz and used it as a weapon.\And the buddies quarreled. response:	Now our country has
context: We have advised President Cristophe Blanc to restructure the company.\Based on our stake in the company, this is an official announcement of the cessation of business.\But your company has controlled Generation Bleu up until now.\Of course.\I have personally been dispatched to oversee them and we paid great heed to compliance.\But President Blanc wantonly took control of the Quartz and used it as a weapon.\And the buddies quarreled.\Now our country has response:	What's wrong?! You're gonna pretend to be asleep?
context: Based on our stake in the company, this is an official announcement of the cessation of business.\But your company has controlled Generation Bleu up until now.\Of course.\I have personally been dispatched to oversee them and we paid great heed to compliance.\But President Blanc wantonly took control of the Quartz and used it as a weapon.\And the buddies quarreled.\Now our country has\What's wrong?! You're gonna pretend to be asleep? response:	Could you at least ask for an appointment before showing up?
context: But your company has controlled Generation Bleu up until now.\Of course.\I have personally been dispatched to oversee them and we paid great heed to compliance.\But President Blanc wantonly took control of the Quartz and used it as a weapon.\And the buddies quarreled.\Now our country has\What's wrong?! You're gonna pretend to be asleep?\Could you at least ask for an appointment before showing up? response:	What are you going to do?
context: Of course.\I have personally been dispatched to oversee them and we paid great heed to compliance.\But President Blanc wantonly took control of the Quartz and used it as a weapon.\And the buddies quarreled.\Now our country has\What's wrong?! You're gonna pretend to be asleep?\Could you at least ask for an appointment before showing up?\What are you going to do? response:	We should get rid of this terrorist already!
context: I have personally been dispatched to oversee them and we paid great heed to compliance.\But President Blanc wantonly took control of the Quartz and used it as a weapon.\And the buddies quarreled.\Now our country has\What's wrong?! You're gonna pretend to be asleep?\Could you at least ask for an appointment before showing up?\What are you going to do?\We should get rid of this terrorist already! response:	I see you're in a bad mood again.
context: But President Blanc wantonly took control of the Quartz and used it as a weapon.\And the buddies quarreled.\Now our country has\What's wrong?! You're gonna pretend to be asleep?\Could you at least ask for an appointment before showing up?\What are you going to do?\We should get rid of this terrorist already!\I see you're in a bad mood again. response:	Nothing happens.
context: And the buddies quarreled.\Now our country has\What's wrong?! You're gonna pretend to be asleep?\Could you at least ask for an appointment before showing up?\What are you going to do?\We should get rid of this terrorist already!\I see you're in a bad mood again.\Nothing happens. response:	The Plant Corals are reactivated all around the world.
context: Now our country has\What's wrong?! You're gonna pretend to be asleep?\Could you at least ask for an appointment before showing up?\What are you going to do?\We should get rid of this terrorist already!\I see you're in a bad mood again.\Nothing happens.\The Plant Corals are reactivated all around the world. response:	But the Secrets won't show up.
context: What's wrong?! You're gonna pretend to be asleep?\Could you at least ask for an appointment before showing up?\What are you going to do?\We should get rid of this terrorist already!\I see you're in a bad mood again.\Nothing happens.\The Plant Corals are reactivated all around the world.\But the Secrets won't show up. response:	Stuff like that happens.
context: Could you at least ask for an appointment before showing up?\What are you going to do?\We should get rid of this terrorist already!\I see you're in a bad mood again.\Nothing happens.\The Plant Corals are reactivated all around the world.\But the Secrets won't show up.\Stuff like that happens. response:	It's that cannon!
context: What are you going to do?\We should get rid of this terrorist already!\I see you're in a bad mood again.\Nothing happens.\The Plant Corals are reactivated all around the world.\But the Secrets won't show up.\Stuff like that happens.\It's that cannon! response:	Nirvash's cannon drives the world to chaos and destruction!
context: We should get rid of this terrorist already!\I see you're in a bad mood again.\Nothing happens.\The Plant Corals are reactivated all around the world.\But the Secrets won't show up.\Stuff like that happens.\It's that cannon!\Nirvash's cannon drives the world to chaos and destruction! response:	But Secrets should be
context: I see you're in a bad mood again.\Nothing happens.\The Plant Corals are reactivated all around the world.\But the Secrets won't show up.\Stuff like that happens.\It's that cannon!\Nirvash's cannon drives the world to chaos and destruction!\But Secrets should be response:	Quiet.
context: Nothing happens.\The Plant Corals are reactivated all around the world.\But the Secrets won't show up.\Stuff like that happens.\It's that cannon!\Nirvash's cannon drives the world to chaos and destruction!\But Secrets should be\Quiet. response:	Listen, Truth.
context: The Plant Corals are reactivated all around the world.\But the Secrets won't show up.\Stuff like that happens.\It's that cannon!\Nirvash's cannon drives the world to chaos and destruction!\But Secrets should be\Quiet.\Listen, Truth. response:	I'm talking to you.
context: But the Secrets won't show up.\Stuff like that happens.\It's that cannon!\Nirvash's cannon drives the world to chaos and destruction!\But Secrets should be\Quiet.\Listen, Truth.\I'm talking to you. response:	Is that you, Secret?
context: Stuff like that happens.\It's that cannon!\Nirvash's cannon drives the world to chaos and destruction!\But Secrets should be\Quiet.\Listen, Truth.\I'm talking to you.\Is that you, Secret? response:	Let me answer your question.
context: It's that cannon!\Nirvash's cannon drives the world to chaos and destruction!\But Secrets should be\Quiet.\Listen, Truth.\I'm talking to you.\Is that you, Secret?\Let me answer your question. response:	We're holding back our attacks for now.
context: Nirvash's cannon drives the world to chaos and destruction!\But Secrets should be\Quiet.\Listen, Truth.\I'm talking to you.\Is that you, Secret?\Let me answer your question.\We're holding back our attacks for now. response:	Why?
context: But Secrets should be\Quiet.\Listen, Truth.\I'm talking to you.\Is that you, Secret?\Let me answer your question.\We're holding back our attacks for now.\Why? response:	Generation Bleu is becoming the enemy of the world!
context: Quiet.\Listen, Truth.\I'm talking to you.\Is that you, Secret?\Let me answer your question.\We're holding back our attacks for now.\Why?\Generation Bleu is becoming the enemy of the world! response:	That cannon causes chaos, so now would be
context: Listen, Truth.\I'm talking to you.\Is that you, Secret?\Let me answer your question.\We're holding back our attacks for now.\Why?\Generation Bleu is becoming the enemy of the world!\That cannon causes chaos, so now would be response:	Remember, Truth.
context: I'm talking to you.\Is that you, Secret?\Let me answer your question.\We're holding back our attacks for now.\Why?\Generation Bleu is becoming the enemy of the world!\That cannon causes chaos, so now would be\Remember, Truth. response:	What was our goal again?
context: Is that you, Secret?\Let me answer your question.\We're holding back our attacks for now.\Why?\Generation Bleu is becoming the enemy of the world!\That cannon causes chaos, so now would be\Remember, Truth.\What was our goal again? response:	Order, not chaos.
context: Let me answer your question.\We're holding back our attacks for now.\Why?\Generation Bleu is becoming the enemy of the world!\That cannon causes chaos, so now would be\Remember, Truth.\What was our goal again?\Order, not chaos. response:	Our?
context: We're holding back our attacks for now.\Why?\Generation Bleu is becoming the enemy of the world!\That cannon causes chaos, so now would be\Remember, Truth.\What was our goal again?\Order, not chaos.\Our? response:	You're a Secret as well, aren't you?
context: Why?\Generation Bleu is becoming the enemy of the world!\That cannon causes chaos, so now would be\Remember, Truth.\What was our goal again?\Order, not chaos.\Our?\You're a Secret as well, aren't you? response:	Or have you forgotten?
context: Generation Bleu is becoming the enemy of the world!\That cannon causes chaos, so now would be\Remember, Truth.\What was our goal again?\Order, not chaos.\Our?\You're a Secret as well, aren't you?\Or have you forgotten? response:	What's wrong, Truth?
context: That cannon causes chaos, so now would be\Remember, Truth.\What was our goal again?\Order, not chaos.\Our?\You're a Secret as well, aren't you?\Or have you forgotten?\What's wrong, Truth? response:	What are you saying?!
context: Remember, Truth.\What was our goal again?\Order, not chaos.\Our?\You're a Secret as well, aren't you?\Or have you forgotten?\What's wrong, Truth?\What are you saying?! response:	That's ridiculous!
context: What was our goal again?\Order, not chaos.\Our?\You're a Secret as well, aren't you?\Or have you forgotten?\What's wrong, Truth?\What are you saying?!\That's ridiculous! response:	You can't defeat a Secret.
context: Order, not chaos.\Our?\You're a Secret as well, aren't you?\Or have you forgotten?\What's wrong, Truth?\What are you saying?!\That's ridiculous!\You can't defeat a Secret. response:	Naru...
context: Our?\You're a Secret as well, aren't you?\Or have you forgotten?\What's wrong, Truth?\What are you saying?!\That's ridiculous!\You can't defeat a Secret.\Naru... response:	Naru...
context: You're a Secret as well, aren't you?\Or have you forgotten?\What's wrong, Truth?\What are you saying?!\That's ridiculous!\You can't defeat a Secret.\Naru...\Naru... response:	The Allied Forces don't know what to do about us.
context: Or have you forgotten?\What's wrong, Truth?\What are you saying?!\That's ridiculous!\You can't defeat a Secret.\Naru...\Naru...\The Allied Forces don't know what to do about us. response:	They want to protect the Scub Coral too.
context: What's wrong, Truth?\What are you saying?!\That's ridiculous!\You can't defeat a Secret.\Naru...\Naru...\The Allied Forces don't know what to do about us.\They want to protect the Scub Coral too. response:	I didn't ask you about that!
context: What are you saying?!\That's ridiculous!\You can't defeat a Secret.\Naru...\Naru...\The Allied Forces don't know what to do about us.\They want to protect the Scub Coral too.\I didn't ask you about that! response:	Truth, you're a Secret.
context: That's ridiculous!\You can't defeat a Secret.\Naru...\Naru...\The Allied Forces don't know what to do about us.\They want to protect the Scub Coral too.\I didn't ask you about that!\Truth, you're a Secret. response:	I've seen you in the Scub Coral.
context: You can't defeat a Secret.\Naru...\Naru...\The Allied Forces don't know what to do about us.\They want to protect the Scub Coral too.\I didn't ask you about that!\Truth, you're a Secret.\I've seen you in the Scub Coral. response:	Ten years ago on Okinawa, during the greatest Scub Burst that happened in history.
context: Naru...\Naru...\The Allied Forces don't know what to do about us.\They want to protect the Scub Coral too.\I didn't ask you about that!\Truth, you're a Secret.\I've seen you in the Scub Coral.\Ten years ago on Okinawa, during the greatest Scub Burst that happened in history. response:	The Secret that emerged there was powerful.
context: Naru...\The Allied Forces don't know what to do about us.\They want to protect the Scub Coral too.\I didn't ask you about that!\Truth, you're a Secret.\I've seen you in the Scub Coral.\Ten years ago on Okinawa, during the greatest Scub Burst that happened in history.\The Secret that emerged there was powerful. response:	But when the Quartz was taken away, the Secret lost its purpose.
context: The Allied Forces don't know what to do about us.\They want to protect the Scub Coral too.\I didn't ask you about that!\Truth, you're a Secret.\I've seen you in the Scub Coral.\Ten years ago on Okinawa, during the greatest Scub Burst that happened in history.\The Secret that emerged there was powerful.\But when the Quartz was taken away, the Secret lost its purpose. response:	To be accepted into this world, he then took on a human form.
