context: I say yes response:	Stay with me
context: Lets change any future into hope\Don't touch! S\Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent response:	Dont touch! Because I wont listen to excuses
context: Don't touch! S\Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses response:	Touch me because I'm tired Hey, lend me your shoulder
context: Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder response:	I love you, its a lie
context: Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie response:	I hate you, thats a lie, too
context: Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too response:	Nay nay nay, its useless, its a misunderstanding
context: Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding response:	So I wont say, I love you”
context: You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you” response:	Non non non, because I absolutely wont forgive you
context: Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you response:	If you go to somewhere else
context: Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else response:	But
context: Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But response:	The truth is, I want to be by your side more than anyone else
context: I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else response:	Lets go take a walk in chains of love!
context: I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love! response:	The Queen's Holiday
context: Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Queen's Holiday response:	The Queen's Holiday
context: So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Queen's Holiday\The Queen's Holiday response:	Next Time
context: Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Queen's Holiday\The Queen's Holiday\Next Time response:	The Underground Secret Document
context: If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Queen's Holiday\The Queen's Holiday\Next Time\The Underground Secret Document response:	Excuse me.
context: But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Queen's Holiday\The Queen's Holiday\Next Time\The Underground Secret Document\Excuse me. response:	Agnes Chevalier de Milan at your service.
context: The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Queen's Holiday\The Queen's Holiday\Next Time\The Underground Secret Document\Excuse me.\Agnes Chevalier de Milan at your service. response:	Have you completed your research?
context: Lets go take a walk in chains of love!\The Queen's Holiday\The Queen's Holiday\Next Time\The Underground Secret Document\Excuse me.\Agnes Chevalier de Milan at your service.\Have you completed your research? response:	Yes.
context: The Queen's Holiday\The Queen's Holiday\Next Time\The Underground Secret Document\Excuse me.\Agnes Chevalier de Milan at your service.\Have you completed your research?\Yes. response:	Here is the report.
context: The Queen's Holiday\Next Time\The Underground Secret Document\Excuse me.\Agnes Chevalier de Milan at your service.\Have you completed your research?\Yes.\Here is the report. response:	This is a prime example of how it's dark at the base of a lighthouse.
context: Next Time\The Underground Secret Document\Excuse me.\Agnes Chevalier de Milan at your service.\Have you completed your research?\Yes.\Here is the report.\This is a prime example of how it's dark at the base of a lighthouse. response:	Will you arrest and prosecute him immediately?
context: The Underground Secret Document\Excuse me.\Agnes Chevalier de Milan at your service.\Have you completed your research?\Yes.\Here is the report.\This is a prime example of how it's dark at the base of a lighthouse.\Will you arrest and prosecute him immediately? response:	No.
context: Excuse me.\Agnes Chevalier de Milan at your service.\Have you completed your research?\Yes.\Here is the report.\This is a prime example of how it's dark at the base of a lighthouse.\Will you arrest and prosecute him immediately?\No. response:	The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs.
context: Agnes Chevalier de Milan at your service.\Have you completed your research?\Yes.\Here is the report.\This is a prime example of how it's dark at the base of a lighthouse.\Will you arrest and prosecute him immediately?\No.\The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs. response:	Let us proceed with the plan.
context: Have you completed your research?\Yes.\Here is the report.\This is a prime example of how it's dark at the base of a lighthouse.\Will you arrest and prosecute him immediately?\No.\The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs.\Let us proceed with the plan. response:	But would that not endanger you?
context: Yes.\Here is the report.\This is a prime example of how it's dark at the base of a lighthouse.\Will you arrest and prosecute him immediately?\No.\The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs.\Let us proceed with the plan.\But would that not endanger you? response:	Don't worry.
context: Here is the report.\This is a prime example of how it's dark at the base of a lighthouse.\Will you arrest and prosecute him immediately?\No.\The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs.\Let us proceed with the plan.\But would that not endanger you?\Don't worry. response:	I have a reliable bodyguard.
context: This is a prime example of how it's dark at the base of a lighthouse.\Will you arrest and prosecute him immediately?\No.\The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs.\Let us proceed with the plan.\But would that not endanger you?\Don't worry.\I have a reliable bodyguard. response:	Thank you very much, Your Highness.
context: Will you arrest and prosecute him immediately?\No.\The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs.\Let us proceed with the plan.\But would that not endanger you?\Don't worry.\I have a reliable bodyguard.\Thank you very much, Your Highness. response:	Not only have you given rank and a title to a plebeian like myself,
context: No.\The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs.\Let us proceed with the plan.\But would that not endanger you?\Don't worry.\I have a reliable bodyguard.\Thank you very much, Your Highness.\Not only have you given rank and a title to a plebeian like myself, response:	you even gave me a chance to take revenge upon my foe.
context: The testimony of the Musketeer Force's former vice-captain is not enough to incriminate the Chair President of Legal Affairs.\Let us proceed with the plan.\But would that not endanger you?\Don't worry.\I have a reliable bodyguard.\Thank you very much, Your Highness.\Not only have you given rank and a title to a plebeian like myself,\you even gave me a chance to take revenge upon my foe. response:	We're here again.
context: Let us proceed with the plan.\But would that not endanger you?\Don't worry.\I have a reliable bodyguard.\Thank you very much, Your Highness.\Not only have you given rank and a title to a plebeian like myself,\you even gave me a chance to take revenge upon my foe.\We're here again. response:	I don't really get along with that owner.
context: But would that not endanger you?\Don't worry.\I have a reliable bodyguard.\Thank you very much, Your Highness.\Not only have you given rank and a title to a plebeian like myself,\you even gave me a chance to take revenge upon my foe.\We're here again.\I don't really get along with that owner. response:	What are you saying?
context: Don't worry.\I have a reliable bodyguard.\Thank you very much, Your Highness.\Not only have you given rank and a title to a plebeian like myself,\you even gave me a chance to take revenge upon my foe.\We're here again.\I don't really get along with that owner.\What are you saying? response:	We came because Agnes told us to stand by at the shop.
context: I have a reliable bodyguard.\Thank you very much, Your Highness.\Not only have you given rank and a title to a plebeian like myself,\you even gave me a chance to take revenge upon my foe.\We're here again.\I don't really get along with that owner.\What are you saying?\We came because Agnes told us to stand by at the shop. response:	It must be an important mission from Her Highness.
context: Thank you very much, Your Highness.\Not only have you given rank and a title to a plebeian like myself,\you even gave me a chance to take revenge upon my foe.\We're here again.\I don't really get along with that owner.\What are you saying?\We came because Agnes told us to stand by at the shop.\It must be an important mission from Her Highness. response:	Come on, let's go.
context: Not only have you given rank and a title to a plebeian like myself,\you even gave me a chance to take revenge upon my foe.\We're here again.\I don't really get along with that owner.\What are you saying?\We came because Agnes told us to stand by at the shop.\It must be an important mission from Her Highness.\Come on, let's go. response:	Ow ow!
context: you even gave me a chance to take revenge upon my foe.\We're here again.\I don't really get along with that owner.\What are you saying?\We came because Agnes told us to stand by at the shop.\It must be an important mission from Her Highness.\Come on, let's go.\Ow ow! response:	I said that hurts!
context: We're here again.\I don't really get along with that owner.\What are you saying?\We came because Agnes told us to stand by at the shop.\It must be an important mission from Her Highness.\Come on, let's go.\Ow ow!\I said that hurts! response:	Yes! Yes!
context: I don't really get along with that owner.\What are you saying?\We came because Agnes told us to stand by at the shop.\It must be an important mission from Her Highness.\Come on, let's go.\Ow ow!\I said that hurts!\Yes! Yes! response:	You all look wonderful, my dear fairies!
context: What are you saying?\We came because Agnes told us to stand by at the shop.\It must be an important mission from Her Highness.\Come on, let's go.\Ow ow!\I said that hurts!\Yes! Yes!\You all look wonderful, my dear fairies! response:	U-Um...
context: We came because Agnes told us to stand by at the shop.\It must be an important mission from Her Highness.\Come on, let's go.\Ow ow!\I said that hurts!\Yes! Yes!\You all look wonderful, my dear fairies!\U-Um... response:	H-Hello...
context: It must be an important mission from Her Highness.\Come on, let's go.\Ow ow!\I said that hurts!\Yes! Yes!\You all look wonderful, my dear fairies!\U-Um...\H-Hello... response:	I-It has been a while, Master Scarron.
context: Come on, let's go.\Ow ow!\I said that hurts!\Yes! Yes!\You all look wonderful, my dear fairies!\U-Um...\H-Hello...\I-It has been a while, Master Scarron. response:	No, that's wrong.
context: Ow ow!\I said that hurts!\Yes! Yes!\You all look wonderful, my dear fairies!\U-Um...\H-Hello...\I-It has been a while, Master Scarron.\No, that's wrong. response:	Everyone, together!
context: I said that hurts!\Yes! Yes!\You all look wonderful, my dear fairies!\U-Um...\H-Hello...\I-It has been a while, Master Scarron.\No, that's wrong.\Everyone, together! response:	One, two!
context: Yes! Yes!\You all look wonderful, my dear fairies!\U-Um...\H-Hello...\I-It has been a while, Master Scarron.\No, that's wrong.\Everyone, together!\One, two! response:	Ma mademoiselle!
context: You all look wonderful, my dear fairies!\U-Um...\H-Hello...\I-It has been a while, Master Scarron.\No, that's wrong.\Everyone, together!\One, two!\Ma mademoiselle! response:	Tres bien!
context: U-Um...\H-Hello...\I-It has been a while, Master Scarron.\No, that's wrong.\Everyone, together!\One, two!\Ma mademoiselle!\Tres bien! response:	Hey, what brings you two here all of a sudden?
context: H-Hello...\I-It has been a while, Master Scarron.\No, that's wrong.\Everyone, together!\One, two!\Ma mademoiselle!\Tres bien!\Hey, what brings you two here all of a sudden? response:	We're waiting for someone.
context: I-It has been a while, Master Scarron.\No, that's wrong.\Everyone, together!\One, two!\Ma mademoiselle!\Tres bien!\Hey, what brings you two here all of a sudden?\We're waiting for someone. response:	And what's with your costume?
context: No, that's wrong.\Everyone, together!\One, two!\Ma mademoiselle!\Tres bien!\Hey, what brings you two here all of a sudden?\We're waiting for someone.\And what's with your costume? response:	Oh, this?
context: Everyone, together!\One, two!\Ma mademoiselle!\Tres bien!\Hey, what brings you two here all of a sudden?\We're waiting for someone.\And what's with your costume?\Oh, this? response:	Tonight, we're going to be in the Taniariji Royal Theatre.
context: One, two!\Ma mademoiselle!\Tres bien!\Hey, what brings you two here all of a sudden?\We're waiting for someone.\And what's with your costume?\Oh, this?\Tonight, we're going to be in the Taniariji Royal Theatre. response:	My beauty has finally been accepted by the world!
context: Ma mademoiselle!\Tres bien!\Hey, what brings you two here all of a sudden?\We're waiting for someone.\And what's with your costume?\Oh, this?\Tonight, we're going to be in the Taniariji Royal Theatre.\My beauty has finally been accepted by the world! response:	Vacances en Tristania?
context: Tres bien!\Hey, what brings you two here all of a sudden?\We're waiting for someone.\And what's with your costume?\Oh, this?\Tonight, we're going to be in the Taniariji Royal Theatre.\My beauty has finally been accepted by the world!\Vacances en Tristania? response:	Oh yeah!
context: Hey, what brings you two here all of a sudden?\We're waiting for someone.\And what's with your costume?\Oh, this?\Tonight, we're going to be in the Taniariji Royal Theatre.\My beauty has finally been accepted by the world!\Vacances en Tristania?\Oh yeah! response:	Why don't you two join in?
context: We're waiting for someone.\And what's with your costume?\Oh, this?\Tonight, we're going to be in the Taniariji Royal Theatre.\My beauty has finally been accepted by the world!\Vacances en Tristania?\Oh yeah!\Why don't you two join in? response:	We're a little short on staff, too.
context: And what's with your costume?\Oh, this?\Tonight, we're going to be in the Taniariji Royal Theatre.\My beauty has finally been accepted by the world!\Vacances en Tristania?\Oh yeah!\Why don't you two join in?\We're a little short on staff, too. response:	Okay, okay, my dear fairies, time to open the shop.
context: Oh, this?\Tonight, we're going to be in the Taniariji Royal Theatre.\My beauty has finally been accepted by the world!\Vacances en Tristania?\Oh yeah!\Why don't you two join in?\We're a little short on staff, too.\Okay, okay, my dear fairies, time to open the shop. response:	Get ready.
context: Tonight, we're going to be in the Taniariji Royal Theatre.\My beauty has finally been accepted by the world!\Vacances en Tristania?\Oh yeah!\Why don't you two join in?\We're a little short on staff, too.\Okay, okay, my dear fairies, time to open the shop.\Get ready. response:	Yes, ma mademoiselle.
context: My beauty has finally been accepted by the world!\Vacances en Tristania?\Oh yeah!\Why don't you two join in?\We're a little short on staff, too.\Okay, okay, my dear fairies, time to open the shop.\Get ready.\Yes, ma mademoiselle. response:	Um -
context: Vacances en Tristania?\Oh yeah!\Why don't you two join in?\We're a little short on staff, too.\Okay, okay, my dear fairies, time to open the shop.\Get ready.\Yes, ma mademoiselle.\Um - response:	Hey, why are you two spacing out over there?
context: Oh yeah!\Why don't you two join in?\We're a little short on staff, too.\Okay, okay, my dear fairies, time to open the shop.\Get ready.\Yes, ma mademoiselle.\Um -\Hey, why are you two spacing out over there? response:	You'll help out, right?
context: Why don't you two join in?\We're a little short on staff, too.\Okay, okay, my dear fairies, time to open the shop.\Get ready.\Yes, ma mademoiselle.\Um -\Hey, why are you two spacing out over there?\You'll help out, right? response:	We have an important mission.
context: We're a little short on staff, too.\Okay, okay, my dear fairies, time to open the shop.\Get ready.\Yes, ma mademoiselle.\Um -\Hey, why are you two spacing out over there?\You'll help out, right?\We have an important mission. response:	Stop blabbing.
context: Okay, okay, my dear fairies, time to open the shop.\Get ready.\Yes, ma mademoiselle.\Um -\Hey, why are you two spacing out over there?\You'll help out, right?\We have an important mission.\Stop blabbing. response:	Saito, you go to the kitchen.
context: Get ready.\Yes, ma mademoiselle.\Um -\Hey, why are you two spacing out over there?\You'll help out, right?\We have an important mission.\Stop blabbing.\Saito, you go to the kitchen. response:	Louise, you go change with the girls.
context: Yes, ma mademoiselle.\Um -\Hey, why are you two spacing out over there?\You'll help out, right?\We have an important mission.\Stop blabbing.\Saito, you go to the kitchen.\Louise, you go change with the girls. response:	Off you go, get moving.
context: Um -\Hey, why are you two spacing out over there?\You'll help out, right?\We have an important mission.\Stop blabbing.\Saito, you go to the kitchen.\Louise, you go change with the girls.\Off you go, get moving. response:	Yes!
context: Hey, why are you two spacing out over there?\You'll help out, right?\We have an important mission.\Stop blabbing.\Saito, you go to the kitchen.\Louise, you go change with the girls.\Off you go, get moving.\Yes! response:	H-Hey.
context: You'll help out, right?\We have an important mission.\Stop blabbing.\Saito, you go to the kitchen.\Louise, you go change with the girls.\Off you go, get moving.\Yes!\H-Hey. response:	Stay still already!
context: We have an important mission.\Stop blabbing.\Saito, you go to the kitchen.\Louise, you go change with the girls.\Off you go, get moving.\Yes!\H-Hey.\Stay still already! response:	Oh well...
context: Stop blabbing.\Saito, you go to the kitchen.\Louise, you go change with the girls.\Off you go, get moving.\Yes!\H-Hey.\Stay still already!\Oh well... response:	I guess I look more natural in this than in my uniform.
context: Saito, you go to the kitchen.\Louise, you go change with the girls.\Off you go, get moving.\Yes!\H-Hey.\Stay still already!\Oh well...\I guess I look more natural in this than in my uniform. response:	She's so cute!
context: Louise, you go change with the girls.\Off you go, get moving.\Yes!\H-Hey.\Stay still already!\Oh well...\I guess I look more natural in this than in my uniform.\She's so cute! response:	Number one is definitely Jessica!
context: Off you go, get moving.\Yes!\H-Hey.\Stay still already!\Oh well...\I guess I look more natural in this than in my uniform.\She's so cute!\Number one is definitely Jessica! response:	Number two's Marlene,
context: Yes!\H-Hey.\Stay still already!\Oh well...\I guess I look more natural in this than in my uniform.\She's so cute!\Number one is definitely Jessica!\Number two's Marlene, response:	and number three's Jane.
context: H-Hey.\Stay still already!\Oh well...\I guess I look more natural in this than in my uniform.\She's so cute!\Number one is definitely Jessica!\Number two's Marlene,\and number three's Jane. response:	Last place is definitely Louise.
context: Stay still already!\Oh well...\I guess I look more natural in this than in my uniform.\She's so cute!\Number one is definitely Jessica!\Number two's Marlene,\and number three's Jane.\Last place is definitely Louise. response:	What kind of ranking was that just now?
context: Oh well...\I guess I look more natural in this than in my uniform.\She's so cute!\Number one is definitely Jessica!\Number two's Marlene,\and number three's Jane.\Last place is definitely Louise.\What kind of ranking was that just now? response:	What? It's breast -
context: I guess I look more natural in this than in my uniform.\She's so cute!\Number one is definitely Jessica!\Number two's Marlene,\and number three's Jane.\Last place is definitely Louise.\What kind of ranking was that just now?\What? It's breast - response:	You pervert dog!
context: She's so cute!\Number one is definitely Jessica!\Number two's Marlene,\and number three's Jane.\Last place is definitely Louise.\What kind of ranking was that just now?\What? It's breast -\You pervert dog! response:	You mere dog!
context: Number one is definitely Jessica!\Number two's Marlene,\and number three's Jane.\Last place is definitely Louise.\What kind of ranking was that just now?\What? It's breast -\You pervert dog!\You mere dog! response:	Act like a dog and bark!
context: Number two's Marlene,\and number three's Jane.\Last place is definitely Louise.\What kind of ranking was that just now?\What? It's breast -\You pervert dog!\You mere dog!\Act like a dog and bark! response:	Hey, Louise-chan, you got a nomination.
context: and number three's Jane.\Last place is definitely Louise.\What kind of ranking was that just now?\What? It's breast -\You pervert dog!\You mere dog!\Act like a dog and bark!\Hey, Louise-chan, you got a nomination. response:	Come on out already.
context: Last place is definitely Louise.\What kind of ranking was that just now?\What? It's breast -\You pervert dog!\You mere dog!\Act like a dog and bark!\Hey, Louise-chan, you got a nomination.\Come on out already. response:	Yes.
context: What kind of ranking was that just now?\What? It's breast -\You pervert dog!\You mere dog!\Act like a dog and bark!\Hey, Louise-chan, you got a nomination.\Come on out already.\Yes. response:	Hurry up.
context: What? It's breast -\You pervert dog!\You mere dog!\Act like a dog and bark!\Hey, Louise-chan, you got a nomination.\Come on out already.\Yes.\Hurry up. response:	Sorry to make you wait.
context: You pervert dog!\You mere dog!\Act like a dog and bark!\Hey, Louise-chan, you got a nomination.\Come on out already.\Yes.\Hurry up.\Sorry to make you wait. response:	You!
context: You mere dog!\Act like a dog and bark!\Hey, Louise-chan, you got a nomination.\Come on out already.\Yes.\Hurry up.\Sorry to make you wait.\You! response:	Hi, Louise.
context: Act like a dog and bark!\Hey, Louise-chan, you got a nomination.\Come on out already.\Yes.\Hurry up.\Sorry to make you wait.\You!\Hi, Louise. response:	J-Julio?
context: Hey, Louise-chan, you got a nomination.\Come on out already.\Yes.\Hurry up.\Sorry to make you wait.\You!\Hi, Louise.\J-Julio? response:	You look cute in that outfit, too.
context: Come on out already.\Yes.\Hurry up.\Sorry to make you wait.\You!\Hi, Louise.\J-Julio?\You look cute in that outfit, too. response:	H-Hey.
context: Yes.\Hurry up.\Sorry to make you wait.\You!\Hi, Louise.\J-Julio?\You look cute in that outfit, too.\H-Hey. response:	Don't get so close to me.
context: Hurry up.\Sorry to make you wait.\You!\Hi, Louise.\J-Julio?\You look cute in that outfit, too.\H-Hey.\Don't get so close to me. response:	I was told by Agnes to stand by at this shop, too.
context: Sorry to make you wait.\You!\Hi, Louise.\J-Julio?\You look cute in that outfit, too.\H-Hey.\Don't get so close to me.\I was told by Agnes to stand by at this shop, too. response:	Damn it...
context: You!\Hi, Louise.\J-Julio?\You look cute in that outfit, too.\H-Hey.\Don't get so close to me.\I was told by Agnes to stand by at this shop, too.\Damn it... response:	What the heck is he talking about?
context: Hi, Louise.\J-Julio?\You look cute in that outfit, too.\H-Hey.\Don't get so close to me.\I was told by Agnes to stand by at this shop, too.\Damn it...\What the heck is he talking about? response:	Cheers!
context: J-Julio?\You look cute in that outfit, too.\H-Hey.\Don't get so close to me.\I was told by Agnes to stand by at this shop, too.\Damn it...\What the heck is he talking about?\Cheers! response:	Hey, how many times do we have to toast before you're satisfied?
context: You look cute in that outfit, too.\H-Hey.\Don't get so close to me.\I was told by Agnes to stand by at this shop, too.\Damn it...\What the heck is he talking about?\Cheers!\Hey, how many times do we have to toast before you're satisfied? response:	It's fun no matter how many times you do it.
context: H-Hey.\Don't get so close to me.\I was told by Agnes to stand by at this shop, too.\Damn it...\What the heck is he talking about?\Cheers!\Hey, how many times do we have to toast before you're satisfied?\It's fun no matter how many times you do it. response:	Cheers!
context: Don't get so close to me.\I was told by Agnes to stand by at this shop, too.\Damn it...\What the heck is he talking about?\Cheers!\Hey, how many times do we have to toast before you're satisfied?\It's fun no matter how many times you do it.\Cheers! response:	Cheers!
context: I was told by Agnes to stand by at this shop, too.\Damn it...\What the heck is he talking about?\Cheers!\Hey, how many times do we have to toast before you're satisfied?\It's fun no matter how many times you do it.\Cheers!\Cheers! response:	This really is a great shop.
context: Damn it...\What the heck is he talking about?\Cheers!\Hey, how many times do we have to toast before you're satisfied?\It's fun no matter how many times you do it.\Cheers!\Cheers!\This really is a great shop. response:	There we go.
context: What the heck is he talking about?\Cheers!\Hey, how many times do we have to toast before you're satisfied?\It's fun no matter how many times you do it.\Cheers!\Cheers!\This really is a great shop.\There we go. response:	Did he come all the way here just to meddle with Louise?
context: Cheers!\Hey, how many times do we have to toast before you're satisfied?\It's fun no matter how many times you do it.\Cheers!\Cheers!\This really is a great shop.\There we go.\Did he come all the way here just to meddle with Louise? response:	I'm sorry.
context: Hey, how many times do we have to toast before you're satisfied?\It's fun no matter how many times you do it.\Cheers!\Cheers!\This really is a great shop.\There we go.\Did he come all the way here just to meddle with Louise?\I'm sorry. response:	Are you all right?
context: It's fun no matter how many times you do it.\Cheers!\Cheers!\This really is a great shop.\There we go.\Did he come all the way here just to meddle with Louise?\I'm sorry.\Are you all right? response:	Um, is there a shop called Charming Fairy Inn around here?
context: Cheers!\Cheers!\This really is a great shop.\There we go.\Did he come all the way here just to meddle with Louise?\I'm sorry.\Are you all right?\Um, is there a shop called Charming Fairy Inn around here? response:	Eh? That'd be here.
context: Cheers!\This really is a great shop.\There we go.\Did he come all the way here just to meddle with Louise?\I'm sorry.\Are you all right?\Um, is there a shop called Charming Fairy Inn around here?\Eh? That'd be here. response:	That voice!
context: This really is a great shop.\There we go.\Did he come all the way here just to meddle with Louise?\I'm sorry.\Are you all right?\Um, is there a shop called Charming Fairy Inn around here?\Eh? That'd be here.\That voice! response:	That voice!
