context: Matsuoka Rin response:	Hello, everyone.
context: Looking to shut down the transfer student on his first day?\No.\I believe we've been in the same tournaments before.\Oh, you remembered me?\What's with that scary look?\I just happened to end up at this school when I moved.\Coincidences are scary, huh?\My name is Matsuoka Rin. response:	I previously belonged to the Sano Swimming Club.
context: No.\I believe we've been in the same tournaments before.\Oh, you remembered me?\What's with that scary look?\I just happened to end up at this school when I moved.\Coincidences are scary, huh?\My name is Matsuoka Rin.\I previously belonged to the Sano Swimming Club. response:	I have a girly name, but I'm a boy.
context: I believe we've been in the same tournaments before.\Oh, you remembered me?\What's with that scary look?\I just happened to end up at this school when I moved.\Coincidences are scary, huh?\My name is Matsuoka Rin.\I previously belonged to the Sano Swimming Club.\I have a girly name, but I'm a boy. response:	Man...
context: Oh, you remembered me?\What's with that scary look?\I just happened to end up at this school when I moved.\Coincidences are scary, huh?\My name is Matsuoka Rin.\I previously belonged to the Sano Swimming Club.\I have a girly name, but I'm a boy.\Man... response:	Coincidence after coincidence.
context: What's with that scary look?\I just happened to end up at this school when I moved.\Coincidences are scary, huh?\My name is Matsuoka Rin.\I previously belonged to the Sano Swimming Club.\I have a girly name, but I'm a boy.\Man...\Coincidence after coincidence. response:	I transferred to your school and even ended up in the same swimming club.
context: I just happened to end up at this school when I moved.\Coincidences are scary, huh?\My name is Matsuoka Rin.\I previously belonged to the Sano Swimming Club.\I have a girly name, but I'm a boy.\Man...\Coincidence after coincidence.\I transferred to your school and even ended up in the same swimming club. response:	Yep, this is a surprise.
context: Coincidences are scary, huh?\My name is Matsuoka Rin.\I previously belonged to the Sano Swimming Club.\I have a girly name, but I'm a boy.\Man...\Coincidence after coincidence.\I transferred to your school and even ended up in the same swimming club.\Yep, this is a surprise. response:	Right, Haru?
context: My name is Matsuoka Rin.\I previously belonged to the Sano Swimming Club.\I have a girly name, but I'm a boy.\Man...\Coincidence after coincidence.\I transferred to your school and even ended up in the same swimming club.\Yep, this is a surprise.\Right, Haru? response:	He's really something!
context: I previously belonged to the Sano Swimming Club.\I have a girly name, but I'm a boy.\Man...\Coincidence after coincidence.\I transferred to your school and even ended up in the same swimming club.\Yep, this is a surprise.\Right, Haru?\He's really something! response:	Man, that was a good swim!
context: I have a girly name, but I'm a boy.\Man...\Coincidence after coincidence.\I transferred to your school and even ended up in the same swimming club.\Yep, this is a surprise.\Right, Haru?\He's really something!\Man, that was a good swim! response:	Matsuoka-kun.
context: Man...\Coincidence after coincidence.\I transferred to your school and even ended up in the same swimming club.\Yep, this is a surprise.\Right, Haru?\He's really something!\Man, that was a good swim!\Matsuoka-kun. response:	The bicycle racks are this way.
context: Coincidence after coincidence.\I transferred to your school and even ended up in the same swimming club.\Yep, this is a surprise.\Right, Haru?\He's really something!\Man, that was a good swim!\Matsuoka-kun.\The bicycle racks are this way. response:	Oh, I'm running home.
context: I transferred to your school and even ended up in the same swimming club.\Yep, this is a surprise.\Right, Haru?\He's really something!\Man, that was a good swim!\Matsuoka-kun.\The bicycle racks are this way.\Oh, I'm running home. response:	Running? How many kilometers is it to your home?
context: Yep, this is a surprise.\Right, Haru?\He's really something!\Man, that was a good swim!\Matsuoka-kun.\The bicycle racks are this way.\Oh, I'm running home.\Running? How many kilometers is it to your home? response:	Around three kilometers, I think.
context: Right, Haru?\He's really something!\Man, that was a good swim!\Matsuoka-kun.\The bicycle racks are this way.\Oh, I'm running home.\Running? How many kilometers is it to your home?\Around three kilometers, I think. response:	See ya!
context: He's really something!\Man, that was a good swim!\Matsuoka-kun.\The bicycle racks are this way.\Oh, I'm running home.\Running? How many kilometers is it to your home?\Around three kilometers, I think.\See ya! response:	Each team must decide the kind of garden you will make
context: Man, that was a good swim!\Matsuoka-kun.\The bicycle racks are this way.\Oh, I'm running home.\Running? How many kilometers is it to your home?\Around three kilometers, I think.\See ya!\Each team must decide the kind of garden you will make response:	and the kinds of flowers you will plant, and draw an illustration.
context: Matsuoka-kun.\The bicycle racks are this way.\Oh, I'm running home.\Running? How many kilometers is it to your home?\Around three kilometers, I think.\See ya!\Each team must decide the kind of garden you will make\and the kinds of flowers you will plant, and draw an illustration. response:	Okay!
context: The bicycle racks are this way.\Oh, I'm running home.\Running? How many kilometers is it to your home?\Around three kilometers, I think.\See ya!\Each team must decide the kind of garden you will make\and the kinds of flowers you will plant, and draw an illustration.\Okay! response:	Hey, Nanase. Did you reconsider?
context: Oh, I'm running home.\Running? How many kilometers is it to your home?\Around three kilometers, I think.\See ya!\Each team must decide the kind of garden you will make\and the kinds of flowers you will plant, and draw an illustration.\Okay!\Hey, Nanase. Did you reconsider? response:	Reconsider what?
context: Running? How many kilometers is it to your home?\Around three kilometers, I think.\See ya!\Each team must decide the kind of garden you will make\and the kinds of flowers you will plant, and draw an illustration.\Okay!\Hey, Nanase. Did you reconsider?\Reconsider what? response:	Swimming in a medley relay.
context: Around three kilometers, I think.\See ya!\Each team must decide the kind of garden you will make\and the kinds of flowers you will plant, and draw an illustration.\Okay!\Hey, Nanase. Did you reconsider?\Reconsider what?\Swimming in a medley relay. response:	You interested in teaming up for the next tournament?
context: See ya!\Each team must decide the kind of garden you will make\and the kinds of flowers you will plant, and draw an illustration.\Okay!\Hey, Nanase. Did you reconsider?\Reconsider what?\Swimming in a medley relay.\You interested in teaming up for the next tournament? response:	I said that I only swim free.
context: Each team must decide the kind of garden you will make\and the kinds of flowers you will plant, and draw an illustration.\Okay!\Hey, Nanase. Did you reconsider?\Reconsider what?\Swimming in a medley relay.\You interested in teaming up for the next tournament?\I said that I only swim free. response:	You're so stubborn, Nanase.
context: and the kinds of flowers you will plant, and draw an illustration.\Okay!\Hey, Nanase. Did you reconsider?\Reconsider what?\Swimming in a medley relay.\You interested in teaming up for the next tournament?\I said that I only swim free.\You're so stubborn, Nanase. response:	Fine, you can swim free.
context: Okay!\Hey, Nanase. Did you reconsider?\Reconsider what?\Swimming in a medley relay.\You interested in teaming up for the next tournament?\I said that I only swim free.\You're so stubborn, Nanase.\Fine, you can swim free. response:	That means Tachibana has to swim breast or back.
context: Hey, Nanase. Did you reconsider?\Reconsider what?\Swimming in a medley relay.\You interested in teaming up for the next tournament?\I said that I only swim free.\You're so stubborn, Nanase.\Fine, you can swim free.\That means Tachibana has to swim breast or back. response:	So we'll need one more person for...
context: Reconsider what?\Swimming in a medley relay.\You interested in teaming up for the next tournament?\I said that I only swim free.\You're so stubborn, Nanase.\Fine, you can swim free.\That means Tachibana has to swim breast or back.\So we'll need one more person for... response:	I said that I only swim free,
context: Swimming in a medley relay.\You interested in teaming up for the next tournament?\I said that I only swim free.\You're so stubborn, Nanase.\Fine, you can swim free.\That means Tachibana has to swim breast or back.\So we'll need one more person for...\I said that I only swim free, response:	so don't include me in your relay.
context: You interested in teaming up for the next tournament?\I said that I only swim free.\You're so stubborn, Nanase.\Fine, you can swim free.\That means Tachibana has to swim breast or back.\So we'll need one more person for...\I said that I only swim free,\so don't include me in your relay. response:	I said you can do free!
context: I said that I only swim free.\You're so stubborn, Nanase.\Fine, you can swim free.\That means Tachibana has to swim breast or back.\So we'll need one more person for...\I said that I only swim free,\so don't include me in your relay.\I said you can do free! response:	Uh...
context: You're so stubborn, Nanase.\Fine, you can swim free.\That means Tachibana has to swim breast or back.\So we'll need one more person for...\I said that I only swim free,\so don't include me in your relay.\I said you can do free!\Uh... response:	Free... I mean...
context: Fine, you can swim free.\That means Tachibana has to swim breast or back.\So we'll need one more person for...\I said that I only swim free,\so don't include me in your relay.\I said you can do free!\Uh...\Free... I mean... response:	I'm saying we should all
context: That means Tachibana has to swim breast or back.\So we'll need one more person for...\I said that I only swim free,\so don't include me in your relay.\I said you can do free!\Uh...\Free... I mean...\I'm saying we should all response:	write our own messages on the bricks around the garden.
context: So we'll need one more person for...\I said that I only swim free,\so don't include me in your relay.\I said you can do free!\Uh...\Free... I mean...\I'm saying we should all\write our own messages on the bricks around the garden. response:	We'll do it our way! Be free!
context: I said that I only swim free,\so don't include me in your relay.\I said you can do free!\Uh...\Free... I mean...\I'm saying we should all\write our own messages on the bricks around the garden.\We'll do it our way! Be free! response:	That's a great idea.
context: so don't include me in your relay.\I said you can do free!\Uh...\Free... I mean...\I'm saying we should all\write our own messages on the bricks around the garden.\We'll do it our way! Be free!\That's a great idea. response:	It is.
context: I said you can do free!\Uh...\Free... I mean...\I'm saying we should all\write our own messages on the bricks around the garden.\We'll do it our way! Be free!\That's a great idea.\It is. response:	Nice one, Matsuoka!
context: Uh...\Free... I mean...\I'm saying we should all\write our own messages on the bricks around the garden.\We'll do it our way! Be free!\That's a great idea.\It is.\Nice one, Matsuoka! response:	Lovely!
context: Free... I mean...\I'm saying we should all\write our own messages on the bricks around the garden.\We'll do it our way! Be free!\That's a great idea.\It is.\Nice one, Matsuoka!\Lovely! response:	Matsuoka-kun's kick is really powerful.
context: I'm saying we should all\write our own messages on the bricks around the garden.\We'll do it our way! Be free!\That's a great idea.\It is.\Nice one, Matsuoka!\Lovely!\Matsuoka-kun's kick is really powerful. response:	He's so fast!
context: write our own messages on the bricks around the garden.\We'll do it our way! Be free!\That's a great idea.\It is.\Nice one, Matsuoka!\Lovely!\Matsuoka-kun's kick is really powerful.\He's so fast! response:	Where you going, Haru?
context: We'll do it our way! Be free!\That's a great idea.\It is.\Nice one, Matsuoka!\Lovely!\Matsuoka-kun's kick is really powerful.\He's so fast!\Where you going, Haru? response:	Our bicycles are over there.
context: That's a great idea.\It is.\Nice one, Matsuoka!\Lovely!\Matsuoka-kun's kick is really powerful.\He's so fast!\Where you going, Haru?\Our bicycles are over there. response:	I'm running home.
context: It is.\Nice one, Matsuoka!\Lovely!\Matsuoka-kun's kick is really powerful.\He's so fast!\Where you going, Haru?\Our bicycles are over there.\I'm running home. response:	That's so cool, Nanase-kun!
context: Nice one, Matsuoka!\Lovely!\Matsuoka-kun's kick is really powerful.\He's so fast!\Where you going, Haru?\Our bicycles are over there.\I'm running home.\That's so cool, Nanase-kun! response:	Hey, can I run with you?
context: Lovely!\Matsuoka-kun's kick is really powerful.\He's so fast!\Where you going, Haru?\Our bicycles are over there.\I'm running home.\That's so cool, Nanase-kun!\Hey, can I run with you? response:	If you can keep up.
context: Matsuoka-kun's kick is really powerful.\He's so fast!\Where you going, Haru?\Our bicycles are over there.\I'm running home.\That's so cool, Nanase-kun!\Hey, can I run with you?\If you can keep up. response:	Wait, Haru. Your bicycle...
context: He's so fast!\Where you going, Haru?\Our bicycles are over there.\I'm running home.\That's so cool, Nanase-kun!\Hey, can I run with you?\If you can keep up.\Wait, Haru. Your bicycle... response:	Hey, Matsuoka-kun.
context: Where you going, Haru?\Our bicycles are over there.\I'm running home.\That's so cool, Nanase-kun!\Hey, can I run with you?\If you can keep up.\Wait, Haru. Your bicycle...\Hey, Matsuoka-kun. response:	Are you swimming in a relay with Nanase-kun and Tachibana-kun?
context: Our bicycles are over there.\I'm running home.\That's so cool, Nanase-kun!\Hey, can I run with you?\If you can keep up.\Wait, Haru. Your bicycle...\Hey, Matsuoka-kun.\Are you swimming in a relay with Nanase-kun and Tachibana-kun? response:	That's the plan.
context: I'm running home.\That's so cool, Nanase-kun!\Hey, can I run with you?\If you can keep up.\Wait, Haru. Your bicycle...\Hey, Matsuoka-kun.\Are you swimming in a relay with Nanase-kun and Tachibana-kun?\That's the plan. response:	I'm still waiting for a response though.
context: That's so cool, Nanase-kun!\Hey, can I run with you?\If you can keep up.\Wait, Haru. Your bicycle...\Hey, Matsuoka-kun.\Are you swimming in a relay with Nanase-kun and Tachibana-kun?\That's the plan.\I'm still waiting for a response though. response:	Let me join you, then!
context: Hey, can I run with you?\If you can keep up.\Wait, Haru. Your bicycle...\Hey, Matsuoka-kun.\Are you swimming in a relay with Nanase-kun and Tachibana-kun?\That's the plan.\I'm still waiting for a response though.\Let me join you, then! response:	No way. We're serious about this.
context: If you can keep up.\Wait, Haru. Your bicycle...\Hey, Matsuoka-kun.\Are you swimming in a relay with Nanase-kun and Tachibana-kun?\That's the plan.\I'm still waiting for a response though.\Let me join you, then!\No way. We're serious about this. response:	I'm serious, too.
context: Wait, Haru. Your bicycle...\Hey, Matsuoka-kun.\Are you swimming in a relay with Nanase-kun and Tachibana-kun?\That's the plan.\I'm still waiting for a response though.\Let me join you, then!\No way. We're serious about this.\I'm serious, too. response:	I'm really fast.
context: Hey, Matsuoka-kun.\Are you swimming in a relay with Nanase-kun and Tachibana-kun?\That's the plan.\I'm still waiting for a response though.\Let me join you, then!\No way. We're serious about this.\I'm serious, too.\I'm really fast. response:	So please? Pretty please?
context: Are you swimming in a relay with Nanase-kun and Tachibana-kun?\That's the plan.\I'm still waiting for a response though.\Let me join you, then!\No way. We're serious about this.\I'm serious, too.\I'm really fast.\So please? Pretty please? response:	Fine then.
context: That's the plan.\I'm still waiting for a response though.\Let me join you, then!\No way. We're serious about this.\I'm serious, too.\I'm really fast.\So please? Pretty please?\Fine then. response:	You can join if you place first in the next breaststroke time trial.
context: I'm still waiting for a response though.\Let me join you, then!\No way. We're serious about this.\I'm serious, too.\I'm really fast.\So please? Pretty please?\Fine then.\You can join if you place first in the next breaststroke time trial. response:	Really?!
context: Let me join you, then!\No way. We're serious about this.\I'm serious, too.\I'm really fast.\So please? Pretty please?\Fine then.\You can join if you place first in the next breaststroke time trial.\Really?! response:	Nanase-kun, did you hear that?
context: No way. We're serious about this.\I'm serious, too.\I'm really fast.\So please? Pretty please?\Fine then.\You can join if you place first in the next breaststroke time trial.\Really?!\Nanase-kun, did you hear that? response:	I'm gonna work really hard!
context: I'm serious, too.\I'm really fast.\So please? Pretty please?\Fine then.\You can join if you place first in the next breaststroke time trial.\Really?!\Nanase-kun, did you hear that?\I'm gonna work really hard! response:	Practice is about to start.
context: I'm really fast.\So please? Pretty please?\Fine then.\You can join if you place first in the next breaststroke time trial.\Really?!\Nanase-kun, did you hear that?\I'm gonna work really hard!\Practice is about to start. response:	Okay! Wait for me!
context: So please? Pretty please?\Fine then.\You can join if you place first in the next breaststroke time trial.\Really?!\Nanase-kun, did you hear that?\I'm gonna work really hard!\Practice is about to start.\Okay! Wait for me! response:	Hey, why is Nanase so obsessed with free?
context: Fine then.\You can join if you place first in the next breaststroke time trial.\Really?!\Nanase-kun, did you hear that?\I'm gonna work really hard!\Practice is about to start.\Okay! Wait for me!\Hey, why is Nanase so obsessed with free? response:	He always says that he only swims free.
context: You can join if you place first in the next breaststroke time trial.\Really?!\Nanase-kun, did you hear that?\I'm gonna work really hard!\Practice is about to start.\Okay! Wait for me!\Hey, why is Nanase so obsessed with free?\He always says that he only swims free. response:	I don't think it's because Haru likes to swim free.
context: Really?!\Nanase-kun, did you hear that?\I'm gonna work really hard!\Practice is about to start.\Okay! Wait for me!\Hey, why is Nanase so obsessed with free?\He always says that he only swims free.\I don't think it's because Haru likes to swim free. response:	Why does he say that, then?
context: Nanase-kun, did you hear that?\I'm gonna work really hard!\Practice is about to start.\Okay! Wait for me!\Hey, why is Nanase so obsessed with free?\He always says that he only swims free.\I don't think it's because Haru likes to swim free.\Why does he say that, then? response:	I've never asked him,
context: I'm gonna work really hard!\Practice is about to start.\Okay! Wait for me!\Hey, why is Nanase so obsessed with free?\He always says that he only swims free.\I don't think it's because Haru likes to swim free.\Why does he say that, then?\I've never asked him, response:	but I think being in water feels the most natural to Haru.
context: Practice is about to start.\Okay! Wait for me!\Hey, why is Nanase so obsessed with free?\He always says that he only swims free.\I don't think it's because Haru likes to swim free.\Why does he say that, then?\I've never asked him,\but I think being in water feels the most natural to Haru. response:	So he wants to swim free.
context: Okay! Wait for me!\Hey, why is Nanase so obsessed with free?\He always says that he only swims free.\I don't think it's because Haru likes to swim free.\Why does he say that, then?\I've never asked him,\but I think being in water feels the most natural to Haru.\So he wants to swim free. response:	I don't get it.
context: Hey, why is Nanase so obsessed with free?\He always says that he only swims free.\I don't think it's because Haru likes to swim free.\Why does he say that, then?\I've never asked him,\but I think being in water feels the most natural to Haru.\So he wants to swim free.\I don't get it. response:	Is there a way to get Nanase to swim in the relay?
context: He always says that he only swims free.\I don't think it's because Haru likes to swim free.\Why does he say that, then?\I've never asked him,\but I think being in water feels the most natural to Haru.\So he wants to swim free.\I don't get it.\Is there a way to get Nanase to swim in the relay? response:	And why are you so obsessed with swimming in a relay?
context: I don't think it's because Haru likes to swim free.\Why does he say that, then?\I've never asked him,\but I think being in water feels the most natural to Haru.\So he wants to swim free.\I don't get it.\Is there a way to get Nanase to swim in the relay?\And why are you so obsessed with swimming in a relay? response:	Me?
context: Why does he say that, then?\I've never asked him,\but I think being in water feels the most natural to Haru.\So he wants to swim free.\I don't get it.\Is there a way to get Nanase to swim in the relay?\And why are you so obsessed with swimming in a relay?\Me? response:	Well, I have my reasons.
context: I've never asked him,\but I think being in water feels the most natural to Haru.\So he wants to swim free.\I don't get it.\Is there a way to get Nanase to swim in the relay?\And why are you so obsessed with swimming in a relay?\Me?\Well, I have my reasons. response:	Friends
context: but I think being in water feels the most natural to Haru.\So he wants to swim free.\I don't get it.\Is there a way to get Nanase to swim in the relay?\And why are you so obsessed with swimming in a relay?\Me?\Well, I have my reasons.\Friends response:	Thanks
context: So he wants to swim free.\I don't get it.\Is there a way to get Nanase to swim in the relay?\And why are you so obsessed with swimming in a relay?\Me?\Well, I have my reasons.\Friends\Thanks response:	I won't be attending middle school here.
context: I don't get it.\Is there a way to get Nanase to swim in the relay?\And why are you so obsessed with swimming in a relay?\Me?\Well, I have my reasons.\Friends\Thanks\I won't be attending middle school here. response:	I'm going to Australia.
context: Is there a way to get Nanase to swim in the relay?\And why are you so obsessed with swimming in a relay?\Me?\Well, I have my reasons.\Friends\Thanks\I won't be attending middle school here.\I'm going to Australia. response:	I'm going to a swimming school.
context: And why are you so obsessed with swimming in a relay?\Me?\Well, I have my reasons.\Friends\Thanks\I won't be attending middle school here.\I'm going to Australia.\I'm going to a swimming school. response:	Smile
context: Me?\Well, I have my reasons.\Friends\Thanks\I won't be attending middle school here.\I'm going to Australia.\I'm going to a swimming school.\Smile response:	What are you trying to do?
context: Well, I have my reasons.\Friends\Thanks\I won't be attending middle school here.\I'm going to Australia.\I'm going to a swimming school.\Smile\What are you trying to do? response:	I'm going to become an Olympic swimmer.
context: Friends\Thanks\I won't be attending middle school here.\I'm going to Australia.\I'm going to a swimming school.\Smile\What are you trying to do?\I'm going to become an Olympic swimmer. response:	Why didn't you tell us?
context: Thanks\I won't be attending middle school here.\I'm going to Australia.\I'm going to a swimming school.\Smile\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us? response:	What about the relay?
context: I won't be attending middle school here.\I'm going to Australia.\I'm going to a swimming school.\Smile\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay? response:	I'll swim in the relay.
context: I'm going to Australia.\I'm going to a swimming school.\Smile\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay. response:	I'm leaving the day after the tournament.
context: I'm going to a swimming school.\Smile\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament. response:	So this will be the last time the four of us swim together.
context: Smile\What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together. response:	I only swim freestyle.
context: What are you trying to do?\I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle. response:	That's why you have to swim in the relay.
context: I'm going to become an Olympic swimmer.\Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay. response:	This is our last chance.
context: Why didn't you tell us?\What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance. response:	Let's swim together, Nanase.
context: What about the relay?\I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase. response:	If you swim with me,
context: I'll swim in the relay.\I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me, response:	I'll show you a sight you've never seen before.
context: I'm leaving the day after the tournament.\So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before. response:	Hey! Put some more effort into it!
context: So this will be the last time the four of us swim together.\I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\Hey! Put some more effort into it! response:	Nagisa, you're bending your knees too much.
context: I only swim freestyle.\That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\Hey! Put some more effort into it!\Nagisa, you're bending your knees too much. response:	You don't need such a powerful jump for a relay dive.
context: That's why you have to swim in the relay.\This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\Hey! Put some more effort into it!\Nagisa, you're bending your knees too much.\You don't need such a powerful jump for a relay dive. response:	Makoto, your form is terrible!
context: This is our last chance.\Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\Hey! Put some more effort into it!\Nagisa, you're bending your knees too much.\You don't need such a powerful jump for a relay dive.\Makoto, your form is terrible! response:	You're not using your shoulders!
context: Let's swim together, Nanase.\If you swim with me,\I'll show you a sight you've never seen before.\Hey! Put some more effort into it!\Nagisa, you're bending your knees too much.\You don't need such a powerful jump for a relay dive.\Makoto, your form is terrible!\You're not using your shoulders! response:	I'm glad that Goro-chan agreed to coach us,
context: If you swim with me,\I'll show you a sight you've never seen before.\Hey! Put some more effort into it!\Nagisa, you're bending your knees too much.\You don't need such a powerful jump for a relay dive.\Makoto, your form is terrible!\You're not using your shoulders!\I'm glad that Goro-chan agreed to coach us, response:	but his training regimen is tough.
context: I'll show you a sight you've never seen before.\Hey! Put some more effort into it!\Nagisa, you're bending your knees too much.\You don't need such a powerful jump for a relay dive.\Makoto, your form is terrible!\You're not using your shoulders!\I'm glad that Goro-chan agreed to coach us,\but his training regimen is tough. response:	That's why everyone called him Goro the Demon.
