context: Happily, painfully... You're shining. response:	Glittering, shimmering...
context: I wanted you to know, Misaki.\I sent you a list of the stars that were active during the explosions.\Were contractors involved?\Wasn't it a series of retaliatory attacks between intelligence agencies?\Information was leaked down to us.\I don't believe that people who make their living in the underworld would resort to such a conspicuous method.\Could it be...\Why did Amber take Yin? response:	I heard that you and her were on the same team in South America until she left the syndicate.
context: I sent you a list of the stars that were active during the explosions.\Were contractors involved?\Wasn't it a series of retaliatory attacks between intelligence agencies?\Information was leaked down to us.\I don't believe that people who make their living in the underworld would resort to such a conspicuous method.\Could it be...\Why did Amber take Yin?\I heard that you and her were on the same team in South America until she left the syndicate. response:	What happened between you two?
context: Were contractors involved?\Wasn't it a series of retaliatory attacks between intelligence agencies?\Information was leaked down to us.\I don't believe that people who make their living in the underworld would resort to such a conspicuous method.\Could it be...\Why did Amber take Yin?\I heard that you and her were on the same team in South America until she left the syndicate.\What happened between you two? response:	Stop the car.
context: Wasn't it a series of retaliatory attacks between intelligence agencies?\Information was leaked down to us.\I don't believe that people who make their living in the underworld would resort to such a conspicuous method.\Could it be...\Why did Amber take Yin?\I heard that you and her were on the same team in South America until she left the syndicate.\What happened between you two?\Stop the car. response:	You're going the wrong way!
context: Information was leaked down to us.\I don't believe that people who make their living in the underworld would resort to such a conspicuous method.\Could it be...\Why did Amber take Yin?\I heard that you and her were on the same team in South America until she left the syndicate.\What happened between you two?\Stop the car.\You're going the wrong way! response:	Misaki...
context: I don't believe that people who make their living in the underworld would resort to such a conspicuous method.\Could it be...\Why did Amber take Yin?\I heard that you and her were on the same team in South America until she left the syndicate.\What happened between you two?\Stop the car.\You're going the wrong way!\Misaki... response:	What is it?
context: Could it be...\Why did Amber take Yin?\I heard that you and her were on the same team in South America until she left the syndicate.\What happened between you two?\Stop the car.\You're going the wrong way!\Misaki...\What is it? response:	November... If anything happens... Police... Misaki's place...
context: Why did Amber take Yin?\I heard that you and her were on the same team in South America until she left the syndicate.\What happened between you two?\Stop the car.\You're going the wrong way!\Misaki...\What is it?\November... If anything happens... Police... Misaki's place... response:	What happened to him?
context: I heard that you and her were on the same team in South America until she left the syndicate.\What happened between you two?\Stop the car.\You're going the wrong way!\Misaki...\What is it?\November... If anything happens... Police... Misaki's place...\What happened to him? response:	He didn't come back.
context: What happened between you two?\Stop the car.\You're going the wrong way!\Misaki...\What is it?\November... If anything happens... Police... Misaki's place...\What happened to him?\He didn't come back. response:	Do you know where he went?
context: Stop the car.\You're going the wrong way!\Misaki...\What is it?\November... If anything happens... Police... Misaki's place...\What happened to him?\He didn't come back.\Do you know where he went? response:	I always know where my partners are.
context: You're going the wrong way!\Misaki...\What is it?\November... If anything happens... Police... Misaki's place...\What happened to him?\He didn't come back.\Do you know where he went?\I always know where my partners are. response:	Tell me along the way.
context: Misaki...\What is it?\November... If anything happens... Police... Misaki's place...\What happened to him?\He didn't come back.\Do you know where he went?\I always know where my partners are.\Tell me along the way. response:	Partner?
context: What is it?\November... If anything happens... Police... Misaki's place...\What happened to him?\He didn't come back.\Do you know where he went?\I always know where my partners are.\Tell me along the way.\Partner? response:	Nice to meet you.
context: November... If anything happens... Police... Misaki's place...\What happened to him?\He didn't come back.\Do you know where he went?\I always know where my partners are.\Tell me along the way.\Partner?\Nice to meet you. response:	Good morning. Good afternoon.
context: What happened to him?\He didn't come back.\Do you know where he went?\I always know where my partners are.\Tell me along the way.\Partner?\Nice to meet you.\Good morning. Good afternoon. response:	Good evening.
context: He didn't come back.\Do you know where he went?\I always know where my partners are.\Tell me along the way.\Partner?\Nice to meet you.\Good morning. Good afternoon.\Good evening. response:	Good night.
context: Do you know where he went?\I always know where my partners are.\Tell me along the way.\Partner?\Nice to meet you.\Good morning. Good afternoon.\Good evening.\Good night. response:	Thank you.
context: I always know where my partners are.\Tell me along the way.\Partner?\Nice to meet you.\Good morning. Good afternoon.\Good evening.\Good night.\Thank you. response:	No need to rush. Take your time.
context: Tell me along the way.\Partner?\Nice to meet you.\Good morning. Good afternoon.\Good evening.\Good night.\Thank you.\No need to rush. Take your time. response:	It wouldn't be my remuneration if the milk wasn't hot.
context: Partner?\Nice to meet you.\Good morning. Good afternoon.\Good evening.\Good night.\Thank you.\No need to rush. Take your time.\It wouldn't be my remuneration if the milk wasn't hot. response:	Sorry to interrupt your conversation,
context: Nice to meet you.\Good morning. Good afternoon.\Good evening.\Good night.\Thank you.\No need to rush. Take your time.\It wouldn't be my remuneration if the milk wasn't hot.\Sorry to interrupt your conversation, response:	but would you mind if I had a cigarette?
context: Good morning. Good afternoon.\Good evening.\Good night.\Thank you.\No need to rush. Take your time.\It wouldn't be my remuneration if the milk wasn't hot.\Sorry to interrupt your conversation,\but would you mind if I had a cigarette? response:	They're in my left suit pocket.
context: Good evening.\Good night.\Thank you.\No need to rush. Take your time.\It wouldn't be my remuneration if the milk wasn't hot.\Sorry to interrupt your conversation,\but would you mind if I had a cigarette?\They're in my left suit pocket. response:	I'm not allowed to make physical contact with you.
context: Good night.\Thank you.\No need to rush. Take your time.\It wouldn't be my remuneration if the milk wasn't hot.\Sorry to interrupt your conversation,\but would you mind if I had a cigarette?\They're in my left suit pocket.\I'm not allowed to make physical contact with you. response:	You're an excellent contractor.
context: Thank you.\No need to rush. Take your time.\It wouldn't be my remuneration if the milk wasn't hot.\Sorry to interrupt your conversation,\but would you mind if I had a cigarette?\They're in my left suit pocket.\I'm not allowed to make physical contact with you.\You're an excellent contractor. response:	You were able to avoid the scorching heat by making a split-second decision.
context: No need to rush. Take your time.\It wouldn't be my remuneration if the milk wasn't hot.\Sorry to interrupt your conversation,\but would you mind if I had a cigarette?\They're in my left suit pocket.\I'm not allowed to make physical contact with you.\You're an excellent contractor.\You were able to avoid the scorching heat by making a split-second decision. response:	I'd appreciate a smoke more than a compliment.
context: It wouldn't be my remuneration if the milk wasn't hot.\Sorry to interrupt your conversation,\but would you mind if I had a cigarette?\They're in my left suit pocket.\I'm not allowed to make physical contact with you.\You're an excellent contractor.\You were able to avoid the scorching heat by making a split-second decision.\I'd appreciate a smoke more than a compliment. response:	Did you know that cigarette smoke is more hazardous to those around the smoker?
context: Sorry to interrupt your conversation,\but would you mind if I had a cigarette?\They're in my left suit pocket.\I'm not allowed to make physical contact with you.\You're an excellent contractor.\You were able to avoid the scorching heat by making a split-second decision.\I'd appreciate a smoke more than a compliment.\Did you know that cigarette smoke is more hazardous to those around the smoker? response:	The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,
context: but would you mind if I had a cigarette?\They're in my left suit pocket.\I'm not allowed to make physical contact with you.\You're an excellent contractor.\You were able to avoid the scorching heat by making a split-second decision.\I'd appreciate a smoke more than a compliment.\Did you know that cigarette smoke is more hazardous to those around the smoker?\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms, response:	while there are between 680...
context: They're in my left suit pocket.\I'm not allowed to make physical contact with you.\You're an excellent contractor.\You were able to avoid the scorching heat by making a split-second decision.\I'd appreciate a smoke more than a compliment.\Did you know that cigarette smoke is more hazardous to those around the smoker?\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680... response:	I already know that.
context: I'm not allowed to make physical contact with you.\You're an excellent contractor.\You were able to avoid the scorching heat by making a split-second decision.\I'd appreciate a smoke more than a compliment.\Did you know that cigarette smoke is more hazardous to those around the smoker?\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680...\I already know that. response:	I've always wanted to see what happens to a contractor who doesn't complete his remuneration.
context: You're an excellent contractor.\You were able to avoid the scorching heat by making a split-second decision.\I'd appreciate a smoke more than a compliment.\Did you know that cigarette smoke is more hazardous to those around the smoker?\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680...\I already know that.\I've always wanted to see what happens to a contractor who doesn't complete his remuneration. response:	Do they really melt like butter?
context: You were able to avoid the scorching heat by making a split-second decision.\I'd appreciate a smoke more than a compliment.\Did you know that cigarette smoke is more hazardous to those around the smoker?\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680...\I already know that.\I've always wanted to see what happens to a contractor who doesn't complete his remuneration.\Do they really melt like butter? response:	I'm kidding.
context: I'd appreciate a smoke more than a compliment.\Did you know that cigarette smoke is more hazardous to those around the smoker?\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680...\I already know that.\I've always wanted to see what happens to a contractor who doesn't complete his remuneration.\Do they really melt like butter?\I'm kidding. response:	There was a vending machine on the street.
context: Did you know that cigarette smoke is more hazardous to those around the smoker?\The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680...\I already know that.\I've always wanted to see what happens to a contractor who doesn't complete his remuneration.\Do they really melt like butter?\I'm kidding.\There was a vending machine on the street. response:	Nice to meet you.
context: The amount of the carcinogen dimethylnitrosamine present in direct smoke is between 5.3 and 43 nanograms,\while there are between 680...\I already know that.\I've always wanted to see what happens to a contractor who doesn't complete his remuneration.\Do they really melt like butter?\I'm kidding.\There was a vending machine on the street.\Nice to meet you. response:	Good morning.
context: while there are between 680...\I already know that.\I've always wanted to see what happens to a contractor who doesn't complete his remuneration.\Do they really melt like butter?\I'm kidding.\There was a vending machine on the street.\Nice to meet you.\Good morning. response:	What an admirable young man,
context: I already know that.\I've always wanted to see what happens to a contractor who doesn't complete his remuneration.\Do they really melt like butter?\I'm kidding.\There was a vending machine on the street.\Nice to meet you.\Good morning.\What an admirable young man, response:	managing to study whenever you're not bombing buildings.
context: I've always wanted to see what happens to a contractor who doesn't complete his remuneration.\Do they really melt like butter?\I'm kidding.\There was a vending machine on the street.\Nice to meet you.\Good morning.\What an admirable young man,\managing to study whenever you're not bombing buildings. response:	It gives me a strange feeling for some reason.
context: Do they really melt like butter?\I'm kidding.\There was a vending machine on the street.\Nice to meet you.\Good morning.\What an admirable young man,\managing to study whenever you're not bombing buildings.\It gives me a strange feeling for some reason. response:	Amber taught me.
context: I'm kidding.\There was a vending machine on the street.\Nice to meet you.\Good morning.\What an admirable young man,\managing to study whenever you're not bombing buildings.\It gives me a strange feeling for some reason.\Amber taught me. response:	At first, I thought it was pointless.
context: There was a vending machine on the street.\Nice to meet you.\Good morning.\What an admirable young man,\managing to study whenever you're not bombing buildings.\It gives me a strange feeling for some reason.\Amber taught me.\At first, I thought it was pointless. response:	You can't reach out to people with mere words since they're just enumerations of syllables,
context: Nice to meet you.\Good morning.\What an admirable young man,\managing to study whenever you're not bombing buildings.\It gives me a strange feeling for some reason.\Amber taught me.\At first, I thought it was pointless.\You can't reach out to people with mere words since they're just enumerations of syllables, response:	but Amber said that wasn't true.
context: Good morning.\What an admirable young man,\managing to study whenever you're not bombing buildings.\It gives me a strange feeling for some reason.\Amber taught me.\At first, I thought it was pointless.\You can't reach out to people with mere words since they're just enumerations of syllables,\but Amber said that wasn't true. response:	I'm studying every day because Amber told me to.
context: What an admirable young man,\managing to study whenever you're not bombing buildings.\It gives me a strange feeling for some reason.\Amber taught me.\At first, I thought it was pointless.\You can't reach out to people with mere words since they're just enumerations of syllables,\but Amber said that wasn't true.\I'm studying every day because Amber told me to. response:	I'd do anything for Amber's sake.
context: managing to study whenever you're not bombing buildings.\It gives me a strange feeling for some reason.\Amber taught me.\At first, I thought it was pointless.\You can't reach out to people with mere words since they're just enumerations of syllables,\but Amber said that wasn't true.\I'm studying every day because Amber told me to.\I'd do anything for Amber's sake. response:	I'd even destroy this city.
context: It gives me a strange feeling for some reason.\Amber taught me.\At first, I thought it was pointless.\You can't reach out to people with mere words since they're just enumerations of syllables,\but Amber said that wasn't true.\I'm studying every day because Amber told me to.\I'd do anything for Amber's sake.\I'd even destroy this city. response:	Anything.
context: Amber taught me.\At first, I thought it was pointless.\You can't reach out to people with mere words since they're just enumerations of syllables,\but Amber said that wasn't true.\I'm studying every day because Amber told me to.\I'd do anything for Amber's sake.\I'd even destroy this city.\Anything. response:	You'll have to sit still for a while.
context: At first, I thought it was pointless.\You can't reach out to people with mere words since they're just enumerations of syllables,\but Amber said that wasn't true.\I'm studying every day because Amber told me to.\I'd do anything for Amber's sake.\I'd even destroy this city.\Anything.\You'll have to sit still for a while. response:	Those were orders from above.
context: You can't reach out to people with mere words since they're just enumerations of syllables,\but Amber said that wasn't true.\I'm studying every day because Amber told me to.\I'd do anything for Amber's sake.\I'd even destroy this city.\Anything.\You'll have to sit still for a while.\Those were orders from above. response:	I can't let you meet Amber.
context: but Amber said that wasn't true.\I'm studying every day because Amber told me to.\I'd do anything for Amber's sake.\I'd even destroy this city.\Anything.\You'll have to sit still for a while.\Those were orders from above.\I can't let you meet Amber. response:	Don't screw around with me!
context: I'm studying every day because Amber told me to.\I'd do anything for Amber's sake.\I'd even destroy this city.\Anything.\You'll have to sit still for a while.\Those were orders from above.\I can't let you meet Amber.\Don't screw around with me! response:	Hey, Huang!
context: I'd do anything for Amber's sake.\I'd even destroy this city.\Anything.\You'll have to sit still for a while.\Those were orders from above.\I can't let you meet Amber.\Don't screw around with me!\Hey, Huang! response:	It's nothing personal.
context: I'd even destroy this city.\Anything.\You'll have to sit still for a while.\Those were orders from above.\I can't let you meet Amber.\Don't screw around with me!\Hey, Huang!\It's nothing personal. response:	It's not like I want to do this,
context: Anything.\You'll have to sit still for a while.\Those were orders from above.\I can't let you meet Amber.\Don't screw around with me!\Hey, Huang!\It's nothing personal.\It's not like I want to do this, response:	but it's partly your fault for constantly not listening to me.
context: You'll have to sit still for a while.\Those were orders from above.\I can't let you meet Amber.\Don't screw around with me!\Hey, Huang!\It's nothing personal.\It's not like I want to do this,\but it's partly your fault for constantly not listening to me. response:	I'll kill you if you get in my way.
context: Those were orders from above.\I can't let you meet Amber.\Don't screw around with me!\Hey, Huang!\It's nothing personal.\It's not like I want to do this,\but it's partly your fault for constantly not listening to me.\I'll kill you if you get in my way. response:	You're the one who's going to die if you don't follow the syndicate's orders.
context: I can't let you meet Amber.\Don't screw around with me!\Hey, Huang!\It's nothing personal.\It's not like I want to do this,\but it's partly your fault for constantly not listening to me.\I'll kill you if you get in my way.\You're the one who's going to die if you don't follow the syndicate's orders. response:	Don't make me do it.
context: Don't screw around with me!\Hey, Huang!\It's nothing personal.\It's not like I want to do this,\but it's partly your fault for constantly not listening to me.\I'll kill you if you get in my way.\You're the one who's going to die if you don't follow the syndicate's orders.\Don't make me do it. response:	Huang, don't!
context: Hey, Huang!\It's nothing personal.\It's not like I want to do this,\but it's partly your fault for constantly not listening to me.\I'll kill you if you get in my way.\You're the one who's going to die if you don't follow the syndicate's orders.\Don't make me do it.\Huang, don't! response:	Alley cats should shut the fuck up!
context: It's nothing personal.\It's not like I want to do this,\but it's partly your fault for constantly not listening to me.\I'll kill you if you get in my way.\You're the one who's going to die if you don't follow the syndicate's orders.\Don't make me do it.\Huang, don't!\Alley cats should shut the fuck up! response:	Don't do it, Hei!
context: It's not like I want to do this,\but it's partly your fault for constantly not listening to me.\I'll kill you if you get in my way.\You're the one who's going to die if you don't follow the syndicate's orders.\Don't make me do it.\Huang, don't!\Alley cats should shut the fuck up!\Don't do it, Hei! response:	Episode Sixteen
context: but it's partly your fault for constantly not listening to me.\I'll kill you if you get in my way.\You're the one who's going to die if you don't follow the syndicate's orders.\Don't make me do it.\Huang, don't!\Alley cats should shut the fuck up!\Don't do it, Hei!\Episode Sixteen response:	Memories of Betrayal
context: I'll kill you if you get in my way.\You're the one who's going to die if you don't follow the syndicate's orders.\Don't make me do it.\Huang, don't!\Alley cats should shut the fuck up!\Don't do it, Hei!\Episode Sixteen\Memories of Betrayal response:	in an Amber Smile...
context: You're the one who's going to die if you don't follow the syndicate's orders.\Don't make me do it.\Huang, don't!\Alley cats should shut the fuck up!\Don't do it, Hei!\Episode Sixteen\Memories of Betrayal\in an Amber Smile... response:	(Part Two)
context: Don't make me do it.\Huang, don't!\Alley cats should shut the fuck up!\Don't do it, Hei!\Episode Sixteen\Memories of Betrayal\in an Amber Smile...\(Part Two) response:	Hey, can I ask you something?
context: Huang, don't!\Alley cats should shut the fuck up!\Don't do it, Hei!\Episode Sixteen\Memories of Betrayal\in an Amber Smile...\(Part Two)\Hey, can I ask you something? response:	Why would a contractor like you work for human beings?
context: Alley cats should shut the fuck up!\Don't do it, Hei!\Episode Sixteen\Memories of Betrayal\in an Amber Smile...\(Part Two)\Hey, can I ask you something?\Why would a contractor like you work for human beings? response:	We're the chosen ones.
context: Don't do it, Hei!\Episode Sixteen\Memories of Betrayal\in an Amber Smile...\(Part Two)\Hey, can I ask you something?\Why would a contractor like you work for human beings?\We're the chosen ones. response:	They're afraid of us because they can't sign contracts,
context: Episode Sixteen\Memories of Betrayal\in an Amber Smile...\(Part Two)\Hey, can I ask you something?\Why would a contractor like you work for human beings?\We're the chosen ones.\They're afraid of us because they can't sign contracts, response:	which makes sense.
context: Memories of Betrayal\in an Amber Smile...\(Part Two)\Hey, can I ask you something?\Why would a contractor like you work for human beings?\We're the chosen ones.\They're afraid of us because they can't sign contracts,\which makes sense. response:	An existence with newly acquired powers has emerged.
context: in an Amber Smile...\(Part Two)\Hey, can I ask you something?\Why would a contractor like you work for human beings?\We're the chosen ones.\They're afraid of us because they can't sign contracts,\which makes sense.\An existence with newly acquired powers has emerged. response:	An existence fit to establish a new world order.
context: (Part Two)\Hey, can I ask you something?\Why would a contractor like you work for human beings?\We're the chosen ones.\They're afraid of us because they can't sign contracts,\which makes sense.\An existence with newly acquired powers has emerged.\An existence fit to establish a new world order. response:	Is that part of Amber's manifesto?
context: Hey, can I ask you something?\Why would a contractor like you work for human beings?\We're the chosen ones.\They're afraid of us because they can't sign contracts,\which makes sense.\An existence with newly acquired powers has emerged.\An existence fit to establish a new world order.\Is that part of Amber's manifesto? response:	Amber wouldn't say something like that.
context: Why would a contractor like you work for human beings?\We're the chosen ones.\They're afraid of us because they can't sign contracts,\which makes sense.\An existence with newly acquired powers has emerged.\An existence fit to establish a new world order.\Is that part of Amber's manifesto?\Amber wouldn't say something like that. response:	I was told that the tragedy that took place in South America had to be repeated in this city.
context: We're the chosen ones.\They're afraid of us because they can't sign contracts,\which makes sense.\An existence with newly acquired powers has emerged.\An existence fit to establish a new world order.\Is that part of Amber's manifesto?\Amber wouldn't say something like that.\I was told that the tragedy that took place in South America had to be repeated in this city. response:	Why?
