context: The first semester was about to end. response:	Finals and intramurals have ended.
context: Oh, Arima, good morning.\Oh, you're so cute. What is it?\Damm, Shibahime's such a brat.\Is this for revenge?\A lot of things happened, in the first semester.\I met Miyazawa, we found out each other's true nature...\Miyazawa easily demolished the me that was the square, unfortunate model student...\and said she liked me. response:	I was so glad I met her.
context: Oh, you're so cute. What is it?\Damm, Shibahime's such a brat.\Is this for revenge?\A lot of things happened, in the first semester.\I met Miyazawa, we found out each other's true nature...\Miyazawa easily demolished the me that was the square, unfortunate model student...\and said she liked me.\I was so glad I met her. response:	I was so glad we're spending our high school days together.
context: Damm, Shibahime's such a brat.\Is this for revenge?\A lot of things happened, in the first semester.\I met Miyazawa, we found out each other's true nature...\Miyazawa easily demolished the me that was the square, unfortunate model student...\and said she liked me.\I was so glad I met her.\I was so glad we're spending our high school days together. response:	It's really hot these days.
context: Is this for revenge?\A lot of things happened, in the first semester.\I met Miyazawa, we found out each other's true nature...\Miyazawa easily demolished the me that was the square, unfortunate model student...\and said she liked me.\I was so glad I met her.\I was so glad we're spending our high school days together.\It's really hot these days. response:	First semester's coming to an end.
context: A lot of things happened, in the first semester.\I met Miyazawa, we found out each other's true nature...\Miyazawa easily demolished the me that was the square, unfortunate model student...\and said she liked me.\I was so glad I met her.\I was so glad we're spending our high school days together.\It's really hot these days.\First semester's coming to an end. response:	Yeah. Come to think of it, an awful lot of stuff happened, didn't it?
context: I met Miyazawa, we found out each other's true nature...\Miyazawa easily demolished the me that was the square, unfortunate model student...\and said she liked me.\I was so glad I met her.\I was so glad we're spending our high school days together.\It's really hot these days.\First semester's coming to an end.\Yeah. Come to think of it, an awful lot of stuff happened, didn't it? response:	I was just thinking that myself.
context: Miyazawa easily demolished the me that was the square, unfortunate model student...\and said she liked me.\I was so glad I met her.\I was so glad we're spending our high school days together.\It's really hot these days.\First semester's coming to an end.\Yeah. Come to think of it, an awful lot of stuff happened, didn't it?\I was just thinking that myself. response:	What if second semester's like this, too?
context: and said she liked me.\I was so glad I met her.\I was so glad we're spending our high school days together.\It's really hot these days.\First semester's coming to an end.\Yeah. Come to think of it, an awful lot of stuff happened, didn't it?\I was just thinking that myself.\What if second semester's like this, too? response:	I don't want to think about it, so I'm not going to.
context: I was so glad I met her.\I was so glad we're spending our high school days together.\It's really hot these days.\First semester's coming to an end.\Yeah. Come to think of it, an awful lot of stuff happened, didn't it?\I was just thinking that myself.\What if second semester's like this, too?\I don't want to think about it, so I'm not going to. response:	Man, it's already summer vacation?
context: I was so glad we're spending our high school days together.\It's really hot these days.\First semester's coming to an end.\Yeah. Come to think of it, an awful lot of stuff happened, didn't it?\I was just thinking that myself.\What if second semester's like this, too?\I don't want to think about it, so I'm not going to.\Man, it's already summer vacation? response:	Are you going anywhere for summer vacation?
context: It's really hot these days.\First semester's coming to an end.\Yeah. Come to think of it, an awful lot of stuff happened, didn't it?\I was just thinking that myself.\What if second semester's like this, too?\I don't want to think about it, so I'm not going to.\Man, it's already summer vacation?\Are you going anywhere for summer vacation? response:	Nah. Maybe as far as grandpa's house.
context: First semester's coming to an end.\Yeah. Come to think of it, an awful lot of stuff happened, didn't it?\I was just thinking that myself.\What if second semester's like this, too?\I don't want to think about it, so I'm not going to.\Man, it's already summer vacation?\Are you going anywhere for summer vacation?\Nah. Maybe as far as grandpa's house. response:	We're not that well off.
context: Yeah. Come to think of it, an awful lot of stuff happened, didn't it?\I was just thinking that myself.\What if second semester's like this, too?\I don't want to think about it, so I'm not going to.\Man, it's already summer vacation?\Are you going anywhere for summer vacation?\Nah. Maybe as far as grandpa's house.\We're not that well off. response:	But I'll be playing with the girls.
context: I was just thinking that myself.\What if second semester's like this, too?\I don't want to think about it, so I'm not going to.\Man, it's already summer vacation?\Are you going anywhere for summer vacation?\Nah. Maybe as far as grandpa's house.\We're not that well off.\But I'll be playing with the girls. response:	We'll go to the movies and the pool...
context: What if second semester's like this, too?\I don't want to think about it, so I'm not going to.\Man, it's already summer vacation?\Are you going anywhere for summer vacation?\Nah. Maybe as far as grandpa's house.\We're not that well off.\But I'll be playing with the girls.\We'll go to the movies and the pool... response:	With Shibahime and everyone?
context: I don't want to think about it, so I'm not going to.\Man, it's already summer vacation?\Are you going anywhere for summer vacation?\Nah. Maybe as far as grandpa's house.\We're not that well off.\But I'll be playing with the girls.\We'll go to the movies and the pool...\With Shibahime and everyone? response:	Yeah!
context: Man, it's already summer vacation?\Are you going anywhere for summer vacation?\Nah. Maybe as far as grandpa's house.\We're not that well off.\But I'll be playing with the girls.\We'll go to the movies and the pool...\With Shibahime and everyone?\Yeah! response:	I finally get to debut into the girls' world.
context: Are you going anywhere for summer vacation?\Nah. Maybe as far as grandpa's house.\We're not that well off.\But I'll be playing with the girls.\We'll go to the movies and the pool...\With Shibahime and everyone?\Yeah!\I finally get to debut into the girls' world. response:	Going to festivals and karaoke-ing and all... I've never done that before!
context: Nah. Maybe as far as grandpa's house.\We're not that well off.\But I'll be playing with the girls.\We'll go to the movies and the pool...\With Shibahime and everyone?\Yeah!\I finally get to debut into the girls' world.\Going to festivals and karaoke-ing and all... I've never done that before! response:	I'm so happy.
context: We're not that well off.\But I'll be playing with the girls.\We'll go to the movies and the pool...\With Shibahime and everyone?\Yeah!\I finally get to debut into the girls' world.\Going to festivals and karaoke-ing and all... I've never done that before!\I'm so happy. response:	Maybe I should do the kogal thing...
context: But I'll be playing with the girls.\We'll go to the movies and the pool...\With Shibahime and everyone?\Yeah!\I finally get to debut into the girls' world.\Going to festivals and karaoke-ing and all... I've never done that before!\I'm so happy.\Maybe I should do the kogal thing... response:	How about you? Are you going anywhere?
context: We'll go to the movies and the pool...\With Shibahime and everyone?\Yeah!\I finally get to debut into the girls' world.\Going to festivals and karaoke-ing and all... I've never done that before!\I'm so happy.\Maybe I should do the kogal thing...\How about you? Are you going anywhere? response:	Well,
context: With Shibahime and everyone?\Yeah!\I finally get to debut into the girls' world.\Going to festivals and karaoke-ing and all... I've never done that before!\I'm so happy.\Maybe I should do the kogal thing...\How about you? Are you going anywhere?\Well, response:	I'm going to be pretty busy this summer, so I don't know.
context: Yeah!\I finally get to debut into the girls' world.\Going to festivals and karaoke-ing and all... I've never done that before!\I'm so happy.\Maybe I should do the kogal thing...\How about you? Are you going anywhere?\Well,\I'm going to be pretty busy this summer, so I don't know. response:	Say, Miyazawa.
context: I finally get to debut into the girls' world.\Going to festivals and karaoke-ing and all... I've never done that before!\I'm so happy.\Maybe I should do the kogal thing...\How about you? Are you going anywhere?\Well,\I'm going to be pretty busy this summer, so I don't know.\Say, Miyazawa. response:	Yeah?
context: Going to festivals and karaoke-ing and all... I've never done that before!\I'm so happy.\Maybe I should do the kogal thing...\How about you? Are you going anywhere?\Well,\I'm going to be pretty busy this summer, so I don't know.\Say, Miyazawa.\Yeah? response:	There's something I haven't told you...
context: I'm so happy.\Maybe I should do the kogal thing...\How about you? Are you going anywhere?\Well,\I'm going to be pretty busy this summer, so I don't know.\Say, Miyazawa.\Yeah?\There's something I haven't told you... response:	What is it?
context: Maybe I should do the kogal thing...\How about you? Are you going anywhere?\Well,\I'm going to be pretty busy this summer, so I don't know.\Say, Miyazawa.\Yeah?\There's something I haven't told you...\What is it? response:	There's this meet in August. For kendo.
context: How about you? Are you going anywhere?\Well,\I'm going to be pretty busy this summer, so I don't know.\Say, Miyazawa.\Yeah?\There's something I haven't told you...\What is it?\There's this meet in August. For kendo. response:	Yeah?
context: Well,\I'm going to be pretty busy this summer, so I don't know.\Say, Miyazawa.\Yeah?\There's something I haven't told you...\What is it?\There's this meet in August. For kendo.\Yeah? response:	I'm going to compete in it, too.
context: I'm going to be pretty busy this summer, so I don't know.\Say, Miyazawa.\Yeah?\There's something I haven't told you...\What is it?\There's this meet in August. For kendo.\Yeah?\I'm going to compete in it, too. response:	So I have to practice a lot.
context: Say, Miyazawa.\Yeah?\There's something I haven't told you...\What is it?\There's this meet in August. For kendo.\Yeah?\I'm going to compete in it, too.\So I have to practice a lot. response:	We may not be able to see each other for a while.
context: Yeah?\There's something I haven't told you...\What is it?\There's this meet in August. For kendo.\Yeah?\I'm going to compete in it, too.\So I have to practice a lot.\We may not be able to see each other for a while. response:	I'm going to be in the Inter-High Competition.
context: There's something I haven't told you...\What is it?\There's this meet in August. For kendo.\Yeah?\I'm going to compete in it, too.\So I have to practice a lot.\We may not be able to see each other for a while.\I'm going to be in the Inter-High Competition. response:	So I'll be practicing in training camp through all of July.
context: What is it?\There's this meet in August. For kendo.\Yeah?\I'm going to compete in it, too.\So I have to practice a lot.\We may not be able to see each other for a while.\I'm going to be in the Inter-High Competition.\So I'll be practicing in training camp through all of July. response:	I wanted to tell you sooner...
context: There's this meet in August. For kendo.\Yeah?\I'm going to compete in it, too.\So I have to practice a lot.\We may not be able to see each other for a while.\I'm going to be in the Inter-High Competition.\So I'll be practicing in training camp through all of July.\I wanted to tell you sooner... response:	I'm sorry.
context: Yeah?\I'm going to compete in it, too.\So I have to practice a lot.\We may not be able to see each other for a while.\I'm going to be in the Inter-High Competition.\So I'll be practicing in training camp through all of July.\I wanted to tell you sooner...\I'm sorry. response:	Oh yeah...
context: I'm going to compete in it, too.\So I have to practice a lot.\We may not be able to see each other for a while.\I'm going to be in the Inter-High Competition.\So I'll be practicing in training camp through all of July.\I wanted to tell you sooner...\I'm sorry.\Oh yeah... response:	That happens with sports clubs, doesn't it?
context: So I have to practice a lot.\We may not be able to see each other for a while.\I'm going to be in the Inter-High Competition.\So I'll be practicing in training camp through all of July.\I wanted to tell you sooner...\I'm sorry.\Oh yeah...\That happens with sports clubs, doesn't it? response:	That's right...
context: We may not be able to see each other for a while.\I'm going to be in the Inter-High Competition.\So I'll be practicing in training camp through all of July.\I wanted to tell you sooner...\I'm sorry.\Oh yeah...\That happens with sports clubs, doesn't it?\That's right... response:	But going to the Inter-High is awesome.
context: I'm going to be in the Inter-High Competition.\So I'll be practicing in training camp through all of July.\I wanted to tell you sooner...\I'm sorry.\Oh yeah...\That happens with sports clubs, doesn't it?\That's right...\But going to the Inter-High is awesome. response:	I hadn't known you were that good.
context: So I'll be practicing in training camp through all of July.\I wanted to tell you sooner...\I'm sorry.\Oh yeah...\That happens with sports clubs, doesn't it?\That's right...\But going to the Inter-High is awesome.\I hadn't known you were that good. response:	You should have told me sooner.
context: I wanted to tell you sooner...\I'm sorry.\Oh yeah...\That happens with sports clubs, doesn't it?\That's right...\But going to the Inter-High is awesome.\I hadn't known you were that good.\You should have told me sooner. response:	Congratulations.
context: I'm sorry.\Oh yeah...\That happens with sports clubs, doesn't it?\That's right...\But going to the Inter-High is awesome.\I hadn't known you were that good.\You should have told me sooner.\Congratulations. response:	Well then, maybe I'll go watch the match.
context: Oh yeah...\That happens with sports clubs, doesn't it?\That's right...\But going to the Inter-High is awesome.\I hadn't known you were that good.\You should have told me sooner.\Congratulations.\Well then, maybe I'll go watch the match. response:	Where's it at?
context: That happens with sports clubs, doesn't it?\That's right...\But going to the Inter-High is awesome.\I hadn't known you were that good.\You should have told me sooner.\Congratulations.\Well then, maybe I'll go watch the match.\Where's it at? response:	It's in Kyoto...
context: That's right...\But going to the Inter-High is awesome.\I hadn't known you were that good.\You should have told me sooner.\Congratulations.\Well then, maybe I'll go watch the match.\Where's it at?\It's in Kyoto... response:	Well, I guess I can't go, but I can still root for you!
context: But going to the Inter-High is awesome.\I hadn't known you were that good.\You should have told me sooner.\Congratulations.\Well then, maybe I'll go watch the match.\Where's it at?\It's in Kyoto...\Well, I guess I can't go, but I can still root for you! response:	Good luck! I'm sure you'll do great.
context: I hadn't known you were that good.\You should have told me sooner.\Congratulations.\Well then, maybe I'll go watch the match.\Where's it at?\It's in Kyoto...\Well, I guess I can't go, but I can still root for you!\Good luck! I'm sure you'll do great. response:	That's right, this is summer vacation.
context: You should have told me sooner.\Congratulations.\Well then, maybe I'll go watch the match.\Where's it at?\It's in Kyoto...\Well, I guess I can't go, but I can still root for you!\Good luck! I'm sure you'll do great.\That's right, this is summer vacation. response:	We won't be able to see each other every day like at school.
context: Congratulations.\Well then, maybe I'll go watch the match.\Where's it at?\It's in Kyoto...\Well, I guess I can't go, but I can still root for you!\Good luck! I'm sure you'll do great.\That's right, this is summer vacation.\We won't be able to see each other every day like at school. response:	I wonder why it never
context: Well then, maybe I'll go watch the match.\Where's it at?\It's in Kyoto...\Well, I guess I can't go, but I can still root for you!\Good luck! I'm sure you'll do great.\That's right, this is summer vacation.\We won't be able to see each other every day like at school.\I wonder why it never response:	even occurred to me before.
context: Where's it at?\It's in Kyoto...\Well, I guess I can't go, but I can still root for you!\Good luck! I'm sure you'll do great.\That's right, this is summer vacation.\We won't be able to see each other every day like at school.\I wonder why it never\even occurred to me before. response:	It was natural for us to be together.
context: It's in Kyoto...\Well, I guess I can't go, but I can still root for you!\Good luck! I'm sure you'll do great.\That's right, this is summer vacation.\We won't be able to see each other every day like at school.\I wonder why it never\even occurred to me before.\It was natural for us to be together. response:	We noticed each other right when school started.
context: Well, I guess I can't go, but I can still root for you!\Good luck! I'm sure you'll do great.\That's right, this is summer vacation.\We won't be able to see each other every day like at school.\I wonder why it never\even occurred to me before.\It was natural for us to be together.\We noticed each other right when school started. response:	We almost never went for more than a couple days without seeing each other since we got to know each other.
context: Good luck! I'm sure you'll do great.\That's right, this is summer vacation.\We won't be able to see each other every day like at school.\I wonder why it never\even occurred to me before.\It was natural for us to be together.\We noticed each other right when school started.\We almost never went for more than a couple days without seeing each other since we got to know each other. response:	We became the way we are now through our interaction.
context: That's right, this is summer vacation.\We won't be able to see each other every day like at school.\I wonder why it never\even occurred to me before.\It was natural for us to be together.\We noticed each other right when school started.\We almost never went for more than a couple days without seeing each other since we got to know each other.\We became the way we are now through our interaction. response:	We were more involved than just being in love.
context: We won't be able to see each other every day like at school.\I wonder why it never\even occurred to me before.\It was natural for us to be together.\We noticed each other right when school started.\We almost never went for more than a couple days without seeing each other since we got to know each other.\We became the way we are now through our interaction.\We were more involved than just being in love. response:	I realized for the first time
context: I wonder why it never\even occurred to me before.\It was natural for us to be together.\We noticed each other right when school started.\We almost never went for more than a couple days without seeing each other since we got to know each other.\We became the way we are now through our interaction.\We were more involved than just being in love.\I realized for the first time response:	just how important we are to each other.
context: even occurred to me before.\It was natural for us to be together.\We noticed each other right when school started.\We almost never went for more than a couple days without seeing each other since we got to know each other.\We became the way we are now through our interaction.\We were more involved than just being in love.\I realized for the first time\just how important we are to each other. response:	First semester is over. It's summer vacation.
context: It was natural for us to be together.\We noticed each other right when school started.\We almost never went for more than a couple days without seeing each other since we got to know each other.\We became the way we are now through our interaction.\We were more involved than just being in love.\I realized for the first time\just how important we are to each other.\First semester is over. It's summer vacation. response:	Are you almost done?
context: We noticed each other right when school started.\We almost never went for more than a couple days without seeing each other since we got to know each other.\We became the way we are now through our interaction.\We were more involved than just being in love.\I realized for the first time\just how important we are to each other.\First semester is over. It's summer vacation.\Are you almost done? response:	Just a sec.
context: We almost never went for more than a couple days without seeing each other since we got to know each other.\We became the way we are now through our interaction.\We were more involved than just being in love.\I realized for the first time\just how important we are to each other.\First semester is over. It's summer vacation.\Are you almost done?\Just a sec. response:	I'll call you. After August 7th,
context: We became the way we are now through our interaction.\We were more involved than just being in love.\I realized for the first time\just how important we are to each other.\First semester is over. It's summer vacation.\Are you almost done?\Just a sec.\I'll call you. After August 7th, response:	I'll be on vacation, too.
context: We were more involved than just being in love.\I realized for the first time\just how important we are to each other.\First semester is over. It's summer vacation.\Are you almost done?\Just a sec.\I'll call you. After August 7th,\I'll be on vacation, too. response:	Let's hang out together then.
context: I realized for the first time\just how important we are to each other.\First semester is over. It's summer vacation.\Are you almost done?\Just a sec.\I'll call you. After August 7th,\I'll be on vacation, too.\Let's hang out together then. response:	We've promised to go lots of places.
context: just how important we are to each other.\First semester is over. It's summer vacation.\Are you almost done?\Just a sec.\I'll call you. After August 7th,\I'll be on vacation, too.\Let's hang out together then.\We've promised to go lots of places. response:	Yeah.
context: First semester is over. It's summer vacation.\Are you almost done?\Just a sec.\I'll call you. After August 7th,\I'll be on vacation, too.\Let's hang out together then.\We've promised to go lots of places.\Yeah. response:	I shouldn't get blue just because we're not seeing each other for a little bit.
context: Are you almost done?\Just a sec.\I'll call you. After August 7th,\I'll be on vacation, too.\Let's hang out together then.\We've promised to go lots of places.\Yeah.\I shouldn't get blue just because we're not seeing each other for a little bit. response:	I should be able to handle this.
context: Just a sec.\I'll call you. After August 7th,\I'll be on vacation, too.\Let's hang out together then.\We've promised to go lots of places.\Yeah.\I shouldn't get blue just because we're not seeing each other for a little bit.\I should be able to handle this. response:	It's not like we'll be apart for years.
context: I'll call you. After August 7th,\I'll be on vacation, too.\Let's hang out together then.\We've promised to go lots of places.\Yeah.\I shouldn't get blue just because we're not seeing each other for a little bit.\I should be able to handle this.\It's not like we'll be apart for years. response:	I feel the same way.
context: I'll be on vacation, too.\Let's hang out together then.\We've promised to go lots of places.\Yeah.\I shouldn't get blue just because we're not seeing each other for a little bit.\I should be able to handle this.\It's not like we'll be apart for years.\I feel the same way. response:	We'll be living separate lives
context: Let's hang out together then.\We've promised to go lots of places.\Yeah.\I shouldn't get blue just because we're not seeing each other for a little bit.\I should be able to handle this.\It's not like we'll be apart for years.\I feel the same way.\We'll be living separate lives response:	for the first time since we met.
context: We've promised to go lots of places.\Yeah.\I shouldn't get blue just because we're not seeing each other for a little bit.\I should be able to handle this.\It's not like we'll be apart for years.\I feel the same way.\We'll be living separate lives\for the first time since we met. response:	Hey, Miyazawa.
context: Yeah.\I shouldn't get blue just because we're not seeing each other for a little bit.\I should be able to handle this.\It's not like we'll be apart for years.\I feel the same way.\We'll be living separate lives\for the first time since we met.\Hey, Miyazawa. response:	Yes!
context: I shouldn't get blue just because we're not seeing each other for a little bit.\I should be able to handle this.\It's not like we'll be apart for years.\I feel the same way.\We'll be living separate lives\for the first time since we met.\Hey, Miyazawa.\Yes! response:	Before we can't see each other for a while,
context: I should be able to handle this.\It's not like we'll be apart for years.\I feel the same way.\We'll be living separate lives\for the first time since we met.\Hey, Miyazawa.\Yes!\Before we can't see each other for a while, response:	there's something I want to do.
context: It's not like we'll be apart for years.\I feel the same way.\We'll be living separate lives\for the first time since we met.\Hey, Miyazawa.\Yes!\Before we can't see each other for a while,\there's something I want to do. response:	What's that?
context: I feel the same way.\We'll be living separate lives\for the first time since we met.\Hey, Miyazawa.\Yes!\Before we can't see each other for a while,\there's something I want to do.\What's that? response:	I want to hold you.
context: We'll be living separate lives\for the first time since we met.\Hey, Miyazawa.\Yes!\Before we can't see each other for a while,\there's something I want to do.\What's that?\I want to hold you. response:	Ah...
context: for the first time since we met.\Hey, Miyazawa.\Yes!\Before we can't see each other for a while,\there's something I want to do.\What's that?\I want to hold you.\Ah... response:	I won't do anything indecent.
context: Hey, Miyazawa.\Yes!\Before we can't see each other for a while,\there's something I want to do.\What's that?\I want to hold you.\Ah...\I won't do anything indecent. response:	It's just...
context: Yes!\Before we can't see each other for a while,\there's something I want to do.\What's that?\I want to hold you.\Ah...\I won't do anything indecent.\It's just... response:	And since we'll be apart for a while...
context: Before we can't see each other for a while,\there's something I want to do.\What's that?\I want to hold you.\Ah...\I won't do anything indecent.\It's just...\And since we'll be apart for a while... response:	I wanted to remember how
context: there's something I want to do.\What's that?\I want to hold you.\Ah...\I won't do anything indecent.\It's just...\And since we'll be apart for a while...\I wanted to remember how response:	the girl I love feels...
context: What's that?\I want to hold you.\Ah...\I won't do anything indecent.\It's just...\And since we'll be apart for a while...\I wanted to remember how\the girl I love feels... response:	Okay. It feels reassuring.
context: I want to hold you.\Ah...\I won't do anything indecent.\It's just...\And since we'll be apart for a while...\I wanted to remember how\the girl I love feels...\Okay. It feels reassuring. response:	Yeah, I feel secure.
context: Ah...\I won't do anything indecent.\It's just...\And since we'll be apart for a while...\I wanted to remember how\the girl I love feels...\Okay. It feels reassuring.\Yeah, I feel secure. response:	This feels so goood.
context: I won't do anything indecent.\It's just...\And since we'll be apart for a while...\I wanted to remember how\the girl I love feels...\Okay. It feels reassuring.\Yeah, I feel secure.\This feels so goood. response:	The shape of the one you love...the weight...the warmth...
context: It's just...\And since we'll be apart for a while...\I wanted to remember how\the girl I love feels...\Okay. It feels reassuring.\Yeah, I feel secure.\This feels so goood.\The shape of the one you love...the weight...the warmth... response:	It feels like happiness is spreading from everywhere we touch.
context: And since we'll be apart for a while...\I wanted to remember how\the girl I love feels...\Okay. It feels reassuring.\Yeah, I feel secure.\This feels so goood.\The shape of the one you love...the weight...the warmth...\It feels like happiness is spreading from everywhere we touch. response:	I don't need anything else.
context: I wanted to remember how\the girl I love feels...\Okay. It feels reassuring.\Yeah, I feel secure.\This feels so goood.\The shape of the one you love...the weight...the warmth...\It feels like happiness is spreading from everywhere we touch.\I don't need anything else. response:	I hadn't known such bliss existed.
context: the girl I love feels...\Okay. It feels reassuring.\Yeah, I feel secure.\This feels so goood.\The shape of the one you love...the weight...the warmth...\It feels like happiness is spreading from everywhere we touch.\I don't need anything else.\I hadn't known such bliss existed. response:	What a pity.
context: Okay. It feels reassuring.\Yeah, I feel secure.\This feels so goood.\The shape of the one you love...the weight...the warmth...\It feels like happiness is spreading from everywhere we touch.\I don't need anything else.\I hadn't known such bliss existed.\What a pity. response:	If it feels this good, we should've done this long ago.
context: Yeah, I feel secure.\This feels so goood.\The shape of the one you love...the weight...the warmth...\It feels like happiness is spreading from everywhere we touch.\I don't need anything else.\I hadn't known such bliss existed.\What a pity.\If it feels this good, we should've done this long ago. response:	What a waste.
context: This feels so goood.\The shape of the one you love...the weight...the warmth...\It feels like happiness is spreading from everywhere we touch.\I don't need anything else.\I hadn't known such bliss existed.\What a pity.\If it feels this good, we should've done this long ago.\What a waste. response:	Well, it's hard to work up the courage.
context: The shape of the one you love...the weight...the warmth...\It feels like happiness is spreading from everywhere we touch.\I don't need anything else.\I hadn't known such bliss existed.\What a pity.\If it feels this good, we should've done this long ago.\What a waste.\Well, it's hard to work up the courage. response:	When I get back, we can hold each other as much as you want.
context: It feels like happiness is spreading from everywhere we touch.\I don't need anything else.\I hadn't known such bliss existed.\What a pity.\If it feels this good, we should've done this long ago.\What a waste.\Well, it's hard to work up the courage.\When I get back, we can hold each other as much as you want. response:	Kick those juniors and seniors' asses and come in first place!
context: I don't need anything else.\I hadn't known such bliss existed.\What a pity.\If it feels this good, we should've done this long ago.\What a waste.\Well, it's hard to work up the courage.\When I get back, we can hold each other as much as you want.\Kick those juniors and seniors' asses and come in first place! response:	The first summer since we met is coming.
context: I hadn't known such bliss existed.\What a pity.\If it feels this good, we should've done this long ago.\What a waste.\Well, it's hard to work up the courage.\When I get back, we can hold each other as much as you want.\Kick those juniors and seniors' asses and come in first place!\The first summer since we met is coming. response:	Arima, I heard you're going to the Inter-High.
context: What a pity.\If it feels this good, we should've done this long ago.\What a waste.\Well, it's hard to work up the courage.\When I get back, we can hold each other as much as you want.\Kick those juniors and seniors' asses and come in first place!\The first summer since we met is coming.\Arima, I heard you're going to the Inter-High. response:	Here's a thousand paper cranes.
context: If it feels this good, we should've done this long ago.\What a waste.\Well, it's hard to work up the courage.\When I get back, we can hold each other as much as you want.\Kick those juniors and seniors' asses and come in first place!\The first summer since we met is coming.\Arima, I heard you're going to the Inter-High.\Here's a thousand paper cranes. response:	I can't go to root for you myself...
context: What a waste.\Well, it's hard to work up the courage.\When I get back, we can hold each other as much as you want.\Kick those juniors and seniors' asses and come in first place!\The first summer since we met is coming.\Arima, I heard you're going to the Inter-High.\Here's a thousand paper cranes.\I can't go to root for you myself... response:	Did you make all those yourself?
context: Well, it's hard to work up the courage.\When I get back, we can hold each other as much as you want.\Kick those juniors and seniors' asses and come in first place!\The first summer since we met is coming.\Arima, I heard you're going to the Inter-High.\Here's a thousand paper cranes.\I can't go to root for you myself...\Did you make all those yourself? response:	Yeah. I'm in charge while you're away!
context: When I get back, we can hold each other as much as you want.\Kick those juniors and seniors' asses and come in first place!\The first summer since we met is coming.\Arima, I heard you're going to the Inter-High.\Here's a thousand paper cranes.\I can't go to root for you myself...\Did you make all those yourself?\Yeah. I'm in charge while you're away! response:	I'll keep all the parasites away from Miyazawa!
context: Kick those juniors and seniors' asses and come in first place!\The first summer since we met is coming.\Arima, I heard you're going to the Inter-High.\Here's a thousand paper cranes.\I can't go to root for you myself...\Did you make all those yourself?\Yeah. I'm in charge while you're away!\I'll keep all the parasites away from Miyazawa! response:	I get the feeling that you're the worst parasite, but thanks.
context: The first summer since we met is coming.\Arima, I heard you're going to the Inter-High.\Here's a thousand paper cranes.\I can't go to root for you myself...\Did you make all those yourself?\Yeah. I'm in charge while you're away!\I'll keep all the parasites away from Miyazawa!\I get the feeling that you're the worst parasite, but thanks. response:	How could you?!
context: Arima, I heard you're going to the Inter-High.\Here's a thousand paper cranes.\I can't go to root for you myself...\Did you make all those yourself?\Yeah. I'm in charge while you're away!\I'll keep all the parasites away from Miyazawa!\I get the feeling that you're the worst parasite, but thanks.\How could you?! response:	You sure you want to say things like that?
