context: 8:50 PM May 7 (Sunday) response:	Sorry! I overslept!
context: To think that a coach of my very own is going to be here every day...\And that coach is Victor Nikiforov himself.\He said I could pay his coaching fees later,\but I wonder how expensive it will be.\Yuri, you tend to flub your jumps when something is on your mind.\Fourth Skate Like Yourself... And Complete the Free Program!!\Like Yourself... And Complete the Free Program!!\Hasetsu Hot Springs Yu-topia Katsuki response:	Yuri, maybe we should nix having three quads in your free program.
context: And that coach is Victor Nikiforov himself.\He said I could pay his coaching fees later,\but I wonder how expensive it will be.\Yuri, you tend to flub your jumps when something is on your mind.\Fourth Skate Like Yourself... And Complete the Free Program!!\Like Yourself... And Complete the Free Program!!\Hasetsu Hot Springs Yu-topia Katsuki\Yuri, maybe we should nix having three quads in your free program. response:	But...
context: He said I could pay his coaching fees later,\but I wonder how expensive it will be.\Yuri, you tend to flub your jumps when something is on your mind.\Fourth Skate Like Yourself... And Complete the Free Program!!\Like Yourself... And Complete the Free Program!!\Hasetsu Hot Springs Yu-topia Katsuki\Yuri, maybe we should nix having three quads in your free program.\But... response:	I-If I want to win the Grand Prix Final, I need those.
context: but I wonder how expensive it will be.\Yuri, you tend to flub your jumps when something is on your mind.\Fourth Skate Like Yourself... And Complete the Free Program!!\Like Yourself... And Complete the Free Program!!\Hasetsu Hot Springs Yu-topia Katsuki\Yuri, maybe we should nix having three quads in your free program.\But...\I-If I want to win the Grand Prix Final, I need those. response:	Why?
context: Yuri, you tend to flub your jumps when something is on your mind.\Fourth Skate Like Yourself... And Complete the Free Program!!\Like Yourself... And Complete the Free Program!!\Hasetsu Hot Springs Yu-topia Katsuki\Yuri, maybe we should nix having three quads in your free program.\But...\I-If I want to win the Grand Prix Final, I need those.\Why? response:	Even if there's only one quad,
context: Fourth Skate Like Yourself... And Complete the Free Program!!\Like Yourself... And Complete the Free Program!!\Hasetsu Hot Springs Yu-topia Katsuki\Yuri, maybe we should nix having three quads in your free program.\But...\I-If I want to win the Grand Prix Final, I need those.\Why?\Even if there's only one quad, response:	just get a perfect score on the program components!
context: Like Yourself... And Complete the Free Program!!\Hasetsu Hot Springs Yu-topia Katsuki\Yuri, maybe we should nix having three quads in your free program.\But...\I-If I want to win the Grand Prix Final, I need those.\Why?\Even if there's only one quad,\just get a perfect score on the program components! response:	Figure Skating Scoring System
context: Hasetsu Hot Springs Yu-topia Katsuki\Yuri, maybe we should nix having three quads in your free program.\But...\I-If I want to win the Grand Prix Final, I need those.\Why?\Even if there's only one quad,\just get a perfect score on the program components!\Figure Skating Scoring System response:	Let me pause here to explain the scoring system in figure skating!
context: Yuri, maybe we should nix having three quads in your free program.\But...\I-If I want to win the Grand Prix Final, I need those.\Why?\Even if there's only one quad,\just get a perfect score on the program components!\Figure Skating Scoring System\Let me pause here to explain the scoring system in figure skating! response:	Technical Elements Score (TES)
context: But...\I-If I want to win the Grand Prix Final, I need those.\Why?\Even if there's only one quad,\just get a perfect score on the program components!\Figure Skating Scoring System\Let me pause here to explain the scoring system in figure skating!\Technical Elements Score (TES) response:	Jumps and spins count toward a technical score.
context: I-If I want to win the Grand Prix Final, I need those.\Why?\Even if there's only one quad,\just get a perfect score on the program components!\Figure Skating Scoring System\Let me pause here to explain the scoring system in figure skating!\Technical Elements Score (TES)\Jumps and spins count toward a technical score. response:	Program Components Score (PCS)
context: Why?\Even if there's only one quad,\just get a perfect score on the program components!\Figure Skating Scoring System\Let me pause here to explain the scoring system in figure skating!\Technical Elements Score (TES)\Jumps and spins count toward a technical score.\Program Components Score (PCS) response:	Choreography and interpretation count toward a presentation score.
context: Even if there's only one quad,\just get a perfect score on the program components!\Figure Skating Scoring System\Let me pause here to explain the scoring system in figure skating!\Technical Elements Score (TES)\Jumps and spins count toward a technical score.\Program Components Score (PCS)\Choreography and interpretation count toward a presentation score. response:	TES + PCS
context: just get a perfect score on the program components!\Figure Skating Scoring System\Let me pause here to explain the scoring system in figure skating!\Technical Elements Score (TES)\Jumps and spins count toward a technical score.\Program Components Score (PCS)\Choreography and interpretation count toward a presentation score.\TES + PCS response:	Deductions
context: Figure Skating Scoring System\Let me pause here to explain the scoring system in figure skating!\Technical Elements Score (TES)\Jumps and spins count toward a technical score.\Program Components Score (PCS)\Choreography and interpretation count toward a presentation score.\TES + PCS\Deductions response:	The total score is a sum of those two, minus any deductions!
context: Let me pause here to explain the scoring system in figure skating!\Technical Elements Score (TES)\Jumps and spins count toward a technical score.\Program Components Score (PCS)\Choreography and interpretation count toward a presentation score.\TES + PCS\Deductions\The total score is a sum of those two, minus any deductions! response:	Total Score
context: Technical Elements Score (TES)\Jumps and spins count toward a technical score.\Program Components Score (PCS)\Choreography and interpretation count toward a presentation score.\TES + PCS\Deductions\The total score is a sum of those two, minus any deductions!\Total Score response:	When I skate, I tend to lose technical points by missing jumps,
context: Jumps and spins count toward a technical score.\Program Components Score (PCS)\Choreography and interpretation count toward a presentation score.\TES + PCS\Deductions\The total score is a sum of those two, minus any deductions!\Total Score\When I skate, I tend to lose technical points by missing jumps, response:	but close the gap through the presentation score.
context: Program Components Score (PCS)\Choreography and interpretation count toward a presentation score.\TES + PCS\Deductions\The total score is a sum of those two, minus any deductions!\Total Score\When I skate, I tend to lose technical points by missing jumps,\but close the gap through the presentation score. response:	At any rate, this isn't good enough.
context: Choreography and interpretation count toward a presentation score.\TES + PCS\Deductions\The total score is a sum of those two, minus any deductions!\Total Score\When I skate, I tend to lose technical points by missing jumps,\but close the gap through the presentation score.\At any rate, this isn't good enough. response:	I have to change.
context: TES + PCS\Deductions\The total score is a sum of those two, minus any deductions!\Total Score\When I skate, I tend to lose technical points by missing jumps,\but close the gap through the presentation score.\At any rate, this isn't good enough.\I have to change. response:	Yuri, do you know why I decided to become your coach?
context: Deductions\The total score is a sum of those two, minus any deductions!\Total Score\When I skate, I tend to lose technical points by missing jumps,\but close the gap through the presentation score.\At any rate, this isn't good enough.\I have to change.\Yuri, do you know why I decided to become your coach? response:	Huh?
context: The total score is a sum of those two, minus any deductions!\Total Score\When I skate, I tend to lose technical points by missing jumps,\but close the gap through the presentation score.\At any rate, this isn't good enough.\I have to change.\Yuri, do you know why I decided to become your coach?\Huh? response:	I was drawn to you because of the music...
context: Total Score\When I skate, I tend to lose technical points by missing jumps,\but close the gap through the presentation score.\At any rate, this isn't good enough.\I have to change.\Yuri, do you know why I decided to become your coach?\Huh?\I was drawn to you because of the music... response:	The way you skate like your body is creating music.
context: When I skate, I tend to lose technical points by missing jumps,\but close the gap through the presentation score.\At any rate, this isn't good enough.\I have to change.\Yuri, do you know why I decided to become your coach?\Huh?\I was drawn to you because of the music...\The way you skate like your body is creating music. response:	I want to create a high-difficulty program to maximize that.
context: but close the gap through the presentation score.\At any rate, this isn't good enough.\I have to change.\Yuri, do you know why I decided to become your coach?\Huh?\I was drawn to you because of the music...\The way you skate like your body is creating music.\I want to create a high-difficulty program to maximize that. response:	Only I can do that.
context: At any rate, this isn't good enough.\I have to change.\Yuri, do you know why I decided to become your coach?\Huh?\I was drawn to you because of the music...\The way you skate like your body is creating music.\I want to create a high-difficulty program to maximize that.\Only I can do that. response:	That's the gut feeling I had...
context: I have to change.\Yuri, do you know why I decided to become your coach?\Huh?\I was drawn to you because of the music...\The way you skate like your body is creating music.\I want to create a high-difficulty program to maximize that.\Only I can do that.\That's the gut feeling I had... response:	And the short program validated it!
context: Yuri, do you know why I decided to become your coach?\Huh?\I was drawn to you because of the music...\The way you skate like your body is creating music.\I want to create a high-difficulty program to maximize that.\Only I can do that.\That's the gut feeling I had...\And the short program validated it! response:	Perhaps you should produce your next free program.
context: Huh?\I was drawn to you because of the music...\The way you skate like your body is creating music.\I want to create a high-difficulty program to maximize that.\Only I can do that.\That's the gut feeling I had...\And the short program validated it!\Perhaps you should produce your next free program. response:	Huh?
context: I was drawn to you because of the music...\The way you skate like your body is creating music.\I want to create a high-difficulty program to maximize that.\Only I can do that.\That's the gut feeling I had...\And the short program validated it!\Perhaps you should produce your next free program.\Huh? response:	But my coach has always chosen my music
context: The way you skate like your body is creating music.\I want to create a high-difficulty program to maximize that.\Only I can do that.\That's the gut feeling I had...\And the short program validated it!\Perhaps you should produce your next free program.\Huh?\But my coach has always chosen my music response:	Isn't it more fun to do it yourself?
context: I want to create a high-difficulty program to maximize that.\Only I can do that.\That's the gut feeling I had...\And the short program validated it!\Perhaps you should produce your next free program.\Huh?\But my coach has always chosen my music\Isn't it more fun to do it yourself? response:	Ow, ow, ow!
context: Only I can do that.\That's the gut feeling I had...\And the short program validated it!\Perhaps you should produce your next free program.\Huh?\But my coach has always chosen my music\Isn't it more fun to do it yourself?\Ow, ow, ow! response:	That hurts!
context: That's the gut feeling I had...\And the short program validated it!\Perhaps you should produce your next free program.\Huh?\But my coach has always chosen my music\Isn't it more fun to do it yourself?\Ow, ow, ow!\That hurts! response:	But my previous coach...
context: And the short program validated it!\Perhaps you should produce your next free program.\Huh?\But my coach has always chosen my music\Isn't it more fun to do it yourself?\Ow, ow, ow!\That hurts!\But my previous coach... response:	Who was your coach again?
context: Perhaps you should produce your next free program.\Huh?\But my coach has always chosen my music\Isn't it more fun to do it yourself?\Ow, ow, ow!\That hurts!\But my previous coach...\Who was your coach again? response:	Th-Thank you, God...
context: Huh?\But my coach has always chosen my music\Isn't it more fun to do it yourself?\Ow, ow, ow!\That hurts!\But my previous coach...\Who was your coach again?\Th-Thank you, God... response:	Yuri?
context: But my coach has always chosen my music\Isn't it more fun to do it yourself?\Ow, ow, ow!\That hurts!\But my previous coach...\Who was your coach again?\Th-Thank you, God...\Yuri? response:	Ciao, ciao!
context: Isn't it more fun to do it yourself?\Ow, ow, ow!\That hurts!\But my previous coach...\Who was your coach again?\Th-Thank you, God...\Yuri?\Ciao, ciao! response:	I haven't seen you since the Grand Prix Final!
context: Ow, ow, ow!\That hurts!\But my previous coach...\Who was your coach again?\Th-Thank you, God...\Yuri?\Ciao, ciao!\I haven't seen you since the Grand Prix Final! response:	Oh, it's been a while.
context: That hurts!\But my previous coach...\Who was your coach again?\Th-Thank you, God...\Yuri?\Ciao, ciao!\I haven't seen you since the Grand Prix Final!\Oh, it's been a while. response:	I hear Victor's your coach now?
context: But my previous coach...\Who was your coach again?\Th-Thank you, God...\Yuri?\Ciao, ciao!\I haven't seen you since the Grand Prix Final!\Oh, it's been a while.\I hear Victor's your coach now? response:	Uh, sorry.
context: Who was your coach again?\Th-Thank you, God...\Yuri?\Ciao, ciao!\I haven't seen you since the Grand Prix Final!\Oh, it's been a while.\I hear Victor's your coach now?\Uh, sorry. response:	Why are you apologizing?
context: Th-Thank you, God...\Yuri?\Ciao, ciao!\I haven't seen you since the Grand Prix Final!\Oh, it's been a while.\I hear Victor's your coach now?\Uh, sorry.\Why are you apologizing? response:	Ciao, ciao, Celestino!
context: Yuri?\Ciao, ciao!\I haven't seen you since the Grand Prix Final!\Oh, it's been a while.\I hear Victor's your coach now?\Uh, sorry.\Why are you apologizing?\Ciao, ciao, Celestino! response:	I'm his coach, Victor!
context: Ciao, ciao!\I haven't seen you since the Grand Prix Final!\Oh, it's been a while.\I hear Victor's your coach now?\Uh, sorry.\Why are you apologizing?\Ciao, ciao, Celestino!\I'm his coach, Victor! response:	You're playing at being a coach in Japan?
context: I haven't seen you since the Grand Prix Final!\Oh, it's been a while.\I hear Victor's your coach now?\Uh, sorry.\Why are you apologizing?\Ciao, ciao, Celestino!\I'm his coach, Victor!\You're playing at being a coach in Japan? response:	Cut it out already.
context: Oh, it's been a while.\I hear Victor's your coach now?\Uh, sorry.\Why are you apologizing?\Ciao, ciao, Celestino!\I'm his coach, Victor!\You're playing at being a coach in Japan?\Cut it out already. response:	Hey, hey...
context: I hear Victor's your coach now?\Uh, sorry.\Why are you apologizing?\Ciao, ciao, Celestino!\I'm his coach, Victor!\You're playing at being a coach in Japan?\Cut it out already.\Hey, hey... response:	Why didn't you let Yuri choose his program music?
context: Uh, sorry.\Why are you apologizing?\Ciao, ciao, Celestino!\I'm his coach, Victor!\You're playing at being a coach in Japan?\Cut it out already.\Hey, hey...\Why didn't you let Yuri choose his program music? response:	Huh?
context: Why are you apologizing?\Ciao, ciao, Celestino!\I'm his coach, Victor!\You're playing at being a coach in Japan?\Cut it out already.\Hey, hey...\Why didn't you let Yuri choose his program music?\Huh? response:	I usually select music for my skaters,
context: Ciao, ciao, Celestino!\I'm his coach, Victor!\You're playing at being a coach in Japan?\Cut it out already.\Hey, hey...\Why didn't you let Yuri choose his program music?\Huh?\I usually select music for my skaters, response:	but I also let them choose if they want.
context: I'm his coach, Victor!\You're playing at being a coach in Japan?\Cut it out already.\Hey, hey...\Why didn't you let Yuri choose his program music?\Huh?\I usually select music for my skaters,\but I also let them choose if they want. response:	Yuri only brought me a piece once.
context: You're playing at being a coach in Japan?\Cut it out already.\Hey, hey...\Why didn't you let Yuri choose his program music?\Huh?\I usually select music for my skaters,\but I also let them choose if they want.\Yuri only brought me a piece once. response:	I believe it was composed by an acquaintance.
context: Cut it out already.\Hey, hey...\Why didn't you let Yuri choose his program music?\Huh?\I usually select music for my skaters,\but I also let them choose if they want.\Yuri only brought me a piece once.\I believe it was composed by an acquaintance. response:	It wasn't bad, but...
context: Hey, hey...\Why didn't you let Yuri choose his program music?\Huh?\I usually select music for my skaters,\but I also let them choose if they want.\Yuri only brought me a piece once.\I believe it was composed by an acquaintance.\It wasn't bad, but... response:	You think you can win with this music?
context: Why didn't you let Yuri choose his program music?\Huh?\I usually select music for my skaters,\but I also let them choose if they want.\Yuri only brought me a piece once.\I believe it was composed by an acquaintance.\It wasn't bad, but...\You think you can win with this music? response:	Uh...
context: Huh?\I usually select music for my skaters,\but I also let them choose if they want.\Yuri only brought me a piece once.\I believe it was composed by an acquaintance.\It wasn't bad, but...\You think you can win with this music?\Uh... response:	Please choose the music for me after all, Coach.
context: I usually select music for my skaters,\but I also let them choose if they want.\Yuri only brought me a piece once.\I believe it was composed by an acquaintance.\It wasn't bad, but...\You think you can win with this music?\Uh...\Please choose the music for me after all, Coach. response:	Yuri never had confidence in himself.
context: but I also let them choose if they want.\Yuri only brought me a piece once.\I believe it was composed by an acquaintance.\It wasn't bad, but...\You think you can win with this music?\Uh...\Please choose the music for me after all, Coach.\Yuri never had confidence in himself. response:	I told him time and again to trust himself more, but...
context: Yuri only brought me a piece once.\I believe it was composed by an acquaintance.\It wasn't bad, but...\You think you can win with this music?\Uh...\Please choose the music for me after all, Coach.\Yuri never had confidence in himself.\I told him time and again to trust himself more, but... response:	Okay, thanks.
context: I believe it was composed by an acquaintance.\It wasn't bad, but...\You think you can win with this music?\Uh...\Please choose the music for me after all, Coach.\Yuri never had confidence in himself.\I told him time and again to trust himself more, but...\Okay, thanks. response:	U-Um, Celestino...
context: It wasn't bad, but...\You think you can win with this music?\Uh...\Please choose the music for me after all, Coach.\Yuri never had confidence in himself.\I told him time and again to trust himself more, but...\Okay, thanks.\U-Um, Celestino... response:	I'm going to redeem myself at the next Grand Prix Final!
context: You think you can win with this music?\Uh...\Please choose the music for me after all, Coach.\Yuri never had confidence in himself.\I told him time and again to trust himself more, but...\Okay, thanks.\U-Um, Celestino...\I'm going to redeem myself at the next Grand Prix Final! response:	That's what I wanted to hear you say at last year's Grand Prix Final.
context: Uh...\Please choose the music for me after all, Coach.\Yuri never had confidence in himself.\I told him time and again to trust himself more, but...\Okay, thanks.\U-Um, Celestino...\I'm going to redeem myself at the next Grand Prix Final!\That's what I wanted to hear you say at last year's Grand Prix Final. response:	I'm so glad.
context: Please choose the music for me after all, Coach.\Yuri never had confidence in himself.\I told him time and again to trust himself more, but...\Okay, thanks.\U-Um, Celestino...\I'm going to redeem myself at the next Grand Prix Final!\That's what I wanted to hear you say at last year's Grand Prix Final.\I'm so glad. response:	I couldn't bring myself to contact him for so long...
context: Yuri never had confidence in himself.\I told him time and again to trust himself more, but...\Okay, thanks.\U-Um, Celestino...\I'm going to redeem myself at the next Grand Prix Final!\That's what I wanted to hear you say at last year's Grand Prix Final.\I'm so glad.\I couldn't bring myself to contact him for so long... response:	Yuri.
context: I told him time and again to trust himself more, but...\Okay, thanks.\U-Um, Celestino...\I'm going to redeem myself at the next Grand Prix Final!\That's what I wanted to hear you say at last year's Grand Prix Final.\I'm so glad.\I couldn't bring myself to contact him for so long...\Yuri. response:	Could I hear this music he mentioned?
context: Okay, thanks.\U-Um, Celestino...\I'm going to redeem myself at the next Grand Prix Final!\That's what I wanted to hear you say at last year's Grand Prix Final.\I'm so glad.\I couldn't bring myself to contact him for so long...\Yuri.\Could I hear this music he mentioned? response:	Uh...
context: U-Um, Celestino...\I'm going to redeem myself at the next Grand Prix Final!\That's what I wanted to hear you say at last year's Grand Prix Final.\I'm so glad.\I couldn't bring myself to contact him for so long...\Yuri.\Could I hear this music he mentioned?\Uh... response:	Why didn't you tell me?
context: I'm going to redeem myself at the next Grand Prix Final!\That's what I wanted to hear you say at last year's Grand Prix Final.\I'm so glad.\I couldn't bring myself to contact him for so long...\Yuri.\Could I hear this music he mentioned?\Uh...\Why didn't you tell me? response:	I'm your coach, aren't I?
context: That's what I wanted to hear you say at last year's Grand Prix Final.\I'm so glad.\I couldn't bring myself to contact him for so long...\Yuri.\Could I hear this music he mentioned?\Uh...\Why didn't you tell me?\I'm your coach, aren't I? response:	Right. Sorry.
context: I'm so glad.\I couldn't bring myself to contact him for so long...\Yuri.\Could I hear this music he mentioned?\Uh...\Why didn't you tell me?\I'm your coach, aren't I?\Right. Sorry. response:	Huh?
context: I couldn't bring myself to contact him for so long...\Yuri.\Could I hear this music he mentioned?\Uh...\Why didn't you tell me?\I'm your coach, aren't I?\Right. Sorry.\Huh? response:	That little piggy's producing his own free program?
context: Yuri.\Could I hear this music he mentioned?\Uh...\Why didn't you tell me?\I'm your coach, aren't I?\Right. Sorry.\Huh?\That little piggy's producing his own free program? response:	How are you, Yuri-kun in Russia?
context: Could I hear this music he mentioned?\Uh...\Why didn't you tell me?\I'm your coach, aren't I?\Right. Sorry.\Huh?\That little piggy's producing his own free program?\How are you, Yuri-kun in Russia? response:	Did you choose your free program?
context: Uh...\Why didn't you tell me?\I'm your coach, aren't I?\Right. Sorry.\Huh?\That little piggy's producing his own free program?\How are you, Yuri-kun in Russia?\Did you choose your free program? response:	I look forward to seeing it.
context: Why didn't you tell me?\I'm your coach, aren't I?\Right. Sorry.\Huh?\That little piggy's producing his own free program?\How are you, Yuri-kun in Russia?\Did you choose your free program?\I look forward to seeing it. response:	Is Yuko trying to scout the enemy?
context: I'm your coach, aren't I?\Right. Sorry.\Huh?\That little piggy's producing his own free program?\How are you, Yuri-kun in Russia?\Did you choose your free program?\I look forward to seeing it.\Is Yuko trying to scout the enemy? response:	Damn it.
context: Right. Sorry.\Huh?\That little piggy's producing his own free program?\How are you, Yuri-kun in Russia?\Did you choose your free program?\I look forward to seeing it.\Is Yuko trying to scout the enemy?\Damn it. response:	But producing his own program, huh?
context: Huh?\That little piggy's producing his own free program?\How are you, Yuri-kun in Russia?\Did you choose your free program?\I look forward to seeing it.\Is Yuko trying to scout the enemy?\Damn it.\But producing his own program, huh? response:	Oh?
context: That little piggy's producing his own free program?\How are you, Yuri-kun in Russia?\Did you choose your free program?\I look forward to seeing it.\Is Yuko trying to scout the enemy?\Damn it.\But producing his own program, huh?\Oh? response:	Yuri, did you go to Japan to find a girlfriend?
context: How are you, Yuri-kun in Russia?\Did you choose your free program?\I look forward to seeing it.\Is Yuko trying to scout the enemy?\Damn it.\But producing his own program, huh?\Oh?\Yuri, did you go to Japan to find a girlfriend? response:	No. Get off me, Mila.
context: Did you choose your free program?\I look forward to seeing it.\Is Yuko trying to scout the enemy?\Damn it.\But producing his own program, huh?\Oh?\Yuri, did you go to Japan to find a girlfriend?\No. Get off me, Mila. response:	Are you horny because you dumped that hockey player?
context: I look forward to seeing it.\Is Yuko trying to scout the enemy?\Damn it.\But producing his own program, huh?\Oh?\Yuri, did you go to Japan to find a girlfriend?\No. Get off me, Mila.\Are you horny because you dumped that hockey player? response:	I wouldn't put myself in that situation.
context: Is Yuko trying to scout the enemy?\Damn it.\But producing his own program, huh?\Oh?\Yuri, did you go to Japan to find a girlfriend?\No. Get off me, Mila.\Are you horny because you dumped that hockey player?\I wouldn't put myself in that situation. response:	I won't get myself almost killed just for going on a date with another girl.
context: Damn it.\But producing his own program, huh?\Oh?\Yuri, did you go to Japan to find a girlfriend?\No. Get off me, Mila.\Are you horny because you dumped that hockey player?\I wouldn't put myself in that situation.\I won't get myself almost killed just for going on a date with another girl. response:	I've been practicing lifts lately, too.
context: But producing his own program, huh?\Oh?\Yuri, did you go to Japan to find a girlfriend?\No. Get off me, Mila.\Are you horny because you dumped that hockey player?\I wouldn't put myself in that situation.\I won't get myself almost killed just for going on a date with another girl.\I've been practicing lifts lately, too. response:	Let me down, hag!
context: Oh?\Yuri, did you go to Japan to find a girlfriend?\No. Get off me, Mila.\Are you horny because you dumped that hockey player?\I wouldn't put myself in that situation.\I won't get myself almost killed just for going on a date with another girl.\I've been practicing lifts lately, too.\Let me down, hag! response:	I'm only three years older than you.
context: Yuri, did you go to Japan to find a girlfriend?\No. Get off me, Mila.\Are you horny because you dumped that hockey player?\I wouldn't put myself in that situation.\I won't get myself almost killed just for going on a date with another girl.\I've been practicing lifts lately, too.\Let me down, hag!\I'm only three years older than you. response:	Yuri. Mila.
context: No. Get off me, Mila.\Are you horny because you dumped that hockey player?\I wouldn't put myself in that situation.\I won't get myself almost killed just for going on a date with another girl.\I've been practicing lifts lately, too.\Let me down, hag!\I'm only three years older than you.\Yuri. Mila. response:	Coach Yakov...
context: Are you horny because you dumped that hockey player?\I wouldn't put myself in that situation.\I won't get myself almost killed just for going on a date with another girl.\I've been practicing lifts lately, too.\Let me down, hag!\I'm only three years older than you.\Yuri. Mila.\Coach Yakov... response:	Put me down already! Come on!
context: I wouldn't put myself in that situation.\I won't get myself almost killed just for going on a date with another girl.\I've been practicing lifts lately, too.\Let me down, hag!\I'm only three years older than you.\Yuri. Mila.\Coach Yakov...\Put me down already! Come on! response:	Are you two switching to pairs skating?
context: I won't get myself almost killed just for going on a date with another girl.\I've been practicing lifts lately, too.\Let me down, hag!\I'm only three years older than you.\Yuri. Mila.\Coach Yakov...\Put me down already! Come on!\Are you two switching to pairs skating? response:	S-Sorry.
context: I've been practicing lifts lately, too.\Let me down, hag!\I'm only three years older than you.\Yuri. Mila.\Coach Yakov...\Put me down already! Come on!\Are you two switching to pairs skating?\S-Sorry. response:	I wonder what happened to Yuri in Japan.
context: Let me down, hag!\I'm only three years older than you.\Yuri. Mila.\Coach Yakov...\Put me down already! Come on!\Are you two switching to pairs skating?\S-Sorry.\I wonder what happened to Yuri in Japan. response:	He used to hate practice.
context: I'm only three years older than you.\Yuri. Mila.\Coach Yakov...\Put me down already! Come on!\Are you two switching to pairs skating?\S-Sorry.\I wonder what happened to Yuri in Japan.\He used to hate practice. response:	He was arrogant about his abilities
context: Yuri. Mila.\Coach Yakov...\Put me down already! Come on!\Are you two switching to pairs skating?\S-Sorry.\I wonder what happened to Yuri in Japan.\He used to hate practice.\He was arrogant about his abilities response:	because no one in his age group rivaled him.
context: Coach Yakov...\Put me down already! Come on!\Are you two switching to pairs skating?\S-Sorry.\I wonder what happened to Yuri in Japan.\He used to hate practice.\He was arrogant about his abilities\because no one in his age group rivaled him. response:	But I think his face-off with Yuri Katsuki in Japan was his wake-up call.
context: Put me down already! Come on!\Are you two switching to pairs skating?\S-Sorry.\I wonder what happened to Yuri in Japan.\He used to hate practice.\He was arrogant about his abilities\because no one in his age group rivaled him.\But I think his face-off with Yuri Katsuki in Japan was his wake-up call. response:	This may make things interesting.
context: Are you two switching to pairs skating?\S-Sorry.\I wonder what happened to Yuri in Japan.\He used to hate practice.\He was arrogant about his abilities\because no one in his age group rivaled him.\But I think his face-off with Yuri Katsuki in Japan was his wake-up call.\This may make things interesting. response:	Hey!
