context: Eren. response:	You're a man!
context: Ymir!\Conny, that way!\I know!\Commander!\I can always be replaced.\More importantly, find Eren and retreat!\Time is of the essence!\Eren! response:	Hannes!
context: Conny, that way!\I know!\Commander!\I can always be replaced.\More importantly, find Eren and retreat!\Time is of the essence!\Eren!\Hannes! response:	What are the odds of this?!
context: I know!\Commander!\I can always be replaced.\More importantly, find Eren and retreat!\Time is of the essence!\Eren!\Hannes!\What are the odds of this?! response:	Check it out, you two!
context: Commander!\I can always be replaced.\More importantly, find Eren and retreat!\Time is of the essence!\Eren!\Hannes!\What are the odds of this?!\Check it out, you two! response:	You just watch.
context: I can always be replaced.\More importantly, find Eren and retreat!\Time is of the essence!\Eren!\Hannes!\What are the odds of this?!\Check it out, you two!\You just watch. response:	I'm about to avenge your mother and butcher the shit out of this!
context: More importantly, find Eren and retreat!\Time is of the essence!\Eren!\Hannes!\What are the odds of this?!\Check it out, you two!\You just watch.\I'm about to avenge your mother and butcher the shit out of this! response:	Hannes!
context: Time is of the essence!\Eren!\Hannes!\What are the odds of this?!\Check it out, you two!\You just watch.\I'm about to avenge your mother and butcher the shit out of this!\Hannes! response:	Give the old man backup!
context: Eren!\Hannes!\What are the odds of this?!\Check it out, you two!\You just watch.\I'm about to avenge your mother and butcher the shit out of this!\Hannes!\Give the old man backup! response:	Huh?!
context: Hannes!\What are the odds of this?!\Check it out, you two!\You just watch.\I'm about to avenge your mother and butcher the shit out of this!\Hannes!\Give the old man backup!\Huh?! response:	Reiner? What's he doing?!
context: What are the odds of this?!\Check it out, you two!\You just watch.\I'm about to avenge your mother and butcher the shit out of this!\Hannes!\Give the old man backup!\Huh?!\Reiner? What's he doing?! response:	Does he not care if Eren is eaten?!
context: Check it out, you two!\You just watch.\I'm about to avenge your mother and butcher the shit out of this!\Hannes!\Give the old man backup!\Huh?!\Reiner? What's he doing?!\Does he not care if Eren is eaten?! response:	Don't get in our way, you big sack of shit!
context: You just watch.\I'm about to avenge your mother and butcher the shit out of this!\Hannes!\Give the old man backup!\Huh?!\Reiner? What's he doing?!\Does he not care if Eren is eaten?!\Don't get in our way, you big sack of shit! response:	Ymir!
context: I'm about to avenge your mother and butcher the shit out of this!\Hannes!\Give the old man backup!\Huh?!\Reiner? What's he doing?!\Does he not care if Eren is eaten?!\Don't get in our way, you big sack of shit!\Ymir! response:	Dammit... What am I supposed to do?
context: Hannes!\Give the old man backup!\Huh?!\Reiner? What's he doing?!\Does he not care if Eren is eaten?!\Don't get in our way, you big sack of shit!\Ymir!\Dammit... What am I supposed to do? response:	If I can't count on Reiner, should I cooperate with the Scouts and try to survive?
context: Give the old man backup!\Huh?!\Reiner? What's he doing?!\Does he not care if Eren is eaten?!\Don't get in our way, you big sack of shit!\Ymir!\Dammit... What am I supposed to do?\If I can't count on Reiner, should I cooperate with the Scouts and try to survive? response:	But what happens after that?
context: Huh?!\Reiner? What's he doing?!\Does he not care if Eren is eaten?!\Don't get in our way, you big sack of shit!\Ymir!\Dammit... What am I supposed to do?\If I can't count on Reiner, should I cooperate with the Scouts and try to survive?\But what happens after that? response:	Even if I can somehow live through all this...
context: Reiner? What's he doing?!\Does he not care if Eren is eaten?!\Don't get in our way, you big sack of shit!\Ymir!\Dammit... What am I supposed to do?\If I can't count on Reiner, should I cooperate with the Scouts and try to survive?\But what happens after that?\Even if I can somehow live through all this... response:	Now's my only chance to hand Historia over to their side!
context: Does he not care if Eren is eaten?!\Don't get in our way, you big sack of shit!\Ymir!\Dammit... What am I supposed to do?\If I can't count on Reiner, should I cooperate with the Scouts and try to survive?\But what happens after that?\Even if I can somehow live through all this...\Now's my only chance to hand Historia over to their side! response:	I won't be able to protect her alone, no matter how hard I try.
context: Don't get in our way, you big sack of shit!\Ymir!\Dammit... What am I supposed to do?\If I can't count on Reiner, should I cooperate with the Scouts and try to survive?\But what happens after that?\Even if I can somehow live through all this...\Now's my only chance to hand Historia over to their side!\I won't be able to protect her alone, no matter how hard I try. response:	Christa!
context: Ymir!\Dammit... What am I supposed to do?\If I can't count on Reiner, should I cooperate with the Scouts and try to survive?\But what happens after that?\Even if I can somehow live through all this...\Now's my only chance to hand Historia over to their side!\I won't be able to protect her alone, no matter how hard I try.\Christa! response:	Conny, that's wrong.
context: Dammit... What am I supposed to do?\If I can't count on Reiner, should I cooperate with the Scouts and try to survive?\But what happens after that?\Even if I can somehow live through all this...\Now's my only chance to hand Historia over to their side!\I won't be able to protect her alone, no matter how hard I try.\Christa!\Conny, that's wrong. response:	My name is Historia.
context: If I can't count on Reiner, should I cooperate with the Scouts and try to survive?\But what happens after that?\Even if I can somehow live through all this...\Now's my only chance to hand Historia over to their side!\I won't be able to protect her alone, no matter how hard I try.\Christa!\Conny, that's wrong.\My name is Historia. response:	Hey, Ymir...
context: But what happens after that?\Even if I can somehow live through all this...\Now's my only chance to hand Historia over to their side!\I won't be able to protect her alone, no matter how hard I try.\Christa!\Conny, that's wrong.\My name is Historia.\Hey, Ymir... response:	Why was it you were trying to take me away?
context: Even if I can somehow live through all this...\Now's my only chance to hand Historia over to their side!\I won't be able to protect her alone, no matter how hard I try.\Christa!\Conny, that's wrong.\My name is Historia.\Hey, Ymir...\Why was it you were trying to take me away? response:	You said it was to save yourself, but was that a lie?
context: Now's my only chance to hand Historia over to their side!\I won't be able to protect her alone, no matter how hard I try.\Christa!\Conny, that's wrong.\My name is Historia.\Hey, Ymir...\Why was it you were trying to take me away?\You said it was to save yourself, but was that a lie? response:	No... it has to be.
context: I won't be able to protect her alone, no matter how hard I try.\Christa!\Conny, that's wrong.\My name is Historia.\Hey, Ymir...\Why was it you were trying to take me away?\You said it was to save yourself, but was that a lie?\No... it has to be. response:	Why? Why did you do it?
context: Christa!\Conny, that's wrong.\My name is Historia.\Hey, Ymir...\Why was it you were trying to take me away?\You said it was to save yourself, but was that a lie?\No... it has to be.\Why? Why did you do it? response:	For me?
context: Conny, that's wrong.\My name is Historia.\Hey, Ymir...\Why was it you were trying to take me away?\You said it was to save yourself, but was that a lie?\No... it has to be.\Why? Why did you do it?\For me? response:	To protect me again?
context: My name is Historia.\Hey, Ymir...\Why was it you were trying to take me away?\You said it was to save yourself, but was that a lie?\No... it has to be.\Why? Why did you do it?\For me?\To protect me again? response:	It's a Titan!
context: Hey, Ymir...\Why was it you were trying to take me away?\You said it was to save yourself, but was that a lie?\No... it has to be.\Why? Why did you do it?\For me?\To protect me again?\It's a Titan! response:	Ymir...
context: Why was it you were trying to take me away?\You said it was to save yourself, but was that a lie?\No... it has to be.\Why? Why did you do it?\For me?\To protect me again?\It's a Titan!\Ymir... response:	You're the one who said it, so listen to yourself!
context: You said it was to save yourself, but was that a lie?\No... it has to be.\Why? Why did you do it?\For me?\To protect me again?\It's a Titan!\Ymir...\You're the one who said it, so listen to yourself! response:	Stop living for other people!
context: No... it has to be.\Why? Why did you do it?\For me?\To protect me again?\It's a Titan!\Ymir...\You're the one who said it, so listen to yourself!\Stop living for other people! response:	From now on, let's live for nobody but ourselves!
context: Why? Why did you do it?\For me?\To protect me again?\It's a Titan!\Ymir...\You're the one who said it, so listen to yourself!\Stop living for other people!\From now on, let's live for nobody but ourselves! response:	It's strange, really...
context: For me?\To protect me again?\It's a Titan!\Ymir...\You're the one who said it, so listen to yourself!\Stop living for other people!\From now on, let's live for nobody but ourselves!\It's strange, really... response:	When I'm with you, no matter how screwed up it gets...
context: To protect me again?\It's a Titan!\Ymir...\You're the one who said it, so listen to yourself!\Stop living for other people!\From now on, let's live for nobody but ourselves!\It's strange, really...\When I'm with you, no matter how screwed up it gets... response:	Shit!
context: It's a Titan!\Ymir...\You're the one who said it, so listen to yourself!\Stop living for other people!\From now on, let's live for nobody but ourselves!\It's strange, really...\When I'm with you, no matter how screwed up it gets...\Shit! response:	Don't, Mikasa! You're injured!
context: Ymir...\You're the one who said it, so listen to yourself!\Stop living for other people!\From now on, let's live for nobody but ourselves!\It's strange, really...\When I'm with you, no matter how screwed up it gets...\Shit!\Don't, Mikasa! You're injured! response:	Untie my hands!
context: You're the one who said it, so listen to yourself!\Stop living for other people!\From now on, let's live for nobody but ourselves!\It's strange, really...\When I'm with you, no matter how screwed up it gets...\Shit!\Don't, Mikasa! You're injured!\Untie my hands! response:	Hands?
context: Stop living for other people!\From now on, let's live for nobody but ourselves!\It's strange, really...\When I'm with you, no matter how screwed up it gets...\Shit!\Don't, Mikasa! You're injured!\Untie my hands!\Hands? response:	Hurry up!
context: From now on, let's live for nobody but ourselves!\It's strange, really...\When I'm with you, no matter how screwed up it gets...\Shit!\Don't, Mikasa! You're injured!\Untie my hands!\Hands?\Hurry up! response:	I've gotta be the one to do it!
context: It's strange, really...\When I'm with you, no matter how screwed up it gets...\Shit!\Don't, Mikasa! You're injured!\Untie my hands!\Hands?\Hurry up!\I've gotta be the one to do it! response:	Who said I was done with you?!
context: When I'm with you, no matter how screwed up it gets...\Shit!\Don't, Mikasa! You're injured!\Untie my hands!\Hands?\Hurry up!\I've gotta be the one to do it!\Who said I was done with you?! response:	That one's... mine!
context: Shit!\Don't, Mikasa! You're injured!\Untie my hands!\Hands?\Hurry up!\I've gotta be the one to do it!\Who said I was done with you?!\That one's... mine! response:	Eren!
context: Don't, Mikasa! You're injured!\Untie my hands!\Hands?\Hurry up!\I've gotta be the one to do it!\Who said I was done with you?!\That one's... mine!\Eren! response:	Wait! We're trying to get you out of here!
context: Untie my hands!\Hands?\Hurry up!\I've gotta be the one to do it!\Who said I was done with you?!\That one's... mine!\Eren!\Wait! We're trying to get you out of here! response:	It's time to settle the score!
context: Hands?\Hurry up!\I've gotta be the one to do it!\Who said I was done with you?!\That one's... mine!\Eren!\Wait! We're trying to get you out of here!\It's time to settle the score! response:	Just watch!
context: Hurry up!\I've gotta be the one to do it!\Who said I was done with you?!\That one's... mine!\Eren!\Wait! We're trying to get you out of here!\It's time to settle the score!\Just watch! response:	Huh?!
context: I've gotta be the one to do it!\Who said I was done with you?!\That one's... mine!\Eren!\Wait! We're trying to get you out of here!\It's time to settle the score!\Just watch!\Huh?! response:	Commander!
context: Who said I was done with you?!\That one's... mine!\Eren!\Wait! We're trying to get you out of here!\It's time to settle the score!\Just watch!\Huh?!\Commander! response:	The Armored one is-
context: That one's... mine!\Eren!\Wait! We're trying to get you out of here!\It's time to settle the score!\Just watch!\Huh?!\Commander!\The Armored one is- response:	It's coming!
context: Eren!\Wait! We're trying to get you out of here!\It's time to settle the score!\Just watch!\Huh?!\Commander!\The Armored one is-\It's coming! response:	Jean!
context: Wait! We're trying to get you out of here!\It's time to settle the score!\Just watch!\Huh?!\Commander!\The Armored one is-\It's coming!\Jean! response:	Jean!
context: It's time to settle the score!\Just watch!\Huh?!\Commander!\The Armored one is-\It's coming!\Jean!\Jean! response:	Are you okay?!
context: Just watch!\Huh?!\Commander!\The Armored one is-\It's coming!\Jean!\Jean!\Are you okay?! response:	Hold it together!
context: Huh?!\Commander!\The Armored one is-\It's coming!\Jean!\Jean!\Are you okay?!\Hold it together! response:	Shit!
context: Commander!\The Armored one is-\It's coming!\Jean!\Jean!\Are you okay?!\Hold it together!\Shit! response:	Shit!
context: The Armored one is-\It's coming!\Jean!\Jean!\Are you okay?!\Hold it together!\Shit!\Shit! response:	What's wrong?!
context: It's coming!\Jean!\Jean!\Are you okay?!\Hold it together!\Shit!\Shit!\What's wrong?! response:	Eren!
context: Jean!\Jean!\Are you okay?!\Hold it together!\Shit!\Shit!\What's wrong?!\Eren! response:	Commander!
context: Jean!\Are you okay?!\Hold it together!\Shit!\Shit!\What's wrong?!\Eren!\Commander! response:	Right now...
context: Are you okay?!\Hold it together!\Shit!\Shit!\What's wrong?!\Eren!\Commander!\Right now... response:	Eren...
context: Hold it together!\Shit!\Shit!\What's wrong?!\Eren!\Commander!\Right now...\Eren... response:	Nothing changed!
context: Shit!\Shit!\What's wrong?!\Eren!\Commander!\Right now...\Eren...\Nothing changed! response:	You haven't changed one bit, dammit!
context: Shit!\What's wrong?!\Eren!\Commander!\Right now...\Eren...\Nothing changed!\You haven't changed one bit, dammit! response:	You're still as useless as you ever were!
context: What's wrong?!\Eren!\Commander!\Right now...\Eren...\Nothing changed!\You haven't changed one bit, dammit!\You're still as useless as you ever were! response:	Nothing changed!
context: Eren!\Commander!\Right now...\Eren...\Nothing changed!\You haven't changed one bit, dammit!\You're still as useless as you ever were!\Nothing changed! response:	Mom...
context: Commander!\Right now...\Eren...\Nothing changed!\You haven't changed one bit, dammit!\You're still as useless as you ever were!\Nothing changed!\Mom... response:	I still... can't do anything at all.
context: Right now...\Eren...\Nothing changed!\You haven't changed one bit, dammit!\You're still as useless as you ever were!\Nothing changed!\Mom...\I still... can't do anything at all. response:	Eren...
context: Eren...\Nothing changed!\You haven't changed one bit, dammit!\You're still as useless as you ever were!\Nothing changed!\Mom...\I still... can't do anything at all.\Eren... response:	That's not true.
context: Nothing changed!\You haven't changed one bit, dammit!\You're still as useless as you ever were!\Nothing changed!\Mom...\I still... can't do anything at all.\Eren...\That's not true. response:	Eren...
context: You haven't changed one bit, dammit!\You're still as useless as you ever were!\Nothing changed!\Mom...\I still... can't do anything at all.\Eren...\That's not true.\Eren... response:	Listen...
context: You're still as useless as you ever were!\Nothing changed!\Mom...\I still... can't do anything at all.\Eren...\That's not true.\Eren...\Listen... response:	You've always... been at my side.
context: Nothing changed!\Mom...\I still... can't do anything at all.\Eren...\That's not true.\Eren...\Listen...\You've always... been at my side. response:	Thank you.
context: Mom...\I still... can't do anything at all.\Eren...\That's not true.\Eren...\Listen...\You've always... been at my side.\Thank you. response:	You showed me... how to live with purpose.
context: I still... can't do anything at all.\Eren...\That's not true.\Eren...\Listen...\You've always... been at my side.\Thank you.\You showed me... how to live with purpose. response:	Thank you.
context: Eren...\That's not true.\Eren...\Listen...\You've always... been at my side.\Thank you.\You showed me... how to live with purpose.\Thank you. response:	And you...
context: That's not true.\Eren...\Listen...\You've always... been at my side.\Thank you.\You showed me... how to live with purpose.\Thank you.\And you... response:	You wrapped this scarf around me.
context: Eren...\Listen...\You've always... been at my side.\Thank you.\You showed me... how to live with purpose.\Thank you.\And you...\You wrapped this scarf around me. response:	Thank you.
context: Listen...\You've always... been at my side.\Thank you.\You showed me... how to live with purpose.\Thank you.\And you...\You wrapped this scarf around me.\Thank you. response:	I'll wrap that around you...
context: You've always... been at my side.\Thank you.\You showed me... how to live with purpose.\Thank you.\And you...\You wrapped this scarf around me.\Thank you.\I'll wrap that around you... response:	as many times as you want.
context: Thank you.\You showed me... how to live with purpose.\Thank you.\And you...\You wrapped this scarf around me.\Thank you.\I'll wrap that around you...\as many times as you want. response:	Now and forever... As much as you want!
context: You showed me... how to live with purpose.\Thank you.\And you...\You wrapped this scarf around me.\Thank you.\I'll wrap that around you...\as many times as you want.\Now and forever... As much as you want! response:	Why... are they...?
context: Thank you.\And you...\You wrapped this scarf around me.\Thank you.\I'll wrap that around you...\as many times as you want.\Now and forever... As much as you want!\Why... are they...? response:	They're eating it?
context: And you...\You wrapped this scarf around me.\Thank you.\I'll wrap that around you...\as many times as you want.\Now and forever... As much as you want!\Why... are they...?\They're eating it? response:	Dunno what's going on, but now's our chance!
context: You wrapped this scarf around me.\Thank you.\I'll wrap that around you...\as many times as you want.\Now and forever... As much as you want!\Why... are they...?\They're eating it?\Dunno what's going on, but now's our chance! response:	Let's hurry and run!
context: Thank you.\I'll wrap that around you...\as many times as you want.\Now and forever... As much as you want!\Why... are they...?\They're eating it?\Dunno what's going on, but now's our chance!\Let's hurry and run! response:	Right!
context: I'll wrap that around you...\as many times as you want.\Now and forever... As much as you want!\Why... are they...?\They're eating it?\Dunno what's going on, but now's our chance!\Let's hurry and run!\Right! response:	So that's how it is...
context: as many times as you want.\Now and forever... As much as you want!\Why... are they...?\They're eating it?\Dunno what's going on, but now's our chance!\Let's hurry and run!\Right!\So that's how it is... response:	That's why Reiner was so desperate for Eren.
context: Now and forever... As much as you want!\Why... are they...?\They're eating it?\Dunno what's going on, but now's our chance!\Let's hurry and run!\Right!\So that's how it is...\That's why Reiner was so desperate for Eren. response:	Which means, even inside the walls...
context: Why... are they...?\They're eating it?\Dunno what's going on, but now's our chance!\Let's hurry and run!\Right!\So that's how it is...\That's why Reiner was so desperate for Eren.\Which means, even inside the walls... response:	This is the worst...
context: They're eating it?\Dunno what's going on, but now's our chance!\Let's hurry and run!\Right!\So that's how it is...\That's why Reiner was so desperate for Eren.\Which means, even inside the walls...\This is the worst... response:	Why did the Coordinate have to fall into
context: Dunno what's going on, but now's our chance!\Let's hurry and run!\Right!\So that's how it is...\That's why Reiner was so desperate for Eren.\Which means, even inside the walls...\This is the worst...\Why did the Coordinate have to fall into response:	the hands of the worst person imaginable?
context: Let's hurry and run!\Right!\So that's how it is...\That's why Reiner was so desperate for Eren.\Which means, even inside the walls...\This is the worst...\Why did the Coordinate have to fall into\the hands of the worst person imaginable? response:	We've gotta get it back...
context: Right!\So that's how it is...\That's why Reiner was so desperate for Eren.\Which means, even inside the walls...\This is the worst...\Why did the Coordinate have to fall into\the hands of the worst person imaginable?\We've gotta get it back... response:	I can say... without a doubt...
context: So that's how it is...\That's why Reiner was so desperate for Eren.\Which means, even inside the walls...\This is the worst...\Why did the Coordinate have to fall into\the hands of the worst person imaginable?\We've gotta get it back...\I can say... without a doubt... response:	Get away from me!
context: That's why Reiner was so desperate for Eren.\Which means, even inside the walls...\This is the worst...\Why did the Coordinate have to fall into\the hands of the worst person imaginable?\We've gotta get it back...\I can say... without a doubt...\Get away from me! response:	You bastards! I'll kill you all!
context: Which means, even inside the walls...\This is the worst...\Why did the Coordinate have to fall into\the hands of the worst person imaginable?\We've gotta get it back...\I can say... without a doubt...\Get away from me!\You bastards! I'll kill you all! response:	Not good! Bertholdt!
context: This is the worst...\Why did the Coordinate have to fall into\the hands of the worst person imaginable?\We've gotta get it back...\I can say... without a doubt...\Get away from me!\You bastards! I'll kill you all!\Not good! Bertholdt! response:	I can't protect Bertholdt like this!
context: Why did the Coordinate have to fall into\the hands of the worst person imaginable?\We've gotta get it back...\I can say... without a doubt...\Get away from me!\You bastards! I'll kill you all!\Not good! Bertholdt!\I can't protect Bertholdt like this! response:	What? The Titans?
context: the hands of the worst person imaginable?\We've gotta get it back...\I can say... without a doubt...\Get away from me!\You bastards! I'll kill you all!\Not good! Bertholdt!\I can't protect Bertholdt like this!\What? The Titans? response:	Eren!
context: We've gotta get it back...\I can say... without a doubt...\Get away from me!\You bastards! I'll kill you all!\Not good! Bertholdt!\I can't protect Bertholdt like this!\What? The Titans?\Eren! response:	Get on!
context: I can say... without a doubt...\Get away from me!\You bastards! I'll kill you all!\Not good! Bertholdt!\I can't protect Bertholdt like this!\What? The Titans?\Eren!\Get on! response:	Armin!
context: Get away from me!\You bastards! I'll kill you all!\Not good! Bertholdt!\I can't protect Bertholdt like this!\What? The Titans?\Eren!\Get on!\Armin! response:	Hurry!
context: You bastards! I'll kill you all!\Not good! Bertholdt!\I can't protect Bertholdt like this!\What? The Titans?\Eren!\Get on!\Armin!\Hurry! response:	Don't let this chance escape!
context: Not good! Bertholdt!\I can't protect Bertholdt like this!\What? The Titans?\Eren!\Get on!\Armin!\Hurry!\Don't let this chance escape! response:	Full retreat!
context: I can't protect Bertholdt like this!\What? The Titans?\Eren!\Get on!\Armin!\Hurry!\Don't let this chance escape!\Full retreat! response:	Ymir!
context: What? The Titans?\Eren!\Get on!\Armin!\Hurry!\Don't let this chance escape!\Full retreat!\Ymir! response:	Hey, ugly! What are you doing?! We're heading back!
context: Eren!\Get on!\Armin!\Hurry!\Don't let this chance escape!\Full retreat!\Ymir!\Hey, ugly! What are you doing?! We're heading back! response:	I sorry...
context: Get on!\Armin!\Hurry!\Don't let this chance escape!\Full retreat!\Ymir!\Hey, ugly! What are you doing?! We're heading back!\I sorry... response:	Huh?
context: Armin!\Hurry!\Don't let this chance escape!\Full retreat!\Ymir!\Hey, ugly! What are you doing?! We're heading back!\I sorry...\Huh? response:	Ymir! Where are you going?!
context: Hurry!\Don't let this chance escape!\Full retreat!\Ymir!\Hey, ugly! What are you doing?! We're heading back!\I sorry...\Huh?\Ymir! Where are you going?! response:	Leave her!
context: Don't let this chance escape!\Full retreat!\Ymir!\Hey, ugly! What are you doing?! We're heading back!\I sorry...\Huh?\Ymir! Where are you going?!\Leave her! response:	But Ymir is-
context: Full retreat!\Ymir!\Hey, ugly! What are you doing?! We're heading back!\I sorry...\Huh?\Ymir! Where are you going?!\Leave her!\But Ymir is- response:	In that moment, I couldn't understand the motivation behind Ymir's actions...
context: Ymir!\Hey, ugly! What are you doing?! We're heading back!\I sorry...\Huh?\Ymir! Where are you going?!\Leave her!\But Ymir is-\In that moment, I couldn't understand the motivation behind Ymir's actions... response:	Information Available for Public Disclosure Unyielding Vow
context: Hey, ugly! What are you doing?! We're heading back!\I sorry...\Huh?\Ymir! Where are you going?!\Leave her!\But Ymir is-\In that moment, I couldn't understand the motivation behind Ymir's actions...\Information Available for Public Disclosure Unyielding Vow response:	Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin.
context: I sorry...\Huh?\Ymir! Where are you going?!\Leave her!\But Ymir is-\In that moment, I couldn't understand the motivation behind Ymir's actions...\Information Available for Public Disclosure Unyielding Vow\Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin. response:	The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans.
context: Huh?\Ymir! Where are you going?!\Leave her!\But Ymir is-\In that moment, I couldn't understand the motivation behind Ymir's actions...\Information Available for Public Disclosure Unyielding Vow\Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin.\The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans. response:	Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight.
context: Ymir! Where are you going?!\Leave her!\But Ymir is-\In that moment, I couldn't understand the motivation behind Ymir's actions...\Information Available for Public Disclosure Unyielding Vow\Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin.\The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans.\Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight. response:	Ymir...
context: Leave her!\But Ymir is-\In that moment, I couldn't understand the motivation behind Ymir's actions...\Information Available for Public Disclosure Unyielding Vow\Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin.\The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans.\Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight.\Ymir... response:	Why did you come to us?
context: But Ymir is-\In that moment, I couldn't understand the motivation behind Ymir's actions...\Information Available for Public Disclosure Unyielding Vow\Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin.\The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans.\Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight.\Ymir...\Why did you come to us? response:	Oh, well...
context: In that moment, I couldn't understand the motivation behind Ymir's actions...\Information Available for Public Disclosure Unyielding Vow\Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin.\The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans.\Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight.\Ymir...\Why did you come to us?\Oh, well... response:	It's because I'm an idiot.
context: Information Available for Public Disclosure Unyielding Vow\Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin.\The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans.\Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight.\Ymir...\Why did you come to us?\Oh, well...\It's because I'm an idiot. response:	I'll be your souvenir to take back home.
context: Through extensive research and accounts of various incidents, it has become clear that the scourge of Titans which have long plagued humanity are of human origin.\The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans.\Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight.\Ymir...\Why did you come to us?\Oh, well...\It's because I'm an idiot.\I'll be your souvenir to take back home. response:	You can't just go back empty-handed.
