context: What a nice aroma' response:	So let's see if we did it right.
context: Now what?\Don't worry, it's just practice.\It's so big, we can't just eat it by ourselves, right?\Why don't you take some to your friends at school?\Sure, I'll do that!\We'll ask Touya, maybe Yukito would like some tomorrow, too.\Yukito.\It'd be nice if I could make one as good as yours, Dad' response:	I'm sure you'll do fine.
context: Don't worry, it's just practice.\It's so big, we can't just eat it by ourselves, right?\Why don't you take some to your friends at school?\Sure, I'll do that!\We'll ask Touya, maybe Yukito would like some tomorrow, too.\Yukito.\It'd be nice if I could make one as good as yours, Dad'\I'm sure you'll do fine. response:	So what's the best way to make a cake like this?
context: It's so big, we can't just eat it by ourselves, right?\Why don't you take some to your friends at school?\Sure, I'll do that!\We'll ask Touya, maybe Yukito would like some tomorrow, too.\Yukito.\It'd be nice if I could make one as good as yours, Dad'\I'm sure you'll do fine.\So what's the best way to make a cake like this? response:	Make it with all your heart'for the one you love.
context: Why don't you take some to your friends at school?\Sure, I'll do that!\We'll ask Touya, maybe Yukito would like some tomorrow, too.\Yukito.\It'd be nice if I could make one as good as yours, Dad'\I'm sure you'll do fine.\So what's the best way to make a cake like this?\Make it with all your heart'for the one you love. response:	The one you love'
context: Sure, I'll do that!\We'll ask Touya, maybe Yukito would like some tomorrow, too.\Yukito.\It'd be nice if I could make one as good as yours, Dad'\I'm sure you'll do fine.\So what's the best way to make a cake like this?\Make it with all your heart'for the one you love.\The one you love' response:	Oh, please' It's too embarrassing'
context: We'll ask Touya, maybe Yukito would like some tomorrow, too.\Yukito.\It'd be nice if I could make one as good as yours, Dad'\I'm sure you'll do fine.\So what's the best way to make a cake like this?\Make it with all your heart'for the one you love.\The one you love'\Oh, please' It's too embarrassing' response:	Sakura,
context: Yukito.\It'd be nice if I could make one as good as yours, Dad'\I'm sure you'll do fine.\So what's the best way to make a cake like this?\Make it with all your heart'for the one you love.\The one you love'\Oh, please' It's too embarrassing'\Sakura, response:	this cake tastes really good!
context: It'd be nice if I could make one as good as yours, Dad'\I'm sure you'll do fine.\So what's the best way to make a cake like this?\Make it with all your heart'for the one you love.\The one you love'\Oh, please' It's too embarrassing'\Sakura,\this cake tastes really good! response:	I had some failures before making this one.
context: I'm sure you'll do fine.\So what's the best way to make a cake like this?\Make it with all your heart'for the one you love.\The one you love'\Oh, please' It's too embarrassing'\Sakura,\this cake tastes really good!\I had some failures before making this one. response:	If you make one that tastes good, anyone would want to eat it, right?
context: So what's the best way to make a cake like this?\Make it with all your heart'for the one you love.\The one you love'\Oh, please' It's too embarrassing'\Sakura,\this cake tastes really good!\I had some failures before making this one.\If you make one that tastes good, anyone would want to eat it, right? response:	I wonder if we can make a good one today.
context: Make it with all your heart'for the one you love.\The one you love'\Oh, please' It's too embarrassing'\Sakura,\this cake tastes really good!\I had some failures before making this one.\If you make one that tastes good, anyone would want to eat it, right?\I wonder if we can make a good one today. response:	You'll do fine.
context: The one you love'\Oh, please' It's too embarrassing'\Sakura,\this cake tastes really good!\I had some failures before making this one.\If you make one that tastes good, anyone would want to eat it, right?\I wonder if we can make a good one today.\You'll do fine. response:	You and Chiharu have Rika in your group.
context: Oh, please' It's too embarrassing'\Sakura,\this cake tastes really good!\I had some failures before making this one.\If you make one that tastes good, anyone would want to eat it, right?\I wonder if we can make a good one today.\You'll do fine.\You and Chiharu have Rika in your group. response:	That's right. You're really good at making cakes, Rika!
context: Sakura,\this cake tastes really good!\I had some failures before making this one.\If you make one that tastes good, anyone would want to eat it, right?\I wonder if we can make a good one today.\You'll do fine.\You and Chiharu have Rika in your group.\That's right. You're really good at making cakes, Rika! response:	Oh, I'm not that good'
context: this cake tastes really good!\I had some failures before making this one.\If you make one that tastes good, anyone would want to eat it, right?\I wonder if we can make a good one today.\You'll do fine.\You and Chiharu have Rika in your group.\That's right. You're really good at making cakes, Rika!\Oh, I'm not that good' response:	Would custard be alright?
context: I had some failures before making this one.\If you make one that tastes good, anyone would want to eat it, right?\I wonder if we can make a good one today.\You'll do fine.\You and Chiharu have Rika in your group.\That's right. You're really good at making cakes, Rika!\Oh, I'm not that good'\Would custard be alright? response:	It should be easy.
context: If you make one that tastes good, anyone would want to eat it, right?\I wonder if we can make a good one today.\You'll do fine.\You and Chiharu have Rika in your group.\That's right. You're really good at making cakes, Rika!\Oh, I'm not that good'\Would custard be alright?\It should be easy. response:	That's right.
context: I wonder if we can make a good one today.\You'll do fine.\You and Chiharu have Rika in your group.\That's right. You're really good at making cakes, Rika!\Oh, I'm not that good'\Would custard be alright?\It should be easy.\That's right. response:	Hey, look, Shao Lan! What about this kind of cake?
context: You'll do fine.\You and Chiharu have Rika in your group.\That's right. You're really good at making cakes, Rika!\Oh, I'm not that good'\Would custard be alright?\It should be easy.\That's right.\Hey, look, Shao Lan! What about this kind of cake? response:	That's a wedding cake, isn't it?
context: You and Chiharu have Rika in your group.\That's right. You're really good at making cakes, Rika!\Oh, I'm not that good'\Would custard be alright?\It should be easy.\That's right.\Hey, look, Shao Lan! What about this kind of cake?\That's a wedding cake, isn't it? response:	Yep! With this kind of cake,
context: That's right. You're really good at making cakes, Rika!\Oh, I'm not that good'\Would custard be alright?\It should be easy.\That's right.\Hey, look, Shao Lan! What about this kind of cake?\That's a wedding cake, isn't it?\Yep! With this kind of cake, response:	you and I together'
context: Oh, I'm not that good'\Would custard be alright?\It should be easy.\That's right.\Hey, look, Shao Lan! What about this kind of cake?\That's a wedding cake, isn't it?\Yep! With this kind of cake,\you and I together' response:	Would custard be alright?
context: Would custard be alright?\It should be easy.\That's right.\Hey, look, Shao Lan! What about this kind of cake?\That's a wedding cake, isn't it?\Yep! With this kind of cake,\you and I together'\Would custard be alright? response:	Should be easy.
context: It should be easy.\That's right.\Hey, look, Shao Lan! What about this kind of cake?\That's a wedding cake, isn't it?\Yep! With this kind of cake,\you and I together'\Would custard be alright?\Should be easy. response:	How about a strawberry shortcake?
context: That's right.\Hey, look, Shao Lan! What about this kind of cake?\That's a wedding cake, isn't it?\Yep! With this kind of cake,\you and I together'\Would custard be alright?\Should be easy.\How about a strawberry shortcake? response:	I love those!
context: Hey, look, Shao Lan! What about this kind of cake?\That's a wedding cake, isn't it?\Yep! With this kind of cake,\you and I together'\Would custard be alright?\Should be easy.\How about a strawberry shortcake?\I love those! response:	So our group has decided to make a strawberry shortcake, right?
context: That's a wedding cake, isn't it?\Yep! With this kind of cake,\you and I together'\Would custard be alright?\Should be easy.\How about a strawberry shortcake?\I love those!\So our group has decided to make a strawberry shortcake, right? response:	I can't decide on what kind of cake to make.
context: Yep! With this kind of cake,\you and I together'\Would custard be alright?\Should be easy.\How about a strawberry shortcake?\I love those!\So our group has decided to make a strawberry shortcake, right?\I can't decide on what kind of cake to make. response:	Chocolate cake'
context: you and I together'\Would custard be alright?\Should be easy.\How about a strawberry shortcake?\I love those!\So our group has decided to make a strawberry shortcake, right?\I can't decide on what kind of cake to make.\Chocolate cake' response:	Hey, that looks tasty.
context: Would custard be alright?\Should be easy.\How about a strawberry shortcake?\I love those!\So our group has decided to make a strawberry shortcake, right?\I can't decide on what kind of cake to make.\Chocolate cake'\Hey, that looks tasty. response:	Miss Mizuki!
context: Should be easy.\How about a strawberry shortcake?\I love those!\So our group has decided to make a strawberry shortcake, right?\I can't decide on what kind of cake to make.\Chocolate cake'\Hey, that looks tasty.\Miss Mizuki! response:	Kinomoto,
context: How about a strawberry shortcake?\I love those!\So our group has decided to make a strawberry shortcake, right?\I can't decide on what kind of cake to make.\Chocolate cake'\Hey, that looks tasty.\Miss Mizuki!\Kinomoto, response:	do you like chocolate cakes, too?
context: I love those!\So our group has decided to make a strawberry shortcake, right?\I can't decide on what kind of cake to make.\Chocolate cake'\Hey, that looks tasty.\Miss Mizuki!\Kinomoto,\do you like chocolate cakes, too? response:	I love them!
context: So our group has decided to make a strawberry shortcake, right?\I can't decide on what kind of cake to make.\Chocolate cake'\Hey, that looks tasty.\Miss Mizuki!\Kinomoto,\do you like chocolate cakes, too?\I love them! response:	Me, too. You're preparing for Home Economics, right?
context: I can't decide on what kind of cake to make.\Chocolate cake'\Hey, that looks tasty.\Miss Mizuki!\Kinomoto,\do you like chocolate cakes, too?\I love them!\Me, too. You're preparing for Home Economics, right? response:	Yep! We're making cakes during tomorrow's class.
context: Chocolate cake'\Hey, that looks tasty.\Miss Mizuki!\Kinomoto,\do you like chocolate cakes, too?\I love them!\Me, too. You're preparing for Home Economics, right?\Yep! We're making cakes during tomorrow's class. response:	Do your best.
context: Hey, that looks tasty.\Miss Mizuki!\Kinomoto,\do you like chocolate cakes, too?\I love them!\Me, too. You're preparing for Home Economics, right?\Yep! We're making cakes during tomorrow's class.\Do your best. response:	I will! Oh, if it turns out alright, I'll bring you a piece.
context: Miss Mizuki!\Kinomoto,\do you like chocolate cakes, too?\I love them!\Me, too. You're preparing for Home Economics, right?\Yep! We're making cakes during tomorrow's class.\Do your best.\I will! Oh, if it turns out alright, I'll bring you a piece. response:	That'll be great! I'll be looking forward to it.
context: Kinomoto,\do you like chocolate cakes, too?\I love them!\Me, too. You're preparing for Home Economics, right?\Yep! We're making cakes during tomorrow's class.\Do your best.\I will! Oh, if it turns out alright, I'll bring you a piece.\That'll be great! I'll be looking forward to it. response:	So we're making chocolate cake?
context: do you like chocolate cakes, too?\I love them!\Me, too. You're preparing for Home Economics, right?\Yep! We're making cakes during tomorrow's class.\Do your best.\I will! Oh, if it turns out alright, I'll bring you a piece.\That'll be great! I'll be looking forward to it.\So we're making chocolate cake? response:	Yep! That's it!
context: I love them!\Me, too. You're preparing for Home Economics, right?\Yep! We're making cakes during tomorrow's class.\Do your best.\I will! Oh, if it turns out alright, I'll bring you a piece.\That'll be great! I'll be looking forward to it.\So we're making chocolate cake?\Yep! That's it! response:	Strange?
context: Me, too. You're preparing for Home Economics, right?\Yep! We're making cakes during tomorrow's class.\Do your best.\I will! Oh, if it turns out alright, I'll bring you a piece.\That'll be great! I'll be looking forward to it.\So we're making chocolate cake?\Yep! That's it!\Strange? response:	Eh!
context: Yep! We're making cakes during tomorrow's class.\Do your best.\I will! Oh, if it turns out alright, I'll bring you a piece.\That'll be great! I'll be looking forward to it.\So we're making chocolate cake?\Yep! That's it!\Strange?\Eh! response:	Li-kun!
context: Do your best.\I will! Oh, if it turns out alright, I'll bring you a piece.\That'll be great! I'll be looking forward to it.\So we're making chocolate cake?\Yep! That's it!\Strange?\Eh!\Li-kun! response:	Studying cakes?
context: I will! Oh, if it turns out alright, I'll bring you a piece.\That'll be great! I'll be looking forward to it.\So we're making chocolate cake?\Yep! That's it!\Strange?\Eh!\Li-kun!\Studying cakes? response:	S' something like that'
context: That'll be great! I'll be looking forward to it.\So we're making chocolate cake?\Yep! That's it!\Strange?\Eh!\Li-kun!\Studying cakes?\S' something like that' response:	What kind of cake is your group making?
context: So we're making chocolate cake?\Yep! That's it!\Strange?\Eh!\Li-kun!\Studying cakes?\S' something like that'\What kind of cake is your group making? response:	Custard cream.
context: Yep! That's it!\Strange?\Eh!\Li-kun!\Studying cakes?\S' something like that'\What kind of cake is your group making?\Custard cream. response:	We're making chocolate. Good luck!
context: Strange?\Eh!\Li-kun!\Studying cakes?\S' something like that'\What kind of cake is your group making?\Custard cream.\We're making chocolate. Good luck! response:	Umm'
context: Eh!\Li-kun!\Studying cakes?\S' something like that'\What kind of cake is your group making?\Custard cream.\We're making chocolate. Good luck!\Umm' response:	Yes.
context: Li-kun!\Studying cakes?\S' something like that'\What kind of cake is your group making?\Custard cream.\We're making chocolate. Good luck!\Umm'\Yes. response:	Yukito!
context: Studying cakes?\S' something like that'\What kind of cake is your group making?\Custard cream.\We're making chocolate. Good luck!\Umm'\Yes.\Yukito! response:	Sakura, are you all here to buy cakes, too?
context: S' something like that'\What kind of cake is your group making?\Custard cream.\We're making chocolate. Good luck!\Umm'\Yes.\Yukito!\Sakura, are you all here to buy cakes, too? response:	No, tomorrow we're making cakes in Home Ec.
context: What kind of cake is your group making?\Custard cream.\We're making chocolate. Good luck!\Umm'\Yes.\Yukito!\Sakura, are you all here to buy cakes, too?\No, tomorrow we're making cakes in Home Ec. response:	You came to study, huh?
context: Custard cream.\We're making chocolate. Good luck!\Umm'\Yes.\Yukito!\Sakura, are you all here to buy cakes, too?\No, tomorrow we're making cakes in Home Ec.\You came to study, huh? response:	You bought a lot!
context: We're making chocolate. Good luck!\Umm'\Yes.\Yukito!\Sakura, are you all here to buy cakes, too?\No, tomorrow we're making cakes in Home Ec.\You came to study, huh?\You bought a lot! response:	Yes, these cakes are really good!
context: Umm'\Yes.\Yukito!\Sakura, are you all here to buy cakes, too?\No, tomorrow we're making cakes in Home Ec.\You came to study, huh?\You bought a lot!\Yes, these cakes are really good! response:	Really?
context: Yes.\Yukito!\Sakura, are you all here to buy cakes, too?\No, tomorrow we're making cakes in Home Ec.\You came to study, huh?\You bought a lot!\Yes, these cakes are really good!\Really? response:	Um, Yukito, what kind of cake do you like?
context: Yukito!\Sakura, are you all here to buy cakes, too?\No, tomorrow we're making cakes in Home Ec.\You came to study, huh?\You bought a lot!\Yes, these cakes are really good!\Really?\Um, Yukito, what kind of cake do you like? response:	Let me see' Cheesecake, shortcake, blueberry, banana cream pie'
context: Sakura, are you all here to buy cakes, too?\No, tomorrow we're making cakes in Home Ec.\You came to study, huh?\You bought a lot!\Yes, these cakes are really good!\Really?\Um, Yukito, what kind of cake do you like?\Let me see' Cheesecake, shortcake, blueberry, banana cream pie' response:	I like all kinds of cakes!
context: No, tomorrow we're making cakes in Home Ec.\You came to study, huh?\You bought a lot!\Yes, these cakes are really good!\Really?\Um, Yukito, what kind of cake do you like?\Let me see' Cheesecake, shortcake, blueberry, banana cream pie'\I like all kinds of cakes! response:	What about chocolate?
context: You came to study, huh?\You bought a lot!\Yes, these cakes are really good!\Really?\Um, Yukito, what kind of cake do you like?\Let me see' Cheesecake, shortcake, blueberry, banana cream pie'\I like all kinds of cakes!\What about chocolate? response:	Custard cream?
context: You bought a lot!\Yes, these cakes are really good!\Really?\Um, Yukito, what kind of cake do you like?\Let me see' Cheesecake, shortcake, blueberry, banana cream pie'\I like all kinds of cakes!\What about chocolate?\Custard cream? response:	I love'em both!
context: Yes, these cakes are really good!\Really?\Um, Yukito, what kind of cake do you like?\Let me see' Cheesecake, shortcake, blueberry, banana cream pie'\I like all kinds of cakes!\What about chocolate?\Custard cream?\I love'em both! response:	Um, if it turns out all right,
context: Really?\Um, Yukito, what kind of cake do you like?\Let me see' Cheesecake, shortcake, blueberry, banana cream pie'\I like all kinds of cakes!\What about chocolate?\Custard cream?\I love'em both!\Um, if it turns out all right, response:	would you like to have some?
context: Um, Yukito, what kind of cake do you like?\Let me see' Cheesecake, shortcake, blueberry, banana cream pie'\I like all kinds of cakes!\What about chocolate?\Custard cream?\I love'em both!\Um, if it turns out all right,\would you like to have some? response:	Of course! I'll be looking forward to it.
context: Let me see' Cheesecake, shortcake, blueberry, banana cream pie'\I like all kinds of cakes!\What about chocolate?\Custard cream?\I love'em both!\Um, if it turns out all right,\would you like to have some?\Of course! I'll be looking forward to it. response:	Great!
context: I like all kinds of cakes!\What about chocolate?\Custard cream?\I love'em both!\Um, if it turns out all right,\would you like to have some?\Of course! I'll be looking forward to it.\Great! response:	Why?!
context: What about chocolate?\Custard cream?\I love'em both!\Um, if it turns out all right,\would you like to have some?\Of course! I'll be looking forward to it.\Great!\Why?! response:	I'm home.
context: Custard cream?\I love'em both!\Um, if it turns out all right,\would you like to have some?\Of course! I'll be looking forward to it.\Great!\Why?!\I'm home. response:	Mei Lin, what happened?
context: I love'em both!\Um, if it turns out all right,\would you like to have some?\Of course! I'll be looking forward to it.\Great!\Why?!\I'm home.\Mei Lin, what happened? response:	Nothing at all'
context: Um, if it turns out all right,\would you like to have some?\Of course! I'll be looking forward to it.\Great!\Why?!\I'm home.\Mei Lin, what happened?\Nothing at all' response:	There's no way it's nothing at all.
context: would you like to have some?\Of course! I'll be looking forward to it.\Great!\Why?!\I'm home.\Mei Lin, what happened?\Nothing at all'\There's no way it's nothing at all. response:	Nothing at all'
context: Of course! I'll be looking forward to it.\Great!\Why?!\I'm home.\Mei Lin, what happened?\Nothing at all'\There's no way it's nothing at all.\Nothing at all' response:	Let me see.
context: Great!\Why?!\I'm home.\Mei Lin, what happened?\Nothing at all'\There's no way it's nothing at all.\Nothing at all'\Let me see. response:	I just thought I'd surprise you
context: Why?!\I'm home.\Mei Lin, what happened?\Nothing at all'\There's no way it's nothing at all.\Nothing at all'\Let me see.\I just thought I'd surprise you response:	with a cake when you got home'
context: I'm home.\Mei Lin, what happened?\Nothing at all'\There's no way it's nothing at all.\Nothing at all'\Let me see.\I just thought I'd surprise you\with a cake when you got home' response:	You surprised me.
context: Mei Lin, what happened?\Nothing at all'\There's no way it's nothing at all.\Nothing at all'\Let me see.\I just thought I'd surprise you\with a cake when you got home'\You surprised me. response:	Alright then!
context: Nothing at all'\There's no way it's nothing at all.\Nothing at all'\Let me see.\I just thought I'd surprise you\with a cake when you got home'\You surprised me.\Alright then! response:	Go back in the kitchen and do it yourself!
context: There's no way it's nothing at all.\Nothing at all'\Let me see.\I just thought I'd surprise you\with a cake when you got home'\You surprised me.\Alright then!\Go back in the kitchen and do it yourself! response:	Mei Lin, don't get mad! Clean up!
context: Nothing at all'\Let me see.\I just thought I'd surprise you\with a cake when you got home'\You surprised me.\Alright then!\Go back in the kitchen and do it yourself!\Mei Lin, don't get mad! Clean up! response:	Tomoyo, shall we switch?
context: Let me see.\I just thought I'd surprise you\with a cake when you got home'\You surprised me.\Alright then!\Go back in the kitchen and do it yourself!\Mei Lin, don't get mad! Clean up!\Tomoyo, shall we switch? response:	Yes, thank you.
context: I just thought I'd surprise you\with a cake when you got home'\You surprised me.\Alright then!\Go back in the kitchen and do it yourself!\Mei Lin, don't get mad! Clean up!\Tomoyo, shall we switch?\Yes, thank you. response:	What's wrong?
context: with a cake when you got home'\You surprised me.\Alright then!\Go back in the kitchen and do it yourself!\Mei Lin, don't get mad! Clean up!\Tomoyo, shall we switch?\Yes, thank you.\What's wrong? response:	Tired? I'll help you out.
context: You surprised me.\Alright then!\Go back in the kitchen and do it yourself!\Mei Lin, don't get mad! Clean up!\Tomoyo, shall we switch?\Yes, thank you.\What's wrong?\Tired? I'll help you out. response:	T' that's a little too much'
context: Alright then!\Go back in the kitchen and do it yourself!\Mei Lin, don't get mad! Clean up!\Tomoyo, shall we switch?\Yes, thank you.\What's wrong?\Tired? I'll help you out.\T' that's a little too much' response:	Sorry about that.
context: Go back in the kitchen and do it yourself!\Mei Lin, don't get mad! Clean up!\Tomoyo, shall we switch?\Yes, thank you.\What's wrong?\Tired? I'll help you out.\T' that's a little too much'\Sorry about that. response:	We can fix it, don't worry.
context: Mei Lin, don't get mad! Clean up!\Tomoyo, shall we switch?\Yes, thank you.\What's wrong?\Tired? I'll help you out.\T' that's a little too much'\Sorry about that.\We can fix it, don't worry. response:	Rika, it's that ok?
context: Tomoyo, shall we switch?\Yes, thank you.\What's wrong?\Tired? I'll help you out.\T' that's a little too much'\Sorry about that.\We can fix it, don't worry.\Rika, it's that ok? response:	Yes, repeat three times.
context: Yes, thank you.\What's wrong?\Tired? I'll help you out.\T' that's a little too much'\Sorry about that.\We can fix it, don't worry.\Rika, it's that ok?\Yes, repeat three times. response:	Rika, my arm is dying'
context: What's wrong?\Tired? I'll help you out.\T' that's a little too much'\Sorry about that.\We can fix it, don't worry.\Rika, it's that ok?\Yes, repeat three times.\Rika, my arm is dying' response:	I'll take over.
context: Tired? I'll help you out.\T' that's a little too much'\Sorry about that.\We can fix it, don't worry.\Rika, it's that ok?\Yes, repeat three times.\Rika, my arm is dying'\I'll take over. response:	Is everyone all right?
context: T' that's a little too much'\Sorry about that.\We can fix it, don't worry.\Rika, it's that ok?\Yes, repeat three times.\Rika, my arm is dying'\I'll take over.\Is everyone all right? response:	After lunch, we'll take them out of the ovens, okay?
context: Sorry about that.\We can fix it, don't worry.\Rika, it's that ok?\Yes, repeat three times.\Rika, my arm is dying'\I'll take over.\Is everyone all right?\After lunch, we'll take them out of the ovens, okay? response:	Alright!
context: We can fix it, don't worry.\Rika, it's that ok?\Yes, repeat three times.\Rika, my arm is dying'\I'll take over.\Is everyone all right?\After lunch, we'll take them out of the ovens, okay?\Alright! response:	But, Rika, you're actually quite good at making cakes, aren't you?
context: Rika, it's that ok?\Yes, repeat three times.\Rika, my arm is dying'\I'll take over.\Is everyone all right?\After lunch, we'll take them out of the ovens, okay?\Alright!\But, Rika, you're actually quite good at making cakes, aren't you? response:	My dad likes sweets, so I make them fairly often.
context: Yes, repeat three times.\Rika, my arm is dying'\I'll take over.\Is everyone all right?\After lunch, we'll take them out of the ovens, okay?\Alright!\But, Rika, you're actually quite good at making cakes, aren't you?\My dad likes sweets, so I make them fairly often. response:	Rika, your father is always overseas for work, isn't he?
context: Rika, my arm is dying'\I'll take over.\Is everyone all right?\After lunch, we'll take them out of the ovens, okay?\Alright!\But, Rika, you're actually quite good at making cakes, aren't you?\My dad likes sweets, so I make them fairly often.\Rika, your father is always overseas for work, isn't he? response:	Yes. My dad really likes strawberry shortcake.
context: I'll take over.\Is everyone all right?\After lunch, we'll take them out of the ovens, okay?\Alright!\But, Rika, you're actually quite good at making cakes, aren't you?\My dad likes sweets, so I make them fairly often.\Rika, your father is always overseas for work, isn't he?\Yes. My dad really likes strawberry shortcake. response:	Just like Mister Terada.
context: Is everyone all right?\After lunch, we'll take them out of the ovens, okay?\Alright!\But, Rika, you're actually quite good at making cakes, aren't you?\My dad likes sweets, so I make them fairly often.\Rika, your father is always overseas for work, isn't he?\Yes. My dad really likes strawberry shortcake.\Just like Mister Terada. response:	Yes, I've always thought
context: After lunch, we'll take them out of the ovens, okay?\Alright!\But, Rika, you're actually quite good at making cakes, aren't you?\My dad likes sweets, so I make them fairly often.\Rika, your father is always overseas for work, isn't he?\Yes. My dad really likes strawberry shortcake.\Just like Mister Terada.\Yes, I've always thought response:	Mister Terada was like my dad'
context: Alright!\But, Rika, you're actually quite good at making cakes, aren't you?\My dad likes sweets, so I make them fairly often.\Rika, your father is always overseas for work, isn't he?\Yes. My dad really likes strawberry shortcake.\Just like Mister Terada.\Yes, I've always thought\Mister Terada was like my dad' response:	Since he likes cake, after it's done,
context: But, Rika, you're actually quite good at making cakes, aren't you?\My dad likes sweets, so I make them fairly often.\Rika, your father is always overseas for work, isn't he?\Yes. My dad really likes strawberry shortcake.\Just like Mister Terada.\Yes, I've always thought\Mister Terada was like my dad'\Since he likes cake, after it's done, response:	you could take some to him.
