context: Hatori response:	You're not going to regret this later, are you?
context: I don't care.\I just want somewhere to go home to.\This is the product you've all been waiting for.\A rare item, even among our current offerings.\Starting at 500,000.\1,100,000!\1,500,000!\1,800,000! response:	2,000,000!
context: I just want somewhere to go home to.\This is the product you've all been waiting for.\A rare item, even among our current offerings.\Starting at 500,000.\1,100,000!\1,500,000!\1,800,000!\2,000,000! response:	Look there.
context: This is the product you've all been waiting for.\A rare item, even among our current offerings.\Starting at 500,000.\1,100,000!\1,500,000!\1,800,000!\2,000,000!\Look there. response:	Why is he here?
context: A rare item, even among our current offerings.\Starting at 500,000.\1,100,000!\1,500,000!\1,800,000!\2,000,000!\Look there.\Why is he here? response:	2,250,000!
context: Starting at 500,000.\1,100,000!\1,500,000!\1,800,000!\2,000,000!\Look there.\Why is he here?\2,250,000! response:	I thought he hated being around people.
context: 1,100,000!\1,500,000!\1,800,000!\2,000,000!\Look there.\Why is he here?\2,250,000!\I thought he hated being around people. response:	2,250,000!
context: 1,500,000!\1,800,000!\2,000,000!\Look there.\Why is he here?\2,250,000!\I thought he hated being around people.\2,250,000! response:	2,250,000!
context: 1,800,000!\2,000,000!\Look there.\Why is he here?\2,250,000!\I thought he hated being around people.\2,250,000!\2,250,000! response:	Anyone else?
context: 2,000,000!\Look there.\Why is he here?\2,250,000!\I thought he hated being around people.\2,250,000!\2,250,000!\Anyone else? response:	Sir...
context: Look there.\Why is he here?\2,250,000!\I thought he hated being around people.\2,250,000!\2,250,000!\Anyone else?\Sir... response:	5,000,000.
context: Why is he here?\2,250,000!\I thought he hated being around people.\2,250,000!\2,250,000!\Anyone else?\Sir...\5,000,000. response:	It's decided.
context: 2,250,000!\I thought he hated being around people.\2,250,000!\2,250,000!\Anyone else?\Sir...\5,000,000.\It's decided. response:	I will make you my apprentice.
context: I thought he hated being around people.\2,250,000!\2,250,000!\Anyone else?\Sir...\5,000,000.\It's decided.\I will make you my apprentice. response:	What's the deal with that creep?
context: 2,250,000!\2,250,000!\Anyone else?\Sir...\5,000,000.\It's decided.\I will make you my apprentice.\What's the deal with that creep? response:	Dunno.
context: 2,250,000!\Anyone else?\Sir...\5,000,000.\It's decided.\I will make you my apprentice.\What's the deal with that creep?\Dunno. response:	Prepare a reception room.
context: Anyone else?\Sir...\5,000,000.\It's decided.\I will make you my apprentice.\What's the deal with that creep?\Dunno.\Prepare a reception room. response:	Wait...
context: Sir...\5,000,000.\It's decided.\I will make you my apprentice.\What's the deal with that creep?\Dunno.\Prepare a reception room.\Wait... response:	We will be receiving five million pounds.
context: 5,000,000.\It's decided.\I will make you my apprentice.\What's the deal with that creep?\Dunno.\Prepare a reception room.\Wait...\We will be receiving five million pounds. response:	Who is he, to want to spend so much money on me?
context: It's decided.\I will make you my apprentice.\What's the deal with that creep?\Dunno.\Prepare a reception room.\Wait...\We will be receiving five million pounds.\Who is he, to want to spend so much money on me? response:	Age, fifteen.
context: I will make you my apprentice.\What's the deal with that creep?\Dunno.\Prepare a reception room.\Wait...\We will be receiving five million pounds.\Who is he, to want to spend so much money on me?\Age, fifteen. response:	Ethnicity, Japanese.
context: What's the deal with that creep?\Dunno.\Prepare a reception room.\Wait...\We will be receiving five million pounds.\Who is he, to want to spend so much money on me?\Age, fifteen.\Ethnicity, Japanese. response:	She's docile, so she should be easy to discipline.
context: Dunno.\Prepare a reception room.\Wait...\We will be receiving five million pounds.\Who is he, to want to spend so much money on me?\Age, fifteen.\Ethnicity, Japanese.\She's docile, so she should be easy to discipline. response:	I never thought I'd see you at this auction.
context: Prepare a reception room.\Wait...\We will be receiving five million pounds.\Who is he, to want to spend so much money on me?\Age, fifteen.\Ethnicity, Japanese.\She's docile, so she should be easy to discipline.\I never thought I'd see you at this auction. response:	However, we must ask you to follow the rules.
context: Wait...\We will be receiving five million pounds.\Who is he, to want to spend so much money on me?\Age, fifteen.\Ethnicity, Japanese.\She's docile, so she should be easy to discipline.\I never thought I'd see you at this auction.\However, we must ask you to follow the rules. response:	Please don't wander onto the stage
context: We will be receiving five million pounds.\Who is he, to want to spend so much money on me?\Age, fifteen.\Ethnicity, Japanese.\She's docile, so she should be easy to discipline.\I never thought I'd see you at this auction.\However, we must ask you to follow the rules.\Please don't wander onto the stage response:	I don't need your lecturing nor small talk.
context: Who is he, to want to spend so much money on me?\Age, fifteen.\Ethnicity, Japanese.\She's docile, so she should be easy to discipline.\I never thought I'd see you at this auction.\However, we must ask you to follow the rules.\Please don't wander onto the stage\I don't need your lecturing nor small talk. response:	You, come.
context: Age, fifteen.\Ethnicity, Japanese.\She's docile, so she should be easy to discipline.\I never thought I'd see you at this auction.\However, we must ask you to follow the rules.\Please don't wander onto the stage\I don't need your lecturing nor small talk.\You, come. response:	You don't need to keep your head down.
context: Ethnicity, Japanese.\She's docile, so she should be easy to discipline.\I never thought I'd see you at this auction.\However, we must ask you to follow the rules.\Please don't wander onto the stage\I don't need your lecturing nor small talk.\You, come.\You don't need to keep your head down. response:	Stand tall, and look forward.
context: She's docile, so she should be easy to discipline.\I never thought I'd see you at this auction.\However, we must ask you to follow the rules.\Please don't wander onto the stage\I don't need your lecturing nor small talk.\You, come.\You don't need to keep your head down.\Stand tall, and look forward. response:	Understood?
context: I never thought I'd see you at this auction.\However, we must ask you to follow the rules.\Please don't wander onto the stage\I don't need your lecturing nor small talk.\You, come.\You don't need to keep your head down.\Stand tall, and look forward.\Understood? response:	Yes.
context: However, we must ask you to follow the rules.\Please don't wander onto the stage\I don't need your lecturing nor small talk.\You, come.\You don't need to keep your head down.\Stand tall, and look forward.\Understood?\Yes. response:	I'll be borrowing your lobby.
context: Please don't wander onto the stage\I don't need your lecturing nor small talk.\You, come.\You don't need to keep your head down.\Stand tall, and look forward.\Understood?\Yes.\I'll be borrowing your lobby. response:	By all means.
context: I don't need your lecturing nor small talk.\You, come.\You don't need to keep your head down.\Stand tall, and look forward.\Understood?\Yes.\I'll be borrowing your lobby.\By all means. response:	What is he, a monster?
context: You, come.\You don't need to keep your head down.\Stand tall, and look forward.\Understood?\Yes.\I'll be borrowing your lobby.\By all means.\What is he, a monster? response:	He'll hear you.
context: You don't need to keep your head down.\Stand tall, and look forward.\Understood?\Yes.\I'll be borrowing your lobby.\By all means.\What is he, a monster?\He'll hear you. response:	Be quiet.
context: Stand tall, and look forward.\Understood?\Yes.\I'll be borrowing your lobby.\By all means.\What is he, a monster?\He'll hear you.\Be quiet. response:	He's neither a conman nor a sorcerer.
context: Understood?\Yes.\I'll be borrowing your lobby.\By all means.\What is he, a monster?\He'll hear you.\Be quiet.\He's neither a conman nor a sorcerer. response:	He's the real deal, a rarity in recent times.
context: Yes.\I'll be borrowing your lobby.\By all means.\What is he, a monster?\He'll hear you.\Be quiet.\He's neither a conman nor a sorcerer.\He's the real deal, a rarity in recent times. response:	I can't believe we let him have that.
context: I'll be borrowing your lobby.\By all means.\What is he, a monster?\He'll hear you.\Be quiet.\He's neither a conman nor a sorcerer.\He's the real deal, a rarity in recent times.\I can't believe we let him have that. response:	That Sleigh Beggy...
context: By all means.\What is he, a monster?\He'll hear you.\Be quiet.\He's neither a conman nor a sorcerer.\He's the real deal, a rarity in recent times.\I can't believe we let him have that.\That Sleigh Beggy... response:	Sleigh Beggy?
context: What is he, a monster?\He'll hear you.\Be quiet.\He's neither a conman nor a sorcerer.\He's the real deal, a rarity in recent times.\I can't believe we let him have that.\That Sleigh Beggy...\Sleigh Beggy? response:	So you can see them.
context: He'll hear you.\Be quiet.\He's neither a conman nor a sorcerer.\He's the real deal, a rarity in recent times.\I can't believe we let him have that.\That Sleigh Beggy...\Sleigh Beggy?\So you can see them. response:	Y-You mean me?
context: Be quiet.\He's neither a conman nor a sorcerer.\He's the real deal, a rarity in recent times.\I can't believe we let him have that.\That Sleigh Beggy...\Sleigh Beggy?\So you can see them.\Y-You mean me? response:	You're the only one here with me.
context: He's neither a conman nor a sorcerer.\He's the real deal, a rarity in recent times.\I can't believe we let him have that.\That Sleigh Beggy...\Sleigh Beggy?\So you can see them.\Y-You mean me?\You're the only one here with me. response:	What's your name?
context: He's the real deal, a rarity in recent times.\I can't believe we let him have that.\That Sleigh Beggy...\Sleigh Beggy?\So you can see them.\Y-You mean me?\You're the only one here with me.\What's your name? response:	Chise.
context: I can't believe we let him have that.\That Sleigh Beggy...\Sleigh Beggy?\So you can see them.\Y-You mean me?\You're the only one here with me.\What's your name?\Chise. response:	Hatori Chise.
context: That Sleigh Beggy...\Sleigh Beggy?\So you can see them.\Y-You mean me?\You're the only one here with me.\What's your name?\Chise.\Hatori Chise. response:	My name is Elias.
context: Sleigh Beggy?\So you can see them.\Y-You mean me?\You're the only one here with me.\What's your name?\Chise.\Hatori Chise.\My name is Elias. response:	Elias Ainsworth.
context: So you can see them.\Y-You mean me?\You're the only one here with me.\What's your name?\Chise.\Hatori Chise.\My name is Elias.\Elias Ainsworth. response:	Nice to meet you, my puppy.
context: Y-You mean me?\You're the only one here with me.\What's your name?\Chise.\Hatori Chise.\My name is Elias.\Elias Ainsworth.\Nice to meet you, my puppy. response:	It appears that you possess the sight.
context: You're the only one here with me.\What's your name?\Chise.\Hatori Chise.\My name is Elias.\Elias Ainsworth.\Nice to meet you, my puppy.\It appears that you possess the sight. response:	How fortunate.
context: What's your name?\Chise.\Hatori Chise.\My name is Elias.\Elias Ainsworth.\Nice to meet you, my puppy.\It appears that you possess the sight.\How fortunate. response:	Fortunate...?
context: Chise.\Hatori Chise.\My name is Elias.\Elias Ainsworth.\Nice to meet you, my puppy.\It appears that you possess the sight.\How fortunate.\Fortunate...? response:	She's too much of a burden to take in.
context: Hatori Chise.\My name is Elias.\Elias Ainsworth.\Nice to meet you, my puppy.\It appears that you possess the sight.\How fortunate.\Fortunate...?\She's too much of a burden to take in. response:	What would people think if we gave her to an orphanage, though?
context: My name is Elias.\Elias Ainsworth.\Nice to meet you, my puppy.\It appears that you possess the sight.\How fortunate.\Fortunate...?\She's too much of a burden to take in.\What would people think if we gave her to an orphanage, though? response:	She's being weird again.
context: Elias Ainsworth.\Nice to meet you, my puppy.\It appears that you possess the sight.\How fortunate.\Fortunate...?\She's too much of a burden to take in.\What would people think if we gave her to an orphanage, though?\She's being weird again. response:	Creepy.
context: Nice to meet you, my puppy.\It appears that you possess the sight.\How fortunate.\Fortunate...?\She's too much of a burden to take in.\What would people think if we gave her to an orphanage, though?\She's being weird again.\Creepy. response:	She scares me.
context: It appears that you possess the sight.\How fortunate.\Fortunate...?\She's too much of a burden to take in.\What would people think if we gave her to an orphanage, though?\She's being weird again.\Creepy.\She scares me. response:	What a brat.
context: How fortunate.\Fortunate...?\She's too much of a burden to take in.\What would people think if we gave her to an orphanage, though?\She's being weird again.\Creepy.\She scares me.\What a brat. response:	No...
context: Fortunate...?\She's too much of a burden to take in.\What would people think if we gave her to an orphanage, though?\She's being weird again.\Creepy.\She scares me.\What a brat.\No... response:	I've never once been fortunate!
context: She's too much of a burden to take in.\What would people think if we gave her to an orphanage, though?\She's being weird again.\Creepy.\She scares me.\What a brat.\No...\I've never once been fortunate! response:	Then let's see to it that you feel fortunate someday.
context: What would people think if we gave her to an orphanage, though?\She's being weird again.\Creepy.\She scares me.\What a brat.\No...\I've never once been fortunate!\Then let's see to it that you feel fortunate someday. response:	I can't have you being so helpless.
context: She's being weird again.\Creepy.\She scares me.\What a brat.\No...\I've never once been fortunate!\Then let's see to it that you feel fortunate someday.\I can't have you being so helpless. response:	Dolls are fine, but I paid good money for you.
context: Creepy.\She scares me.\What a brat.\No...\I've never once been fortunate!\Then let's see to it that you feel fortunate someday.\I can't have you being so helpless.\Dolls are fine, but I paid good money for you. response:	You need to make yourself worth looking at.
context: She scares me.\What a brat.\No...\I've never once been fortunate!\Then let's see to it that you feel fortunate someday.\I can't have you being so helpless.\Dolls are fine, but I paid good money for you.\You need to make yourself worth looking at. response:	Um...
context: What a brat.\No...\I've never once been fortunate!\Then let's see to it that you feel fortunate someday.\I can't have you being so helpless.\Dolls are fine, but I paid good money for you.\You need to make yourself worth looking at.\Um... response:	Now, close your eyes and stand close to me.
context: No...\I've never once been fortunate!\Then let's see to it that you feel fortunate someday.\I can't have you being so helpless.\Dolls are fine, but I paid good money for you.\You need to make yourself worth looking at.\Um...\Now, close your eyes and stand close to me. response:	This may make you dizzy.
context: I've never once been fortunate!\Then let's see to it that you feel fortunate someday.\I can't have you being so helpless.\Dolls are fine, but I paid good money for you.\You need to make yourself worth looking at.\Um...\Now, close your eyes and stand close to me.\This may make you dizzy. response:	Nettles in the shadow...
context: Then let's see to it that you feel fortunate someday.\I can't have you being so helpless.\Dolls are fine, but I paid good money for you.\You need to make yourself worth looking at.\Um...\Now, close your eyes and stand close to me.\This may make you dizzy.\Nettles in the shadow... response:	Ring of holly...
context: I can't have you being so helpless.\Dolls are fine, but I paid good money for you.\You need to make yourself worth looking at.\Um...\Now, close your eyes and stand close to me.\This may make you dizzy.\Nettles in the shadow...\Ring of holly... response:	Thoroughly entangle the branches as a spider's web.
context: Dolls are fine, but I paid good money for you.\You need to make yourself worth looking at.\Um...\Now, close your eyes and stand close to me.\This may make you dizzy.\Nettles in the shadow...\Ring of holly...\Thoroughly entangle the branches as a spider's web. response:	Thorns?
context: You need to make yourself worth looking at.\Um...\Now, close your eyes and stand close to me.\This may make you dizzy.\Nettles in the shadow...\Ring of holly...\Thoroughly entangle the branches as a spider's web.\Thorns? response:	You can open your eyes now.
context: Um...\Now, close your eyes and stand close to me.\This may make you dizzy.\Nettles in the shadow...\Ring of holly...\Thoroughly entangle the branches as a spider's web.\Thorns?\You can open your eyes now. response:	As expected,
context: Now, close your eyes and stand close to me.\This may make you dizzy.\Nettles in the shadow...\Ring of holly...\Thoroughly entangle the branches as a spider's web.\Thorns?\You can open your eyes now.\As expected, response:	we made it in one leap.
context: This may make you dizzy.\Nettles in the shadow...\Ring of holly...\Thoroughly entangle the branches as a spider's web.\Thorns?\You can open your eyes now.\As expected,\we made it in one leap. response:	This is my home.
context: Nettles in the shadow...\Ring of holly...\Thoroughly entangle the branches as a spider's web.\Thorns?\You can open your eyes now.\As expected,\we made it in one leap.\This is my home. response:	It's also your home, as of today.
context: Ring of holly...\Thoroughly entangle the branches as a spider's web.\Thorns?\You can open your eyes now.\As expected,\we made it in one leap.\This is my home.\It's also your home, as of today. response:	W-Wait a minute.
context: Thoroughly entangle the branches as a spider's web.\Thorns?\You can open your eyes now.\As expected,\we made it in one leap.\This is my home.\It's also your home, as of today.\W-Wait a minute. response:	Where are we?
context: Thorns?\You can open your eyes now.\As expected,\we made it in one leap.\This is my home.\It's also your home, as of today.\W-Wait a minute.\Where are we? response:	How did we get here from inside the building?
context: You can open your eyes now.\As expected,\we made it in one leap.\This is my home.\It's also your home, as of today.\W-Wait a minute.\Where are we?\How did we get here from inside the building? response:	This is west of London.
context: As expected,\we made it in one leap.\This is my home.\It's also your home, as of today.\W-Wait a minute.\Where are we?\How did we get here from inside the building?\This is west of London. response:	A rural area on the outskirts of England.
context: we made it in one leap.\This is my home.\It's also your home, as of today.\W-Wait a minute.\Where are we?\How did we get here from inside the building?\This is west of London.\A rural area on the outskirts of England. response:	E-E-England?
context: This is my home.\It's also your home, as of today.\W-Wait a minute.\Where are we?\How did we get here from inside the building?\This is west of London.\A rural area on the outskirts of England.\E-E-England? response:	And what am I an apprentice of?
context: It's also your home, as of today.\W-Wait a minute.\Where are we?\How did we get here from inside the building?\This is west of London.\A rural area on the outskirts of England.\E-E-England?\And what am I an apprentice of? response:	Oh, here.
context: W-Wait a minute.\Where are we?\How did we get here from inside the building?\This is west of London.\A rural area on the outskirts of England.\E-E-England?\And what am I an apprentice of?\Oh, here. response:	You won't need that anymore.
context: Where are we?\How did we get here from inside the building?\This is west of London.\A rural area on the outskirts of England.\E-E-England?\And what am I an apprentice of?\Oh, here.\You won't need that anymore. response:	You've become a mage's apprentice.
context: How did we get here from inside the building?\This is west of London.\A rural area on the outskirts of England.\E-E-England?\And what am I an apprentice of?\Oh, here.\You won't need that anymore.\You've become a mage's apprentice. response:	A mage?
context: This is west of London.\A rural area on the outskirts of England.\E-E-England?\And what am I an apprentice of?\Oh, here.\You won't need that anymore.\You've become a mage's apprentice.\A mage? response:	We're an endangered, old-fashioned kind, mind you.
context: A rural area on the outskirts of England.\E-E-England?\And what am I an apprentice of?\Oh, here.\You won't need that anymore.\You've become a mage's apprentice.\A mage?\We're an endangered, old-fashioned kind, mind you. response:	Or rather... Chise.
context: E-E-England?\And what am I an apprentice of?\Oh, here.\You won't need that anymore.\You've become a mage's apprentice.\A mage?\We're an endangered, old-fashioned kind, mind you.\Or rather... Chise. response:	No, no, no way...
context: And what am I an apprentice of?\Oh, here.\You won't need that anymore.\You've become a mage's apprentice.\A mage?\We're an endangered, old-fashioned kind, mind you.\Or rather... Chise.\No, no, no way... response:	I can do it myself.
context: Oh, here.\You won't need that anymore.\You've become a mage's apprentice.\A mage?\We're an endangered, old-fashioned kind, mind you.\Or rather... Chise.\No, no, no way...\I can do it myself. response:	I know how to take a bath.
context: You won't need that anymore.\You've become a mage's apprentice.\A mage?\We're an endangered, old-fashioned kind, mind you.\Or rather... Chise.\No, no, no way...\I can do it myself.\I know how to take a bath. response:	You don't know how to use it, do you?
context: You've become a mage's apprentice.\A mage?\We're an endangered, old-fashioned kind, mind you.\Or rather... Chise.\No, no, no way...\I can do it myself.\I know how to take a bath.\You don't know how to use it, do you? response:	Besides, you're filthy, so I'll wash you.
context: A mage?\We're an endangered, old-fashioned kind, mind you.\Or rather... Chise.\No, no, no way...\I can do it myself.\I know how to take a bath.\You don't know how to use it, do you?\Besides, you're filthy, so I'll wash you. response:	Come now.
context: We're an endangered, old-fashioned kind, mind you.\Or rather... Chise.\No, no, no way...\I can do it myself.\I know how to take a bath.\You don't know how to use it, do you?\Besides, you're filthy, so I'll wash you.\Come now. response:	You're not a kitten. Stop fussing.
context: Or rather... Chise.\No, no, no way...\I can do it myself.\I know how to take a bath.\You don't know how to use it, do you?\Besides, you're filthy, so I'll wash you.\Come now.\You're not a kitten. Stop fussing. response:	You need to soak to your shoulders, or you'll never be warm.
context: No, no, no way...\I can do it myself.\I know how to take a bath.\You don't know how to use it, do you?\Besides, you're filthy, so I'll wash you.\Come now.\You're not a kitten. Stop fussing.\You need to soak to your shoulders, or you'll never be warm. response:	He saw everything.
context: I can do it myself.\I know how to take a bath.\You don't know how to use it, do you?\Besides, you're filthy, so I'll wash you.\Come now.\You're not a kitten. Stop fussing.\You need to soak to your shoulders, or you'll never be warm.\He saw everything. response:	Come out when you're warm.
context: I know how to take a bath.\You don't know how to use it, do you?\Besides, you're filthy, so I'll wash you.\Come now.\You're not a kitten. Stop fussing.\You need to soak to your shoulders, or you'll never be warm.\He saw everything.\Come out when you're warm. response:	I didn't think I'd ever get a proper bath again.
context: You don't know how to use it, do you?\Besides, you're filthy, so I'll wash you.\Come now.\You're not a kitten. Stop fussing.\You need to soak to your shoulders, or you'll never be warm.\He saw everything.\Come out when you're warm.\I didn't think I'd ever get a proper bath again. response:	If you ever feel like giving up on life,
context: Besides, you're filthy, so I'll wash you.\Come now.\You're not a kitten. Stop fussing.\You need to soak to your shoulders, or you'll never be warm.\He saw everything.\Come out when you're warm.\I didn't think I'd ever get a proper bath again.\If you ever feel like giving up on life, response:	why don't you try giving yourself to someone who wants you?
context: Come now.\You're not a kitten. Stop fussing.\You need to soak to your shoulders, or you'll never be warm.\He saw everything.\Come out when you're warm.\I didn't think I'd ever get a proper bath again.\If you ever feel like giving up on life,\why don't you try giving yourself to someone who wants you? response:	Well, well, I thought I smelled something delicious.
context: You're not a kitten. Stop fussing.\You need to soak to your shoulders, or you'll never be warm.\He saw everything.\Come out when you're warm.\I didn't think I'd ever get a proper bath again.\If you ever feel like giving up on life,\why don't you try giving yourself to someone who wants you?\Well, well, I thought I smelled something delicious. response:	It's an adorable human girl.
context: You need to soak to your shoulders, or you'll never be warm.\He saw everything.\Come out when you're warm.\I didn't think I'd ever get a proper bath again.\If you ever feel like giving up on life,\why don't you try giving yourself to someone who wants you?\Well, well, I thought I smelled something delicious.\It's an adorable human girl. response:	Fairies?
context: He saw everything.\Come out when you're warm.\I didn't think I'd ever get a proper bath again.\If you ever feel like giving up on life,\why don't you try giving yourself to someone who wants you?\Well, well, I thought I smelled something delicious.\It's an adorable human girl.\Fairies? response:	I suppose we'd be fairies, in human terms.
context: Come out when you're warm.\I didn't think I'd ever get a proper bath again.\If you ever feel like giving up on life,\why don't you try giving yourself to someone who wants you?\Well, well, I thought I smelled something delicious.\It's an adorable human girl.\Fairies?\I suppose we'd be fairies, in human terms. response:	You better not use such unrefined words for us, though.
context: I didn't think I'd ever get a proper bath again.\If you ever feel like giving up on life,\why don't you try giving yourself to someone who wants you?\Well, well, I thought I smelled something delicious.\It's an adorable human girl.\Fairies?\I suppose we'd be fairies, in human terms.\You better not use such unrefined words for us, though. response:	That's right!
context: If you ever feel like giving up on life,\why don't you try giving yourself to someone who wants you?\Well, well, I thought I smelled something delicious.\It's an adorable human girl.\Fairies?\I suppose we'd be fairies, in human terms.\You better not use such unrefined words for us, though.\That's right! response:	Call us your neighbors.
context: why don't you try giving yourself to someone who wants you?\Well, well, I thought I smelled something delicious.\It's an adorable human girl.\Fairies?\I suppose we'd be fairies, in human terms.\You better not use such unrefined words for us, though.\That's right!\Call us your neighbors. response:	Or your good friends.
context: Well, well, I thought I smelled something delicious.\It's an adorable human girl.\Fairies?\I suppose we'd be fairies, in human terms.\You better not use such unrefined words for us, though.\That's right!\Call us your neighbors.\Or your good friends. response:	Hey, you're a Sleigh Beggy, aren't you?
context: It's an adorable human girl.\Fairies?\I suppose we'd be fairies, in human terms.\You better not use such unrefined words for us, though.\That's right!\Call us your neighbors.\Or your good friends.\Hey, you're a Sleigh Beggy, aren't you? response:	The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice.
context: Fairies?\I suppose we'd be fairies, in human terms.\You better not use such unrefined words for us, though.\That's right!\Call us your neighbors.\Or your good friends.\Hey, you're a Sleigh Beggy, aren't you?\The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice. response:	Honey wine, more valuable than gold coins of ancient times,
context: I suppose we'd be fairies, in human terms.\You better not use such unrefined words for us, though.\That's right!\Call us your neighbors.\Or your good friends.\Hey, you're a Sleigh Beggy, aren't you?\The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice.\Honey wine, more valuable than gold coins of ancient times, response:	more precious than any flower of the land of fairies.
context: You better not use such unrefined words for us, though.\That's right!\Call us your neighbors.\Or your good friends.\Hey, you're a Sleigh Beggy, aren't you?\The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice.\Honey wine, more valuable than gold coins of ancient times,\more precious than any flower of the land of fairies. response:	Adorable.
context: That's right!\Call us your neighbors.\Or your good friends.\Hey, you're a Sleigh Beggy, aren't you?\The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice.\Honey wine, more valuable than gold coins of ancient times,\more precious than any flower of the land of fairies.\Adorable. response:	Adorable.
context: Call us your neighbors.\Or your good friends.\Hey, you're a Sleigh Beggy, aren't you?\The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice.\Honey wine, more valuable than gold coins of ancient times,\more precious than any flower of the land of fairies.\Adorable.\Adorable. response:	Our robin.
context: Or your good friends.\Hey, you're a Sleigh Beggy, aren't you?\The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice.\Honey wine, more valuable than gold coins of ancient times,\more precious than any flower of the land of fairies.\Adorable.\Adorable.\Our robin. response:	If you're going to become a mage, we'll give you all the help you need, my beloved.
context: Hey, you're a Sleigh Beggy, aren't you?\The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice.\Honey wine, more valuable than gold coins of ancient times,\more precious than any flower of the land of fairies.\Adorable.\Adorable.\Our robin.\If you're going to become a mage, we'll give you all the help you need, my beloved. response:	Beloved?
context: The Thorn Mage is so silly, taking in a Sleigh Beggy as his apprentice.\Honey wine, more valuable than gold coins of ancient times,\more precious than any flower of the land of fairies.\Adorable.\Adorable.\Our robin.\If you're going to become a mage, we'll give you all the help you need, my beloved.\Beloved? response:	Chise.
context: Honey wine, more valuable than gold coins of ancient times,\more precious than any flower of the land of fairies.\Adorable.\Adorable.\Our robin.\If you're going to become a mage, we'll give you all the help you need, my beloved.\Beloved?\Chise. response:	Are you all right?
context: more precious than any flower of the land of fairies.\Adorable.\Adorable.\Our robin.\If you're going to become a mage, we'll give you all the help you need, my beloved.\Beloved?\Chise.\Are you all right? response:	You're not overheated?
