context: This is Omi Jingu... response:	The mecca of karuta!
context: We should dress properly for our first national tournament!\But seriously...\I believe that the hall has air conditioning.\Kanade!\I'll take care of Mashima-kun!\Mom... What about Chihaya-chan?\I finished hers.\She looks like a beautiful girl because she isn't moving or talking. response:	Chihaya.
context: But seriously...\I believe that the hall has air conditioning.\Kanade!\I'll take care of Mashima-kun!\Mom... What about Chihaya-chan?\I finished hers.\She looks like a beautiful girl because she isn't moving or talking.\Chihaya. response:	Are you okay?
context: I believe that the hall has air conditioning.\Kanade!\I'll take care of Mashima-kun!\Mom... What about Chihaya-chan?\I finished hers.\She looks like a beautiful girl because she isn't moving or talking.\Chihaya.\Are you okay? response:	You nervous?
context: Kanade!\I'll take care of Mashima-kun!\Mom... What about Chihaya-chan?\I finished hers.\She looks like a beautiful girl because she isn't moving or talking.\Chihaya.\Are you okay?\You nervous? response:	Hmm? Nope.
context: I'll take care of Mashima-kun!\Mom... What about Chihaya-chan?\I finished hers.\She looks like a beautiful girl because she isn't moving or talking.\Chihaya.\Are you okay?\You nervous?\Hmm? Nope. response:	I'm just fine.
context: Mom... What about Chihaya-chan?\I finished hers.\She looks like a beautiful girl because she isn't moving or talking.\Chihaya.\Are you okay?\You nervous?\Hmm? Nope.\I'm just fine. response:	Really?
context: I finished hers.\She looks like a beautiful girl because she isn't moving or talking.\Chihaya.\Are you okay?\You nervous?\Hmm? Nope.\I'm just fine.\Really? response:	We're in Group E?
context: She looks like a beautiful girl because she isn't moving or talking.\Chihaya.\Are you okay?\You nervous?\Hmm? Nope.\I'm just fine.\Really?\We're in Group E? response:	Awesome!
context: Chihaya.\Are you okay?\You nervous?\Hmm? Nope.\I'm just fine.\Really?\We're in Group E?\Awesome! response:	None of the super schools are in our group!
context: Are you okay?\You nervous?\Hmm? Nope.\I'm just fine.\Really?\We're in Group E?\Awesome!\None of the super schools are in our group! response:	Really?!
context: You nervous?\Hmm? Nope.\I'm just fine.\Really?\We're in Group E?\Awesome!\None of the super schools are in our group!\Really?! response:	According to Retro-kun's notes,
context: Hmm? Nope.\I'm just fine.\Really?\We're in Group E?\Awesome!\None of the super schools are in our group!\Really?!\According to Retro-kun's notes, response:	we need to watch out for Fujisaki,
context: I'm just fine.\Really?\We're in Group E?\Awesome!\None of the super schools are in our group!\Really?!\According to Retro-kun's notes,\we need to watch out for Fujisaki, response:	Where are they?
context: Really?\We're in Group E?\Awesome!\None of the super schools are in our group!\Really?!\According to Retro-kun's notes,\we need to watch out for Fujisaki,\Where are they? response:	from Shizuoka, and the local Zentokuji.
context: We're in Group E?\Awesome!\None of the super schools are in our group!\Really?!\According to Retro-kun's notes,\we need to watch out for Fujisaki,\Where are they?\from Shizuoka, and the local Zentokuji. response:	Who are they?
context: Awesome!\None of the super schools are in our group!\Really?!\According to Retro-kun's notes,\we need to watch out for Fujisaki,\Where are they?\from Shizuoka, and the local Zentokuji.\Who are they? response:	And there's also Kunimi High School from Fukui.
context: None of the super schools are in our group!\Really?!\According to Retro-kun's notes,\we need to watch out for Fujisaki,\Where are they?\from Shizuoka, and the local Zentokuji.\Who are they?\And there's also Kunimi High School from Fukui. response:	They beat Hokuo in the group stage last year.
context: Really?!\According to Retro-kun's notes,\we need to watch out for Fujisaki,\Where are they?\from Shizuoka, and the local Zentokuji.\Who are they?\And there's also Kunimi High School from Fukui.\They beat Hokuo in the group stage last year. response:	Wataya Arata isn't registered for the individual tournament tomorrow.
context: According to Retro-kun's notes,\we need to watch out for Fujisaki,\Where are they?\from Shizuoka, and the local Zentokuji.\Who are they?\And there's also Kunimi High School from Fukui.\They beat Hokuo in the group stage last year.\Wataya Arata isn't registered for the individual tournament tomorrow. response:	Is that the team who won the Tokyo regional?
context: we need to watch out for Fujisaki,\Where are they?\from Shizuoka, and the local Zentokuji.\Who are they?\And there's also Kunimi High School from Fukui.\They beat Hokuo in the group stage last year.\Wataya Arata isn't registered for the individual tournament tomorrow.\Is that the team who won the Tokyo regional? response:	Yeah, they defeated Hokuo.
context: Where are they?\from Shizuoka, and the local Zentokuji.\Who are they?\And there's also Kunimi High School from Fukui.\They beat Hokuo in the group stage last year.\Wataya Arata isn't registered for the individual tournament tomorrow.\Is that the team who won the Tokyo regional?\Yeah, they defeated Hokuo. response:	Which one beat Sudo?
context: from Shizuoka, and the local Zentokuji.\Who are they?\And there's also Kunimi High School from Fukui.\They beat Hokuo in the group stage last year.\Wataya Arata isn't registered for the individual tournament tomorrow.\Is that the team who won the Tokyo regional?\Yeah, they defeated Hokuo.\Which one beat Sudo? response:	No way! Sudo-kun lost?
context: Who are they?\And there's also Kunimi High School from Fukui.\They beat Hokuo in the group stage last year.\Wataya Arata isn't registered for the individual tournament tomorrow.\Is that the team who won the Tokyo regional?\Yeah, they defeated Hokuo.\Which one beat Sudo?\No way! Sudo-kun lost? response:	Did they really start this club three months ago?
context: And there's also Kunimi High School from Fukui.\They beat Hokuo in the group stage last year.\Wataya Arata isn't registered for the individual tournament tomorrow.\Is that the team who won the Tokyo regional?\Yeah, they defeated Hokuo.\Which one beat Sudo?\No way! Sudo-kun lost?\Did they really start this club three months ago? response:	They must be damn strong.
context: They beat Hokuo in the group stage last year.\Wataya Arata isn't registered for the individual tournament tomorrow.\Is that the team who won the Tokyo regional?\Yeah, they defeated Hokuo.\Which one beat Sudo?\No way! Sudo-kun lost?\Did they really start this club three months ago?\They must be damn strong. response:	Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ...
context: Wataya Arata isn't registered for the individual tournament tomorrow.\Is that the team who won the Tokyo regional?\Yeah, they defeated Hokuo.\Which one beat Sudo?\No way! Sudo-kun lost?\Did they really start this club three months ago?\They must be damn strong.\Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ... response:	We'll be facing Takechi High School, from Saga.
context: Is that the team who won the Tokyo regional?\Yeah, they defeated Hokuo.\Which one beat Sudo?\No way! Sudo-kun lost?\Did they really start this club three months ago?\They must be damn strong.\Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ...\We'll be facing Takechi High School, from Saga. response:	A-Are they strong? Are they a strong team?
context: Yeah, they defeated Hokuo.\Which one beat Sudo?\No way! Sudo-kun lost?\Did they really start this club three months ago?\They must be damn strong.\Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ...\We'll be facing Takechi High School, from Saga.\A-Are they strong? Are they a strong team? response:	Uh...
context: Which one beat Sudo?\No way! Sudo-kun lost?\Did they really start this club three months ago?\They must be damn strong.\Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ...\We'll be facing Takechi High School, from Saga.\A-Are they strong? Are they a strong team?\Uh... response:	They have two Class B players, and the rest are unranked.
context: No way! Sudo-kun lost?\Did they really start this club three months ago?\They must be damn strong.\Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ...\We'll be facing Takechi High School, from Saga.\A-Are they strong? Are they a strong team?\Uh...\They have two Class B players, and the rest are unranked. response:	What order should we use?
context: Did they really start this club three months ago?\They must be damn strong.\Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ...\We'll be facing Takechi High School, from Saga.\A-Are they strong? Are they a strong team?\Uh...\They have two Class B players, and the rest are unranked.\What order should we use? response:	Should we use the same one we used against Hokuo?
context: They must be damn strong.\Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ...\We'll be facing Takechi High School, from Saga.\A-Are they strong? Are they a strong team?\Uh...\They have two Class B players, and the rest are unranked.\What order should we use?\Should we use the same one we used against Hokuo? response:	Yeah, that would be best.
context: Saga Regional - Takechi High School: The karuta club is eight years old. Last year was their first appearance at nationals. They made it out of the group stage, but lost in the first round. They have no other achievements of note. Be careful of the two Class B players, Inoue Ryuhei and Tanaka Ayako. They have no other players of note. Main Lineup: Third-year - Inoue Ryuhei: Class B Important Second-year - Tanaka Ayako: Class B Important Third-year - Gokura Miyuki: Class D Second-year - Yamashiro Kazue First-year - ...\We'll be facing Takechi High School, from Saga.\A-Are they strong? Are they a strong team?\Uh...\They have two Class B players, and the rest are unranked.\What order should we use?\Should we use the same one we used against Hokuo?\Yeah, that would be best. response:	Wait!
context: We'll be facing Takechi High School, from Saga.\A-Are they strong? Are they a strong team?\Uh...\They have two Class B players, and the rest are unranked.\What order should we use?\Should we use the same one we used against Hokuo?\Yeah, that would be best.\Wait! response:	I can be a sacrificial pawn!
context: A-Are they strong? Are they a strong team?\Uh...\They have two Class B players, and the rest are unranked.\What order should we use?\Should we use the same one we used against Hokuo?\Yeah, that would be best.\Wait!\I can be a sacrificial pawn! response:	Match me against their strongest player!
context: Uh...\They have two Class B players, and the rest are unranked.\What order should we use?\Should we use the same one we used against Hokuo?\Yeah, that would be best.\Wait!\I can be a sacrificial pawn!\Match me against their strongest player! response:	Huh?
context: They have two Class B players, and the rest are unranked.\What order should we use?\Should we use the same one we used against Hokuo?\Yeah, that would be best.\Wait!\I can be a sacrificial pawn!\Match me against their strongest player!\Huh? response:	What are you talking about?! That's...
context: What order should we use?\Should we use the same one we used against Hokuo?\Yeah, that would be best.\Wait!\I can be a sacrificial pawn!\Match me against their strongest player!\Huh?\What are you talking about?! That's... response:	It's okay!
context: Should we use the same one we used against Hokuo?\Yeah, that would be best.\Wait!\I can be a sacrificial pawn!\Match me against their strongest player!\Huh?\What are you talking about?! That's...\It's okay! response:	It doesn't matter if I lose as long as the four of you win!
context: Yeah, that would be best.\Wait!\I can be a sacrificial pawn!\Match me against their strongest player!\Huh?\What are you talking about?! That's...\It's okay!\It doesn't matter if I lose as long as the four of you win! response:	I'll do whatever it takes to increase our chances of winning!
context: Wait!\I can be a sacrificial pawn!\Match me against their strongest player!\Huh?\What are you talking about?! That's...\It's okay!\It doesn't matter if I lose as long as the four of you win!\I'll do whatever it takes to increase our chances of winning! response:	We're going to win!
context: I can be a sacrificial pawn!\Match me against their strongest player!\Huh?\What are you talking about?! That's...\It's okay!\It doesn't matter if I lose as long as the four of you win!\I'll do whatever it takes to increase our chances of winning!\We're going to win! response:	We're representing Tokyo here!
context: Match me against their strongest player!\Huh?\What are you talking about?! That's...\It's okay!\It doesn't matter if I lose as long as the four of you win!\I'll do whatever it takes to increase our chances of winning!\We're going to win!\We're representing Tokyo here! response:	Desktomu-kun...
context: Huh?\What are you talking about?! That's...\It's okay!\It doesn't matter if I lose as long as the four of you win!\I'll do whatever it takes to increase our chances of winning!\We're going to win!\We're representing Tokyo here!\Desktomu-kun... response:	Got it.
context: What are you talking about?! That's...\It's okay!\It doesn't matter if I lose as long as the four of you win!\I'll do whatever it takes to increase our chances of winning!\We're going to win!\We're representing Tokyo here!\Desktomu-kun...\Got it. response:	Most teams place their top players in the middle or on the ends.
context: It's okay!\It doesn't matter if I lose as long as the four of you win!\I'll do whatever it takes to increase our chances of winning!\We're going to win!\We're representing Tokyo here!\Desktomu-kun...\Got it.\Most teams place their top players in the middle or on the ends. response:	Okay, then we'll put Komano first, Oe-san second...
context: It doesn't matter if I lose as long as the four of you win!\I'll do whatever it takes to increase our chances of winning!\We're going to win!\We're representing Tokyo here!\Desktomu-kun...\Got it.\Most teams place their top players in the middle or on the ends.\Okay, then we'll put Komano first, Oe-san second... response:	I couldn't have made it here without everyone else.
context: I'll do whatever it takes to increase our chances of winning!\We're going to win!\We're representing Tokyo here!\Desktomu-kun...\Got it.\Most teams place their top players in the middle or on the ends.\Okay, then we'll put Komano first, Oe-san second...\I couldn't have made it here without everyone else. response:	Yes!
context: We're going to win!\We're representing Tokyo here!\Desktomu-kun...\Got it.\Most teams place their top players in the middle or on the ends.\Okay, then we'll put Komano first, Oe-san second...\I couldn't have made it here without everyone else.\Yes! response:	Mi!
context: We're representing Tokyo here!\Desktomu-kun...\Got it.\Most teams place their top players in the middle or on the ends.\Okay, then we'll put Komano first, Oe-san second...\I couldn't have made it here without everyone else.\Yes!\Mi! response:	Zu!
context: Desktomu-kun...\Got it.\Most teams place their top players in the middle or on the ends.\Okay, then we'll put Komano first, Oe-san second...\I couldn't have made it here without everyone else.\Yes!\Mi!\Zu! response:	Fight!
context: Got it.\Most teams place their top players in the middle or on the ends.\Okay, then we'll put Komano first, Oe-san second...\I couldn't have made it here without everyone else.\Yes!\Mi!\Zu!\Fight! response:	We're going to win together!
context: Most teams place their top players in the middle or on the ends.\Okay, then we'll put Komano first, Oe-san second...\I couldn't have made it here without everyone else.\Yes!\Mi!\Zu!\Fight!\We're going to win together! response:	We guessed wrong...
context: Okay, then we'll put Komano first, Oe-san second...\I couldn't have made it here without everyone else.\Yes!\Mi!\Zu!\Fight!\We're going to win together!\We guessed wrong... response:	Now, please place your cards on the field!
context: I couldn't have made it here without everyone else.\Yes!\Mi!\Zu!\Fight!\We're going to win together!\We guessed wrong...\Now, please place your cards on the field! response:	have been soaked red with tears of blood
context: Yes!\Mi!\Zu!\Fight!\We're going to win together!\We guessed wrong...\Now, please place your cards on the field!\have been soaked red with tears of blood response:	Huh?
context: Mi!\Zu!\Fight!\We're going to win together!\We guessed wrong...\Now, please place your cards on the field!\have been soaked red with tears of blood\Huh? response:	have been soaked red with tears of blood
context: Zu!\Fight!\We're going to win together!\We guessed wrong...\Now, please place your cards on the field!\have been soaked red with tears of blood\Huh?\have been soaked red with tears of blood response:	have been soaked red with tears of blood
context: Fight!\We're going to win together!\We guessed wrong...\Now, please place your cards on the field!\have been soaked red with tears of blood\Huh?\have been soaked red with tears of blood\have been soaked red with tears of blood response:	High School National Ogura Hundred Poets Karuta Championship
context: We're going to win together!\We guessed wrong...\Now, please place your cards on the field!\have been soaked red with tears of blood\Huh?\have been soaked red with tears of blood\have been soaked red with tears of blood\High School National Ogura Hundred Poets Karuta Championship response:	Time is up!
context: We guessed wrong...\Now, please place your cards on the field!\have been soaked red with tears of blood\Huh?\have been soaked red with tears of blood\have been soaked red with tears of blood\High School National Ogura Hundred Poets Karuta Championship\Time is up! response:	Good luck.
context: Now, please place your cards on the field!\have been soaked red with tears of blood\Huh?\have been soaked red with tears of blood\have been soaked red with tears of blood\High School National Ogura Hundred Poets Karuta Championship\Time is up!\Good luck. response:	Good luck.
context: have been soaked red with tears of blood\Huh?\have been soaked red with tears of blood\have been soaked red with tears of blood\High School National Ogura Hundred Poets Karuta Championship\Time is up!\Good luck.\Good luck. response:	Naniwa Bay, now the flower blooms, but for winter
context: Huh?\have been soaked red with tears of blood\have been soaked red with tears of blood\High School National Ogura Hundred Poets Karuta Championship\Time is up!\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter response:	Here comes spring, now the flower blooms
context: have been soaked red with tears of blood\have been soaked red with tears of blood\High School National Ogura Hundred Poets Karuta Championship\Time is up!\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms response:	There are so many cute boys!
context: have been soaked red with tears of blood\High School National Ogura Hundred Poets Karuta Championship\Time is up!\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\There are so many cute boys! response:	I need to take notes!
context: High School National Ogura Hundred Poets Karuta Championship\Time is up!\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\There are so many cute boys!\I need to take notes! response:	I wonder how strong they are.
context: Time is up!\Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\There are so many cute boys!\I need to take notes!\I wonder how strong they are. response:	Here comes spring, now the flower blooms
context: Good luck.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\There are so many cute boys!\I need to take notes!\I wonder how strong they are.\Here comes spring, now the flower blooms response:	Oh, dear. I'm starting to get nervous.
context: Good luck.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\There are so many cute boys!\I need to take notes!\I wonder how strong they are.\Here comes spring, now the flower blooms\Oh, dear. I'm starting to get nervous. response:	The night breaks to day...
context: Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\There are so many cute boys!\I need to take notes!\I wonder how strong they are.\Here comes spring, now the flower blooms\Oh, dear. I'm starting to get nervous.\The night breaks to day... response:	Damn!
context: Here comes spring, now the flower blooms\There are so many cute boys!\I need to take notes!\I wonder how strong they are.\Here comes spring, now the flower blooms\Oh, dear. I'm starting to get nervous.\The night breaks to day...\Damn! response:	Everyone's so stiff.
context: There are so many cute boys!\I need to take notes!\I wonder how strong they are.\Here comes spring, now the flower blooms\Oh, dear. I'm starting to get nervous.\The night breaks to day...\Damn!\Everyone's so stiff. response:	No more can we hear...
context: I need to take notes!\I wonder how strong they are.\Here comes spring, now the flower blooms\Oh, dear. I'm starting to get nervous.\The night breaks to day...\Damn!\Everyone's so stiff.\No more can we hear... response:	Shoot!
context: I wonder how strong they are.\Here comes spring, now the flower blooms\Oh, dear. I'm starting to get nervous.\The night breaks to day...\Damn!\Everyone's so stiff.\No more can we hear...\Shoot! response:	I need to help them relax!
context: Here comes spring, now the flower blooms\Oh, dear. I'm starting to get nervous.\The night breaks to day...\Damn!\Everyone's so stiff.\No more can we hear...\Shoot!\I need to help them relax! response:	Everyone!
context: Oh, dear. I'm starting to get nervous.\The night breaks to day...\Damn!\Everyone's so stiff.\No more can we hear...\Shoot!\I need to help them relax!\Everyone! response:	One card at a time!
context: The night breaks to day...\Damn!\Everyone's so stiff.\No more can we hear...\Shoot!\I need to help them relax!\Everyone!\One card at a time! response:	Yeah!
context: Damn!\Everyone's so stiff.\No more can we hear...\Shoot!\I need to help them relax!\Everyone!\One card at a time!\Yeah! response:	Chihaya?
context: Everyone's so stiff.\No more can we hear...\Shoot!\I need to help them relax!\Everyone!\One card at a time!\Yeah!\Chihaya? response:	It's hot.
