context: Would you go with him, response:	and see what's happening in the conductor's compartment for me?
context: If Gustavo and the Gandors get into an argument over Dallas,\a piece or two of detailed information should turn up.\Tell me what it is, and don't leak anything.\Understood.\H-Help me! This is the freight hold! This is the freight hold!\This is Spike. What's going on?\They're gone! They've both disappeared!\Send backup! Send backup immediately! response:	Calm down! What happened? What happened?!
context: a piece or two of detailed information should turn up.\Tell me what it is, and don't leak anything.\Understood.\H-Help me! This is the freight hold! This is the freight hold!\This is Spike. What's going on?\They're gone! They've both disappeared!\Send backup! Send backup immediately!\Calm down! What happened? What happened?! response:	Stop! Stay back!
context: Tell me what it is, and don't leak anything.\Understood.\H-Help me! This is the freight hold! This is the freight hold!\This is Spike. What's going on?\They're gone! They've both disappeared!\Send backup! Send backup immediately!\Calm down! What happened? What happened?!\Stop! Stay back! response:	Stop! Stop! Stop!!
context: Understood.\H-Help me! This is the freight hold! This is the freight hold!\This is Spike. What's going on?\They're gone! They've both disappeared!\Send backup! Send backup immediately!\Calm down! What happened? What happened?!\Stop! Stay back!\Stop! Stop! Stop!! response:	I must refuse.
context: H-Help me! This is the freight hold! This is the freight hold!\This is Spike. What's going on?\They're gone! They've both disappeared!\Send backup! Send backup immediately!\Calm down! What happened? What happened?!\Stop! Stay back!\Stop! Stop! Stop!!\I must refuse. response:	What obligation do you think we are under,
context: This is Spike. What's going on?\They're gone! They've both disappeared!\Send backup! Send backup immediately!\Calm down! What happened? What happened?!\Stop! Stay back!\Stop! Stop! Stop!!\I must refuse.\What obligation do you think we are under, response:	that we must assist you in carrying out your retaliation?
context: They're gone! They've both disappeared!\Send backup! Send backup immediately!\Calm down! What happened? What happened?!\Stop! Stay back!\Stop! Stop! Stop!!\I must refuse.\What obligation do you think we are under,\that we must assist you in carrying out your retaliation? response:	Well...
context: Send backup! Send backup immediately!\Calm down! What happened? What happened?!\Stop! Stay back!\Stop! Stop! Stop!!\I must refuse.\What obligation do you think we are under,\that we must assist you in carrying out your retaliation?\Well... response:	That outsider, that guy named Firo, is having his run of the place-
context: Calm down! What happened? What happened?!\Stop! Stay back!\Stop! Stop! Stop!!\I must refuse.\What obligation do you think we are under,\that we must assist you in carrying out your retaliation?\Well...\That outsider, that guy named Firo, is having his run of the place- response:	You, who are not even members of the family,
context: Stop! Stay back!\Stop! Stop! Stop!!\I must refuse.\What obligation do you think we are under,\that we must assist you in carrying out your retaliation?\Well...\That outsider, that guy named Firo, is having his run of the place-\You, who are not even members of the family, response:	do not need to worry about our business affairs.
context: Stop! Stop! Stop!!\I must refuse.\What obligation do you think we are under,\that we must assist you in carrying out your retaliation?\Well...\That outsider, that guy named Firo, is having his run of the place-\You, who are not even members of the family,\do not need to worry about our business affairs. response:	Then, how about this, Luck- san?
context: I must refuse.\What obligation do you think we are under,\that we must assist you in carrying out your retaliation?\Well...\That outsider, that guy named Firo, is having his run of the place-\You, who are not even members of the family,\do not need to worry about our business affairs.\Then, how about this, Luck- san? response:	If you'd be willing to help us out, we will join your organization.
context: What obligation do you think we are under,\that we must assist you in carrying out your retaliation?\Well...\That outsider, that guy named Firo, is having his run of the place-\You, who are not even members of the family,\do not need to worry about our business affairs.\Then, how about this, Luck- san?\If you'd be willing to help us out, we will join your organization. response:	That's not a bad offer, right?
context: that we must assist you in carrying out your retaliation?\Well...\That outsider, that guy named Firo, is having his run of the place-\You, who are not even members of the family,\do not need to worry about our business affairs.\Then, how about this, Luck- san?\If you'd be willing to help us out, we will join your organization.\That's not a bad offer, right? response:	Listen, Dallas- san, tell me the truth,
context: Well...\That outsider, that guy named Firo, is having his run of the place-\You, who are not even members of the family,\do not need to worry about our business affairs.\Then, how about this, Luck- san?\If you'd be willing to help us out, we will join your organization.\That's not a bad offer, right?\Listen, Dallas- san, tell me the truth, response:	have you ever wondered why we haven't ever reached out to you before?
context: That outsider, that guy named Firo, is having his run of the place-\You, who are not even members of the family,\do not need to worry about our business affairs.\Then, how about this, Luck- san?\If you'd be willing to help us out, we will join your organization.\That's not a bad offer, right?\Listen, Dallas- san, tell me the truth,\have you ever wondered why we haven't ever reached out to you before? response:	You don't think that we have turned a blind eye
context: You, who are not even members of the family,\do not need to worry about our business affairs.\Then, how about this, Luck- san?\If you'd be willing to help us out, we will join your organization.\That's not a bad offer, right?\Listen, Dallas- san, tell me the truth,\have you ever wondered why we haven't ever reached out to you before?\You don't think that we have turned a blind eye response:	to your impudent conduct because we were afraid of you, do you?
context: do not need to worry about our business affairs.\Then, how about this, Luck- san?\If you'd be willing to help us out, we will join your organization.\That's not a bad offer, right?\Listen, Dallas- san, tell me the truth,\have you ever wondered why we haven't ever reached out to you before?\You don't think that we have turned a blind eye\to your impudent conduct because we were afraid of you, do you? response:	I'm going to say this clearly for you.
context: Then, how about this, Luck- san?\If you'd be willing to help us out, we will join your organization.\That's not a bad offer, right?\Listen, Dallas- san, tell me the truth,\have you ever wondered why we haven't ever reached out to you before?\You don't think that we have turned a blind eye\to your impudent conduct because we were afraid of you, do you?\I'm going to say this clearly for you. response:	The reason we haven't invited you into our organization
context: If you'd be willing to help us out, we will join your organization.\That's not a bad offer, right?\Listen, Dallas- san, tell me the truth,\have you ever wondered why we haven't ever reached out to you before?\You don't think that we have turned a blind eye\to your impudent conduct because we were afraid of you, do you?\I'm going to say this clearly for you.\The reason we haven't invited you into our organization response:	is because we haven't seen an ounce of worth in it for us.
context: That's not a bad offer, right?\Listen, Dallas- san, tell me the truth,\have you ever wondered why we haven't ever reached out to you before?\You don't think that we have turned a blind eye\to your impudent conduct because we were afraid of you, do you?\I'm going to say this clearly for you.\The reason we haven't invited you into our organization\is because we haven't seen an ounce of worth in it for us. response:	Because of all of the muggings that you have been perpetrating,
context: Listen, Dallas- san, tell me the truth,\have you ever wondered why we haven't ever reached out to you before?\You don't think that we have turned a blind eye\to your impudent conduct because we were afraid of you, do you?\I'm going to say this clearly for you.\The reason we haven't invited you into our organization\is because we haven't seen an ounce of worth in it for us.\Because of all of the muggings that you have been perpetrating, response:	the attention of the police has been drawn toward your direction.
context: have you ever wondered why we haven't ever reached out to you before?\You don't think that we have turned a blind eye\to your impudent conduct because we were afraid of you, do you?\I'm going to say this clearly for you.\The reason we haven't invited you into our organization\is because we haven't seen an ounce of worth in it for us.\Because of all of the muggings that you have been perpetrating,\the attention of the police has been drawn toward your direction. response:	That's why we haven't gotten involved.
context: You don't think that we have turned a blind eye\to your impudent conduct because we were afraid of you, do you?\I'm going to say this clearly for you.\The reason we haven't invited you into our organization\is because we haven't seen an ounce of worth in it for us.\Because of all of the muggings that you have been perpetrating,\the attention of the police has been drawn toward your direction.\That's why we haven't gotten involved. response:	That's all that people like you are good for, at best.
context: to your impudent conduct because we were afraid of you, do you?\I'm going to say this clearly for you.\The reason we haven't invited you into our organization\is because we haven't seen an ounce of worth in it for us.\Because of all of the muggings that you have been perpetrating,\the attention of the police has been drawn toward your direction.\That's why we haven't gotten involved.\That's all that people like you are good for, at best. response:	What do you know about us?
context: I'm going to say this clearly for you.\The reason we haven't invited you into our organization\is because we haven't seen an ounce of worth in it for us.\Because of all of the muggings that you have been perpetrating,\the attention of the police has been drawn toward your direction.\That's why we haven't gotten involved.\That's all that people like you are good for, at best.\What do you know about us? response:	I know that you got the snot beaten out of you
context: The reason we haven't invited you into our organization\is because we haven't seen an ounce of worth in it for us.\Because of all of the muggings that you have been perpetrating,\the attention of the police has been drawn toward your direction.\That's why we haven't gotten involved.\That's all that people like you are good for, at best.\What do you know about us?\I know that you got the snot beaten out of you response:	by a young man who clearly looked younger than all of you.
context: is because we haven't seen an ounce of worth in it for us.\Because of all of the muggings that you have been perpetrating,\the attention of the police has been drawn toward your direction.\That's why we haven't gotten involved.\That's all that people like you are good for, at best.\What do you know about us?\I know that you got the snot beaten out of you\by a young man who clearly looked younger than all of you. response:	Why, you-
context: Because of all of the muggings that you have been perpetrating,\the attention of the police has been drawn toward your direction.\That's why we haven't gotten involved.\That's all that people like you are good for, at best.\What do you know about us?\I know that you got the snot beaten out of you\by a young man who clearly looked younger than all of you.\Why, you- response:	Ber-
context: the attention of the police has been drawn toward your direction.\That's why we haven't gotten involved.\That's all that people like you are good for, at best.\What do you know about us?\I know that you got the snot beaten out of you\by a young man who clearly looked younger than all of you.\Why, you-\Ber- response:	Luck, who are these ill-mannered runts?
context: That's why we haven't gotten involved.\That's all that people like you are good for, at best.\What do you know about us?\I know that you got the snot beaten out of you\by a young man who clearly looked younger than all of you.\Why, you-\Ber-\Luck, who are these ill-mannered runts? response:	No one I know.
context: That's all that people like you are good for, at best.\What do you know about us?\I know that you got the snot beaten out of you\by a young man who clearly looked younger than all of you.\Why, you-\Ber-\Luck, who are these ill-mannered runts?\No one I know. response:	Huh?
context: What do you know about us?\I know that you got the snot beaten out of you\by a young man who clearly looked younger than all of you.\Why, you-\Ber-\Luck, who are these ill-mannered runts?\No one I know.\Huh? response:	Liquor?
context: I know that you got the snot beaten out of you\by a young man who clearly looked younger than all of you.\Why, you-\Ber-\Luck, who are these ill-mannered runts?\No one I know.\Huh?\Liquor? response:	Beats me.
context: by a young man who clearly looked younger than all of you.\Why, you-\Ber-\Luck, who are these ill-mannered runts?\No one I know.\Huh?\Liquor?\Beats me. response:	Okay, Mary, you get in here.
context: Why, you-\Ber-\Luck, who are these ill-mannered runts?\No one I know.\Huh?\Liquor?\Beats me.\Okay, Mary, you get in here. response:	You'll be able to hide in here by yourself.
context: Ber-\Luck, who are these ill-mannered runts?\No one I know.\Huh?\Liquor?\Beats me.\Okay, Mary, you get in here.\You'll be able to hide in here by yourself. response:	But Czes- kun, what about you?
context: Luck, who are these ill-mannered runts?\No one I know.\Huh?\Liquor?\Beats me.\Okay, Mary, you get in here.\You'll be able to hide in here by yourself.\But Czes- kun, what about you? response:	I'm going to go on ahead and check things out.
context: No one I know.\Huh?\Liquor?\Beats me.\Okay, Mary, you get in here.\You'll be able to hide in here by yourself.\But Czes- kun, what about you?\I'm going to go on ahead and check things out. response:	Mary, you stay hidden in here. Be absolutely sure not to move.
context: Huh?\Liquor?\Beats me.\Okay, Mary, you get in here.\You'll be able to hide in here by yourself.\But Czes- kun, what about you?\I'm going to go on ahead and check things out.\Mary, you stay hidden in here. Be absolutely sure not to move. response:	It's okay. I'll be right back, okay?
context: Liquor?\Beats me.\Okay, Mary, you get in here.\You'll be able to hide in here by yourself.\But Czes- kun, what about you?\I'm going to go on ahead and check things out.\Mary, you stay hidden in here. Be absolutely sure not to move.\It's okay. I'll be right back, okay? response:	That takes care of the kid being underfoot.
context: Beats me.\Okay, Mary, you get in here.\You'll be able to hide in here by yourself.\But Czes- kun, what about you?\I'm going to go on ahead and check things out.\Mary, you stay hidden in here. Be absolutely sure not to move.\It's okay. I'll be right back, okay?\That takes care of the kid being underfoot. response:	Now I just have to find the immortals.
context: Okay, Mary, you get in here.\You'll be able to hide in here by yourself.\But Czes- kun, what about you?\I'm going to go on ahead and check things out.\Mary, you stay hidden in here. Be absolutely sure not to move.\It's okay. I'll be right back, okay?\That takes care of the kid being underfoot.\Now I just have to find the immortals. response:	Jacuzzi?!
context: You'll be able to hide in here by yourself.\But Czes- kun, what about you?\I'm going to go on ahead and check things out.\Mary, you stay hidden in here. Be absolutely sure not to move.\It's okay. I'll be right back, okay?\That takes care of the kid being underfoot.\Now I just have to find the immortals.\Jacuzzi?! response:	Nick! You're all right!
context: But Czes- kun, what about you?\I'm going to go on ahead and check things out.\Mary, you stay hidden in here. Be absolutely sure not to move.\It's okay. I'll be right back, okay?\That takes care of the kid being underfoot.\Now I just have to find the immortals.\Jacuzzi?!\Nick! You're all right! response:	Yeah, I got all muddled up.
context: I'm going to go on ahead and check things out.\Mary, you stay hidden in here. Be absolutely sure not to move.\It's okay. I'll be right back, okay?\That takes care of the kid being underfoot.\Now I just have to find the immortals.\Jacuzzi?!\Nick! You're all right!\Yeah, I got all muddled up. response:	Where did the lookouts go?
context: Mary, you stay hidden in here. Be absolutely sure not to move.\It's okay. I'll be right back, okay?\That takes care of the kid being underfoot.\Now I just have to find the immortals.\Jacuzzi?!\Nick! You're all right!\Yeah, I got all muddled up.\Where did the lookouts go? response:	Uh, I'm not even sure about that.
context: It's okay. I'll be right back, okay?\That takes care of the kid being underfoot.\Now I just have to find the immortals.\Jacuzzi?!\Nick! You're all right!\Yeah, I got all muddled up.\Where did the lookouts go?\Uh, I'm not even sure about that. response:	Thank you, fuck you, the villain arrives!
context: That takes care of the kid being underfoot.\Now I just have to find the immortals.\Jacuzzi?!\Nick! You're all right!\Yeah, I got all muddled up.\Where did the lookouts go?\Uh, I'm not even sure about that.\Thank you, fuck you, the villain arrives! response:	Huh? There aren't any lookouts, are there?
context: Now I just have to find the immortals.\Jacuzzi?!\Nick! You're all right!\Yeah, I got all muddled up.\Where did the lookouts go?\Uh, I'm not even sure about that.\Thank you, fuck you, the villain arrives!\Huh? There aren't any lookouts, are there? response:	That's no fun.
context: Jacuzzi?!\Nick! You're all right!\Yeah, I got all muddled up.\Where did the lookouts go?\Uh, I'm not even sure about that.\Thank you, fuck you, the villain arrives!\Huh? There aren't any lookouts, are there?\That's no fun. response:	Be that as it may, though, thank goodness you're safe, Lua!
context: Nick! You're all right!\Yeah, I got all muddled up.\Where did the lookouts go?\Uh, I'm not even sure about that.\Thank you, fuck you, the villain arrives!\Huh? There aren't any lookouts, are there?\That's no fun.\Be that as it may, though, thank goodness you're safe, Lua! response:	She made it, Ladd.
context: Yeah, I got all muddled up.\Where did the lookouts go?\Uh, I'm not even sure about that.\Thank you, fuck you, the villain arrives!\Huh? There aren't any lookouts, are there?\That's no fun.\Be that as it may, though, thank goodness you're safe, Lua!\She made it, Ladd. response:	H-Hey! Untie my ropes, too!
context: Where did the lookouts go?\Uh, I'm not even sure about that.\Thank you, fuck you, the villain arrives!\Huh? There aren't any lookouts, are there?\That's no fun.\Be that as it may, though, thank goodness you're safe, Lua!\She made it, Ladd.\H-Hey! Untie my ropes, too! response:	Huh? Why? Something in it for me?
context: Uh, I'm not even sure about that.\Thank you, fuck you, the villain arrives!\Huh? There aren't any lookouts, are there?\That's no fun.\Be that as it may, though, thank goodness you're safe, Lua!\She made it, Ladd.\H-Hey! Untie my ropes, too!\Huh? Why? Something in it for me? response:	If you were a woman, I'd expect a kiss or something,
context: Thank you, fuck you, the villain arrives!\Huh? There aren't any lookouts, are there?\That's no fun.\Be that as it may, though, thank goodness you're safe, Lua!\She made it, Ladd.\H-Hey! Untie my ropes, too!\Huh? Why? Something in it for me?\If you were a woman, I'd expect a kiss or something, response:	but you're a man!
context: Huh? There aren't any lookouts, are there?\That's no fun.\Be that as it may, though, thank goodness you're safe, Lua!\She made it, Ladd.\H-Hey! Untie my ropes, too!\Huh? Why? Something in it for me?\If you were a woman, I'd expect a kiss or something,\but you're a man! response:	Or instead, what if you were to die like this?
context: That's no fun.\Be that as it may, though, thank goodness you're safe, Lua!\She made it, Ladd.\H-Hey! Untie my ropes, too!\Huh? Why? Something in it for me?\If you were a woman, I'd expect a kiss or something,\but you're a man!\Or instead, what if you were to die like this? response:	In fact, die.
context: Be that as it may, though, thank goodness you're safe, Lua!\She made it, Ladd.\H-Hey! Untie my ropes, too!\Huh? Why? Something in it for me?\If you were a woman, I'd expect a kiss or something,\but you're a man!\Or instead, what if you were to die like this?\In fact, die. response:	Your fate is to die!
context: She made it, Ladd.\H-Hey! Untie my ropes, too!\Huh? Why? Something in it for me?\If you were a woman, I'd expect a kiss or something,\but you're a man!\Or instead, what if you were to die like this?\In fact, die.\Your fate is to die! response:	Who was that guy?
context: H-Hey! Untie my ropes, too!\Huh? Why? Something in it for me?\If you were a woman, I'd expect a kiss or something,\but you're a man!\Or instead, what if you were to die like this?\In fact, die.\Your fate is to die!\Who was that guy? response:	Search me.
context: Huh? Why? Something in it for me?\If you were a woman, I'd expect a kiss or something,\but you're a man!\Or instead, what if you were to die like this?\In fact, die.\Your fate is to die!\Who was that guy?\Search me. response:	J-Jacuzzi...
context: If you were a woman, I'd expect a kiss or something,\but you're a man!\Or instead, what if you were to die like this?\In fact, die.\Your fate is to die!\Who was that guy?\Search me.\J-Jacuzzi... response:	I found you!
context: but you're a man!\Or instead, what if you were to die like this?\In fact, die.\Your fate is to die!\Who was that guy?\Search me.\J-Jacuzzi...\I found you! response:	No screaming allowed. I hate to do this to you, Ladd,
context: Or instead, what if you were to die like this?\In fact, die.\Your fate is to die!\Who was that guy?\Search me.\J-Jacuzzi...\I found you!\No screaming allowed. I hate to do this to you, Ladd, response:	but it'd be okay if I got this little girl, right?
context: In fact, die.\Your fate is to die!\Who was that guy?\Search me.\J-Jacuzzi...\I found you!\No screaming allowed. I hate to do this to you, Ladd,\but it'd be okay if I got this little girl, right? response:	Unlike Ladd, I only like to torture weak people to death-
context: Your fate is to die!\Who was that guy?\Search me.\J-Jacuzzi...\I found you!\No screaming allowed. I hate to do this to you, Ladd,\but it'd be okay if I got this little girl, right?\Unlike Ladd, I only like to torture weak people to death- response:	There they are! Those are the guys!
context: Who was that guy?\Search me.\J-Jacuzzi...\I found you!\No screaming allowed. I hate to do this to you, Ladd,\but it'd be okay if I got this little girl, right?\Unlike Ladd, I only like to torture weak people to death-\There they are! Those are the guys! response:	Yo! Those guys are here with you, are they?
context: Search me.\J-Jacuzzi...\I found you!\No screaming allowed. I hate to do this to you, Ladd,\but it'd be okay if I got this little girl, right?\Unlike Ladd, I only like to torture weak people to death-\There they are! Those are the guys!\Yo! Those guys are here with you, are they? response:	Jacuzzi- kun?
context: J-Jacuzzi...\I found you!\No screaming allowed. I hate to do this to you, Ladd,\but it'd be okay if I got this little girl, right?\Unlike Ladd, I only like to torture weak people to death-\There they are! Those are the guys!\Yo! Those guys are here with you, are they?\Jacuzzi- kun? response:	How do you know my name?
context: I found you!\No screaming allowed. I hate to do this to you, Ladd,\but it'd be okay if I got this little girl, right?\Unlike Ladd, I only like to torture weak people to death-\There they are! Those are the guys!\Yo! Those guys are here with you, are they?\Jacuzzi- kun?\How do you know my name? response:	Whoops... Did I neglect to introduce myself?
context: No screaming allowed. I hate to do this to you, Ladd,\but it'd be okay if I got this little girl, right?\Unlike Ladd, I only like to torture weak people to death-\There they are! Those are the guys!\Yo! Those guys are here with you, are they?\Jacuzzi- kun?\How do you know my name?\Whoops... Did I neglect to introduce myself? response:	I'm Ladd Russo.
context: but it'd be okay if I got this little girl, right?\Unlike Ladd, I only like to torture weak people to death-\There they are! Those are the guys!\Yo! Those guys are here with you, are they?\Jacuzzi- kun?\How do you know my name?\Whoops... Did I neglect to introduce myself?\I'm Ladd Russo. response:	Now you understand how I know who you are, right?
context: Unlike Ladd, I only like to torture weak people to death-\There they are! Those are the guys!\Yo! Those guys are here with you, are they?\Jacuzzi- kun?\How do you know my name?\Whoops... Did I neglect to introduce myself?\I'm Ladd Russo.\Now you understand how I know who you are, right? response:	Russo... You're a member of the Russo Family?
context: There they are! Those are the guys!\Yo! Those guys are here with you, are they?\Jacuzzi- kun?\How do you know my name?\Whoops... Did I neglect to introduce myself?\I'm Ladd Russo.\Now you understand how I know who you are, right?\Russo... You're a member of the Russo Family? response:	What do you all think you're doing, being aboard this train?
context: Yo! Those guys are here with you, are they?\Jacuzzi- kun?\How do you know my name?\Whoops... Did I neglect to introduce myself?\I'm Ladd Russo.\Now you understand how I know who you are, right?\Russo... You're a member of the Russo Family?\What do you all think you're doing, being aboard this train? response:	Or rather, who do you think you are?
context: Jacuzzi- kun?\How do you know my name?\Whoops... Did I neglect to introduce myself?\I'm Ladd Russo.\Now you understand how I know who you are, right?\Russo... You're a member of the Russo Family?\What do you all think you're doing, being aboard this train?\Or rather, who do you think you are? response:	We are going to be taking complete control of this train,
context: How do you know my name?\Whoops... Did I neglect to introduce myself?\I'm Ladd Russo.\Now you understand how I know who you are, right?\Russo... You're a member of the Russo Family?\What do you all think you're doing, being aboard this train?\Or rather, who do you think you are?\We are going to be taking complete control of this train, response:	or kill off half of the passengers,
context: Whoops... Did I neglect to introduce myself?\I'm Ladd Russo.\Now you understand how I know who you are, right?\Russo... You're a member of the Russo Family?\What do you all think you're doing, being aboard this train?\Or rather, who do you think you are?\We are going to be taking complete control of this train,\or kill off half of the passengers, response:	or, depending on the circumstances, kill off all of them.
