context: Let's go, everyone! response:	Yeah!
context: I need him, too,\if that's okay with him!\I'm sorry...\You were out here by yourself,\and I wasn't able to be a big sister for you.\But...\It'll be okay now.\Your big sister will protect you! response:	Any one who makes Souta boy cry...
context: if that's okay with him!\I'm sorry...\You were out here by yourself,\and I wasn't able to be a big sister for you.\But...\It'll be okay now.\Your big sister will protect you!\Any one who makes Souta boy cry... response:	will be getting a spanking from me!
context: I'm sorry...\You were out here by yourself,\and I wasn't able to be a big sister for you.\But...\It'll be okay now.\Your big sister will protect you!\Any one who makes Souta boy cry...\will be getting a spanking from me! response:	Older sisters aren't the only ones
context: You were out here by yourself,\and I wasn't able to be a big sister for you.\But...\It'll be okay now.\Your big sister will protect you!\Any one who makes Souta boy cry...\will be getting a spanking from me!\Older sisters aren't the only ones response:	who get to save onii-chan!
context: and I wasn't able to be a big sister for you.\But...\It'll be okay now.\Your big sister will protect you!\Any one who makes Souta boy cry...\will be getting a spanking from me!\Older sisters aren't the only ones\who get to save onii-chan! response:	I am not part of the Council of the Seven Virtues any longer!
context: But...\It'll be okay now.\Your big sister will protect you!\Any one who makes Souta boy cry...\will be getting a spanking from me!\Older sisters aren't the only ones\who get to save onii-chan!\I am not part of the Council of the Seven Virtues any longer! response:	I'm Hatate Souta's Samurai.
context: It'll be okay now.\Your big sister will protect you!\Any one who makes Souta boy cry...\will be getting a spanking from me!\Older sisters aren't the only ones\who get to save onii-chan!\I am not part of the Council of the Seven Virtues any longer!\I'm Hatate Souta's Samurai. response:	Daimyouzamurai Mei!
context: Your big sister will protect you!\Any one who makes Souta boy cry...\will be getting a spanking from me!\Older sisters aren't the only ones\who get to save onii-chan!\I am not part of the Council of the Seven Virtues any longer!\I'm Hatate Souta's Samurai.\Daimyouzamurai Mei! response:	Were you the ones giving Souta a hard time?!
context: Any one who makes Souta boy cry...\will be getting a spanking from me!\Older sisters aren't the only ones\who get to save onii-chan!\I am not part of the Council of the Seven Virtues any longer!\I'm Hatate Souta's Samurai.\Daimyouzamurai Mei!\Were you the ones giving Souta a hard time?! response:	Even if I'm from a parallel world,
context: will be getting a spanking from me!\Older sisters aren't the only ones\who get to save onii-chan!\I am not part of the Council of the Seven Virtues any longer!\I'm Hatate Souta's Samurai.\Daimyouzamurai Mei!\Were you the ones giving Souta a hard time?!\Even if I'm from a parallel world, response:	I'm me!
context: Older sisters aren't the only ones\who get to save onii-chan!\I am not part of the Council of the Seven Virtues any longer!\I'm Hatate Souta's Samurai.\Daimyouzamurai Mei!\Were you the ones giving Souta a hard time?!\Even if I'm from a parallel world,\I'm me! response:	Hatate-kun, I'm going to save you this time!
context: who get to save onii-chan!\I am not part of the Council of the Seven Virtues any longer!\I'm Hatate Souta's Samurai.\Daimyouzamurai Mei!\Were you the ones giving Souta a hard time?!\Even if I'm from a parallel world,\I'm me!\Hatate-kun, I'm going to save you this time! response:	Bullying Souta is against school rules!
context: I am not part of the Council of the Seven Virtues any longer!\I'm Hatate Souta's Samurai.\Daimyouzamurai Mei!\Were you the ones giving Souta a hard time?!\Even if I'm from a parallel world,\I'm me!\Hatate-kun, I'm going to save you this time!\Bullying Souta is against school rules! response:	Student Council President Punch!
context: I'm Hatate Souta's Samurai.\Daimyouzamurai Mei!\Were you the ones giving Souta a hard time?!\Even if I'm from a parallel world,\I'm me!\Hatate-kun, I'm going to save you this time!\Bullying Souta is against school rules!\Student Council President Punch! response:	Why did you come...
context: Daimyouzamurai Mei!\Were you the ones giving Souta a hard time?!\Even if I'm from a parallel world,\I'm me!\Hatate-kun, I'm going to save you this time!\Bullying Souta is against school rules!\Student Council President Punch!\Why did you come... response:	I can't repay you for this...
context: Were you the ones giving Souta a hard time?!\Even if I'm from a parallel world,\I'm me!\Hatate-kun, I'm going to save you this time!\Bullying Souta is against school rules!\Student Council President Punch!\Why did you come...\I can't repay you for this... response:	That's not true!
context: Even if I'm from a parallel world,\I'm me!\Hatate-kun, I'm going to save you this time!\Bullying Souta is against school rules!\Student Council President Punch!\Why did you come...\I can't repay you for this...\That's not true! response:	very special from you.
context: I'm me!\Hatate-kun, I'm going to save you this time!\Bullying Souta is against school rules!\Student Council President Punch!\Why did you come...\I can't repay you for this...\That's not true!\very special from you. response:	I was empty when I couldn't see that girl anymore,
context: Hatate-kun, I'm going to save you this time!\Bullying Souta is against school rules!\Student Council President Punch!\Why did you come...\I can't repay you for this...\That's not true!\very special from you.\I was empty when I couldn't see that girl anymore, response:	for a long time.
context: Bullying Souta is against school rules!\Student Council President Punch!\Why did you come...\I can't repay you for this...\That's not true!\very special from you.\I was empty when I couldn't see that girl anymore,\for a long time. response:	But I met you,
context: Student Council President Punch!\Why did you come...\I can't repay you for this...\That's not true!\very special from you.\I was empty when I couldn't see that girl anymore,\for a long time.\But I met you, response:	and I wanted to save you.
context: Why did you come...\I can't repay you for this...\That's not true!\very special from you.\I was empty when I couldn't see that girl anymore,\for a long time.\But I met you,\and I wanted to save you. response:	I wanted to hear your voice.
context: I can't repay you for this...\That's not true!\very special from you.\I was empty when I couldn't see that girl anymore,\for a long time.\But I met you,\and I wanted to save you.\I wanted to hear your voice. response:	I wanted to see your smile.
context: That's not true!\very special from you.\I was empty when I couldn't see that girl anymore,\for a long time.\But I met you,\and I wanted to save you.\I wanted to hear your voice.\I wanted to see your smile. response:	You had me experience all of those wonderful feelings,
context: very special from you.\I was empty when I couldn't see that girl anymore,\for a long time.\But I met you,\and I wanted to save you.\I wanted to hear your voice.\I wanted to see your smile.\You had me experience all of those wonderful feelings, response:	and that made me
context: I was empty when I couldn't see that girl anymore,\for a long time.\But I met you,\and I wanted to save you.\I wanted to hear your voice.\I wanted to see your smile.\You had me experience all of those wonderful feelings,\and that made me response:	who I am today.
context: for a long time.\But I met you,\and I wanted to save you.\I wanted to hear your voice.\I wanted to see your smile.\You had me experience all of those wonderful feelings,\and that made me\who I am today. response:	I love you, Souta-kun.
context: But I met you,\and I wanted to save you.\I wanted to hear your voice.\I wanted to see your smile.\You had me experience all of those wonderful feelings,\and that made me\who I am today.\I love you, Souta-kun. response:	I'm sure Nanami-chan and the rest feel the same.
context: and I wanted to save you.\I wanted to hear your voice.\I wanted to see your smile.\You had me experience all of those wonderful feelings,\and that made me\who I am today.\I love you, Souta-kun.\I'm sure Nanami-chan and the rest feel the same. response:	Take that!
context: I wanted to hear your voice.\I wanted to see your smile.\You had me experience all of those wonderful feelings,\and that made me\who I am today.\I love you, Souta-kun.\I'm sure Nanami-chan and the rest feel the same.\Take that! response:	I can't match them.
context: I wanted to see your smile.\You had me experience all of those wonderful feelings,\and that made me\who I am today.\I love you, Souta-kun.\I'm sure Nanami-chan and the rest feel the same.\Take that!\I can't match them. response:	It can't be.
context: You had me experience all of those wonderful feelings,\and that made me\who I am today.\I love you, Souta-kun.\I'm sure Nanami-chan and the rest feel the same.\Take that!\I can't match them.\It can't be. response:	They're nothing more than virtual people.
context: and that made me\who I am today.\I love you, Souta-kun.\I'm sure Nanami-chan and the rest feel the same.\Take that!\I can't match them.\It can't be.\They're nothing more than virtual people. response:	What's going on?
context: who I am today.\I love you, Souta-kun.\I'm sure Nanami-chan and the rest feel the same.\Take that!\I can't match them.\It can't be.\They're nothing more than virtual people.\What's going on? response:	It's absorbing its allies and powering up.
context: I love you, Souta-kun.\I'm sure Nanami-chan and the rest feel the same.\Take that!\I can't match them.\It can't be.\They're nothing more than virtual people.\What's going on?\It's absorbing its allies and powering up. response:	This is the last boss flag!
context: I'm sure Nanami-chan and the rest feel the same.\Take that!\I can't match them.\It can't be.\They're nothing more than virtual people.\What's going on?\It's absorbing its allies and powering up.\This is the last boss flag! response:	This is the Angel Boat...
context: Take that!\I can't match them.\It can't be.\They're nothing more than virtual people.\What's going on?\It's absorbing its allies and powering up.\This is the last boss flag!\This is the Angel Boat... response:	Rin-kun! Granny! Prez!
context: I can't match them.\It can't be.\They're nothing more than virtual people.\What's going on?\It's absorbing its allies and powering up.\This is the last boss flag!\This is the Angel Boat...\Rin-kun! Granny! Prez! response:	Okiku-nee! Megumu! Ruri!
context: It can't be.\They're nothing more than virtual people.\What's going on?\It's absorbing its allies and powering up.\This is the last boss flag!\This is the Angel Boat...\Rin-kun! Granny! Prez!\Okiku-nee! Megumu! Ruri! response:	This isn't going to work.
context: They're nothing more than virtual people.\What's going on?\It's absorbing its allies and powering up.\This is the last boss flag!\This is the Angel Boat...\Rin-kun! Granny! Prez!\Okiku-nee! Megumu! Ruri!\This isn't going to work. response:	I'm not going to make it there.
context: What's going on?\It's absorbing its allies and powering up.\This is the last boss flag!\This is the Angel Boat...\Rin-kun! Granny! Prez!\Okiku-nee! Megumu! Ruri!\This isn't going to work.\I'm not going to make it there. response:	The main server's going to be...
context: It's absorbing its allies and powering up.\This is the last boss flag!\This is the Angel Boat...\Rin-kun! Granny! Prez!\Okiku-nee! Megumu! Ruri!\This isn't going to work.\I'm not going to make it there.\The main server's going to be... response:	Everyone's going to be...
context: This is the last boss flag!\This is the Angel Boat...\Rin-kun! Granny! Prez!\Okiku-nee! Megumu! Ruri!\This isn't going to work.\I'm not going to make it there.\The main server's going to be...\Everyone's going to be... response:	Can I do something...
context: This is the Angel Boat...\Rin-kun! Granny! Prez!\Okiku-nee! Megumu! Ruri!\This isn't going to work.\I'm not going to make it there.\The main server's going to be...\Everyone's going to be...\Can I do something... response:	Is there some sort of special
context: Rin-kun! Granny! Prez!\Okiku-nee! Megumu! Ruri!\This isn't going to work.\I'm not going to make it there.\The main server's going to be...\Everyone's going to be...\Can I do something...\Is there some sort of special response:	death flag I can use to defeat that?
context: Okiku-nee! Megumu! Ruri!\This isn't going to work.\I'm not going to make it there.\The main server's going to be...\Everyone's going to be...\Can I do something...\Is there some sort of special\death flag I can use to defeat that? response:	Oh, there is.
context: This isn't going to work.\I'm not going to make it there.\The main server's going to be...\Everyone's going to be...\Can I do something...\Is there some sort of special\death flag I can use to defeat that?\Oh, there is. response:	There's a special death flag I can use right here!
context: I'm not going to make it there.\The main server's going to be...\Everyone's going to be...\Can I do something...\Is there some sort of special\death flag I can use to defeat that?\Oh, there is.\There's a special death flag I can use right here! response:	What's going on?
context: The main server's going to be...\Everyone's going to be...\Can I do something...\Is there some sort of special\death flag I can use to defeat that?\Oh, there is.\There's a special death flag I can use right here!\What's going on? response:	Something's coming inside me.
context: Everyone's going to be...\Can I do something...\Is there some sort of special\death flag I can use to defeat that?\Oh, there is.\There's a special death flag I can use right here!\What's going on?\Something's coming inside me. response:	This is...
context: Can I do something...\Is there some sort of special\death flag I can use to defeat that?\Oh, there is.\There's a special death flag I can use right here!\What's going on?\Something's coming inside me.\This is... response:	This is...
context: Is there some sort of special\death flag I can use to defeat that?\Oh, there is.\There's a special death flag I can use right here!\What's going on?\Something's coming inside me.\This is...\This is... response:	This is the truth
context: death flag I can use to defeat that?\Oh, there is.\There's a special death flag I can use right here!\What's going on?\Something's coming inside me.\This is...\This is...\This is the truth response:	behind the Premium Ambriel that I had forgotten.
context: Oh, there is.\There's a special death flag I can use right here!\What's going on?\Something's coming inside me.\This is...\This is...\This is the truth\behind the Premium Ambriel that I had forgotten. response:	Where everything began...
context: There's a special death flag I can use right here!\What's going on?\Something's coming inside me.\This is...\This is...\This is the truth\behind the Premium Ambriel that I had forgotten.\Where everything began... response:	Are we going to die here?!
context: What's going on?\Something's coming inside me.\This is...\This is...\This is the truth\behind the Premium Ambriel that I had forgotten.\Where everything began...\Are we going to die here?! response:	I don't want to die...
context: Something's coming inside me.\This is...\This is...\This is the truth\behind the Premium Ambriel that I had forgotten.\Where everything began...\Are we going to die here?!\I don't want to die... response:	I just got to be friends with all of you and Souta-kun...
context: This is...\This is...\This is the truth\behind the Premium Ambriel that I had forgotten.\Where everything began...\Are we going to die here?!\I don't want to die...\I just got to be friends with all of you and Souta-kun... response:	Get a hold of yourself, Okiku!
context: This is...\This is the truth\behind the Premium Ambriel that I had forgotten.\Where everything began...\Are we going to die here?!\I don't want to die...\I just got to be friends with all of you and Souta-kun...\Get a hold of yourself, Okiku! response:	It'll be fine!
context: This is the truth\behind the Premium Ambriel that I had forgotten.\Where everything began...\Are we going to die here?!\I don't want to die...\I just got to be friends with all of you and Souta-kun...\Get a hold of yourself, Okiku!\It'll be fine! response:	I'm sure we'll all be okay!
context: behind the Premium Ambriel that I had forgotten.\Where everything began...\Are we going to die here?!\I don't want to die...\I just got to be friends with all of you and Souta-kun...\Get a hold of yourself, Okiku!\It'll be fine!\I'm sure we'll all be okay! response:	My brother is right!
context: Where everything began...\Are we going to die here?!\I don't want to die...\I just got to be friends with all of you and Souta-kun...\Get a hold of yourself, Okiku!\It'll be fine!\I'm sure we'll all be okay!\My brother is right! response:	We shouldn't give up yet!
context: Are we going to die here?!\I don't want to die...\I just got to be friends with all of you and Souta-kun...\Get a hold of yourself, Okiku!\It'll be fine!\I'm sure we'll all be okay!\My brother is right!\We shouldn't give up yet! response:	If we reach the deck, I'm sure there'll be lifeboats available.
context: I don't want to die...\I just got to be friends with all of you and Souta-kun...\Get a hold of yourself, Okiku!\It'll be fine!\I'm sure we'll all be okay!\My brother is right!\We shouldn't give up yet!\If we reach the deck, I'm sure there'll be lifeboats available. response:	If we can just make it to one of those...
context: I just got to be friends with all of you and Souta-kun...\Get a hold of yourself, Okiku!\It'll be fine!\I'm sure we'll all be okay!\My brother is right!\We shouldn't give up yet!\If we reach the deck, I'm sure there'll be lifeboats available.\If we can just make it to one of those... response:	What's wrong, Sou-kun?
context: Get a hold of yourself, Okiku!\It'll be fine!\I'm sure we'll all be okay!\My brother is right!\We shouldn't give up yet!\If we reach the deck, I'm sure there'll be lifeboats available.\If we can just make it to one of those...\What's wrong, Sou-kun? response:	You shouldn't start spacing out right now.
context: It'll be fine!\I'm sure we'll all be okay!\My brother is right!\We shouldn't give up yet!\If we reach the deck, I'm sure there'll be lifeboats available.\If we can just make it to one of those...\What's wrong, Sou-kun?\You shouldn't start spacing out right now. response:	Are you alone?
context: I'm sure we'll all be okay!\My brother is right!\We shouldn't give up yet!\If we reach the deck, I'm sure there'll be lifeboats available.\If we can just make it to one of those...\What's wrong, Sou-kun?\You shouldn't start spacing out right now.\Are you alone? response:	Where are your parents?
context: My brother is right!\We shouldn't give up yet!\If we reach the deck, I'm sure there'll be lifeboats available.\If we can just make it to one of those...\What's wrong, Sou-kun?\You shouldn't start spacing out right now.\Are you alone?\Where are your parents? response:	Souta-kun, is something over there?
context: We shouldn't give up yet!\If we reach the deck, I'm sure there'll be lifeboats available.\If we can just make it to one of those...\What's wrong, Sou-kun?\You shouldn't start spacing out right now.\Are you alone?\Where are your parents?\Souta-kun, is something over there? response:	Huh?
context: If we reach the deck, I'm sure there'll be lifeboats available.\If we can just make it to one of those...\What's wrong, Sou-kun?\You shouldn't start spacing out right now.\Are you alone?\Where are your parents?\Souta-kun, is something over there?\Huh? response:	It's dangerous to go alone!
context: If we can just make it to one of those...\What's wrong, Sou-kun?\You shouldn't start spacing out right now.\Are you alone?\Where are your parents?\Souta-kun, is something over there?\Huh?\It's dangerous to go alone! response:	Watch out!
context: What's wrong, Sou-kun?\You shouldn't start spacing out right now.\Are you alone?\Where are your parents?\Souta-kun, is something over there?\Huh?\It's dangerous to go alone!\Watch out! response:	This way!
context: You shouldn't start spacing out right now.\Are you alone?\Where are your parents?\Souta-kun, is something over there?\Huh?\It's dangerous to go alone!\Watch out!\This way! response:	We're...
context: Are you alone?\Where are your parents?\Souta-kun, is something over there?\Huh?\It's dangerous to go alone!\Watch out!\This way!\We're... response:	I hope everything's okay.
context: Where are your parents?\Souta-kun, is something over there?\Huh?\It's dangerous to go alone!\Watch out!\This way!\We're...\I hope everything's okay. response:	Why are you trying to save me?
context: Souta-kun, is something over there?\Huh?\It's dangerous to go alone!\Watch out!\This way!\We're...\I hope everything's okay.\Why are you trying to save me? response:	Why?
context: Huh?\It's dangerous to go alone!\Watch out!\This way!\We're...\I hope everything's okay.\Why are you trying to save me?\Why? response:	It's only natural to try and save someone.
context: It's dangerous to go alone!\Watch out!\This way!\We're...\I hope everything's okay.\Why are you trying to save me?\Why?\It's only natural to try and save someone. response:	Save someone...
context: Watch out!\This way!\We're...\I hope everything's okay.\Why are you trying to save me?\Why?\It's only natural to try and save someone.\Save someone... response:	So what's your name?
context: This way!\We're...\I hope everything's okay.\Why are you trying to save me?\Why?\It's only natural to try and save someone.\Save someone...\So what's your name? response:	Me?
context: We're...\I hope everything's okay.\Why are you trying to save me?\Why?\It's only natural to try and save someone.\Save someone...\So what's your name?\Me? response:	I'm Laplace's Demon.
context: I hope everything's okay.\Why are you trying to save me?\Why?\It's only natural to try and save someone.\Save someone...\So what's your name?\Me?\I'm Laplace's Demon. response:	Nice to meet you,
context: Why are you trying to save me?\Why?\It's only natural to try and save someone.\Save someone...\So what's your name?\Me?\I'm Laplace's Demon.\Nice to meet you, response:	Hatate Souta-san.
context: Why?\It's only natural to try and save someone.\Save someone...\So what's your name?\Me?\I'm Laplace's Demon.\Nice to meet you,\Hatate Souta-san. response:	Why do you know my name?
context: It's only natural to try and save someone.\Save someone...\So what's your name?\Me?\I'm Laplace's Demon.\Nice to meet you,\Hatate Souta-san.\Why do you know my name? response:	Is someone there?!
context: Save someone...\So what's your name?\Me?\I'm Laplace's Demon.\Nice to meet you,\Hatate Souta-san.\Why do you know my name?\Is someone there?! response:	Save me!
context: So what's your name?\Me?\I'm Laplace's Demon.\Nice to meet you,\Hatate Souta-san.\Why do you know my name?\Is someone there?!\Save me! response:	Are you okay?!
context: Me?\I'm Laplace's Demon.\Nice to meet you,\Hatate Souta-san.\Why do you know my name?\Is someone there?!\Save me!\Are you okay?! response:	I'll lift that off of you.
context: I'm Laplace's Demon.\Nice to meet you,\Hatate Souta-san.\Why do you know my name?\Is someone there?!\Save me!\Are you okay?!\I'll lift that off of you. response:	Th-Thanks.
context: Nice to meet you,\Hatate Souta-san.\Why do you know my name?\Is someone there?!\Save me!\Are you okay?!\I'll lift that off of you.\Th-Thanks. response:	I can't move.
context: Hatate Souta-san.\Why do you know my name?\Is someone there?!\Save me!\Are you okay?!\I'll lift that off of you.\Th-Thanks.\I can't move. response:	H-Hurry.
context: Why do you know my name?\Is someone there?!\Save me!\Are you okay?!\I'll lift that off of you.\Th-Thanks.\I can't move.\H-Hurry. response:	R-Right.
context: Is someone there?!\Save me!\Are you okay?!\I'll lift that off of you.\Th-Thanks.\I can't move.\H-Hurry.\R-Right. response:	Thanks.
context: Save me!\Are you okay?!\I'll lift that off of you.\Th-Thanks.\I can't move.\H-Hurry.\R-Right.\Thanks. response:	You saved me.
context: Are you okay?!\I'll lift that off of you.\Th-Thanks.\I can't move.\H-Hurry.\R-Right.\Thanks.\You saved me. response:	N-No...
context: I'll lift that off of you.\Th-Thanks.\I can't move.\H-Hurry.\R-Right.\Thanks.\You saved me.\N-No... response:	Anyway, we need to get out of here now.
context: Th-Thanks.\I can't move.\H-Hurry.\R-Right.\Thanks.\You saved me.\N-No...\Anyway, we need to get out of here now. response:	H-Hey!
context: I can't move.\H-Hurry.\R-Right.\Thanks.\You saved me.\N-No...\Anyway, we need to get out of here now.\H-Hey! response:	Are you okay?
context: H-Hurry.\R-Right.\Thanks.\You saved me.\N-No...\Anyway, we need to get out of here now.\H-Hey!\Are you okay? response:	Yeah, I think so...
context: R-Right.\Thanks.\You saved me.\N-No...\Anyway, we need to get out of here now.\H-Hey!\Are you okay?\Yeah, I think so... response:	I-I can't do anything...
context: Thanks.\You saved me.\N-No...\Anyway, we need to get out of here now.\H-Hey!\Are you okay?\Yeah, I think so...\I-I can't do anything... response:	I'm going to get some help.
context: You saved me.\N-No...\Anyway, we need to get out of here now.\H-Hey!\Are you okay?\Yeah, I think so...\I-I can't do anything...\I'm going to get some help. response:	Wait just a second!
context: N-No...\Anyway, we need to get out of here now.\H-Hey!\Are you okay?\Yeah, I think so...\I-I can't do anything...\I'm going to get some help.\Wait just a second! response:	N-No!
context: Anyway, we need to get out of here now.\H-Hey!\Are you okay?\Yeah, I think so...\I-I can't do anything...\I'm going to get some help.\Wait just a second!\N-No! response:	I'll be right back! I will!
context: H-Hey!\Are you okay?\Yeah, I think so...\I-I can't do anything...\I'm going to get some help.\Wait just a second!\N-No!\I'll be right back! I will! response:	W-Wait!
context: Are you okay?\Yeah, I think so...\I-I can't do anything...\I'm going to get some help.\Wait just a second!\N-No!\I'll be right back! I will!\W-Wait! response:	Wait!
context: Yeah, I think so...\I-I can't do anything...\I'm going to get some help.\Wait just a second!\N-No!\I'll be right back! I will!\W-Wait!\Wait! response:	Wait!
context: I-I can't do anything...\I'm going to get some help.\Wait just a second!\N-No!\I'll be right back! I will!\W-Wait!\Wait!\Wait! response:	Only natural to try and save someone?
context: I'm going to get some help.\Wait just a second!\N-No!\I'll be right back! I will!\W-Wait!\Wait!\Wait!\Only natural to try and save someone? response:	That's right.
context: Wait just a second!\N-No!\I'll be right back! I will!\W-Wait!\Wait!\Wait!\Only natural to try and save someone?\That's right. response:	It is.
context: N-No!\I'll be right back! I will!\W-Wait!\Wait!\Wait!\Only natural to try and save someone?\That's right.\It is. response:	He's going to get some help.
context: I'll be right back! I will!\W-Wait!\Wait!\Wait!\Only natural to try and save someone?\That's right.\It is.\He's going to get some help. response:	He told me to wait here.
context: W-Wait!\Wait!\Wait!\Only natural to try and save someone?\That's right.\It is.\He's going to get some help.\He told me to wait here. response:	So... So, I'm sure it'll be fine.
context: Wait!\Wait!\Only natural to try and save someone?\That's right.\It is.\He's going to get some help.\He told me to wait here.\So... So, I'm sure it'll be fine. response:	It will.
context: Wait!\Only natural to try and save someone?\That's right.\It is.\He's going to get some help.\He told me to wait here.\So... So, I'm sure it'll be fine.\It will. response:	It seems this is the end for you.
context: Only natural to try and save someone?\That's right.\It is.\He's going to get some help.\He told me to wait here.\So... So, I'm sure it'll be fine.\It will.\It seems this is the end for you. response:	It doesn't seem like anyone will come.
context: That's right.\It is.\He's going to get some help.\He told me to wait here.\So... So, I'm sure it'll be fine.\It will.\It seems this is the end for you.\It doesn't seem like anyone will come. response:	No...
context: It is.\He's going to get some help.\He told me to wait here.\So... So, I'm sure it'll be fine.\It will.\It seems this is the end for you.\It doesn't seem like anyone will come.\No... response:	But why...
context: He's going to get some help.\He told me to wait here.\So... So, I'm sure it'll be fine.\It will.\It seems this is the end for you.\It doesn't seem like anyone will come.\No...\But why... response:	Betrayed by the person you saved.
context: He told me to wait here.\So... So, I'm sure it'll be fine.\It will.\It seems this is the end for you.\It doesn't seem like anyone will come.\No...\But why...\Betrayed by the person you saved. response:	How does it feel?
context: So... So, I'm sure it'll be fine.\It will.\It seems this is the end for you.\It doesn't seem like anyone will come.\No...\But why...\Betrayed by the person you saved.\How does it feel? response:	No, I don't want to die.
context: It will.\It seems this is the end for you.\It doesn't seem like anyone will come.\No...\But why...\Betrayed by the person you saved.\How does it feel?\No, I don't want to die. response:	I don't want to
context: It seems this is the end for you.\It doesn't seem like anyone will come.\No...\But why...\Betrayed by the person you saved.\How does it feel?\No, I don't want to die.\I don't want to response:	die here alone...
context: It doesn't seem like anyone will come.\No...\But why...\Betrayed by the person you saved.\How does it feel?\No, I don't want to die.\I don't want to\die here alone... response:	I guess humans are the same, no matter the world.
context: No...\But why...\Betrayed by the person you saved.\How does it feel?\No, I don't want to die.\I don't want to\die here alone...\I guess humans are the same, no matter the world. response:	It doesn't seem like there's anything left to see in this world.
context: But why...\Betrayed by the person you saved.\How does it feel?\No, I don't want to die.\I don't want to\die here alone...\I guess humans are the same, no matter the world.\It doesn't seem like there's anything left to see in this world. response:	Souta!
context: Betrayed by the person you saved.\How does it feel?\No, I don't want to die.\I don't want to\die here alone...\I guess humans are the same, no matter the world.\It doesn't seem like there's anything left to see in this world.\Souta! response:	Sou-kun!
