context: What is this? response:	The grave... It's shining.
context: I asked you already. Where is Mavis's grave?\W-We don't know, either!\The grave of the founding Master?\It has something to do with the second test?\I see. I understand!\I'm sure it's something completely idiotic, but I suppose I'll ask anyway...\You want to become an S class wizard, too!\But we're not letting you into Fairy Tail! response:	I knew I shouldn't have asked...
context: W-We don't know, either!\The grave of the founding Master?\It has something to do with the second test?\I see. I understand!\I'm sure it's something completely idiotic, but I suppose I'll ask anyway...\You want to become an S class wizard, too!\But we're not letting you into Fairy Tail!\I knew I shouldn't have asked... response:	H-Happy!
context: The grave of the founding Master?\It has something to do with the second test?\I see. I understand!\I'm sure it's something completely idiotic, but I suppose I'll ask anyway...\You want to become an S class wizard, too!\But we're not letting you into Fairy Tail!\I knew I shouldn't have asked...\H-Happy! response:	Cats should keep their damn mouths shut.
context: It has something to do with the second test?\I see. I understand!\I'm sure it's something completely idiotic, but I suppose I'll ask anyway...\You want to become an S class wizard, too!\But we're not letting you into Fairy Tail!\I knew I shouldn't have asked...\H-Happy!\Cats should keep their damn mouths shut. response:	Was I asking you?
context: I see. I understand!\I'm sure it's something completely idiotic, but I suppose I'll ask anyway...\You want to become an S class wizard, too!\But we're not letting you into Fairy Tail!\I knew I shouldn't have asked...\H-Happy!\Cats should keep their damn mouths shut.\Was I asking you? response:	I don't give a crap about some exam or S class...
context: I'm sure it's something completely idiotic, but I suppose I'll ask anyway...\You want to become an S class wizard, too!\But we're not letting you into Fairy Tail!\I knew I shouldn't have asked...\H-Happy!\Cats should keep their damn mouths shut.\Was I asking you?\I don't give a crap about some exam or S class... response:	Stop treating me like an idiot.
context: You want to become an S class wizard, too!\But we're not letting you into Fairy Tail!\I knew I shouldn't have asked...\H-Happy!\Cats should keep their damn mouths shut.\Was I asking you?\I don't give a crap about some exam or S class...\Stop treating me like an idiot. response:	You're the one that's treating us like idiots!
context: But we're not letting you into Fairy Tail!\I knew I shouldn't have asked...\H-Happy!\Cats should keep their damn mouths shut.\Was I asking you?\I don't give a crap about some exam or S class...\Stop treating me like an idiot.\You're the one that's treating us like idiots! response:	Lucy-san...
context: I knew I shouldn't have asked...\H-Happy!\Cats should keep their damn mouths shut.\Was I asking you?\I don't give a crap about some exam or S class...\Stop treating me like an idiot.\You're the one that's treating us like idiots!\Lucy-san... response:	That grave is sacred to us!
context: H-Happy!\Cats should keep their damn mouths shut.\Was I asking you?\I don't give a crap about some exam or S class...\Stop treating me like an idiot.\You're the one that's treating us like idiots!\Lucy-san...\That grave is sacred to us! response:	Even if we did know where it was, we'd never tell you...
context: Cats should keep their damn mouths shut.\Was I asking you?\I don't give a crap about some exam or S class...\Stop treating me like an idiot.\You're the one that's treating us like idiots!\Lucy-san...\That grave is sacred to us!\Even if we did know where it was, we'd never tell you... response:	Lucy!
context: Was I asking you?\I don't give a crap about some exam or S class...\Stop treating me like an idiot.\You're the one that's treating us like idiots!\Lucy-san...\That grave is sacred to us!\Even if we did know where it was, we'd never tell you...\Lucy! response:	Why, you...
context: I don't give a crap about some exam or S class...\Stop treating me like an idiot.\You're the one that's treating us like idiots!\Lucy-san...\That grave is sacred to us!\Even if we did know where it was, we'd never tell you...\Lucy!\Why, you... response:	The sparkle of fairies...
context: Stop treating me like an idiot.\You're the one that's treating us like idiots!\Lucy-san...\That grave is sacred to us!\Even if we did know where it was, we'd never tell you...\Lucy!\Why, you...\The sparkle of fairies... response:	Fairy Glitter!
context: You're the one that's treating us like idiots!\Lucy-san...\That grave is sacred to us!\Even if we did know where it was, we'd never tell you...\Lucy!\Why, you...\The sparkle of fairies...\Fairy Glitter! response:	It's said to be on par with Fairy Law.
context: Lucy-san...\That grave is sacred to us!\Even if we did know where it was, we'd never tell you...\Lucy!\Why, you...\The sparkle of fairies...\Fairy Glitter!\It's said to be on par with Fairy Law. response:	One of your guild's 3 Grand Spells, yes?
context: That grave is sacred to us!\Even if we did know where it was, we'd never tell you...\Lucy!\Why, you...\The sparkle of fairies...\Fairy Glitter!\It's said to be on par with Fairy Law.\One of your guild's 3 Grand Spells, yes? response:	What? I got no idea what you're talking about!
context: Even if we did know where it was, we'd never tell you...\Lucy!\Why, you...\The sparkle of fairies...\Fairy Glitter!\It's said to be on par with Fairy Law.\One of your guild's 3 Grand Spells, yes?\What? I got no idea what you're talking about! response:	Natsu!
context: Lucy!\Why, you...\The sparkle of fairies...\Fairy Glitter!\It's said to be on par with Fairy Law.\One of your guild's 3 Grand Spells, yes?\What? I got no idea what you're talking about!\Natsu! response:	I-I'm being crushed!
context: Why, you...\The sparkle of fairies...\Fairy Glitter!\It's said to be on par with Fairy Law.\One of your guild's 3 Grand Spells, yes?\What? I got no idea what you're talking about!\Natsu!\I-I'm being crushed! response:	That sparkle is a merciless light that cannot stand the presence of enemies.
context: The sparkle of fairies...\Fairy Glitter!\It's said to be on par with Fairy Law.\One of your guild's 3 Grand Spells, yes?\What? I got no idea what you're talking about!\Natsu!\I-I'm being crushed!\That sparkle is a merciless light that cannot stand the presence of enemies. response:	We don't know!
context: Fairy Glitter!\It's said to be on par with Fairy Law.\One of your guild's 3 Grand Spells, yes?\What? I got no idea what you're talking about!\Natsu!\I-I'm being crushed!\That sparkle is a merciless light that cannot stand the presence of enemies.\We don't know! response:	Happy, hang in there!
context: It's said to be on par with Fairy Law.\One of your guild's 3 Grand Spells, yes?\What? I got no idea what you're talking about!\Natsu!\I-I'm being crushed!\That sparkle is a merciless light that cannot stand the presence of enemies.\We don't know!\Happy, hang in there! response:	I want that magic.
context: One of your guild's 3 Grand Spells, yes?\What? I got no idea what you're talking about!\Natsu!\I-I'm being crushed!\That sparkle is a merciless light that cannot stand the presence of enemies.\We don't know!\Happy, hang in there!\I want that magic. response:	I am... the son of Igneel!
context: What? I got no idea what you're talking about!\Natsu!\I-I'm being crushed!\That sparkle is a merciless light that cannot stand the presence of enemies.\We don't know!\Happy, hang in there!\I want that magic.\I am... the son of Igneel! response:	I won't... be grounded...
context: Natsu!\I-I'm being crushed!\That sparkle is a merciless light that cannot stand the presence of enemies.\We don't know!\Happy, hang in there!\I want that magic.\I am... the son of Igneel!\I won't... be grounded... response:	He's running!
context: I-I'm being crushed!\That sparkle is a merciless light that cannot stand the presence of enemies.\We don't know!\Happy, hang in there!\I want that magic.\I am... the son of Igneel!\I won't... be grounded...\He's running! response:	Even in this gravity? Impressive!
context: That sparkle is a merciless light that cannot stand the presence of enemies.\We don't know!\Happy, hang in there!\I want that magic.\I am... the son of Igneel!\I won't... be grounded...\He's running!\Even in this gravity? Impressive! response:	It seems that spell is sealed at Mavis's grave...
context: We don't know!\Happy, hang in there!\I want that magic.\I am... the son of Igneel!\I won't... be grounded...\He's running!\Even in this gravity? Impressive!\It seems that spell is sealed at Mavis's grave... response:	Will you tell me where it is?
context: Happy, hang in there!\I want that magic.\I am... the son of Igneel!\I won't... be grounded...\He's running!\Even in this gravity? Impressive!\It seems that spell is sealed at Mavis's grave...\Will you tell me where it is? response:	He jumped!
context: I want that magic.\I am... the son of Igneel!\I won't... be grounded...\He's running!\Even in this gravity? Impressive!\It seems that spell is sealed at Mavis's grave...\Will you tell me where it is?\He jumped! response:	This guy sure hates to lose, doesn't he?
context: I am... the son of Igneel!\I won't... be grounded...\He's running!\Even in this gravity? Impressive!\It seems that spell is sealed at Mavis's grave...\Will you tell me where it is?\He jumped!\This guy sure hates to lose, doesn't he? response:	Iron Fist of the...
context: I won't... be grounded...\He's running!\Even in this gravity? Impressive!\It seems that spell is sealed at Mavis's grave...\Will you tell me where it is?\He jumped!\This guy sure hates to lose, doesn't he?\Iron Fist of the... response:	Not listening?
context: He's running!\Even in this gravity? Impressive!\It seems that spell is sealed at Mavis's grave...\Will you tell me where it is?\He jumped!\This guy sure hates to lose, doesn't he?\Iron Fist of the...\Not listening? response:	Natsu!
context: Even in this gravity? Impressive!\It seems that spell is sealed at Mavis's grave...\Will you tell me where it is?\He jumped!\This guy sure hates to lose, doesn't he?\Iron Fist of the...\Not listening?\Natsu! response:	Oh, no...
context: It seems that spell is sealed at Mavis's grave...\Will you tell me where it is?\He jumped!\This guy sure hates to lose, doesn't he?\Iron Fist of the...\Not listening?\Natsu!\Oh, no... response:	W-What is he?
context: Will you tell me where it is?\He jumped!\This guy sure hates to lose, doesn't he?\Iron Fist of the...\Not listening?\Natsu!\Oh, no...\W-What is he? response:	Is that Makarov lying over there?
context: He jumped!\This guy sure hates to lose, doesn't he?\Iron Fist of the...\Not listening?\Natsu!\Oh, no...\W-What is he?\Is that Makarov lying over there? response:	Oh... I should just ask him.
context: This guy sure hates to lose, doesn't he?\Iron Fist of the...\Not listening?\Natsu!\Oh, no...\W-What is he?\Is that Makarov lying over there?\Oh... I should just ask him. response:	Stop!
context: Iron Fist of the...\Not listening?\Natsu!\Oh, no...\W-What is he?\Is that Makarov lying over there?\Oh... I should just ask him.\Stop! response:	Just you try laying a hand on Gramps!
context: Not listening?\Natsu!\Oh, no...\W-What is he?\Is that Makarov lying over there?\Oh... I should just ask him.\Stop!\Just you try laying a hand on Gramps! response:	You won't get away with...
context: Natsu!\Oh, no...\W-What is he?\Is that Makarov lying over there?\Oh... I should just ask him.\Stop!\Just you try laying a hand on Gramps!\You won't get away with... response:	Stay down and shut up, you brats.
context: Oh, no...\W-What is he?\Is that Makarov lying over there?\Oh... I should just ask him.\Stop!\Just you try laying a hand on Gramps!\You won't get away with...\Stay down and shut up, you brats. response:	Or should I just crush you all right now?
context: W-What is he?\Is that Makarov lying over there?\Oh... I should just ask him.\Stop!\Just you try laying a hand on Gramps!\You won't get away with...\Stay down and shut up, you brats.\Or should I just crush you all right now? response:	Huh?
context: Is that Makarov lying over there?\Oh... I should just ask him.\Stop!\Just you try laying a hand on Gramps!\You won't get away with...\Stay down and shut up, you brats.\Or should I just crush you all right now?\Huh? response:	He's too strong!
context: Oh... I should just ask him.\Stop!\Just you try laying a hand on Gramps!\You won't get away with...\Stay down and shut up, you brats.\Or should I just crush you all right now?\Huh?\He's too strong! response:	What'll we do? What'll we do?
context: Stop!\Just you try laying a hand on Gramps!\You won't get away with...\Stay down and shut up, you brats.\Or should I just crush you all right now?\Huh?\He's too strong!\What'll we do? What'll we do? response:	Somebody...
context: Just you try laying a hand on Gramps!\You won't get away with...\Stay down and shut up, you brats.\Or should I just crush you all right now?\Huh?\He's too strong!\What'll we do? What'll we do?\Somebody... response:	Somebody...!
context: You won't get away with...\Stay down and shut up, you brats.\Or should I just crush you all right now?\Huh?\He's too strong!\What'll we do? What'll we do?\Somebody...\Somebody...! response:	What? What does this mean?
context: Stay down and shut up, you brats.\Or should I just crush you all right now?\Huh?\He's too strong!\What'll we do? What'll we do?\Somebody...\Somebody...!\What? What does this mean? response:	What I want isn't some spell!
context: Or should I just crush you all right now?\Huh?\He's too strong!\What'll we do? What'll we do?\Somebody...\Somebody...!\What? What does this mean?\What I want isn't some spell! response:	What about the exam?
context: Huh?\He's too strong!\What'll we do? What'll we do?\Somebody...\Somebody...!\What? What does this mean?\What I want isn't some spell!\What about the exam? response:	Master, where are you?!
context: He's too strong!\What'll we do? What'll we do?\Somebody...\Somebody...!\What? What does this mean?\What I want isn't some spell!\What about the exam?\Master, where are you?! response:	Even though I got all this way...
context: What'll we do? What'll we do?\Somebody...\Somebody...!\What? What does this mean?\What I want isn't some spell!\What about the exam?\Master, where are you?!\Even though I got all this way... response:	Even though I thought I might finally become an S class wizard...
context: Somebody...\Somebody...!\What? What does this mean?\What I want isn't some spell!\What about the exam?\Master, where are you?!\Even though I got all this way...\Even though I thought I might finally become an S class wizard... response:	The last 12 years are riding on this exam...
context: Somebody...!\What? What does this mean?\What I want isn't some spell!\What about the exam?\Master, where are you?!\Even though I got all this way...\Even though I thought I might finally become an S class wizard...\The last 12 years are riding on this exam... response:	12 years ago, my mother died from an illness,
context: What? What does this mean?\What I want isn't some spell!\What about the exam?\Master, where are you?!\Even though I got all this way...\Even though I thought I might finally become an S class wizard...\The last 12 years are riding on this exam...\12 years ago, my mother died from an illness, response:	and I found out in her will that my father was still alive.
context: What I want isn't some spell!\What about the exam?\Master, where are you?!\Even though I got all this way...\Even though I thought I might finally become an S class wizard...\The last 12 years are riding on this exam...\12 years ago, my mother died from an illness,\and I found out in her will that my father was still alive. response:	I searched for him, and it led me to Fairy Tail.
context: What about the exam?\Master, where are you?!\Even though I got all this way...\Even though I thought I might finally become an S class wizard...\The last 12 years are riding on this exam...\12 years ago, my mother died from an illness,\and I found out in her will that my father was still alive.\I searched for him, and it led me to Fairy Tail. response:	My father's name is Gildarts.
context: Master, where are you?!\Even though I got all this way...\Even though I thought I might finally become an S class wizard...\The last 12 years are riding on this exam...\12 years ago, my mother died from an illness,\and I found out in her will that my father was still alive.\I searched for him, and it led me to Fairy Tail.\My father's name is Gildarts. response:	Miss, what are you doing standing there?
context: Even though I got all this way...\Even though I thought I might finally become an S class wizard...\The last 12 years are riding on this exam...\12 years ago, my mother died from an illness,\and I found out in her will that my father was still alive.\I searched for him, and it led me to Fairy Tail.\My father's name is Gildarts.\Miss, what are you doing standing there? response:	F-Father...
context: Even though I thought I might finally become an S class wizard...\The last 12 years are riding on this exam...\12 years ago, my mother died from an illness,\and I found out in her will that my father was still alive.\I searched for him, and it led me to Fairy Tail.\My father's name is Gildarts.\Miss, what are you doing standing there?\F-Father... response:	Hurry back home now.
context: The last 12 years are riding on this exam...\12 years ago, my mother died from an illness,\and I found out in her will that my father was still alive.\I searched for him, and it led me to Fairy Tail.\My father's name is Gildarts.\Miss, what are you doing standing there?\F-Father...\Hurry back home now. response:	Stand there too long and your clothes will start smelling like booze.
context: 12 years ago, my mother died from an illness,\and I found out in her will that my father was still alive.\I searched for him, and it led me to Fairy Tail.\My father's name is Gildarts.\Miss, what are you doing standing there?\F-Father...\Hurry back home now.\Stand there too long and your clothes will start smelling like booze. response:	Huh? Why?
context: and I found out in her will that my father was still alive.\I searched for him, and it led me to Fairy Tail.\My father's name is Gildarts.\Miss, what are you doing standing there?\F-Father...\Hurry back home now.\Stand there too long and your clothes will start smelling like booze.\Huh? Why? response:	Why didn't he realize who I am?
context: I searched for him, and it led me to Fairy Tail.\My father's name is Gildarts.\Miss, what are you doing standing there?\F-Father...\Hurry back home now.\Stand there too long and your clothes will start smelling like booze.\Huh? Why?\Why didn't he realize who I am? response:	I missed my chance to tell him...
context: My father's name is Gildarts.\Miss, what are you doing standing there?\F-Father...\Hurry back home now.\Stand there too long and your clothes will start smelling like booze.\Huh? Why?\Why didn't he realize who I am?\I missed my chance to tell him... response:	Hey there, squirt, you need something?
context: Miss, what are you doing standing there?\F-Father...\Hurry back home now.\Stand there too long and your clothes will start smelling like booze.\Huh? Why?\Why didn't he realize who I am?\I missed my chance to tell him...\Hey there, squirt, you need something? response:	It's dangerous to hang around here, you know.
context: F-Father...\Hurry back home now.\Stand there too long and your clothes will start smelling like booze.\Huh? Why?\Why didn't he realize who I am?\I missed my chance to tell him...\Hey there, squirt, you need something?\It's dangerous to hang around here, you know. response:	Um, when will Gildarts be coming back?
context: Hurry back home now.\Stand there too long and your clothes will start smelling like booze.\Huh? Why?\Why didn't he realize who I am?\I missed my chance to tell him...\Hey there, squirt, you need something?\It's dangerous to hang around here, you know.\Um, when will Gildarts be coming back? response:	Wait, are you...
context: Stand there too long and your clothes will start smelling like booze.\Huh? Why?\Why didn't he realize who I am?\I missed my chance to tell him...\Hey there, squirt, you need something?\It's dangerous to hang around here, you know.\Um, when will Gildarts be coming back?\Wait, are you... response:	No, I'm...
context: Huh? Why?\Why didn't he realize who I am?\I missed my chance to tell him...\Hey there, squirt, you need something?\It's dangerous to hang around here, you know.\Um, when will Gildarts be coming back?\Wait, are you...\No, I'm... response:	The job he just headed out on...
context: Why didn't he realize who I am?\I missed my chance to tell him...\Hey there, squirt, you need something?\It's dangerous to hang around here, you know.\Um, when will Gildarts be coming back?\Wait, are you...\No, I'm...\The job he just headed out on... response:	Two, three days, a month... Who knows, really?
context: I missed my chance to tell him...\Hey there, squirt, you need something?\It's dangerous to hang around here, you know.\Um, when will Gildarts be coming back?\Wait, are you...\No, I'm...\The job he just headed out on...\Two, three days, a month... Who knows, really? response:	What? He'll be back before long.
context: Hey there, squirt, you need something?\It's dangerous to hang around here, you know.\Um, when will Gildarts be coming back?\Wait, are you...\No, I'm...\The job he just headed out on...\Two, three days, a month... Who knows, really?\What? He'll be back before long. response:	Go ahead and drink some juice.
context: It's dangerous to hang around here, you know.\Um, when will Gildarts be coming back?\Wait, are you...\No, I'm...\The job he just headed out on...\Two, three days, a month... Who knows, really?\What? He'll be back before long.\Go ahead and drink some juice. response:	As I waited for my father to return, and visited again and again,
context: Um, when will Gildarts be coming back?\Wait, are you...\No, I'm...\The job he just headed out on...\Two, three days, a month... Who knows, really?\What? He'll be back before long.\Go ahead and drink some juice.\As I waited for my father to return, and visited again and again, response:	I ended up joining Fairy Tail.
context: Wait, are you...\No, I'm...\The job he just headed out on...\Two, three days, a month... Who knows, really?\What? He'll be back before long.\Go ahead and drink some juice.\As I waited for my father to return, and visited again and again,\I ended up joining Fairy Tail. response:	The city split!
context: No, I'm...\The job he just headed out on...\Two, three days, a month... Who knows, really?\What? He'll be back before long.\Go ahead and drink some juice.\As I waited for my father to return, and visited again and again,\I ended up joining Fairy Tail.\The city split! response:	Cana, it's the one you've been waiting for, Gildarts!
context: The job he just headed out on...\Two, three days, a month... Who knows, really?\What? He'll be back before long.\Go ahead and drink some juice.\As I waited for my father to return, and visited again and again,\I ended up joining Fairy Tail.\The city split!\Cana, it's the one you've been waiting for, Gildarts! response:	You had to wait for two months, didn't you?
context: Two, three days, a month... Who knows, really?\What? He'll be back before long.\Go ahead and drink some juice.\As I waited for my father to return, and visited again and again,\I ended up joining Fairy Tail.\The city split!\Cana, it's the one you've been waiting for, Gildarts!\You had to wait for two months, didn't you? response:	But...
context: What? He'll be back before long.\Go ahead and drink some juice.\As I waited for my father to return, and visited again and again,\I ended up joining Fairy Tail.\The city split!\Cana, it's the one you've been waiting for, Gildarts!\You had to wait for two months, didn't you?\But... response:	Yo! Good work there.
context: Go ahead and drink some juice.\As I waited for my father to return, and visited again and again,\I ended up joining Fairy Tail.\The city split!\Cana, it's the one you've been waiting for, Gildarts!\You had to wait for two months, didn't you?\But...\Yo! Good work there. response:	I'm back, Master.
context: As I waited for my father to return, and visited again and again,\I ended up joining Fairy Tail.\The city split!\Cana, it's the one you've been waiting for, Gildarts!\You had to wait for two months, didn't you?\But...\Yo! Good work there.\I'm back, Master. response:	Seems like it went well.
context: I ended up joining Fairy Tail.\The city split!\Cana, it's the one you've been waiting for, Gildarts!\You had to wait for two months, didn't you?\But...\Yo! Good work there.\I'm back, Master.\Seems like it went well. response:	I got a carrier pigeon with a note from the client expressing their thanks.
context: The city split!\Cana, it's the one you've been waiting for, Gildarts!\You had to wait for two months, didn't you?\But...\Yo! Good work there.\I'm back, Master.\Seems like it went well.\I got a carrier pigeon with a note from the client expressing their thanks. response:	Oh, about that...
context: Cana, it's the one you've been waiting for, Gildarts!\You had to wait for two months, didn't you?\But...\Yo! Good work there.\I'm back, Master.\Seems like it went well.\I got a carrier pigeon with a note from the client expressing their thanks.\Oh, about that... response:	Great going, Gildarts.
context: You had to wait for two months, didn't you?\But...\Yo! Good work there.\I'm back, Master.\Seems like it went well.\I got a carrier pigeon with a note from the client expressing their thanks.\Oh, about that...\Great going, Gildarts. response:	We've got someone we want to introduce to you.
context: But...\Yo! Good work there.\I'm back, Master.\Seems like it went well.\I got a carrier pigeon with a note from the client expressing their thanks.\Oh, about that...\Great going, Gildarts.\We've got someone we want to introduce to you. response:	Oh, that's right!
context: Yo! Good work there.\I'm back, Master.\Seems like it went well.\I got a carrier pigeon with a note from the client expressing their thanks.\Oh, about that...\Great going, Gildarts.\We've got someone we want to introduce to you.\Oh, that's right! response:	It's our new recruit, Cana.
context: I'm back, Master.\Seems like it went well.\I got a carrier pigeon with a note from the client expressing their thanks.\Oh, about that...\Great going, Gildarts.\We've got someone we want to introduce to you.\Oh, that's right!\It's our new recruit, Cana. response:	Treat her nice now, you hear?
context: Seems like it went well.\I got a carrier pigeon with a note from the client expressing their thanks.\Oh, about that...\Great going, Gildarts.\We've got someone we want to introduce to you.\Oh, that's right!\It's our new recruit, Cana.\Treat her nice now, you hear? response:	U-Um...
context: I got a carrier pigeon with a note from the client expressing their thanks.\Oh, about that...\Great going, Gildarts.\We've got someone we want to introduce to you.\Oh, that's right!\It's our new recruit, Cana.\Treat her nice now, you hear?\U-Um... response:	Cana?
context: Oh, about that...\Great going, Gildarts.\We've got someone we want to introduce to you.\Oh, that's right!\It's our new recruit, Cana.\Treat her nice now, you hear?\U-Um...\Cana? response:	Oh, I remember now!
context: Great going, Gildarts.\We've got someone we want to introduce to you.\Oh, that's right!\It's our new recruit, Cana.\Treat her nice now, you hear?\U-Um...\Cana?\Oh, I remember now! response:	Sorry, didn't realize it was you.
context: We've got someone we want to introduce to you.\Oh, that's right!\It's our new recruit, Cana.\Treat her nice now, you hear?\U-Um...\Cana?\Oh, I remember now!\Sorry, didn't realize it was you. response:	You're the little girl I met at the entrance last time, right?
context: Oh, that's right!\It's our new recruit, Cana.\Treat her nice now, you hear?\U-Um...\Cana?\Oh, I remember now!\Sorry, didn't realize it was you.\You're the little girl I met at the entrance last time, right? response:	I see! So, you joined the guild?
context: It's our new recruit, Cana.\Treat her nice now, you hear?\U-Um...\Cana?\Oh, I remember now!\Sorry, didn't realize it was you.\You're the little girl I met at the entrance last time, right?\I see! So, you joined the guild? response:	Well, nice having you.
context: Treat her nice now, you hear?\U-Um...\Cana?\Oh, I remember now!\Sorry, didn't realize it was you.\You're the little girl I met at the entrance last time, right?\I see! So, you joined the guild?\Well, nice having you. response:	U-Um, you see...
context: U-Um...\Cana?\Oh, I remember now!\Sorry, didn't realize it was you.\You're the little girl I met at the entrance last time, right?\I see! So, you joined the guild?\Well, nice having you.\U-Um, you see... response:	Oh, sorry about this when you just got back and all...
context: Cana?\Oh, I remember now!\Sorry, didn't realize it was you.\You're the little girl I met at the entrance last time, right?\I see! So, you joined the guild?\Well, nice having you.\U-Um, you see...\Oh, sorry about this when you just got back and all... response:	But, could you come upstairs for a bit?
context: Oh, I remember now!\Sorry, didn't realize it was you.\You're the little girl I met at the entrance last time, right?\I see! So, you joined the guild?\Well, nice having you.\U-Um, you see...\Oh, sorry about this when you just got back and all...\But, could you come upstairs for a bit? response:	Seriously? What kind of request is it?
context: Sorry, didn't realize it was you.\You're the little girl I met at the entrance last time, right?\I see! So, you joined the guild?\Well, nice having you.\U-Um, you see...\Oh, sorry about this when you just got back and all...\But, could you come upstairs for a bit?\Seriously? What kind of request is it? response:	Father would only return occasionally...
context: You're the little girl I met at the entrance last time, right?\I see! So, you joined the guild?\Well, nice having you.\U-Um, you see...\Oh, sorry about this when you just got back and all...\But, could you come upstairs for a bit?\Seriously? What kind of request is it?\Father would only return occasionally... response:	And then, he'd head right out again on a job.
context: I see! So, you joined the guild?\Well, nice having you.\U-Um, you see...\Oh, sorry about this when you just got back and all...\But, could you come upstairs for a bit?\Seriously? What kind of request is it?\Father would only return occasionally...\And then, he'd head right out again on a job. response:	Yo!
context: Well, nice having you.\U-Um, you see...\Oh, sorry about this when you just got back and all...\But, could you come upstairs for a bit?\Seriously? What kind of request is it?\Father would only return occasionally...\And then, he'd head right out again on a job.\Yo! response:	You've sure grown, Cana.
context: U-Um, you see...\Oh, sorry about this when you just got back and all...\But, could you come upstairs for a bit?\Seriously? What kind of request is it?\Father would only return occasionally...\And then, he'd head right out again on a job.\Yo!\You've sure grown, Cana. response:	U-Um...
context: Oh, sorry about this when you just got back and all...\But, could you come upstairs for a bit?\Seriously? What kind of request is it?\Father would only return occasionally...\And then, he'd head right out again on a job.\Yo!\You've sure grown, Cana.\U-Um... response:	Hey! You're going to miss the train again!
context: But, could you come upstairs for a bit?\Seriously? What kind of request is it?\Father would only return occasionally...\And then, he'd head right out again on a job.\Yo!\You've sure grown, Cana.\U-Um...\Hey! You're going to miss the train again! response:	Crap!
context: Seriously? What kind of request is it?\Father would only return occasionally...\And then, he'd head right out again on a job.\Yo!\You've sure grown, Cana.\U-Um...\Hey! You're going to miss the train again!\Crap! response:	See you later!
context: Father would only return occasionally...\And then, he'd head right out again on a job.\Yo!\You've sure grown, Cana.\U-Um...\Hey! You're going to miss the train again!\Crap!\See you later! response:	Father...
context: And then, he'd head right out again on a job.\Yo!\You've sure grown, Cana.\U-Um...\Hey! You're going to miss the train again!\Crap!\See you later!\Father... response:	The words I couldn't say back then...
context: Yo!\You've sure grown, Cana.\U-Um...\Hey! You're going to miss the train again!\Crap!\See you later!\Father...\The words I couldn't say back then... response:	They grew larger and larger inside of me.
context: You've sure grown, Cana.\U-Um...\Hey! You're going to miss the train again!\Crap!\See you later!\Father...\The words I couldn't say back then...\They grew larger and larger inside of me. response:	I learned the tarot in order to predict the days he would return.
