context: As we journeyed in search of Naraku's whereabouts, response:	three young monkey sprites appeared before us.
context: But don't blame Kagome.\Yes, don't!\I agree!\I'm sorry.\Geez! I'm not blaming you!\Honestly...\Kagome will recover quicker if Inuyasha isn't around.\But it's a problem that Old Kaede is away. response:	You have a terrible fever.
context: Yes, don't!\I agree!\I'm sorry.\Geez! I'm not blaming you!\Honestly...\Kagome will recover quicker if Inuyasha isn't around.\But it's a problem that Old Kaede is away.\You have a terrible fever. response:	Kagome, why don't you go home to the modern age?
context: I agree!\I'm sorry.\Geez! I'm not blaming you!\Honestly...\Kagome will recover quicker if Inuyasha isn't around.\But it's a problem that Old Kaede is away.\You have a terrible fever.\Kagome, why don't you go home to the modern age? response:	Home?
context: I'm sorry.\Geez! I'm not blaming you!\Honestly...\Kagome will recover quicker if Inuyasha isn't around.\But it's a problem that Old Kaede is away.\You have a terrible fever.\Kagome, why don't you go home to the modern age?\Home? response:	There are good doctors there, right?
context: Geez! I'm not blaming you!\Honestly...\Kagome will recover quicker if Inuyasha isn't around.\But it's a problem that Old Kaede is away.\You have a terrible fever.\Kagome, why don't you go home to the modern age?\Home?\There are good doctors there, right? response:	And you seem to have good medicine, too.
context: Honestly...\Kagome will recover quicker if Inuyasha isn't around.\But it's a problem that Old Kaede is away.\You have a terrible fever.\Kagome, why don't you go home to the modern age?\Home?\There are good doctors there, right?\And you seem to have good medicine, too. response:	That's true.
context: Kagome will recover quicker if Inuyasha isn't around.\But it's a problem that Old Kaede is away.\You have a terrible fever.\Kagome, why don't you go home to the modern age?\Home?\There are good doctors there, right?\And you seem to have good medicine, too.\That's true. response:	I'm sorry, but I'm going home for a bit.
context: But it's a problem that Old Kaede is away.\You have a terrible fever.\Kagome, why don't you go home to the modern age?\Home?\There are good doctors there, right?\And you seem to have good medicine, too.\That's true.\I'm sorry, but I'm going home for a bit. response:	Don't apologize!
context: You have a terrible fever.\Kagome, why don't you go home to the modern age?\Home?\There are good doctors there, right?\And you seem to have good medicine, too.\That's true.\I'm sorry, but I'm going home for a bit.\Don't apologize! response:	Now come, Kagome... on my back!
context: Kagome, why don't you go home to the modern age?\Home?\There are good doctors there, right?\And you seem to have good medicine, too.\That's true.\I'm sorry, but I'm going home for a bit.\Don't apologize!\Now come, Kagome... on my back! response:	Can you manage, Kagome?
context: Home?\There are good doctors there, right?\And you seem to have good medicine, too.\That's true.\I'm sorry, but I'm going home for a bit.\Don't apologize!\Now come, Kagome... on my back!\Can you manage, Kagome? response:	Thanks...
context: There are good doctors there, right?\And you seem to have good medicine, too.\That's true.\I'm sorry, but I'm going home for a bit.\Don't apologize!\Now come, Kagome... on my back!\Can you manage, Kagome?\Thanks... response:	What're you doing?
context: And you seem to have good medicine, too.\That's true.\I'm sorry, but I'm going home for a bit.\Don't apologize!\Now come, Kagome... on my back!\Can you manage, Kagome?\Thanks...\What're you doing? response:	Err... nothing.
context: That's true.\I'm sorry, but I'm going home for a bit.\Don't apologize!\Now come, Kagome... on my back!\Can you manage, Kagome?\Thanks...\What're you doing?\Err... nothing. response:	Yes, she'll be staying home again.
context: I'm sorry, but I'm going home for a bit.\Don't apologize!\Now come, Kagome... on my back!\Can you manage, Kagome?\Thanks...\What're you doing?\Err... nothing.\Yes, she'll be staying home again. response:	Huh? Oh no, it's just a cold. It's for real this time...
context: Don't apologize!\Now come, Kagome... on my back!\Can you manage, Kagome?\Thanks...\What're you doing?\Err... nothing.\Yes, she'll be staying home again.\Huh? Oh no, it's just a cold. It's for real this time... response:	Err... nothing!
context: Now come, Kagome... on my back!\Can you manage, Kagome?\Thanks...\What're you doing?\Err... nothing.\Yes, she'll be staying home again.\Huh? Oh no, it's just a cold. It's for real this time...\Err... nothing! response:	Higurashi is absent again today.
context: Can you manage, Kagome?\Thanks...\What're you doing?\Err... nothing.\Yes, she'll be staying home again.\Huh? Oh no, it's just a cold. It's for real this time...\Err... nothing!\Higurashi is absent again today. response:	This time, she has a cold.
context: Thanks...\What're you doing?\Err... nothing.\Yes, she'll be staying home again.\Huh? Oh no, it's just a cold. It's for real this time...\Err... nothing!\Higurashi is absent again today.\This time, she has a cold. response:	- A cold? - Only a cold?
context: What're you doing?\Err... nothing.\Yes, she'll be staying home again.\Huh? Oh no, it's just a cold. It's for real this time...\Err... nothing!\Higurashi is absent again today.\This time, she has a cold.\- A cold? - Only a cold? response:	Well? How's your appetite?
context: Err... nothing.\Yes, she'll be staying home again.\Huh? Oh no, it's just a cold. It's for real this time...\Err... nothing!\Higurashi is absent again today.\This time, she has a cold.\- A cold? - Only a cold?\Well? How's your appetite? response:	I don't have any.
context: Yes, she'll be staying home again.\Huh? Oh no, it's just a cold. It's for real this time...\Err... nothing!\Higurashi is absent again today.\This time, she has a cold.\- A cold? - Only a cold?\Well? How's your appetite?\I don't have any. response:	Then I'll make you something warm to drink.
context: Huh? Oh no, it's just a cold. It's for real this time...\Err... nothing!\Higurashi is absent again today.\This time, she has a cold.\- A cold? - Only a cold?\Well? How's your appetite?\I don't have any.\Then I'll make you something warm to drink. response:	You can take yourmedicine afterthat.
context: Err... nothing!\Higurashi is absent again today.\This time, she has a cold.\- A cold? - Only a cold?\Well? How's your appetite?\I don't have any.\Then I'll make you something warm to drink.\You can take yourmedicine afterthat. response:	All right.
context: Higurashi is absent again today.\This time, she has a cold.\- A cold? - Only a cold?\Well? How's your appetite?\I don't have any.\Then I'll make you something warm to drink.\You can take yourmedicine afterthat.\All right. response:	It's been awhile since we saw her, yet she has a cold.
context: This time, she has a cold.\- A cold? - Only a cold?\Well? How's your appetite?\I don't have any.\Then I'll make you something warm to drink.\You can take yourmedicine afterthat.\All right.\It's been awhile since we saw her, yet she has a cold. response:	I wonder if it was cold back there?
context: - A cold? - Only a cold?\Well? How's your appetite?\I don't have any.\Then I'll make you something warm to drink.\You can take yourmedicine afterthat.\All right.\It's been awhile since we saw her, yet she has a cold.\I wonder if it was cold back there? response:	She should take her time and recover completely.
context: Well? How's your appetite?\I don't have any.\Then I'll make you something warm to drink.\You can take yourmedicine afterthat.\All right.\It's been awhile since we saw her, yet she has a cold.\I wonder if it was cold back there?\She should take her time and recover completely. response:	I know!
context: I don't have any.\Then I'll make you something warm to drink.\You can take yourmedicine afterthat.\All right.\It's been awhile since we saw her, yet she has a cold.\I wonder if it was cold back there?\She should take her time and recover completely.\I know! response:	For a mere cold!
context: Then I'll make you something warm to drink.\You can take yourmedicine afterthat.\All right.\It's been awhile since we saw her, yet she has a cold.\I wonder if it was cold back there?\She should take her time and recover completely.\I know!\For a mere cold! response:	Until now, she stayed home for all kinds of strange ailments.
context: You can take yourmedicine afterthat.\All right.\It's been awhile since we saw her, yet she has a cold.\I wonder if it was cold back there?\She should take her time and recover completely.\I know!\For a mere cold!\Until now, she stayed home for all kinds of strange ailments. response:	I know!
context: All right.\It's been awhile since we saw her, yet she has a cold.\I wonder if it was cold back there?\She should take her time and recover completely.\I know!\For a mere cold!\Until now, she stayed home for all kinds of strange ailments.\I know! response:	Shall we go visit her?
context: It's been awhile since we saw her, yet she has a cold.\I wonder if it was cold back there?\She should take her time and recover completely.\I know!\For a mere cold!\Until now, she stayed home for all kinds of strange ailments.\I know!\Shall we go visit her? response:	Visit her?
context: I wonder if it was cold back there?\She should take her time and recover completely.\I know!\For a mere cold!\Until now, she stayed home for all kinds of strange ailments.\I know!\Shall we go visit her?\Visit her? response:	She won't be hospitalized for a cold. Kagome will be home.
context: She should take her time and recover completely.\I know!\For a mere cold!\Until now, she stayed home for all kinds of strange ailments.\I know!\Shall we go visit her?\Visit her?\She won't be hospitalized for a cold. Kagome will be home. response:	I get it! Good idea.
context: I know!\For a mere cold!\Until now, she stayed home for all kinds of strange ailments.\I know!\Shall we go visit her?\Visit her?\She won't be hospitalized for a cold. Kagome will be home.\I get it! Good idea. response:	It'll be nice to visit Kagome.
context: For a mere cold!\Until now, she stayed home for all kinds of strange ailments.\I know!\Shall we go visit her?\Visit her?\She won't be hospitalized for a cold. Kagome will be home.\I get it! Good idea.\It'll be nice to visit Kagome. response:	Are you going to Higurashi's house?
context: Until now, she stayed home for all kinds of strange ailments.\I know!\Shall we go visit her?\Visit her?\She won't be hospitalized for a cold. Kagome will be home.\I get it! Good idea.\It'll be nice to visit Kagome.\Are you going to Higurashi's house? response:	Oh, Hojo...
context: I know!\Shall we go visit her?\Visit her?\She won't be hospitalized for a cold. Kagome will be home.\I get it! Good idea.\It'll be nice to visit Kagome.\Are you going to Higurashi's house?\Oh, Hojo... response:	Kagome has a cold.
context: Shall we go visit her?\Visit her?\She won't be hospitalized for a cold. Kagome will be home.\I get it! Good idea.\It'll be nice to visit Kagome.\Are you going to Higurashi's house?\Oh, Hojo...\Kagome has a cold. response:	I see... a cold.
context: Visit her?\She won't be hospitalized for a cold. Kagome will be home.\I get it! Good idea.\It'll be nice to visit Kagome.\Are you going to Higurashi's house?\Oh, Hojo...\Kagome has a cold.\I see... a cold. response:	- Would you like to go visit her, too? - I see... Cold, huh?
context: She won't be hospitalized for a cold. Kagome will be home.\I get it! Good idea.\It'll be nice to visit Kagome.\Are you going to Higurashi's house?\Oh, Hojo...\Kagome has a cold.\I see... a cold.\- Would you like to go visit her, too? - I see... Cold, huh? response:	I wonder if he's going to see her?
context: I get it! Good idea.\It'll be nice to visit Kagome.\Are you going to Higurashi's house?\Oh, Hojo...\Kagome has a cold.\I see... a cold.\- Would you like to go visit her, too? - I see... Cold, huh?\I wonder if he's going to see her? response:	Adelicate situation.
context: It'll be nice to visit Kagome.\Are you going to Higurashi's house?\Oh, Hojo...\Kagome has a cold.\I see... a cold.\- Would you like to go visit her, too? - I see... Cold, huh?\I wonder if he's going to see her?\Adelicate situation. response:	Lady Kaede!
context: Are you going to Higurashi's house?\Oh, Hojo...\Kagome has a cold.\I see... a cold.\- Would you like to go visit her, too? - I see... Cold, huh?\I wonder if he's going to see her?\Adelicate situation.\Lady Kaede! response:	Do not panic, Rikichi.
context: Oh, Hojo...\Kagome has a cold.\I see... a cold.\- Would you like to go visit her, too? - I see... Cold, huh?\I wonder if he's going to see her?\Adelicate situation.\Lady Kaede!\Do not panic, Rikichi. response:	Stay calm and attack.
context: Kagome has a cold.\I see... a cold.\- Would you like to go visit her, too? - I see... Cold, huh?\I wonder if he's going to see her?\Adelicate situation.\Lady Kaede!\Do not panic, Rikichi.\Stay calm and attack. response:	Yes, but we haven't done this in so long...
context: I see... a cold.\- Would you like to go visit her, too? - I see... Cold, huh?\I wonder if he's going to see her?\Adelicate situation.\Lady Kaede!\Do not panic, Rikichi.\Stay calm and attack.\Yes, but we haven't done this in so long... response:	Be strong!
context: - Would you like to go visit her, too? - I see... Cold, huh?\I wonder if he's going to see her?\Adelicate situation.\Lady Kaede!\Do not panic, Rikichi.\Stay calm and attack.\Yes, but we haven't done this in so long...\Be strong! response:	Inuyasha and the others aren't here. We must deal with it ourselves.
context: I wonder if he's going to see her?\Adelicate situation.\Lady Kaede!\Do not panic, Rikichi.\Stay calm and attack.\Yes, but we haven't done this in so long...\Be strong!\Inuyasha and the others aren't here. We must deal with it ourselves. response:	It's coming!
context: Adelicate situation.\Lady Kaede!\Do not panic, Rikichi.\Stay calm and attack.\Yes, but we haven't done this in so long...\Be strong!\Inuyasha and the others aren't here. We must deal with it ourselves.\It's coming! response:	Now! Attack!
context: Lady Kaede!\Do not panic, Rikichi.\Stay calm and attack.\Yes, but we haven't done this in so long...\Be strong!\Inuyasha and the others aren't here. We must deal with it ourselves.\It's coming!\Now! Attack! response:	Lady Kaede!
context: Do not panic, Rikichi.\Stay calm and attack.\Yes, but we haven't done this in so long...\Be strong!\Inuyasha and the others aren't here. We must deal with it ourselves.\It's coming!\Now! Attack!\Lady Kaede! response:	Get out of my way, punk!
context: Stay calm and attack.\Yes, but we haven't done this in so long...\Be strong!\Inuyasha and the others aren't here. We must deal with it ourselves.\It's coming!\Now! Attack!\Lady Kaede!\Get out of my way, punk! response:	Inuyasha!
context: Yes, but we haven't done this in so long...\Be strong!\Inuyasha and the others aren't here. We must deal with it ourselves.\It's coming!\Now! Attack!\Lady Kaede!\Get out of my way, punk!\Inuyasha! response:	What're you guys doing here?
context: Be strong!\Inuyasha and the others aren't here. We must deal with it ourselves.\It's coming!\Now! Attack!\Lady Kaede!\Get out of my way, punk!\Inuyasha!\What're you guys doing here? response:	Many demons have been acting up lately.
context: Inuyasha and the others aren't here. We must deal with it ourselves.\It's coming!\Now! Attack!\Lady Kaede!\Get out of my way, punk!\Inuyasha!\What're you guys doing here?\Many demons have been acting up lately. response:	Some even terrorize areas where humans live.
context: It's coming!\Now! Attack!\Lady Kaede!\Get out of my way, punk!\Inuyasha!\What're you guys doing here?\Many demons have been acting up lately.\Some even terrorize areas where humans live. response:	It seems Naraku's disappearance caused all this.
context: Now! Attack!\Lady Kaede!\Get out of my way, punk!\Inuyasha!\What're you guys doing here?\Many demons have been acting up lately.\Some even terrorize areas where humans live.\It seems Naraku's disappearance caused all this. response:	The demons lay low while he's around.
context: Lady Kaede!\Get out of my way, punk!\Inuyasha!\What're you guys doing here?\Many demons have been acting up lately.\Some even terrorize areas where humans live.\It seems Naraku's disappearance caused all this.\The demons lay low while he's around. response:	Now they're doing as they please.
context: Get out of my way, punk!\Inuyasha!\What're you guys doing here?\Many demons have been acting up lately.\Some even terrorize areas where humans live.\It seems Naraku's disappearance caused all this.\The demons lay low while he's around.\Now they're doing as they please. response:	Want some more?!
context: Inuyasha!\What're you guys doing here?\Many demons have been acting up lately.\Some even terrorize areas where humans live.\It seems Naraku's disappearance caused all this.\The demons lay low while he's around.\Now they're doing as they please.\Want some more?! response:	See ya!
context: What're you guys doing here?\Many demons have been acting up lately.\Some even terrorize areas where humans live.\It seems Naraku's disappearance caused all this.\The demons lay low while he's around.\Now they're doing as they please.\Want some more?!\See ya! response:	Hey, Inuyasha!
context: Many demons have been acting up lately.\Some even terrorize areas where humans live.\It seems Naraku's disappearance caused all this.\The demons lay low while he's around.\Now they're doing as they please.\Want some more?!\See ya!\Hey, Inuyasha! response:	Did he come to save us?
context: Some even terrorize areas where humans live.\It seems Naraku's disappearance caused all this.\The demons lay low while he's around.\Now they're doing as they please.\Want some more?!\See ya!\Hey, Inuyasha!\Did he come to save us? response:	Hmm... he's not that commendable.
context: It seems Naraku's disappearance caused all this.\The demons lay low while he's around.\Now they're doing as they please.\Want some more?!\See ya!\Hey, Inuyasha!\Did he come to save us?\Hmm... he's not that commendable. response:	You're in the way. Move!
context: The demons lay low while he's around.\Now they're doing as they please.\Want some more?!\See ya!\Hey, Inuyasha!\Did he come to save us?\Hmm... he's not that commendable.\You're in the way. Move! response:	Punk! Just who do you think I am?
context: Now they're doing as they please.\Want some more?!\See ya!\Hey, Inuyasha!\Did he come to save us?\Hmm... he's not that commendable.\You're in the way. Move!\Punk! Just who do you think I am? response:	Who cares?!
context: Want some more?!\See ya!\Hey, Inuyasha!\Did he come to save us?\Hmm... he's not that commendable.\You're in the way. Move!\Punk! Just who do you think I am?\Who cares?! response:	I have business in this swamp.
context: See ya!\Hey, Inuyasha!\Did he come to save us?\Hmm... he's not that commendable.\You're in the way. Move!\Punk! Just who do you think I am?\Who cares?!\I have business in this swamp. response:	This swamp is my territory!
context: Hey, Inuyasha!\Did he come to save us?\Hmm... he's not that commendable.\You're in the way. Move!\Punk! Just who do you think I am?\Who cares?!\I have business in this swamp.\This swamp is my territory! response:	Keep it up and I'll swallow you head first!
context: Did he come to save us?\Hmm... he's not that commendable.\You're in the way. Move!\Punk! Just who do you think I am?\Who cares?!\I have business in this swamp.\This swamp is my territory!\Keep it up and I'll swallow you head first! response:	Head, huh? This head?!
context: Hmm... he's not that commendable.\You're in the way. Move!\Punk! Just who do you think I am?\Who cares?!\I have business in this swamp.\This swamp is my territory!\Keep it up and I'll swallow you head first!\Head, huh? This head?! response:	Take... that!
context: You're in the way. Move!\Punk! Just who do you think I am?\Who cares?!\I have business in this swamp.\This swamp is my territory!\Keep it up and I'll swallow you head first!\Head, huh? This head?!\Take... that! response:	Now then...
context: Punk! Just who do you think I am?\Who cares?!\I have business in this swamp.\This swamp is my territory!\Keep it up and I'll swallow you head first!\Head, huh? This head?!\Take... that!\Now then... response:	All right, next!
context: Who cares?!\I have business in this swamp.\This swamp is my territory!\Keep it up and I'll swallow you head first!\Head, huh? This head?!\Take... that!\Now then...\All right, next! response:	This valley belongs to me!
context: I have business in this swamp.\This swamp is my territory!\Keep it up and I'll swallow you head first!\Head, huh? This head?!\Take... that!\Now then...\All right, next!\This valley belongs to me! response:	This waterfall...
context: This swamp is my territory!\Keep it up and I'll swallow you head first!\Head, huh? This head?!\Take... that!\Now then...\All right, next!\This valley belongs to me!\This waterfall... response:	Shaddup!
context: Keep it up and I'll swallow you head first!\Head, huh? This head?!\Take... that!\Now then...\All right, next!\This valley belongs to me!\This waterfall...\Shaddup! response:	Why you...!
context: Head, huh? This head?!\Take... that!\Now then...\All right, next!\This valley belongs to me!\This waterfall...\Shaddup!\Why you...! response:	I'm not listening!
context: Take... that!\Now then...\All right, next!\This valley belongs to me!\This waterfall...\Shaddup!\Why you...!\I'm not listening! response:	Lady Kaede...
context: Now then...\All right, next!\This valley belongs to me!\This waterfall...\Shaddup!\Why you...!\I'm not listening!\Lady Kaede... response:	The demons aren't appearing.
context: All right, next!\This valley belongs to me!\This waterfall...\Shaddup!\Why you...!\I'm not listening!\Lady Kaede...\The demons aren't appearing. response:	I wonder if they escaped somewhere?
context: This valley belongs to me!\This waterfall...\Shaddup!\Why you...!\I'm not listening!\Lady Kaede...\The demons aren't appearing.\I wonder if they escaped somewhere? response:	What're you doing?
context: This waterfall...\Shaddup!\Why you...!\I'm not listening!\Lady Kaede...\The demons aren't appearing.\I wonder if they escaped somewhere?\What're you doing? response:	Well... since we're here...
context: Shaddup!\Why you...!\I'm not listening!\Lady Kaede...\The demons aren't appearing.\I wonder if they escaped somewhere?\What're you doing?\Well... since we're here... response:	You came to visit?
context: Why you...!\I'm not listening!\Lady Kaede...\The demons aren't appearing.\I wonder if they escaped somewhere?\What're you doing?\Well... since we're here...\You came to visit? response:	Thank you.
context: I'm not listening!\Lady Kaede...\The demons aren't appearing.\I wonder if they escaped somewhere?\What're you doing?\Well... since we're here...\You came to visit?\Thank you. response:	How's yourtemperature?
context: Lady Kaede...\The demons aren't appearing.\I wonder if they escaped somewhere?\What're you doing?\Well... since we're here...\You came to visit?\Thank you.\How's yourtemperature? response:	A slight fever.
context: The demons aren't appearing.\I wonder if they escaped somewhere?\What're you doing?\Well... since we're here...\You came to visit?\Thank you.\How's yourtemperature?\A slight fever. response:	How's yourthroat? Are you all stuffy?
context: I wonder if they escaped somewhere?\What're you doing?\Well... since we're here...\You came to visit?\Thank you.\How's yourtemperature?\A slight fever.\How's yourthroat? Are you all stuffy? response:	I've been coughing still.
context: What're you doing?\Well... since we're here...\You came to visit?\Thank you.\How's yourtemperature?\A slight fever.\How's yourthroat? Are you all stuffy?\I've been coughing still. response:	Here, for you.
context: Well... since we're here...\You came to visit?\Thank you.\How's yourtemperature?\A slight fever.\How's yourthroat? Are you all stuffy?\I've been coughing still.\Here, for you. response:	Thank you.
context: You came to visit?\Thank you.\How's yourtemperature?\A slight fever.\How's yourthroat? Are you all stuffy?\I've been coughing still.\Here, for you.\Thank you. response:	Even if it's just a cold, take care.
