context: And now an update on the vicious assault that occurred yesterday response:	in front of Toyosu station.
context: What? Well...\If I could act more openly...\Sugane!\Uh, yes?\Newbie!\I'm Hajime!\Listen, you two!\We Gatchaman have special powers normal humans do not have. response:	We must never let those powers fall into their hands!
context: If I could act more openly...\Sugane!\Uh, yes?\Newbie!\I'm Hajime!\Listen, you two!\We Gatchaman have special powers normal humans do not have.\We must never let those powers fall into their hands! response:	We're not sneaking around.
context: Sugane!\Uh, yes?\Newbie!\I'm Hajime!\Listen, you two!\We Gatchaman have special powers normal humans do not have.\We must never let those powers fall into their hands!\We're not sneaking around. response:	We're solving problems without causing the human race
context: Uh, yes?\Newbie!\I'm Hajime!\Listen, you two!\We Gatchaman have special powers normal humans do not have.\We must never let those powers fall into their hands!\We're not sneaking around.\We're solving problems without causing the human race response:	unnecessary concern or worry.
context: Newbie!\I'm Hajime!\Listen, you two!\We Gatchaman have special powers normal humans do not have.\We must never let those powers fall into their hands!\We're not sneaking around.\We're solving problems without causing the human race\unnecessary concern or worry. response:	Then why is the bad Gatchaman doing as it pleases?
context: I'm Hajime!\Listen, you two!\We Gatchaman have special powers normal humans do not have.\We must never let those powers fall into their hands!\We're not sneaking around.\We're solving problems without causing the human race\unnecessary concern or worry.\Then why is the bad Gatchaman doing as it pleases? response:	Because it is bad!
context: Listen, you two!\We Gatchaman have special powers normal humans do not have.\We must never let those powers fall into their hands!\We're not sneaking around.\We're solving problems without causing the human race\unnecessary concern or worry.\Then why is the bad Gatchaman doing as it pleases?\Because it is bad! response:	Because there are those who use the power for ill, we must strive,
context: We Gatchaman have special powers normal humans do not have.\We must never let those powers fall into their hands!\We're not sneaking around.\We're solving problems without causing the human race\unnecessary concern or worry.\Then why is the bad Gatchaman doing as it pleases?\Because it is bad!\Because there are those who use the power for ill, we must strive, response:	all the more, to be careful about how we use our own abilities!
context: We must never let those powers fall into their hands!\We're not sneaking around.\We're solving problems without causing the human race\unnecessary concern or worry.\Then why is the bad Gatchaman doing as it pleases?\Because it is bad!\Because there are those who use the power for ill, we must strive,\all the more, to be careful about how we use our own abilities! response:	But what if there's an emergency that won't let us do that?
context: We're not sneaking around.\We're solving problems without causing the human race\unnecessary concern or worry.\Then why is the bad Gatchaman doing as it pleases?\Because it is bad!\Because there are those who use the power for ill, we must strive,\all the more, to be careful about how we use our own abilities!\But what if there's an emergency that won't let us do that? response:	What if the world goes up in a big, red blaze?
context: We're solving problems without causing the human race\unnecessary concern or worry.\Then why is the bad Gatchaman doing as it pleases?\Because it is bad!\Because there are those who use the power for ill, we must strive,\all the more, to be careful about how we use our own abilities!\But what if there's an emergency that won't let us do that?\What if the world goes up in a big, red blaze? response:	Then the human race will be super worried.
context: unnecessary concern or worry.\Then why is the bad Gatchaman doing as it pleases?\Because it is bad!\Because there are those who use the power for ill, we must strive,\all the more, to be careful about how we use our own abilities!\But what if there's an emergency that won't let us do that?\What if the world goes up in a big, red blaze?\Then the human race will be super worried. response:	I don't get it.
context: Then why is the bad Gatchaman doing as it pleases?\Because it is bad!\Because there are those who use the power for ill, we must strive,\all the more, to be careful about how we use our own abilities!\But what if there's an emergency that won't let us do that?\What if the world goes up in a big, red blaze?\Then the human race will be super worried.\I don't get it. response:	That'd make people say GALAX is doing more.
context: Because it is bad!\Because there are those who use the power for ill, we must strive,\all the more, to be careful about how we use our own abilities!\But what if there's an emergency that won't let us do that?\What if the world goes up in a big, red blaze?\Then the human race will be super worried.\I don't get it.\That'd make people say GALAX is doing more. response:	That's going too far.
context: Because there are those who use the power for ill, we must strive,\all the more, to be careful about how we use our own abilities!\But what if there's an emergency that won't let us do that?\What if the world goes up in a big, red blaze?\Then the human race will be super worried.\I don't get it.\That'd make people say GALAX is doing more.\That's going too far. response:	Oh, Hajime-chan. Hi, D-san!
context: all the more, to be careful about how we use our own abilities!\But what if there's an emergency that won't let us do that?\What if the world goes up in a big, red blaze?\Then the human race will be super worried.\I don't get it.\That'd make people say GALAX is doing more.\That's going too far.\Oh, Hajime-chan. Hi, D-san! response:	Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san!
context: But what if there's an emergency that won't let us do that?\What if the world goes up in a big, red blaze?\Then the human race will be super worried.\I don't get it.\That'd make people say GALAX is doing more.\That's going too far.\Oh, Hajime-chan. Hi, D-san!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! response:	Don't put us Gatchaman on the same level as GALAX!
context: What if the world goes up in a big, red blaze?\Then the human race will be super worried.\I don't get it.\That'd make people say GALAX is doing more.\That's going too far.\Oh, Hajime-chan. Hi, D-san!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san!\Don't put us Gatchaman on the same level as GALAX! response:	Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh.
context: Then the human race will be super worried.\I don't get it.\That'd make people say GALAX is doing more.\That's going too far.\Oh, Hajime-chan. Hi, D-san!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san!\Don't put us Gatchaman on the same level as GALAX!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh. response:	Can you tell me where Utsutsu-chan's room is?
context: I don't get it.\That'd make people say GALAX is doing more.\That's going too far.\Oh, Hajime-chan. Hi, D-san!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san!\Don't put us Gatchaman on the same level as GALAX!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh.\Can you tell me where Utsutsu-chan's room is? response:	Oh? You got a smart phone.
context: That'd make people say GALAX is doing more.\That's going too far.\Oh, Hajime-chan. Hi, D-san!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san!\Don't put us Gatchaman on the same level as GALAX!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh.\Can you tell me where Utsutsu-chan's room is?\Oh? You got a smart phone. response:	Can you tell me where Utsutsu-chan's room is? Okay. Come with me.
context: That's going too far.\Oh, Hajime-chan. Hi, D-san!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san!\Don't put us Gatchaman on the same level as GALAX!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh.\Can you tell me where Utsutsu-chan's room is?\Oh? You got a smart phone.\Can you tell me where Utsutsu-chan's room is? Okay. Come with me. response:	You're using GALAX!
context: Oh, Hajime-chan. Hi, D-san!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san!\Don't put us Gatchaman on the same level as GALAX!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh.\Can you tell me where Utsutsu-chan's room is?\Oh? You got a smart phone.\Can you tell me where Utsutsu-chan's room is? Okay. Come with me.\You're using GALAX! response:	No! This is research!
context: Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san!\Don't put us Gatchaman on the same level as GALAX!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh.\Can you tell me where Utsutsu-chan's room is?\Oh? You got a smart phone.\Can you tell me where Utsutsu-chan's room is? Okay. Come with me.\You're using GALAX!\No! This is research! response:	Senpai, come join the collage community!
context: Don't put us Gatchaman on the same level as GALAX!\Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh.\Can you tell me where Utsutsu-chan's room is?\Oh? You got a smart phone.\Can you tell me where Utsutsu-chan's room is? Okay. Come with me.\You're using GALAX!\No! This is research!\Senpai, come join the collage community! response:	No way I'd join that!
context: Oh, Hajime-chan. Aw, your hair's different. Way too cute! Hi, D-san! HeeHee. Oh.\Can you tell me where Utsutsu-chan's room is?\Oh? You got a smart phone.\Can you tell me where Utsutsu-chan's room is? Okay. Come with me.\You're using GALAX!\No! This is research!\Senpai, come join the collage community!\No way I'd join that! response:	Oh, a message from JJ.
context: Can you tell me where Utsutsu-chan's room is?\Oh? You got a smart phone.\Can you tell me where Utsutsu-chan's room is? Okay. Come with me.\You're using GALAX!\No! This is research!\Senpai, come join the collage community!\No way I'd join that!\Oh, a message from JJ. response:	When a large box has vanished into darkness,
context: Oh? You got a smart phone.\Can you tell me where Utsutsu-chan's room is? Okay. Come with me.\You're using GALAX!\No! This is research!\Senpai, come join the collage community!\No way I'd join that!\Oh, a message from JJ.\When a large box has vanished into darkness, response:	the broken child will finally reveal itself to us.
context: Can you tell me where Utsutsu-chan's room is? Okay. Come with me.\You're using GALAX!\No! This is research!\Senpai, come join the collage community!\No way I'd join that!\Oh, a message from JJ.\When a large box has vanished into darkness,\the broken child will finally reveal itself to us. response:	The white bird shall bear witness.
context: You're using GALAX!\No! This is research!\Senpai, come join the collage community!\No way I'd join that!\Oh, a message from JJ.\When a large box has vanished into darkness,\the broken child will finally reveal itself to us.\The white bird shall bear witness. response:	The broken child?
context: No! This is research!\Senpai, come join the collage community!\No way I'd join that!\Oh, a message from JJ.\When a large box has vanished into darkness,\the broken child will finally reveal itself to us.\The white bird shall bear witness.\The broken child? response:	It's it!
context: Senpai, come join the collage community!\No way I'd join that!\Oh, a message from JJ.\When a large box has vanished into darkness,\the broken child will finally reveal itself to us.\The white bird shall bear witness.\The broken child?\It's it! response:	It will finally appear... before... us...
context: No way I'd join that!\Oh, a message from JJ.\When a large box has vanished into darkness,\the broken child will finally reveal itself to us.\The white bird shall bear witness.\The broken child?\It's it!\It will finally appear... before... us... response:	Leader!
context: Oh, a message from JJ.\When a large box has vanished into darkness,\the broken child will finally reveal itself to us.\The white bird shall bear witness.\The broken child?\It's it!\It will finally appear... before... us...\Leader! response:	The white bird... Huh...
context: When a large box has vanished into darkness,\the broken child will finally reveal itself to us.\The white bird shall bear witness.\The broken child?\It's it!\It will finally appear... before... us...\Leader!\The white bird... Huh... response:	Rui, what is the matter?
context: the broken child will finally reveal itself to us.\The white bird shall bear witness.\The broken child?\It's it!\It will finally appear... before... us...\Leader!\The white bird... Huh...\Rui, what is the matter? response:	You have not moved for two hours.
context: The white bird shall bear witness.\The broken child?\It's it!\It will finally appear... before... us...\Leader!\The white bird... Huh...\Rui, what is the matter?\You have not moved for two hours. response:	X, I'll tell you what I'm really thinking.
context: The broken child?\It's it!\It will finally appear... before... us...\Leader!\The white bird... Huh...\Rui, what is the matter?\You have not moved for two hours.\X, I'll tell you what I'm really thinking. response:	You're the only one I can trust, X.
context: It's it!\It will finally appear... before... us...\Leader!\The white bird... Huh...\Rui, what is the matter?\You have not moved for two hours.\X, I'll tell you what I'm really thinking.\You're the only one I can trust, X. response:	Thank you.
context: It will finally appear... before... us...\Leader!\The white bird... Huh...\Rui, what is the matter?\You have not moved for two hours.\X, I'll tell you what I'm really thinking.\You're the only one I can trust, X.\Thank you. response:	That is probably what I should say in response.
context: Leader!\The white bird... Huh...\Rui, what is the matter?\You have not moved for two hours.\X, I'll tell you what I'm really thinking.\You're the only one I can trust, X.\Thank you.\That is probably what I should say in response. response:	You're interesting, X.
context: The white bird... Huh...\Rui, what is the matter?\You have not moved for two hours.\X, I'll tell you what I'm really thinking.\You're the only one I can trust, X.\Thank you.\That is probably what I should say in response.\You're interesting, X. response:	You're just like a person.
context: Rui, what is the matter?\You have not moved for two hours.\X, I'll tell you what I'm really thinking.\You're the only one I can trust, X.\Thank you.\That is probably what I should say in response.\You're interesting, X.\You're just like a person. response:	Rui, your decision appears to have caused some confusion.
context: You have not moved for two hours.\X, I'll tell you what I'm really thinking.\You're the only one I can trust, X.\Thank you.\That is probably what I should say in response.\You're interesting, X.\You're just like a person.\Rui, your decision appears to have caused some confusion. response:	Is it true that LOAD runs GALAX?
context: X, I'll tell you what I'm really thinking.\You're the only one I can trust, X.\Thank you.\That is probably what I should say in response.\You're interesting, X.\You're just like a person.\Rui, your decision appears to have caused some confusion.\Is it true that LOAD runs GALAX? response:	Apparently.
context: You're the only one I can trust, X.\Thank you.\That is probably what I should say in response.\You're interesting, X.\You're just like a person.\Rui, your decision appears to have caused some confusion.\Is it true that LOAD runs GALAX?\Apparently. response:	He sure looks suspicious, doesn't he?
context: Thank you.\That is probably what I should say in response.\You're interesting, X.\You're just like a person.\Rui, your decision appears to have caused some confusion.\Is it true that LOAD runs GALAX?\Apparently.\He sure looks suspicious, doesn't he? response:	Isn't it run by X?
context: That is probably what I should say in response.\You're interesting, X.\You're just like a person.\Rui, your decision appears to have caused some confusion.\Is it true that LOAD runs GALAX?\Apparently.\He sure looks suspicious, doesn't he?\Isn't it run by X? response:	You mean that goth-lolita four-eyes is the one who picked us?
context: You're interesting, X.\You're just like a person.\Rui, your decision appears to have caused some confusion.\Is it true that LOAD runs GALAX?\Apparently.\He sure looks suspicious, doesn't he?\Isn't it run by X?\You mean that goth-lolita four-eyes is the one who picked us? response:	What's this...
context: You're just like a person.\Rui, your decision appears to have caused some confusion.\Is it true that LOAD runs GALAX?\Apparently.\He sure looks suspicious, doesn't he?\Isn't it run by X?\You mean that goth-lolita four-eyes is the one who picked us?\What's this... response:	So creepy.
context: Rui, your decision appears to have caused some confusion.\Is it true that LOAD runs GALAX?\Apparently.\He sure looks suspicious, doesn't he?\Isn't it run by X?\You mean that goth-lolita four-eyes is the one who picked us?\What's this...\So creepy. response:	SDWORC?
context: Is it true that LOAD runs GALAX?\Apparently.\He sure looks suspicious, doesn't he?\Isn't it run by X?\You mean that goth-lolita four-eyes is the one who picked us?\What's this...\So creepy.\SDWORC? response:	I mean, he's totally ordering us around.
context: Apparently.\He sure looks suspicious, doesn't he?\Isn't it run by X?\You mean that goth-lolita four-eyes is the one who picked us?\What's this...\So creepy.\SDWORC?\I mean, he's totally ordering us around. response:	Please read it backwards.
context: He sure looks suspicious, doesn't he?\Isn't it run by X?\You mean that goth-lolita four-eyes is the one who picked us?\What's this...\So creepy.\SDWORC?\I mean, he's totally ordering us around.\Please read it backwards. response:	CROWDS, huh...
context: Isn't it run by X?\You mean that goth-lolita four-eyes is the one who picked us?\What's this...\So creepy.\SDWORC?\I mean, he's totally ordering us around.\Please read it backwards.\CROWDS, huh... response:	It is a community created today by a subset of the Hundred.
context: You mean that goth-lolita four-eyes is the one who picked us?\What's this...\So creepy.\SDWORC?\I mean, he's totally ordering us around.\Please read it backwards.\CROWDS, huh...\It is a community created today by a subset of the Hundred. response:	I closed it down immediately,
context: What's this...\So creepy.\SDWORC?\I mean, he's totally ordering us around.\Please read it backwards.\CROWDS, huh...\It is a community created today by a subset of the Hundred.\I closed it down immediately, response:	but there will be trouble if this becomes widespread.
context: So creepy.\SDWORC?\I mean, he's totally ordering us around.\Please read it backwards.\CROWDS, huh...\It is a community created today by a subset of the Hundred.\I closed it down immediately,\but there will be trouble if this becomes widespread. response:	My decision is final, no matter what.
context: SDWORC?\I mean, he's totally ordering us around.\Please read it backwards.\CROWDS, huh...\It is a community created today by a subset of the Hundred.\I closed it down immediately,\but there will be trouble if this becomes widespread.\My decision is final, no matter what. response:	The use of CROWDS is forbidden for the time being.
context: I mean, he's totally ordering us around.\Please read it backwards.\CROWDS, huh...\It is a community created today by a subset of the Hundred.\I closed it down immediately,\but there will be trouble if this becomes widespread.\My decision is final, no matter what.\The use of CROWDS is forbidden for the time being. response:	Shall I force them to withdraw from the Hundred?
context: Please read it backwards.\CROWDS, huh...\It is a community created today by a subset of the Hundred.\I closed it down immediately,\but there will be trouble if this becomes widespread.\My decision is final, no matter what.\The use of CROWDS is forbidden for the time being.\Shall I force them to withdraw from the Hundred? response:	Who is their representative?
context: CROWDS, huh...\It is a community created today by a subset of the Hundred.\I closed it down immediately,\but there will be trouble if this becomes widespread.\My decision is final, no matter what.\The use of CROWDS is forbidden for the time being.\Shall I force them to withdraw from the Hundred?\Who is their representative? response:	Number 26.
context: It is a community created today by a subset of the Hundred.\I closed it down immediately,\but there will be trouble if this becomes widespread.\My decision is final, no matter what.\The use of CROWDS is forbidden for the time being.\Shall I force them to withdraw from the Hundred?\Who is their representative?\Number 26. response:	I remember.
context: I closed it down immediately,\but there will be trouble if this becomes widespread.\My decision is final, no matter what.\The use of CROWDS is forbidden for the time being.\Shall I force them to withdraw from the Hundred?\Who is their representative?\Number 26.\I remember. response:	He's always wanted to use CROWDS.
context: but there will be trouble if this becomes widespread.\My decision is final, no matter what.\The use of CROWDS is forbidden for the time being.\Shall I force them to withdraw from the Hundred?\Who is their representative?\Number 26.\I remember.\He's always wanted to use CROWDS. response:	Call him up.
context: My decision is final, no matter what.\The use of CROWDS is forbidden for the time being.\Shall I force them to withdraw from the Hundred?\Who is their representative?\Number 26.\I remember.\He's always wanted to use CROWDS.\Call him up. response:	Understood.
context: The use of CROWDS is forbidden for the time being.\Shall I force them to withdraw from the Hundred?\Who is their representative?\Number 26.\I remember.\He's always wanted to use CROWDS.\Call him up.\Understood. response:	I will relay your opinion to Number 26.
context: Shall I force them to withdraw from the Hundred?\Who is their representative?\Number 26.\I remember.\He's always wanted to use CROWDS.\Call him up.\Understood.\I will relay your opinion to Number 26. response:	No, I will speak with him directly.
context: Who is their representative?\Number 26.\I remember.\He's always wanted to use CROWDS.\Call him up.\Understood.\I will relay your opinion to Number 26.\No, I will speak with him directly. response:	Understood.
context: Number 26.\I remember.\He's always wanted to use CROWDS.\Call him up.\Understood.\I will relay your opinion to Number 26.\No, I will speak with him directly.\Understood. response:	Morning, Number 26.
context: I remember.\He's always wanted to use CROWDS.\Call him up.\Understood.\I will relay your opinion to Number 26.\No, I will speak with him directly.\Understood.\Morning, Number 26. response:	I have a name: Umeda.
context: He's always wanted to use CROWDS.\Call him up.\Understood.\I will relay your opinion to Number 26.\No, I will speak with him directly.\Understood.\Morning, Number 26.\I have a name: Umeda. response:	Morning, Umeda-san.
context: Call him up.\Understood.\I will relay your opinion to Number 26.\No, I will speak with him directly.\Understood.\Morning, Number 26.\I have a name: Umeda.\Morning, Umeda-san. response:	This is LOAD, right?
context: Understood.\I will relay your opinion to Number 26.\No, I will speak with him directly.\Understood.\Morning, Number 26.\I have a name: Umeda.\Morning, Umeda-san.\This is LOAD, right? response:	Yes.
