context: Here at Talisman Saloon, we only discuss the affairs of others. response:	All right, Lemonade Candy?
context: Talisman!\Talisman!\After she graduated from school, she immediately started a tough job.\A job carrying a lot of responsibility.\But that's not the problem.\I'm sure she doesn't regret it.\I see.\What she's in a bind about is, I suppose, her work relationships. response:	At her work, she has this subordinate...
context: Talisman!\After she graduated from school, she immediately started a tough job.\A job carrying a lot of responsibility.\But that's not the problem.\I'm sure she doesn't regret it.\I see.\What she's in a bind about is, I suppose, her work relationships.\At her work, she has this subordinate... response:	Or rather, a senior colleague...
context: After she graduated from school, she immediately started a tough job.\A job carrying a lot of responsibility.\But that's not the problem.\I'm sure she doesn't regret it.\I see.\What she's in a bind about is, I suppose, her work relationships.\At her work, she has this subordinate...\Or rather, a senior colleague... response:	Anyway, she's got this colleague who is hard to describe.
context: A job carrying a lot of responsibility.\But that's not the problem.\I'm sure she doesn't regret it.\I see.\What she's in a bind about is, I suppose, her work relationships.\At her work, she has this subordinate...\Or rather, a senior colleague...\Anyway, she's got this colleague who is hard to describe. response:	There's no avoiding him when she's at work, but...
context: But that's not the problem.\I'm sure she doesn't regret it.\I see.\What she's in a bind about is, I suppose, her work relationships.\At her work, she has this subordinate...\Or rather, a senior colleague...\Anyway, she's got this colleague who is hard to describe.\There's no avoiding him when she's at work, but... response:	Is he the sort that she doesn't get along well with?
context: I'm sure she doesn't regret it.\I see.\What she's in a bind about is, I suppose, her work relationships.\At her work, she has this subordinate...\Or rather, a senior colleague...\Anyway, she's got this colleague who is hard to describe.\There's no avoiding him when she's at work, but...\Is he the sort that she doesn't get along well with? response:	He does some crazy things.
context: I see.\What she's in a bind about is, I suppose, her work relationships.\At her work, she has this subordinate...\Or rather, a senior colleague...\Anyway, she's got this colleague who is hard to describe.\There's no avoiding him when she's at work, but...\Is he the sort that she doesn't get along well with?\He does some crazy things. response:	But there are times that she feels what he's saying is right.
context: What she's in a bind about is, I suppose, her work relationships.\At her work, she has this subordinate...\Or rather, a senior colleague...\Anyway, she's got this colleague who is hard to describe.\There's no avoiding him when she's at work, but...\Is he the sort that she doesn't get along well with?\He does some crazy things.\But there are times that she feels what he's saying is right. response:	So she thought she might be able to trust him at some point.
context: At her work, she has this subordinate...\Or rather, a senior colleague...\Anyway, she's got this colleague who is hard to describe.\There's no avoiding him when she's at work, but...\Is he the sort that she doesn't get along well with?\He does some crazy things.\But there are times that she feels what he's saying is right.\So she thought she might be able to trust him at some point. response:	That sounds like it might be wishful thinking on your friend's part.
context: Or rather, a senior colleague...\Anyway, she's got this colleague who is hard to describe.\There's no avoiding him when she's at work, but...\Is he the sort that she doesn't get along well with?\He does some crazy things.\But there are times that she feels what he's saying is right.\So she thought she might be able to trust him at some point.\That sounds like it might be wishful thinking on your friend's part. response:	Do you think so?
context: Anyway, she's got this colleague who is hard to describe.\There's no avoiding him when she's at work, but...\Is he the sort that she doesn't get along well with?\He does some crazy things.\But there are times that she feels what he's saying is right.\So she thought she might be able to trust him at some point.\That sounds like it might be wishful thinking on your friend's part.\Do you think so? response:	I think she needs to first discard this preconception and then face his true character.
context: There's no avoiding him when she's at work, but...\Is he the sort that she doesn't get along well with?\He does some crazy things.\But there are times that she feels what he's saying is right.\So she thought she might be able to trust him at some point.\That sounds like it might be wishful thinking on your friend's part.\Do you think so?\I think she needs to first discard this preconception and then face his true character. response:	Why don't you give this advice to your friend?
context: Is he the sort that she doesn't get along well with?\He does some crazy things.\But there are times that she feels what he's saying is right.\So she thought she might be able to trust him at some point.\That sounds like it might be wishful thinking on your friend's part.\Do you think so?\I think she needs to first discard this preconception and then face his true character.\Why don't you give this advice to your friend? response:	Okay.
context: He does some crazy things.\But there are times that she feels what he's saying is right.\So she thought she might be able to trust him at some point.\That sounds like it might be wishful thinking on your friend's part.\Do you think so?\I think she needs to first discard this preconception and then face his true character.\Why don't you give this advice to your friend?\Okay. response:	Please share with me, Talisman, the difficulties experienced by those adrift.
context: But there are times that she feels what he's saying is right.\So she thought she might be able to trust him at some point.\That sounds like it might be wishful thinking on your friend's part.\Do you think so?\I think she needs to first discard this preconception and then face his true character.\Why don't you give this advice to your friend?\Okay.\Please share with me, Talisman, the difficulties experienced by those adrift. response:	The answer is always hiding inside your story.
context: So she thought she might be able to trust him at some point.\That sounds like it might be wishful thinking on your friend's part.\Do you think so?\I think she needs to first discard this preconception and then face his true character.\Why don't you give this advice to your friend?\Okay.\Please share with me, Talisman, the difficulties experienced by those adrift.\The answer is always hiding inside your story. response:	Face his true character, huh?
context: That sounds like it might be wishful thinking on your friend's part.\Do you think so?\I think she needs to first discard this preconception and then face his true character.\Why don't you give this advice to your friend?\Okay.\Please share with me, Talisman, the difficulties experienced by those adrift.\The answer is always hiding inside your story.\Face his true character, huh? response:	My head is full of things
context: Do you think so?\I think she needs to first discard this preconception and then face his true character.\Why don't you give this advice to your friend?\Okay.\Please share with me, Talisman, the difficulties experienced by those adrift.\The answer is always hiding inside your story.\Face his true character, huh?\My head is full of things response:	My head is full of things
context: I think she needs to first discard this preconception and then face his true character.\Why don't you give this advice to your friend?\Okay.\Please share with me, Talisman, the difficulties experienced by those adrift.\The answer is always hiding inside your story.\Face his true character, huh?\My head is full of things\My head is full of things response:	that I can never tell anybody of
context: Why don't you give this advice to your friend?\Okay.\Please share with me, Talisman, the difficulties experienced by those adrift.\The answer is always hiding inside your story.\Face his true character, huh?\My head is full of things\My head is full of things\that I can never tell anybody of response:	that I can never tell anybody of
context: Okay.\Please share with me, Talisman, the difficulties experienced by those adrift.\The answer is always hiding inside your story.\Face his true character, huh?\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of response:	In this perfect world
context: Please share with me, Talisman, the difficulties experienced by those adrift.\The answer is always hiding inside your story.\Face his true character, huh?\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world response:	In this perfect world
context: The answer is always hiding inside your story.\Face his true character, huh?\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world response:	I roam, a lost being
context: Face his true character, huh?\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being response:	I roam, a lost being
context: My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being response:	The impossible is holding sway over me
context: My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me response:	The impossible is holding sway over me
context: that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me response:	All I know of the world is what I can see
context: that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see response:	All I know of the world is what I can see
context: In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see response:	Is that enough to find its faults?
context: In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults? response:	Is that enough to find its faults?
context: I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults? response:	Artificial, artificial
context: I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial response:	Artificial, artificial
context: The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial response:	Hey, how can they stay so sane?
context: The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane? response:	Hey, how can they stay so sane?
context: All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane? response:	This is their artificial world
context: All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world response:	This is their artificial world
context: Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world response:	In this beautiful world
context: Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world response:	In this beautiful world
context: Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world response:	there is something
context: Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something response:	there is something
context: Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something response:	that obscures all light for me
context: Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me response:	that obscures all light for me
context: This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me response:	My heart tries to make sense of it
context: This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it response:	My heart tries to make sense of it
context: In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it response:	and finds no answer
context: In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer response:	and finds no answer
context: there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer response:	Secret kills for you
context: there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret kills for you
context: My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret image for you
context: My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you response:	Secret image for you
context: and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you response:	Don't show me a dark future
context: and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future response:	Don't show me a dark future
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future response:	with this gaudy land
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land response:	with this gaudy land
context: Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land response:	Show me a way to fade
context: Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade response:	Show me a way to fade
context: Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade response:	04: Nobody Knows Your Mask
context: Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\04: Nobody Knows Your Mask response:	Do you wanna ask me about Kougami?
context: Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\04: Nobody Knows Your Mask\Do you wanna ask me about Kougami? response:	You can tell?
context: Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\04: Nobody Knows Your Mask\Do you wanna ask me about Kougami?\You can tell? response:	You two have this strange connection. Almost like fate.
context: with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\04: Nobody Knows Your Mask\Do you wanna ask me about Kougami?\You can tell?\You two have this strange connection. Almost like fate. response:	I still don't know how I should deal with him.
context: with this gaudy land\Show me a way to fade\Show me a way to fade\04: Nobody Knows Your Mask\Do you wanna ask me about Kougami?\You can tell?\You two have this strange connection. Almost like fate.\I still don't know how I should deal with him. response:	Someone told me I should try to understand him better.
context: Show me a way to fade\Show me a way to fade\04: Nobody Knows Your Mask\Do you wanna ask me about Kougami?\You can tell?\You two have this strange connection. Almost like fate.\I still don't know how I should deal with him.\Someone told me I should try to understand him better. response:	And someone else told me not to think of him as human like us.
context: Show me a way to fade\04: Nobody Knows Your Mask\Do you wanna ask me about Kougami?\You can tell?\You two have this strange connection. Almost like fate.\I still don't know how I should deal with him.\Someone told me I should try to understand him better.\And someone else told me not to think of him as human like us. response:	Oh, that must've been Inspector Ginoza.
context: 04: Nobody Knows Your Mask\Do you wanna ask me about Kougami?\You can tell?\You two have this strange connection. Almost like fate.\I still don't know how I should deal with him.\Someone told me I should try to understand him better.\And someone else told me not to think of him as human like us.\Oh, that must've been Inspector Ginoza. response:	It's just like him.
context: Do you wanna ask me about Kougami?\You can tell?\You two have this strange connection. Almost like fate.\I still don't know how I should deal with him.\Someone told me I should try to understand him better.\And someone else told me not to think of him as human like us.\Oh, that must've been Inspector Ginoza.\It's just like him. response:	Dogs are dogs. Owners are owners.
context: You can tell?\You two have this strange connection. Almost like fate.\I still don't know how I should deal with him.\Someone told me I should try to understand him better.\And someone else told me not to think of him as human like us.\Oh, that must've been Inspector Ginoza.\It's just like him.\Dogs are dogs. Owners are owners. response:	I think that's where you need to draw the line.
context: You two have this strange connection. Almost like fate.\I still don't know how I should deal with him.\Someone told me I should try to understand him better.\And someone else told me not to think of him as human like us.\Oh, that must've been Inspector Ginoza.\It's just like him.\Dogs are dogs. Owners are owners.\I think that's where you need to draw the line. response:	It's best if you stay on one side and keep him on the other.
context: I still don't know how I should deal with him.\Someone told me I should try to understand him better.\And someone else told me not to think of him as human like us.\Oh, that must've been Inspector Ginoza.\It's just like him.\Dogs are dogs. Owners are owners.\I think that's where you need to draw the line.\It's best if you stay on one side and keep him on the other. response:	To understand Kougami means to think the way he does.
context: Someone told me I should try to understand him better.\And someone else told me not to think of him as human like us.\Oh, that must've been Inspector Ginoza.\It's just like him.\Dogs are dogs. Owners are owners.\I think that's where you need to draw the line.\It's best if you stay on one side and keep him on the other.\To understand Kougami means to think the way he does. response:	To see the world through his eyes.
context: And someone else told me not to think of him as human like us.\Oh, that must've been Inspector Ginoza.\It's just like him.\Dogs are dogs. Owners are owners.\I think that's where you need to draw the line.\It's best if you stay on one side and keep him on the other.\To understand Kougami means to think the way he does.\To see the world through his eyes. response:	And if you do that, your Psycho-Pass will become like his as well.
context: Oh, that must've been Inspector Ginoza.\It's just like him.\Dogs are dogs. Owners are owners.\I think that's where you need to draw the line.\It's best if you stay on one side and keep him on the other.\To understand Kougami means to think the way he does.\To see the world through his eyes.\And if you do that, your Psycho-Pass will become like his as well. response:	When you gaze long into an abyss, the abyss also gazes into you.
context: It's just like him.\Dogs are dogs. Owners are owners.\I think that's where you need to draw the line.\It's best if you stay on one side and keep him on the other.\To understand Kougami means to think the way he does.\To see the world through his eyes.\And if you do that, your Psycho-Pass will become like his as well.\When you gaze long into an abyss, the abyss also gazes into you. response:	Kougami stared into the darkness for too long.
context: Dogs are dogs. Owners are owners.\I think that's where you need to draw the line.\It's best if you stay on one side and keep him on the other.\To understand Kougami means to think the way he does.\To see the world through his eyes.\And if you do that, your Psycho-Pass will become like his as well.\When you gaze long into an abyss, the abyss also gazes into you.\Kougami stared into the darkness for too long. response:	And he's still staring into it even now.
context: I think that's where you need to draw the line.\It's best if you stay on one side and keep him on the other.\To understand Kougami means to think the way he does.\To see the world through his eyes.\And if you do that, your Psycho-Pass will become like his as well.\When you gaze long into an abyss, the abyss also gazes into you.\Kougami stared into the darkness for too long.\And he's still staring into it even now. response:	Maybe for him, the only true justice in the world
context: It's best if you stay on one side and keep him on the other.\To understand Kougami means to think the way he does.\To see the world through his eyes.\And if you do that, your Psycho-Pass will become like his as well.\When you gaze long into an abyss, the abyss also gazes into you.\Kougami stared into the darkness for too long.\And he's still staring into it even now.\Maybe for him, the only true justice in the world response:	exists solely in the depths of that darkness.
context: To understand Kougami means to think the way he does.\To see the world through his eyes.\And if you do that, your Psycho-Pass will become like his as well.\When you gaze long into an abyss, the abyss also gazes into you.\Kougami stared into the darkness for too long.\And he's still staring into it even now.\Maybe for him, the only true justice in the world\exists solely in the depths of that darkness. response:	If you wanna go search for something like that with him,
context: To see the world through his eyes.\And if you do that, your Psycho-Pass will become like his as well.\When you gaze long into an abyss, the abyss also gazes into you.\Kougami stared into the darkness for too long.\And he's still staring into it even now.\Maybe for him, the only true justice in the world\exists solely in the depths of that darkness.\If you wanna go search for something like that with him, response:	there's nothing more I can say.
context: And if you do that, your Psycho-Pass will become like his as well.\When you gaze long into an abyss, the abyss also gazes into you.\Kougami stared into the darkness for too long.\And he's still staring into it even now.\Maybe for him, the only true justice in the world\exists solely in the depths of that darkness.\If you wanna go search for something like that with him,\there's nothing more I can say. response:	I can't stop you.
context: When you gaze long into an abyss, the abyss also gazes into you.\Kougami stared into the darkness for too long.\And he's still staring into it even now.\Maybe for him, the only true justice in the world\exists solely in the depths of that darkness.\If you wanna go search for something like that with him,\there's nothing more I can say.\I can't stop you. response:	I couldn't stop Ko, either.
context: Kougami stared into the darkness for too long.\And he's still staring into it even now.\Maybe for him, the only true justice in the world\exists solely in the depths of that darkness.\If you wanna go search for something like that with him,\there's nothing more I can say.\I can't stop you.\I couldn't stop Ko, either. response:	Is that
context: And he's still staring into it even now.\Maybe for him, the only true justice in the world\exists solely in the depths of that darkness.\If you wanna go search for something like that with him,\there's nothing more I can say.\I can't stop you.\I couldn't stop Ko, either.\Is that response:	Did something happen?
context: Maybe for him, the only true justice in the world\exists solely in the depths of that darkness.\If you wanna go search for something like that with him,\there's nothing more I can say.\I can't stop you.\I couldn't stop Ko, either.\Is that\Did something happen? response:	Looks like it.
context: exists solely in the depths of that darkness.\If you wanna go search for something like that with him,\there's nothing more I can say.\I can't stop you.\I couldn't stop Ko, either.\Is that\Did something happen?\Looks like it. response:	Kunizuka and I are off duty,
context: If you wanna go search for something like that with him,\there's nothing more I can say.\I can't stop you.\I couldn't stop Ko, either.\Is that\Did something happen?\Looks like it.\Kunizuka and I are off duty, response:	so go with Kougami and Kagari.
context: there's nothing more I can say.\I can't stop you.\I couldn't stop Ko, either.\Is that\Did something happen?\Looks like it.\Kunizuka and I are off duty,\so go with Kougami and Kagari. response:	So what's going on?
context: I can't stop you.\I couldn't stop Ko, either.\Is that\Did something happen?\Looks like it.\Kunizuka and I are off duty,\so go with Kougami and Kagari.\So what's going on? response:	The comprehensive home security inspection
context: I couldn't stop Ko, either.\Is that\Did something happen?\Looks like it.\Kunizuka and I are off duty,\so go with Kougami and Kagari.\So what's going on?\The comprehensive home security inspection response:	showed that the toilet in this apartment has been broken for the past two months.
context: Is that\Did something happen?\Looks like it.\Kunizuka and I are off duty,\so go with Kougami and Kagari.\So what's going on?\The comprehensive home security inspection\showed that the toilet in this apartment has been broken for the past two months. response:	However, the resident hasn't filed a single complaint.
context: Did something happen?\Looks like it.\Kunizuka and I are off duty,\so go with Kougami and Kagari.\So what's going on?\The comprehensive home security inspection\showed that the toilet in this apartment has been broken for the past two months.\However, the resident hasn't filed a single complaint. response:	So the management company became suspicious and reported it to us.
context: Looks like it.\Kunizuka and I are off duty,\so go with Kougami and Kagari.\So what's going on?\The comprehensive home security inspection\showed that the toilet in this apartment has been broken for the past two months.\However, the resident hasn't filed a single complaint.\So the management company became suspicious and reported it to us. response:	Hayama Kimihiko, thirty-two years old. Single. Unemployed.
context: Kunizuka and I are off duty,\so go with Kougami and Kagari.\So what's going on?\The comprehensive home security inspection\showed that the toilet in this apartment has been broken for the past two months.\However, the resident hasn't filed a single complaint.\So the management company became suspicious and reported it to us.\Hayama Kimihiko, thirty-two years old. Single. Unemployed. response:	Unemployed? Do people like that exist in this day and age?
context: so go with Kougami and Kagari.\So what's going on?\The comprehensive home security inspection\showed that the toilet in this apartment has been broken for the past two months.\However, the resident hasn't filed a single complaint.\So the management company became suspicious and reported it to us.\Hayama Kimihiko, thirty-two years old. Single. Unemployed.\Unemployed? Do people like that exist in this day and age? response:	I checked his bank account.
context: So what's going on?\The comprehensive home security inspection\showed that the toilet in this apartment has been broken for the past two months.\However, the resident hasn't filed a single complaint.\So the management company became suspicious and reported it to us.\Hayama Kimihiko, thirty-two years old. Single. Unemployed.\Unemployed? Do people like that exist in this day and age?\I checked his bank account. response:	He's receiving lots of compensation from an affiliated services provider.
context: The comprehensive home security inspection\showed that the toilet in this apartment has been broken for the past two months.\However, the resident hasn't filed a single complaint.\So the management company became suspicious and reported it to us.\Hayama Kimihiko, thirty-two years old. Single. Unemployed.\Unemployed? Do people like that exist in this day and age?\I checked his bank account.\He's receiving lots of compensation from an affiliated services provider. response:	He probably lived in great comfort.
context: showed that the toilet in this apartment has been broken for the past two months.\However, the resident hasn't filed a single complaint.\So the management company became suspicious and reported it to us.\Hayama Kimihiko, thirty-two years old. Single. Unemployed.\Unemployed? Do people like that exist in this day and age?\I checked his bank account.\He's receiving lots of compensation from an affiliated services provider.\He probably lived in great comfort. response:	Well, if you can make tons of money just by being popular on the net,
context: However, the resident hasn't filed a single complaint.\So the management company became suspicious and reported it to us.\Hayama Kimihiko, thirty-two years old. Single. Unemployed.\Unemployed? Do people like that exist in this day and age?\I checked his bank account.\He's receiving lots of compensation from an affiliated services provider.\He probably lived in great comfort.\Well, if you can make tons of money just by being popular on the net, response:	of course you'd feel it's stupid to go outside and work.
context: So the management company became suspicious and reported it to us.\Hayama Kimihiko, thirty-two years old. Single. Unemployed.\Unemployed? Do people like that exist in this day and age?\I checked his bank account.\He's receiving lots of compensation from an affiliated services provider.\He probably lived in great comfort.\Well, if you can make tons of money just by being popular on the net,\of course you'd feel it's stupid to go outside and work. response:	Could he have gone on a trip somewhere?
context: Hayama Kimihiko, thirty-two years old. Single. Unemployed.\Unemployed? Do people like that exist in this day and age?\I checked his bank account.\He's receiving lots of compensation from an affiliated services provider.\He probably lived in great comfort.\Well, if you can make tons of money just by being popular on the net,\of course you'd feel it's stupid to go outside and work.\Could he have gone on a trip somewhere? response:	No. When a person leaves their apartment, it leaves a record on the street scanners.
context: Unemployed? Do people like that exist in this day and age?\I checked his bank account.\He's receiving lots of compensation from an affiliated services provider.\He probably lived in great comfort.\Well, if you can make tons of money just by being popular on the net,\of course you'd feel it's stupid to go outside and work.\Could he have gone on a trip somewhere?\No. When a person leaves their apartment, it leaves a record on the street scanners. response:	In this town, it's virtually impossible to travel without leaving any trace.
context: I checked his bank account.\He's receiving lots of compensation from an affiliated services provider.\He probably lived in great comfort.\Well, if you can make tons of money just by being popular on the net,\of course you'd feel it's stupid to go outside and work.\Could he have gone on a trip somewhere?\No. When a person leaves their apartment, it leaves a record on the street scanners.\In this town, it's virtually impossible to travel without leaving any trace. response:	Besides, his bank account hasn't had any withdrawals for the past two months.
context: He's receiving lots of compensation from an affiliated services provider.\He probably lived in great comfort.\Well, if you can make tons of money just by being popular on the net,\of course you'd feel it's stupid to go outside and work.\Could he have gone on a trip somewhere?\No. When a person leaves their apartment, it leaves a record on the street scanners.\In this town, it's virtually impossible to travel without leaving any trace.\Besides, his bank account hasn't had any withdrawals for the past two months. response:	Hayama is dead.
context: He probably lived in great comfort.\Well, if you can make tons of money just by being popular on the net,\of course you'd feel it's stupid to go outside and work.\Could he have gone on a trip somewhere?\No. When a person leaves their apartment, it leaves a record on the street scanners.\In this town, it's virtually impossible to travel without leaving any trace.\Besides, his bank account hasn't had any withdrawals for the past two months.\Hayama is dead. response:	Yep. Getting killed is easier than disappearing.
context: Well, if you can make tons of money just by being popular on the net,\of course you'd feel it's stupid to go outside and work.\Could he have gone on a trip somewhere?\No. When a person leaves their apartment, it leaves a record on the street scanners.\In this town, it's virtually impossible to travel without leaving any trace.\Besides, his bank account hasn't had any withdrawals for the past two months.\Hayama is dead.\Yep. Getting killed is easier than disappearing. response:	It's too soon to come to a conclusion.
